name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,04/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,04/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,04/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,04/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,04/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,04/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,04/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,04/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalRevenue,"10,997,989,000","2,396,975,000","2,621,229,000","2,649,415,000","3,330,370,000","2,365,131,000","2,541,928,000","2,501,380,000","2,697,882,000","2,112,614,000","2,312,106,000","2,332,246,000","2,952,036,000","2,952,036,000","2,105,072,000","2,274,982,000","2,326,652,000","2,873,848,000","2,873,848,000","2,036,986,000","2,182,233,000","2,263,727,000","2,890,838,000","2,890,838,000","2,082,891,000","2,248,855,000","2,256,155,000","2,979,778,000","2,979,778,000","2,033,545,000","2,295,203,000","2,370,037,000","3,038,233,000","3,038,233,000","2,237,209,000","2,289,456,000","2,347,697,000","2,969,499,000","2,969,499,000","1,408,813,000","1,520,144,000","1,549,553,000","2,015,304,000","2,015,304,000","1,329,201,000","1,457,527,000","1,460,983,000","1,957,292,000","1,957,292,000","1,327,572,000","1,464,988,000","1,479,839,000","1,898,063,000","1,270,130,000","1,406,511,000","1,417,956,000","1,830,606,000","1,143,567,000","1,262,576,000","1,322,844,000","1,683,636,000","1,192,388,000","1,187,952,000","1,235,783,000","1,526,132,000","1,048,382,000","1,158,043,000","1,169,859,000","1,468,120,000","1,016,150,000","1,099,486,000","1,107,857,000","1,393,010,000","963,725,000","1,019,736,000","1,023,146,000","1,258,364,000","848,806,000","890,161,000","908,412,000","1,122,918,000","771,668,000","849,323,000","839,168,000","1,033,537,000","702,417,000","788,662,000","792,717,000","1,004,087,000","582,009,000","598,793,000","607,478,000","729,359,000"
	OperatingRevenue,"10,997,989,000","2,396,975,000","2,621,229,000","2,649,415,000","3,330,370,000","2,365,131,000","2,541,928,000","2,501,380,000","2,697,882,000","2,112,614,000","2,312,106,000","2,332,246,000","2,952,036,000","2,952,036,000","2,105,072,000","2,274,982,000","2,326,652,000","2,873,848,000","2,873,848,000","2,036,986,000","2,182,233,000","2,263,727,000","2,890,838,000","2,890,838,000","2,082,891,000","2,248,855,000","2,256,155,000","2,979,778,000","2,979,778,000","2,033,545,000","2,295,203,000","2,370,037,000","3,038,233,000","3,038,233,000","2,237,209,000","2,289,456,000","2,347,697,000","2,969,499,000","2,969,499,000","1,408,813,000","1,520,144,000","1,549,553,000","2,015,304,000","2,015,304,000","1,329,201,000","1,457,527,000","1,460,983,000","1,957,292,000","1,957,292,000","1,327,572,000","1,464,988,000","1,479,839,000","1,898,063,000","1,270,130,000","1,406,511,000","1,417,956,000","1,830,606,000","1,143,567,000","1,262,576,000","1,322,844,000","1,683,636,000","1,192,388,000","1,187,952,000","1,235,783,000","1,526,132,000","1,048,382,000","1,158,043,000","1,169,859,000","1,468,120,000","1,016,150,000","1,099,486,000","1,107,857,000","1,393,010,000","963,725,000","1,019,736,000","1,023,146,000","1,258,364,000","848,806,000","890,161,000","908,412,000","1,122,918,000","771,668,000","849,323,000","839,168,000","1,033,537,000","702,417,000","788,662,000","792,717,000","1,004,087,000","582,009,000","598,793,000","607,478,000","729,359,000"
CostOfRevenue,"6,069,241,000","1,324,858,000","1,438,775,000","1,460,164,000","1,845,444,000","1,281,435,000","1,413,457,000","1,404,666,000","1,525,149,000","1,183,845,000","1,300,180,000","1,322,808,000","1,647,424,000","1,647,424,000","1,176,428,000","1,268,055,000","1,315,093,000","1,601,564,000","1,601,564,000","1,163,417,000","1,234,525,000","1,270,639,000","1,620,154,000","1,620,154,000","1,175,327,000","1,260,650,000","1,245,898,000","1,629,889,000","1,629,889,000","1,124,373,000","1,262,816,000","1,282,748,000","1,644,309,000","1,644,309,000","1,233,268,000","1,255,014,000","1,285,589,000","1,616,377,000","1,616,377,000","707,036,000","757,204,000","770,330,000","1,007,098,000","1,007,098,000","666,046,000","732,177,000","732,125,000","976,619,000","976,619,000","676,834,000","740,485,000","743,991,000","939,862,000","642,645,000","698,726,000","702,688,000","919,829,000","595,438,000","641,117,000","670,194,000","861,648,000","650,732,000","610,833,000","634,945,000","782,681,000","554,790,000","602,930,000","606,998,000","758,717,000","537,719,000","569,280,000","580,498,000","727,842,000","513,643,000","538,321,000","541,096,000","657,433,000","455,150,000","473,646,000","486,110,000","602,020,000","404,990,000","460,579,000","457,881,000","565,728,000","389,607,000","439,000,000","443,703,000","567,579,000",,,,
GrossProfit,"4,928,748,000","1,072,117,000","1,182,454,000","1,189,251,000","1,484,926,000","1,083,696,000","1,128,471,000","1,096,714,000","1,172,733,000","928,769,000","1,011,926,000","1,009,438,000","1,304,612,000","1,304,612,000","928,644,000","1,006,927,000","1,011,559,000","1,272,284,000","1,272,284,000","873,569,000","947,708,000","993,088,000","1,270,684,000","1,270,684,000","907,564,000","988,205,000","1,010,257,000","1,349,889,000","1,349,889,000","909,172,000","1,032,387,000","1,087,289,000","1,393,924,000","1,393,924,000","1,003,941,000","1,034,442,000","1,062,108,000","1,353,122,000","1,353,122,000","701,777,000","762,940,000","779,223,000","1,008,206,000","1,008,206,000","663,155,000","725,350,000","728,858,000","980,673,000","980,673,000","650,738,000","724,503,000","735,848,000","958,201,000","627,485,000","707,785,000","715,268,000","910,777,000","548,129,000","621,459,000","652,650,000","821,988,000","541,656,000","577,119,000","600,838,000","743,451,000","493,592,000","555,113,000","562,861,000","709,403,000","478,431,000","530,206,000","527,359,000","665,168,000","450,082,000","481,415,000","482,050,000","600,931,000","393,656,000","416,515,000","422,302,000","520,898,000","366,678,000","388,744,000","381,287,000","467,809,000","312,810,000","349,662,000","349,014,000","436,508,000",,,,
OperatingExpense,"4,090,031,000","959,655,000","953,256,000","944,323,000","1,232,797,000","931,870,000","871,660,000","833,869,000","1,094,308,000","802,630,000","839,598,000","838,666,000","1,096,672,000","1,096,672,000","844,391,000","852,686,000","844,018,000","1,074,043,000","1,074,043,000","786,417,000","791,139,000","846,377,000","1,090,904,000","1,090,904,000","801,417,000","794,437,000","793,573,000","1,078,890,000","1,078,890,000","808,494,000","826,862,000","830,240,000","1,131,396,000","1,131,396,000","857,864,000","825,284,000","821,435,000","1,097,320,000","1,097,320,000","610,933,000","592,216,000","584,541,000","804,138,000","804,138,000","549,959,000","574,990,000","559,663,000","756,109,000","756,109,000","538,820,000","546,683,000","546,921,000","772,224,000","543,548,000","560,563,000","543,666,000","728,605,000","490,956,000","516,604,000","517,875,000","664,406,000","494,863,000","481,222,000","472,879,000","599,173,000","430,045,000","454,734,000","445,051,000","574,710,000","414,346,000","427,685,000","416,913,000","538,870,000","379,740,000","375,999,000","369,530,000","480,717,000","334,009,000","328,673,000","331,055,000","430,632,000","308,684,000","306,868,000","300,420,000","389,895,000","269,884,000","278,869,000","284,135,000","377,589,000",,,,
	SellingGeneralAndAdministration,"4,090,031,000","959,655,000","953,256,000","944,323,000","1,232,797,000","931,870,000","871,660,000","833,869,000","1,094,308,000","802,630,000","839,598,000","838,666,000","1,096,672,000","1,096,672,000","844,391,000","852,686,000","844,018,000","1,074,043,000","1,074,043,000","786,417,000","791,139,000","846,377,000","1,090,904,000","1,090,904,000","801,417,000","794,437,000","793,573,000","1,078,890,000","1,078,890,000","808,494,000","826,862,000","830,240,000","1,131,396,000","1,131,396,000","857,864,000","825,284,000","821,435,000","1,097,320,000","1,097,320,000","610,933,000","592,216,000","584,541,000","804,138,000","804,138,000","549,959,000","574,990,000","559,663,000","756,109,000","756,109,000","538,820,000","546,683,000","546,921,000","772,224,000","543,548,000","560,563,000","543,666,000","728,605,000","490,956,000","516,604,000","517,875,000","664,406,000","494,863,000","481,222,000","472,879,000","599,173,000","430,045,000","454,734,000","445,051,000","574,710,000","414,346,000","427,685,000","416,913,000","538,870,000","379,740,000","375,999,000","369,530,000","480,717,000","334,009,000","328,673,000","331,055,000","430,876,000","308,684,000","306,868,000","300,420,000","389,895,000","269,884,000","278,869,000","284,135,000","377,589,000",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-244,000",,,,,,,,,,,,
OperatingIncome,"838,717,000","112,462,000","229,198,000","244,928,000","252,129,000","151,826,000","256,811,000","262,845,000","78,425,000","126,139,000","172,328,000","170,772,000","207,940,000","207,940,000","84,253,000","154,241,000","167,541,000","198,241,000","198,241,000","87,152,000","156,569,000","146,711,000","179,780,000","179,780,000","106,147,000","193,768,000","216,684,000","270,999,000","270,999,000","100,678,000","205,525,000","257,049,000","262,528,000","262,528,000","146,077,000","209,158,000","240,673,000","255,802,000","255,802,000","90,844,000","170,724,000","194,682,000","204,068,000","204,068,000","113,196,000","150,360,000","169,195,000","224,564,000","224,564,000","111,918,000","177,820,000","188,927,000","185,977,000","83,937,000","147,222,000","171,602,000","182,172,000","57,173,000","104,855,000","134,775,000","157,582,000","46,793,000","95,897,000","127,959,000","144,278,000","63,547,000","100,379,000","117,810,000","134,693,000","64,085,000","102,521,000","110,446,000","126,298,000","70,342,000","105,416,000","112,520,000","120,214,000","59,647,000","87,842,000","91,247,000","90,266,000","57,994,000","81,876,000","80,867,000","77,914,000","42,926,000","70,793,000","64,879,000","58,919,000","-1,832,564,000","598,793,000","607,478,000","729,359,000"
NetNonOperatingInterestIncomeExpense,"-37,791,000","-9,706,000","-8,587,000","-8,306,000","-11,191,000","-9,296,000","-11,925,000","-13,422,000","-12,243,000","-7,836,000","-8,443,000","-8,675,000","-14,944,000","-14,944,000","-12,975,000","-13,076,000","-12,855,000","-17,682,000","-17,682,000","-13,136,000","-13,314,000","-13,921,000","-18,430,000","-18,430,000","-13,365,000","-13,581,000","-14,021,000","-18,943,000","-18,943,000","-13,809,000","-14,384,000","-15,438,000","-21,777,000","-21,777,000","-17,002,000","-15,903,000","-16,861,000","-23,642,000","-23,642,000","-9,986,000","-7,948,000","-8,024,000","-10,660,000","-10,660,000","-7,992,000","-8,048,000","-7,947,000","-9,854,000","-9,854,000","-5,073,000","-8,150,000","-8,007,000","-9,719,000","-6,727,000","-7,002,000","-7,176,000","-5,956,000","-4,907,000","-5,339,000","-5,480,000","-7,611,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"37,791,000","9,706,000","8,587,000","8,306,000","11,191,000","9,296,000","11,925,000","13,422,000","12,243,000","7,836,000","8,443,000","8,675,000","14,944,000","14,944,000","12,975,000","13,076,000","12,855,000","17,682,000","17,682,000","13,136,000","13,314,000","13,921,000","18,430,000","18,430,000","13,365,000","13,581,000","14,021,000","18,943,000","18,943,000","13,809,000","14,384,000","15,438,000","21,777,000","21,777,000","17,002,000","15,903,000","16,861,000","23,642,000","23,642,000","9,986,000","7,948,000","8,024,000","10,660,000","10,660,000","7,992,000","8,048,000","7,947,000","9,854,000","9,854,000","5,073,000","8,150,000","8,007,000","9,719,000","6,727,000","7,002,000","7,176,000","5,956,000","4,907,000","5,339,000","5,480,000","7,611,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
