name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994
TotalRevenue,"221,101,097,000","59,628,810,000","58,912,421,000","53,405,695,000","49,154,171,000","52,516,556,000","49,244,768,000","45,366,777,000","47,417,639,000","47,864,742,000","45,637,802,000","45,239,265,000","43,319,602,000","45,392,452,000","43,297,136,000","43,142,309,000","41,033,858,000","40,466,332,000","39,120,015,000","38,707,144,000","37,147,402,000","38,169,265,000","37,560,603,000","36,881,680,000","35,698,357,000","36,709,046,000","35,470,378,000","34,233,556,000","32,669,267,000","33,588,602,000","31,588,708,000","30,348,154,000","28,455,903,000","29,176,362,000","24,469,040,000","21,906,648,000","20,523,668,000","21,466,314,000","19,288,296,000","19,769,384,000","20,071,271,000","20,360,645,000","20,407,670,000","20,161,022,000","19,760,257,000","19,888,609,000","19,715,373,000","19,602,120,000","19,300,627,000","19,335,859,000","18,716,063,000","18,393,899,000","17,311,651,000","17,338,377,000","17,157,846,000","17,996,666,000","17,846,246,000","17,372,915,000","16,390,450,000","16,445,928,000","16,512,541,000","16,725,393,000","15,643,004,000","15,686,315,000","15,220,679,000","14,653,147,000","13,918,353,000","13,831,966,000","13,191,576,000","13,639,042,000","13,388,674,000","13,071,594,000","13,363,573,000","13,355,113,000","12,639,583,000","12,420,671,000","12,162,541,000","12,434,533,000","11,600,920,000","11,620,827,000","10,944,267,000","11,068,780,000","5,884,231,000","3,518,929,000","3,480,998,000","3,307,195,000","3,031,730,000","2,931,706,000","2,842,203,000","2,839,400,000","3,200,500,000","2,261,300,000","2,175,900,000","2,169,700,000","2,127,400,000","2,094,500,000","2,192,300,000","2,254,600,000","2,219,300,000","2,064,200,000","1,785,500,000","1,746,900,000","1,487,100,000","1,420,000,000","1,362,100,000","1,282,500,000","1,118,800,000","1,186,700,000","1,206,300,000","1,157,100,000"
	OperatingRevenue,"221,101,097,000","59,628,810,000","58,912,421,000","53,405,695,000","49,154,171,000","52,516,556,000","49,244,768,000","45,366,777,000","47,417,639,000","47,864,742,000","45,637,802,000","45,239,265,000","43,319,602,000","45,392,452,000","43,297,136,000","43,142,309,000","41,033,858,000","40,466,332,000","39,120,015,000","38,707,144,000","37,147,402,000","38,169,265,000","37,560,603,000","36,881,680,000","35,698,357,000","36,709,046,000","35,470,378,000","34,233,556,000","32,669,267,000","33,588,602,000","31,588,708,000","30,348,154,000","28,455,903,000","29,176,362,000","24,469,040,000","21,906,648,000","20,523,668,000","21,466,314,000","19,288,296,000","19,769,384,000","20,071,271,000","20,360,645,000","20,407,670,000","20,161,022,000","19,760,257,000","19,888,609,000","19,715,373,000","19,602,120,000","19,300,627,000","19,335,859,000","18,716,063,000","18,393,899,000","16,932,790,000","17,338,377,000","17,157,846,000","17,996,666,000","17,846,246,000","17,372,915,000","16,390,450,000","16,445,928,000","16,512,541,000","16,725,393,000","15,643,004,000","15,686,315,000","15,220,679,000","14,653,147,000","13,918,353,000","13,831,966,000","13,191,576,000","13,639,042,000","13,388,674,000","13,071,594,000","13,363,573,000","13,355,113,000","12,639,583,000","12,420,671,000","12,162,541,000","12,434,533,000","11,600,920,000","11,620,827,000","10,944,267,000","11,068,780,000","5,884,231,000","3,518,929,000","3,480,998,000","3,307,195,000","3,031,730,000","2,931,706,000","2,842,203,000","2,839,400,000","3,200,500,000","2,261,300,000","2,175,900,000","2,169,700,000","2,127,400,000","2,094,500,000","2,192,300,000","2,254,600,000","2,219,300,000","2,064,200,000","1,785,500,000","1,746,900,000","1,487,100,000","1,420,000,000","1,362,100,000","1,282,500,000","1,118,800,000","1,186,700,000","1,206,300,000","1,157,100,000"
CostOfRevenue,"213,549,740,000","57,568,451,000","56,843,010,000","51,517,489,000","47,620,790,000","51,064,326,000","47,897,921,000","44,141,061,000","46,029,532,000","46,633,528,000","44,453,065,000","44,008,026,000","41,894,846,000","44,094,872,000","42,264,495,000","41,930,968,000","39,778,175,000","39,353,680,000","37,947,995,000","37,627,269,000","35,890,975,000","37,131,585,000","36,436,068,000","35,773,817,000","34,623,026,000","35,744,169,000","34,496,804,000","33,342,092,000","31,757,291,000","32,836,303,000","30,716,164,000","29,656,150,000","27,726,310,000","28,488,137,000","23,901,488,000","21,344,198,000","19,806,679,000","20,794,390,000","18,596,566,000","19,080,234,000","19,376,146,000","19,767,552,000","19,789,723,000","19,507,441,000","19,072,921,000","19,308,377,000","19,122,539,000","19,013,750,000","18,688,559,000","18,772,489,000","18,177,530,000","17,874,676,000","16,759,180,000","16,848,529,000","16,630,393,000","17,498,621,000","17,287,493,000","16,865,455,000","15,862,020,000","15,848,705,000","15,906,098,000","16,130,750,000","15,057,509,000","15,129,136,000","14,659,916,000","14,124,769,000","13,396,579,000","13,329,897,000","12,689,461,000","13,178,143,000","12,894,843,000","12,495,865,000","12,781,125,000","12,827,939,000","12,055,417,000","11,860,292,000","11,581,352,000","11,913,108,000","11,072,301,000","11,110,898,000","10,429,774,000","10,597,347,000","5,617,654,000","3,373,990,000","3,329,829,000","3,169,130,000","2,892,884,000","2,801,860,000","2,710,183,000","2,719,200,000","3,043,000,000","2,157,300,000","2,064,300,000","2,067,600,000","2,023,600,000","1,994,800,000","2,078,900,000","2,148,600,000","2,111,600,000","1,963,100,000","1,691,900,000","1,660,100,000","1,412,600,000","1,338,800,000","1,283,300,000","1,212,100,000","1,046,400,000","1,120,000,000","1,140,600,000","1,093,100,000"
GrossProfit,"7,551,357,000","2,060,359,000","2,069,411,000","1,888,206,000","1,533,381,000","1,452,230,000","1,346,847,000","1,225,716,000","1,388,107,000","1,231,214,000","1,184,737,000","1,231,239,000","1,424,756,000","1,297,580,000","1,032,641,000","1,211,341,000","1,255,683,000","1,112,652,000","1,172,020,000","1,079,875,000","1,256,427,000","1,037,680,000","1,124,535,000","1,107,863,000","1,075,331,000","964,877,000","973,574,000","891,464,000","911,976,000","752,299,000","872,544,000","692,004,000","729,593,000","688,225,000","567,552,000","562,450,000","716,989,000","671,924,000","691,730,000","689,150,000","695,125,000","593,093,000","617,947,000","653,581,000","687,336,000","580,232,000","592,834,000","588,370,000","612,068,000","563,370,000","538,533,000","519,223,000","552,471,000","489,848,000","527,453,000","498,045,000","558,753,000","507,460,000","528,430,000","597,223,000","606,443,000","594,643,000","585,495,000","557,179,000","560,763,000","528,378,000","521,774,000","502,069,000","502,115,000","460,899,000","493,831,000","575,729,000","582,448,000","527,174,000","584,166,000","560,379,000","581,189,000","521,425,000","528,619,000","509,929,000","514,493,000","471,433,000","266,577,000","144,939,000","151,169,000","138,065,000","138,846,000","129,846,000","132,020,000","120,200,000","157,500,000","104,000,000","111,600,000","102,100,000","103,800,000","99,700,000","113,400,000","106,000,000","107,700,000","101,100,000","93,600,000","86,800,000","74,500,000","81,200,000","78,800,000","70,400,000","72,400,000","66,700,000","65,700,000","64,000,000"
OperatingExpense,"4,610,841,000","1,346,039,000","1,393,409,000","1,040,515,000","830,878,000","834,621,000","818,303,000","762,300,000","787,208,000","790,468,000","830,489,000","764,539,000","751,802,000","779,085,000","778,363,000","746,593,000","736,814,000","663,658,000","665,212,000","624,982,000","619,512,000","616,627,000","619,447,000","612,719,000","614,072,000","609,734,000","625,715,000","571,174,000","498,648,000","465,788,000","508,761,000","434,945,000","420,835,000","408,010,000","400,799,000","372,311,000","363,404,000","382,736,000","377,321,000","370,611,000","317,997,000","304,620,000","367,870,000","336,422,000","322,087,000","303,466,000","346,644,000","306,516,000","300,141,000","300,988,000","312,349,000","297,336,000","304,205,000","290,935,000","321,810,000","292,655,000","320,647,000","312,470,000","357,956,000","384,292,000","385,416,000","385,784,000","402,480,000","368,421,000","359,262,000","361,773,000","377,493,000","329,714,000","325,692,000","323,838,000","322,261,000","325,689,000","324,100,000","316,698,000","353,673,000","332,173,000","344,637,000","333,570,000","331,146,000","319,039,000","318,978,000","312,639,000","173,508,000","83,843,000","86,743,000","84,171,000","83,037,000","82,070,000","80,906,000","74,400,000","101,500,000","65,400,000","69,300,000","65,200,000","63,700,000","63,100,000","74,800,000","69,700,000","70,700,000","80,100,000","61,100,000","57,900,000","55,000,000","54,500,000","51,500,000","46,000,000","45,700,000","43,000,000","40,200,000","42,100,000"
	SellingGeneralAndAdministration,"4,029,293,000","1,170,110,000","1,215,688,000","913,414,000","730,081,000","735,068,000","720,966,000","666,885,000","693,413,000","685,953,000","721,944,000","656,943,000","628,036,000","656,585,000","657,805,000","626,548,000","617,426,000","558,522,000","560,877,000","525,463,000","521,843,000","520,547,000","520,149,000","520,032,000","522,760,000","528,296,000","556,367,000","502,744,000","442,443,000","416,491,000","459,249,000","387,611,000","376,341,000","364,060,000","358,303,000","331,173,000","323,536,000","342,213,000","338,685,000","332,307,000","284,638,000","273,865,000","314,998,000","308,806,000","296,132,000","278,033,000","318,810,000","289,288,000","279,454,000","280,191,000","291,473,000","277,647,000","284,771,000","272,026,000","303,279,000","271,098,000","297,607,000","290,117,000","332,898,000","359,877,000","363,367,000","362,984,000","379,734,000","346,394,000","339,113,000","340,686,000","356,597,000","310,112,000","299,672,000","302,684,000","301,737,000","305,883,000","305,482,000","299,880,000","333,360,000","315,833,000","323,563,000","317,682,000","314,184,000","304,299,000","304,576,000","297,592,000","167,015,000","79,638,000","82,462,000","79,645,000","78,526,000","77,944,000","76,323,000","70,200,000","94,400,000","61,200,000","65,100,000","61,000,000","59,400,000","59,000,000","70,700,000","65,800,000","66,900,000","76,200,000","57,600,000","54,800,000","51,800,000","51,400,000","48,900,000","43,300,000","42,800,000","40,000,000","38,500,000","39,600,000"
		SellingAndMarketingExpense,,,,,,,,,"693,413,000","685,953,000","721,944,000","656,943,000","628,036,000","656,585,000","657,805,000","626,548,000","617,426,000","558,522,000","560,877,000","525,463,000","521,843,000","520,547,000","520,149,000","520,032,000","522,760,000","528,296,000","556,367,000","502,744,000","442,443,000","416,491,000","459,249,000","387,611,000","376,341,000","364,060,000","358,303,000","331,173,000","323,536,000","342,213,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"581,548,000","175,929,000","177,721,000","127,101,000","100,797,000","99,553,000","97,337,000","95,415,000","93,795,000","104,515,000","108,545,000","107,596,000","123,766,000","122,500,000","120,558,000","120,045,000","119,388,000","105,136,000","104,335,000","99,519,000","97,669,000","96,080,000","99,298,000","92,687,000","91,312,000","81,438,000","69,348,000","68,430,000","56,205,000","49,297,000","49,512,000","47,334,000","44,494,000","43,950,000","42,496,000","41,138,000","39,868,000","40,523,000","38,636,000","38,304,000","33,359,000","30,755,000","29,305,000","27,616,000","25,955,000","25,433,000","23,352,000","21,625,000","20,687,000","20,797,000","20,876,000","19,689,000","19,434,000","18,909,000","18,531,000","21,557,000","23,040,000","22,353,000","22,094,000","24,279,000","22,049,000","22,800,000","22,746,000","22,027,000","20,149,000","21,087,000","20,896,000","19,602,000","20,761,000","21,154,000","20,524,000","19,806,000","18,618,000","16,818,000","20,313,000","16,340,000","17,069,000","17,269,000","16,962,000","14,740,000","14,402,000","15,047,000","9,209,000","4,205,000","4,281,000","4,526,000","4,511,000","4,126,000","4,583,000","4,200,000","7,100,000","4,200,000","4,200,000","4,200,000","4,300,000","4,100,000","4,100,000","3,900,000","3,800,000","3,900,000","3,500,000","3,100,000","3,200,000","3,100,000","2,600,000","2,700,000","2,900,000","3,000,000","1,700,000","2,500,000"
		DepreciationAndAmortizationInIncomeStatement,"581,548,000","175,929,000","177,721,000","127,101,000","100,797,000","99,553,000","97,337,000","95,415,000","93,795,000","104,515,000","108,545,000","107,596,000","123,766,000","122,500,000","120,558,000","120,045,000","119,388,000","105,136,000","104,335,000","99,519,000","97,669,000","96,080,000","99,298,000","92,687,000","91,312,000","81,438,000","69,348,000","68,430,000","56,205,000","49,297,000","49,512,000","47,334,000","44,494,000","43,950,000","42,496,000","41,138,000","39,868,000","40,523,000","38,636,000","38,304,000","33,359,000","30,755,000","29,305,000","27,616,000","25,955,000","25,433,000","23,352,000","21,625,000","20,687,000","20,797,000","20,876,000","19,689,000","19,434,000","18,909,000","18,531,000","21,557,000","23,040,000","22,353,000","22,094,000","24,279,000","22,049,000","22,800,000","22,746,000","22,027,000","20,149,000","21,087,000","20,896,000","19,602,000","20,761,000","21,154,000","20,524,000","19,806,000","18,618,000","16,818,000","20,313,000","16,340,000","17,069,000","17,269,000","16,962,000","14,740,000","14,402,000","15,047,000","9,209,000","4,205,000","4,281,000","4,526,000","4,511,000","4,126,000","4,583,000","4,200,000","7,100,000","4,200,000","4,200,000","4,200,000","4,300,000","4,100,000","4,100,000","3,900,000","3,800,000","3,900,000","3,500,000","3,100,000","3,200,000","3,100,000","2,600,000","2,700,000","2,900,000","3,000,000","1,700,000","2,500,000"
			DepreciationIncomeStatement,"348,464,000","95,585,000","95,289,000","82,320,000","75,270,000","73,945,000","71,553,000","69,594,000","69,796,000","69,244,000","72,668,000","71,716,000","75,219,000","75,362,000","73,899,000","72,447,000","72,718,000","64,907,000","64,017,000","59,478,000","57,751,000","55,854,000","59,010,000","52,419,000","51,471,000","49,342,000","49,034,000","48,283,000","45,699,000","43,773,000","43,161,000","40,880,000","37,968,000","37,319,000","35,709,000","34,395,000","33,069,000","33,712,000","32,635,000","31,370,000","27,771,000","25,816,000","25,061,000","23,578,000","21,876,000","21,304,000","19,189,000","17,556,000","16,601,000","16,658,000","16,879,000","15,949,000","15,607,000","15,053,000","14,556,000","17,440,000","18,141,000","17,375,000","17,663,000","19,611,000","18,087,000","17,799,000","18,817,000","18,767,000","16,951,000","18,558,000","18,260,000","17,114,000","17,636,000","18,050,000","17,355,000","16,801,000","15,795,000","14,152,000","17,178,000","14,704,000","15,264,000","15,803,000","15,842,000","14,310,000","13,851,000","14,247,000","7,882,000","3,744,000","3,680,000",,,,,,,,,,,,,,,,,,,,,,,,,
