name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986
TotalRevenue,"1,003,148,000","261,176,000","248,142,000","252,585,000","241,245,000","231,663,000","209,764,000","164,850,000","206,658,000","221,584,000","204,974,000","207,666,000","207,081,000","200,563,000","181,778,000","180,010,000","174,436,000","154,022,000","132,823,000","132,468,000","124,680,000","114,674,000","102,955,000","102,995,000","93,957,000","85,795,000","76,359,000","73,432,000","67,557,000","62,005,000","51,938,000","48,811,000","50,433,000","46,195,000","44,345,000","42,670,000","43,674,000","38,250,000","37,417,000","38,783,000","37,344,000","32,198,000","29,478,000","27,355,000","28,529,000","27,244,000","23,376,000","22,002,000","22,979,000","22,799,000","20,022,000","19,913,000","19,583,000","17,271,000","19,999,000","16,357,000","17,507,000","16,015,000","11,355,000","14,063,000","13,851,000","12,904,000","10,886,000","13,008,000","13,796,000","10,515,000","10,936,000","8,423,000","10,772,000","9,566,000","10,437,000","7,441,000","8,914,000","6,526,000","5,341,000","5,100,000","7,132,000","5,591,000","5,576,000","5,306,000","10,613,000","5,909,000","4,344,000","5,992,000","6,104,000","5,949,000","6,985,000","5,859,000","6,053,348","5,943,662","4,167,958","6,352,032","6,192,234","5,126,701","4,967,426","5,803,243","4,593,966","4,847,013","6,968,669","6,035,788","5,627,559","3,320,967","3,828,132","3,685,272","3,482,226","3,511,295","3,106,599","2,743,490","2,600,000","2,800,000","2,000,000","1,900,000","1,700,000","1,800,000","1,800,000","1,400,000","1,000,000","1,100,000","700,000","600,000","700,000","600,000","700,000","700,000","500,000","500,000","500,000","500,000","800,000","800,000","700,000","700,000","700,000","800,000","700,000","700,000","900,000","1,200,000","1,100,000","1,000,000","1,200,000","1,200,000","1,200,000","1,100,000"
	OperatingRevenue,"1,003,148,000","261,176,000","248,142,000","252,585,000","241,245,000","231,663,000","209,764,000","164,850,000","206,658,000","221,584,000","204,974,000","207,666,000","207,081,000","200,563,000","181,778,000","180,010,000","174,309,000","154,022,000","132,823,000","132,468,000","124,680,000","114,674,000","102,955,000","102,995,000","93,957,000","85,795,000","76,359,000","73,432,000","67,557,000","62,005,000","51,938,000","48,811,000","50,433,000","46,195,000","44,345,000","42,670,000","43,674,000","38,250,000","37,417,000","38,783,000","37,344,000","32,198,000","29,478,000","27,355,000","28,529,000","27,244,000","23,376,000","22,002,000","22,979,000","22,799,000","20,022,000","19,913,000","19,583,000","17,271,000","19,999,000","16,357,000","17,507,000","16,015,000","11,355,000","14,063,000","13,851,000","12,904,000","10,886,000","13,008,000","13,796,000","10,515,000","10,936,000","8,423,000","10,772,000","9,566,000","10,437,000","7,441,000","8,914,000","6,526,000","5,341,000","5,100,000","7,132,000","5,591,000","5,576,000","5,306,000","10,613,000","5,909,000","4,344,000","5,992,000","6,104,000","5,949,000","6,985,000","5,859,000","6,053,348","5,943,662","4,167,958","6,352,032","6,192,234","5,126,701","4,967,426","5,803,243","4,593,966","4,847,013","6,968,669","6,035,788","5,627,559","3,320,967","3,828,132","3,685,272","3,482,226","3,511,295","3,106,599","2,743,490","2,600,000","2,800,000","2,000,000","1,900,000","1,700,000","1,800,000","1,800,000","1,400,000","1,000,000","1,100,000","700,000","600,000","700,000","600,000","700,000","700,000","500,000","500,000","500,000","500,000","800,000","800,000","700,000","700,000","700,000","800,000","700,000","700,000","900,000","1,200,000","1,100,000","1,000,000","1,200,000","1,200,000","1,200,000","1,100,000"
CostOfRevenue,"182,779,000","47,627,000","43,886,000","45,188,000","46,078,000","41,110,000","38,736,000","35,983,000","39,368,000","39,996,000","34,867,000","37,073,000","34,849,000","34,023,000","29,846,000","30,850,000","30,098,000","24,994,000","21,627,000","21,862,000","19,261,000","18,987,000","17,309,000","15,070,000","14,663,000","12,744,000","12,144,000","10,868,000","10,806,000","9,838,000","9,612,000","9,689,000","10,114,000","9,458,000","9,027,000","8,723,000","8,826,000","8,130,000","7,194,000","7,446,000","6,786,000","6,279,000","5,551,000","5,891,000","5,848,000","5,437,000","5,408,000","5,284,000","6,239,000","5,772,000","5,446,000","5,072,000","5,498,000","4,519,000","4,793,000","5,627,000","4,883,000","3,773,000","2,877,000","3,532,000","2,731,000","2,873,000","2,925,000","3,483,000","3,834,000","3,070,000","2,448,000","2,333,000","2,723,000","2,457,000","2,429,000","1,757,000","2,833,000","2,125,000","1,411,000","1,222,000","2,142,000","2,088,000","1,598,000","1,673,000","3,211,000","1,530,000","1,183,000","1,991,000","2,042,000","1,913,000","1,485,000","1,935,000","1,799,215","1,610,330","1,115,303","1,357,152","2,071,383","1,700,538","1,563,346","1,436,865","1,307,327","1,757,126","1,908,525","1,529,278","1,737,416","1,500,180","1,074,154","1,048,699","1,111,837","997,157","907,876","914,893","900,000","1,100,000","400,000","500,000","-1,400,000","1,400,000","1,000,000","1,000,000","0","1,000,000","1,000,000","900,000","400,000","500,000","1,200,000","1,200,000",,,,,,,,,,,,,,,,,,,,
GrossProfit,"820,369,000","213,549,000","204,256,000","207,397,000","195,167,000","190,553,000","171,028,000","128,867,000","167,290,000","181,588,000","170,107,000","170,593,000","172,232,000","166,540,000","151,932,000","149,160,000","144,338,000","129,028,000","111,196,000","110,606,000","105,419,000","95,687,000","85,646,000","87,925,000","79,294,000","73,051,000","64,215,000","62,564,000","56,751,000","52,167,000","42,326,000","39,122,000","40,319,000","36,737,000","35,318,000","33,947,000","34,848,000","30,120,000","30,223,000","31,337,000","30,558,000","25,919,000","23,927,000","21,464,000","22,681,000","21,807,000","17,968,000","16,718,000","16,740,000","17,027,000","14,576,000","14,841,000","14,085,000","12,752,000","15,206,000","10,730,000","12,624,000","12,242,000","8,478,000","10,531,000","11,120,000","10,031,000","7,961,000","9,525,000","9,962,000","7,445,000","8,488,000","6,090,000","8,049,000","7,109,000","8,008,000","5,684,000","6,081,000","4,401,000","3,930,000","3,878,000","4,990,000","3,503,000","3,978,000","3,633,000","7,402,000","4,379,000","3,161,000","4,001,000","4,062,000","4,036,000","5,500,000","3,924,000","4,254,133","4,333,332","3,052,655","4,994,880","4,120,851","3,426,163","3,404,080","4,366,378","3,286,639","3,089,887","5,060,144","4,506,510","3,890,143","1,820,787","2,753,978","2,636,573","2,370,389","2,514,138","2,198,723","1,828,597","1,700,000","1,700,000","1,600,000","1,400,000","3,100,000","400,000","800,000","400,000","1,000,000","100,000","-300,000","-300,000","300,000","100,000","-500,000","-500,000",,,,,,,,,,,,,,,,,,,,
OperatingExpense,"565,862,000","148,487,000","143,820,000","141,192,000","132,363,000","119,202,000","109,692,000","94,801,000","109,238,000","111,329,000","109,925,000","109,868,000","106,844,000","104,185,000","101,612,000","102,412,000","96,771,000","84,262,000","79,470,000","77,528,000","76,425,000","70,284,000","71,138,000","66,692,000","59,481,000","55,608,000","51,398,000","47,533,000","44,388,000","38,504,000","38,148,000","40,660,000","36,641,000","32,143,000","33,920,000","35,254,000","30,716,000","27,202,000","24,291,000","27,776,000","27,616,000","23,686,000","23,161,000","25,885,000","24,092,000","22,479,000","21,015,000","22,773,000","22,014,000","21,969,000","21,973,000","22,304,000","22,256,000","18,792,000","21,159,000","20,084,000","21,518,000","20,826,000","18,449,000","19,569,000","17,421,000","16,915,000","16,835,000","15,177,000","27,246,000","11,985,000","11,527,000","11,518,000","8,505,000","7,633,000","7,740,000","8,225,000","7,770,000","6,638,000","6,810,000","7,324,000","8,308,000","8,233,000","9,498,000","9,556,000","9,765,000","11,440,000","11,071,000","11,288,000","9,693,000","9,358,000","8,564,000","7,468,000","7,822,489","8,120,352","6,362,174","5,889,985","5,749,716","5,949,591","6,256,883","5,265,647","3,593,888","4,720,076","4,864,287","3,760,044","3,689,538","2,351,811","2,626,404","2,383,568","2,333,446","2,456,614","2,274,763","1,875,773","1,900,000","1,700,000","1,700,000","1,700,000","3,500,000","900,000","1,300,000","1,300,000","1,900,000","1,000,000","1,100,000","1,000,000","2,000,000","1,800,000","1,000,000","900,000",,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"414,255,000","107,618,000","102,779,000","103,484,000","100,374,000","86,198,000","79,167,000","68,444,000","83,892,000","85,674,000","85,956,000","86,078,000","81,296,000","80,220,000","78,895,000","81,139,000","75,501,000","66,556,000","60,080,000","60,597,000","60,100,000","53,935,000","53,086,000","51,032,000","45,256,000","41,853,000","39,829,000","37,323,000","34,535,000","30,139,000","29,455,000","31,598,000","28,721,000","24,364,000","26,199,000","27,967,000","23,894,000","20,943,000","18,437,000","20,953,000","20,028,000","17,184,000","16,323,000","18,176,000","16,888,000","15,592,000","14,054,000","15,753,000","14,864,000","15,190,000","14,816,000","15,967,000","14,718,000","13,227,000","13,898,000","13,514,000","14,419,000","13,540,000","12,257,000","12,441,000","11,093,000","10,917,000","11,046,000","9,392,000","9,337,000","7,421,000","6,853,000","7,312,000","5,113,000","4,258,000","4,318,000","4,917,000","4,003,000","3,680,000","3,217,000","3,201,000","3,720,000","3,272,000","4,214,000","3,542,000","4,269,000","3,883,000","3,900,000","4,144,000","3,557,000","2,919,000","2,959,000","2,977,000","3,627,918","3,524,082","2,911,648","2,498,352","2,932,318","2,301,668","2,306,439","2,231,867","1,717,445","2,366,500","2,853,605","2,116,545","2,226,836","1,612,332","1,709,642","1,519,593","1,606,838","1,484,048","1,414,585","1,216,914","900,000","1,200,000","1,100,000","1,000,000","1,000,000","900,000","1,200,000","1,200,000","1,800,000","900,000","1,000,000","900,000","1,700,000","1,700,000","900,000","800,000",,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"151,607,000","40,869,000","41,041,000","37,708,000","31,989,000","33,004,000","30,525,000","26,357,000","25,346,000","25,655,000","23,969,000","23,790,000","25,548,000","23,965,000","22,717,000","21,273,000","21,270,000","17,706,000","19,390,000","16,931,000","16,325,000","16,349,000","18,052,000","15,660,000","14,225,000","13,755,000","11,569,000","10,210,000","9,853,000","8,365,000","8,693,000","9,062,000","7,920,000","7,779,000","7,721,000","7,287,000","6,822,000","6,259,000","5,854,000","6,712,000","7,236,000","6,140,000","6,459,000","7,324,000","6,843,000","6,592,000","6,589,000","6,653,000","6,788,000","6,397,000","6,786,000","5,983,000","7,131,000","5,203,000","6,850,000","6,144,000","6,686,000","6,883,000","5,832,000","5,516,000","5,963,000","5,625,000","5,285,000","5,419,000","16,601,000","4,564,000","4,674,000","4,206,000","3,392,000","3,375,000","3,422,000","3,308,000","3,468,000","3,115,000","3,593,000","4,123,000","4,264,000","4,990,000","5,284,000","6,014,000","5,496,000","7,557,000","7,171,000","7,144,000","6,136,000","6,439,000","5,605,000","4,491,000","4,194,571","4,596,270","3,450,526","3,391,633","2,817,398","3,647,923","3,950,444","3,033,780","3,082,760","2,353,576","2,010,682","1,643,499","1,312,702","739,479","916,762","863,975","726,608","972,566","860,178","658,859","800,000","500,000","500,000","600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","111,000","352,000","362,000","379,000","385,000","361,000","295,000","372,000","367,000","362,000","382,000","371,000","354,000","407,000","362,000","411,000","426,000","413,000","403,000","386,000","380,000","365,000","373,000","504,000","366,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000",,"100,000","100,000","100,000",,"100,000","100,000","100,000","100,000","100,000","100,000","300,000","100,000","100,000","100,000",,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","111,000","352,000","362,000","379,000","385,000","361,000","295,000","372,000","367,000","362,000","382,000","371,000","354,000","407,000","362,000","411,000","426,000","413,000","403,000","386,000","380,000","365,000","373,000","504,000","366,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000",,"100,000","100,000","100,000",,"100,000","100,000","100,000","100,000","100,000","100,000","300,000","100,000","100,000","100,000",,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","111,000","352,000","362,000","379,000","385,000","361,000","295,000","372,000","367,000","362,000","382,000","371,000","354,000","407,000","362,000","411,000","426,000","413,000","403,000","386,000","380,000","365,000","373,000","504,000","366,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
