name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"43,075,000,000","11,468,000,000","10,928,000,000","10,223,000,000","10,456,000,000","10,701,000,000","8,853,000,000","7,328,000,000","7,726,000,000","8,314,000,000","8,076,000,000","7,979,000,000","7,535,000,000","7,765,000,000","7,656,000,000","7,767,000,000","7,390,000,000","7,589,000,000","6,829,000,000","6,637,000,000","6,335,000,000","5,333,000,000","5,302,000,000","5,333,000,000","4,885,000,000","5,188,000,000","5,150,000,000","5,170,000,000","4,897,000,000","5,290,000,000","5,104,000,000","5,551,000,000","5,244,000,000","5,654,941,000","5,369,138,000","5,446,025,000","5,377,895,000","10,836,936,000","9,773,241,000","9,807,100,000","9,456,633,000","10,377,453,000","9,816,665,000","9,616,291,000","9,040,850,000","9,967,848,000","8,674,505,000","8,826,014,000","7,698,354,000","8,790,127,000","7,761,336,000","7,494,876,000","6,718,368,000","7,950,268,000","7,497,660,000","7,314,021,000","6,765,603,000","7,221,351,000","6,376,706,000","6,370,620,000","5,290,284,000","6,217,969,000","5,573,770,000","5,501,124,000","5,183,459,000","6,047,334,000","5,383,995,000","5,523,800,000","5,382,679,000","5,654,443,000","4,681,669,000","4,703,049,000","5,216,053,000","5,530,582,000","4,845,881,000","4,723,635,000","4,580,463,000","4,839,249,000","4,341,236,000","4,314,889,000","4,189,289,000","4,445,062,000","4,181,185,000","4,099,119,000","3,559,880,000","3,704,690,000","3,317,895,000","3,370,153,000","3,353,178,000","3,514,766,000","3,120,662,000","3,243,166,000","3,299,031,000","3,330,412,000","3,035,767,000","3,066,753,000","3,044,913,000","3,118,056,000","2,865,184,000","2,900,408,000","2,999,814,000","2,995,849,000","2,646,194,000","2,699,240,000","2,672,177,000","2,596,734,000","2,390,753,000","2,500,310,000","2,524,397,000","2,481,914,000","2,254,817,000","2,204,030,000","2,215,248,000","2,228,043,000","2,060,400,000","2,073,800,000","2,045,600,000","2,096,500,000","1,968,800,000","1,908,700,000","1,877,900,000","1,886,300,000","1,653,700,000","1,683,000,000","1,653,600,000","1,710,100,000","1,506,800,000","1,503,400,000","1,438,400,000","1,455,500,000","1,310,300,000","1,318,500,000","1,295,500,000","1,306,300,000","1,212,400,000","1,229,900,000","1,188,400,000","1,233,900,000","1,090,700,000","1,059,500,000","1,003,800,000","1,063,200,000","940,900,000","938,000,000","865,500,000","954,400,000","822,700,000"
	OperatingRevenue,"43,075,000,000","11,468,000,000","10,928,000,000","10,223,000,000","10,456,000,000","10,701,000,000","8,853,000,000","7,328,000,000","7,726,000,000","8,314,000,000","8,076,000,000","7,979,000,000","7,535,000,000","7,765,000,000","7,656,000,000","7,767,000,000","7,390,000,000","7,589,000,000","6,829,000,000","6,637,000,000","6,335,000,000","5,333,000,000","5,302,000,000","5,333,000,000","4,885,000,000","5,188,000,000","5,150,000,000","5,170,000,000","4,897,000,000","5,290,000,000","5,104,000,000","5,551,000,000","5,244,000,000","5,654,941,000","5,369,138,000","5,446,025,000","5,377,895,000","10,836,936,000","9,773,241,000","9,807,100,000","9,456,633,000","10,377,453,000","9,816,665,000","9,616,291,000","9,040,850,000","9,967,848,000","8,674,505,000","8,826,014,000","7,698,354,000","8,790,127,000","7,761,336,000","7,494,876,000","6,718,368,000","7,950,268,000","7,497,660,000","7,314,021,000","6,765,603,000","7,221,351,000","6,376,706,000","6,370,620,000","5,290,284,000","6,217,969,000","5,573,770,000","5,501,124,000","5,183,459,000","6,047,334,000","5,383,995,000","5,523,800,000","5,382,679,000","5,654,443,000","4,681,669,000","4,703,049,000","5,216,053,000","5,530,582,000","4,845,881,000","4,723,635,000","4,580,463,000","4,839,249,000","4,341,236,000","4,314,889,000","4,189,289,000","4,445,062,000","4,181,185,000","4,099,119,000","3,559,880,000","3,704,690,000","3,317,895,000","3,370,153,000","3,353,178,000","3,514,766,000","3,120,662,000","3,243,166,000","3,299,031,000","3,330,412,000","3,035,767,000","3,066,753,000","3,044,913,000","3,118,056,000","2,865,184,000","2,900,408,000","2,999,814,000","2,995,849,000","2,646,194,000","2,699,240,000","2,672,177,000","2,596,734,000","2,390,753,000","2,500,310,000","2,524,397,000","2,481,914,000","2,254,817,000","2,204,030,000","2,215,248,000","2,228,043,000","2,060,400,000","2,073,800,000","2,045,600,000","2,096,500,000","1,968,800,000","1,908,700,000","1,877,900,000","1,886,300,000","1,653,700,000","1,683,000,000","1,653,600,000","1,710,100,000","1,506,800,000","1,503,400,000","1,438,400,000","1,455,500,000","1,310,300,000","1,318,500,000","1,295,500,000","1,306,300,000","1,212,400,000","1,229,900,000","1,188,400,000","1,233,900,000","1,090,700,000","1,059,500,000","1,003,800,000","1,063,200,000","940,900,000","938,000,000","865,500,000","954,400,000","822,700,000"
CostOfRevenue,"18,537,000,000","4,766,000,000","4,423,000,000","4,947,000,000","4,401,000,000","4,493,000,000","3,966,000,000","3,263,000,000","3,281,000,000","3,434,000,000","3,358,000,000","3,279,000,000","3,160,000,000","3,191,000,000","3,166,000,000","3,282,000,000","3,067,000,000","3,263,000,000","2,857,000,000","3,173,000,000","3,044,000,000","2,312,000,000","2,285,000,000","2,287,000,000","2,140,000,000","2,206,000,000","2,242,000,000","2,218,000,000","2,081,000,000","2,300,000,000","2,331,000,000","2,506,000,000","2,470,000,000","2,612,895,000","2,450,532,000","2,544,825,000","2,431,803,000","4,059,410,000","3,698,078,000","3,637,305,000","3,724,921,000","3,837,875,000","3,973,250,000","3,870,472,000","3,858,983,000","4,045,040,000","3,741,116,000","3,543,932,000","3,335,104,000","3,784,223,000","3,360,187,000","3,128,998,000","2,935,921,000","3,178,381,000","3,352,869,000","3,119,700,000","2,961,072,000","3,161,680,000","2,864,030,000","2,804,326,000","2,176,695,000","2,865,612,000","2,391,218,000","2,388,613,000","2,169,704,000","2,809,557,000","2,677,188,000","2,631,835,000","2,522,531,000","2,627,094,000","2,114,919,000","2,068,722,000","2,480,281,000","2,658,013,000","2,346,807,000","2,270,855,000","2,197,741,000","2,376,093,000","2,067,494,000","2,166,590,000","1,896,077,000","2,081,101,000","2,040,899,000","1,983,064,000","1,643,318,000","1,696,440,000","1,515,505,000","1,530,254,000","1,496,447,000","1,532,767,000","1,584,643,000","1,410,942,000","1,448,831,000","1,441,688,000","1,375,010,000","1,297,770,000","1,279,973,000","1,259,462,000","1,241,842,000","1,217,043,000","1,327,331,000","1,254,587,000","1,177,247,000","1,143,947,000","1,156,217,000","1,080,618,000","1,070,253,000","1,086,023,000","1,088,911,000","1,066,912,000","1,015,831,000","946,816,000","964,272,000","1,323,727,000","792,400,000","754,700,000","813,900,000","808,500,000","781,200,000","755,900,000","731,800,000","742,000,000","672,800,000","679,300,000","666,900,000","713,200,000","637,100,000","607,500,000","596,300,000",,,,,,,,,,,,,,,,,,
GrossProfit,"24,538,000,000","6,702,000,000","6,505,000,000","5,276,000,000","6,055,000,000","6,208,000,000","4,887,000,000","4,065,000,000","4,445,000,000","4,880,000,000","4,718,000,000","4,700,000,000","4,375,000,000","4,574,000,000","4,490,000,000","4,485,000,000","4,323,000,000","4,326,000,000","3,972,000,000","3,464,000,000","3,291,000,000","3,021,000,000","3,017,000,000","3,046,000,000","2,745,000,000","2,982,000,000","2,908,000,000","2,952,000,000","2,816,000,000","2,990,000,000","2,773,000,000","3,045,000,000","2,774,000,000","3,042,046,000","2,918,606,000","2,901,200,000","2,946,092,000","6,777,526,000","6,075,163,000","6,169,795,000","5,731,712,000","6,539,578,000","5,843,415,000","5,745,819,000","5,181,867,000","5,922,808,000","4,933,389,000","5,282,082,000","4,363,250,000","5,005,904,000","4,401,149,000","4,365,878,000","3,782,447,000","4,771,887,000","4,144,791,000","4,194,321,000","3,804,531,000","4,059,671,000","3,512,676,000","3,566,294,000","3,113,589,000","3,352,357,000","3,182,552,000","3,112,511,000","3,013,755,000","3,237,777,000","2,706,807,000","2,891,965,000","2,860,148,000","3,027,349,000","2,566,750,000","2,634,327,000","2,735,772,000","2,872,569,000","2,499,074,000","2,452,780,000","2,382,722,000","2,463,156,000","2,273,742,000","2,148,299,000","2,293,212,000","2,363,961,000","2,140,286,000","2,116,055,000","1,916,562,000","2,008,250,000","1,802,390,000","1,839,899,000","1,856,731,000","1,981,999,000","1,536,019,000","1,832,224,000","1,850,200,000","1,888,724,000","1,660,757,000","1,768,983,000","1,764,940,000","1,858,594,000","1,623,342,000","1,683,365,000","1,672,483,000","1,741,262,000","1,468,947,000","1,555,293,000","1,515,960,000","1,516,116,000","1,320,500,000","1,414,287,000","1,435,486,000","1,415,002,000","1,238,986,000","1,257,214,000","1,250,976,000","904,316,000","1,268,000,000","1,319,100,000","1,231,700,000","1,288,000,000","1,187,600,000","1,152,800,000","1,146,100,000","1,144,300,000","980,900,000","1,003,700,000","986,700,000","996,900,000","869,700,000","895,900,000","842,100,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"16,113,000,000","4,324,000,000","3,959,000,000","3,884,000,000","3,946,000,000","3,776,000,000","3,392,000,000","3,393,000,000","3,687,000,000","3,491,000,000","3,520,000,000","3,494,000,000","3,636,000,000","3,409,000,000","3,495,000,000","3,603,000,000","3,715,000,000","3,635,000,000","3,162,000,000","3,037,000,000","3,493,000,000","2,073,000,000","2,120,000,000","2,230,000,000","2,221,000,000","2,167,000,000","2,195,000,000","2,223,000,000","2,206,000,000","2,163,000,000","2,042,000,000","2,284,000,000","2,323,000,000","2,285,649,000","2,288,267,000","2,273,724,000","2,331,304,000","4,334,203,000","4,086,110,000","3,955,374,000","4,005,990,000","4,057,110,000","5,248,537,000","3,799,866,000","3,780,718,000","4,092,861,000","3,752,204,000","3,676,116,000","2,892,767,000","2,972,095,000","2,761,396,000","2,694,458,000","2,721,688,000","3,028,991,000","2,748,274,000","2,709,180,000","2,637,990,000","2,541,670,000","2,586,122,000","2,379,930,000","2,235,404,000","2,299,279,000","2,279,386,000","2,569,734,000","1,949,557,000","1,936,975,000","1,858,996,000","1,797,050,000","1,724,277,000","1,851,163,000","1,536,114,000","1,673,863,000","1,643,706,000","1,766,707,000","1,526,795,000","2,088,639,000","1,402,232,000","1,574,358,000","1,360,343,000","1,357,500,000","1,248,367,000","1,505,944,000","1,395,652,000","1,345,543,000","1,065,293,000","1,085,328,000","1,017,668,000","998,332,000","1,005,367,000","1,141,075,000","959,871,000","1,002,671,000","947,450,000","1,056,856,000","957,280,000","989,294,000","962,051,000","1,077,676,000","1,001,859,000","971,153,000","936,670,000","1,025,488,000","894,239,000","903,712,000","840,962,000","860,258,000","777,583,000","819,637,000","846,007,000","825,304,000","754,958,000","713,728,000","723,981,000","290,250,000","822,800,000","899,900,000","786,200,000","819,500,000","744,400,000","951,600,000","732,900,000","682,900,000","628,300,000","631,700,000","615,700,000","594,000,000","547,100,000","543,200,000","514,200,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"11,324,000,000","3,048,000,000","2,767,000,000","2,726,000,000","2,783,000,000","2,570,000,000","2,302,000,000","2,276,000,000","2,548,000,000","2,413,000,000","2,440,000,000","2,434,000,000","2,478,000,000","2,359,000,000","2,377,000,000","2,466,000,000","2,542,000,000","2,462,000,000","2,099,000,000","2,132,000,000","2,424,000,000","1,609,000,000","1,628,000,000","1,737,000,000","1,698,000,000","1,655,000,000","1,666,000,000","1,727,000,000","1,737,000,000","1,644,000,000","1,603,000,000","1,788,000,000","1,762,000,000","1,701,473,000","1,734,693,000","1,714,275,000","1,785,559,000","3,192,772,000","2,921,923,000","2,944,492,000","3,000,308,000","2,905,503,000","4,238,910,000","2,762,086,000","2,850,318,000","2,797,229,000","2,673,277,000","2,743,418,000","2,162,400,000","2,225,047,000","2,085,660,000","2,024,252,000","2,070,945,000","2,297,360,000","2,067,914,000","2,052,317,000","2,018,033,000","1,879,269,000","1,945,404,000","1,796,456,000","1,657,030,000","1,703,112,000","1,661,761,000","1,520,397,000","1,464,415,000","1,446,583,000","1,410,127,000","1,351,792,000","1,287,621,000","1,387,196,000","1,144,416,000","1,237,353,000","1,214,682,000","1,281,014,000","1,087,796,000","1,685,886,000","996,205,000","1,141,864,000","967,218,000","978,008,000","891,686,000","1,044,579,000","995,086,000","948,202,000","747,013,000","735,646,000","699,285,000","728,943,000","730,304,000","805,473,000","683,631,000","687,727,000","680,273,000","714,349,000","665,202,000","682,162,000","682,175,000","702,292,000","675,062,000","651,005,000","656,596,000","673,079,000","615,269,000","598,866,000","572,346,000","577,877,000","521,754,000","532,277,000","598,832,000","572,964,000","515,568,000","468,739,000","497,184,000","-144,424,000","698,100,000","767,600,000","666,900,000","723,200,000","632,900,000","844,500,000","620,000,000","591,000,000","534,100,000","536,200,000","518,300,000","500,000,000","460,900,000","456,000,000","425,600,000",,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"2,742,000,000","762,000,000","672,000,000","654,000,000","654,000,000","698,000,000","580,000,000","564,000,000","578,000,000","595,000,000","596,000,000","577,000,000","672,000,000","562,000,000","574,000,000","575,000,000","589,000,000","613,000,000","562,000,000","513,000,000","547,000,000","343,000,000","352,000,000","348,000,000","379,000,000","369,000,000","378,000,000","345,000,000","313,000,000","356,000,000","307,000,000","335,000,000","387,000,000","386,243,000","356,877,000","362,557,000","346,323,000","1,141,431,000","1,164,187,000","1,010,882,000","1,005,682,000","1,151,607,000","1,009,627,000","1,037,780,000","930,400,000","1,295,632,000","1,078,927,000","932,698,000","730,367,000","747,048,000","675,736,000","670,206,000","650,743,000","731,631,000","680,360,000","656,863,000","619,957,000","662,401,000","640,718,000","583,474,000","578,374,000","596,167,000","617,625,000","1,049,337,000","485,142,000","490,392,000","448,869,000","445,258,000","436,656,000","463,967,000","391,698,000","436,510,000","429,024,000","485,693,000","438,999,000","402,753,000","406,027,000","432,494,000","393,125,000","379,492,000","356,681,000","461,365,000","400,566,000","397,341,000","318,280,000","349,682,000","318,383,000","361,592,000","321,367,000","335,602,000","276,240,000","314,944,000","267,177,000","342,507,000","292,078,000","307,132,000","279,876,000","375,384,000","326,797,000","320,148,000","280,074,000","352,409,000","278,970,000","304,846,000","268,616,000","282,381,000","255,829,000","287,360,000","247,175,000","252,340,000","239,390,000","244,989,000","226,797,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"2,047,000,000","514,000,000","520,000,000","504,000,000","509,000,000","508,000,000","510,000,000","553,000,000","561,000,000","483,000,000","484,000,000","483,000,000","486,000,000","488,000,000","544,000,000","562,000,000","584,000,000","560,000,000","501,000,000","392,000,000","522,000,000","121,000,000","140,000,000","145,000,000","144,000,000","143,000,000","151,000,000","151,000,000","156,000,000","163,000,000","132,000,000","161,000,000","174,000,000","197,933,000","196,697,000","196,892,000","199,422,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,700,000","132,300,000","119,300,000","96,300,000","111,500,000","107,100,000","112,900,000","91,900,000","94,200,000","95,500,000","97,400,000","94,000,000","86,200,000","87,200,000","88,600,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"2,047,000,000","514,000,000","520,000,000","504,000,000","509,000,000","508,000,000","510,000,000","553,000,000","561,000,000","483,000,000","484,000,000","483,000,000","486,000,000","488,000,000","544,000,000","562,000,000","584,000,000","560,000,000","501,000,000","392,000,000","522,000,000","121,000,000","140,000,000","145,000,000","144,000,000","143,000,000","151,000,000","151,000,000","156,000,000","163,000,000","132,000,000","161,000,000","174,000,000","197,933,000","196,697,000","196,892,000","199,422,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,700,000","132,300,000","119,300,000","96,300,000","111,500,000","107,100,000","112,900,000","91,900,000","94,200,000","95,500,000","97,400,000","94,000,000","86,200,000","87,200,000","88,600,000",,,,,,,,,,,,,,,,,,
			Amortization,"2,047,000,000","514,000,000","520,000,000","504,000,000","509,000,000","508,000,000","510,000,000","553,000,000","561,000,000","483,000,000","484,000,000","483,000,000","486,000,000","488,000,000","544,000,000","562,000,000","584,000,000","560,000,000","501,000,000","392,000,000","522,000,000","121,000,000","140,000,000","145,000,000","144,000,000","143,000,000","151,000,000","151,000,000","156,000,000","163,000,000","132,000,000","161,000,000","174,000,000","197,933,000","196,697,000","196,892,000","199,422,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
