name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"8,444,121,000","2,684,293,000","2,339,568,000","1,758,853,000","1,661,407,000","1,558,458,000","1,526,295,000","1,456,136,000","1,317,060,000","1,303,565,000","1,443,219,000","1,480,143,000","1,526,602,000","1,541,101,000","1,596,586,000","1,572,679,000","1,513,053,000","1,518,624,000","1,541,170,000","1,433,902,000","1,147,982,000","984,449,000","1,003,623,000","869,591,000","778,766,000","769,429,000","978,722,000","863,365,000","821,019,000","771,986,000","814,247,000","727,752,000","694,536,000","628,238,000","678,133,000","674,172,000","659,250,000","622,134,000","694,964,000","683,026,000","675,094,000","648,058,000","716,134,000","757,902,000","790,780,000","728,504,000","769,990,000","720,290,000","668,240,000","602,983,000","571,600,000","491,991,000","474,748,000","476,569,000","660,696,000","658,986,000","649,340,000","613,909,000","505,059,000","680,312,000","669,132,000","691,614,000","644,342,000","663,660,000","643,872,000","621,302,000","622,130,000","582,416,000","603,726,000","580,536,000","632,124,000","717,793,000","678,530,000","605,353,000","557,517,000","520,445,000","501,883,000","467,423,000","455,718,000","445,448,000","413,368,000","392,974,000","423,313,000","479,886,000","601,442,000","772,274,000","805,617,000","700,658,000","580,995,000","490,300,000","431,100,000","378,800,000","340,100,000","300,500,000","271,800,000","294,900,000","333,100,000","330,700,000","332,500,000","318,100,000","300,800,000","292,100,000","304,700,000","305,000,000","303,300,000","280,800,000","257,100,000","246,300,000","230,000,000","208,000,000","203,300,000","197,000,000","192,000,000","181,100,000","179,000,000","173,100,000","162,900,000","151,300,000","148,800,000","144,300,000","142,900,000","131,300,000","132,200,000","130,300,000","142,100,000","133,100,000","138,500,000","120,700,000","116,400,000","109,700,000","110,900,000","113,300,000","115,000,000","114,100,000","115,100,000","113,300,000","109,600,000","101,200,000","99,800,000","95,900,000","93,700,000","81,000,000","85,200,000","87,000,000","83,000,000","79,300,000","78,700,000"
	OperatingRevenue,"8,444,121,000","2,684,293,000","2,339,568,000","1,758,853,000","1,661,407,000","1,558,458,000","1,526,295,000","1,456,136,000","1,317,060,000","1,303,565,000","1,443,219,000","1,480,143,000","1,526,602,000","1,541,101,000","1,596,586,000","1,572,679,000","1,513,053,000","1,518,624,000","1,541,170,000","1,433,902,000","1,147,982,000","984,449,000","1,003,623,000","869,591,000","778,766,000","769,429,000","978,722,000","863,365,000","821,019,000","771,986,000","814,247,000","727,752,000","694,536,000","628,238,000","678,133,000","674,172,000","659,250,000","622,134,000","694,964,000","683,026,000","675,094,000","648,058,000","716,134,000","757,902,000","790,780,000","728,504,000","769,990,000","720,290,000","668,240,000","602,983,000","571,600,000","491,991,000","474,748,000","476,569,000","660,696,000","658,986,000","649,340,000","613,909,000","505,059,000","680,312,000","669,132,000","691,614,000","644,342,000","663,660,000","643,872,000","621,302,000","622,130,000","582,416,000","603,726,000","580,536,000","632,124,000","717,793,000","678,530,000","605,353,000","557,517,000","520,445,000","501,883,000","467,423,000","455,718,000","445,448,000","413,368,000","392,974,000","423,313,000","479,886,000","601,442,000","772,274,000","805,617,000","700,658,000","580,995,000","490,300,000","431,100,000","378,800,000","340,100,000","300,500,000","271,800,000","294,900,000","333,100,000","330,700,000","332,500,000","318,100,000","300,800,000","292,100,000","304,700,000","305,000,000","303,300,000","280,800,000","257,100,000","246,300,000","230,000,000","208,000,000","203,300,000","197,000,000","192,000,000","181,100,000","179,000,000","173,100,000","162,900,000","151,300,000","148,800,000","144,300,000","142,900,000","131,300,000","132,200,000","130,300,000","142,100,000","133,100,000","138,500,000","120,700,000","116,400,000","109,700,000","110,900,000","113,300,000","115,000,000","114,100,000","115,100,000","113,300,000","109,600,000","101,200,000","99,800,000","95,900,000","93,700,000","81,000,000","85,200,000","87,000,000","83,000,000","79,300,000","78,700,000"
CostOfRevenue,"3,562,483,000","1,282,296,000","1,217,748,000","537,669,000","524,770,000","513,087,000","503,211,000","483,558,000","470,386,000","455,423,000","501,028,000","482,332,000","492,510,000","501,445,000","502,932,000","502,033,000","479,241,000","483,434,000","535,145,000","667,278,000","507,539,000","335,945,000","336,936,000","297,301,000","267,863,000","292,136,000","336,926,000","294,328,000","276,197,000","268,379,000","328,210,000","251,462,000","235,793,000","219,120,000","233,263,000","239,110,000","237,055,000","231,850,000","251,682,000","235,152,000","234,639,000","238,668,000","255,620,000","248,262,000","256,566,000","246,331,000","253,761,000","240,088,000","233,725,000","234,507,000","249,746,000","225,762,000","213,196,000","207,567,000","257,039,000","257,192,000","253,319,000","238,106,000","173,085,000","291,727,000","287,494,000","274,594,000","269,770,000","273,550,000","263,201,000","260,515,000","259,455,000","244,178,000","257,327,000","245,008,000","255,832,000","287,271,000","277,008,000","259,888,000","246,605,000","233,846,000","228,423,000","214,286,000","213,084,000","208,182,000","192,537,000","189,177,000","203,432,000","226,008,000","206,427,000","320,020,000","333,730,000","300,519,000","257,184,000","225,100,000","205,900,000","190,500,000","176,400,000","162,800,000","152,000,000","161,500,000","169,400,000","162,700,000","164,300,000","158,800,000","150,500,000","148,600,000","152,100,000","152,300,000","150,400,000","138,200,000","126,600,000","121,200,000","113,700,000","103,100,000","101,400,000","99,900,000","98,500,000","94,600,000","78,300,000","76,600,000","71,400,000","64,700,000","63,300,000","61,600,000","62,300,000","59,500,000","54,600,000","53,700,000","57,900,000","53,500,000","59,200,000","47,900,000","46,400,000","44,000,000","44,500,000","43,600,000","41,800,000",,,,,,,,,,,,,,
GrossProfit,"4,881,638,000","1,401,997,000","1,121,820,000","1,221,184,000","1,136,637,000","1,045,371,000","1,023,084,000","972,578,000","846,674,000","848,142,000","942,191,000","997,811,000","1,034,092,000","1,039,656,000","1,093,654,000","1,070,646,000","1,033,812,000","1,035,190,000","1,006,025,000","766,624,000","640,443,000","648,504,000","666,687,000","572,290,000","510,903,000","477,293,000","641,796,000","569,037,000","544,822,000","503,607,000","486,037,000","476,290,000","458,743,000","409,118,000","444,870,000","435,062,000","422,195,000","390,284,000","443,282,000","447,874,000","440,455,000","409,390,000","460,514,000","509,640,000","534,214,000","482,173,000","516,229,000","480,202,000","434,515,000","368,476,000","321,854,000","266,229,000","261,552,000","269,002,000","403,657,000","401,794,000","396,021,000","375,803,000","331,974,000","388,585,000","381,638,000","417,020,000","374,572,000","390,110,000","380,671,000","360,787,000","362,675,000","338,238,000","346,399,000","335,528,000","376,292,000","430,522,000","401,522,000","345,465,000","310,912,000","286,599,000","273,460,000","253,137,000","242,634,000","237,266,000","220,831,000","203,797,000","219,881,000","253,878,000","395,015,000","452,254,000","471,887,000","400,139,000","323,811,000","265,200,000","225,200,000","188,300,000","163,700,000","137,700,000","119,800,000","133,400,000","163,700,000","168,000,000","168,200,000","159,300,000","150,300,000","143,500,000","152,600,000","152,700,000","152,900,000","142,600,000","130,500,000","125,100,000","116,300,000","104,900,000","101,900,000","97,100,000","93,500,000","86,500,000","100,700,000","96,500,000","91,500,000","86,600,000","85,500,000","82,700,000","80,600,000","71,800,000","77,600,000","76,600,000","84,200,000","79,600,000","79,300,000","72,800,000","70,000,000","65,700,000","66,400,000","69,700,000","73,200,000",,,,,,,,,,,,,,
OperatingExpense,"3,144,794,000","977,512,000","930,170,000","620,476,000","616,636,000","581,073,000","553,361,000","521,624,000","501,334,000","563,578,000","539,042,000","550,158,000","556,235,000","562,048,000","578,440,000","570,538,000","568,747,000","572,524,000","557,815,000","571,803,000","494,608,000","332,773,000","309,706,000","303,583,000","289,840,000","282,248,000","533,166,000","303,768,000","295,814,000","295,673,000","301,471,000","273,744,000","238,343,000","226,824,000","229,231,000","226,720,000","230,813,000","222,724,000","228,003,000","229,567,000","227,529,000","223,423,000","222,983,000","230,799,000","235,728,000","222,767,000","230,489,000","229,057,000","220,440,000","202,879,000","193,482,000","187,284,000","191,724,000","207,674,000","242,920,000","240,604,000","238,836,000","229,890,000","213,784,000","250,941,000","239,731,000","5,253,771,000","240,050,000","235,724,000","229,280,000","228,582,000","239,899,000","203,624,000","212,455,000","210,875,000","218,152,000","207,824,000","213,760,000","199,868,000","189,748,000","186,847,000","184,994,000","179,276,000","201,115,000","201,344,000","206,659,000","177,172,000","198,838,000","218,847,000","216,380,000","217,569,000","203,992,000","180,627,000","161,775,000","147,500,000","150,900,000","121,700,000","111,100,000","98,800,000","82,800,000","120,300,000","100,100,000","110,700,000","103,500,000","98,800,000","94,700,000","90,800,000","95,100,000","94,100,000","94,800,000","89,700,000","83,675,000","82,400,000","78,900,000","74,000,000","72,800,000","70,600,000","68,500,000","65,300,000","81,900,000","79,300,000","76,700,000","74,600,000","75,300,000","74,400,000","73,500,000","71,300,000","79,900,000","74,100,000","73,500,000","72,900,000","94,100,000","65,500,000","63,100,000","58,800,000","59,800,000","59,000,000","59,800,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,027,508,000","297,365,000","317,455,000","206,076,000","206,612,000","185,275,000","165,115,000","153,753,000","141,775,000","199,280,000","154,799,000","162,825,000","163,128,000","167,342,000","175,396,000","171,487,000","172,146,000","176,908,000","185,721,000","183,980,000","190,686,000","130,659,000","118,881,000","122,909,000","112,186,000","107,462,000","121,400,000","120,030,000","117,371,000","120,171,000","121,424,000","132,989,000","102,085,000","98,178,000","98,197,000","97,773,000","102,703,000","97,560,000","97,609,000","99,873,000","99,992,000","99,045,000","99,094,000","102,323,000","105,268,000","100,022,000","102,349,000","102,070,000","97,660,000","88,481,000","83,356,000","79,706,000","82,276,000","87,846,000","106,381,000","104,767,000","104,183,000","100,351,000","93,116,000","102,379,000","93,045,000","104,681,000","100,710,000","99,663,000","97,432,000","96,281,000","84,715,000","84,407,000","85,813,000","83,341,000","86,354,000","89,162,000","85,282,000","79,238,000","75,007,000","72,178,000","71,509,000","69,315,000","69,204,000","67,138,000","62,354,000","58,358,000","57,447,000","66,583,000","77,563,000","85,553,000","80,569,000","77,198,000","71,073,000","64,500,000","59,700,000","54,600,000","49,200,000","46,200,000","46,600,000","48,200,000","57,000,000","55,600,000","50,700,000","48,900,000","46,900,000","45,100,000","48,400,000","48,600,000","50,000,000","48,800,000","48,300,000","47,400,000","45,600,000","43,700,000","43,800,000","43,300,000","42,200,000","41,000,000","66,000,000","64,500,000","61,800,000","60,400,000","61,100,000","60,400,000","60,000,000","58,000,000","66,400,000","60,800,000","60,700,000","59,900,000","79,900,000","54,400,000","52,400,000","48,000,000","48,900,000","48,300,000","49,900,000",,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,434,756,000","426,780,000","399,121,000","306,617,000","302,238,000","288,150,000","280,239,000","260,794,000","252,413,000","257,073,000","277,018,000","280,102,000","285,846,000","287,382,000","295,699,000","291,642,000","289,472,000","288,597,000","273,746,000","275,670,000","235,232,000","183,954,000","172,926,000","163,227,000","160,235,000","157,428,000","170,736,000","160,784,000","154,233,000","151,706,000","154,797,000","140,095,000","136,258,000","128,646,000","131,034,000","128,947,000","128,110,000","125,164,000","130,394,000","129,694,000","127,537,000","124,378,000","123,889,000","128,476,000","130,460,000","122,745,000","128,140,000","126,987,000","122,780,000","114,398,000","110,126,000","107,578,000","109,448,000","119,828,000","133,451,000","135,837,000","134,653,000","129,539,000","80,173,000","148,562,000","146,686,000","143,894,000","137,550,000","136,061,000","131,848,000","131,288,000","123,704,000","119,217,000","126,642,000","127,534,000","131,121,000","132,856,000","127,802,000","119,953,000","114,422,000","113,672,000","112,829,000","109,309,000","109,299,000","107,040,000","102,821,000","104,709,000","106,054,000","112,101,000","124,821,000","121,710,000","123,423,000","103,429,000","90,702,000","83,000,000","75,400,000","67,100,000","61,900,000","52,600,000","53,100,000","55,100,000","56,200,000","55,000,000","52,700,000","49,900,000","47,800,000","45,700,000","46,500,000","45,600,000","44,800,000","40,900,000","35,700,000","35,000,000","33,300,000","30,300,000","29,100,000","27,200,000","26,400,000","24,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"682,530,000","253,367,000","213,594,000","107,783,000","107,786,000","107,648,000","108,007,000","107,077,000","107,146,000","107,225,000","107,225,000","107,231,000","107,261,000","107,324,000","107,345,000","107,409,000","107,129,000","107,019,000","98,348,000","112,153,000","68,690,000","18,160,000","17,899,000","17,447,000","17,419,000","17,358,000","17,358,000","22,954,000","24,210,000","23,796,000","25,250,000","660,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"677,000","680,000","676,000","677,000","660,000","656,000","656,000","652,000","14,207,000","14,327,000","14,234,000","14,105,000","14,487,000","14,006,000","66,204,000","10,306,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,900,000","14,800,000","14,900,000","14,200,000","14,200,000","14,000,000","13,500,000","13,300,000","13,500,000","13,300,000","12,800,000","13,000,000","14,200,000","11,100,000","10,700,000","10,800,000","10,900,000","10,700,000","9,900,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"682,530,000","253,367,000","213,594,000","107,783,000","107,786,000","107,648,000","108,007,000","107,077,000","107,146,000","107,225,000","107,225,000","107,231,000","107,261,000","107,324,000","107,345,000","107,409,000","107,129,000","107,019,000","98,348,000","112,153,000","68,690,000","18,160,000","17,899,000","17,447,000","17,419,000","17,358,000","17,358,000","22,954,000","24,210,000","23,796,000","25,250,000","660,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"677,000","680,000","676,000","677,000","660,000","656,000","656,000","652,000","14,207,000","14,327,000","14,234,000","14,105,000","14,487,000","14,006,000","66,204,000","10,306,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,900,000","14,800,000","14,900,000","14,200,000","14,200,000","14,000,000","13,500,000","13,300,000","13,500,000","13,300,000","12,800,000","13,000,000","14,200,000","11,100,000","10,700,000","10,800,000","10,900,000","10,700,000","9,900,000",,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,208,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
