name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"15,279,000,000","3,919,400,000","3,731,200,000","3,633,800,000","3,994,600,000","3,590,300,000","3,364,200,000","3,262,000,000","3,888,900,000","3,531,800,000","3,361,800,000","3,351,800,000","3,680,000,000","3,376,800,000","3,204,700,000","3,193,000,000","3,558,200,000","3,128,700,000","2,979,400,000","2,960,100,000","3,299,200,000","2,895,500,000","2,827,700,000","2,801,000,000","3,145,800,000","2,717,700,000","2,626,200,000","2,576,700,000","2,930,300,000","2,570,300,000","2,483,500,000","2,978,700,000","3,219,900,000","2,893,600,000","2,750,400,000","2,710,000,000","3,002,300,000","2,646,100,000","2,530,700,000","2,516,300,000","2,789,800,000","2,583,000,000","2,522,500,000","2,371,400,000","2,588,700,000","2,276,700,000","2,229,400,000","2,190,300,000","2,443,200,000","2,204,400,000","2,102,800,000","2,107,700,000","2,374,700,000","2,203,300,000","2,181,500,000","2,207,200,000","2,427,200,000","2,150,100,000","1,992,000,000","1,945,700,000","2,189,300,000","2,316,100,000","2,217,600,000","2,473,800,000","2,438,600,000","2,153,200,000","2,046,200,000","2,302,471,000","2,348,963,000","1,993,584,000","1,854,682,000","2,085,830,000","2,121,435,000","1,827,400,000","1,720,277,000","1,911,559,000","1,905,778,000","1,682,995,000","1,646,685,000","1,845,316,000","1,870,036,000","1,681,028,000","1,607,883,000","1,853,088,000","1,894,320,000","1,553,721,000","1,470,884,000","1,375,605,000","1,719,730,000","1,492,500,000","1,351,100,000","1,470,600,000","1,514,100,000","1,274,900,000","1,210,300,000","1,302,200,000","1,309,300,000","1,148,000,000","1,038,500,000","1,079,600,000","1,126,300,000","995,600,000","910,700,000","967,900,000","1,031,900,000","819,700,000","747,100,000","799,800,000","799,000,000","672,600,000","622,300,000","665,000,000","674,400,000","577,700,000","552,000,000","596,700,000","613,000,000","518,500,000","495,300,000","516,900,000","545,300,000","449,300,000","429,100,000","441,600,000","490,900,000","425,100,000","414,300,000","425,800,000","470,800,000","414,000,000","403,400,000","418,100,000","454,000,000","409,500,000","396,100,000","393,200,000","418,000,000","376,700,000","361,300,000","355,200,000","373,700,000","334,200,000","321,100,000","318,500,000","324,300,000","290,300,000","271,200,000"
	OperatingRevenue,"15,279,000,000","3,919,400,000","3,731,200,000","3,633,800,000","3,994,600,000","3,590,300,000","3,364,200,000","3,262,000,000","3,888,900,000","3,531,800,000","3,361,800,000","3,351,800,000","3,680,000,000","3,376,800,000","3,204,700,000","3,193,000,000","3,558,200,000","3,128,700,000","2,979,400,000","2,960,100,000","3,299,200,000","2,895,500,000","2,827,700,000","2,801,000,000","3,145,800,000","2,717,700,000","2,626,200,000","2,576,700,000","2,930,300,000","2,570,300,000","2,483,500,000","2,978,700,000","3,219,900,000","2,893,600,000","2,750,400,000","2,710,000,000","3,002,300,000","2,646,100,000","2,530,700,000","2,516,300,000","2,789,800,000","2,583,000,000","2,522,500,000","2,371,400,000","2,588,700,000","2,276,700,000","2,102,600,000","2,051,000,000","2,295,300,000","2,076,700,000","2,102,800,000","2,848,200,000","1,884,100,000","2,203,300,000","2,181,500,000","2,207,200,000","2,427,200,000","2,150,100,000","1,992,000,000","1,945,700,000","2,189,300,000","2,316,100,000","2,217,600,000","2,317,500,000","2,272,400,000","2,034,300,000","1,937,800,000","2,180,688,000","2,224,538,000","1,902,455,000","1,770,019,000","1,992,087,000","1,894,672,000","1,745,198,000","1,637,343,000","1,819,567,000","1,806,670,000","1,595,233,000","1,556,820,000","1,745,220,000","1,762,156,000","1,570,956,000","1,494,695,000","1,723,015,000","1,750,994,000","1,553,721,000","1,470,884,000","1,375,605,000","1,719,730,000","1,492,500,000","1,351,100,000","1,470,600,000","1,514,100,000","1,274,900,000","1,210,300,000","1,302,200,000","1,309,300,000","1,148,000,000","1,038,500,000","1,079,600,000","1,126,300,000","995,600,000","910,700,000","967,900,000","1,031,900,000","819,700,000","747,100,000","799,800,000","799,000,000","672,600,000","622,300,000","665,000,000","674,400,000","577,700,000","552,000,000","596,700,000","613,000,000","518,500,000","495,300,000","516,900,000","545,300,000","449,300,000","429,100,000","441,600,000","490,900,000","425,100,000","414,300,000","425,800,000","470,800,000","414,000,000","403,400,000","418,100,000","454,000,000","409,500,000","396,100,000","393,200,000","418,000,000","376,700,000","361,300,000","355,200,000","373,700,000","334,200,000","321,100,000","318,500,000","324,300,000","290,300,000","271,200,000"
CostOfRevenue,"9,047,300,000","2,341,200,000","2,222,600,000","2,205,500,000","2,278,100,000","2,122,400,000","2,034,300,000","2,067,100,000","2,239,100,000","2,094,100,000","2,044,800,000","2,020,500,000","2,111,800,000","2,013,700,000","1,940,500,000","1,952,300,000","2,077,400,000","1,946,700,000","1,866,400,000","1,847,400,000","1,911,000,000","1,767,800,000","1,743,600,000","1,698,600,000","1,812,700,000","1,682,500,000","1,646,500,000","1,590,700,000","1,688,000,000","1,587,000,000","1,561,900,000","1,845,500,000","1,884,400,000","1,772,400,000","1,724,400,000","1,692,800,000","1,745,900,000","1,624,300,000","1,586,500,000","1,589,200,000","1,624,700,000","1,519,900,000","1,506,100,000","1,518,700,000","1,520,600,000","1,380,300,000","1,311,900,000","1,282,300,000","1,330,700,000","1,231,300,000","1,193,300,000","1,196,700,000","1,218,600,000","1,007,100,000","1,046,900,000","994,100,000","1,033,500,000","979,800,000","908,300,000","855,500,000","899,400,000","1,110,400,000","1,111,900,000","1,253,200,000","1,148,500,000","992,200,000","973,500,000","1,118,688,000","1,068,073,000","915,719,000","867,020,000","976,499,000","944,373,000","810,300,000","794,241,000","888,955,000","796,580,000","702,716,000","708,468,000","829,831,000","772,492,000","691,970,000","676,352,000","808,764,000","754,300,000","677,102,000","659,958,000","737,694,000","661,935,000","613,800,000","551,100,000","650,900,000","611,200,000","535,600,000","529,900,000","593,500,000","536,000,000","490,200,000","443,400,000","473,100,000","440,300,000","418,000,000","391,500,000","428,600,000","428,400,000","342,700,000","316,800,000","346,900,000","309,600,000","268,100,000","252,700,000","297,100,000","266,100,000","270,600,000","266,700,000","269,900,000","236,600,000","212,600,000","208,100,000","228,200,000","216,700,000","187,500,000","183,800,000","192,300,000","195,100,000","186,000,000","183,300,000","189,400,000","189,400,000","180,600,000",,"193,600,000","190,900,000",,,,,,,,,,,,,,
GrossProfit,"6,231,700,000","1,578,200,000","1,508,600,000","1,428,300,000","1,716,500,000","1,467,900,000","1,329,900,000","1,194,900,000","1,649,800,000","1,437,700,000","1,317,000,000","1,331,300,000","1,568,200,000","1,363,100,000","1,264,200,000","1,240,700,000","1,480,800,000","1,182,000,000","1,113,000,000","1,112,700,000","1,388,200,000","1,127,700,000","1,084,100,000","1,102,400,000","1,333,100,000","1,035,200,000","979,700,000","986,000,000","1,242,300,000","983,300,000","921,600,000","1,133,200,000","1,335,500,000","1,121,200,000","1,026,000,000","1,017,200,000","1,256,400,000","1,021,800,000","944,200,000","927,100,000","1,165,100,000","1,063,100,000","1,016,400,000","852,700,000","1,068,100,000","896,400,000","917,500,000","908,000,000","1,112,500,000","973,100,000","909,500,000","911,000,000","1,156,100,000","1,196,200,000","1,134,600,000","1,213,100,000","1,393,700,000","1,170,300,000","1,083,700,000","1,090,200,000","1,289,900,000","1,205,700,000","1,105,700,000","1,220,600,000","1,290,100,000","1,161,000,000","1,072,700,000","1,183,783,000","1,280,890,000","1,077,865,000","987,662,000","1,109,331,000","1,177,062,000","1,017,100,000","926,036,000","1,022,604,000","1,109,198,000","980,279,000","938,217,000","1,015,485,000","1,097,544,000","989,058,000","931,531,000","1,044,324,000","1,140,020,000","876,619,000","810,926,000","637,911,000","1,057,795,000","878,700,000","800,000,000","819,700,000","902,900,000","739,300,000","680,400,000","708,700,000","773,300,000","657,800,000","595,100,000","606,500,000","686,000,000","577,600,000","519,200,000","539,300,000","603,500,000","477,000,000","430,300,000","452,900,000","489,400,000","404,500,000","369,600,000","367,900,000","408,300,000","307,100,000","285,300,000","326,800,000","376,400,000","305,900,000","287,200,000","288,700,000","328,600,000","261,800,000","245,300,000","249,300,000","295,800,000","239,100,000","231,000,000","236,400,000","281,400,000","233,400,000",,"224,500,000","263,100,000",,,,,,,,,,,,,,
OperatingExpense,"3,105,100,000","782,300,000","719,200,000","840,700,000","763,000,000","755,800,000","681,000,000","765,600,000","756,600,000","754,300,000","726,500,000","854,800,000","750,400,000","745,200,000","713,900,000","836,700,000","755,100,000","717,200,000","662,400,000","829,600,000","665,000,000","640,800,000","647,700,000","770,300,000","634,400,000","627,200,000","605,300,000","720,500,000","608,200,000","590,200,000","578,000,000","776,400,000","673,200,000","675,600,000","638,600,000","730,100,000","654,400,000","624,700,000","611,400,000","677,400,000","622,100,000","577,500,000","589,200,000","660,300,000","577,300,000","570,100,000","515,600,000","611,900,000","504,900,000","520,100,000","492,700,000","577,400,000","520,400,000","753,500,000","716,500,000","898,400,000","776,200,000","742,900,000","717,400,000","819,200,000","730,300,000","771,600,000","747,800,000","833,000,000","734,800,000","732,100,000","722,900,000","779,698,000","745,005,000","691,594,000","669,303,000","782,489,000","709,419,000","666,027,000","633,358,000","700,911,000","603,697,000","592,084,000","635,535,000","580,403,000","558,807,000","579,547,000","641,853,000","623,297,000","624,579,000","616,654,000","636,053,000","602,241,000","639,529,000","571,800,000","574,300,000","523,400,000","547,400,000","457,800,000","492,600,000","466,800,000","489,600,000","435,900,000","434,100,000","396,100,000","442,100,000","389,900,000","380,000,000","357,700,000","395,800,000","317,800,000","313,700,000","302,400,000","314,300,000","270,200,000","271,100,000","242,000,000","262,700,000","195,400,000","201,100,000","217,200,000","249,800,000","208,900,000","213,800,000","189,900,000","218,100,000","179,900,000","182,700,000","164,400,000","201,800,000","167,000,000","174,200,000","155,900,000","192,100,000","163,300,000",,"142,800,000","178,100,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,105,100,000","782,300,000","719,200,000","840,700,000","763,000,000","755,800,000","681,000,000","765,600,000","756,600,000","754,300,000","726,500,000","854,800,000","750,400,000","745,200,000","713,900,000","836,700,000","755,100,000","717,200,000","662,400,000","829,600,000","665,000,000","640,800,000","647,700,000","770,300,000","634,400,000","627,200,000","605,300,000","720,500,000","608,200,000","590,200,000","578,000,000","776,400,000","673,200,000","675,600,000","638,600,000","730,100,000","654,400,000","624,700,000","611,400,000","677,400,000","622,100,000","577,500,000","589,200,000","660,300,000","577,300,000","570,100,000","515,600,000","611,900,000","504,900,000","520,100,000","492,700,000","577,400,000","520,400,000","573,100,000","526,700,000","697,000,000","585,300,000","554,500,000","533,600,000","635,700,000","554,100,000","564,300,000","528,400,000","602,600,000","517,300,000","489,000,000","485,500,000","532,693,000","512,886,000","465,363,000","446,158,000","529,775,000","487,410,000","459,293,000","426,878,000","495,602,000","412,793,000","402,005,000","447,953,000","387,354,000","369,217,000","393,558,000","456,561,000","401,285,000","418,101,000","410,627,000","435,435,000","396,343,000","446,931,000","395,100,000","405,000,000","351,400,000","379,500,000","284,400,000","323,000,000","296,400,000","334,500,000","286,400,000","289,400,000","257,700,000","308,100,000","261,500,000","260,800,000","231,700,000","276,700,000","210,300,000","215,000,000","195,200,000","224,100,000","183,900,000","188,900,000","157,700,000","184,300,000","158,700,000","165,500,000","178,900,000","214,100,000","175,600,000","180,900,000","159,800,000","189,100,000","151,100,000","154,400,000","134,700,000","172,200,000","138,900,000","147,000,000","125,400,000","162,500,000","137,600,000",,"111,300,000","145,300,000",,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"123,100,000","130,400,000","140,800,000","132,000,000","128,800,000","124,400,000","130,400,000","122,200,000","145,100,000","137,600,000","155,300,000","146,600,000","163,700,000","159,800,000","170,944,000","154,362,000","150,070,000","148,724,000","171,462,000","144,824,000","133,125,000","131,754,000","134,513,000","123,401,000","121,380,000","119,898,000","125,087,000","116,387,000","117,540,000","115,829,000","141,138,000","126,564,000","127,503,000","119,074,000","127,648,000","119,747,000","109,200,000","103,700,000","103,100,000","102,500,000","105,400,000","100,700,000","102,900,000","93,600,000","91,400,000","87,300,000","82,500,000","74,800,000","73,100,000","66,100,000","72,800,000","63,800,000","58,900,000","54,200,000","54,300,000","48,100,000","46,500,000","44,400,000","44,900,000","41,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,300,000","59,400,000","60,600,000","58,900,000","59,600,000","59,400,000","53,100,000","54,000,000","62,200,000","81,800,000","75,100,000","70,900,000","79,400,000","77,600,000","76,061,000","77,757,000","76,161,000","74,421,000","81,252,000","77,185,000","73,609,000","74,726,000","70,796,000","67,503,000","68,699,000","67,684,000","67,962,000","73,203,000","68,449,000","69,463,000","80,874,000","79,914,000","78,524,000","81,544,000","78,250,000","72,851,000","67,500,000","65,600,000","68,900,000","65,400,000","68,000,000","68,900,000","67,500,000","61,500,000","58,100,000","57,400,000","55,900,000","59,200,000","55,300,000","53,100,000","53,200,000","55,300,000","48,600,000","44,500,000","52,900,000","42,100,000","39,800,000","37,800,000","39,400,000","36,600,000","36,700,000","35,600,000","38,300,000","35,700,000","33,300,000","32,900,000","30,100,000","29,000,000","28,800,000","28,300,000","29,700,000","29,600,000","28,100,000","27,200,000","30,500,000","29,600,000","25,700,000",,"31,500,000","32,800,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,300,000","59,400,000","60,600,000","58,900,000","59,600,000","59,400,000","53,100,000","54,000,000","62,200,000","81,800,000","75,100,000","70,900,000","79,400,000","77,600,000","76,061,000","77,757,000","76,161,000","74,421,000","81,252,000","77,185,000","73,609,000","74,726,000","70,796,000","67,503,000","68,699,000","67,684,000","67,962,000","73,203,000","68,449,000","69,463,000","80,874,000","79,914,000","78,524,000","81,544,000","78,250,000","72,851,000","67,500,000","65,600,000","68,900,000","65,400,000","68,000,000","68,900,000","67,500,000","61,500,000","58,100,000","57,400,000","55,900,000","59,200,000","55,300,000","53,100,000","53,200,000","55,300,000","48,600,000","44,500,000","52,900,000","42,100,000","39,800,000","37,800,000","39,400,000","36,600,000","36,700,000","35,600,000","38,300,000","35,700,000","33,300,000","32,900,000","30,100,000","29,000,000","28,800,000","28,300,000","29,700,000","29,600,000","28,100,000","27,200,000","30,500,000","29,600,000","25,700,000",,"31,500,000","32,800,000",,,,,,,,,,,,,,
OperatingIncome,"3,126,600,000","795,900,000","789,400,000","587,600,000","953,500,000","712,100,000","648,900,000","429,300,000","893,200,000","683,400,000","590,500,000","476,500,000","817,800,000","617,900,000","550,300,000","404,000,000","725,700,000","464,800,000","450,600,000","283,100,000","723,200,000","486,900,000","436,400,000","332,100,000","698,700,000","408,000,000","374,400,000","265,500,000","634,100,000","393,100,000","343,600,000","356,800,000","662,300,000","445,600,000","387,400,000","287,100,000","602,000,000","397,100,000","332,800,000","249,700,000","543,000,000","485,600,000","427,200,000","192,400,000","490,800,000","326,300,000","401,900,000","296,100,000","607,600,000","453,000,000","416,800,000","333,600,000","635,700,000","442,700,000","418,100,000","314,700,000","617,500,000","427,400,000","366,300,000","271,000,000","559,600,000","434,100,000","357,900,000","387,600,000","555,300,000","428,900,000","349,800,000","404,085,000","535,885,000","386,271,000","318,359,000","326,842,000","467,643,000","351,073,000","292,678,000","321,693,000","505,501,000","388,195,000","302,682,000","435,082,000","538,737,000","409,511,000","289,678,000","421,027,000","515,441,000","259,965,000","174,873,000","35,670,000","418,266,000","306,900,000","225,700,000","296,300,000","355,500,000","281,500,000","187,800,000","241,900,000","283,700,000","221,900,000","161,000,000","210,400,000","243,900,000","187,700,000","139,200,000","181,600,000","207,700,000","159,200,000","116,600,000","150,500,000","175,100,000","134,300,000","98,500,000","125,900,000","145,600,000","111,700,000","84,200,000","109,600,000","126,600,000","97,000,000","73,400,000","98,800,000","110,500,000","81,900,000","62,600,000","84,900,000","94,000,000","72,100,000","56,800,000","80,500,000","89,300,000","70,100,000","403,400,000","81,700,000","85,000,000","409,500,000","396,100,000","-883,900,000","418,000,000","376,700,000","361,300,000","-787,000,000","373,700,000","334,200,000","321,100,000","-686,500,000","324,300,000","290,300,000","271,200,000"
