name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalRevenue,"6,394,000,000","1,545,000,000","1,811,000,000","1,472,000,000","1,566,000,000","1,328,000,000","1,628,000,000","1,398,000,000","1,440,000,000","1,316,000,000","1,659,000,000","1,379,000,000","1,556,000,000","1,419,000,000","1,724,000,000","1,563,000,000","1,585,000,000","1,402,000,000","1,723,000,000","1,538,000,000","1,514,000,000","1,356,000,000","1,859,000,000","1,427,000,000","1,434,000,000","1,308,000,000","1,833,000,000","1,401,000,000","1,556,000,000","1,370,000,000","1,670,000,000","1,419,000,000","1,594,000,000","1,322,000,000","1,638,000,000","1,403,000,000","1,475,000,000","1,509,000,000","2,001,000,000","1,660,000,000","1,658,000,000","1,578,000,000","2,268,000,000","1,781,000,000","1,904,000,000","1,764,000,000","2,267,000,000","1,704,000,000","1,916,000,000","1,675,000,000","1,815,000,000","1,684,000,000","1,916,000,000","1,908,000,000","2,060,000,000","1,788,000,000","2,079,000,000","1,807,000,000","1,997,000,000","1,723,000,000","2,019,000,000","1,620,000,000","1,910,000,000","1,550,000,000","1,800,000,000","1,701,000,000","1,868,000,000","1,590,000,000","1,626,000,000","1,475,000,000","1,317,000,000","1,152,000,000","1,216,000,000","1,047,000,000","1,350,000,000","1,088,000,000","1,108,000,000","503,000,000","1,232,000,000","1,111,000,000","1,115,000,000","992,710,000","1,431,613,000","1,057,016,000","1,024,528,000","894,758,000","1,195,411,000","940,304,000","825,376,000","734,300,000","1,193,500,000","859,900,000","735,900,000","678,500,000","1,117,100,000","821,800,000","700,800,000","732,000,000","1,043,100,000","791,800,000","759,700,000"
	OperatingRevenue,"6,394,000,000","1,545,000,000","1,811,000,000","1,472,000,000","1,566,000,000","1,328,000,000","1,628,000,000","1,398,000,000","1,440,000,000","1,316,000,000","1,659,000,000","1,379,000,000","1,556,000,000","1,419,000,000","1,724,000,000","1,563,000,000","1,585,000,000","1,402,000,000","1,723,000,000","1,538,000,000","1,514,000,000","1,356,000,000","1,859,000,000","1,427,000,000","1,434,000,000","1,308,000,000","1,833,000,000","1,401,000,000","1,556,000,000","1,370,000,000","1,670,000,000","1,419,000,000","1,594,000,000","1,322,000,000","1,638,000,000","1,403,000,000","1,475,000,000","1,509,000,000","2,001,000,000","1,660,000,000","1,658,000,000","1,578,000,000","2,268,000,000","1,781,000,000","1,904,000,000","1,764,000,000","2,267,000,000","1,704,000,000","1,916,000,000","1,675,000,000","1,815,000,000","1,684,000,000","1,916,000,000","1,908,000,000","2,060,000,000","1,788,000,000","2,079,000,000","1,807,000,000","1,997,000,000","1,723,000,000","2,019,000,000","1,620,000,000","1,910,000,000","1,550,000,000","1,800,000,000","1,701,000,000","1,868,000,000","1,590,000,000","1,626,000,000","1,475,000,000","1,317,000,000","1,152,000,000","1,216,000,000","1,047,000,000","1,350,000,000","1,088,000,000","1,108,000,000","503,000,000","1,232,000,000","1,111,000,000","1,115,000,000","992,710,000","1,431,613,000","1,057,016,000","1,024,528,000","894,758,000","1,195,411,000","940,304,000","825,376,000","734,300,000","1,193,500,000","859,900,000","735,900,000","678,500,000","1,117,100,000","821,800,000","700,800,000","732,000,000","1,043,100,000","791,800,000","759,700,000"
CostOfRevenue,"3,403,000,000","938,000,000","845,000,000","779,000,000","841,000,000","730,000,000","733,000,000","654,000,000","819,000,000","781,000,000","760,000,000","732,000,000","894,000,000","902,000,000","823,000,000","818,000,000","953,000,000","836,000,000","788,000,000","801,000,000","921,000,000","885,000,000","828,000,000","777,000,000","893,000,000","862,000,000","878,000,000","779,000,000","982,000,000","945,000,000","801,000,000","800,000,000","1,040,000,000","869,000,000","775,000,000","853,000,000","993,000,000","2,379,000,000","635,000,000","528,000,000","705,000,000","677,000,000","845,000,000","687,000,000","894,000,000","743,000,000","821,000,000","637,000,000","897,000,000","701,000,000","619,000,000","589,000,000","890,000,000","918,000,000","905,000,000","671,000,000","589,000,000","862,000,000","825,000,000","710,000,000","1,057,000,000","786,000,000","707,000,000","628,000,000","978,000,000","938,000,000","711,000,000","597,000,000","770,000,000","53,000,000","377,000,000","357,000,000","484,000,000","-64,000,000","384,000,000","315,000,000","221,000,000","-279,000,000","331,000,000","353,000,000","525,000,000","449,312,000","513,781,000","381,204,000","439,709,000","357,880,000","308,789,000","270,094,000","297,925,000","319,900,000","304,700,000","248,000,000","232,100,000","182,900,000","252,800,000","226,300,000","209,900,000",,,,
GrossProfit,"2,991,000,000","607,000,000","966,000,000","693,000,000","725,000,000","598,000,000","895,000,000","744,000,000","621,000,000","535,000,000","899,000,000","647,000,000","662,000,000","517,000,000","901,000,000","745,000,000","632,000,000","566,000,000","935,000,000","737,000,000","593,000,000","471,000,000","1,031,000,000","650,000,000","541,000,000","446,000,000","955,000,000","622,000,000","574,000,000","425,000,000","869,000,000","619,000,000","554,000,000","453,000,000","863,000,000","550,000,000","482,000,000","-870,000,000","1,366,000,000","1,132,000,000","953,000,000","901,000,000","1,423,000,000","1,094,000,000","1,010,000,000","1,021,000,000","1,446,000,000","1,067,000,000","1,019,000,000","974,000,000","1,196,000,000","1,095,000,000","1,026,000,000","990,000,000","1,155,000,000","1,117,000,000","1,490,000,000","945,000,000","1,172,000,000","1,013,000,000","962,000,000","834,000,000","1,203,000,000","922,000,000","822,000,000","763,000,000","1,157,000,000","993,000,000","856,000,000","1,422,000,000","940,000,000","795,000,000","732,000,000","1,111,000,000","966,000,000","773,000,000","887,000,000","782,000,000","901,000,000","758,000,000","590,000,000","543,398,000","917,832,000","675,812,000","584,819,000","536,878,000","886,622,000","670,210,000","527,451,000","414,400,000","888,800,000","611,900,000","503,800,000","495,600,000","864,300,000","595,500,000","490,900,000",,,,
OperatingExpense,"1,658,000,000","410,000,000","432,000,000","407,000,000","409,000,000","387,000,000","401,000,000","390,000,000","380,000,000","356,000,000","379,000,000","367,000,000","374,000,000","351,000,000","368,000,000","360,000,000","359,000,000","341,000,000","354,000,000","339,000,000","339,000,000","326,000,000","340,000,000","325,000,000","321,000,000","306,000,000","329,000,000","385,000,000","318,000,000","300,000,000","308,000,000","297,000,000","308,000,000","282,000,000","296,000,000","289,000,000","297,000,000","-1,004,000,000","731,000,000","769,000,000","747,000,000","754,000,000","749,000,000","778,000,000","783,000,000","823,000,000","768,000,000","736,000,000","721,000,000","729,000,000","711,000,000","730,000,000","705,000,000","821,000,000","727,000,000","676,000,000","1,171,000,000","692,000,000","693,000,000","691,000,000","674,000,000","680,000,000","656,000,000","646,000,000","626,000,000","619,000,000","647,000,000","627,000,000","593,000,000","1,219,000,000","527,000,000","549,000,000","516,000,000","972,000,000","466,000,000","523,000,000","686,000,000","776,000,000","460,000,000","481,000,000","441,000,000","436,195,000","431,345,000","469,881,000","419,401,000","456,041,000","417,231,000","431,765,000","374,622,000","380,000,000","429,000,000","419,600,000","368,800,000","401,300,000","427,100,000","408,400,000","370,600,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,146,000,000","290,000,000","290,000,000","285,000,000","281,000,000","276,000,000","273,000,000","271,000,000","255,000,000","250,000,000","248,000,000","249,000,000","248,000,000","242,000,000","241,000,000","238,000,000","234,000,000","228,000,000","225,000,000","222,000,000","221,000,000","217,000,000","211,000,000","210,000,000","207,000,000","202,000,000","201,000,000","200,000,000","193,000,000","194,000,000","187,000,000","183,000,000","181,000,000","178,000,000","175,000,000","178,000,000","175,000,000","193,000,000","188,000,000","195,000,000","199,000,000","200,000,000","196,000,000","194,000,000","195,000,000","194,000,000","194,000,000","190,000,000","187,000,000","184,000,000","185,000,000","182,000,000","174,000,000","151,000,000","180,000,000","178,000,000","176,000,000","167,000,000","169,000,000","169,000,000","176,000,000","172,000,000","162,000,000","162,000,000","165,000,000","160,000,000","158,000,000","157,000,000","157,000,000","159,000,000","136,000,000","132,000,000","130,000,000","131,000,000","132,000,000","132,000,000","124,000,000","110,000,000","108,000,000","106,000,000","107,000,000","102,404,000","104,226,000","100,440,000","98,734,000","99,037,000","84,359,000","99,379,000","99,354,000","86,100,000","97,500,000","95,400,000","97,400,000","96,900,000","94,400,000","90,000,000","94,100,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"1,146,000,000","290,000,000","290,000,000","285,000,000","281,000,000","276,000,000","273,000,000","271,000,000","255,000,000","250,000,000","248,000,000","249,000,000","248,000,000","242,000,000","241,000,000","238,000,000","234,000,000","228,000,000","225,000,000","222,000,000","221,000,000","217,000,000","211,000,000","210,000,000","207,000,000","202,000,000","201,000,000","200,000,000","193,000,000","194,000,000","187,000,000","183,000,000","181,000,000","178,000,000","175,000,000","178,000,000","175,000,000","193,000,000","188,000,000","195,000,000","199,000,000","200,000,000","196,000,000","194,000,000","195,000,000","194,000,000","194,000,000","190,000,000","187,000,000","184,000,000","185,000,000","182,000,000","174,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"512,000,000","120,000,000","142,000,000","122,000,000","128,000,000","111,000,000","128,000,000","119,000,000","125,000,000","106,000,000","131,000,000","118,000,000","126,000,000","109,000,000","127,000,000","122,000,000","125,000,000","113,000,000","129,000,000","117,000,000","118,000,000","109,000,000","129,000,000","115,000,000","114,000,000","104,000,000","128,000,000","116,000,000","125,000,000","106,000,000","121,000,000","114,000,000","127,000,000","104,000,000","121,000,000","111,000,000","122,000,000","112,000,000","119,000,000","116,000,000","121,000,000","102,000,000","121,000,000","109,000,000","125,000,000","114,000,000","119,000,000","100,000,000","118,000,000","101,000,000","104,000,000","97,000,000","110,000,000","93,000,000","98,000,000","89,000,000","113,000,000","86,000,000","97,000,000","96,000,000","102,000,000","89,000,000","99,000,000","90,000,000","113,000,000","81,000,000","98,000,000","95,000,000","91,000,000","81,000,000","77,000,000","74,000,000","80,000,000","61,000,000","83,000,000","77,000,000","78,000,000","51,000,000","74,000,000","69,000,000","68,000,000","57,703,000","75,630,000","60,298,000","67,186,000","61,846,000","75,535,000","66,769,000","60,915,000","55,200,000","70,300,000","61,200,000","59,900,000","58,900,000","78,200,000","70,900,000","64,700,000",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"69,000,000",,,,,,,,,,,,"458,000,000","427,000,000",,"432,000,000","475,000,000","463,000,000",,"444,000,000","446,000,000","416,000,000","444,000,000","422,000,000","451,000,000","421,000,000","577,000,000","449,000,000","409,000,000","882,000,000","439,000,000","427,000,000","426,000,000","396,000,000","419,000,000","395,000,000","394,000,000","348,000,000","378,000,000","391,000,000","375,000,000","345,000,000","979,000,000","314,000,000","343,000,000","306,000,000","780,000,000","251,000,000","314,000,000","484,000,000","615,000,000","278,000,000","306,000,000","266,000,000","276,088,000","251,489,000","309,143,000","253,481,000","295,158,000","257,337,000","265,617,000","214,353,000","238,700,000","261,200,000","263,000,000","211,500,000","245,500,000","254,500,000","247,500,000","211,800,000",,,,
OperatingIncome,"1,333,000,000","197,000,000","534,000,000","286,000,000","316,000,000","211,000,000","494,000,000","354,000,000","241,000,000","179,000,000","520,000,000","280,000,000","288,000,000","166,000,000","533,000,000","385,000,000","273,000,000","225,000,000","581,000,000","398,000,000","254,000,000","145,000,000","691,000,000","325,000,000","220,000,000","140,000,000","626,000,000","237,000,000","256,000,000","125,000,000","561,000,000","322,000,000","246,000,000","171,000,000","567,000,000","261,000,000","185,000,000","134,000,000","635,000,000","363,000,000","206,000,000","147,000,000","674,000,000","316,000,000","227,000,000","198,000,000","678,000,000","331,000,000","298,000,000","245,000,000","485,000,000","365,000,000","321,000,000","169,000,000","428,000,000","441,000,000","319,000,000","253,000,000","479,000,000","322,000,000","288,000,000","154,000,000","547,000,000","276,000,000","196,000,000","144,000,000","510,000,000","366,000,000","263,000,000","203,000,000","413,000,000","246,000,000","216,000,000","139,000,000","500,000,000","250,000,000","201,000,000","6,000,000","441,000,000","277,000,000","149,000,000","107,203,000","486,487,000","205,931,000","165,418,000","80,837,000","469,391,000","238,445,000","152,829,000","34,400,000","459,800,000","192,300,000","135,000,000","94,300,000","437,200,000","187,100,000","120,300,000","-1,778,200,000","1,043,100,000","791,800,000","759,700,000"
