name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"16,792,000,000","4,061,400,000","4,623,000,000","3,826,500,000","4,281,100,000","3,610,600,000","4,066,400,000","3,494,000,000","3,747,500,000","3,616,000,000","4,315,000,000","3,573,600,000","4,056,800,000","3,801,100,000","4,333,100,000","4,013,200,000","4,048,300,000","3,810,400,000","4,104,700,000","3,576,500,000","3,933,300,000","3,790,100,000","4,652,200,000","3,892,900,000","4,044,900,000","3,614,200,000","4,432,000,000","3,942,000,000","4,708,000,000","4,026,000,000","4,302,000,000","4,044,000,000","4,648,000,000","3,773,000,000","4,176,000,000","3,582,000,000","3,826,000,000","3,613,000,000","4,156,000,000","3,551,000,000","3,625,000,000","3,444,000,000","4,333,000,000","3,609,000,000","3,730,000,000","3,434,000,000","4,064,000,000","3,360,000,000","3,569,000,000","3,282,000,000","3,547,000,000","3,202,000,000","3,458,000,000","3,236,000,000","4,191,000,000","3,546,000,000","3,467,000,000","3,276,000,000","3,789,000,000","3,146,000,000","3,169,000,000","2,984,000,000","3,594,000,000","2,936,000,000","3,108,000,000","3,055,000,000","3,300,000,000","2,773,000,000","2,983,000,000","3,596,000,000","3,752,000,000","3,368,000,000","3,341,000,000","2,687,000,000","4,109,000,000","3,669,000,000","4,080,000,000","3,737,000,000","3,911,000,000","14,912,000,000","13,414,000,000","14,179,000,000","18,385,000,000","14,528,000,000","14,238,000,000","3,560,000,000","3,921,000,000","3,168,000,000","1,746,000,000","1,665,000,000","1,914,000,000","1,643,000,000","1,694,000,000","-3,200,700,000","4,638,100,000","2,737,900,000","2,170,600,000","1,703,200,000","1,584,000,000","1,382,200,000","1,492,100,000","1,446,100,000","1,484,400,000","1,400,900,000","1,517,800,000","1,425,400,000","1,523,400,000","1,305,300,000","1,416,200,000","1,282,700,000","1,385,300,000","1,348,600,000","1,488,200,000","1,330,600,000","1,406,300,000","1,210,400,000","1,321,500,000","1,291,900,000","1,282,000,000","1,173,500,000","1,297,200,000","1,272,800,000","1,285,800,000","1,230,600,000","1,257,400,000","1,275,900,000","1,332,800,000","1,259,900,000","1,298,900,000","400,000","1,297,200,000","1,197,200,000","1,263,000,000","1,232,000,000","1,286,900,000","1,102,600,000","1,219,300,000","1,149,500,000","1,260,900,000","1,143,700,000","1,233,400,000","1,198,600,000","1,210,000,000","1,154,600,000","1,280,000,000","1,200,700,000","1,176,000,000"
	OperatingRevenue,"16,424,600,000","3,970,200,000","4,529,200,000","3,736,700,000","4,188,500,000","3,525,400,000","3,989,000,000","3,421,900,000","3,676,600,000","3,546,400,000","4,247,400,000","3,500,900,000","3,991,800,000","3,745,400,000","4,277,600,000","3,903,900,000","4,000,200,000","3,746,600,000","4,045,000,000","3,508,800,000","3,895,000,000","3,743,400,000","4,607,000,000","3,839,700,000","4,009,300,000","3,579,600,000","4,402,000,000","3,795,000,000","4,552,000,000","3,797,000,000","4,133,000,000","3,873,000,000","4,531,000,000","4,295,000,000","3,797,000,000","3,253,000,000","3,489,000,000","2,345,000,000","4,156,000,000","3,551,000,000","3,625,000,000","3,444,000,000","4,333,000,000","3,609,000,000","3,730,000,000","3,434,000,000","4,064,000,000","3,360,000,000","3,569,000,000","3,282,000,000","3,547,000,000","3,202,000,000","3,458,000,000","3,236,000,000","4,191,000,000","3,546,000,000","3,467,000,000","3,276,000,000","3,789,000,000","3,146,000,000","3,169,000,000","2,984,000,000","3,594,000,000","2,936,000,000","3,108,000,000","3,055,000,000","3,300,000,000","2,773,000,000","2,983,000,000","3,596,000,000","3,752,000,000","3,368,000,000","3,341,000,000","2,687,000,000","4,109,000,000","3,669,000,000","4,080,000,000","3,737,000,000","3,911,000,000","14,912,000,000","13,414,000,000","14,179,000,000","18,385,000,000","14,528,000,000","14,238,000,000","3,560,000,000","3,921,000,000","3,168,000,000","1,746,000,000","1,665,000,000","1,914,000,000","1,643,000,000","1,694,000,000","-3,200,700,000","4,638,100,000","2,737,900,000","2,170,600,000","1,703,200,000","1,584,000,000","1,382,200,000","1,492,100,000","1,446,100,000","1,484,400,000","1,400,900,000","1,517,800,000","1,425,400,000","1,523,400,000","1,305,300,000","1,416,200,000","1,282,700,000","1,385,300,000","1,348,600,000","1,488,200,000","1,330,600,000","1,406,300,000","1,210,400,000","1,321,500,000","1,291,900,000","1,282,000,000","1,173,500,000","1,297,200,000","1,272,800,000","1,285,800,000","1,230,600,000","1,257,400,000","1,275,900,000","1,332,800,000","1,259,900,000","1,298,900,000","400,000","1,297,200,000","1,197,200,000","1,263,000,000","1,232,000,000","1,286,900,000","1,102,600,000","1,219,300,000","1,149,500,000","1,260,900,000","1,143,700,000","1,233,400,000","1,198,600,000","1,210,000,000","1,154,600,000","1,280,000,000","1,200,700,000","1,176,000,000"
CostOfRevenue,"6,588,100,000","1,645,000,000","1,719,200,000","1,388,300,000","1,835,600,000","1,333,300,000","1,438,000,000","1,208,300,000","1,400,500,000","1,460,200,000","1,682,800,000","1,490,300,000","1,686,700,000","1,662,100,000","1,941,700,000","1,639,500,000","1,790,600,000","1,571,500,000","1,693,500,000","1,480,500,000","1,707,600,000","1,742,900,000","1,940,400,000","1,599,000,000","1,685,700,000","1,678,500,000","1,998,000,000","1,690,000,000","2,083,000,000","1,915,000,000","1,850,000,000","1,856,000,000","2,098,000,000","1,689,000,000","1,802,000,000","1,552,000,000","1,695,000,000","2,403,000,000","1,507,000,000","1,172,000,000","1,313,000,000","1,349,000,000","1,665,000,000","1,267,000,000","1,331,000,000","1,219,000,000","1,436,000,000","1,122,000,000","1,252,000,000","1,107,000,000","1,178,000,000","1,022,000,000","1,224,000,000","1,219,000,000","1,874,000,000","1,419,000,000","1,243,000,000","1,219,000,000","1,457,000,000","1,159,000,000","1,132,000,000","1,037,000,000","1,384,000,000","1,125,000,000","1,127,000,000","1,232,000,000","1,197,000,000","956,000,000","1,150,000,000","1,781,000,000","1,780,000,000","1,522,000,000","1,356,000,000","873,000,000","1,950,000,000","1,773,000,000","2,014,000,000","1,624,000,000","1,794,000,000","12,762,000,000","11,307,000,000","12,276,000,000","16,008,000,000","12,367,000,000","12,102,000,000","1,085,000,000","1,237,000,000","976,000,000","511,000,000","500,000,000","631,000,000","494,000,000","491,000,000","-4,169,300,000","3,445,600,000","1,730,800,000","1,146,500,000","694,000,000","522,800,000","391,900,000","434,700,000","424,400,000","416,500,000","404,900,000","441,000,000","400,000,000","456,500,000","357,100,000","412,000,000","385,700,000","427,100,000","430,800,000","501,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"10,203,900,000","2,416,400,000","2,903,800,000","2,438,200,000","2,445,500,000","2,277,300,000","2,628,400,000","2,285,700,000","2,347,000,000","2,155,800,000","2,632,200,000","2,083,300,000","2,370,100,000","2,139,000,000","2,391,400,000","2,373,700,000","2,257,700,000","2,238,900,000","2,411,200,000","2,096,000,000","2,225,700,000","2,047,200,000","2,711,800,000","2,293,900,000","2,359,200,000","1,935,700,000","2,434,000,000","2,252,000,000","2,625,000,000","2,111,000,000","2,452,000,000","2,188,000,000","2,550,000,000","2,084,000,000","2,374,000,000","2,030,000,000","2,131,000,000","1,210,000,000","2,649,000,000","2,379,000,000","2,312,000,000","2,095,000,000","2,668,000,000","2,342,000,000","2,399,000,000","2,215,000,000","2,628,000,000","2,238,000,000","2,317,000,000","2,175,000,000","2,369,000,000","2,180,000,000","2,234,000,000","2,017,000,000","2,317,000,000","2,127,000,000","2,224,000,000","2,057,000,000","2,332,000,000","1,987,000,000","2,037,000,000","1,947,000,000","2,210,000,000","1,811,000,000","1,981,000,000","1,823,000,000","2,103,000,000","1,817,000,000","1,833,000,000","1,815,000,000","1,972,000,000","1,846,000,000","1,985,000,000","1,814,000,000","2,159,000,000","1,896,000,000","2,066,000,000","2,113,000,000","2,117,000,000","2,150,000,000","2,107,000,000","1,903,000,000","2,377,000,000","2,161,000,000","2,136,000,000","2,475,000,000","2,684,000,000","2,192,000,000","1,235,000,000","1,165,000,000","1,283,000,000","1,149,000,000","1,203,000,000","968,600,000","1,192,500,000","1,007,100,000","1,024,100,000","1,009,200,000","1,061,200,000","990,300,000","1,057,400,000","1,021,700,000","1,067,900,000","996,000,000","1,076,800,000","1,025,400,000","1,066,900,000","948,200,000","1,004,200,000","897,000,000","958,200,000","917,800,000","986,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"6,781,000,000","1,721,100,000","1,796,400,000","1,628,300,000","1,635,200,000","1,707,100,000","1,685,200,000","1,563,000,000","1,595,400,000","1,704,700,000","1,674,000,000","1,532,300,000","1,581,700,000","1,517,300,000","1,722,800,000","1,616,700,000","1,551,700,000","1,420,200,000","1,427,200,000","1,349,300,000","1,343,900,000","1,468,400,000","1,574,800,000","1,427,700,000","1,466,300,000","1,470,200,000","1,474,000,000","1,443,000,000","1,501,000,000","1,612,000,000","1,527,000,000","1,421,000,000","1,509,000,000","1,478,000,000","1,355,000,000","1,329,000,000","1,376,000,000","674,000,000","1,724,000,000","1,638,000,000","1,558,000,000","1,703,000,000","1,688,000,000","1,625,000,000","1,567,000,000","1,729,000,000","1,603,000,000","1,844,000,000","1,559,000,000","1,694,000,000","1,511,000,000","1,498,000,000","1,493,000,000","1,837,000,000","1,586,000,000","1,546,000,000","1,184,000,000","1,643,000,000","1,536,000,000","1,441,000,000","1,515,000,000","1,577,000,000","1,675,000,000","1,440,000,000","1,360,000,000","1,496,000,000","1,486,000,000","1,371,000,000","1,305,000,000","977,000,000","1,354,000,000","1,468,000,000","1,377,000,000","1,873,000,000","1,560,000,000","1,474,000,000","1,466,000,000","1,642,000,000","1,334,000,000","1,877,000,000","1,587,000,000","1,643,000,000","1,515,000,000","1,489,000,000","1,462,000,000","2,087,000,000","1,804,000,000","1,887,000,000","932,000,000","902,000,000","907,000,000","864,000,000","822,000,000","770,700,000","766,200,000","702,300,000","680,200,000","719,000,000","694,300,000","698,700,000","680,300,000","707,700,000","708,600,000","710,100,000","685,800,000","730,300,000","723,500,000","684,400,000","668,400,000","668,600,000","643,500,000","641,400,000","656,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"2,825,700,000","721,800,000","700,300,000","707,300,000","696,300,000","686,500,000","644,600,000","679,500,000","672,200,000","640,900,000","645,200,000","622,600,000","605,800,000","591,100,000","602,600,000","553,200,000","539,700,000","511,300,000","518,500,000","485,500,000","481,900,000","412,100,000","539,300,000","513,800,000","497,100,000","481,700,000","535,000,000","506,000,000","505,000,000","488,000,000","507,000,000","443,000,000","491,000,000","433,000,000","447,000,000","443,000,000","420,000,000","429,000,000","470,000,000","460,000,000","423,000,000","397,000,000","445,000,000","410,000,000","403,000,000","404,000,000","424,000,000","405,000,000","408,000,000","397,000,000","421,000,000","397,000,000","382,000,000","360,000,000","387,000,000","373,000,000","363,000,000","369,000,000","381,000,000","372,000,000","391,000,000","402,000,000","376,000,000","348,000,000","341,000,000","330,000,000","336,000,000","325,000,000","327,000,000","328,000,000","333,000,000","320,000,000","317,000,000","314,000,000","334,000,000","336,000,000","315,000,000","318,000,000","366,000,000","367,000,000","359,000,000","353,000,000","340,000,000","354,000,000","336,000,000","258,000,000","275,000,000","257,000,000","154,000,000","-107,000,000","242,000,000","256,000,000","172,000,000","24,400,000","223,000,000","233,400,000","153,600,000","8,000,000","218,200,000","241,000,000","153,000,000","33,700,000","224,700,000","225,600,000","162,200,000","38,900,000","198,600,000","232,300,000","161,700,000","43,600,000","178,900,000","204,400,000","134,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"2,825,700,000","721,800,000","700,300,000","707,300,000","696,300,000","686,500,000","644,600,000","679,500,000","672,200,000","640,900,000","645,200,000","622,600,000","605,800,000","591,100,000","602,600,000","553,200,000","539,700,000","511,300,000","518,500,000","485,500,000","481,900,000","412,100,000","539,300,000","513,800,000","497,100,000","481,700,000","535,000,000","506,000,000","505,000,000","488,000,000","507,000,000","443,000,000","491,000,000","433,000,000","447,000,000","443,000,000","420,000,000","429,000,000","470,000,000","460,000,000","423,000,000","397,000,000","445,000,000","410,000,000","403,000,000","404,000,000","424,000,000","405,000,000","408,000,000","397,000,000","421,000,000","397,000,000","382,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"1,407,600,000","346,200,000","360,800,000","354,100,000","346,500,000","319,200,000","337,700,000","317,500,000","321,100,000","301,800,000","320,500,000","302,300,000","309,900,000","279,700,000","294,200,000","283,200,000","285,600,000","267,400,000","272,600,000","259,600,000","259,800,000","250,100,000","264,400,000","249,400,000","254,100,000","239,600,000","248,000,000","242,000,000","250,000,000","226,000,000","233,000,000","218,000,000","238,000,000","220,000,000","231,000,000","222,000,000","218,000,000","202,000,000","224,000,000","207,000,000","217,000,000","196,000,000","213,000,000","202,000,000","213,000,000","201,000,000","210,000,000","202,000,000","207,000,000","183,000,000","193,000,000","192,000,000","197,000,000","183,000,000","189,000,000","191,000,000","198,000,000","190,000,000","191,000,000","188,000,000","186,000,000","170,000,000","186,000,000","190,000,000","191,000,000","197,000,000","205,000,000","173,000,000","188,000,000","172,000,000","178,000,000","176,000,000","184,000,000","157,000,000","179,000,000","157,000,000","188,000,000","158,000,000","198,000,000","178,000,000","186,000,000","131,000,000","200,000,000","169,000,000","168,000,000","164,000,000","173,000,000","169,000,000","125,000,000","112,000,000","121,000,000","119,000,000","124,000,000","122,500,000","124,600,000","121,200,000","125,200,000","117,900,000","123,900,000","122,200,000","126,600,000","121,800,000","128,200,000","121,000,000","127,600,000","117,900,000","125,100,000","117,300,000","130,000,000","123,500,000","122,600,000","122,000,000","128,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"2,547,700,000","653,100,000","735,300,000","566,900,000","592,400,000","701,400,000","702,900,000","566,000,000","602,100,000","762,000,000","708,300,000","607,400,000","666,000,000","646,500,000","826,000,000","780,300,000","726,400,000","641,500,000","636,100,000","604,200,000","602,200,000","806,200,000","771,100,000","664,500,000","715,100,000","748,900,000","691,000,000","695,000,000","746,000,000","898,000,000","787,000,000","760,000,000","780,000,000","825,000,000","677,000,000","664,000,000","738,000,000",,,,,,,,,,,,,,"-2,000,000","-2,000,000",,"239,000,000",,,"-255,000,000",,,,,"0","209,000,000",,,"-111,000,000","39,000,000",,,,,,,"650,000,000","70,000,000",,,,,,,"5,000,000","4,000,000","7,000,000",,"-1,775,000,000","598,000,000","745,000,000","164,000,000","810,000,000","-91,000,000","-107,000,000","-24,000,000","122,000,000","-77,700,000","-88,700,000","-10,000,000","135,200,000","-73,900,000","-89,500,000","-1,000,000","116,900,000","-72,900,000","-76,200,000","-13,100,000","109,300,000","-48,200,000","-85,100,000","-14,500,000","101,600,000","-33,400,000","-61,600,000","4,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"3,422,900,000","695,300,000","1,107,400,000","809,900,000","810,300,000","570,200,000","943,200,000","722,700,000","751,600,000","451,100,000","958,200,000","551,000,000","788,400,000","621,700,000","668,600,000","757,000,000","706,000,000","818,700,000","984,000,000","746,700,000","881,800,000","578,800,000","1,137,000,000","866,200,000","892,900,000","465,500,000","960,000,000","809,000,000","1,124,000,000","499,000,000","925,000,000","767,000,000","1,041,000,000","606,000,000","1,019,000,000","701,000,000","755,000,000","536,000,000","925,000,000","741,000,000","754,000,000","392,000,000","980,000,000","717,000,000","832,000,000","486,000,000","1,025,000,000","394,000,000","758,000,000","481,000,000","858,000,000","682,000,000","741,000,000","180,000,000","731,000,000","581,000,000","1,040,000,000","414,000,000","796,000,000","546,000,000","522,000,000","370,000,000","535,000,000","371,000,000","621,000,000","327,000,000","617,000,000","446,000,000","528,000,000","838,000,000","618,000,000","378,000,000","608,000,000","-59,000,000","599,000,000","422,000,000","600,000,000","471,000,000","783,000,000","273,000,000","520,000,000","260,000,000","862,000,000","672,000,000","674,000,000","388,000,000","880,000,000","305,000,000","303,000,000","263,000,000","376,000,000","285,000,000","381,000,000","197,900,000","426,300,000","304,800,000","343,900,000","290,200,000","366,900,000","291,600,000","377,100,000","314,000,000","359,300,000","285,900,000","391,000,000","295,100,000","343,400,000","263,800,000","335,800,000","228,400,000","314,700,000","276,400,000","329,900,000","1,330,600,000","1,406,300,000","1,210,400,000","1,321,500,000","1,291,900,000","1,282,000,000","1,173,500,000","1,297,200,000","1,272,800,000","1,285,800,000","1,230,600,000","1,257,400,000","1,275,900,000","1,332,800,000","1,259,900,000","1,298,900,000","400,000","1,297,200,000","1,197,200,000","1,263,000,000","1,232,000,000","1,286,900,000","1,102,600,000","1,219,300,000","1,149,500,000","1,260,900,000","1,143,700,000","1,233,400,000","1,198,600,000","1,210,000,000","1,154,600,000","1,280,000,000","1,200,700,000","1,176,000,000"
