name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"51,885,000,000","13,915,000,000","12,835,000,000","10,606,000,000","14,418,000,000","9,712,000,000","10,232,000,000","9,418,000,000","14,481,000,000","11,826,000,000","12,939,000,000","12,547,000,000","12,480,000,000","12,579,000,000","11,509,000,000","11,657,000,000","11,736,000,000","12,629,000,000","12,062,000,000","12,572,000,000","12,667,000,000","13,076,000,000","12,926,000,000","14,846,000,000","11,906,000,000","14,272,000,000","12,848,000,000","15,784,000,000","16,021,000,000","15,607,000,000","16,717,000,000","16,135,000,000","16,149,000,000","21,608,000,000","14,859,000,000","17,317,000,000","15,891,000,000","12,338,000,000","17,648,000,000","17,123,000,000","18,443,000,000","17,409,000,000","12,716,000,000","16,676,000,000","17,436,000,000","21,687,000,000","19,091,000,000","19,982,000,000","16,330,000,000","19,972,000,000","26,049,000,000","29,525,000,000","20,458,000,000","-23,758,000,000","898,000,000","19,933,000,000","14,031,000,000","18,433,000,000","29,836,000,000","31,150,000,000","30,645,000,000","29,993,000,000","29,199,000,000","26,743,000,000","27,259,000,000","27,363,000,000","26,361,000,000","26,861,000,000","27,112,000,000","25,130,000,000","25,411,000,000","23,809,000,000","23,637,000,000","22,179,000,000","20,306,000,000","19,891,000,000","18,927,000,000","17,533,000,000","17,150,000,000","6,379,000,000","6,130,000,000","5,819,000,000","5,480,000,000","5,412,000,000","5,417,000,000","5,484,000,000","4,821,000,000","5,059,000,000","4,782,000,000","-9,034,000,000","8,879,000,000","9,424,000,000","9,087,000,000","-5,853,100,000","7,711,200,000","7,529,500,000","7,107,400,000","-6,342,162,000","6,984,200,000","7,143,900,000","6,616,600,000","-5,451,429,000","6,553,100,000","6,423,700,000","6,083,700,000","-4,531,977,000","6,031,200,000","5,968,500,000","5,551,800,000","-3,482,090,000","5,227,500,000","5,180,900,000","4,848,100,000","4,993,700,000","4,744,200,000","4,642,500,000","4,316,600,000","4,494,200,000","4,295,300,000","4,207,400,000","4,087,100,000","4,214,400,000","3,912,500,000","3,850,900,000","3,814,700,000","4,038,700,000","3,700,400,000","3,637,100,000","3,495,200,000","3,545,400,000","3,336,600,000","3,340,000,000","3,253,600,000","3,430,900,000","3,431,000,000","3,153,200,000","3,196,100,000","3,304,100,000","2,652,500,000","2,684,200,000","2,504,200,000","2,568,600,000","2,249,100,000","2,129,200,000","1,773,400,000","1,795,600,000","1,446,500,000"
	OperatingRevenue,"51,885,000,000","13,915,000,000","12,835,000,000","10,606,000,000","14,418,000,000","9,712,000,000","10,232,000,000","9,418,000,000","14,481,000,000","11,826,000,000","12,939,000,000","12,547,000,000","12,480,000,000","12,579,000,000","11,509,000,000","11,657,000,000","11,736,000,000","12,629,000,000","12,062,000,000","12,572,000,000","12,667,000,000","13,076,000,000","12,926,000,000","14,846,000,000","11,906,000,000","14,272,000,000","12,848,000,000","15,784,000,000","16,021,000,000","15,607,000,000","16,717,000,000","16,135,000,000","16,149,000,000","21,608,000,000","14,859,000,000","17,317,000,000","15,891,000,000","12,338,000,000","17,648,000,000","17,123,000,000","18,443,000,000","17,409,000,000","12,716,000,000","16,676,000,000","17,436,000,000","21,687,000,000","19,091,000,000","19,982,000,000","16,330,000,000","19,972,000,000","26,049,000,000","29,525,000,000","20,458,000,000","-23,758,000,000","898,000,000","19,933,000,000","14,031,000,000","18,433,000,000","29,836,000,000","31,150,000,000","30,645,000,000","29,993,000,000","29,199,000,000","26,743,000,000","27,259,000,000","27,363,000,000","26,361,000,000","26,861,000,000","27,112,000,000","25,130,000,000","25,411,000,000","23,809,000,000","23,637,000,000","22,179,000,000","20,306,000,000","19,891,000,000","18,927,000,000","17,533,000,000","17,150,000,000","6,379,000,000","6,130,000,000","5,819,000,000","5,480,000,000","5,412,000,000","5,417,000,000","5,484,000,000","4,821,000,000","5,059,000,000","4,782,000,000","-9,034,000,000","8,879,000,000","9,424,000,000","9,087,000,000","-5,853,100,000","7,711,200,000","7,529,500,000","7,107,400,000","-6,342,162,000","6,984,200,000","7,143,900,000","6,616,600,000","-5,451,429,000","6,553,100,000","6,423,700,000","6,083,700,000","-4,531,977,000","6,031,200,000","5,968,500,000","5,551,800,000","-3,482,090,000","5,227,500,000","5,180,900,000","4,848,100,000","4,993,700,000","4,744,200,000","4,642,500,000","4,316,600,000","4,494,200,000","4,295,300,000","4,207,400,000","4,087,100,000","4,214,400,000","3,912,500,000","3,850,900,000","3,814,700,000","4,038,700,000","3,700,400,000","3,637,100,000","3,495,200,000","3,545,400,000","3,336,600,000","3,340,000,000","3,253,600,000","3,430,900,000","3,431,000,000","3,153,200,000","3,196,100,000","3,304,100,000","2,652,500,000","2,684,200,000","2,504,200,000","2,568,600,000","2,249,100,000","2,129,200,000","1,773,400,000","1,795,600,000","1,446,500,000"
NetNonOperatingInterestIncomeExpense,"-1,305,000,000","-297,000,000","-328,000,000","-338,000,000","-342,000,000","-358,000,000","-379,000,000","-365,000,000","-355,000,000","-360,000,000","-348,000,000","-360,000,000","-349,000,000","-407,000,000","-326,000,000","-299,000,000","-277,000,000","-288,000,000","-290,000,000","-292,000,000","-298,000,000","-305,000,000","-329,000,000","-320,000,000","-306,000,000","-304,000,000","-321,000,000","-316,000,000","-340,000,000","-346,000,000","-430,000,000","-463,000,000","-479,000,000","-514,000,000","-516,000,000","-535,000,000","-577,000,000","576,000,000","-988,000,000","-954,000,000","-953,000,000","-897,000,000","-945,000,000","-968,000,000","-1,061,000,000","-2,525,000,000","-2,158,000,000","-2,009,000,000","-1,734,000,000","-7,414,000,000","-2,510,000,000","-2,600,000,000","-2,845,000,000","-12,105,000,000","-2,297,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,305,000,000","297,000,000","328,000,000","338,000,000","342,000,000","358,000,000","379,000,000","365,000,000","355,000,000","360,000,000","348,000,000","360,000,000","349,000,000","407,000,000","326,000,000","299,000,000","277,000,000","288,000,000","290,000,000","292,000,000","298,000,000","305,000,000","329,000,000","320,000,000","306,000,000","304,000,000","321,000,000","316,000,000","340,000,000","346,000,000","430,000,000","463,000,000","479,000,000","514,000,000","516,000,000","535,000,000","577,000,000","-576,000,000","988,000,000","954,000,000","953,000,000","897,000,000","945,000,000","968,000,000","1,061,000,000","2,525,000,000","2,158,000,000","2,009,000,000","1,734,000,000","7,414,000,000","2,510,000,000","2,600,000,000","2,845,000,000","12,105,000,000","2,297,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,"242,000,000","247,000,000","256,000,000","261,000,000","218,000,000","206,000,000","218,000,000","261,000,000","227,000,000","213,000,000","218,000,000","373,000,000","403,000,000","431,000,000","431,000,000","772,000,000","466,000,000","619,000,000","555,000,000","1,581,000,000","609,000,000","552,000,000","379,000,000","882,000,000","395,000,000","1,514,000,000","1,297,000,000","0","1,960,000,000","489,000,000","1,113,000,000","6,741,000,000","1,004,000,000","2,057,000,000","1,437,000,000","-1,963,000,000","2,157,000,000","1,952,000,000","1,489,000,000","1,659,000,000","1,689,000,000","1,566,000,000","2,352,000,000","2,327,000,000","1,882,000,000","2,404,000,000","1,975,000,000","1,626,000,000","3,330,000,000","3,634,000,000","2,457,000,000","-16,366,000,000","-4,818,000,000","-2,449,000,000","-5,506,000,000","-6,801,000,000","4,795,000,000","3,792,000,000","3,949,000,000","2,530,000,000","4,167,000,000","2,742,000,000","3,021,000,000","2,353,000,000","3,409,000,000","3,877,000,000","4,050,000,000","4,289,000,000","3,025,000,000","2,975,000,000","2,695,000,000","3,198,000,000","2,841,000,000","2,833,000,000","2,589,000,000","2,702,000,000","2,621,000,000","-7,896,000,000","-7,657,000,000","-7,975,000,000","-7,825,000,000","-5,797,000,000","-5,409,000,000","-5,568,000,000","-4,985,000,000","-5,098,000,000","-4,920,000,000","-25,388,000,000","2,487,000,000","2,462,000,000","2,439,000,000","-18,118,300,000","1,605,000,000","1,542,800,000","1,491,600,000","-16,961,594,000","1,414,500,000","1,382,200,000","1,321,400,000","-15,477,125,000","1,303,000,000","1,268,700,000","1,216,400,000","-13,509,858,000","1,093,600,000","1,082,300,000","998,200,000","-11,294,355,000","910,900,000","927,300,000","896,600,000","885,500,000","840,000,000","834,100,000","824,700,000","797,800,000","770,300,000","737,600,000","715,900,000","686,400,000","674,600,000","647,100,000","620,500,000","592,300,000","552,400,000","558,000,000","541,700,000",,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"2,655,000,000","2,696,000,000","51,000,000","-107,000,000","15,000,000","130,000,000","-22,000,000","-8,412,000,000","-233,000,000","-90,000,000","-9,000,000","-16,000,000","8,000,000","6,000,000","1,000,000","20,000,000","4,000,000","242,000,000","-287,000,000","-102,000,000","-140,000,000","128,000,000","62,000,000","126,000,000","-242,000,000","-341,000,000","-407,000,000","-415,000,000","-144,000,000","-1,329,000,000","-776,000,000","2,095,000,000","-276,000,000","-1,211,000,000","-81,000,000","-38,000,000","-340,000,000","21,000,000","0","-657,000,000","-646,000,000","486,000,000","-2,000,000","-708,000,000","-72,000,000","17,406,000,000","-155,000,000","128,000,000","-187,000,000","-1,581,000,000","-371,000,000","-343,000,000","-362,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"235,000,000","159,000,000","70,000,000","110,000,000","310,000,000","371,000,000","343,000,000","362,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,,,,"0","0","0","0","0","273,000,000","46,000,000","41,000,000","68,000,000","80,000,000","92,000,000","157,000,000","340,000,000","58,000,000","72,000,000","70,000,000","62,000,000","52,000,000","45,000,000","42,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"-2,655,000,000","-2,696,000,000","-51,000,000","107,000,000","-15,000,000","-130,000,000","22,000,000","8,412,000,000","233,000,000","90,000,000","9,000,000","16,000,000","-8,000,000","-6,000,000","-1,000,000","-20,000,000","-4,000,000","-242,000,000","14,000,000","56,000,000","99,000,000","-196,000,000","-142,000,000","-218,000,000","85,000,000","1,000,000","349,000,000","343,000,000","74,000,000","1,267,000,000","724,000,000","-2,140,000,000","234,000,000","240,000,000","81,000,000","38,000,000","340,000,000","-21,000,000",,"657,000,000","646,000,000","-486,000,000","2,000,000","708,000,000",,"-17,641,000,000","-4,000,000","-198,000,000","77,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"12,099,000,000","5,048,000,000","2,176,000,000","147,000,000","4,728,000,000","-558,000,000","368,000,000","-9,661,000,000","2,558,000,000","1,036,000,000","1,260,000,000","1,837,000,000","1,154,000,000","-695,000,000","-1,527,000,000","1,252,000,000","1,227,000,000","875,000,000","-2,803,000,000","1,667,000,000","1,727,000,000","-3,455,000,000","737,000,000","2,858,000,000","-214,000,000","-2,932,000,000","-115,000,000","2,552,000,000","3,776,000,000","729,000,000","3,019,000,000","4,480,000,000","2,273,000,000","2,210,000,000","1,179,000,000","3,147,000,000","2,832,000,000","392,000,000","2,595,000,000","1,751,000,000","4,584,000,000","2,867,000,000","-4,358,000,000","1,806,000,000","-1,380,000,000","14,138,000,000","422,000,000","1,603,000,000","835,000,000","-8,392,000,000","-207,000,000","1,319,000,000","-6,368,000,000","-60,556,000,000","-28,185,000,000","-8,756,000,000","-11,264,000,000","-8,436,000,000","4,879,000,000","6,328,000,000","6,172,000,000","5,352,000,000","6,301,000,000","5,241,000,000","4,793,000,000","302,000,000","2,477,000,000","5,795,000,000","5,443,000,000","2,312,000,000","3,958,000,000","4,389,000,000","4,291,000,000","4,050,000,000","3,504,000,000","3,430,000,000","2,924,000,000","-313,000,000","2,729,000,000","2,767,000,000","2,959,000,000","2,717,000,000","617,000,000","2,385,000,000","2,272,000,000","2,198,000,000","2,064,000,000","2,096,000,000","1,991,000,000","7,512,000,000","0","0","0","5,529,000,000","0","0","0","4,698,898,000","0","0","0","4,013,222,000","0","0","0","3,465,883,000","0","0","0","2,951,979,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,
