name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"10,187,600,000","2,574,900,000","2,637,800,000","2,542,300,000","2,432,600,000","2,553,100,000","2,500,400,000","2,469,200,000","2,561,400,000","2,609,000,000","2,494,900,000","2,540,800,000","2,427,800,000","2,306,300,000","2,257,600,000","1,816,700,000","1,620,100,000","1,656,200,000","1,563,300,000","1,577,100,000","1,514,500,000","1,667,033,000","1,698,328,000","1,671,975,000","2,070,353,000","2,544,589,000","2,530,913,000","2,641,652,000","2,595,352,000","2,635,147,000","2,698,843,000","2,604,457,000","2,444,712,000","2,396,546,000","2,254,576,000","2,233,694,000","2,146,531,000","2,142,563,000","2,145,080,000","2,129,290,000","2,072,924,000","2,111,531,000","2,061,715,000","2,062,887,000","2,036,671,000","2,105,601,000","2,113,971,000","2,140,294,000","2,167,856,000","2,182,142,000","2,156,873,000","2,273,609,000","2,087,877,000","2,220,608,000","1,954,535,000","2,248,760,000","2,177,325,000","2,183,333,000","2,148,192,000","2,064,727,000","2,057,263,000","2,207,633,000","1,984,079,000","1,949,090,000","1,929,782,000","1,881,577,000","1,879,441,000","1,874,303,000","1,862,354,000","1,867,463,000","1,831,860,000","1,837,349,000","1,857,560,000","1,836,295,000","1,775,577,000","1,722,601,000","1,731,740,000"
	OperatingRevenue,"10,187,600,000","2,574,900,000","2,637,800,000","2,542,300,000","2,432,600,000","2,553,100,000","2,500,400,000","2,469,200,000","2,561,400,000","2,609,000,000","2,494,900,000","2,540,800,000","2,427,800,000","2,306,300,000","2,257,600,000","1,816,700,000","1,620,100,000","1,656,200,000","1,563,300,000","1,577,100,000","1,514,500,000","1,667,033,000","1,698,328,000","1,671,975,000","2,070,353,000","2,544,589,000","2,530,913,000","2,641,652,000","2,595,352,000","2,635,147,000","2,698,843,000","2,604,457,000","2,444,712,000","2,396,546,000","2,254,576,000","2,233,694,000","2,146,531,000","2,142,563,000","2,145,080,000","2,129,290,000","2,072,924,000","2,111,531,000","2,061,715,000","2,062,887,000","2,036,671,000","2,105,601,000","2,113,971,000","2,140,294,000","2,167,856,000","2,182,142,000","2,156,873,000","2,273,609,000","2,087,877,000","2,220,608,000","1,954,535,000","2,248,760,000","2,177,325,000","2,183,333,000","2,148,192,000","2,064,727,000","2,057,263,000","2,207,633,000","1,984,079,000","1,949,090,000","1,929,782,000","1,881,577,000","1,879,441,000","1,874,303,000","1,862,354,000","1,867,463,000","1,831,860,000","1,837,349,000","1,857,560,000","1,836,295,000","1,775,577,000","1,722,601,000","1,731,740,000"
NetNonOperatingInterestIncomeExpense,"-111,800,000","-27,100,000","-27,500,000","-28,800,000","-28,400,000","-26,800,000","-25,500,000","-26,700,000","-25,500,000","-25,400,000","-32,200,000","-26,500,000","-26,500,000","-26,300,000","-26,500,000","-26,000,000","-21,500,000","-12,300,000","-12,200,000","-12,400,000","-12,600,000","-13,878,000","-14,006,000","-15,232,000","-14,503,000","-13,781,000","-13,779,000","-13,778,000","-13,778,000","-13,778,000","-13,776,000","-13,776,000","-17,065,000","-20,366,000","-20,771,000","-21,520,000","-15,078,000","-15,078,000","-15,078,000","-15,074,000","-15,076,000","-15,076,000","-15,078,000","-15,075,000","-15,131,000","-15,162,000","-15,162,000","-15,161,000","-15,161,000","-15,160,000","-15,160,000","-15,160,000","-15,189,000","-15,188,000","-15,190,000","-15,287,000","-15,288,000","-15,297,000","-15,288,000","-15,296,000","-15,297,000","-15,306,000","-15,307,000","-15,315,000","-15,315,000","-15,315,000","-15,315,000","-15,314,000","-15,314,000","-15,314,000","-15,107,000","-15,834,000","-10,163,000","-1,175,000","0","0","0"
	InterestExpenseNonOperating,"111,800,000","27,100,000","27,500,000","28,800,000","28,400,000","26,800,000","25,500,000","26,700,000","25,500,000","25,400,000","32,200,000","26,500,000","26,500,000","26,300,000","26,500,000","26,000,000","21,500,000","12,300,000","12,200,000","12,400,000","12,600,000","13,878,000","14,006,000","15,232,000","14,503,000","13,781,000","13,779,000","13,778,000","13,778,000","13,778,000","13,776,000","13,776,000","17,065,000","20,366,000","20,771,000","21,520,000","15,078,000","15,078,000","15,078,000","15,074,000","15,076,000","15,076,000","15,078,000","15,075,000","15,131,000","15,162,000","15,162,000","15,161,000","15,161,000","15,160,000","15,160,000","15,160,000","15,189,000","15,188,000","15,190,000","15,287,000","15,288,000","15,297,000","15,288,000","15,296,000","15,297,000","15,306,000","15,307,000","15,315,000","15,315,000","15,315,000","15,315,000","15,314,000","15,314,000","15,314,000","15,107,000","15,834,000","10,163,000",,,,
OtherIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,106,000","114,969,000","111,403,000","89,473,000","111,692,000","99,584,000","93,875,000","83,429,000","99,244,000","90,027,000","76,645,000","93,672,000","82,883,000","222,203,000","83,706,000","77,711,000","69,911,000","79,280,000","81,277,000","80,989,000","73,831,000","78,824,000","75,288,000","139,739,000","88,442,000","81,058,000","69,019,000","74,537,000","71,115,000","69,967,000","65,768,000","63,727,000","65,777,000","58,526,000","64,274,000","75,261,000","71,046,000","71,719,000","82,234,000"
	SpecialIncomeCharges,"-20,700,000","0","-20,700,000",,,"0","-137,800,000",,,"0","-31,400,000",,,,,,,"0","0","0","0","-23,031,000","0","0","29,578,000",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,"0","137,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"20,700,000","0","20,700,000",,,,,,,"0","31,400,000",,,,,,,,,,,"23,031,000",,,"-29,578,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"783,000,000","161,800,000","191,500,000","236,600,000","193,100,000","183,400,000","-4,100,000","226,800,000","109,200,000","178,800,000","-24,600,000","183,300,000","217,000,000","42,900,000","75,800,000","78,300,000","136,500,000","158,300,000","-107,600,000","178,700,000","215,100,000","54,711,000","220,858,000","235,512,000","337,507,000","110,214,000","-32,251,000","40,025,000","83,193,000","90,346,000","224,751,000","193,787,000","235,253,000","178,537,000","193,971,000","210,767,000","206,424,000","34,823,000","208,619,000","264,661,000","249,648,000","253,089,000","115,309,000","131,928,000","214,629,000","-122,110,000","226,732,000","253,456,000","248,366,000","61,155,000","209,066,000","281,518,000","157,867,000","191,456,000","-163,520,000","249,414,000","285,928,000","196,903,000","284,145,000","252,474,000","277,518,000","390,182,000","231,041,000","232,163,000","242,356,000","149,412,000","141,374,000","188,099,000","176,723,000","139,869,000","109,254,000","144,044,000","142,761,000","-134,392,000","145,776,000","137,606,000","110,367,000"
TaxProvision,"169,500,000","35,100,000","37,900,000","51,900,000","44,600,000","44,400,000","26,400,000","48,400,000","-46,600,000","50,000,000","28,600,000","40,700,000","48,400,000","16,300,000","22,800,000","11,300,000","30,500,000","-154,600,000","-50,300,000","58,500,000","71,300,000","23,395,000","76,491,000","66,163,000","117,189,000","44,470,000","-25,229,000","7,236,000","33,149,000","40,591,000","84,454,000","50,177,000","98,008,000","69,721,000","65,183,000","77,244,000","88,644,000","9,836,000","82,331,000","95,491,000","86,388,000","90,834,000","39,326,000","-33,932,000","72,888,000","62,281,000","85,062,000","88,781,000","91,143,000","49,214,000","64,336,000","88,196,000","77,286,000","9,015,000","-52,091,000","59,460,000","99,098,000","76,085,000","96,954,000","86,194,000","98,061,000","137,675,000","79,738,000","81,027,000","81,431,000","12,366,000","41,087,000","60,475,000","62,325,000","53,741,000","34,410,000","48,834,000","48,383,000","-56,759,000","46,378,000","46,956,000","37,130,000"
NetIncomeCommonStockholders,"1,367,700,000","123,600,000","882,400,000","203,400,000","158,300,000","134,500,000","-34,900,000","173,500,000","150,000,000","122,900,000","-59,500,000","139,500,000","161,000,000","20,300,000","48,300,000","62,200,000","106,000,000","312,900,000","-57,300,000","120,200,000","143,800,000","31,316,000","144,367,000","169,349,000","220,318,000","65,744,000","-7,022,000","32,789,000","50,044,000","49,755,000","140,297,000","143,610,000","137,245,000","108,816,000","128,788,000","133,523,000","117,780,000","24,987,000","126,288,000","169,170,000","163,260,000","162,255,000","75,983,000","165,860,000","141,741,000","-184,391,000","141,670,000","164,675,000","157,223,000","11,941,000","144,730,000","193,322,000","80,581,000","182,441,000","-111,429,000","189,954,000","186,830,000","120,818,000","187,191,000","166,280,000","179,457,000","252,507,000","151,303,000","151,136,000","162,472,000","137,046,000","100,287,000","127,624,000","114,398,000","86,128,000","74,844,000","95,210,000","94,378,000","-77,633,000","99,398,000","90,650,000","73,237,000"
	NetIncome,"1,372,400,000","123,600,000","882,400,000","203,400,000","163,000,000","139,200,000","-30,200,000","178,100,000","154,700,000","127,600,000","-54,800,000","144,100,000","165,700,000","25,000,000","53,000,000","67,000,000","106,000,000","312,900,000","-57,300,000","120,200,000","143,800,000","31,316,000","144,367,000","169,349,000","220,318,000","65,744,000","-7,022,000","32,789,000","50,044,000","49,755,000","140,297,000","143,610,000","137,245,000","108,816,000","128,788,000","133,523,000","117,780,000","24,987,000","126,288,000","169,170,000","163,260,000","162,255,000","75,983,000","165,860,000","141,741,000","-184,391,000","141,670,000","164,675,000","157,223,000","11,941,000","144,730,000","193,322,000","80,581,000","182,441,000","-111,429,000","189,954,000","186,830,000","120,818,000","187,191,000","166,280,000","179,457,000","252,507,000","151,303,000","151,136,000","162,472,000","137,046,000","100,287,000","127,624,000","114,398,000","86,128,000","74,844,000","95,210,000","94,378,000","-77,633,000","99,398,000","90,650,000","73,237,000"
		NetIncomeIncludingNoncontrollingInterests,"1,372,400,000","123,600,000","882,400,000","203,600,000","162,800,000","139,000,000","-30,500,000","178,400,000","155,800,000","128,800,000","-53,200,000","142,600,000","168,600,000","26,600,000","53,000,000","67,000,000","106,000,000","312,900,000","-57,300,000","120,200,000","143,800,000","31,316,000","144,367,000","169,349,000","220,318,000","65,744,000","-7,022,000","32,789,000","50,044,000","49,755,000","140,297,000","143,610,000","137,245,000","108,816,000","128,788,000","133,523,000","117,780,000","24,987,000","126,288,000","169,170,000","163,260,000","162,255,000","75,983,000","165,860,000","141,741,000","-184,391,000","141,670,000","164,675,000","157,223,000","11,941,000","144,730,000","193,322,000","80,581,000","182,441,000","-111,429,000","189,954,000","186,830,000","120,818,000","187,191,000","166,280,000","179,457,000","252,507,000","151,303,000","151,136,000","162,472,000","137,046,000","100,287,000","127,624,000","114,398,000","88,291,000","74,844,000","95,210,000","92,215,000","-77,633,000","99,398,000","90,650,000","73,237,000"
			NetIncomeContinuousOperations,"613,500,000","126,700,000","153,600,000","184,700,000","148,500,000","139,000,000","-30,500,000","178,400,000","155,800,000","128,800,000","-53,200,000","142,600,000","168,600,000","26,600,000","53,000,000","67,000,000","106,000,000","312,900,000","-57,300,000","120,200,000","143,800,000","31,316,000","144,367,000","169,349,000","220,318,000","65,744,000","-7,022,000","32,789,000","50,044,000","49,755,000","140,297,000","143,610,000","137,245,000","108,816,000","128,788,000","133,523,000","117,780,000","24,987,000","126,288,000","169,170,000","163,260,000","162,255,000","75,983,000","165,860,000","141,741,000","-184,391,000","141,670,000","164,675,000","157,223,000","11,941,000","144,730,000","193,322,000","80,581,000","182,441,000","-111,429,000","189,954,000","186,830,000","120,818,000","187,191,000","166,280,000","179,457,000","252,507,000","151,303,000","151,136,000","160,925,000","137,046,000","100,287,000","127,624,000","114,398,000","86,128,000","74,844,000","95,210,000","94,378,000","-77,633,000","99,398,000","90,650,000","73,237,000"
			NetIncomeDiscontinuousOperations,"758,900,000","-3,100,000","728,800,000","18,900,000","14,300,000","19,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","1,547,000",,,,,,,,,,,,
		MinorityInterests,"0","0","0","-200,000","200,000","200,000","300,000","-300,000","-1,100,000","-1,200,000","-1,600,000","1,500,000","-2,900,000","-1,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,163,000",,,,
	PreferredStockDividends,"4,700,000","0",,,"4,700,000","4,700,000","4,700,000","4,600,000","4,700,000","4,700,000","4,700,000","4,600,000","4,700,000","4,700,000","4,700,000","4,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"1,367,700,000","123,600,000","882,400,000","203,400,000","158,300,000","134,500,000","-34,900,000","173,500,000","150,000,000","122,900,000","-59,500,000","139,500,000","161,000,000","20,300,000","48,300,000","62,200,000","106,000,000","312,900,000","-57,300,000","120,200,000","143,800,000","31,316,000","144,367,000","169,349,000","220,318,000","65,744,000","-7,022,000","32,789,000","50,044,000","49,755,000","140,297,000","143,610,000","137,245,000","108,816,000","128,788,000","133,523,000","117,780,000","24,987,000","126,288,000","169,170,000","163,260,000","162,255,000","75,983,000","165,860,000","141,741,000","-184,391,000","141,670,000","164,675,000","157,223,000","11,941,000","144,730,000","193,322,000","80,581,000","182,441,000","-111,429,000","189,954,000","186,830,000","120,818,000","187,191,000","166,280,000","179,457,000","252,507,000","151,303,000","151,136,000","162,472,000","137,046,000","100,287,000","127,624,000","114,398,000","86,128,000","74,844,000","95,210,000","94,378,000","-77,633,000","99,398,000","90,650,000","73,237,000"
