name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"8,190,500,000","1,962,800,000","2,133,900,000","1,932,900,000","2,160,900,000","1,714,000,000","1,845,700,000","1,583,000,000","1,866,700,000","1,708,400,000","1,821,900,000","1,655,900,000","1,933,500,000","1,657,400,000","1,778,500,000","1,660,400,000","1,837,700,000","1,599,000,000","1,584,500,000","1,563,400,000","1,412,700,000","1,385,000,000","1,482,300,000","1,427,100,000","1,300,400,000","1,334,900,000","1,454,800,000","1,371,400,000","1,231,300,000","1,245,400,000","1,286,800,000","1,179,300,000","915,000,000","890,200,000","835,800,000","779,500,000","674,100,000","673,200,000","650,400,000","649,900,000","546,800,000","578,400,000","562,800,000","546,100,000","447,400,000","459,100,000","463,200,000","459,500,000","482,400,000","435,100,000","439,500,000","453,600,000","401,100,000","378,300,000","428,200,000","428,900,000","375,800,000","370,200,000","424,100,000","440,800,000","388,200,000","414,700,000","421,200,000","370,600,000","327,500,000","376,100,000","389,900,000","371,100,000","348,900,000","386,900,000","373,000,000","378,900,000","341,500,000","365,500,000","345,000,000","299,000,000","254,000,000","306,782,000","279,520,000","248,644,000","249,162,000","253,956,000","233,297,000","209,092,000","198,812,000","201,627,000","181,265,000","150,880,000","146,282,000","188,600,000","154,600,000","130,500,000","130,500,000","154,400,000","139,000,000","115,500,000","113,200,000","122,500,000","120,800,000","106,600,000","105,100,000","119,600,000","121,700,000","102,600,000","100,700,000","110,900,000","110,600,000","91,200,000","90,500,000","88,300,000","96,700,000","79,300,000","79,300,000","68,000,000","89,100,000","73,600,000","66,800,000","77,200,000","72,400,000","60,400,000","58,300,000","62,600,000","59,200,000","52,000,000","49,100,000","51,900,000","54,800,000","43,700,000","45,700,000","46,700,000","47,500,000","38,500,000","40,500,000","38,100,000","44,300,000","33,100,000","36,800,000","20,800,000","39,700,000","29,300,000","31,600,000","18,400,000","33,800,000","20,400,000","24,500,000","21,900,000","23,100,000"
	OperatingRevenue,"7,620,300,000","1,830,000,000","1,996,300,000","1,797,100,000","1,996,900,000","1,586,100,000","1,715,500,000","1,462,700,000","1,724,900,000","1,585,800,000","1,710,000,000","1,546,400,000","1,795,700,000","1,561,200,000","1,670,700,000","1,548,400,000","1,713,100,000","1,535,500,000","1,530,500,000","1,491,100,000","1,323,600,000","1,332,800,000","1,430,800,000","1,362,400,000","1,209,300,000","1,288,700,000","1,376,500,000","1,310,900,000","1,159,900,000","1,202,800,000","1,249,800,000","1,123,100,000","836,400,000","858,200,000","806,600,000","743,600,000","624,800,000","647,200,000","625,300,000","621,800,000","510,600,000","565,300,000","536,500,000","524,600,000","416,600,000","368,000,000","459,900,000","455,700,000","412,600,000","-256,500,000","436,200,000","448,400,000","394,100,000","378,300,000","428,200,000","428,900,000","375,800,000","465,900,000","404,700,000","407,400,000","352,800,000","378,700,000","382,600,000","361,600,000","314,900,000","242,800,000","389,900,000","331,000,000","312,900,000","386,900,000","373,000,000","314,400,000","289,700,000","365,500,000","345,000,000","299,000,000","254,000,000","291,195,000","279,520,000","248,644,000","232,978,000","240,397,000","220,602,000","207,326,000","196,001,000","201,627,000","181,265,000","150,880,000","146,282,000","188,600,000","154,600,000","130,500,000","130,500,000","154,400,000","139,000,000","115,500,000","113,200,000","122,500,000","120,800,000","106,600,000","105,100,000","119,600,000","121,700,000","102,600,000","100,700,000","110,900,000","110,600,000","91,200,000","90,500,000","88,300,000","96,700,000","79,300,000","79,300,000","68,000,000","89,100,000","73,600,000","66,800,000","77,200,000","72,400,000","60,400,000","58,300,000","62,600,000","59,200,000","52,000,000","49,100,000","51,900,000","54,800,000","43,700,000","45,700,000","46,700,000","47,500,000","38,500,000","40,500,000","38,100,000","44,300,000","33,100,000","36,800,000","20,800,000","39,700,000","29,300,000","31,600,000","18,400,000","33,800,000","20,400,000","24,500,000","21,900,000","23,100,000"
CostOfRevenue,"5,233,700,000","1,274,800,000","1,399,200,000","1,242,600,000","1,317,100,000","1,137,500,000","1,234,300,000","1,009,200,000","1,119,300,000","1,176,100,000","1,270,800,000","1,131,300,000","1,252,700,000","1,228,400,000","1,311,800,000","1,201,900,000","1,241,800,000","1,159,400,000","1,131,500,000","1,072,800,000","1,024,500,000","988,700,000","1,076,300,000","956,000,000","926,500,000","950,200,000","1,023,800,000","921,900,000","884,500,000","897,900,000","890,800,000","800,500,000","637,300,000","628,800,000","559,400,000","492,100,000","442,000,000","448,200,000","401,600,000","393,100,000","362,100,000","384,000,000","342,500,000","336,500,000","295,100,000","864,100,000","84,800,000","87,400,000","145,200,000","87,800,000","80,700,000","78,100,000","77,700,000","118,100,000","99,900,000","87,900,000","237,200,000","174,600,000","89,700,000","90,100,000","82,600,000","91,400,000","80,900,000","76,500,000","73,600,000","103,000,000","75,700,000","74,100,000","69,500,000","72,300,000","69,900,000","68,300,000","67,000,000","72,200,000","64,300,000","63,500,000","63,000,000","86,486,000","78,335,000","72,004,000","67,295,000","73,760,000","68,176,000","71,051,000","63,573,000","65,318,000","52,151,000","46,898,000","43,125,000","174,100,000","42,700,000","42,500,000","37,700,000","53,000,000","38,300,000","36,800,000","34,900,000","40,100,000","36,000,000","36,500,000","33,700,000","38,400,000","33,700,000","32,100,000","30,700,000","32,200,000","30,600,000","29,200,000","28,300,000","28,100,000","26,700,000","24,600,000","25,700,000","25,200,000","25,500,000","24,300,000","21,200,000","23,800,000","23,500,000","21,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"2,956,800,000","688,000,000","734,700,000","690,300,000","843,800,000","576,500,000","611,400,000","573,800,000","747,400,000","532,300,000","551,100,000","524,600,000","680,800,000","429,000,000","466,700,000","458,500,000","595,900,000","439,600,000","453,000,000","490,600,000","388,200,000","396,300,000","406,000,000","471,100,000","373,900,000","384,700,000","431,000,000","449,500,000","346,800,000","347,500,000","396,000,000","378,800,000","277,700,000","261,400,000","276,400,000","287,400,000","232,100,000","225,000,000","248,800,000","256,800,000","184,700,000","194,400,000","220,300,000","209,600,000","152,300,000","-405,000,000","378,400,000","372,100,000","337,200,000","347,300,000","358,800,000","375,500,000","323,400,000","260,200,000","328,300,000","341,000,000","138,600,000","195,600,000","334,400,000","350,700,000","305,600,000","323,300,000","340,300,000","294,100,000","253,900,000","273,100,000","314,200,000","297,000,000","279,400,000","314,600,000","303,100,000","310,600,000","274,500,000","293,300,000","280,700,000","235,500,000","191,000,000","220,296,000","201,185,000","176,640,000","181,867,000","180,196,000","165,121,000","138,041,000","135,239,000","136,309,000","129,114,000","103,982,000","103,157,000","14,500,000","111,900,000","88,000,000","92,800,000","101,400,000","100,700,000","78,700,000","78,300,000","82,400,000","84,800,000","70,100,000","71,400,000","81,200,000","88,000,000","70,500,000","70,000,000","78,700,000","80,000,000","62,000,000","62,200,000","60,200,000","70,000,000","54,700,000","53,600,000","42,800,000","63,600,000","49,300,000","45,600,000","53,400,000","48,900,000","38,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,638,700,000","466,800,000","396,900,000","398,600,000","376,400,000","364,300,000","337,100,000","337,400,000","430,100,000","409,900,000","387,300,000","372,700,000","373,000,000","346,900,000","333,900,000","327,000,000","314,900,000","322,900,000","314,300,000","306,900,000","294,200,000","288,300,000","278,500,000","293,200,000","288,500,000","315,800,000","290,000,000","289,400,000","279,700,000","294,600,000","277,900,000","243,500,000","210,100,000","198,000,000","178,200,000","180,600,000","174,200,000","166,300,000","158,100,000","160,100,000","139,100,000","136,800,000","143,300,000","135,600,000","118,500,000","-439,800,000","303,300,000","300,400,000","283,800,000","308,000,000","287,700,000","293,000,000","272,600,000","268,300,000","271,800,000","264,400,000","103,700,000","224,500,000","253,300,000","253,300,000","239,100,000","260,700,000","234,900,000","232,300,000","218,400,000","322,600,000","215,200,000","203,400,000","207,200,000","81,600,000","232,500,000","250,600,000","224,000,000","226,600,000","214,300,000","185,200,000","175,000,000","165,591,000","156,552,000","153,722,000","133,062,000","141,099,000","114,843,000","109,443,000","105,912,000","116,037,000","98,997,000","88,864,000","85,830,000","-33,400,000","81,200,000","78,600,000","77,000,000","81,100,000","73,300,000","70,000,000","68,800,000","70,300,000","66,200,000","60,700,000","63,800,000","64,300,000","62,500,000","59,800,000","57,600,000","58,800,000","56,400,000","53,200,000","52,500,000","52,400,000","49,000,000","47,600,000","47,300,000","43,500,000","44,300,000","37,500,000","38,900,000","40,300,000","34,700,000","33,000,000","52,800,000","53,100,000","48,900,000","50,200,000","44,400,000","43,700,000","42,200,000","40,400,000","40,600,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,600,000","123,700,000","108,300,000","102,900,000","113,900,000","108,200,000","295,100,000","-463,900,000","280,500,000","275,800,000","262,200,000","285,600,000","266,200,000","271,400,000","252,500,000","246,800,000","253,600,000","246,200,000","87,900,000","211,400,000","238,500,000","238,100,000","223,600,000","245,000,000","220,100,000","219,300,000","205,500,000","310,500,000","202,000,000","189,100,000","193,200,000","68,100,000","219,500,000","235,600,000","212,200,000","215,000,000","203,500,000","175,800,000","168,000,000","157,205,000","147,637,000","145,333,000","126,322,000","141,099,000","114,843,000","109,443,000","105,912,000","112,114,000","94,441,000","84,791,000","82,066,000","-38,000,000","77,400,000","75,000,000","73,700,000","77,900,000","70,500,000","67,200,000","65,900,000","67,200,000","63,500,000","58,000,000","61,200,000","61,800,000","60,000,000","57,200,000","55,400,000","56,800,000","54,200,000","51,400,000","50,500,000","50,500,000","47,200,000","45,800,000","45,500,000","41,800,000","42,700,000","36,000,000","37,400,000","39,000,000","34,700,000","33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"373,900,000","364,100,000","344,400,000",,"341,800,000","324,800,000","295,100,000",,"280,500,000","275,800,000","262,200,000","285,600,000","266,200,000","271,400,000","252,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"373,900,000","364,100,000","344,400,000",,"341,800,000","324,800,000","295,100,000",,"280,500,000","275,800,000","262,200,000","281,000,000","260,200,000","269,400,000","250,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,600,000","6,000,000","2,000,000","2,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"566,300,000","146,500,000","131,300,000","145,200,000","143,300,000","133,500,000","133,900,000","122,600,000","172,400,000","129,600,000","119,300,000","115,000,000","110,500,000","109,800,000","106,200,000","104,200,000","98,800,000","96,600,000","100,100,000","95,300,000","93,800,000","89,300,000","88,900,000","88,600,000","84,000,000","93,800,000","81,900,000","82,300,000","76,200,000","73,600,000","72,900,000","59,500,000","52,900,000","50,300,000","45,100,000","42,800,000","40,400,000","36,700,000","36,500,000","36,400,000","30,800,000","33,900,000","29,400,000","27,400,000","24,500,000","24,100,000","22,800,000","24,600,000","21,600,000","22,400,000","21,500,000","21,600,000","20,100,000","21,500,000","18,200,000","18,200,000","15,800,000","13,100,000","14,800,000","15,200,000","15,500,000","15,700,000","14,800,000","13,000,000","12,900,000","12,100,000","13,200,000","14,300,000","14,000,000","13,500,000","13,000,000","15,000,000","11,800,000","11,600,000","10,800,000","9,400,000","7,000,000","8,386,000","8,915,000","8,389,000","6,740,000",,,,,"3,923,000","4,556,000","4,073,000","3,764,000","4,600,000","3,800,000","3,600,000","3,300,000","3,200,000","2,800,000","2,800,000","2,900,000","3,100,000","2,700,000","2,700,000","2,600,000","2,500,000","2,500,000","2,600,000","2,200,000","2,000,000","2,200,000","1,800,000","2,000,000","1,900,000","1,800,000","1,800,000","1,800,000","1,700,000","1,600,000","1,500,000","1,500,000","1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
