name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"6,176,000,000","1,899,000,000","1,953,000,000","1,527,000,000","797,000,000","808,000,000","701,000,000","421,000,000","1,636,000,000","2,228,000,000","2,389,000,000","2,288,000,000","1,876,000,000","2,064,000,000","2,212,000,000","2,156,000,000","1,832,000,000","1,962,000,000","2,120,000,000","2,102,000,000","1,749,000,000","1,524,000,000","1,566,000,000","1,494,000,000","1,347,000,000","1,377,000,000","1,515,000,000","1,437,000,000","1,269,000,000","1,306,000,000","1,465,000,000","1,375,000,000","1,222,000,000","1,210,000,000","1,557,000,000","1,256,000,000","1,133,000,000","1,132,300,000","1,272,200,000","1,213,200,000","1,039,300,000","1,044,300,000","1,198,100,000","1,110,200,000","965,200,000","958,500,000","1,067,500,000","976,400,000","829,900,000","846,100,000","967,400,000","843,900,000","742,400,000","827,100,000","1,065,200,000","930,800,000","839,500,000","847,100,000","995,100,000","904,400,000","759,400,000","790,300,000","935,700,000","873,000,000","735,400,000","730,600,000","845,700,000","756,500,000","642,500,000","652,900,000","773,800,000","698,700,000","598,400,000","613,300,000","702,200,000","609,100,000","518,700,000","527,300,000","620,100,000","574,100,000","496,900,000","462,200,000","583,400,000","579,300,000","516,000,000","532,400,000","602,300,000","552,800,000","492,500,000","502,000,000","589,100,000","529,700,000","461,200,000","457,000,000","539,400,000","484,900,000","416,400,000","422,800,000","501,200,000","435,000,000","380,400,000","359,200,000","464,900,000","416,700,000","351,400,000","341,000,000","419,700,000","362,200,000","294,600,000","317,920,000","386,800,000","330,500,000","280,300,000","277,200,000","323,400,000","277,500,000","250,200,000","259,000,000","321,100,000","277,100,000","258,200,000","264,600,000","314,400,000","278,300,000","246,700,000","257,200,000","295,700,000","263,300,000","230,800,000","223,300,000","268,900,000","226,600,000","197,700,000","196,500,000","241,500,000","203,100,000","173,300,000","175,100,000","214,900,000","178,400,000","141,400,000","126,100,000","133,400,000","110,000,000","98,800,000","102,700,000","132,900,000"
	OperatingRevenue,"5,499,000,000","1,714,000,000","1,774,000,000","1,352,000,000","659,000,000","657,000,000","572,000,000","309,000,000","1,481,000,000","2,057,000,000","2,211,000,000","2,111,000,000","1,716,000,000","1,907,000,000","2,043,000,000","1,997,000,000","1,685,000,000","1,729,000,000","1,856,000,000","1,839,000,000","1,508,000,000","1,314,000,000","1,353,000,000","1,290,000,000","1,157,000,000","1,203,000,000","1,327,000,000","1,261,000,000","1,110,000,000","1,142,000,000","1,281,000,000","1,206,000,000","1,064,000,000","1,059,000,000","1,200,000,000","1,118,000,000","1,004,000,000","616,300,000","1,272,200,000","1,213,200,000","1,039,300,000","1,044,300,000","1,198,100,000","1,110,200,000","965,200,000","958,500,000","1,067,500,000","976,400,000","829,900,000","1,001,400,000","912,500,000","782,400,000","742,400,000","827,100,000","1,065,200,000","930,800,000","797,900,000","847,100,000","995,100,000","904,400,000","759,400,000","790,300,000","935,700,000","873,000,000","735,400,000","730,600,000","845,700,000","756,500,000","642,500,000","652,900,000","773,800,000","698,700,000","598,400,000","613,300,000","702,200,000","609,100,000","518,700,000","527,700,000","620,600,000","575,700,000","496,900,000","474,100,000","583,400,000","579,300,000","516,000,000","532,400,000","602,300,000","552,800,000","492,500,000","502,000,000","589,100,000","529,700,000","461,200,000","457,000,000","539,400,000","484,900,000","416,400,000","422,800,000","501,200,000","435,000,000","380,400,000","359,200,000","464,900,000","416,700,000","351,400,000","341,000,000","419,700,000","362,200,000","294,600,000","317,900,000","386,800,000","330,500,000","280,300,000","277,200,000","323,400,000","277,500,000","250,200,000","259,000,000","321,100,000","277,100,000","258,200,000","264,600,000","314,400,000","278,300,000","246,700,000","257,200,000","295,700,000","263,300,000","230,800,000","223,300,000","268,900,000","226,600,000","197,700,000","196,500,000","241,500,000","203,100,000","173,300,000","175,100,000","214,900,000","178,400,000","141,400,000","126,100,000","133,400,000","110,000,000","98,800,000","102,700,000","132,900,000"
CostOfRevenue,"4,822,000,000","1,655,000,000","1,529,000,000","847,000,000","791,000,000","1,112,000,000","715,000,000","557,000,000","1,596,000,000","1,746,000,000","1,748,000,000","1,693,000,000","1,615,000,000","1,748,000,000","1,673,000,000","1,617,000,000","1,553,000,000","1,541,000,000","1,416,000,000","1,348,000,000","1,328,000,000","1,041,000,000","994,000,000","926,000,000","914,000,000","942,000,000","947,000,000","917,000,000","895,000,000","970,000,000","1,027,000,000","978,000,000","954,000,000","962,000,000","971,000,000","966,000,000","964,000,000","1,984,700,000","553,500,000","645,900,000","524,900,000","452,700,000","626,500,000","626,000,000","404,900,000","233,200,000","238,800,000","270,900,000","223,300,000","173,600,000","202,500,000","148,900,000","180,000,000","373,700,000","602,600,000","186,700,000","303,000,000","-872,500,000","617,900,000","598,900,000","489,200,000","-599,400,000","640,700,000","559,100,000","463,700,000","549,700,000","554,100,000","531,200,000","498,000,000","1,164,000,000","243,100,000","445,700,000","427,900,000","406,900,000","409,100,000","395,100,000","391,200,000","388,100,000","383,600,000","372,700,000","346,600,000","358,800,000","363,900,000","369,700,000","370,100,000","398,300,000","374,000,000","339,900,000","338,500,000","305,000,000","312,500,000","288,200,000","275,000,000","265,600,000","278,600,000","265,100,000","249,300,000","261,300,000","264,500,000","250,100,000","274,900,000","274,400,000","279,800,000","268,000,000","253,000,000","227,900,000","236,700,000","223,600,000","211,900,000","221,500,000","221,000,000","203,500,000","192,000,000","184,100,000","193,800,000","179,000,000","176,100,000","189,100,000","197,600,000","184,900,000","173,200,000","188,400,000","169,000,000","157,800,000","158,600,000","148,400,000","163,000,000","150,500,000","144,400,000","134,900,000","142,900,000","127,900,000",,,,,,,,,,,,,,,
GrossProfit,"1,354,000,000","244,000,000","424,000,000","680,000,000","6,000,000","-304,000,000","-14,000,000","-136,000,000","40,000,000","482,000,000","641,000,000","595,000,000","261,000,000","316,000,000","539,000,000","539,000,000","279,000,000","421,000,000","704,000,000","754,000,000","421,000,000","483,000,000","572,000,000","568,000,000","433,000,000","435,000,000","568,000,000","520,000,000","374,000,000","336,000,000","438,000,000","397,000,000","268,000,000","248,000,000","586,000,000","290,000,000","169,000,000","-852,400,000","718,700,000","567,300,000","514,400,000","591,600,000","571,600,000","484,200,000","560,300,000","725,300,000","828,700,000","705,500,000","606,600,000","672,500,000","764,900,000","695,000,000","562,400,000","453,400,000","462,600,000","744,100,000","536,500,000","1,719,600,000","377,200,000","305,500,000","270,200,000","1,389,700,000","295,000,000","313,900,000","271,700,000","180,900,000","291,600,000","225,300,000","144,500,000","-511,100,000","530,700,000","253,000,000","170,500,000","206,400,000","293,100,000","214,000,000","127,500,000","139,200,000","236,500,000","201,400,000","150,300,000","103,400,000","219,500,000","209,600,000","145,900,000","134,100,000","228,300,000","212,900,000","154,000,000","197,000,000","276,600,000","241,500,000","186,200,000","191,400,000","260,800,000","219,800,000","167,100,000","161,500,000","236,700,000","184,900,000","105,500,000","84,800,000","185,100,000","148,700,000","98,400,000","113,100,000","183,000,000","138,600,000","82,700,000","96,420,000","165,800,000","127,000,000","88,300,000","93,100,000","129,600,000","98,500,000","74,100,000","69,900,000","123,500,000","92,200,000","85,000,000","76,200,000","145,400,000","120,500,000","88,100,000","108,800,000","132,700,000","112,800,000","86,400,000","88,400,000","126,000,000","98,700,000",,,,,,,,,,,,,,,
OperatingExpense,"680,000,000","209,000,000","175,000,000","158,000,000","138,000,000","115,000,000","113,000,000","82,000,000","198,000,000","225,000,000","214,000,000","223,000,000","210,000,000","230,000,000","220,000,000","229,000,000","219,000,000","229,000,000","241,000,000","237,000,000","215,000,000","161,000,000","150,000,000","136,000,000","143,000,000","148,000,000","135,000,000","148,000,000","136,000,000","124,000,000","122,000,000","134,000,000","127,000,000","118,000,000","116,000,000","116,000,000","105,000,000","-926,700,000","449,200,000","451,500,000","442,000,000","438,600,000","428,400,000","426,400,000","426,500,000","422,400,000","424,900,000","409,000,000","394,800,000","428,500,000","413,900,000","441,300,000","389,900,000","368,900,000","384,900,000","410,000,000","387,000,000","-1,151,100,000","951,200,000","924,200,000","872,500,000","-1,165,700,000","969,500,000","887,200,000","825,100,000","1,023,400,000","856,200,000","831,600,000","814,300,000","1,171,900,000","627,400,000","773,500,000","744,700,000","721,700,000","715,900,000","693,200,000","681,200,000","667,100,000","682,900,000","663,700,000","624,900,000","597,500,000","679,500,000","645,000,000","640,000,000","660,900,000","638,100,000","586,300,000","575,100,000","1,705,000,000","160,000,000","154,800,000","150,600,000","1,536,700,000","150,900,000","140,400,000","134,500,000","1,454,500,000","138,200,000","129,500,000","298,600,000","853,400,000","316,400,000","295,100,000","281,900,000","698,700,000","287,700,000","274,200,000","253,000,000","647,722,000","274,200,000","253,700,000","233,600,000","115,800,000","108,900,000","96,400,000","90,900,000","129,300,000","119,700,000","111,300,000","105,100,000","76,800,000","112,100,000","107,000,000","99,700,000","126,300,000","100,900,000","95,900,000","89,000,000","85,400,000","88,600,000","80,200,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"173,000,000","50,000,000","49,000,000","41,000,000","33,000,000","18,000,000","24,000,000","4,000,000","55,000,000","77,000,000","77,000,000","87,000,000","72,000,000","81,000,000","79,000,000","88,000,000","78,000,000","88,000,000","91,000,000","97,000,000","81,000,000","63,000,000","58,000,000","55,000,000","49,000,000","51,000,000","53,000,000","54,000,000","53,000,000","45,000,000","55,000,000","53,000,000","46,000,000","42,000,000","47,000,000","51,000,000","38,000,000","-795,000,000","324,700,000","324,600,000","313,700,000","314,100,000","311,600,000","306,500,000","305,500,000","309,000,000","317,300,000","299,400,000","290,800,000","307,100,000","307,200,000","337,100,000","280,300,000","265,700,000","280,100,000","283,600,000","280,500,000","595,100,000","186,400,000","182,100,000","136,600,000","739,800,000","134,400,000","184,100,000","172,300,000","173,300,000","174,400,000","133,700,000","128,900,000","121,500,000","115,900,000","125,800,000","117,700,000","31,000,000","148,400,000","141,500,000","136,900,000","137,900,000","140,900,000","138,600,000","129,600,000","132,400,000","130,800,000","130,700,000","127,200,000","130,000,000","125,200,000","117,500,000","112,700,000","158,300,000","102,300,000","98,600,000","98,100,000","151,100,000","98,500,000","91,100,000","85,400,000","127,700,000","89,000,000","81,300,000","208,100,000","197,500,000","222,800,000","205,300,000","196,400,000","170,200,000","184,500,000","176,500,000","161,800,000","165,700,000","179,100,000","165,100,000","152,200,000","100,800,000","94,400,000","82,000,000","76,500,000","114,600,000","105,600,000","97,300,000","91,100,000","84,600,000","91,600,000","86,900,000","80,700,000","80,000,000","86,600,000","82,000,000","75,800,000","72,800,000","77,100,000","70,200,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"278,800,000","280,400,000","272,600,000","271,800,000","264,200,000","260,700,000","265,700,000","271,300,000","273,000,000","261,200,000","257,200,000","272,600,000","270,200,000","301,800,000","255,300,000","238,900,000","238,400,000","239,500,000","246,000,000","557,400,000","143,700,000","141,000,000","97,600,000","703,100,000","89,700,000","137,700,000","132,300,000","135,100,000","130,100,000","133,700,000","128,900,000","121,500,000","115,900,000","125,800,000","117,700,000","107,300,000","121,500,000","116,000,000","113,000,000","113,100,000","115,600,000","116,600,000","111,800,000","116,300,000","115,000,000","114,300,000","110,800,000","112,500,000","110,100,000","105,700,000","103,000,000","73,900,000","131,600,000","124,900,000","121,800,000","79,300,000","125,700,000","115,800,000","108,000,000","71,300,000","119,700,000","108,400,000","232,900,000","220,100,000","251,800,000","232,200,000","219,400,000","191,500,000","211,000,000","201,500,000","182,100,000","186,800,000","206,200,000","188,800,000","172,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"278,800,000","280,400,000","272,600,000","271,800,000","264,200,000","260,700,000","265,700,000","271,300,000","263,200,000","261,200,000","257,200,000","308,400,000","270,200,000","266,000,000","255,300,000","238,900,000","238,400,000","239,500,000","246,000,000","1,710,600,000","-244,000,000","-240,400,000","-247,500,000","1,694,100,000","-243,600,000","-245,000,000","-231,700,000","-230,100,000","-221,500,000","-227,300,000","-244,700,000","-233,600,000","-247,000,000","-244,600,000","-242,300,000","-244,100,000","-237,900,000","-232,500,000","-227,100,000","-219,300,000","-224,100,000","-211,800,000","-204,600,000","-204,400,000","-205,000,000","-194,100,000","-192,000,000","-183,100,000","-185,600,000","-175,800,000","-171,000,000","-165,500,000","-172,500,000","-162,700,000","-151,900,000","-147,200,000","-161,000,000","-149,300,000","-136,900,000","-133,200,000","-143,100,000","-132,900,000","-122,500,000","-112,800,000","-132,400,000","-117,500,000","-114,300,000","-105,300,000","-114,200,000","-108,500,000","-99,800,000","-99,200,000","-109,400,000","-100,300,000","-92,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","9,800,000",,,,,"35,800,000",,,"-329,100,000",,,,"387,700,000","381,400,000","345,100,000",,"333,300,000","382,700,000","364,000,000","365,200,000","351,600,000","361,000,000","373,600,000","355,100,000","362,900,000","370,400,000","360,000,000","351,400,000","359,400,000","348,500,000","340,100,000","332,400,000","339,700,000","328,400,000","316,400,000","320,700,000","320,000,000","308,400,000","302,800,000","295,600,000","295,700,000","281,500,000","274,000,000","239,400,000","304,100,000","287,600,000","273,700,000","226,500,000","286,700,000","265,100,000","244,900,000","204,500,000","262,800,000","241,300,000","355,400,000","332,900,000","384,200,000","349,700,000","333,700,000","296,800,000","325,200,000","310,000,000","281,900,000","286,000,000","315,600,000","289,100,000","265,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"173,000,000","50,000,000","49,000,000","41,000,000","33,000,000","18,000,000","24,000,000","4,000,000","55,000,000","77,000,000","77,000,000","87,000,000","72,000,000","81,000,000","79,000,000","88,000,000","78,000,000","88,000,000","91,000,000","97,000,000","81,000,000","63,000,000","58,000,000","55,000,000","49,000,000","51,000,000","53,000,000","54,000,000","53,000,000","45,000,000","55,000,000","53,000,000","46,000,000","42,000,000","47,000,000","51,000,000","38,000,000","36,800,000","45,900,000","44,200,000","41,100,000","42,300,000","47,400,000","45,800,000","39,800,000","37,700,000","44,300,000","38,200,000","33,600,000","34,500,000","37,000,000","35,300,000","25,000,000","26,800,000","41,700,000","44,100,000","34,500,000","37,700,000","42,700,000","41,100,000","39,000,000","36,700,000","44,700,000","46,400,000","40,000,000","38,200,000","44,300,000",,,,,,,,"26,900,000","25,500,000","23,900,000","24,800,000","25,300,000","22,000,000","17,800,000","16,100,000","15,800,000","16,400,000","16,400,000","17,500,000","15,100,000","11,800,000","9,700,000","84,400,000","-29,300,000","-26,300,000","-23,700,000","71,800,000","-27,200,000","-24,700,000","-22,600,000","56,400,000","-30,700,000","-27,100,000","-24,800,000","-22,600,000","-29,000,000","-26,900,000","-23,000,000","-21,300,000","-26,500,000","-25,000,000","-20,300,000","-21,100,000","-27,100,000","-23,700,000","-20,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
