name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalRevenue,"2,867,400,000","709,200,000","717,000,000","746,900,000","694,300,000","727,300,000","728,400,000","589,500,000","674,700,000","719,500,000","748,300,000","731,200,000","655,000,000","702,400,000","711,500,000","704,700,000","613,100,000","623,100,000","609,400,000","627,000,000","548,800,000","569,700,000","581,100,000","584,900,000","502,300,000","545,400,000","544,500,000","519,500,000","458,700,000","573,500,000","546,700,000","531,500,000","472,500,000","550,600,000","529,000,000","528,700,000","473,300,000","522,900,000"
	OperatingRevenue,"2,867,400,000","709,200,000","717,000,000","746,900,000","694,300,000","727,300,000","728,400,000","589,500,000","674,700,000","719,500,000","748,300,000","731,200,000","655,000,000","702,400,000","711,500,000","704,700,000","613,100,000","623,100,000","609,400,000","627,000,000","548,800,000","569,700,000","581,100,000","584,900,000","502,300,000","545,400,000","544,500,000","519,500,000","458,700,000","573,500,000","546,700,000","531,500,000","472,500,000","550,600,000","529,000,000","528,700,000","473,300,000","522,900,000"
CostOfRevenue,"1,662,500,000","422,700,000","416,500,000","426,400,000","396,900,000","407,400,000","409,200,000","342,900,000","381,600,000","400,300,000","412,800,000","410,500,000","378,100,000","401,900,000","402,100,000","399,100,000","355,300,000","348,200,000","335,500,000","346,000,000","308,000,000","331,600,000","317,600,000","317,500,000","286,000,000","325,200,000","304,500,000","297,700,000","271,600,000","374,000,000","310,600,000","305,200,000","280,600,000","334,100,000","290,600,000","310,200,000","287,200,000","303,500,000"
GrossProfit,"1,204,900,000","286,500,000","300,500,000","320,500,000","297,400,000","319,900,000","319,200,000","246,600,000","293,100,000","319,200,000","335,500,000","320,700,000","276,900,000","300,500,000","309,400,000","305,600,000","257,800,000","274,900,000","273,900,000","281,000,000","240,800,000","238,100,000","263,500,000","267,400,000","216,300,000","220,200,000","240,000,000","221,800,000","187,100,000","199,500,000","236,100,000","226,300,000","191,900,000","216,500,000","238,400,000","218,500,000","186,100,000","219,400,000"
OperatingExpense,"674,700,000","171,400,000","162,100,000","175,100,000","166,100,000","161,500,000","156,200,000","150,100,000","167,900,000","175,900,000","167,400,000","175,000,000","168,900,000","159,100,000","167,100,000","162,200,000","159,100,000","145,700,000","147,800,000","146,900,000","142,000,000","140,900,000","142,000,000","143,100,000","133,800,000","138,700,000","129,600,000","126,100,000","116,100,000","135,900,000","130,500,000","136,600,000","125,100,000","126,700,000","122,200,000","118,500,000","117,300,000","117,300,000"
	SellingGeneralAndAdministration,"674,700,000","171,400,000","162,100,000","175,100,000","166,100,000","161,500,000","156,200,000","150,100,000","167,900,000","175,900,000","167,400,000","175,000,000","168,900,000","159,100,000","167,100,000","162,200,000","159,100,000","145,700,000","147,800,000","146,900,000","142,000,000","140,900,000","142,000,000","143,100,000","133,800,000","138,700,000","129,600,000","126,100,000","116,100,000","135,900,000","130,500,000","136,600,000","125,100,000","126,700,000","122,200,000","118,500,000","117,300,000","117,300,000"
		SellingAndMarketingExpense,,,,,,,,"150,100,000","167,900,000","175,900,000","167,400,000","175,000,000","168,900,000","159,100,000","167,100,000","162,200,000","159,100,000","145,700,000","147,800,000","146,900,000","142,000,000","140,900,000","142,000,000","143,100,000","133,800,000","138,700,000","129,600,000","126,100,000","116,100,000","135,900,000","130,500,000","136,600,000","125,100,000","126,700,000","122,200,000","118,500,000","117,300,000","117,300,000"
OperatingIncome,"530,200,000","115,100,000","138,400,000","145,400,000","131,300,000","158,400,000","163,000,000","96,500,000","125,200,000","143,300,000","168,100,000","145,700,000","108,000,000","141,400,000","142,300,000","143,400,000","98,700,000","129,200,000","126,100,000","134,100,000","98,800,000","97,200,000","121,500,000","124,300,000","82,500,000","81,500,000","110,400,000","95,700,000","71,000,000","63,600,000","105,600,000","89,700,000","66,800,000","89,800,000","116,200,000","100,000,000","68,800,000","102,100,000"
NetNonOperatingInterestIncomeExpense,"-49,800,000","-13,200,000","-12,000,000","-12,300,000","-12,300,000","-12,200,000","-12,700,000","-12,900,000","-12,400,000","-12,600,000","-15,200,000","-13,000,000","-13,400,000","-13,600,000","-13,600,000","-13,300,000","-12,700,000","-55,400,000","-17,500,000","-15,900,000","-15,800,000","-15,900,000","-15,100,000","-15,600,000","-15,800,000","-15,900,000","-13,400,000","-10,800,000","-11,300,000","-14,800,000","-12,600,000","-12,400,000","-12,900,000","-8,100,000","-500,000","-500,000","-300,000","-200,000"
	InterestIncomeNonOperating,"400,000","0","300,000","100,000","0","100,000","200,000","100,000","500,000","700,000","400,000","400,000","300,000","100,000","400,000","100,000","200,000","600,000","300,000","200,000","100,000","0","500,000","900,000","500,000","400,000","300,000","500,000","300,000","700,000","100,000","100,000","200,000","700,000","0","0","100,000","200,000"
