name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"24,172,000,000","6,271,000,000","6,123,000,000","6,196,000,000","5,582,000,000","5,162,000,000","4,688,000,000","4,395,000,000","3,957,000,000","4,162,000,000","3,754,000,000","3,562,000,000","3,539,000,000","3,753,000,000","4,014,000,000","4,468,000,000","4,567,000,000","4,204,000,000","3,969,000,000","3,744,000,000","3,546,000,000","3,278,000,000","3,297,000,000","2,821,000,000","2,450,000,000","2,257,000,000","2,368,000,000","2,490,000,000","2,442,000,000","2,359,000,000","2,264,000,000","2,265,000,000","2,353,000,000","2,190,000,000","1,988,000,000","1,975,000,000","1,973,000,000","1,573,000,000","1,646,000,000","2,343,000,000","2,541,000,000","2,189,000,000","2,181,000,000","2,787,000,000","2,862,000,000","2,686,000,000","2,886,435,000","2,517,790,000","2,295,540,000","1,848,902,000","1,526,394,000","1,133,740,000","1,020,077,000","1,333,396,000","2,043,677,000","1,848,168,000","2,149,998,000","2,087,397,000","2,367,044,000","2,560,984,000","2,529,561,000","2,277,267,000","2,518,293,000","2,543,443,000","2,247,686,000","1,857,592,000","1,718,120,000","1,631,938,000","1,861,189,000","1,780,576,000","2,203,358,000","2,236,152,000","2,018,105,000","1,555,448,000","1,220,998,000","1,094,907,000","1,107,177,000","1,054,209,000","1,445,698,000","1,459,682,000","1,156,472,000","1,000,460,000","1,368,810,000","1,333,871,000","1,909,435,000","2,731,132,000","2,920,163,000","2,732,028,000","2,190,031,000","1,667,000,000","1,565,500,000","1,433,500,000","1,117,600,000","742,500,000","673,200,000","884,500,000","1,176,300,000","1,307,700,000","1,280,400,000","1,057,200,000","900,900,000","835,800,000","860,900,000","1,115,400,000","1,127,900,000","1,040,600,000","982,700,000","897,700,000","675,400,000","506,100,000","467,800,000","440,200,000","411,300,000","340,400,000","327,400,000","281,400,000","255,700,000","215,600,000","210,500,000","193,800,000","180,100,000","167,000,000","160,600,000","167,300,000","166,100,000","144,600,000","141,000,000","144,200,000","143,100,000","138,800,000","142,100,000","130,200,000","122,800,000","106,700,000","112,800,000","103,400,000","82,600,000","64,000,000","53,300,000","44,100,000","40,900,000","36,100,000","40,300,000","39,200,000","36,000,000","33,900,000","35,300,000"
	OperatingRevenue,"24,172,000,000","6,271,000,000","6,123,000,000","6,196,000,000","5,582,000,000","5,162,000,000","4,688,000,000","4,395,000,000","3,957,000,000","4,162,000,000","3,754,000,000","3,562,000,000","3,539,000,000","3,753,000,000","4,014,000,000","4,468,000,000","4,567,000,000","4,204,000,000","3,969,000,000","3,744,000,000","3,546,000,000","3,278,000,000","3,297,000,000","2,821,000,000","2,450,000,000","2,257,000,000","2,368,000,000","2,490,000,000","2,442,000,000","2,359,000,000","2,264,000,000","2,265,000,000","2,353,000,000","2,190,000,000","1,988,000,000","1,975,000,000","1,973,000,000","1,573,000,000","1,646,000,000","2,343,000,000","2,541,000,000","2,189,000,000","2,181,000,000","2,787,000,000","2,862,000,000","2,686,000,000","2,886,435,000","2,517,790,000","2,295,540,000","1,848,902,000","1,526,394,000","1,133,740,000","1,020,077,000","1,333,396,000","2,043,677,000","1,848,168,000","2,149,998,000","2,087,397,000","2,367,044,000","2,560,984,000","2,529,561,000","2,277,267,000","2,518,293,000","2,543,443,000","2,247,686,000","1,857,592,000","1,718,120,000","1,631,938,000","1,861,189,000","1,780,576,000","2,203,348,000","2,236,152,000","2,018,105,000","1,555,448,000","1,220,998,000","1,094,907,000","1,107,177,000","1,054,209,000","1,445,698,000","1,459,682,000","1,156,472,000","1,000,460,000","1,368,810,000","1,333,871,000","1,909,435,000","2,731,132,000","2,920,163,000","2,732,028,000","2,190,031,000","1,667,000,000","1,565,500,000","1,433,500,000","1,117,600,000","742,500,000","673,200,000","884,500,000","1,176,300,000","1,307,700,000","1,280,400,000","1,057,200,000","900,900,000","835,800,000","860,900,000","1,115,400,000","1,127,900,000","1,040,600,000","982,700,000","897,700,000","675,400,000","506,100,000","467,800,000","440,200,000","411,300,000","340,400,000","327,400,000","281,400,000","255,700,000","215,600,000","210,500,000","193,800,000","180,100,000","167,000,000","160,600,000","167,300,000","166,100,000","144,600,000","141,000,000","144,200,000","143,100,000","138,800,000","142,100,000","130,200,000","122,800,000","106,700,000","112,800,000","103,400,000","82,600,000","64,000,000","53,300,000","44,100,000","40,900,000","36,100,000","40,300,000","39,200,000","36,000,000","33,900,000","35,300,000"
CostOfRevenue,"12,648,000,000","3,312,000,000","3,178,000,000","3,229,000,000","2,929,000,000","2,813,000,000","2,558,000,000","2,440,000,000","2,208,000,000","2,304,000,000","2,120,000,000","2,005,000,000","2,009,000,000","2,088,000,000","2,234,000,000","2,441,000,000","2,477,000,000","2,284,000,000","2,182,000,000","2,044,000,000","1,946,000,000","1,833,000,000","1,898,000,000","1,629,000,000","1,446,000,000","1,341,000,000","1,409,000,000","1,472,000,000","1,426,000,000","1,400,000,000","1,305,000,000","1,273,000,000","1,352,000,000","1,299,000,000","1,193,000,000","1,169,000,000","1,165,000,000","991,000,000","1,059,000,000","1,413,000,000","1,530,000,000","1,403,000,000","1,330,000,000","1,603,000,000","1,673,000,000","1,550,000,000","1,669,637,000","1,657,662,000","1,368,648,000","1,137,718,000","967,558,000","808,866,000","864,558,000","941,820,000","1,244,972,000","1,105,854,000","1,183,170,000","1,152,416,000","1,290,139,000","1,344,594,000","1,392,951,000","1,214,729,000","1,332,169,000","1,320,089,000","1,203,061,000","1,019,893,000","957,990,000","914,849,000","1,042,759,000","990,351,000","1,176,145,000","1,176,920,000","1,079,464,000","879,279,000","726,627,000","747,979,000","734,403,000","663,827,000","843,372,000","853,539,000","693,732,000","615,008,000","837,432,000","800,839,000","1,054,463,000","1,398,481,000","1,411,256,000","1,340,126,000","1,092,433,000","831,500,000","780,600,000","734,900,000","600,400,000","421,400,000","388,100,000","490,100,000","622,000,000","678,200,000","664,100,000","558,300,000","486,800,000","464,100,000","481,300,000","583,400,000","586,600,000","543,800,000","524,200,000","489,300,000","370,400,000","268,100,000","250,400,000","234,700,000","221,900,000","184,500,000","168,400,000","146,000,000","135,800,000","115,300,000","113,700,000","104,800,000","100,600,000","93,300,000","84,700,000","92,100,000","90,000,000","78,600,000","73,600,000","71,400,000","71,600,000","69,500,000",,,,,,,,,,,,,,,,,
GrossProfit,"11,524,000,000","2,959,000,000","2,945,000,000","2,967,000,000","2,653,000,000","2,349,000,000","2,130,000,000","1,955,000,000","1,749,000,000","1,858,000,000","1,634,000,000","1,557,000,000","1,530,000,000","1,665,000,000","1,780,000,000","2,027,000,000","2,090,000,000","1,920,000,000","1,787,000,000","1,700,000,000","1,600,000,000","1,445,000,000","1,399,000,000","1,192,000,000","1,004,000,000","916,000,000","959,000,000","1,018,000,000","1,016,000,000","959,000,000","959,000,000","992,000,000","1,001,000,000","891,000,000","795,000,000","806,000,000","808,000,000","582,000,000","587,000,000","930,000,000","1,011,000,000","786,000,000","851,000,000","1,184,000,000","1,189,000,000","1,136,000,000","1,216,798,000","860,128,000","926,892,000","711,184,000","558,836,000","324,874,000","155,519,000","391,576,000","798,705,000","742,314,000","966,828,000","934,981,000","1,076,905,000","1,216,390,000","1,136,610,000","1,062,538,000","1,186,124,000","1,223,354,000","1,044,625,000","837,699,000","760,130,000","717,089,000","818,430,000","790,225,000","1,027,213,000","1,059,232,000","938,641,000","676,169,000","494,371,000","346,928,000","372,774,000","390,382,000","602,326,000","606,143,000","462,740,000","385,452,000","531,378,000","533,032,000","854,972,000","1,332,651,000","1,508,907,000","1,391,902,000","1,097,598,000","835,500,000","784,900,000","698,600,000","517,200,000","321,100,000","285,100,000","394,400,000","554,300,000","629,500,000","616,300,000","498,900,000","414,100,000","371,700,000","379,600,000","532,000,000","541,300,000","496,800,000","458,500,000","408,400,000","305,000,000","238,000,000","217,400,000","205,500,000","189,400,000","155,900,000","159,000,000","135,400,000","119,900,000","100,300,000","96,800,000","89,000,000","79,500,000","73,700,000","75,900,000","75,200,000","76,100,000","66,000,000","67,400,000","72,800,000","71,500,000","69,300,000",,,,,,,,,,,,,,,,,
OperatingExpense,"3,787,000,000","987,000,000","932,000,000","954,000,000","914,000,000","914,000,000","847,000,000","847,000,000","817,000,000","816,000,000","770,000,000","755,000,000","754,000,000","757,000,000","764,000,000","770,000,000","763,000,000","724,000,000","689,000,000","677,000,000","660,000,000","638,000,000","622,000,000","596,000,000","579,000,000","562,000,000","522,000,000","619,000,000","614,000,000","579,000,000","549,000,000","601,000,000","614,000,000","554,000,000","558,000,000","542,000,000","588,000,000","534,000,000","541,000,000","564,000,000","602,000,000","607,000,000","490,000,000","522,000,000","516,000,000","491,000,000","520,099,000","542,146,000","532,127,000","490,997,000","389,587,000","402,057,000","422,093,000","454,896,000","513,763,000","513,844,000","528,567,000","513,112,000","512,772,000","542,912,000","522,542,000","516,290,000","1,122,460,000","545,219,000","485,132,000","478,913,000","408,590,000","414,392,000","406,912,000","408,015,000","489,489,000","445,688,000","423,607,000","411,337,000","376,603,000","367,453,000","394,204,000","408,223,000","467,470,000","469,730,000","423,378,000","486,125,000","627,403,000","531,831,000","580,535,000","582,118,000","402,659,000","565,663,000","523,753,000","391,600,000","426,800,000","358,400,000","361,300,000","278,500,000","493,300,000","303,600,000","343,400,000","334,500,000","339,600,000","302,000,000","266,500,000","242,400,000","247,600,000","275,900,000","260,300,000","237,200,000","224,800,000","195,000,000","160,300,000","135,900,000","119,200,000","113,300,000","103,600,000","93,600,000","101,300,000","90,100,000","83,600,000","76,500,000","74,000,000","69,500,000","62,500,000","60,500,000","62,800,000","59,300,000","61,300,000","57,000,000","61,000,000","57,200,000","53,300,000","50,700,000",,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,254,000,000","333,000,000","310,000,000","314,000,000","297,000,000","308,000,000","287,000,000","275,000,000","267,000,000","264,000,000","255,000,000","240,000,000","246,000,000","241,000,000","246,000,000","266,000,000","254,000,000","236,000,000","223,000,000","223,000,000","223,000,000","221,000,000","228,000,000","210,000,000","193,000,000","188,000,000","159,000,000","247,000,000","249,000,000","228,000,000","189,000,000","244,000,000","259,000,000","198,000,000","220,000,000","208,000,000","244,000,000","230,000,000","237,000,000","255,000,000","281,000,000","303,000,000","222,000,000","240,000,000","219,000,000","221,000,000","241,907,000","251,748,000","226,199,000","221,994,000","155,399,000","168,005,000","185,758,000","225,356,000","238,541,000","245,285,000","241,445,000","239,893,000","241,894,000","250,328,000","231,498,000","228,723,000","250,564,000","240,893,000","209,249,000","206,036,000","171,882,000","177,944,000","181,323,000","166,253,000","214,590,000","188,907,000","179,432,000","168,692,000","148,653,000","150,428,000","161,766,000","165,018,000","194,831,000","193,778,000","166,499,000","153,847,000","206,255,000","240,348,000","209,515,000","245,806,000","276,037,000","261,717,000","230,470,000","183,200,000","180,300,000","187,300,000","158,100,000","132,300,000","130,500,000","149,600,000","161,400,000","152,200,000","164,400,000","141,800,000","134,600,000","125,900,000","129,800,000","147,700,000","135,400,000","126,900,000","118,500,000","106,600,000","86,900,000","74,100,000","68,200,000","60,100,000","59,900,000","53,700,000","89,900,000","80,700,000","74,200,000","67,900,000","65,900,000","60,400,000","55,600,000","53,700,000","56,100,000","53,200,000","55,000,000","51,600,000","55,700,000","53,300,000","49,900,000","47,300,000",,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"625,000,000","166,000,000","155,000,000","155,000,000","149,000,000","161,000,000","156,000,000","145,000,000","137,000,000","129,000,000","126,000,000","112,000,000","113,000,000","110,000,000","119,000,000","128,000,000","124,000,000","110,000,000","118,000,000","106,000,000","107,000,000","103,000,000","114,000,000","103,000,000","91,000,000","82,000,000","63,000,000","135,000,000","140,000,000","117,000,000","90,000,000","136,000,000","152,000,000","89,000,000","121,000,000","97,000,000",,,,,,,,,"112,000,000","112,000,000","139,248,000","145,994,000","125,779,000","124,799,000","76,138,000","88,487,000","101,080,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"89,553,000","76,415,000","70,043,000",,,"89,763,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"625,000,000","166,000,000","155,000,000","155,000,000","149,000,000","161,000,000","156,000,000","145,000,000","137,000,000","129,000,000","126,000,000","112,000,000","113,000,000","110,000,000","119,000,000","128,000,000","124,000,000","110,000,000","118,000,000","106,000,000","107,000,000","103,000,000","114,000,000","103,000,000","91,000,000","82,000,000","63,000,000","135,000,000","140,000,000","117,000,000","90,000,000","136,000,000","152,000,000","89,000,000","121,000,000","97,000,000",,,,,,,,,"112,000,000","112,000,000","139,248,000","145,994,000","125,779,000","124,799,000","76,138,000","88,487,000","101,080,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"89,553,000","76,415,000","70,043,000",,,"89,763,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"629,000,000","167,000,000","155,000,000","159,000,000","148,000,000","147,000,000","131,000,000","130,000,000","130,000,000","135,000,000","129,000,000","128,000,000","133,000,000","131,000,000","127,000,000","138,000,000","130,000,000","126,000,000","105,000,000","117,000,000","116,000,000","118,000,000","114,000,000","107,000,000","102,000,000","106,000,000","96,000,000","112,000,000","109,000,000","111,000,000","99,000,000","108,000,000","107,000,000","109,000,000","99,000,000","111,000,000",,,,,,,,,"107,000,000","109,000,000","102,659,000","105,754,000","100,420,000","97,195,000","79,261,000","79,518,000","84,678,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"104,225,000","90,084,000","83,804,000",,,"119,752,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"2,533,000,000","654,000,000","622,000,000","640,000,000","617,000,000","606,000,000","560,000,000","572,000,000","550,000,000","552,000,000","515,000,000","515,000,000","508,000,000","516,000,000","518,000,000","504,000,000","509,000,000","488,000,000","466,000,000","454,000,000","437,000,000","417,000,000","394,000,000","386,000,000","386,000,000","374,000,000","363,000,000","372,000,000","365,000,000","351,000,000","360,000,000","357,000,000","355,000,000","356,000,000","338,000,000","334,000,000","344,000,000","304,000,000","304,000,000","309,000,000","321,000,000","304,000,000","268,000,000","282,000,000","297,000,000","270,000,000","278,192,000","290,398,000","305,928,000","269,003,000","234,188,000","234,052,000","236,335,000","229,540,000","275,222,000","268,559,000","287,122,000","273,219,000","270,878,000","292,584,000","291,044,000","287,567,000","299,240,000","304,326,000","275,883,000","272,877,000","236,708,000","236,448,000","225,589,000","241,762,000","248,272,000","256,781,000","244,175,000","242,645,000","227,950,000","217,025,000","232,438,000","243,205,000","272,639,000","275,952,000","256,879,000","246,799,000","272,548,000","277,333,000","312,606,000","336,312,000","327,413,000","303,946,000","253,283,000","208,400,000","203,300,000","171,200,000","166,100,000","141,200,000","125,600,000","154,000,000","181,900,000","182,300,000","175,300,000","143,900,000","132,000,000","116,500,000","117,900,000","128,300,000","124,900,000","110,400,000","110,500,000","85,800,000","73,400,000","60,000,000","53,700,000","52,500,000","43,700,000","39,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
