name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"25,979,000,000","6,846,000,000","6,706,000,000","6,526,000,000","5,901,000,000","6,634,000,000","6,423,000,000","6,206,000,000","6,161,000,000","6,197,000,000","5,737,000,000","5,871,000,000","5,557,000,000","6,230,000,000","5,904,000,000","6,059,000,000","5,554,000,000","5,802,000,000","5,773,000,000","5,810,000,000","5,464,000,000","5,965,000,000","5,811,000,000","5,688,000,000","5,527,000,000","5,536,000,000","5,723,000,000","5,370,000,000","5,033,000,000","5,331,000,000","5,031,000,000","5,180,000,000","4,521,000,000","5,011,000,000","4,748,000,000","4,679,000,000","4,238,000,000","4,421,000,000","4,319,000,000","4,477,000,000","4,048,000,000","3,973,000,000","3,944,000,000","3,959,000,000","3,706,000,000","3,841,000,000","3,816,000,000","3,804,000,000","3,592,000,000","3,809,000,000","3,812,000,000","3,713,000,000","3,308,000,000","3,751,000,000","3,875,000,000","3,764,000,000","3,613,000,000","3,745,000,000","3,611,000,000","3,728,000,000","3,687,000,000","3,835,000,000","3,612,000,000","3,604,000,000","3,217,000,000","3,271,000,000","3,154,000,000","3,172,000,000","2,833,000,000","2,909,000,000","2,713,000,000","2,584,900,000","2,343,000,000","2,346,300,000","2,207,400,000","2,041,100,000","1,761,200,000","1,766,100,000","1,499,300,000","1,169,100,000","1,008,500,000","1,124,300,000","1,003,100,000","986,700,000","901,600,000","905,800,000","902,900,000","867,900,000","771,800,000","889,200,000","812,800,000","786,900,000","715,300,000","731,600,000","680,200,000","641,100,000","589,400,000","592,000,000","583,600,000","606,700,000","563,400,000","582,100,000","556,400,000","560,900,000","498,700,000","504,300,000","484,400,000","484,100,000","431,000,000","434,300,000","418,600,000","407,400,000","359,700,000","359,800,000","349,600,000","339,200,000","306,400,000","304,000,000","299,900,000","257,600,000","218,800,000","209,600,000","177,900,000","152,800,000","139,500,000","91,200,000","78,800,000","71,700,000","57,000,000","65,300,000","39,600,000","28,400,000","12,200,000","21,300,000","19,400,000","17,300,000","5,500,000","13,600,000","12,600,000","12,600,000","9,500,000","7,800,000","6,100,000","6,500,000","6,300,000","5,100,000","7,500,000"
	OperatingRevenue,"24,297,000,000","6,271,000,000","6,320,000,000","6,114,000,000","5,592,000,000","6,334,000,000","6,104,000,000","5,908,000,000","5,894,000,000","5,881,000,000","5,463,000,000","5,574,000,000","5,286,000,000","6,001,000,000","5,510,000,000","5,679,000,000","5,343,000,000","5,569,000,000","5,453,000,000","5,574,000,000","5,199,000,000","5,663,000,000","5,516,000,000","5,474,000,000","5,239,000,000","5,329,000,000","5,516,000,000","5,225,000,000","4,874,000,000","5,174,000,000","4,848,000,000","4,949,000,000","4,356,000,000","4,799,000,000","4,647,000,000","4,595,000,000","4,151,000,000","3,795,000,000","4,319,000,000","4,477,000,000","4,048,000,000","3,973,000,000","3,944,000,000","3,959,000,000","3,706,000,000","3,841,000,000","3,816,000,000","3,804,000,000","3,592,000,000","3,809,000,000","3,812,000,000","3,713,000,000","3,308,000,000","3,751,000,000","3,875,000,000","3,764,000,000","3,613,000,000","3,745,000,000","3,611,000,000","3,728,000,000","3,687,000,000","3,835,000,000","3,612,000,000","3,491,000,000","3,127,000,000","3,271,000,000","3,154,000,000","3,172,000,000","2,833,000,000","2,909,000,000","2,713,000,000","2,584,900,000","2,343,000,000","2,630,100,000","2,106,900,000","1,949,200,000","1,761,200,000","2,005,200,000","1,408,600,000","1,169,100,000","940,100,000","1,044,100,000","940,200,000","929,200,000","849,500,000","905,800,000","902,900,000","867,900,000","771,800,000","889,200,000","812,800,000","786,900,000","715,300,000","731,600,000","680,200,000","641,100,000","589,400,000","592,000,000","583,600,000","606,700,000","563,400,000","582,100,000","556,400,000","560,900,000","498,700,000","504,300,000","484,400,000","484,100,000","431,000,000","434,300,000","418,600,000","407,400,000","359,700,000","359,800,000","349,600,000","339,200,000","306,400,000","304,000,000","299,900,000","257,600,000","218,800,000","209,600,000","177,900,000","152,800,000","139,500,000","91,200,000","78,800,000","71,700,000","57,000,000","65,300,000","39,600,000","28,400,000","12,200,000","21,300,000","19,400,000","17,300,000","5,500,000","13,600,000","12,600,000","12,600,000","9,500,000","7,800,000","6,100,000","6,500,000","6,300,000","5,100,000","7,500,000"
CostOfRevenue,"6,454,000,000","1,718,000,000","1,609,000,000","1,637,000,000","1,490,000,000","1,597,000,000","1,561,000,000","1,488,000,000","1,513,000,000","1,253,000,000","1,036,000,000","1,012,000,000","1,055,000,000","1,096,000,000","1,037,000,000","1,024,000,000","944,000,000","1,059,000,000","990,000,000","1,024,000,000","996,000,000","1,067,000,000","1,027,000,000","1,050,000,000","1,018,000,000","1,071,000,000","1,034,000,000","1,089,000,000","1,033,000,000","1,183,000,000","1,068,000,000","1,081,000,000","1,090,000,000","1,029,000,000","788,000,000","785,000,000","744,000,000","852,000,000","705,000,000","682,000,000","679,000,000","656,000,000","605,000,000","602,000,000","564,000,000","572,000,000","587,000,000","553,000,000","508,000,000","538,000,000","545,000,000","531,000,000","477,000,000","558,000,000","677,000,000","515,000,000","546,000,000","606,000,000","792,000,000","558,000,000","592,000,000","561,000,000","489,000,000","493,000,000","552,000,000","511,000,000","552,000,000","530,000,000","489,000,000","476,000,000","447,000,000","435,400,000","373,200,000","388,300,000","340,000,000","329,100,000","283,300,000","273,800,000","226,400,000","131,900,000","103,600,000","152,500,000","102,700,000","98,400,000","89,400,000","56,000,000","57,000,000","48,700,000","34,900,000","63,800,000","59,500,000","54,000,000","48,000,000","59,500,000","51,700,000","47,300,000","42,900,000","56,300,000","43,700,000","48,100,000","35,600,000","54,500,000","48,100,000","41,300,000","39,000,000","45,900,000","42,200,000","53,700,000","46,900,000","41,900,000","40,700,000","45,300,000","35,500,000","45,000,000","44,500,000","40,900,000","38,900,000","47,600,000","41,400,000","32,600,000","29,600,000","27,400,000","25,500,000","21,500,000","16,800,000","13,400,000","12,200,000","12,800,000","5,900,000","4,300,000","4,400,000","200,000",,,,,,,,,,,,,,,
GrossProfit,"19,525,000,000","5,128,000,000","5,097,000,000","4,889,000,000","4,411,000,000","5,037,000,000","4,862,000,000","4,718,000,000","4,648,000,000","4,944,000,000","4,701,000,000","4,859,000,000","4,502,000,000","5,134,000,000","4,867,000,000","5,035,000,000","4,610,000,000","4,743,000,000","4,783,000,000","4,786,000,000","4,468,000,000","4,898,000,000","4,784,000,000","4,638,000,000","4,509,000,000","4,465,000,000","4,689,000,000","4,281,000,000","4,000,000,000","4,148,000,000","3,963,000,000","4,099,000,000","3,431,000,000","3,982,000,000","3,960,000,000","3,894,000,000","3,494,000,000","3,569,000,000","3,614,000,000","3,795,000,000","3,369,000,000","3,317,000,000","3,339,000,000","3,357,000,000","3,142,000,000","3,269,000,000","3,229,000,000","3,251,000,000","3,084,000,000","3,271,000,000","3,267,000,000","3,182,000,000","2,831,000,000","3,193,000,000","3,198,000,000","3,249,000,000","3,067,000,000","3,139,000,000","2,819,000,000","3,170,000,000","3,095,000,000","3,274,000,000","3,123,000,000","3,111,000,000","2,665,000,000","2,760,000,000","2,602,000,000","2,642,000,000","2,344,000,000","2,433,000,000","2,266,000,000","2,149,500,000","1,969,800,000","1,958,000,000","1,867,400,000","1,712,000,000","1,477,900,000","1,492,300,000","1,272,900,000","1,037,200,000","904,900,000","971,800,000","900,400,000","888,300,000","812,200,000","849,800,000","845,900,000","819,200,000","736,900,000","825,400,000","753,300,000","732,900,000","667,300,000","672,100,000","628,500,000","593,800,000","546,500,000","535,700,000","539,900,000","558,600,000","527,800,000","527,600,000","508,300,000","519,600,000","459,700,000","458,400,000","442,200,000","430,400,000","384,100,000","392,400,000","377,900,000","362,100,000","324,200,000","314,800,000","305,100,000","298,300,000","267,500,000","256,400,000","258,500,000","225,000,000","189,200,000","182,200,000","152,400,000","131,300,000","122,700,000","77,800,000","66,600,000","58,900,000","51,100,000","61,000,000","35,200,000","28,200,000",,,,,,,,,,,,,,,
OperatingExpense,"10,381,000,000","2,824,000,000","2,719,000,000","2,556,000,000","2,282,000,000","3,029,000,000","2,409,000,000","2,395,000,000","2,293,000,000","2,896,000,000","2,225,000,000","2,181,000,000","2,030,000,000","2,752,000,000","2,544,000,000","2,203,000,000","1,884,000,000","2,498,000,000","2,344,000,000","2,088,000,000","1,877,000,000","2,413,000,000","2,257,000,000","2,258,000,000","2,107,000,000","2,432,000,000","2,350,000,000","2,205,000,000","1,978,000,000","2,689,000,000","2,497,000,000","2,197,000,000","2,067,000,000","2,795,000,000","2,272,000,000","2,344,000,000","2,052,000,000","2,481,000,000","2,191,000,000","2,206,000,000","1,892,000,000","1,259,000,000","2,814,000,000","2,025,000,000","1,849,000,000","2,201,000,000","1,750,000,000","1,734,000,000","1,603,000,000","2,148,000,000","1,662,000,000","1,725,000,000","1,505,000,000","2,056,000,000","1,715,000,000","2,070,000,000","1,652,000,000","1,873,000,000","1,836,000,000","2,040,000,000","1,695,000,000","1,054,000,000","1,801,000,000","1,715,000,000","1,431,000,000","1,659,000,000","1,304,000,000","1,349,000,000","1,188,000,000","960,000,000","1,772,000,000","1,142,800,000","1,041,700,000","1,202,900,000","1,010,600,000","894,900,000","815,700,000","-6,251,100,000","739,200,000","472,400,000","447,500,000","762,700,000","444,200,000","438,900,000","395,700,000","554,200,000","458,300,000","460,900,000","410,300,000","494,800,000","397,700,000","396,100,000","365,300,000","374,100,000","335,700,000","311,000,000","301,700,000","312,900,000","322,600,000","299,600,000","296,600,000","293,100,000","273,900,000","266,900,000","265,300,000","257,700,000","234,100,000","235,500,000","227,000,000","202,100,000","193,800,000","189,100,000","173,000,000","176,900,000","156,300,000","158,600,000","142,600,000","58,300,000","139,800,000","128,100,000","104,800,000","100,300,000","88,700,000","205,500,000","70,800,000","107,600,000","51,000,000","45,500,000","40,500,000","49,300,000","30,300,000","26,500,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"5,368,000,000","1,425,000,000","1,305,000,000","1,384,000,000","1,254,000,000","1,773,000,000","1,346,000,000","1,295,000,000","1,316,000,000","1,513,000,000","1,223,000,000","1,260,000,000","1,154,000,000","1,559,000,000","1,293,000,000","1,353,000,000","1,127,000,000","1,427,000,000","1,170,000,000","1,209,000,000","1,064,000,000","1,323,000,000","1,244,000,000","1,292,000,000","1,203,000,000","1,416,000,000","1,244,000,000","1,160,000,000","1,026,000,000","1,327,000,000","1,213,000,000","1,136,000,000","1,023,000,000","1,521,000,000","1,249,000,000","1,256,000,000","1,158,000,000","1,370,000,000","1,127,000,000","1,228,000,000","1,076,000,000","1,208,000,000","1,125,000,000","1,130,000,000","1,023,000,000","1,156,000,000","957,000,000","986,000,000","884,000,000","1,180,000,000","932,000,000","910,000,000","798,000,000","1,111,000,000","900,000,000","904,000,000","874,000,000","1,001,000,000","730,000,000","860,000,000","770,000,000","1,030,000,000","807,000,000","840,000,000","689,000,000","911,000,000","656,000,000","646,000,000","577,000,000","816,000,000","632,000,000","591,000,000","516,500,000","626,000,000","483,000,000","453,500,000","390,100,000","500,900,000","394,900,000","320,500,000","245,800,000","326,200,000","221,800,000","226,500,000","196,200,000","249,200,000","202,900,000","205,100,000","169,700,000","204,300,000","159,900,000","157,200,000","132,900,000","146,100,000","134,200,000","122,000,000","113,100,000","126,400,000","119,400,000","125,500,000","112,500,000","129,000,000","118,500,000","116,300,000","106,800,000","113,800,000","106,700,000","104,400,000","93,400,000","94,700,000","93,800,000","89,800,000","81,500,000","164,700,000","142,500,000","145,900,000","130,600,000","52,000,000","130,400,000","116,600,000","98,400,000","95,900,000","82,200,000","200,100,000","65,500,000","102,800,000","47,200,000","41,700,000","36,700,000","46,300,000","27,700,000","23,900,000",,,,,,,,,,,,,,,
	ResearchAndDevelopment,"4,819,000,000","1,348,000,000","1,422,000,000","1,082,000,000","967,000,000","1,229,000,000","1,062,000,000","964,000,000","952,000,000","1,312,000,000","1,001,000,000","924,000,000","879,000,000","1,182,000,000","926,000,000","869,000,000","760,000,000","1,043,000,000","877,000,000","873,000,000","769,000,000","1,078,000,000","990,000,000","900,000,000","872,000,000","1,093,000,000","1,119,000,000","964,000,000","894,000,000","1,234,000,000","1,018,000,000","1,018,000,000","1,027,000,000","1,249,000,000","989,000,000","967,000,000","878,000,000","938,000,000","880,000,000","826,000,000","736,000,000","851,000,000","761,000,000","819,000,000","736,000,000","854,000,000","719,000,000","675,000,000","646,000,000","891,000,000","647,000,000","693,000,000","633,000,000","798,000,000","729,000,000","809,000,000","694,000,000","822,000,000","776,000,000","817,000,000","851,000,000","1,051,000,000","872,000,000","788,000,000","655,000,000","661,000,000","562,000,000","567,000,000","524,000,000","617,000,000","502,000,000","467,800,000","441,300,000","502,900,000","407,500,000","393,700,000","351,300,000","367,000,000","312,600,000","233,600,000","203,400,000","232,600,000","216,900,000","208,800,000","206,700,000","249,500,000","202,900,000","202,800,000","189,800,000","242,300,000","198,400,000","194,100,000","188,000,000","192,400,000","166,000,000","152,400,000","152,500,000","165,100,000","172,600,000","145,400,000","147,700,000","143,700,000","130,400,000","123,600,000","130,600,000","124,000,000","105,500,000","108,400,000","113,900,000","88,000,000","81,600,000","80,200,000","73,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","74,000,000","76,000,000","74,000,000","74,000,000","74,000,000","122,000,000","87,000,000","87,000,000","87,000,000","86,000,000","87,000,000","87,000,000","81,000,000","84,000,000","84,000,000","83,900,000","84,000,000","83,900,000","84,000,000","83,900,000","84,600,000","70,600,000",,,,,,,"55,500,000","52,500,000","53,000,000","50,800,000","48,200,000","39,400,000","44,800,000","44,400,000","35,600,000","35,500,000","36,600,000","36,100,000","21,400,000","30,600,000","28,700,000","36,400,000","20,400,000","25,000,000","27,000,000","27,900,000","19,900,000","21,900,000","22,700,000","19,700,000","19,400,000","18,400,000","19,100,000","17,800,000","12,200,000","13,800,000","12,700,000","12,000,000","6,300,000","9,400,000","11,500,000","6,400,000","4,400,000","6,500,000","5,400,000","5,300,000","4,800,000","3,800,000","3,800,000","3,800,000","3,000,000","2,600,000","2,600,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","74,000,000","76,000,000","74,000,000","74,000,000","74,000,000","122,000,000","87,000,000","87,000,000","87,000,000","86,000,000","87,000,000","87,000,000","81,000,000","84,000,000","84,000,000","83,900,000","84,000,000","83,900,000","84,000,000","83,900,000","84,600,000","70,600,000",,,,,,,"55,500,000","52,500,000","53,000,000","50,800,000","48,200,000","39,400,000","44,800,000","44,400,000","35,600,000","35,500,000","36,600,000","36,100,000","21,400,000","30,600,000","28,700,000","36,400,000","20,400,000","25,000,000","27,000,000","27,900,000","19,900,000","21,900,000","22,700,000","19,700,000","19,400,000","18,400,000","19,100,000","17,800,000","12,200,000","13,800,000","12,700,000","12,000,000","6,300,000","9,400,000","11,500,000","6,400,000","4,400,000","6,500,000","5,400,000","5,300,000","4,800,000","3,800,000","3,800,000","3,800,000","3,000,000","2,600,000","2,600,000",,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","73,000,000","74,000,000","74,000,000","76,000,000","74,000,000","74,000,000","74,000,000","122,000,000","87,000,000","87,000,000","87,000,000","86,000,000","87,000,000","87,000,000","81,000,000","84,000,000","84,000,000","83,900,000","84,000,000","83,900,000","84,000,000","83,900,000","84,600,000","70,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
