name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
TotalRevenue,"13,502,000,000","3,773,000,000","2,923,000,000","3,441,000,000","3,365,000,000","3,199,000,000","3,017,000,000","2,734,000,000","3,015,000,000","3,114,000,000","3,343,000,000","3,262,000,000","3,133,000,000","3,188,000,000","3,316,000,000","3,210,000,000","3,179,000,000","3,218,000,000","2,998,000,000","2,998,000,000","2,913,000,000","3,071,000,000","3,015,000,000","2,882,000,000","2,772,000,000","3,096,000,000","2,893,000,000","3,138,000,000","3,061,000,000","3,094,000,000","3,119,000,000","3,078,000,000","3,002,000,000","2,947,000,000","2,816,000,000","2,750,000,000","2,698,000,000","2,667,000,000","2,479,000,000","2,524,000,000","2,572,000,000","2,629,000,000","2,455,000,000","2,623,000,000","2,654,000,000","2,692,000,000","2,465,000,000","2,597,000,000","2,292,000,000","2,259,000,000","1,950,000,000","1,877,000,000","1,719,000,000","1,610,000,000","1,614,000,000","3,353,000,000","2,086,000,000","2,207,000,000","2,202,000,000","2,182,000,000","2,063,000,000","2,161,000,000","1,977,000,000","2,053,000,000","1,949,000,000","1,869,000,000","1,873,000,000","1,945,000,000","1,899,000,000","2,061,000,000","1,712,000,000"
	OperatingRevenue,"13,502,000,000","3,773,000,000","2,923,000,000","3,441,000,000","3,365,000,000","3,199,000,000","3,017,000,000","2,734,000,000","3,015,000,000","3,114,000,000","3,343,000,000","3,262,000,000","3,133,000,000","3,188,000,000","3,316,000,000","3,210,000,000","3,179,000,000","3,218,000,000","2,998,000,000","2,998,000,000","2,913,000,000","3,071,000,000","3,015,000,000","2,882,000,000","2,772,000,000","3,096,000,000","2,893,000,000","3,138,000,000","3,061,000,000","3,094,000,000","3,119,000,000","3,078,000,000","3,002,000,000","2,947,000,000","2,816,000,000","2,750,000,000","2,698,000,000","2,667,000,000","2,479,000,000","2,524,000,000","2,572,000,000","2,629,000,000","2,455,000,000","2,623,000,000","2,654,000,000","2,692,000,000","2,465,000,000","2,597,000,000","2,292,000,000","2,259,000,000","1,950,000,000","1,877,000,000","1,719,000,000","1,610,000,000","1,614,000,000","3,353,000,000","2,086,000,000","2,207,000,000","2,202,000,000","2,182,000,000","2,063,000,000","2,161,000,000","1,977,000,000","2,053,000,000","1,949,000,000","1,869,000,000","1,873,000,000","1,945,000,000","1,899,000,000","2,061,000,000","1,712,000,000"
NetNonOperatingInterestIncomeExpense,"-791,000,000","-187,000,000","-236,000,000","-167,000,000","-201,000,000","-159,000,000","-207,000,000","-303,000,000","-137,000,000","-202,000,000","-179,000,000","-245,000,000","-257,000,000","-239,000,000","-228,000,000","-260,000,000","-192,000,000","-200,000,000","-228,000,000","-223,000,000","-212,000,000","-239,000,000","-213,000,000","-211,000,000","-201,000,000","-281,000,000","-269,000,000","-249,000,000","-256,000,000","-275,000,000","-247,000,000","-254,000,000","-265,000,000","-293,000,000","-272,000,000","-258,000,000","-264,000,000","-866,000,000","-79,000,000","-82,000,000","-80,000,000","-143,000,000","-71,000,000","-75,000,000","-75,000,000","664,000,000","-316,000,000","-325,000,000","-313,000,000","-257,000,000","-277,000,000","-265,000,000","-231,000,000","-75,000,000","-70,000,000","-28,000,000","-46,000,000","-19,000,000","-29,000,000","-32,000,000","-32,000,000","-33,000,000","-32,000,000","-28,000,000","-23,000,000","-21,000,000","-16,000,000","-19,000,000","-17,000,000",,
	InterestExpenseNonOperating,"791,000,000","187,000,000","236,000,000","167,000,000","201,000,000","159,000,000","207,000,000","303,000,000","137,000,000","202,000,000","179,000,000","245,000,000","257,000,000","239,000,000","228,000,000","260,000,000","192,000,000","200,000,000","228,000,000","223,000,000","212,000,000","239,000,000","213,000,000","211,000,000","201,000,000","281,000,000","269,000,000","249,000,000","256,000,000","275,000,000","247,000,000","254,000,000","265,000,000","293,000,000","272,000,000","258,000,000","264,000,000","866,000,000","79,000,000","82,000,000","80,000,000","143,000,000","71,000,000","75,000,000","75,000,000","-664,000,000","316,000,000","325,000,000","313,000,000","257,000,000","277,000,000","265,000,000","231,000,000","75,000,000","70,000,000","28,000,000","46,000,000","19,000,000","29,000,000","32,000,000","32,000,000","33,000,000","32,000,000","28,000,000","23,000,000","21,000,000","16,000,000","19,000,000","17,000,000",,
OtherIncomeExpense,"382,000,000","123,000,000","113,000,000","75,000,000","71,000,000","-700,000,000","340,000,000","270,000,000","373,000,000","338,000,000","347,000,000","316,000,000","278,000,000","299,000,000","358,000,000","284,000,000","308,000,000","277,000,000","210,000,000","267,000,000","256,000,000","263,000,000","330,000,000","248,000,000","254,000,000","321,000,000","296,000,000","354,000,000","289,000,000","355,000,000","392,000,000","379,000,000","340,000,000","317,000,000","247,000,000","249,000,000","222,000,000","226,000,000","161,000,000","202,000,000","206,000,000","264,000,000","183,000,000","225,000,000","196,000,000","214,000,000","180,000,000","236,000,000","255,000,000","201,000,000","76,000,000","137,000,000","167,000,000","-441,000,000","241,000,000","3,085,000,000","1,821,000,000","1,869,000,000","1,956,000,000","1,939,000,000","1,827,000,000","1,922,000,000","1,733,000,000","1,824,000,000","1,729,000,000","1,641,000,000","1,671,000,000","1,666,000,000","1,629,000,000","1,797,000,000","1,450,000,000"
	SecuritiesAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,000,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"0",,,,,,,,,"213,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-28,000,000","-60,000,000","-63,000,000","-85,000,000","-123,000,000","-87,000,000","-84,000,000","-67,000,000","-125,000,000","-92,000,000","-37,000,000","-13,000,000",,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,000,000","60,000,000",,,,"87,000,000",,,,,,,,
		OtherSpecialCharges,,,,,,,,,,"-213,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"3,350,000,000","866,000,000","1,270,000,000","721,000,000","493,000,000","190,000,000","-184,000,000","-526,000,000","2,351,000,000","534,000,000","641,000,000","587,000,000","470,000,000","652,000,000","588,000,000","548,000,000","696,000,000","600,000,000","628,000,000","511,000,000","475,000,000","469,000,000","238,000,000","410,000,000","475,000,000","446,000,000","463,000,000","615,000,000","618,000,000","558,000,000","720,000,000","619,000,000","650,000,000","479,000,000","602,000,000","402,000,000","487,000,000","418,000,000","199,000,000","299,000,000","322,000,000","352,000,000","247,000,000","399,000,000","271,000,000","325,000,000","442,000,000","466,000,000","361,000,000","331,000,000","340,000,000","115,000,000","134,000,000","-641,000,000","-162,000,000","237,000,000","195,000,000","338,000,000","217,000,000","245,000,000","216,000,000","203,000,000","217,000,000","186,000,000","191,000,000","127,000,000","181,000,000","0","0","321,000,000","261,000,000"
