name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalRevenue,"1,906,715,000","655,667,000","441,168,000","446,654,000","363,226,000","623,686,000","366,965,000","385,661,000","304,985,000","486,228,000","343,899,000","368,635,000","317,130,000","415,432,000","289,418,000","305,913,000","282,873,000","302,336,000","275,585,000","263,924,000","253,405,000","270,628,000","245,862,000","246,069,000","225,906,000","251,647,000","237,840,000","235,485,000","217,781,000","254,375,000","234,000,000","232,375,000","215,271,000","236,020,000","212,658,000","214,850,000","197,732,000","220,748,000","196,909,000","195,016,000","185,345,000","198,209,000","172,935,000","162,258,000","158,047,000","166,573,000","139,843,000","137,767,000","136,053,000","150,362,000","128,187,000","122,026,000","116,310,000","135,301,000","122,247,000","111,246,000","109,545,000","111,236,000","94,034,000","92,211,000","87,859,000","85,248,000","70,117,000","62,264,000","46,011,000","43,721,000","39,035,000","37,656,000","37,624,000","38,887,000","32,318,000","32,002,000","31,332,000","33,254,000","28,038,000","27,643,000","24,600,000","25,267,000","21,745,000","22,734,000","21,265,000","25,073,000","20,610,000","20,931,000","18,222,000","24,152,000","16,682,000","16,253,000","17,380,000","17,639,000","14,300,000","15,400,000","15,900,000","15,300,000","13,500,000","13,600,000","14,200,000","14,400,000","11,500,000","12,600,000","12,000,000","12,400,000","12,700,000","11,300,000","10,700,000"
	OperatingRevenue,"1,906,715,000","655,667,000","441,168,000","446,654,000","363,226,000","623,686,000","366,965,000","385,661,000","304,985,000","486,228,000","343,899,000","368,635,000","317,130,000","415,432,000","289,418,000","305,913,000","282,873,000","302,336,000","275,585,000","263,924,000","253,405,000","270,628,000","245,862,000","246,069,000","225,906,000","251,647,000","237,840,000","235,485,000","217,781,000","254,375,000","234,000,000","232,375,000","215,271,000","236,020,000","212,658,000","214,850,000","197,732,000","220,748,000","196,909,000","195,016,000","185,345,000","198,209,000","172,935,000","162,258,000","158,047,000","166,573,000","139,843,000","137,767,000","136,053,000","150,362,000","128,187,000","122,026,000","116,310,000","135,301,000","122,247,000","111,246,000","109,545,000","111,236,000","94,034,000","92,211,000","87,859,000","85,248,000","70,117,000","62,264,000","46,011,000","43,721,000","39,035,000","37,656,000","37,624,000","38,887,000","32,318,000","32,002,000","31,332,000","33,254,000","28,038,000","27,643,000","24,600,000","25,267,000","21,745,000","22,734,000","21,265,000","25,073,000","20,610,000","20,931,000","18,222,000","24,152,000","16,682,000","16,253,000","17,380,000","17,639,000","14,300,000","15,400,000","15,900,000","15,300,000","13,500,000","13,600,000","14,200,000","14,400,000","11,500,000","12,600,000","12,000,000","12,400,000","12,700,000","11,300,000","10,700,000"
CostOfRevenue,"257,984,000","68,977,000","62,746,000","64,158,000","62,103,000","67,903,000","53,385,000","53,860,000","50,116,000","49,596,000","41,365,000","40,497,000","34,815,000","40,089,000","36,308,000","40,450,000","39,038,000","40,812,000","35,983,000","36,338,000","37,031,000","38,978,000","35,586,000","37,011,000","35,285,000","36,992,000","36,581,000","37,785,000","35,888,000","39,769,000","37,194,000","38,678,000","37,745,000","38,609,000","35,169,000","36,680,000","36,234,000","36,681,000","33,756,000","34,737,000","34,342,000","33,342,000","31,027,000","28,063,000","26,582,000","26,807,000","25,279,000","24,140,000","24,653,000","25,661,000","23,889,000","24,058,000","23,628,000","25,390,000","24,587,000","20,530,000","20,907,000","20,845,000","19,391,000","18,931,000","18,880,000","19,086,000","17,320,000","13,453,000","5,960,000","5,240,000","5,156,000","4,956,000","5,111,000","4,950,000","4,683,000","4,224,000","5,175,000","4,822,000","4,425,000","5,157,000","4,073,000","3,079,000","3,021,000","2,809,000","2,851,000","3,033,000","2,711,000","2,946,000","2,663,000","2,233,000","1,629,000","1,263,000","1,461,000","1,211,000","1,200,000","1,100,000","1,100,000","1,100,000","1,000,000","1,100,000","1,100,000","1,000,000","900,000","1,000,000","900,000","1,000,000","1,400,000","700,000",
GrossProfit,"1,648,731,000","586,690,000","378,422,000","382,496,000","301,123,000","555,783,000","313,580,000","331,801,000","254,869,000","436,632,000","302,534,000","328,138,000","282,315,000","375,343,000","253,110,000","265,463,000","243,835,000","261,524,000","239,602,000","227,586,000","216,374,000","231,650,000","210,276,000","209,058,000","190,621,000","214,655,000","201,259,000","197,700,000","181,893,000","214,606,000","196,806,000","193,697,000","177,526,000","197,411,000","177,489,000","178,170,000","161,498,000","184,067,000","163,153,000","160,279,000","151,003,000","164,867,000","141,908,000","134,195,000","131,465,000","139,766,000","114,564,000","113,627,000","111,400,000","124,701,000","104,298,000","97,968,000","92,682,000","109,911,000","97,660,000","90,716,000","88,638,000","90,391,000","74,643,000","73,280,000","68,979,000","66,162,000","52,797,000","48,811,000","40,051,000","38,481,000","33,879,000","32,700,000","32,513,000","33,937,000","27,635,000","27,778,000","26,157,000","28,432,000","23,613,000","22,486,000","20,527,000","22,188,000","18,724,000","19,925,000","18,414,000","22,040,000","17,899,000","17,985,000","15,559,000","21,919,000","15,053,000","14,990,000","15,919,000","16,428,000","13,100,000","14,300,000","14,800,000","14,200,000","12,500,000","12,500,000","13,100,000","13,400,000","10,600,000","11,600,000","11,100,000","11,400,000","11,300,000","10,600,000",
OperatingExpense,"1,135,460,000","347,842,000","270,794,000","265,723,000","251,101,000","296,392,000","223,495,000","218,994,000","220,796,000","250,916,000","197,487,000","199,510,000","186,666,000","195,407,000","160,086,000","156,910,000","148,774,000","160,845,000","133,419,000","129,192,000","130,902,000","134,684,000","110,177,000","114,903,000","105,599,000","117,712,000","111,076,000","111,205,000","101,835,000","120,558,000","105,998,000","110,165,000","98,464,000","105,159,000","95,852,000","99,745,000","91,949,000","102,428,000","89,501,000","89,145,000","83,175,000","91,724,000","76,579,000","69,382,000","69,191,000","74,381,000","62,687,000","61,244,000","61,777,000","63,797,000","55,296,000","56,500,000","57,853,000","64,131,000","59,364,000","46,862,000","46,837,000","52,449,000","43,033,000","42,884,000","42,158,000","46,173,000","39,942,000","35,218,000","21,324,000","98,347,000","18,673,000","18,491,000","18,185,000","38,305,000","16,416,000","16,346,000","16,187,000","17,278,000","14,823,000","16,483,000","14,560,000","12,887,000","12,924,000","13,457,000","12,909,000","60,678,000","14,532,000","13,280,000","12,745,000","16,168,000","11,248,000","10,201,000","10,685,000","11,485,000","9,200,000","10,400,000","10,100,000","9,900,000","8,900,000","8,900,000","9,300,000","9,500,000","8,000,000","8,200,000","10,300,000","10,200,000","10,000,000","9,900,000",
	SellingGeneralAndAdministration,"715,377,000","243,384,000","165,368,000","160,410,000","146,215,000","195,845,000","132,642,000","128,698,000","130,522,000","167,937,000","120,682,000","120,412,000","112,169,000","133,137,000","97,576,000","95,058,000","87,809,000","108,157,000","80,015,000","77,051,000","73,417,000","85,950,000","61,537,000","64,259,000","57,769,000","71,963,000","61,367,000","63,524,000","56,749,000","72,374,000","58,172,000","62,280,000","53,550,000","62,287,000","51,345,000","55,262,000","50,013,000","61,754,000","49,195,000","48,980,000","45,249,000","56,571,000","43,180,000","40,130,000","40,476,000","46,935,000","36,954,000","35,979,000","35,228,000","39,150,000","31,719,000","32,570,000","33,825,000","41,954,000","36,071,000","28,153,000","28,709,000","34,526,000","26,596,000","27,095,000","26,891,000","28,709,000","24,333,000","22,020,000","11,839,000","11,431,000","10,708,000","10,600,000","10,546,000","11,173,000","9,520,000","9,578,000","9,553,000","10,814,000","8,668,000","9,228,000","8,156,000","7,629,000","7,212,000","7,951,000","7,491,000","8,709,000","8,893,000","7,664,000","7,505,000","9,851,000","6,816,000","6,276,000","6,524,000","6,948,000","5,500,000","6,500,000","6,000,000","6,300,000","5,500,000","5,400,000","5,500,000","6,200,000","5,000,000","4,700,000","4,900,000","4,600,000","4,700,000","4,100,000",
	ResearchAndDevelopment,"404,870,000","101,489,000","102,023,000","100,879,000","100,479,000","96,510,000","86,616,000","86,133,000","86,112,000","79,152,000","73,018,000","75,302,000","70,738,000","58,896,000","59,019,000","58,357,000","57,530,000","49,222,000","50,144,000","49,002,000","54,378,000","45,560,000","45,418,000","47,443,000","44,672,000","41,392,000","44,784,000","42,646,000","40,009,000","42,170,000","41,033,000","42,098,000","40,120,000","37,880,000","38,882,000","38,670,000","36,007,000","34,206,000","33,506,000","33,415,000","31,501,000","29,751,000","28,899,000","25,182,000","24,698,000","23,317,000","21,696,000","21,390,000","22,587,000","20,455,000","19,462,000","19,909,000","20,030,000","18,826,000","20,282,000","16,528,000","15,958,000","15,635,000","14,198,000","13,576,000","13,072,000","15,132,000","13,295,000","11,622,000","9,357,000","8,202,000","7,667,000","7,506,000","7,313,000","6,840,000","6,611,000","6,483,000","6,347,000","6,183,000","5,879,000","6,074,000","5,656,000","4,693,000","5,155,000","4,938,000","4,819,000","4,322,000","4,358,000","4,298,000","3,915,000","4,431,000","3,457,000","3,203,000","3,411,000","3,775,000","3,100,000","3,200,000","3,400,000","2,900,000","2,700,000","2,900,000","3,100,000","2,700,000","2,500,000","3,000,000","2,800,000","2,600,000","2,600,000","2,300,000",
	DepreciationAmortizationDepletionIncomeStatement,"15,213,000","2,969,000","3,403,000","4,434,000","4,407,000","4,037,000","4,237,000","4,163,000","4,162,000","3,827,000","3,787,000","3,796,000","3,759,000","3,374,000","3,491,000","3,495,000","3,435,000","3,466,000","3,260,000","3,139,000","3,107,000","3,174,000","3,222,000","3,201,000","3,158,000","4,357,000","4,925,000","5,035,000","5,077,000","6,014,000","6,793,000","5,787,000","4,794,000","4,992,000","5,625,000","5,813,000","5,929,000","6,468,000","6,800,000","6,750,000","6,425,000","5,402,000","4,500,000","4,070,000","4,017,000","4,129,000","4,037,000","3,875,000","3,962,000","4,192,000","4,115,000","4,021,000","3,998,000","3,351,000","3,011,000","2,181,000","2,170,000","2,288,000","2,239,000","2,213,000","2,195,000","2,332,000","2,314,000","1,576,000","1,036,000","1,086,000","1,175,000","1,266,000","1,233,000","1,055,000","1,043,000","1,039,000","287,000","1,007,000","1,147,000","1,181,000","748,000","565,000","557,000","568,000","599,000","1,347,000","1,281,000","1,318,000","1,325,000","1,886,000","975,000","722,000","750,000","762,000","600,000","700,000","700,000","700,000","700,000","600,000","700,000","600,000","500,000","500,000","2,600,000","3,000,000","2,700,000","3,500,000",
		DepreciationAndAmortizationInIncomeStatement,"15,213,000","2,969,000","3,403,000","4,434,000","4,407,000","4,037,000","4,237,000","4,163,000","4,162,000","3,827,000","3,787,000","3,796,000","3,759,000","3,374,000","3,491,000","3,495,000","3,435,000","3,466,000","3,260,000","3,139,000","3,107,000","3,174,000","3,222,000","3,201,000","3,158,000","4,357,000","4,925,000","5,035,000","5,077,000","6,014,000","6,793,000","5,787,000","4,794,000","4,992,000","5,625,000","5,813,000","5,929,000","6,468,000","6,800,000","6,750,000","6,425,000","5,402,000","4,500,000","4,070,000","4,017,000","4,129,000","4,037,000","3,875,000","3,962,000","4,192,000","4,115,000","4,021,000","3,998,000","3,351,000","3,011,000","2,181,000","2,170,000","2,288,000","2,239,000","2,213,000","2,195,000","2,332,000","2,314,000","1,576,000","1,036,000","1,086,000","1,175,000","1,266,000","1,233,000","1,055,000","1,043,000","1,039,000","287,000","1,007,000","1,147,000","1,181,000","748,000","565,000","557,000","568,000","599,000","1,347,000","1,281,000","1,318,000","1,325,000","1,886,000","975,000","722,000","750,000","762,000","600,000","700,000","700,000","700,000","700,000","600,000","700,000","600,000","500,000","500,000","2,600,000","3,000,000","2,700,000","3,500,000",
			Amortization,"15,213,000","2,969,000","3,403,000","4,434,000","4,407,000","4,037,000","4,237,000","4,163,000","4,162,000","3,827,000","3,787,000","3,796,000","3,759,000","3,374,000","3,491,000","3,495,000","3,435,000","3,466,000","3,260,000","3,139,000","3,107,000","3,174,000","3,222,000","3,201,000","3,158,000","4,357,000","4,925,000","5,035,000","5,077,000","6,014,000","6,793,000","5,787,000","4,794,000","4,992,000","5,625,000","5,813,000","5,929,000","6,468,000","6,800,000","6,750,000","6,425,000","5,402,000","4,500,000","4,070,000","4,017,000","4,129,000","4,037,000","3,875,000","3,962,000","4,192,000","4,115,000","4,021,000","3,998,000","3,351,000","3,011,000","2,181,000","2,170,000","2,288,000","2,239,000","2,213,000","2,195,000","2,332,000","2,314,000","1,576,000","1,036,000","1,086,000","1,175,000","1,266,000","1,233,000","1,055,000","1,043,000","1,039,000","287,000","1,007,000","1,147,000","1,181,000","748,000","565,000","557,000","568,000","599,000","1,347,000","1,281,000","1,318,000","1,325,000",,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"15,213,000","2,969,000","3,403,000","4,434,000","4,407,000","4,037,000","4,237,000","4,163,000","4,162,000","3,827,000","3,787,000","3,796,000","3,759,000","3,374,000","3,491,000","3,495,000","3,435,000","3,466,000","3,260,000","3,139,000","3,107,000","3,174,000","3,222,000","3,201,000","3,158,000","4,357,000","4,925,000","5,035,000","5,077,000","6,014,000","6,793,000","5,787,000","4,794,000","4,992,000","5,625,000","5,813,000","5,929,000","6,468,000","6,800,000","6,750,000","6,425,000","5,402,000","4,500,000","4,070,000","4,017,000","4,129,000","4,037,000","3,875,000","3,962,000","4,192,000","4,115,000","4,021,000","3,998,000","3,351,000","3,011,000","2,181,000","2,170,000","2,288,000","2,239,000","2,213,000","2,195,000","2,332,000","2,314,000","1,576,000","1,036,000","1,086,000","1,175,000","1,266,000","1,233,000","1,055,000","1,043,000","1,039,000","287,000","1,007,000","1,147,000","1,181,000","748,000","565,000","557,000","568,000","599,000","1,347,000","1,281,000","1,318,000","1,325,000",,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-908,000","77,628,000","-877,000","-881,000","-907,000","19,237,000","-758,000","-754,000",,"-726,000","-871,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"513,271,000","238,848,000","107,628,000","116,773,000","50,022,000","259,391,000","90,085,000","112,807,000","34,073,000","185,716,000","105,047,000","128,628,000","95,649,000","179,936,000","93,024,000","108,553,000","95,061,000","100,679,000","106,183,000","98,394,000","85,472,000","96,966,000","100,099,000","94,155,000","85,022,000","96,943,000","90,183,000","86,495,000","80,058,000","94,048,000","90,808,000","83,532,000","79,062,000","92,252,000","81,637,000","78,425,000","69,549,000","81,639,000","73,652,000","71,134,000","67,828,000","73,143,000","65,329,000","64,813,000","62,274,000","65,385,000","51,877,000","52,383,000","49,623,000","60,904,000","49,002,000","41,468,000","34,829,000","45,780,000","38,296,000","43,854,000","41,801,000","37,942,000","31,610,000","30,396,000","26,821,000","19,989,000","12,855,000","13,593,000","18,727,000","-59,866,000","15,206,000","14,209,000","14,328,000","-4,368,000","11,219,000","11,432,000","9,970,000","11,154,000","8,790,000","6,003,000","5,967,000","9,301,000","5,800,000","6,468,000","5,505,000","-38,638,000","3,367,000","4,705,000","2,814,000","5,751,000","3,805,000","4,789,000","5,234,000","4,943,000","3,900,000","3,900,000","4,700,000","4,300,000","3,600,000","3,600,000","3,800,000","3,900,000","2,600,000","3,400,000","800,000","1,200,000","1,300,000","700,000","10,700,000"
