name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
TotalRevenue,"138,639,000,000","36,581,000,000","35,822,000,000","33,851,000,000","32,385,000,000","31,824,000,000","31,158,000,000","29,264,000,000","29,621,000,000","27,407,000,000","26,674,000,000","25,466,000,000","24,666,000,000","23,373,000,000","23,251,000,000","22,943,700,000","22,537,500,000","22,680,300,000","22,426,000,000","22,407,200,000","22,525,900,000","21,714,400,000","21,403,900,000","21,456,200,000","20,288,500,000","20,187,900,000","19,901,600,000","20,015,500,000","19,051,500,000","18,984,300,000","18,557,000,000","18,473,400,000","17,859,400,000","17,570,900,000","17,969,800,000","17,795,600,000","17,687,200,000","15,536,100,000","15,353,100,000","15,407,300,000","15,415,200,000","15,317,700,000","15,398,000,000","15,100,700,000","14,894,300,000","14,647,900,000","14,572,300,000","14,457,200,000","15,098,500,000","19,046,500,000","15,425,100,000","15,413,200,000","15,143,300,000","15,069,600,000","14,961,000,000","15,666,800,000","15,553,700,000","15,561,400,000","15,233,900,000","15,259,800,000","15,079,200,000","14,555,500,000","14,425,900,000","14,151,900,000","13,819,700,000","11,432,300,000","11,304,600,000","11,299,200,000","11,099,900,000","6,833,500,000","4,803,000,000","4,604,500,000","4,574,100,000","4,294,900,000","4,261,800,000","4,114,400,000","4,100,300,000","3,990,400,000","3,579,400,000","2,900,100,000","2,812,400,000","2,662,200,000","2,663,700,000"
	OperatingRevenue,"138,639,000,000","36,581,000,000","35,822,000,000","33,851,000,000","32,385,000,000","31,824,000,000","31,158,000,000","29,264,000,000","29,621,000,000","27,407,000,000","26,674,000,000","25,466,000,000","24,666,000,000","23,373,000,000","23,251,000,000","22,943,700,000","22,537,500,000","22,680,300,000","22,426,000,000","22,407,200,000","22,525,900,000","21,714,400,000","21,403,900,000","21,456,200,000","20,288,500,000","20,187,900,000","19,901,600,000","20,015,500,000","19,051,500,000","18,984,300,000","18,557,000,000","18,473,400,000","17,859,400,000","17,570,900,000","17,969,800,000","17,795,600,000","17,687,200,000","15,536,100,000","15,353,100,000","15,407,300,000","15,415,200,000","15,317,700,000","15,398,000,000","15,100,700,000","14,894,300,000","14,647,900,000","14,572,300,000","14,457,200,000","15,098,500,000","19,046,500,000","15,425,100,000","15,413,200,000","15,143,300,000","15,069,600,000","14,961,000,000","15,666,800,000","15,553,700,000","15,561,400,000","15,233,900,000","15,259,800,000","15,079,200,000","14,555,500,000","14,425,900,000","14,151,900,000","13,819,700,000","11,432,300,000","11,304,600,000","11,299,200,000","11,099,900,000","6,833,500,000","4,803,000,000","4,604,500,000","4,574,100,000","4,294,900,000","4,261,800,000","4,114,400,000","4,100,300,000","3,990,400,000","3,579,400,000","2,900,100,000","2,812,400,000","2,662,200,000","2,663,700,000"
NetNonOperatingInterestIncomeExpense,"-798,000,000","-200,000,000","-201,000,000","-205,000,000","-192,000,000","-191,000,000","-198,000,000","-201,000,000","-194,000,000","-190,000,000","-185,000,000","-184,000,000","-187,000,000","-189,000,000","-188,000,000","-191,700,000","-184,200,000","-163,600,000","-150,500,000","-189,900,000","-235,000,000","-177,300,000","-172,900,000","-185,700,000","-187,100,000","-179,700,000","-164,800,000","-154,100,000","-154,400,000","-153,600,000","-155,300,000","-145,600,000","-146,200,000","-145,800,000","-151,500,000","-151,900,000","-153,500,000","-151,500,000","-133,600,000","-117,600,000","-109,100,000","-112,600,000","-108,200,000","-103,600,000","-105,900,000","-113,000,000","-106,300,000","-100,200,000","-99,400,000","-103,700,000","-110,600,000","-117,000,000","-116,100,000","-115,900,000","-118,400,000","-116,500,000","-119,000,000","-125,300,000","-119,600,000","-100,100,000","-102,900,000","-100,000,000","-105,600,000","-103,900,000","-94,000,000","-58,000,000","-56,100,000","-58,900,000","-53,200,000","-44,900,000","-32,900,000","-32,200,000","-32,300,000","-32,600,000","-32,900,000","-32,800,000","-32,900,000","-33,100,000","-30,300,000","-17,500,000","-17,600,000","-18,400,000","-13,800,000"
	InterestExpenseNonOperating,"798,000,000","200,000,000","201,000,000","205,000,000","192,000,000","191,000,000","198,000,000","201,000,000","194,000,000","190,000,000","185,000,000","184,000,000","187,000,000","189,000,000","188,000,000","191,700,000","184,200,000","163,600,000","150,500,000","189,900,000","235,000,000","177,300,000","172,900,000","185,700,000","187,100,000","179,700,000","164,800,000","154,100,000","154,400,000","153,600,000","155,300,000","145,600,000","146,200,000","145,800,000","151,500,000","151,900,000","153,500,000","151,500,000","133,600,000","117,600,000","109,100,000","112,600,000","108,200,000","103,600,000","105,900,000","113,000,000","106,300,000","100,200,000","99,400,000","103,700,000","110,600,000","117,000,000","116,100,000","115,900,000","118,400,000","116,500,000","119,000,000","125,300,000","119,600,000","100,100,000","102,900,000","100,000,000","105,600,000","103,900,000","94,000,000","58,000,000","56,100,000","58,900,000","53,200,000","44,900,000","32,900,000","32,200,000","32,300,000","32,600,000","32,900,000","32,800,000","32,900,000","33,100,000","30,300,000","17,500,000","17,600,000","18,400,000","13,800,000"
OtherIncomeExpense,"12,657,000,000","3,525,000,000","3,353,000,000","3,042,000,000","2,737,000,000","2,899,000,000","2,598,000,000","2,543,000,000","2,344,000,000",,,,,,,,"30,700,000","11,600,000","10,500,000","6,000,000","5,000,000","5,800,000","9,100,000","10,700,000","9,500,000","8,000,000","8,800,000","12,500,000","13,800,000","12,000,000","10,300,000","9,500,000","9,500,000","-320,200,000","124,300,000","115,700,000","120,600,000","106,000,000","141,000,000","34,800,000","15,900,000","13,400,000","10,400,000","8,500,000","8,700,000","-2,857,400,000","4,600,000","967,400,000","939,100,000","4,824,100,000","1,105,600,000","1,068,500,000","1,095,500,000","1,135,200,000","1,078,700,000",,"1,319,300,000","1,295,300,000","1,328,300,000","1,323,900,000","1,321,800,000","1,261,600,000","1,245,600,000","1,233,100,000","1,240,800,000","1,022,300,000","989,600,000","966,300,000","941,100,000","639,400,000","467,700,000","454,100,000","482,300,000","413,700,000","404,700,000","378,200,000","404,600,000","402,300,000","357,900,000","298,200,000","282,900,000","283,500,000","340,400,000"
	SpecialIncomeCharges,"-21,000,000","-16,000,000","0","-5,000,000","0","-2,000,000","-30,000,000","-3,000,000","-1,000,000","-3,000,000","0","0","1,000,000","6,000,000","1,000,000","900,000","-19,100,000","-282,400,000",,,,"0",,"0",,"7,500,000","2,300,000","2,900,000","-3,400,000","-300,000","-74,800,000","-3,000,000","-3,000,000","0","-145,300,000",,,,,,,"0","0","0","0","0","0","0","-21,100,000","-57,000,000","-205,500,000",,,"0","-141,400,000",,,,,,,,,,,,,,,,,,,,,"-1,000,000",,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","21,100,000","57,000,000","205,500,000",,,"0","141,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"21,000,000","16,000,000",,"5,000,000",,"2,000,000","30,000,000","3,000,000","1,000,000","3,000,000",,,"-1,000,000","-6,000,000","-1,000,000","-900,000","19,100,000","282,400,000",,,,,,,,"-7,500,000","-2,300,000","-2,900,000","3,400,000","300,000","74,800,000","3,000,000","3,000,000","0","145,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"7,925,000,000","1,400,000,000","1,996,000,000","2,353,000,000","2,176,000,000","611,000,000","389,000,000","3,149,000,000","2,089,000,000","1,098,000,000","1,489,000,000","1,453,000,000","1,945,000,000","543,000,000","1,242,000,000","1,503,500,000","1,780,300,000","124,200,000","1,118,900,000","1,205,700,000","1,515,000,000","658,600,000","1,136,500,000","1,448,300,000","1,312,000,000","374,300,000","1,129,600,000","1,558,000,000","1,569,100,000","887,100,000","1,087,200,000","1,263,700,000","1,130,100,000","459,800,000","882,800,000","1,210,500,000","1,287,100,000","481,400,000","1,025,700,000","1,048,600,000","1,309,800,000","478,200,000","1,045,200,000","1,007,400,000","1,427,100,000","752,100,000","1,136,800,000","1,129,600,000","1,335,300,000","4,339,700,000","1,117,200,000","1,052,500,000","893,600,000","507,800,000","549,400,000","1,186,000,000","879,200,000","1,322,800,000","1,371,400,000","1,317,300,000","1,246,400,000","1,283,800,000","1,254,600,000","1,203,300,000","1,172,700,000","1,041,400,000","1,023,400,000","896,600,000","928,900,000","313,400,000","374,100,000","363,200,000","392,600,000","327,800,000","310,200,000","278,600,000","302,500,000","269,400,000","229,400,000","159,300,000","149,500,000","137,800,000","177,100,000"
TaxProvision,"1,830,000,000","275,000,000","494,000,000","552,000,000","509,000,000","60,000,000","167,000,000","873,000,000","566,000,000","164,000,000","306,000,000","314,000,000","394,000,000","118,000,000","282,000,000","450,100,000","467,800,000","-1,106,500,000","372,000,000","350,400,000","505,100,000","290,200,000","518,700,000","667,700,000","609,000,000","193,400,000","474,800,000","698,900,000","703,900,000","380,400,000","456,300,000","532,600,000","438,700,000","167,000,000","226,600,000","410,400,000","401,900,000","17,200,000","334,500,000","405,000,000","453,300,000","142,900,000","362,000,000","305,800,000","500,500,000","203,300,000","397,700,000","407,200,000","458,500,000","1,597,900,000","387,000,000","359,000,000","313,200,000","176,400,000","-271,300,000","435,500,000","291,100,000","463,700,000","503,400,000","482,100,000","463,300,000","482,700,000","443,800,000","452,100,000","440,900,000","389,400,000","382,700,000","337,200,000","317,200,000","131,500,000","131,000,000","124,800,000","95,900,000","118,300,000","112,100,000","99,900,000","109,800,000","96,300,000","56,900,000","52,800,000","49,200,000","50,200,000","64,600,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000,000","-500,000","-1,100,000","-700,000","-1,600,000","-1,400,000","-1,000,000","-1,200,000","-1,300,000","-300,000","-500,000",,
NetIncomeCommonStockholders,"6,104,000,000","1,137,000,000","1,509,000,000","1,793,000,000","1,665,000,000","551,000,000","222,000,000","2,276,000,000","1,523,000,000","934,000,000","1,183,000,000","1,139,000,000","1,551,000,000","425,000,000","960,000,000","1,053,400,000","1,312,500,000","1,230,700,000","746,900,000","855,300,000","1,009,900,000","368,400,000","617,800,000","780,600,000","703,000,000","180,900,000","654,800,000","859,100,000","865,200,000","506,700,000","630,900,000","731,100,000","701,000,000","148,200,000","656,200,000","800,100,000","885,200,000","464,200,000","691,200,000","643,600,000","856,500,000","335,300,000","683,200,000","701,600,000","926,600,000","548,800,000","739,100,000","722,400,000","876,800,000","2,741,800,000","730,200,000","693,500,000","580,400,000","331,400,000","820,700,000","750,500,000","588,100,000","859,100,000","868,000,000","835,200,000","783,100,000","801,100,000","810,800,000","751,200,000","731,800,000","652,000,000","640,700,000","559,400,000","611,700,000","184,500,000","242,100,000","237,900,000","295,600,000","208,800,000","196,500,000","177,300,000","191,700,000","171,900,000","171,200,000","106,200,000","99,800,000","87,700,000","111,500,000"
