name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"12,193,000,000","3,080,000,000","2,702,000,000","2,886,000,000","3,525,000,000","2,965,000,000","2,385,000,000","2,497,000,000","3,219,000,000","2,885,000,000","2,379,000,000","2,606,000,000","3,143,000,000","2,770,000,000","2,349,000,000","2,561,000,000","3,090,000,000","2,909,000,000","2,340,000,000","2,368,000,000","2,381,000,000","3,323,000,000","2,746,000,000","2,766,000,000","2,792,000,000","3,288,000,000","2,742,000,000","2,805,000,000","2,847,000,000","3,299,000,000","2,880,000,000","2,919,000,000","2,947,000,000","3,209,000,000","2,794,000,000","2,897,000,000","2,915,000,000","3,115,000,000","2,737,000,000","2,821,000,000","2,841,000,000","2,994,000,000","2,723,000,000","2,811,000,000","2,759,000,000","2,909,000,000","1,801,000,000","1,898,000,000","1,904,000,000","2,048,000,000","1,808,000,000","1,885,000,000","1,854,000,000","1,920,000,000","1,847,000,000","1,980,000,000","1,932,000,000","195,000,000","2,407,000,000","2,488,000,000","2,381,000,000","2,413,000,000","2,168,000,000","2,265,000,000","2,523,000,000","2,523,000,000","2,390,000,000","2,518,000,000","2,511,000,000","2,662,000,000","2,402,000,000","2,545,000,000","2,573,000,000","2,601,000,000","2,391,000,000","2,438,000,000","2,388,000,000","2,366,000,000","2,246,000,000","2,122,000,000","2,088,000,000","2,036,000,000","1,912,000,000","1,917,000,000","1,811,000,000","1,961,000,000","1,785,000,000","1,819,000,000","1,810,000,000","1,878,000,000","1,770,000,000","1,723,000,000","1,699,000,000","1,701,800,000","1,606,700,000","1,623,000,000","1,561,500,000","1,520,800,000","1,451,000,000","1,424,500,000","1,354,300,000","1,069,400,000","944,300,000","932,400,000","942,100,000","42,800,000","1,142,300,000","1,141,200,000","1,139,400,000","1,080,400,000","1,030,500,000","1,026,400,000","1,019,600,000","977,300,000","954,200,000","963,000,000","950,300,000","899,300,000","817,700,000","804,500,000","815,000,000","740,700,000","751,200,000","727,700,000","711,300,000","715,800,000","653,200,000","636,700,000","620,700,000","541,000,000","592,300,000","571,300,000","574,500,000","715,700,000","656,800,000","654,900,000","680,200,000","741,500,000","616,100,000","563,300,000","548,100,000","507,600,000","493,600,000","449,900,000","354,500,000","360,300,000","337,000,000"
	OperatingRevenue,"12,193,000,000","3,080,000,000","2,702,000,000","2,886,000,000","3,525,000,000","2,965,000,000","2,385,000,000","2,497,000,000","3,219,000,000","2,885,000,000","2,379,000,000","2,606,000,000","3,143,000,000","2,770,000,000","2,349,000,000","2,561,000,000","3,090,000,000","2,909,000,000","2,340,000,000","2,368,000,000","2,381,000,000","3,323,000,000","2,746,000,000","2,766,000,000","2,792,000,000","3,288,000,000","2,742,000,000","2,805,000,000","2,847,000,000","3,299,000,000","2,880,000,000","2,919,000,000","2,947,000,000","3,209,000,000","2,794,000,000","2,897,000,000","2,915,000,000","3,115,000,000","2,737,000,000","2,821,000,000","2,841,000,000","2,994,000,000","2,723,000,000","2,811,000,000","2,759,000,000","2,909,000,000","1,801,000,000","1,898,000,000","1,904,000,000","2,048,000,000","1,808,000,000","1,885,000,000","1,854,000,000","1,920,000,000","1,847,000,000","1,980,000,000","1,932,000,000","2,253,000,000","1,702,000,000","1,781,000,000","1,735,000,000","1,825,000,000","1,589,000,000","1,657,000,000","1,664,000,000","1,719,000,000","1,585,000,000","1,724,000,000","1,720,000,000","1,853,000,000","1,657,000,000","1,760,000,000","1,800,000,000","1,843,000,000","1,660,000,000","1,713,000,000","1,676,000,000","1,697,000,000","1,551,000,000","1,510,000,000","1,444,000,000","1,511,000,000","1,297,000,000","1,347,000,000","1,281,000,000","1,362,000,000","1,176,000,000","1,203,000,000","1,205,000,000","-553,000,000","1,770,000,000","1,723,000,000","1,699,000,000","-594,200,000","1,606,700,000","1,623,000,000","1,561,500,000","-624,600,000","1,451,000,000","1,424,500,000","1,354,300,000","-900,000,000","944,300,000","932,400,000","942,100,000","-1,794,700,000","1,142,300,000","1,141,200,000","1,139,400,000","-1,706,900,000","1,030,500,000","1,026,400,000","1,019,600,000","977,300,000","954,200,000","963,000,000","950,300,000","899,300,000","817,700,000","804,500,000","815,000,000","740,700,000","751,200,000","727,700,000","711,300,000","715,800,000","653,200,000","636,700,000","620,700,000","541,000,000","592,300,000","571,300,000","574,500,000","715,700,000","656,800,000","654,900,000","680,200,000","741,500,000","616,100,000","563,300,000","548,100,000","507,600,000","493,600,000","449,900,000","354,500,000","360,300,000","337,000,000"
CostOfRevenue,"6,738,000,000","1,556,000,000","1,835,000,000","1,628,000,000","1,719,000,000","1,635,000,000","1,387,000,000","1,361,000,000","1,522,000,000","1,601,000,000","1,368,000,000","1,501,000,000","1,584,000,000","1,601,000,000","1,392,000,000","1,494,000,000","1,616,000,000","1,752,000,000","1,419,000,000","1,457,000,000","1,461,000,000","1,966,000,000","1,611,000,000","1,688,000,000","1,649,000,000","1,857,000,000","1,644,000,000","1,653,000,000","1,683,000,000","1,848,000,000","1,707,000,000","1,708,000,000","1,751,000,000","1,842,000,000","1,666,000,000","1,712,000,000","1,725,000,000","6,709,000,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"5,455,000,000","1,524,000,000","867,000,000","1,258,000,000","1,806,000,000","1,330,000,000","998,000,000","1,136,000,000","1,697,000,000","1,284,000,000","1,011,000,000","1,105,000,000","1,559,000,000","1,169,000,000","957,000,000","1,067,000,000","1,474,000,000","1,157,000,000","921,000,000","911,000,000","920,000,000","1,357,000,000","1,135,000,000","1,078,000,000","1,143,000,000","1,431,000,000","1,098,000,000","1,152,000,000","1,164,000,000","1,451,000,000","1,173,000,000","1,211,000,000","1,196,000,000","1,367,000,000","1,128,000,000","1,185,000,000","1,190,000,000","-3,594,000,000","2,737,000,000","2,821,000,000","2,841,000,000","2,994,000,000","2,723,000,000","2,811,000,000","2,759,000,000","2,909,000,000","1,801,000,000","1,898,000,000","1,904,000,000","2,048,000,000","1,808,000,000","1,885,000,000","1,854,000,000","1,920,000,000","1,847,000,000","1,980,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"3,365,000,000","550,000,000","1,668,000,000","586,000,000","561,000,000","617,000,000","557,000,000","542,000,000","664,000,000","760,000,000","651,000,000","692,000,000","687,000,000","670,000,000","695,000,000","1,083,000,000","675,000,000","668,000,000","656,000,000","1,029,000,000","577,000,000","728,000,000","713,000,000","673,000,000","693,000,000","714,000,000","685,000,000","875,000,000","723,000,000","816,000,000","756,000,000","766,000,000","727,000,000","852,000,000","764,000,000","803,000,000","780,000,000","-4,055,000,000","2,398,000,000","2,427,000,000","2,439,000,000","2,559,000,000","2,382,000,000","2,377,000,000","2,363,000,000","2,487,000,000","1,538,000,000","1,630,000,000","1,631,000,000","1,846,000,000","1,599,000,000","1,658,000,000","1,471,000,000","1,664,000,000","1,606,000,000","1,725,000,000","1,647,000,000","123,000,000","2,062,000,000","2,089,000,000","2,070,000,000","2,134,000,000","1,995,000,000","1,955,000,000","2,188,000,000","2,286,000,000","2,180,000,000","2,195,000,000","2,163,000,000","2,337,000,000","2,182,000,000","2,229,000,000","2,239,000,000","2,237,000,000","2,130,000,000","2,166,000,000","2,104,000,000","2,026,000,000","2,015,000,000","2,076,000,000","1,878,000,000","1,906,000,000","1,695,000,000","1,822,000,000","1,727,000,000","1,759,000,000","1,503,000,000","1,558,000,000","1,561,000,000","10,853,000,000","-1,502,000,000","-1,439,000,000","-1,582,000,000","9,510,400,000","-1,369,600,000","-1,362,200,000","-1,303,600,000","8,766,900,000","-1,254,500,000","-1,256,700,000","-1,324,500,000","5,610,100,000","-807,200,000","-821,000,000","-787,300,000","5,674,900,000","-976,500,000","-977,600,000","-957,900,000","5,930,600,000","-889,700,000","-883,700,000","-860,500,000","-851,200,000","-819,500,000","-840,400,000","-812,300,000","-885,100,000","-717,700,000","-400,400,000","-406,900,000","-649,400,000","-655,600,000","-633,700,000","-620,000,000","-632,000,000","-558,700,000","-537,500,000","-529,200,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,039,000,000","474,000,000","1,576,000,000","509,000,000","480,000,000","533,000,000","465,000,000","443,000,000","526,000,000","615,000,000","506,000,000","555,000,000","550,000,000","519,000,000","555,000,000","754,000,000","526,000,000","529,000,000","515,000,000","515,000,000","480,000,000","728,000,000","713,000,000","673,000,000","693,000,000","714,000,000","685,000,000","875,000,000","723,000,000","816,000,000","756,000,000","766,000,000","727,000,000","852,000,000","764,000,000","803,000,000","780,000,000","-4,055,000,000","2,398,000,000","2,427,000,000","2,439,000,000","2,559,000,000","2,382,000,000","2,377,000,000","2,363,000,000","2,487,000,000","1,538,000,000","1,630,000,000","1,631,000,000","2,020,000,000","1,543,000,000","1,600,000,000","1,411,000,000","1,599,000,000","1,557,000,000","1,667,000,000","1,166,000,000","2,599,000,000","1,156,000,000","1,684,000,000","1,152,000,000","3,179,000,000","1,116,000,000","1,607,000,000","1,138,000,000","1,843,000,000","1,697,000,000","1,750,000,000","1,702,000,000","1,964,000,000","1,787,000,000","1,822,000,000","1,842,000,000","1,876,000,000","1,745,000,000","1,817,000,000","1,709,000,000","1,719,000,000","1,652,000,000","1,671,000,000","1,463,000,000","1,510,000,000","1,384,000,000","1,523,000,000","1,396,000,000","1,449,000,000","1,208,000,000","1,262,000,000","1,271,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,500,000","293,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"3,039,000,000","474,000,000","1,576,000,000","509,000,000","480,000,000","533,000,000","465,000,000","443,000,000","526,000,000","615,000,000","506,000,000","555,000,000","550,000,000","519,000,000","555,000,000","754,000,000","526,000,000","529,000,000","515,000,000","515,000,000","480,000,000","728,000,000","713,000,000","673,000,000","693,000,000","714,000,000","685,000,000","875,000,000","723,000,000","816,000,000","756,000,000","766,000,000","727,000,000","852,000,000","764,000,000","803,000,000","780,000,000","-4,055,000,000","2,398,000,000","2,427,000,000","2,439,000,000","2,559,000,000","2,382,000,000","2,377,000,000","2,363,000,000","2,487,000,000","1,538,000,000","1,630,000,000","1,631,000,000","2,020,000,000","1,543,000,000","1,600,000,000","1,411,000,000","1,599,000,000","1,557,000,000","1,667,000,000","1,166,000,000","2,599,000,000","1,156,000,000","1,684,000,000","1,152,000,000","3,179,000,000","1,116,000,000","1,607,000,000","1,138,000,000","1,843,000,000","1,697,000,000","1,750,000,000","1,702,000,000","1,964,000,000","1,787,000,000","1,822,000,000","1,842,000,000","1,876,000,000","1,745,000,000","1,817,000,000","1,709,000,000",,"1,652,000,000","1,671,000,000","1,463,000,000",,"1,384,000,000","1,523,000,000","1,396,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,500,000","293,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,"-8,000,000","-6,000,000","-3,000,000","-4,000,000","-2,000,000","-4,000,000","3,000,000","-3,000,000","-5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,620,000,000","1,639,000,000","1,661,000,000","1,724,000,000","1,634,000,000","1,612,000,000","1,597,000,000","1,715,000,000","1,050,000,000","1,169,000,000","1,163,000,000","1,330,000,000","1,119,000,000","1,134,000,000","1,014,000,000","1,149,000,000","1,132,000,000","1,155,000,000","1,166,000,000","873,000,000","1,156,000,000","1,684,000,000","1,152,000,000","3,179,000,000","1,116,000,000","1,607,000,000","1,138,000,000","1,843,000,000","1,697,000,000","1,750,000,000","1,702,000,000","1,964,000,000","1,787,000,000","1,822,000,000","1,842,000,000","1,876,000,000","1,745,000,000","1,817,000,000","1,709,000,000",,"1,652,000,000","1,671,000,000","1,463,000,000",,"1,384,000,000","1,523,000,000","1,396,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,500,000","293,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"327,000,000","76,000,000","98,000,000","76,000,000","77,000,000","74,000,000","70,000,000","74,000,000","73,000,000","91,000,000","76,000,000","85,000,000","87,000,000","87,000,000","94,000,000","96,000,000","93,000,000","89,000,000","89,000,000","86,000,000","84,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"2,712,000,000","398,000,000","1,478,000,000","433,000,000","403,000,000","459,000,000","395,000,000","369,000,000","453,000,000","524,000,000","430,000,000","470,000,000","463,000,000","432,000,000","461,000,000","658,000,000","433,000,000","440,000,000","426,000,000","429,000,000","396,000,000","728,000,000","713,000,000","673,000,000","693,000,000","714,000,000","685,000,000","875,000,000","723,000,000","816,000,000","756,000,000","766,000,000","727,000,000","852,000,000","764,000,000","803,000,000","780,000,000","865,000,000","778,000,000","788,000,000","778,000,000","835,000,000","748,000,000","765,000,000","766,000,000","772,000,000","488,000,000","461,000,000","468,000,000","690,000,000","424,000,000","466,000,000","397,000,000","450,000,000","425,000,000","512,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
