name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"7,985,000,000","2,299,000,000","2,059,000,000","1,756,000,000","1,871,000,000","1,219,000,000","1,120,000,000","752,000,000","1,344,000,000","1,625,000,000","1,438,000,000","1,598,000,000","1,654,000,000","1,703,000,000","1,976,000,000","1,936,000,000","1,728,000,000","1,640,000,000","1,389,000,000","1,346,000,000","1,512,000,000","1,455,000,000","1,439,000,000","1,386,000,000","1,060,000,000","1,221,000,000","1,572,000,000","1,952,000,000","1,806,000,000","2,926,000,000","3,468,000,000","3,708,000,000","3,647,000,000","3,728,000,000","4,409,000,000","4,119,000,000","4,146,000,000","4,393,000,000","4,141,000,000","3,972,000,000","4,536,000,000","4,297,000,000","4,328,000,000","4,338,000,000","3,925,000,000","3,434,180,000","3,012,659,000","2,971,910,000","2,673,251,000","2,555,192,000","2,332,431,000","2,093,378,000","1,633,825,000","1,876,890,000","3,368,882,000","3,904,118,000","3,187,741,000","3,012,166,000","2,498,594,000","2,444,031,000","2,023,067,000","1,966,678,000","2,261,481,000","2,085,127,000","1,999,102,000","2,101,673,000","2,061,052,000","1,759,231,000","1,662,288,000","1,534,903,000","1,407,002,000","1,240,733,000","1,149,939,000","1,064,793,000","1,104,541,000","1,054,356,000","966,609,000","730,248,000","645,189,000","645,773,000","520,336,000","20,529,116,000","652,424,000","800,443,000","795,143,000","725,146,000","625,059,000","488,087,000","446,117,000","445,700,000","385,400,000","281,600,000","187,700,000","198,600,000","211,700,000","220,100,000","246,800,000","323,300,000","276,700,000","258,000,000","322,500,000","305,200,000","242,200,000","222,800,000","205,900,000","203,400,000","178,100,000","202,900,000","157,200,000","143,500,000","140,100,000","133,200,000","121,000,000","124,400,000","119,900,000","111,100,000","107,800,000","119,500,000","111,200,000","102,100,000","90,300,000","116,400,000","111,900,000","60,500,000","68,000,000","80,900,000","65,000,000","58,500,000","69,000,000","65,700,000","60,500,000","58,800,000","60,400,000","54,000,000","28,900,000","28,800,000","29,800,000","22,600,000","25,300,000","27,500,000","25,000,000","73,100,000","44,500,000","21,500,000","32,600,000","34,100,000","28,400,000"
	OperatingRevenue,"7,985,000,000","2,299,000,000","2,059,000,000","1,756,000,000","1,871,000,000","1,219,000,000","1,120,000,000","752,000,000","1,344,000,000","1,625,000,000","1,438,000,000","1,598,000,000","1,654,000,000","1,703,000,000","1,976,000,000","1,936,000,000","1,728,000,000","1,640,000,000","1,389,000,000","1,346,000,000","1,512,000,000","1,455,000,000","1,439,000,000","1,386,000,000","1,060,000,000","1,221,000,000","1,572,000,000","1,952,000,000","1,806,000,000","2,926,000,000","3,468,000,000","3,708,000,000","3,647,000,000","3,728,000,000","4,409,000,000","4,119,000,000","4,146,000,000","4,393,000,000","4,141,000,000","3,972,000,000","4,536,000,000","4,297,000,000","4,328,000,000","4,338,000,000","3,925,000,000","3,434,180,000","3,012,659,000","2,971,910,000","2,673,251,000","2,555,192,000","2,332,431,000","2,093,378,000","1,633,825,000","1,876,890,000","3,368,882,000","3,904,118,000","3,187,741,000","2,996,290,000","2,498,594,000","2,444,031,000","2,023,067,000","1,966,013,000","2,072,815,000","2,085,127,000","1,950,298,000","2,101,673,000","2,061,052,000","1,759,231,000","1,662,288,000","1,510,343,000","1,407,002,000","1,240,733,000","1,149,939,000","1,064,793,000","1,104,541,000","1,054,356,000","966,609,000","730,248,000","645,189,000","645,773,000","520,336,000","529,116,000","652,424,000","800,443,000","795,143,000","725,146,000","625,059,000","488,087,000","446,117,000","445,700,000","385,400,000","281,600,000","187,700,000","198,600,000","211,700,000","220,100,000","246,800,000","323,300,000","276,700,000","258,000,000","322,500,000","305,200,000","242,200,000","222,800,000","205,900,000","203,400,000","178,100,000","202,900,000","157,200,000","143,500,000","140,100,000","133,200,000","121,000,000","124,400,000","119,900,000","111,100,000","107,800,000","119,500,000","111,200,000","102,100,000","90,300,000","116,400,000","111,900,000","60,500,000","68,000,000","80,900,000","65,000,000","58,500,000","69,000,000","65,700,000","60,500,000","58,800,000","60,400,000","54,000,000","28,900,000","28,800,000","29,800,000","22,600,000","25,300,000","27,500,000","25,000,000","73,100,000","44,500,000","21,500,000","32,600,000","34,100,000","28,400,000"
CostOfRevenue,"4,445,000,000","1,187,000,000","1,115,000,000","985,000,000","1,158,000,000","877,000,000","795,000,000","800,000,000","1,058,000,000","1,140,000,000","1,127,000,000","1,067,000,000","1,099,000,000","1,074,000,000","1,084,000,000","1,046,000,000","983,000,000","942,000,000","956,000,000","992,000,000","969,000,000","1,043,000,000","1,081,000,000","1,080,000,000","1,512,000,000","8,123,000,000","7,137,000,000","7,338,000,000","9,001,000,000","5,347,000,000","3,554,000,000","2,136,000,000","1,873,000,000","2,386,000,000","3,074,000,000","2,313,000,000","2,280,000,000","2,266,000,000","2,916,000,000","72,000,000","77,000,000","75,000,000","72,000,000","73,000,000","699,000,000","51,757,000","42,840,000","488,987,000","480,611,000","453,492,000","481,767,000","438,752,000","33,339,000","553,456,000","530,541,000","486,505,000","495,614,000","501,592,000","452,906,000","449,001,000","420,534,000","424,168,000","386,599,000","338,211,000","317,718,000","298,610,000","303,566,000","281,608,000","256,951,000","233,336,000","226,666,000","228,251,000","225,663,000","201,188,000","211,522,000","201,417,000","145,996,000","128,556,000","127,165,000","114,191,000","112,577,000","112,305,000","103,301,000","101,420,000","90,107,000","32,684,000","82,531,000","69,609,000","70,427,000","114,600,000","105,100,000","86,300,000","71,000,000","80,900,000","78,300,000","79,000,000","87,800,000","114,700,000","97,500,000","96,600,000","119,300,000","108,400,000","86,700,000","84,300,000","84,900,000","83,700,000","70,700,000","82,200,000","63,600,000","48,500,000","47,200,000","45,000,000","42,200,000","61,900,000","41,100,000","35,600,000","33,600,000","37,300,000","40,000,000","36,000,000","33,500,000","37,500,000","41,100,000","17,000,000","14,800,000","29,300,000","14,700,000","15,600,000","18,000,000",,,,,,,,,,,,,,,,,,
GrossProfit,"3,540,000,000","1,112,000,000","944,000,000","771,000,000","713,000,000","342,000,000","325,000,000","-48,000,000","286,000,000","485,000,000","311,000,000","531,000,000","555,000,000","629,000,000","892,000,000","890,000,000","745,000,000","698,000,000","433,000,000","354,000,000","543,000,000","412,000,000","358,000,000","306,000,000","-452,000,000","-6,902,000,000","-5,565,000,000","-5,386,000,000","-7,195,000,000","-2,421,000,000","-86,000,000","1,572,000,000","1,774,000,000","1,342,000,000","1,335,000,000","1,806,000,000","1,866,000,000","2,127,000,000","1,225,000,000","3,900,000,000","4,459,000,000","4,222,000,000","4,256,000,000","4,265,000,000","3,226,000,000","3,382,423,000","2,969,819,000","2,482,923,000","2,192,640,000","2,101,700,000","1,850,664,000","1,654,626,000","1,600,486,000","1,323,434,000","2,838,341,000","3,417,613,000","2,692,127,000","2,510,574,000","2,045,688,000","1,995,030,000","1,602,533,000","1,542,510,000","1,874,882,000","1,746,916,000","1,681,384,000","1,803,063,000","1,757,486,000","1,477,623,000","1,405,337,000","1,301,567,000","1,180,336,000","1,012,482,000","924,276,000","863,605,000","893,019,000","852,939,000","820,613,000","601,692,000","518,024,000","531,582,000","407,759,000","20,416,811,000","549,123,000","699,023,000","705,036,000","692,462,000","542,528,000","418,478,000","375,690,000","331,100,000","280,300,000","195,300,000","116,700,000","117,700,000","133,400,000","141,100,000","159,000,000","208,600,000","179,200,000","161,400,000","203,200,000","196,800,000","155,500,000","138,500,000","121,000,000","119,700,000","107,400,000","120,700,000","93,600,000","95,000,000","92,900,000","88,200,000","78,800,000","62,500,000","78,800,000","75,500,000","74,200,000","82,200,000","71,200,000","66,100,000","56,800,000","78,900,000","70,800,000","43,500,000","53,200,000","51,600,000","50,300,000","42,900,000","51,000,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"620,000,000","213,000,000","147,000,000","117,000,000","143,000,000","201,000,000","162,000,000","197,000,000","172,000,000","753,000,000","184,000,000","273,000,000","262,000,000","413,000,000","254,000,000","278,000,000","265,000,000","266,000,000","405,000,000","221,000,000","248,000,000","323,000,000","318,000,000","318,000,000","150,000,000","142,000,000","303,000,000","177,000,000","195,000,000","496,000,000","329,000,000","370,000,000","296,000,000","424,000,000","346,000,000","364,000,000","493,000,000","444,000,000","313,000,000","3,028,000,000","2,853,000,000","2,241,000,000","2,121,000,000","2,087,000,000","1,250,000,000","1,876,933,000","1,573,111,000","1,033,173,000","902,586,000","942,669,000","892,321,000","781,570,000","3,597,901,000","6,208,055,000","963,546,000","1,005,088,000","945,490,000","888,472,000","787,399,000","792,920,000","696,047,000","695,950,000","659,027,000","662,031,000","564,663,000","549,996,000","557,600,000","499,653,000","462,668,000","389,259,000","397,295,000","365,418,000","339,593,000","362,572,000","369,721,000","336,208,000","267,265,000","257,245,000","249,863,000","255,082,000","251,224,000","256,942,000","257,560,000","252,625,000","214,701,000","244,392,000","172,481,000","153,384,000","148,077,000","147,500,000","135,500,000","118,600,000","99,800,000","343,200,000","109,800,000","108,600,000","109,700,000","113,800,000","108,800,000","103,600,000","99,700,000","97,000,000","91,500,000","85,700,000","81,900,000","84,300,000","83,400,000","90,400,000","73,000,000","72,100,000","70,300,000","68,400,000","60,700,000","41,800,000","66,600,000","52,700,000","52,200,000","58,700,000","52,000,000","51,600,000","46,000,000","54,000,000","58,900,000","32,600,000","33,900,000","42,900,000","33,800,000","30,000,000","31,600,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"376,000,000","137,000,000","70,000,000","86,000,000","83,000,000","76,000,000","52,000,000","94,000,000","68,000,000","83,000,000","98,000,000","102,000,000","123,000,000","101,000,000","99,000,000","117,000,000","114,000,000","88,000,000","98,000,000","106,000,000","103,000,000","112,000,000","102,000,000","103,000,000","93,000,000","98,000,000","86,000,000","111,000,000","79,000,000","125,000,000","112,000,000","94,000,000","119,000,000","127,000,000","127,000,000","133,000,000","116,000,000","147,000,000","124,000,000","132,000,000","128,000,000","132,000,000","112,000,000","103,000,000","112,000,000","104,113,000","96,908,000","91,829,000","87,150,000","85,440,000","82,492,000","90,905,000","85,046,000","69,938,000","57,561,000","78,872,000","82,423,000","75,000,000","61,405,000","70,798,000","67,862,000","59,690,000","53,781,000","52,191,000","45,672,000","45,812,000","50,047,000","52,002,000","50,411,000","45,878,000","35,975,000","47,491,000","43,850,000","45,427,000","34,692,000","30,574,000","27,831,000","25,758,000","25,463,000","28,015,000","25,352,000","22,347,000","22,794,000","23,193,000","20,376,000","26,284,000","18,089,000","16,593,000","14,649,000","16,100,000","15,200,000","12,100,000","10,300,000","6,700,000","13,900,000","10,200,000","10,000,000","11,400,000","8,700,000","8,900,000","9,100,000","9,900,000","8,900,000","8,200,000","8,900,000","8,800,000","7,700,000","10,400,000","9,100,000","8,800,000","8,200,000","9,300,000","8,600,000","8,000,000","8,300,000","8,100,000","8,800,000","9,300,000","8,600,000","8,900,000","8,100,000","11,300,000","19,300,000","6,700,000","5,900,000","6,500,000","5,500,000","5,200,000","4,300,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"376,000,000","137,000,000","70,000,000","86,000,000","83,000,000","76,000,000","52,000,000","94,000,000","68,000,000","83,000,000","98,000,000","102,000,000","123,000,000","101,000,000","99,000,000","117,000,000","114,000,000","88,000,000","98,000,000","106,000,000","103,000,000","112,000,000","102,000,000","103,000,000","93,000,000","98,000,000","86,000,000","111,000,000","79,000,000","125,000,000","112,000,000","94,000,000","119,000,000","127,000,000","127,000,000","133,000,000","116,000,000","147,000,000","124,000,000","132,000,000","128,000,000",,,,,,,,,,"82,492,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"376,000,000","137,000,000","70,000,000","86,000,000","83,000,000","76,000,000","52,000,000","94,000,000","68,000,000","83,000,000","98,000,000","102,000,000","123,000,000","101,000,000","99,000,000","117,000,000","114,000,000","88,000,000","98,000,000","106,000,000","103,000,000","112,000,000","102,000,000","103,000,000","93,000,000","98,000,000","86,000,000","111,000,000","79,000,000","125,000,000","112,000,000","94,000,000","119,000,000","127,000,000","127,000,000","133,000,000","116,000,000","147,000,000","124,000,000","132,000,000","128,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,"44,000,000","40,000,000","39,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","36,000,000","38,000,000","38,000,000","38,000,000","40,000,000","42,000,000","79,000,000","79,000,000","83,000,000","98,000,000","114,000,000","100,000,000","99,000,000","97,000,000","113,000,000","99,000,000","93,000,000","105,000,000",,,"1,932,000,000","1,740,000,000","1,174,000,000","1,065,000,000","1,029,000,000","936,000,000","928,514,000","786,237,000","729,751,000","638,498,000","615,189,000","625,898,000","573,359,000","3,398,778,000","5,998,716,000","601,705,000","627,668,000","620,489,000","624,975,000","600,796,000","591,107,000","530,913,000","514,802,000","487,542,000","441,438,000","372,577,000","360,099,000","357,159,000","361,058,000","340,071,000","327,324,000","314,172,000","296,332,000","286,795,000","294,235,000","293,442,000","272,892,000","214,880,000","213,791,000","209,318,000","211,256,000","211,373,000","222,965,000","218,110,000","209,184,000","173,032,000","158,935,000","154,392,000","136,791,000","133,428,000","131,400,000","120,300,000","106,500,000","89,500,000","336,500,000","95,900,000","98,400,000","99,700,000","102,400,000","100,100,000","94,700,000","90,600,000","87,100,000","82,600,000","77,500,000","73,000,000","75,500,000","75,700,000","80,000,000","63,900,000","63,300,000","62,100,000","59,100,000","52,100,000","33,800,000","58,300,000","44,600,000","43,400,000","49,400,000","43,400,000","42,700,000","37,900,000","42,700,000","39,600,000","25,900,000","28,000,000","36,400,000","28,300,000","24,800,000","27,300,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,"44,000,000","40,000,000","39,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","36,000,000","38,000,000","38,000,000","38,000,000","40,000,000","42,000,000","79,000,000","79,000,000","83,000,000","98,000,000","114,000,000","100,000,000","99,000,000","97,000,000","113,000,000","99,000,000","93,000,000","105,000,000",,,,,,,"1,029,000,000",,"928,514,000","786,237,000","729,751,000","638,498,000","615,189,000","625,898,000","573,359,000",,"5,998,716,000","601,705,000","627,668,000","620,489,000","624,975,000","600,796,000","591,107,000","530,913,000","514,802,000","487,542,000","441,438,000","372,577,000","360,099,000","357,159,000","361,058,000","340,071,000","327,324,000","314,172,000","296,332,000","286,795,000","294,235,000","293,442,000","272,892,000","214,880,000","213,791,000","209,318,000","211,256,000","211,373,000","222,965,000","218,110,000","209,184,000","173,032,000","158,935,000","154,392,000","136,791,000","133,428,000","131,400,000","120,300,000","106,500,000","89,500,000","336,500,000","95,900,000","98,400,000","99,700,000","102,400,000","100,100,000","94,700,000","90,600,000","87,100,000","82,600,000","77,500,000","73,000,000","75,500,000","75,700,000","80,000,000","63,900,000","63,300,000","62,100,000","59,100,000","52,100,000","33,800,000","58,300,000","44,600,000","43,400,000","49,400,000","43,400,000","42,700,000","37,900,000","42,700,000","39,600,000","25,900,000","28,000,000","36,400,000","28,300,000","24,800,000","27,300,000",,,,,,,,,,,,,,,,,,
