name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"10,942,000,000","2,994,200,000","2,841,100,000","2,604,700,000","2,502,000,000","2,375,200,000","2,320,100,000","2,065,200,000","2,216,300,000","2,254,700,000","2,283,200,000","2,224,000,000","2,187,700,000","2,224,000,000","2,298,900,000","2,259,000,000","2,155,700,000","2,216,600,000","2,203,100,000","2,121,900,000","1,980,100,000","1,882,500,000","2,463,000,000","2,434,400,000","2,271,200,000","2,355,800,000","2,449,400,000","2,470,200,000","2,414,500,000","2,560,800,000","2,677,000,000","2,634,600,000","2,581,900,000","2,545,500,000","2,586,500,000","2,547,300,000","2,484,200,000","2,562,400,000","2,605,800,000","2,340,100,000","2,344,300,000","2,423,100,000","2,611,200,000","2,577,800,000","2,501,300,000","2,391,700,000","2,351,200,000","2,252,300,000","2,249,000,000","2,173,500,000","2,129,300,000","1,976,200,000","1,955,400,000","2,195,300,000","2,527,600,000","2,808,000,000","2,605,300,000","2,473,600,000","2,537,000,000","2,595,000,000","2,473,300,000","2,432,500,000","2,115,000,000","2,319,600,000","2,317,200,000","2,098,600,000","2,070,800,000","2,078,400,000","2,003,300,000","1,991,000,000","1,977,500,000","1,892,500,000","1,856,500,000","1,684,900,000","1,642,300,000","1,629,900,000","1,578,100,000","1,447,000,000","1,398,000,000","1,374,000,000","1,312,700,000","1,316,500,000","1,361,700,000","1,415,900,000","1,498,300,000","1,441,300,000","1,449,100,000","1,406,400,000","1,347,200,000","1,264,400,000","1,254,400,000","1,237,800,000","1,253,300,000","1,274,600,000","1,250,300,000","1,225,300,000","1,208,600,000","1,234,800,000","1,213,500,000","1,150,300,000","1,153,100,000","1,120,900,000","1,051,000,000","997,000,000","1,013,000,000","947,000,000","978,900,000","982,400,000","982,900,000","920,800,000","931,000,000","868,400,000","858,600,000","827,300,000","855,500,000","824,800,000","833,900,000","813,500,000","838,800,000","824,700,000","793,300,000","760,500,000","738,400,000","713,400,000","754,700,000","724,600,000","816,300,000","712,800,000","713,100,000","652,500,000","668,600,000","663,700,000","668,900,000","640,600,000","622,000,000","605,100,000","618,900,000","585,900,000","543,600,000","527,800,000","527,100,000","533,700,000","502,500,000","494,900,000","508,900,000","475,900,000","476,400,000"
	OperatingRevenue,"10,942,000,000","2,994,200,000","2,841,100,000","2,604,700,000","2,502,000,000","2,375,200,000","2,320,100,000","2,065,200,000","2,216,300,000","2,254,700,000","2,283,200,000","2,224,000,000","2,187,700,000","2,224,000,000","2,298,900,000","2,259,000,000","2,155,700,000","2,216,600,000","2,203,100,000","2,121,900,000","1,980,100,000","1,882,500,000","2,463,000,000","2,434,400,000","2,271,200,000","2,355,800,000","2,449,400,000","2,470,200,000","2,414,500,000","2,560,800,000","2,677,000,000","2,634,600,000","2,581,900,000","2,545,500,000","2,586,500,000","2,547,300,000","2,484,200,000","2,562,400,000","2,605,800,000","2,340,100,000","2,344,300,000","2,423,100,000","2,611,200,000","2,577,800,000","2,501,300,000","2,391,700,000","2,351,200,000","2,252,300,000","2,249,000,000","2,173,500,000","2,129,300,000","1,976,200,000","1,955,400,000","2,195,300,000","2,527,600,000","2,808,000,000","2,605,300,000","2,473,600,000","2,537,000,000","2,595,000,000","2,473,300,000","2,432,500,000","2,115,000,000","2,319,600,000","2,317,200,000","2,098,600,000","2,070,800,000","2,078,400,000","2,003,300,000","1,991,000,000","1,977,500,000","1,892,500,000","1,856,500,000","1,684,900,000","1,642,300,000","1,629,900,000","1,578,100,000","1,447,000,000","1,398,000,000","1,374,000,000","1,312,700,000","1,316,500,000","1,361,700,000","1,415,900,000","1,498,300,000","1,441,300,000","1,449,100,000","1,406,400,000","1,347,200,000","1,264,400,000","1,254,400,000","1,237,800,000","1,253,300,000","1,274,600,000","1,250,300,000","1,225,300,000","1,208,600,000","1,234,800,000","1,213,500,000","1,150,300,000","1,153,100,000","1,120,900,000","1,051,000,000","997,000,000","1,013,000,000","947,000,000","978,900,000","982,400,000","982,900,000","920,800,000","931,000,000","868,400,000","858,600,000","827,300,000","855,500,000","824,800,000","833,900,000","813,500,000","838,800,000","824,700,000","793,300,000","760,500,000","738,400,000","713,400,000","754,700,000","724,600,000","816,300,000","712,800,000","713,100,000","652,500,000","668,600,000","663,700,000","668,900,000","640,600,000","622,000,000","605,100,000","618,900,000","585,900,000","543,600,000","527,800,000","527,100,000","533,700,000","502,500,000","494,900,000","508,900,000","475,900,000","476,400,000"
CostOfRevenue,"7,777,300,000","2,223,600,000","2,006,300,000","1,801,900,000","1,745,500,000","1,632,400,000","1,566,500,000","1,344,900,000","1,460,100,000","1,486,600,000","1,490,800,000","1,466,000,000","1,474,700,000","1,544,000,000","1,565,800,000","1,545,400,000","1,506,500,000","1,571,800,000","1,545,300,000","1,486,200,000","1,403,800,000","1,318,100,000","1,648,700,000","1,639,300,000","1,519,000,000","1,598,000,000","1,697,100,000","1,716,400,000","1,699,600,000","1,831,000,000","1,932,400,000","1,918,700,000","1,917,600,000","1,865,900,000","1,882,900,000","1,875,500,000","1,813,600,000","1,900,100,000","1,923,000,000","1,690,800,000","1,715,800,000","1,774,300,000","1,910,200,000","1,882,100,000","1,802,500,000","1,720,500,000","1,694,700,000","1,611,000,000","1,628,700,000","1,568,600,000","1,545,000,000","1,427,500,000","1,439,900,000","1,629,700,000","1,927,800,000","2,073,000,000","1,903,800,000","1,788,500,000","1,845,100,000","1,903,600,000","1,824,400,000","1,788,500,000","1,533,900,000","1,709,500,000","1,743,600,000","1,571,300,000","1,535,200,000","1,531,700,000","1,468,900,000","1,475,500,000","1,475,500,000","1,388,300,000","1,369,600,000","1,230,200,000","1,178,400,000","1,225,400,000","1,176,300,000","1,033,000,000","971,600,000","976,700,000","942,300,000","937,100,000","968,500,000","1,004,300,000","1,104,800,000","1,025,100,000","1,029,200,000","993,700,000","925,600,000","877,100,000","877,300,000","871,100,000","877,500,000","875,600,000","725,200,000","708,700,000","701,900,000","720,700,000","729,200,000","663,400,000","686,300,000","692,700,000","645,000,000","594,000,000","609,000,000","560,000,000","586,400,000","595,700,000","590,900,000","544,000,000","577,700,000","516,600,000","518,200,000","499,000,000","448,900,000","414,900,000","411,400,000","409,000,000","425,400,000","419,400,000","385,100,000","366,600,000","355,800,000","346,400,000","378,000,000","355,700,000","442,300,000","349,300,000","359,300,000","321,000,000","339,200,000","335,300,000",,,,,,,,,,,,,,,
GrossProfit,"3,164,700,000","770,600,000","834,800,000","802,800,000","756,500,000","742,800,000","753,600,000","720,300,000","756,200,000","768,100,000","792,400,000","758,000,000","713,000,000","680,000,000","733,100,000","713,600,000","649,200,000","644,800,000","657,800,000","635,700,000","576,300,000","564,400,000","814,300,000","795,100,000","752,200,000","757,800,000","752,300,000","753,800,000","714,900,000","729,800,000","744,600,000","715,900,000","664,300,000","679,600,000","703,600,000","671,800,000","670,600,000","662,300,000","682,800,000","649,300,000","628,500,000","648,800,000","701,000,000","695,700,000","698,800,000","671,200,000","656,500,000","641,300,000","620,300,000","604,900,000","584,300,000","548,700,000","515,500,000","565,600,000","599,800,000","735,000,000","701,500,000","685,100,000","691,900,000","691,400,000","648,900,000","644,000,000","581,100,000","610,100,000","573,600,000","527,300,000","535,600,000","546,700,000","534,400,000","515,500,000","502,000,000","504,200,000","486,900,000","454,700,000","463,900,000","404,500,000","401,800,000","414,000,000","426,400,000","397,300,000","370,400,000","379,400,000","393,200,000","411,600,000","393,500,000","416,200,000","419,900,000","412,700,000","421,600,000","387,300,000","377,100,000","366,700,000","375,800,000","399,000,000","525,100,000","516,600,000","506,700,000","514,100,000","484,300,000","486,900,000","466,800,000","428,200,000","406,000,000","403,000,000","404,000,000","387,000,000","392,500,000","386,700,000","392,000,000","376,800,000","353,300,000","351,800,000","340,400,000","328,300,000","406,600,000","409,900,000","422,500,000","404,500,000","413,400,000","405,300,000","408,200,000","393,900,000","382,600,000","367,000,000","376,700,000","368,900,000","374,000,000","363,500,000","353,800,000","331,500,000","329,400,000","328,400,000",,,,,,,,,,,,,,,
OperatingExpense,"913,000,000","247,600,000","218,100,000","225,700,000","221,600,000","203,700,000","193,400,000","181,100,000","179,000,000","207,100,000","189,200,000","191,900,000","196,500,000","196,000,000","202,400,000","197,800,000","193,800,000","184,100,000","183,800,000","178,300,000","174,800,000","156,100,000","243,400,000","236,300,000","222,900,000","252,800,000","230,300,000","273,100,000","285,100,000","285,300,000","289,100,000","302,100,000","279,600,000","294,000,000","316,000,000","288,700,000","280,900,000","289,900,000","79,200,000","348,800,000","353,900,000","289,900,000","304,100,000","285,500,000","279,300,000","280,500,000","254,800,000","267,000,000","277,100,000","282,700,000","228,900,000","416,300,000","265,300,000","451,500,000","-118,200,000","667,400,000","363,300,000","313,100,000","305,800,000","326,800,000","324,200,000","311,700,000","365,100,000","312,000,000","279,000,000","275,100,000","286,400,000","283,900,000","282,200,000","277,200,000","265,000,000","270,500,000","276,800,000","255,900,000","274,900,000","364,500,000","222,800,000","217,500,000","205,600,000","182,200,000","215,600,000","195,200,000","254,900,000","196,200,000","77,000,000","188,700,000","190,600,000","226,300,000","202,700,000","191,100,000","191,800,000","199,000,000","193,100,000","210,000,000","310,100,000","305,300,000","300,600,000","301,500,000","305,200,000","294,000,000","282,800,000","258,800,000","263,000,000","247,000,000","256,000,000","243,000,000","248,900,000","226,000,000","240,200,000","230,900,000","221,900,000","240,300,000","218,000,000","207,500,000","427,100,000","296,600,000","289,200,000","289,100,000","305,200,000","286,400,000","282,500,000","275,000,000","281,400,000","266,900,000","272,500,000","264,900,000","270,400,000","263,100,000","256,200,000","244,000,000","248,100,000","245,300,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"858,500,000","232,800,000","202,100,000","213,300,000","210,300,000","202,700,000","195,600,000","176,900,000","167,900,000","201,700,000","181,900,000","188,500,000","190,000,000","189,600,000","186,000,000","188,600,000","194,600,000","191,600,000","188,400,000","190,000,000","182,000,000","165,700,000","221,600,000","213,000,000","209,700,000","212,000,000","207,400,000","243,800,000","253,500,000","258,200,000","248,500,000","272,000,000","263,400,000","280,900,000","282,700,000","271,300,000","266,600,000","268,200,000","161,200,000","230,400,000","324,100,000","248,900,000","257,500,000","252,900,000","259,400,000","244,600,000","236,400,000","247,500,000","240,400,000","244,100,000","258,400,000","364,300,000","230,600,000","421,200,000","132,400,000","321,700,000","311,800,000","298,200,000","298,400,000","304,700,000","293,100,000","284,400,000","266,600,000","284,000,000","275,500,000","254,600,000","257,100,000","261,100,000","257,200,000","252,800,000","243,900,000","243,700,000","250,400,000","231,400,000","194,500,000","243,400,000","203,900,000","190,800,000","183,800,000","172,900,000","189,100,000","169,300,000","215,800,000","173,300,000","189,500,000","173,500,000","177,500,000","189,500,000","179,900,000","167,800,000","166,500,000","172,600,000","168,300,000","183,200,000","285,700,000","287,400,000","277,300,000","269,900,000","278,300,000","266,800,000","264,700,000","241,500,000","241,000,000","228,000,000","231,000,000","220,000,000","231,600,000","216,900,000","214,300,000","206,200,000","200,700,000","205,400,000","193,400,000","189,300,000","338,600,000","209,900,000","204,600,000","203,200,000","214,000,000","201,600,000","199,700,000","193,600,000","199,300,000","188,100,000","192,100,000","187,100,000","192,800,000","184,500,000","182,300,000","170,900,000","176,600,000","170,800,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"858,500,000","232,800,000","202,100,000","213,300,000","210,300,000","202,700,000","195,600,000","176,900,000","167,900,000","201,700,000","181,900,000","188,500,000","190,000,000","189,600,000","186,000,000","188,600,000","194,600,000","191,600,000","188,400,000","190,000,000","182,000,000","165,700,000","221,600,000","213,000,000","209,700,000","212,000,000","207,400,000","243,800,000","253,500,000","258,200,000","248,500,000","272,000,000","263,400,000","280,900,000","282,700,000","271,300,000","266,600,000","268,200,000","248,000,000",,,,"257,500,000","252,900,000",,,"236,400,000","247,500,000",,,"258,400,000","364,300,000","230,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,"900,000","5,500,000","4,100,000",,"2,800,000","1,000,000","2,600,000",,"7,000,000","1,600,000","12,600,000",,"5,500,000",,,,"7,900,000",,,,,,,,"0","0",,,"5,200,000","6,300,000",,,"2,700,000","8,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"858,500,000","232,800,000","202,100,000","213,300,000","210,300,000","202,700,000","195,600,000","176,900,000","167,900,000","201,700,000","181,900,000","188,500,000","190,000,000","189,600,000","186,000,000","188,600,000","194,600,000","191,600,000","187,500,000","184,500,000","177,900,000","165,700,000","218,800,000","212,000,000","207,100,000","212,000,000","200,400,000","242,200,000","240,900,000","258,200,000","243,000,000","272,000,000","263,400,000","280,900,000","270,300,000","271,300,000","266,600,000","268,200,000","248,000,000",,,,"257,500,000","252,900,000",,,"231,200,000","241,200,000",,,"255,700,000","356,300,000","230,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"93,300,000","23,300,000","25,700,000","23,200,000","21,100,000","23,500,000","27,100,000","19,900,000","19,200,000","17,700,000","22,900,000","18,100,000","16,900,000","15,000,000","20,400,000","15,000,000","14,500,000","14,600,000","13,300,000","14,600,000","14,800,000","15,100,000","33,200,000","34,100,000","32,700,000","32,400,000","33,300,000","33,800,000","36,300,000","35,400,000","40,900,000","33,800,000","33,200,000","33,500,000","34,600,000","33,500,000","32,300,000","33,300,000","36,100,000","32,500,000","29,800,000","28,100,000","32,400,000","29,300,000","27,900,000","29,200,000","31,900,000","29,300,000","26,300,000","27,200,000","29,400,000","24,100,000","29,600,000","33,200,000","33,000,000","33,100,000","34,300,000","30,300,000","34,600,000","35,700,000","35,100,000","34,800,000","36,800,000","39,100,000","37,700,000","37,800,000","33,200,000","33,300,000","33,100,000","33,100,000","33,600,000","31,100,000","32,000,000","30,000,000","27,900,000","32,100,000","31,100,000","30,000,000","30,200,000","31,900,000","28,100,000","30,400,000","32,200,000","31,000,000","30,800,000","28,500,000","32,100,000","32,300,000","29,900,000","30,100,000","32,700,000","29,400,000","29,300,000","31,700,000","30,000,000","28,700,000","27,000,000","26,300,000","30,600,000","27,900,000","28,500,000","26,700,000","30,000,000","28,000,000","29,000,000","27,000,000","27,000,000","25,800,000","26,300,000","23,900,000","26,900,000","24,400,000","23,800,000","22,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
