name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalRevenue,"2,114,150,000","576,923,000","547,759,000","509,619,000","479,849,000","463,720,000","545,042,000","436,956,000","439,919,000","408,114,000","390,484,000","373,856,000","358,842,000","340,463,000","341,823,000","325,034,000","320,139,000","298,838,000","283,737,000","273,084,000","268,852,000","245,623,000","225,318,000","215,826,000","211,126,000","213,382,000","211,960,000","201,656,000","192,556,000","186,714,000","183,850,000","176,852,000","172,978,000","165,445,000","155,387,000","151,167,000","148,993,000","189,657,000","128,361,000","136,183,000","128,739,000","126,438,000","129,154,000","127,405,000","119,972,000","157,782,000","104,218,000","98,232,000","98,925,000","83,709,000","93,696,000","111,623,000","112,558,000","106,509,000","95,332,000","92,322,000","87,714,000","83,978,000","80,185,000","76,032,000","77,083,000","71,390,000","66,167,000","54,167,000","53,726,000","52,689,000","50,592,000","46,969,000","44,768,000","42,067,000","39,884,000","36,597,000","36,066,000","32,604,000","34,250,000","33,546,000","33,742,000","30,383,000","31,982,000","29,116,000","28,207,000","26,062,000","25,452,000","23,516,000","23,634,000","22,357,000","21,409,000","18,942,000","18,411,000","18,100,000","17,600,000","16,200,000","14,600,000","13,500,000","12,200,000","11,700,000","9,600,000","9,000,000","8,500,000","5,600,000","4,700,000"
	OperatingRevenue,"2,108,249,000","574,656,000","546,527,000","508,371,000","478,695,000","461,335,000","543,412,000","435,856,000","437,605,000","404,721,000","385,776,000","371,618,000","354,749,000","260,102,000","255,496,000","250,635,000","244,485,000","228,025,000","216,021,000","211,942,000","207,193,000","187,315,000","166,591,000","161,638,000","158,276,000","158,100,000","155,311,000","151,805,000","143,608,000","140,873,000","137,718,000","134,992,000","130,570,000","124,943,000","116,302,000","114,743,000","111,776,000","51,792,000","128,361,000","136,183,000","128,739,000","126,438,000","129,154,000","127,405,000","119,972,000","157,782,000","104,218,000","98,232,000","98,925,000","83,709,000","93,696,000","111,623,000","112,558,000","106,509,000","95,332,000","92,322,000","87,714,000","83,978,000","80,185,000","76,032,000","77,083,000","71,390,000","66,167,000","54,167,000","53,726,000","52,689,000","50,592,000","46,969,000","44,768,000","42,067,000","39,884,000","36,597,000","36,066,000","32,604,000","34,250,000","33,546,000","33,742,000","30,383,000","31,982,000","29,116,000","28,207,000","26,062,000","25,452,000","23,516,000","23,634,000","22,357,000","21,409,000","18,942,000","18,411,000","18,100,000","17,600,000","16,200,000","14,600,000","13,500,000","12,200,000","11,700,000","9,600,000","9,000,000","8,500,000","5,600,000","4,700,000"
CostOfRevenue,"623,555,000","175,717,000","165,995,000","143,955,000","137,888,000","136,767,000","140,443,000","123,911,000","129,103,000","121,852,000","116,450,000","105,689,000","101,501,000","97,682,000","99,759,000","91,908,000","91,771,000","88,073,000","83,469,000","76,980,000","77,087,000","73,244,000","72,002,000","67,325,000","65,837,000","68,913,000","68,846,000","62,250,000","61,223,000","56,881,000","57,423,000","52,353,000","52,507,000","49,750,000","47,742,000","46,323,000","45,224,000","46,639,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,490,595,000","401,206,000","381,764,000","365,664,000","341,961,000","326,953,000","404,599,000","313,045,000","310,816,000","286,262,000","274,034,000","268,167,000","257,341,000","242,781,000","242,064,000","233,126,000","228,368,000","210,765,000","200,268,000","196,104,000","191,765,000","172,379,000","153,316,000","148,501,000","145,289,000","144,469,000","143,114,000","139,406,000","131,333,000","129,833,000","126,427,000","124,499,000","120,471,000","115,695,000","107,645,000","104,844,000","103,769,000","107,531,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"972,522,000","280,908,000","248,773,000","227,932,000","214,909,000","210,440,000","213,744,000","199,802,000","207,459,000","170,300,000","163,500,000","160,871,000","158,764,000","147,375,000","142,260,000","141,791,000","136,640,000","126,624,000","125,424,000","123,332,000","116,412,000","112,680,000","92,987,000","85,553,000","86,054,000","87,347,000","83,096,000","77,160,000","73,307,000","71,834,000","70,997,000","71,150,000","63,645,000","60,110,000","60,768,000","59,052,000","57,713,000","60,715,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"151,461,000","41,654,000","37,931,000","37,880,000","33,996,000","32,690,000","36,913,000","31,775,000","31,963,000","29,782,000","27,930,000","26,434,000","24,677,000","22,385,000","22,660,000","22,939,000","22,421,000","18,910,000","17,636,000","19,234,000","19,229,000","17,458,000","15,854,000","15,384,000","15,188,000","15,102,000","15,143,000","14,989,000","14,387,000","13,861,000","12,609,000","13,836,000","13,224,000","12,734,000","11,666,000","12,472,000","11,648,000","-115,241,000","57,099,000","56,830,000","53,771,000","55,694,000","52,905,000","51,445,000","50,581,000","45,170,000","41,748,000","38,618,000","41,132,000","37,527,000","40,393,000","37,862,000","42,102,000","123,512,000","8,588,000","8,452,000","8,787,000","8,114,000","8,343,000","7,921,000","8,082,000","6,697,000","6,653,000","6,269,000","6,452,000","5,914,000","5,993,000","4,765,000","4,445,000","3,993,000","3,662,000","3,814,000","3,636,000","3,550,000","3,568,000","3,544,000","3,549,000","3,452,000","3,203,000","3,308,000","3,473,000","3,116,000","2,885,000","2,819,000","2,874,000","2,398,000","2,391,000","2,104,000","2,093,000","2,100,000","1,900,000","1,700,000","1,300,000","1,300,000","1,000,000","900,000","800,000","700,000","600,000","600,000","600,000"
		GeneralAndAdministrativeExpense,"151,461,000","41,654,000","37,931,000","37,880,000","33,996,000","32,690,000","36,913,000","31,775,000","31,963,000","29,782,000","27,930,000","26,434,000","24,677,000","22,385,000","22,660,000","22,939,000","22,421,000","18,910,000","17,636,000","19,234,000","19,229,000","17,458,000","15,854,000","15,384,000","15,188,000","15,102,000","15,143,000","14,989,000","14,387,000","13,861,000","12,609,000","13,836,000","13,224,000","12,734,000","11,666,000","12,472,000","11,648,000","-115,241,000","57,099,000","56,830,000","53,771,000","55,694,000","52,905,000","51,445,000","50,581,000","45,170,000","41,748,000","38,618,000","41,132,000","37,527,000","40,393,000","37,862,000","42,102,000","123,512,000","8,588,000","8,452,000","8,787,000","8,114,000","8,343,000","7,921,000","8,082,000","6,697,000","6,653,000","6,269,000","6,452,000","5,914,000","5,993,000","4,765,000","4,445,000","3,993,000","3,662,000","3,814,000","3,636,000","3,550,000","3,568,000","3,544,000","3,549,000","3,452,000","3,203,000","3,308,000","3,473,000","3,116,000","2,885,000","2,819,000","2,874,000","2,398,000","2,391,000","2,104,000","2,093,000","2,100,000","1,900,000","1,700,000","1,300,000","1,300,000","1,000,000","900,000","800,000","700,000","600,000","600,000","600,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,588,000","8,452,000","8,787,000","8,114,000","8,343,000","7,921,000","8,082,000","6,697,000","6,653,000","6,269,000","6,452,000","5,914,000","5,993,000","4,765,000","4,445,000","3,993,000","3,662,000","3,814,000","3,636,000","3,550,000","3,568,000","3,544,000","3,549,000","3,452,000","3,203,000","3,308,000","3,473,000","3,116,000","2,885,000","2,819,000","2,874,000","2,398,000","2,391,000","2,104,000","2,093,000","2,100,000","1,900,000","1,700,000","1,300,000","1,300,000","1,000,000","900,000","800,000","700,000","600,000","600,000","600,000"
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,614,000","44,506,000","43,410,000","45,083,000","42,608,000","40,679,000","41,081,000","36,571,000","33,704,000","30,352,000","31,651,000","29,064,000","30,783,000","29,059,000","32,684,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"151,461,000","41,654,000","37,931,000","37,880,000","33,996,000","32,690,000","36,913,000","31,775,000","31,963,000","29,782,000","27,930,000","26,434,000","24,677,000","22,385,000","22,660,000","22,939,000","22,421,000","18,910,000","17,636,000","19,234,000","19,229,000","17,458,000","15,854,000","15,384,000","15,188,000","15,102,000","15,143,000","14,989,000","14,387,000","13,861,000","12,609,000","13,836,000","13,224,000","12,734,000","11,666,000","12,472,000","11,648,000","12,643,000","12,485,000","12,324,000","10,361,000","10,611,000","10,297,000","10,766,000","9,500,000","8,599,000","8,044,000","8,266,000","9,481,000","8,463,000","9,610,000","8,803,000","9,418,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
