name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalRevenue,"2,294,850,000","601,197,000","580,774,000","561,743,000","551,135,000","555,802,000","567,404,000","576,405,000","601,651,000","593,566,000","587,613,000","577,263,000","566,184,000","578,520,000","575,982,000","569,239,000","560,792,000","555,291,000","550,500,000","530,512,000","522,326,000","518,240,000","516,211,000","502,307,000","508,498,000","480,841,000","475,360,000","457,459,000","442,367,000","440,654,000","430,525,000","413,806,000","400,075,000","382,450,000","393,127,000","389,234,000","312,131,000","257,384,000","271,904,000","258,805,000","252,454,000","241,091,000","251,077,000","244,859,000","235,808,000","231,892,000","225,558,000","220,468,000","215,587,000","193,741,000","222,051,000","222,144,000","219,483,000","220,353,000","218,492,000","214,222,000","211,838,000","212,386,000","208,124,000","201,936,000","196,706,000","193,800,000","187,667,000","180,675,000","173,807,000","174,977,000","169,992,000","171,877,000","168,711,000","161,413,000","167,573,000","162,258,000","156,879,000","155,233,000","153,573,000","154,712,000","153,956,000","161,347,000","160,358,000","160,785,000","160,104,000","160,272,000","163,269,000","162,359,000","155,757,000","151,998,000","146,351,000","139,958,000","135,088,000","112,044,000","140,900,000","125,600,000","126,100,000","116,084,000","119,900,000","71,100,000","45,400,000","37,234,000","32,700,000","29,800,000","26,300,000","24,693,000","23,100,000","18,400,000","16,500,000","15,200,000","13,600,000","15,300,000","11,900,000","11,000,000","10,500,000","9,000,000","1,500,000"
	OperatingRevenue,"2,294,850,000","601,197,000","580,774,000","561,743,000","551,135,000","555,802,000","567,404,000","576,405,000","601,651,000","593,566,000","587,613,000","577,263,000","566,184,000","578,520,000","575,982,000","569,239,000","560,792,000","555,291,000","550,500,000","530,512,000","522,326,000","518,240,000","516,211,000","502,307,000","508,498,000","480,841,000","475,360,000","457,459,000","442,367,000","440,654,000","430,525,000","413,806,000","400,075,000","382,450,000","393,127,000","389,234,000","312,131,000","257,384,000","271,904,000","258,805,000","252,454,000","241,091,000","251,077,000","244,859,000","235,808,000","231,892,000","225,558,000","220,468,000","215,587,000","193,741,000","222,051,000","222,144,000","219,483,000","220,353,000","218,492,000","214,222,000","211,872,000","212,181,000","208,067,000","201,740,000","197,251,000","200,079,000","188,761,000","180,882,000","173,807,000","175,206,000","170,200,000","172,325,000","175,325,000","161,844,000","167,916,000","162,570,000","157,086,000","184,208,000","153,573,000","156,269,000","155,386,000","161,598,000","161,169,000","162,059,000","161,803,000","160,272,000","163,269,000","163,820,000","162,580,000","151,998,000","146,351,000","139,958,000","135,088,000","112,044,000","140,900,000","125,600,000","126,100,000","124,800,000","119,900,000","71,100,000","45,400,000","37,200,000","32,700,000","29,800,000","26,300,000","24,700,000","23,100,000","18,400,000","16,500,000","15,200,000","13,600,000","15,300,000","11,900,000","11,000,000","10,500,000","9,000,000","1,500,000"
CostOfRevenue,"853,942,000","211,047,000","221,036,000","212,398,000","209,460,000","213,138,000","212,843,000","198,103,000","199,019,000","190,391,000","197,819,000","195,111,000","184,784,000","192,737,000","194,148,000","191,753,000","191,920,000","181,807,000","187,288,000","180,253,000","175,974,000","169,444,000","177,127,000","170,010,000","166,693,000","158,240,000","166,071,000","157,982,000","159,839,000","152,574,000","150,208,000","143,498,000","143,027,000","135,899,000","140,328,000","132,094,000","106,934,000","99,140,000","96,549,000","94,154,000","90,435,000","87,762,000","94,552,000","92,752,000","92,912,000","93,064,000","89,794,000","89,060,000","88,203,000","81,057,000","90,265,000","89,099,000","65,145,000","149,126,000","65,405,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,440,908,000","390,150,000","359,738,000","349,345,000","341,675,000","342,664,000","354,561,000","378,302,000","402,632,000","403,175,000","389,794,000","382,152,000","381,400,000","385,783,000","381,834,000","377,486,000","368,872,000","373,484,000","363,212,000","350,259,000","346,352,000","348,796,000","339,084,000","332,297,000","341,805,000","322,601,000","309,289,000","299,477,000","282,528,000","288,080,000","280,317,000","270,308,000","257,048,000","246,551,000","252,799,000","257,140,000","205,197,000","158,244,000","175,355,000","164,651,000","162,019,000","153,329,000","156,525,000","152,107,000","142,896,000","138,828,000","135,764,000","131,408,000","127,384,000","112,684,000","131,786,000","16,231,000","154,338,000","71,227,000","153,087,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"828,207,000","213,517,000","211,104,000","202,937,000","200,649,000","191,288,000","189,333,000","191,822,000","195,231,000","183,967,000","178,232,000","181,658,000","175,745,000","173,266,000","170,443,000","171,129,000","172,723,000","168,965,000","156,645,000","155,386,000","153,827,000","150,448,000","143,657,000","144,480,000","138,620,000","132,041,000","130,687,000","130,255,000","127,451,000","124,764,000","123,126,000","120,615,000","115,603,000","110,689,000","170,560,000","207,451,000","119,868,000","70,295,000","74,370,000","73,191,000","72,701,000","69,442,000","68,349,000","71,039,000","68,591,000","67,486,000","64,965,000","61,520,000","64,990,000","86,081,000","60,710,000","59,127,000","81,590,000","10,088,000","77,736,000","138,935,000","137,031,000","-100,709,000","132,930,000","128,108,000","126,318,000","121,774,000","116,613,000","116,253,000","111,516,000","114,055,000","112,274,000","110,755,000","111,548,000","106,735,000","111,712,000","107,265,000","105,074,000","236,155,000","102,725,000","100,495,000","100,051,000","224,747,000","101,062,000","95,477,000","93,087,000","91,049,000","91,162,000","89,647,000","87,532,000","84,850,000","82,506,000","80,955,000","76,934,000","527,616,000","-74,300,000","-69,800,000","-70,500,000","343,891,000","-67,000,000","-39,600,000","-24,000,000","133,223,000","-17,100,000","-15,900,000","-13,600,000","93,137,000","-12,400,000","-9,800,000","-8,900,000","-8,500,000","-7,800,000","-7,200,000","-7,000,000","-8,100,000","-5,100,000","-4,200,000","-700,000"
	SellingGeneralAndAdministration,"69,611,000","16,481,000","17,313,000","18,465,000","17,352,000","13,465,000","13,985,000","15,573,000","17,320,000","12,602,000","12,769,000","18,965,000","13,688,000","14,352,000","13,905,000","14,444,000","13,664,000","11,865,000","11,655,000","13,947,000","13,206,000","10,428,000","11,928,000","12,011,000","11,404,000","9,782,000","10,503,000","11,628,000","10,598,000","10,680,000","11,290,000","10,220,000","9,236,000","8,311,000","9,878,000","11,345,000","10,039,000","7,703,000","8,372,000","8,316,000","9,710,000","7,847,000","6,087,000","8,145,000","7,292,000","6,871,000","7,039,000","4,041,000","8,895,000","10,360,000","5,750,000","5,390,000","7,247,000","15,960,000","9,318,000","9,383,000","8,119,000","8,427,000","6,645,000","6,642,000","6,780,000","6,372,000","5,633,000","6,479,000","6,283,000","6,483,000","5,857,000","6,262,000","7,159,000","6,303,000","3,729,000","4,071,000","3,971,000","3,098,000","3,382,000","3,623,000","3,631,000","4,112,000","3,042,000","3,483,000","3,694,000","4,255,000","3,421,000","3,743,000","3,805,000","3,422,000","3,359,000","3,285,000","2,947,000","2,402,000","2,300,000","2,400,000","2,400,000","2,174,000","2,600,000","1,800,000","2,000,000","1,708,000","1,700,000","1,500,000","1,400,000","1,195,000","1,000,000","900,000","900,000","700,000","700,000","600,000","500,000","500,000","600,000","500,000","100,000"
		GeneralAndAdministrativeExpense,"69,611,000","16,481,000","17,313,000","18,465,000","17,352,000","13,465,000","13,985,000","15,573,000","17,320,000","12,602,000","12,769,000","18,965,000","13,688,000","14,352,000","13,905,000","14,444,000","13,664,000","11,865,000","11,655,000","13,947,000","13,206,000","10,428,000","11,928,000","12,011,000","11,404,000","9,782,000","10,503,000","11,628,000","10,598,000","10,680,000","11,290,000","10,220,000","9,236,000","8,311,000","9,878,000","11,345,000","10,039,000","7,703,000",,,,,,,,,,,,,,,,,,"9,383,000","8,119,000",,"6,645,000","6,642,000","6,780,000","6,372,000","5,633,000","6,479,000","6,283,000","6,483,000","5,857,000","6,262,000","7,159,000","6,303,000","3,729,000","4,071,000","3,971,000","3,098,000","3,382,000","3,623,000","3,631,000",,"3,042,000","3,483,000","3,694,000",,"3,421,000","3,743,000","3,805,000",,"3,359,000","3,285,000","2,947,000",,"2,300,000","2,400,000","2,400,000","2,174,000","2,600,000","1,800,000","2,000,000","1,708,000","1,700,000","1,500,000","1,400,000","1,195,000","1,000,000","900,000","900,000","700,000","700,000","600,000","500,000","500,000","600,000","500,000","100,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,383,000","8,119,000",,"6,645,000","6,642,000","6,780,000","6,372,000","5,633,000","6,479,000","6,283,000","6,483,000","5,857,000","6,262,000","7,159,000","6,303,000","3,729,000","4,071,000","3,971,000","3,098,000","3,382,000","3,623,000","3,631,000",,"3,042,000","3,483,000","3,694,000",,"3,421,000","3,743,000","3,805,000",,"3,359,000","3,285,000","2,947,000",,"2,300,000","2,400,000","2,400,000","2,200,000","2,600,000","1,800,000","2,000,000","1,700,000","1,700,000","1,500,000","1,400,000","1,000,000","1,000,000","900,000","900,000","700,000","700,000","600,000","500,000","500,000","600,000","500,000","100,000"
			OtherGandA,"69,611,000","16,481,000","17,313,000","18,465,000","17,352,000","13,465,000","13,985,000","15,573,000","17,320,000","12,602,000","12,769,000","18,965,000","13,688,000","14,352,000","13,905,000","14,444,000","13,664,000","11,865,000","11,655,000","13,947,000","13,206,000","10,428,000","11,928,000","12,011,000","11,404,000","9,782,000","10,503,000","11,628,000","10,598,000","10,680,000","11,290,000","10,220,000","9,236,000","8,311,000","9,878,000","11,345,000","10,039,000","7,703,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"3,812,000",,,,,,,,,"1,286,000","1,108,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
