name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"12,784,000,000","3,514,000,000","3,226,000,000","3,098,000,000","2,946,000,000","3,181,000,000","2,972,000,000","2,718,000,000","2,802,000,000","3,039,000,000","2,851,000,000","2,840,000,000","2,632,000,000","2,841,000,000","2,767,000,000","2,842,000,000","2,677,000,000","2,774,000,000","2,707,000,000","2,605,000,000","2,475,000,000","2,645,000,000","2,558,000,000","2,585,000,000","2,375,000,000","2,603,000,000","2,487,000,000","3,893,000,000","3,764,000,000","4,472,000,000","4,197,000,000","4,264,000,000","3,951,000,000","4,368,000,000","3,774,000,000","3,669,000,000","3,448,000,000","3,753,000,000","3,477,000,000","3,572,000,000","3,388,000,000","3,594,000,000","3,479,000,000","3,536,000,000","3,284,000,000","3,498,000,000","3,224,000,000","3,194,000,000","2,927,000,000","3,470,000,000","3,145,000,000","3,123,000,000","2,824,000,000","3,131,000,000","3,151,000,000","3,189,000,000","2,877,000,000","3,009,000,000","2,750,000,000","2,829,000,000","2,675,000,000","2,763,000,000","2,557,000,000","2,649,000,000","2,409,000,000","2,491,000,000","2,398,000,000","2,577,000,000","2,383,000,000","2,601,000,000","2,320,000,000","2,379,000,000","2,209,000,000","2,537,000,000","2,219,000,000","2,163,000,000","1,997,000,000","2,036,000,000","2,102,000,000","2,022,000,000","1,950,000,000","2,136,000,000","1,900,000,000","1,870,000,000","1,757,000,000","1,932,000,000","1,687,000,000","1,694,000,000","1,583,000,000","1,769,000,000","1,589,000,000","1,560,000,000","1,685,000,000","1,836,000,000","1,649,000,000","1,646,000,000","1,468,000,000","1,632,000,000","1,494,000,000","1,569,000,000","1,443,000,000","1,494,000,000","1,310,000,000","1,335,000,000","1,299,000,000","-2,191,000,000","2,456,000,000","2,465,000,000","2,318,000,000","2,500,000,000","2,315,000,000","2,316,000,000","2,193,000,000","2,395,000,000","2,228,000,000","2,215,000,000","2,041,000,000","2,303,000,000","2,116,000,000","2,080,000,000","2,296,000,000","2,390,000,000","2,212,000,000","2,197,000,000","2,122,000,000","2,174,000,000","2,020,000,000","2,003,000,000","1,903,000,000","1,961,000,000","1,808,000,000","1,856,000,000","1,774,000,000","1,825,000,000","1,708,000,000","1,693,000,000","1,635,000,000","1,647,000,000","1,585,000,000","1,534,000,000","1,457,000,000","1,435,000,000","1,382,000,000","1,422,000,000","1,367,000,000","838,700,000","519,100,000"
	OperatingRevenue,"12,784,000,000","3,514,000,000","3,226,000,000","3,098,000,000","2,946,000,000","3,181,000,000","2,972,000,000","2,718,000,000","2,802,000,000","3,039,000,000","2,851,000,000","2,840,000,000","2,632,000,000","2,841,000,000","2,767,000,000","2,842,000,000","2,677,000,000","2,774,000,000","2,707,000,000","2,605,000,000","2,475,000,000","2,645,000,000","2,558,000,000","2,585,000,000","2,375,000,000","2,603,000,000","2,487,000,000","3,893,000,000","3,764,000,000","4,472,000,000","4,197,000,000","4,264,000,000","3,951,000,000","4,368,000,000","3,774,000,000","3,669,000,000","3,448,000,000","3,753,000,000","3,477,000,000","3,572,000,000","3,388,000,000","3,594,000,000","3,479,000,000","3,536,000,000","3,284,000,000","3,498,000,000","3,224,000,000","3,194,000,000","2,927,000,000","3,470,000,000","3,145,000,000","3,123,000,000","2,824,000,000","3,131,000,000","3,151,000,000","3,189,000,000","2,877,000,000","3,009,000,000","2,750,000,000","2,829,000,000","2,675,000,000","2,763,000,000","2,557,000,000","2,649,000,000","2,409,000,000","2,491,000,000","2,398,000,000","2,577,000,000","2,383,000,000","2,601,000,000","2,320,000,000","2,379,000,000","2,209,000,000","2,537,000,000","2,219,000,000","2,163,000,000","1,997,000,000","2,036,000,000","2,102,000,000","2,022,000,000","1,950,000,000","2,136,000,000","1,900,000,000","1,870,000,000","1,757,000,000","1,932,000,000","1,687,000,000","1,694,000,000","1,583,000,000","1,769,000,000","1,589,000,000","1,560,000,000","1,685,000,000","1,836,000,000","1,649,000,000","1,646,000,000","1,468,000,000","1,632,000,000","1,494,000,000","1,569,000,000","1,443,000,000","1,494,000,000","1,310,000,000","1,335,000,000","1,299,000,000","-2,191,000,000","2,456,000,000","2,465,000,000","2,318,000,000","2,500,000,000","2,315,000,000","2,316,000,000","2,193,000,000","2,395,000,000","2,228,000,000","2,215,000,000","2,041,000,000","2,303,000,000","2,116,000,000","2,080,000,000","2,296,000,000","2,390,000,000","2,212,000,000","2,197,000,000","2,122,000,000","2,174,000,000","2,020,000,000","2,003,000,000","1,903,000,000","1,961,000,000","1,808,000,000","1,856,000,000","1,774,000,000","1,825,000,000","1,708,000,000","1,693,000,000","1,635,000,000","1,647,000,000","1,585,000,000","1,534,000,000","1,457,000,000","1,435,000,000","1,382,000,000","1,422,000,000","1,367,000,000","838,700,000","519,100,000"
CostOfRevenue,"7,679,000,000","2,108,000,000","1,905,000,000","1,865,000,000","1,801,000,000","1,990,000,000","1,777,000,000","1,680,000,000","1,639,000,000","1,741,000,000","1,621,000,000","1,681,000,000","1,552,000,000","1,649,000,000","1,531,000,000","1,603,000,000","1,563,000,000","1,612,000,000","1,579,000,000","1,475,000,000","1,433,000,000","1,543,000,000","1,487,000,000","1,613,000,000","1,410,000,000","1,531,000,000","1,453,000,000","1,973,000,000","1,963,000,000","2,248,000,000","2,124,000,000","2,223,000,000","1,990,000,000","2,414,000,000","1,828,000,000","1,730,000,000","1,692,000,000","1,848,000,000","1,667,000,000","1,700,000,000","1,674,000,000","1,829,000,000","1,708,000,000","1,701,000,000","1,609,000,000","1,880,000,000","1,565,000,000","1,556,000,000","1,884,000,000","1,703,000,000","1,513,000,000","1,485,000,000","1,336,000,000","1,529,000,000","1,630,000,000","1,562,000,000","1,497,000,000","1,524,000,000","1,374,000,000","1,437,000,000","1,409,000,000","1,448,000,000","1,342,000,000","1,494,000,000","1,357,000,000","1,490,000,000","1,388,000,000","1,464,000,000","1,414,000,000","1,481,000,000","1,357,000,000","1,440,000,000","1,315,000,000","1,397,000,000","1,247,000,000","1,190,000,000","1,117,000,000","997,000,000","1,156,000,000","1,101,000,000","1,064,000,000","1,152,000,000","1,045,000,000","1,044,000,000","986,000,000","972,000,000","816,000,000","867,000,000","804,000,000","898,000,000","828,000,000","766,000,000","843,000,000","919,000,000","826,000,000","793,000,000","711,000,000","792,000,000","739,000,000","773,000,000","683,000,000","745,000,000","644,000,000","663,000,000","645,000,000","-2,029,000,000","1,531,000,000","1,532,000,000","1,435,000,000","1,484,000,000","1,374,000,000","1,392,000,000","1,325,000,000","1,408,000,000","1,295,000,000","1,287,000,000","1,173,000,000","1,288,000,000","1,196,000,000","1,180,000,000","1,368,000,000","1,396,000,000","1,285,000,000","1,280,000,000","1,263,000,000","1,277,000,000","1,184,000,000","1,186,000,000","1,167,000,000","1,175,000,000","1,065,000,000","1,105,000,000","1,041,000,000",,,,,,,,,,,,,,
GrossProfit,"5,105,000,000","1,406,000,000","1,321,000,000","1,233,000,000","1,145,000,000","1,191,000,000","1,195,000,000","1,038,000,000","1,163,000,000","1,298,000,000","1,230,000,000","1,159,000,000","1,080,000,000","1,192,000,000","1,236,000,000","1,239,000,000","1,114,000,000","1,162,000,000","1,128,000,000","1,130,000,000","1,042,000,000","1,102,000,000","1,071,000,000","972,000,000","965,000,000","1,072,000,000","1,034,000,000","1,920,000,000","1,801,000,000","2,224,000,000","2,073,000,000","2,041,000,000","1,961,000,000","1,954,000,000","1,946,000,000","1,939,000,000","1,756,000,000","1,905,000,000","1,810,000,000","1,872,000,000","1,714,000,000","1,765,000,000","1,771,000,000","1,835,000,000","1,675,000,000","1,618,000,000","1,659,000,000","1,638,000,000","1,043,000,000","1,767,000,000","1,632,000,000","1,638,000,000","1,488,000,000","1,602,000,000","1,521,000,000","1,627,000,000","1,380,000,000","1,485,000,000","1,376,000,000","1,392,000,000","1,266,000,000","1,315,000,000","1,215,000,000","1,155,000,000","1,052,000,000","1,001,000,000","1,010,000,000","1,113,000,000","969,000,000","1,120,000,000","963,000,000","939,000,000","894,000,000","1,140,000,000","972,000,000","973,000,000","880,000,000","1,039,000,000","946,000,000","921,000,000","886,000,000","984,000,000","855,000,000","826,000,000","771,000,000","960,000,000","871,000,000","827,000,000","779,000,000","871,000,000","761,000,000","794,000,000","842,000,000","917,000,000","823,000,000","853,000,000","757,000,000","840,000,000","755,000,000","796,000,000","760,000,000","749,000,000","666,000,000","672,000,000","654,000,000","-162,000,000","925,000,000","933,000,000","883,000,000","1,016,000,000","941,000,000","924,000,000","868,000,000","987,000,000","933,000,000","928,000,000","868,000,000","1,015,000,000","920,000,000","900,000,000","928,000,000","994,000,000","927,000,000","917,000,000","859,000,000","897,000,000","836,000,000","817,000,000","736,000,000","786,000,000","743,000,000","751,000,000","733,000,000",,,,,,,,,,,,,,
OperatingExpense,"3,412,000,000","1,040,000,000","808,000,000","812,000,000","755,000,000","831,000,000","724,000,000","707,000,000","754,000,000","1,577,000,000","771,000,000","804,000,000","713,000,000","705,000,000","838,000,000","855,000,000","762,000,000","879,000,000","836,000,000","791,000,000","698,000,000","820,000,000","885,000,000","904,000,000","777,000,000","894,000,000","942,000,000","1,485,000,000","1,315,000,000","1,426,000,000","1,495,000,000","1,323,000,000","1,233,000,000","1,501,000,000","1,274,000,000","1,111,000,000","1,041,000,000","1,331,000,000","1,033,000,000","1,095,000,000","1,021,000,000","1,140,000,000","1,026,000,000","1,004,000,000","930,000,000","1,095,000,000","877,000,000","940,000,000","910,000,000","1,034,000,000","900,000,000","891,000,000","823,000,000","900,000,000","911,000,000","925,000,000","830,000,000","875,000,000","866,000,000","798,000,000","742,000,000","793,000,000","711,000,000","728,000,000","664,000,000","653,000,000","624,000,000","670,000,000","640,000,000","917,000,000","586,000,000","661,000,000","603,000,000","622,000,000","575,000,000","603,000,000","549,000,000","528,000,000","507,000,000","513,000,000","515,000,000","540,000,000","469,000,000","476,000,000","458,000,000","616,000,000","543,000,000","515,000,000","495,000,000","543,000,000","463,000,000","511,000,000","568,000,000","601,000,000","566,000,000","564,000,000","500,000,000","570,000,000","519,000,000","535,000,000","522,000,000","495,000,000","440,000,000","453,000,000","442,000,000","-195,000,000","673,000,000","656,000,000","631,000,000","721,000,000","692,000,000","672,000,000","641,000,000","1,406,000,000","697,000,000","724,000,000","650,000,000","722,000,000","644,000,000","643,000,000","681,000,000","680,000,000","643,000,000","650,000,000","636,000,000","623,000,000","582,000,000","576,000,000","1,143,000,000","512,000,000","547,000,000","562,000,000","558,000,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"2,878,000,000","896,000,000","680,000,000","678,000,000","627,000,000","696,000,000","601,000,000","590,000,000","628,000,000","1,421,000,000","627,000,000","642,000,000","584,000,000","620,000,000","672,000,000","681,000,000","622,000,000","697,000,000","685,000,000","635,000,000","570,000,000","663,000,000","726,000,000","709,000,000","641,000,000","733,000,000","794,000,000","1,097,000,000","1,015,000,000","1,091,000,000","1,040,000,000","998,000,000","920,000,000","1,064,000,000","984,000,000","838,000,000","795,000,000","1,040,000,000","743,000,000","789,000,000","752,000,000","886,000,000","787,000,000","765,000,000","716,000,000","833,000,000","670,000,000","721,000,000","683,000,000","788,000,000","672,000,000","660,000,000","611,000,000","674,000,000","681,000,000","703,000,000","640,000,000","654,000,000","663,000,000","621,000,000","583,000,000","612,000,000","562,000,000","582,000,000","526,000,000","519,000,000","491,000,000","537,000,000","507,000,000","789,000,000","462,000,000","532,000,000","464,000,000","481,000,000","438,000,000","464,000,000","413,000,000","387,000,000","385,000,000","390,000,000","400,000,000","413,000,000","352,000,000","361,000,000","343,000,000","406,000,000","328,000,000","336,000,000","315,000,000","360,000,000","328,000,000","319,000,000","362,000,000","397,000,000","361,000,000","361,000,000","307,000,000","361,000,000","325,000,000","347,000,000","323,000,000","312,000,000","272,000,000","282,000,000","276,000,000","-237,000,000","451,000,000","446,000,000","424,000,000","492,000,000","468,000,000","459,000,000","440,000,000","1,275,000,000","573,000,000","602,000,000","533,000,000","602,000,000","533,000,000","540,000,000","568,000,000","568,000,000","539,000,000","542,000,000","533,000,000","527,000,000","484,000,000","482,000,000","1,048,000,000","421,000,000","453,000,000","471,000,000","466,000,000",,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"2,878,000,000",,,"678,000,000",,"696,000,000","601,000,000","590,000,000","628,000,000","1,421,000,000","627,000,000","642,000,000","584,000,000","-9,000,000","-13,000,000","-14,000,000","-12,000,000",,,,,,,,,,,,,"1,091,000,000",,,"920,000,000",,,,"795,000,000",,,,"752,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"11,000,000",,,"3,000,000",,,,,"-1,000,000","750,000,000","-17,000,000","-15,000,000","-16,000,000","-9,000,000","-13,000,000","-14,000,000","-12,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"2,867,000,000",,,"675,000,000",,"650,000,000","601,000,000","590,000,000","628,000,000","666,000,000","627,000,000","642,000,000","600,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,"629,000,000","685,000,000","681,000,000","622,000,000","697,000,000","685,000,000","635,000,000","570,000,000","663,000,000","726,000,000","709,000,000","641,000,000","733,000,000","794,000,000","1,097,000,000","1,015,000,000","1,091,000,000","1,040,000,000","998,000,000","920,000,000","1,064,000,000","984,000,000","838,000,000","795,000,000","1,040,000,000",,,,"886,000,000","787,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
