name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"62,286,000,000","14,793,000,000","15,278,000,000","16,998,000,000","15,217,000,000","15,304,000,000","14,139,000,000","11,807,000,000","16,908,000,000","17,911,000,000","19,980,000,000","15,751,000,000","22,917,000,000","28,341,000,000","25,146,000,000","24,258,000,000","23,382,000,000","25,368,000,000","24,309,000,000","22,739,000,000","20,976,000,000","23,286,000,000","23,898,000,000","24,755,000,000","22,632,000,000","23,573,000,000","25,849,000,000","24,543,000,000","22,149,000,000","24,468,000,000","23,784,000,000","22,045,000,000","20,465,000,000","23,785,000,000","22,130,000,000","21,815,000,000","18,893,000,000","22,302,000,000","20,008,000,000","20,005,000,000","19,383,000,000","19,555,000,000","17,727,000,000","16,543,000,000","14,910,000,000","16,550,000,000","16,967,000,000","15,573,000,000","15,216,000,000","17,937,000,000","16,688,000,000","17,154,000,000","16,502,000,000","12,664,000,000","15,293,000,000","16,962,000,000","15,990,000,000","17,477,000,000","16,517,000,000","17,028,000,000","15,365,000,000","17,541,000,000","14,739,000,000","14,986,000,000","14,264,000,000","14,204,000,000","12,629,000,000","15,028,000,000","12,987,000,000","13,314,000,000","13,152,000,000","13,088,000,000","12,959,000,000","13,198,000,000","12,242,000,000","12,785,000,000","12,260,000,000","13,701,000,000","12,690,000,000","13,857,000,000","13,821,000,000","15,702,000,000","13,687,000,000","15,516,000,000","13,293,000,000","14,693,000,000","11,877,000,000","14,841,000,000","9,910,000,000","15,200,000,000","13,279,000,000","15,132,000,000","14,392,000,000","17,107,000,000","12,717,000,000","13,389,000,000","12,941,000,000","11,727,000,000","11,371,000,000","9,289,000,000","7,318,000,000","6,512,000,000","5,601,000,000","6,275,000,000","4,293,000,000","4,539,000,000","4,381,000,000","5,558,000,000","5,037,000,000","5,120,000,000","5,063,000,000","5,396,000,000","6,345,000,000","5,656,000,000","5,153,000,000","7,985,000,000","6,644,000,000","7,497,000,000","6,897,000,000","7,823,000,000","7,967,000,000","7,753,000,000","7,657,000,000","7,813,000,000","6,091,000,000","7,015,000,000","7,176,000,000","6,969,000,000","6,435,000,000","4,847,000,000","6,356,000,000","5,072,000,000","4,001,000,000","4,872,000,000","3,722,000,000","4,726,000,000","3,642,000,000","4,599,000,000","3,515,000,000","3,478,000,000","3,763,000,000","4,982,000,000","3,805,000,000","4,027,000,000","3,527,000,000","4,239,000,000","3,093,000,000"
	OperatingRevenue,"62,286,000,000","14,793,000,000","15,278,000,000","16,998,000,000","15,217,000,000","15,304,000,000","14,139,000,000","11,807,000,000","16,908,000,000","17,911,000,000","19,980,000,000","15,751,000,000","22,917,000,000","28,341,000,000","25,146,000,000","24,258,000,000","23,382,000,000","25,368,000,000","24,309,000,000","22,739,000,000","20,976,000,000","23,286,000,000","23,898,000,000","24,755,000,000","22,632,000,000","23,573,000,000","25,849,000,000","24,543,000,000","22,149,000,000","24,468,000,000","23,784,000,000","22,045,000,000","20,465,000,000","23,785,000,000","22,130,000,000","21,815,000,000","18,893,000,000","22,302,000,000","20,008,000,000","20,005,000,000","19,383,000,000","19,555,000,000","17,727,000,000","16,543,000,000","14,910,000,000","16,550,000,000","16,967,000,000","15,573,000,000","15,216,000,000","17,937,000,000","16,688,000,000","17,154,000,000","16,502,000,000","12,664,000,000","15,293,000,000","16,962,000,000","15,990,000,000","17,477,000,000","16,517,000,000","17,028,000,000","15,365,000,000","17,541,000,000","14,739,000,000","14,986,000,000","14,264,000,000","14,204,000,000","12,629,000,000","15,028,000,000","12,987,000,000","13,314,000,000","13,152,000,000","13,088,000,000","12,959,000,000","13,198,000,000","12,242,000,000","12,785,000,000","12,260,000,000","13,701,000,000","12,690,000,000","13,857,000,000","13,821,000,000","15,702,000,000","13,687,000,000","15,516,000,000","13,293,000,000","14,693,000,000","11,877,000,000","14,841,000,000","9,910,000,000","15,200,000,000","13,279,000,000","15,132,000,000","14,392,000,000","17,107,000,000","12,717,000,000","13,389,000,000","12,941,000,000","11,727,000,000","11,371,000,000","9,289,000,000","7,318,000,000","6,512,000,000","5,601,000,000","6,275,000,000","4,293,000,000","4,539,000,000","4,381,000,000","5,558,000,000","5,037,000,000","5,120,000,000","5,063,000,000","5,396,000,000","6,345,000,000","5,656,000,000","5,153,000,000","7,985,000,000","6,644,000,000","7,497,000,000","6,897,000,000","7,823,000,000","7,967,000,000","7,753,000,000","7,657,000,000","7,813,000,000","6,091,000,000","7,015,000,000","7,176,000,000","6,969,000,000","6,435,000,000","4,847,000,000","6,356,000,000","5,072,000,000","4,001,000,000","4,872,000,000","3,722,000,000","4,726,000,000","3,642,000,000","4,599,000,000","3,515,000,000","3,478,000,000","3,763,000,000","4,982,000,000","3,805,000,000","4,027,000,000","3,527,000,000","4,239,000,000","3,093,000,000"
CostOfRevenue,"59,269,000,000","17,307,000,000","13,566,000,000","14,588,000,000","13,808,000,000","20,992,000,000","13,105,000,000","12,978,000,000","16,768,000,000","18,708,000,000","16,930,000,000","17,810,000,000","18,645,000,000","22,090,000,000","21,040,000,000","19,536,000,000","18,824,000,000","20,427,000,000","19,987,000,000","18,388,000,000","17,264,000,000","19,464,000,000","19,904,000,000","22,325,000,000","19,097,000,000","20,642,000,000","21,600,000,000","21,350,000,000","18,496,000,000","20,711,000,000","20,075,000,000","18,670,000,000","17,296,000,000","20,388,000,000","18,674,000,000","18,450,000,000","15,756,000,000","19,041,000,000","16,794,000,000","16,740,000,000","16,069,000,000","16,261,000,000","14,357,000,000","13,200,000,000","12,049,000,000","13,413,000,000","13,746,000,000","12,540,000,000","12,144,000,000","14,508,000,000","14,480,000,000","13,807,000,000","13,745,000,000","11,437,000,000","12,487,000,000","13,885,000,000","12,543,000,000","14,545,000,000","13,134,000,000","13,536,000,000","12,187,000,000","14,718,000,000","11,803,000,000","12,512,000,000","11,404,000,000","12,435,000,000","10,693,000,000","12,391,000,000","10,689,000,000","12,275,000,000","11,164,000,000","10,875,000,000","10,728,000,000","11,669,000,000","10,451,000,000","11,646,000,000","10,538,000,000","11,371,000,000","11,025,000,000","11,532,000,000","11,571,000,000","13,331,000,000","11,410,000,000","12,967,000,000","11,070,000,000","12,228,000,000","9,993,000,000","12,944,000,000","8,547,000,000","13,340,000,000","11,802,000,000","13,418,000,000","12,763,000,000","15,467,000,000","11,265,000,000","11,976,000,000","11,838,000,000","10,108,000,000","11,337,000,000","8,756,000,000","6,877,000,000","6,090,000,000","5,307,000,000","5,791,000,000","4,139,000,000","4,399,000,000","4,158,000,000","5,245,000,000","4,811,000,000","4,898,000,000","4,837,000,000","5,126,000,000","5,912,000,000","4,931,000,000","4,657,000,000","7,173,000,000","5,961,000,000","6,836,000,000","6,186,000,000","6,993,000,000","7,168,000,000","7,023,000,000","6,931,000,000","7,025,000,000","5,555,000,000","6,443,000,000","6,644,000,000","6,389,000,000","5,911,000,000","4,636,000,000","5,948,000,000","4,747,000,000",,,,,,,,,,,,,,,
GrossProfit,"3,017,000,000","-2,514,000,000","1,712,000,000","2,410,000,000","1,409,000,000","-5,688,000,000","1,034,000,000","-1,171,000,000","140,000,000","-797,000,000","3,050,000,000","-2,059,000,000","4,272,000,000","6,251,000,000","4,106,000,000","4,722,000,000","4,558,000,000","4,941,000,000","4,322,000,000","4,351,000,000","3,712,000,000","3,822,000,000","3,994,000,000","2,430,000,000","3,535,000,000","2,931,000,000","4,249,000,000","3,193,000,000","3,653,000,000","3,757,000,000","3,709,000,000","3,375,000,000","3,169,000,000","3,397,000,000","3,456,000,000","3,365,000,000","3,137,000,000","3,261,000,000","3,214,000,000","3,265,000,000","3,314,000,000","3,294,000,000","3,370,000,000","3,343,000,000","2,861,000,000","3,137,000,000","3,221,000,000","3,033,000,000","3,072,000,000","3,429,000,000","2,208,000,000","3,347,000,000","2,757,000,000","1,227,000,000","2,806,000,000","3,077,000,000","3,447,000,000","2,932,000,000","3,383,000,000","3,492,000,000","3,178,000,000","2,823,000,000","2,936,000,000","2,474,000,000","2,860,000,000","1,769,000,000","1,936,000,000","2,637,000,000","2,298,000,000","1,039,000,000","1,988,000,000","2,213,000,000","2,231,000,000","1,529,000,000","1,791,000,000","1,139,000,000","1,722,000,000","2,330,000,000","1,665,000,000","2,325,000,000","2,250,000,000","2,371,000,000","2,277,000,000","2,549,000,000","2,223,000,000","2,465,000,000","1,884,000,000","1,897,000,000","1,363,000,000","1,860,000,000","1,477,000,000","1,714,000,000","1,629,000,000","1,640,000,000","1,452,000,000","1,413,000,000","1,103,000,000","1,619,000,000","34,000,000","533,000,000","441,000,000","422,000,000","294,000,000","484,000,000","154,000,000","140,000,000","223,000,000","313,000,000","226,000,000","222,000,000","226,000,000","270,000,000","433,000,000","725,000,000","496,000,000","812,000,000","683,000,000","661,000,000","711,000,000","830,000,000","799,000,000","730,000,000","726,000,000","788,000,000","536,000,000","572,000,000","532,000,000","580,000,000","524,000,000","211,000,000","408,000,000","325,000,000",,,,,,,,,,,,,,,
OperatingExpense,"6,406,000,000","1,666,000,000","1,672,000,000","1,537,000,000","1,531,000,000","2,433,000,000","1,529,000,000","1,786,000,000","1,545,000,000","1,801,000,000","1,779,000,000","1,498,000,000","2,050,000,000","2,074,000,000","1,980,000,000","2,021,000,000","1,761,000,000","1,967,000,000","1,682,000,000","1,853,000,000","1,771,000,000","1,725,000,000","1,780,000,000","2,933,000,000","1,805,000,000","1,836,000,000","1,746,000,000","1,560,000,000","1,714,000,000","1,795,000,000","1,682,000,000","1,651,000,000","1,686,000,000","1,948,000,000","1,711,000,000","1,692,000,000","1,676,000,000","1,907,000,000","1,649,000,000","1,715,000,000","1,744,000,000","1,701,000,000","1,656,000,000","1,829,000,000","1,861,000,000","2,040,000,000","1,848,000,000","1,726,000,000","1,898,000,000","1,526,000,000","4,443,000,000","1,888,000,000","1,732,000,000","1,645,000,000","1,605,000,000","1,832,000,000","1,648,000,000","1,476,000,000","1,862,000,000","1,988,000,000","1,867,000,000","1,859,000,000","1,713,000,000","2,528,000,000","1,899,000,000","1,745,000,000","1,173,000,000","1,827,000,000","1,611,000,000","1,122,000,000","1,477,000,000","1,569,000,000","1,393,000,000","-59,000,000","1,358,000,000","1,432,000,000","2,095,000,000","1,247,000,000","1,103,000,000","1,050,000,000","1,258,000,000","1,170,000,000","1,211,000,000","1,182,000,000","1,005,000,000","1,196,000,000","1,019,000,000","972,000,000","807,000,000","890,000,000","809,000,000","921,000,000","890,000,000","1,016,000,000","1,026,000,000","997,000,000","1,002,000,000","2,542,000,000","1,013,000,000",,,,,,,"0",,"600,000,000",,,,,,"291,000,000","250,000,000","231,000,000","253,000,000","278,000,000","242,000,000","225,000,000","216,000,000","232,000,000","216,000,000","212,000,000","166,000,000","192,000,000","143,000,000","191,000,000","152,000,000","183,000,000","146,000,000","155,000,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"4,157,000,000","988,000,000","1,097,000,000","1,040,000,000","1,032,000,000","1,828,000,000","955,000,000","1,161,000,000","873,000,000","1,052,000,000","1,001,000,000","672,000,000","1,184,000,000","1,222,000,000","1,154,000,000","1,194,000,000","997,000,000","1,206,000,000","915,000,000","1,040,000,000","933,000,000","999,000,000","923,000,000","806,000,000","888,000,000","931,000,000","889,000,000","760,000,000","945,000,000","1,040,000,000","932,000,000","918,000,000","877,000,000","1,100,000,000","956,000,000","929,000,000","971,000,000","943,000,000","916,000,000","903,000,000","955,000,000","864,000,000","807,000,000","870,000,000","866,000,000","977,000,000","936,000,000","778,000,000","953,000,000","780,000,000","868,000,000","925,000,000","791,000,000","734,000,000","740,000,000","835,000,000","775,000,000","796,000,000","931,000,000","976,000,000","828,000,000","1,094,000,000","834,000,000","1,162,000,000","1,081,000,000","939,000,000","1,172,000,000","1,057,000,000","1,071,000,000","899,000,000","947,000,000","988,000,000","829,000,000","735,000,000","853,000,000","910,000,000","726,000,000","740,000,000","728,000,000","737,000,000","776,000,000","775,000,000","644,000,000","743,000,000","605,000,000","819,000,000","673,000,000","609,000,000","550,000,000","593,000,000","548,000,000","575,000,000","537,000,000","552,000,000","571,000,000","508,000,000","515,000,000","682,000,000","557,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"4,157,000,000","988,000,000","1,097,000,000","1,040,000,000","1,032,000,000","1,828,000,000","955,000,000","1,161,000,000","873,000,000","1,052,000,000","1,001,000,000","672,000,000","1,184,000,000","1,222,000,000","1,154,000,000","1,194,000,000","997,000,000","1,206,000,000","915,000,000","1,040,000,000","933,000,000","999,000,000","923,000,000","806,000,000","888,000,000","931,000,000","889,000,000","760,000,000","945,000,000","1,040,000,000","932,000,000","918,000,000","877,000,000","1,100,000,000","956,000,000","929,000,000","971,000,000","943,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"4,157,000,000","988,000,000","1,097,000,000","1,040,000,000","1,032,000,000","1,828,000,000","955,000,000","1,161,000,000","873,000,000","1,052,000,000","1,001,000,000","672,000,000","1,184,000,000","1,222,000,000","1,154,000,000","1,194,000,000","997,000,000","1,206,000,000","915,000,000","1,040,000,000","933,000,000","999,000,000","923,000,000","806,000,000","888,000,000","931,000,000","889,000,000","760,000,000","945,000,000","1,040,000,000","932,000,000","918,000,000","877,000,000","1,100,000,000","956,000,000","929,000,000","971,000,000","943,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"2,249,000,000","678,000,000","575,000,000","497,000,000","499,000,000","605,000,000","574,000,000","625,000,000","672,000,000","749,000,000","778,000,000","826,000,000","866,000,000","852,000,000","826,000,000","827,000,000","764,000,000","761,000,000","767,000,000","813,000,000","838,000,000","726,000,000","857,000,000","2,127,000,000","917,000,000","905,000,000","857,000,000","800,000,000","769,000,000","755,000,000","750,000,000","733,000,000","809,000,000","848,000,000","755,000,000","763,000,000","705,000,000","753,000,000","853,000,000","857,000,000","835,000,000","913,000,000","901,000,000","1,047,000,000","1,057,000,000","1,134,000,000","986,000,000","1,001,000,000","1,000,000,000","1,002,000,000","3,574,000,000","960,000,000","970,000,000","957,000,000","937,000,000","1,005,000,000","869,000,000","993,000,000","869,000,000","989,000,000","999,000,000","937,000,000","833,000,000","739,000,000","748,000,000","601,000,000","521,000,000","591,000,000","492,000,000","414,000,000","469,000,000","522,000,000","474,000,000","439,000,000","414,000,000","437,000,000","361,000,000","424,000,000","371,000,000","385,000,000","459,000,000","538,000,000","515,000,000","461,000,000","422,000,000","417,000,000","361,000,000","375,000,000","288,000,000","315,000,000","315,000,000","350,000,000","361,000,000","464,000,000","455,000,000","489,000,000","487,000,000","460,000,000","456,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"291,000,000","250,000,000","231,000,000","253,000,000","278,000,000","242,000,000","225,000,000","216,000,000","232,000,000","216,000,000","212,000,000","166,000,000","192,000,000","143,000,000","191,000,000","152,000,000","183,000,000","146,000,000","155,000,000",,,,,,,,,,,,,,,
