name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"3,749,000,000","1,037,000,000","994,000,000","906,000,000","812,000,000","911,000,000","985,000,000","753,000,000","709,000,000","899,000,000","989,000,000","766,000,000","744,000,000","904,000,000","910,000,000","766,000,000","733,000,000","878,000,000","914,000,000","723,000,000","695,000,000","808,000,000","830,000,000","661,000,000","729,000,000","809,000,000","854,000,000","699,000,000","739,000,000","813,000,000","877,000,000","705,000,000","689,000,000","782,000,000","833,000,000","686,000,000","659,600,000","746,900,000","776,700,000","665,800,000","602,400,000","701,600,000","781,100,000","637,800,000","610,200,000","708,000,000","905,700,000","569,400,000","562,000,000","637,400,000","698,800,000","570,800,000","536,800,000","592,400,000","737,900,000","790,000,000","606,900,000","672,400,000","715,600,000","739,100,000","548,700,000","582,100,000","590,300,000","511,300,000","471,900,000","504,000,000","550,400,000","450,000,000","515,400,000","630,500,000","670,100,000","496,000,000","531,100,000","593,900,000","627,100,000","460,800,000","479,300,000","549,500,000","607,100,000","424,100,000","460,300,000","503,900,000","575,800,000","418,000,000","444,100,000","495,300,000","574,100,000","410,400,000","430,200,000","495,200,000","567,200,000","384,500,000","421,500,000","459,300,000","505,100,000","390,100,000","395,900,000","418,200,000","483,100,000","371,800,000","369,300,000","393,200,000","456,300,000","365,000,000","365,495,000","384,500,000","441,900,000","352,100,000","310,600,000","375,900,000","415,000,000","318,700,000","334,400,000","348,600,000","465,700,000","389,700,000","342,100,000","353,200,000","392,800,000","326,400,000","306,300,000","313,500,000","381,000,000","259,300,000","268,700,000","282,200,000","315,500,000","252,400,000","224,200,000","253,300,000","317,000,000","222,100,000","196,300,000","273,000,000","303,000,000","233,500,000","238,600,000","271,700,000","309,000,000","247,300,000","275,100,000","257,400,000","389,100,000","257,300,000","244,200,000","240,100,000","297,200,000"
	OperatingRevenue,"4,876,000,000","1,365,000,000","1,283,000,000","1,183,000,000","1,045,000,000","1,222,000,000","1,272,000,000","987,000,000","902,000,000","1,178,000,000","1,248,000,000","978,000,000","947,000,000","1,181,000,000","1,161,000,000","987,000,000","950,000,000","1,156,000,000","1,166,000,000","929,000,000","888,000,000","1,059,000,000","1,055,000,000","856,000,000","933,000,000","1,083,000,000","1,096,000,000","900,000,000","947,000,000","1,093,000,000","1,135,000,000","921,000,000","893,000,000","1,078,000,000","1,079,000,000","896,000,000","865,200,000","1,026,900,000","1,013,800,000","878,100,000","800,900,000","959,000,000","1,013,700,000","840,300,000","791,000,000","962,400,000","1,113,000,000","744,900,000","733,500,000","861,700,000","892,900,000","737,900,000","683,100,000","784,100,000","737,900,000","966,200,000","772,100,000","877,400,000","893,400,000","891,100,000","690,600,000","754,800,000","590,300,000","639,700,000","594,000,000","636,800,000","665,800,000","548,000,000","613,000,000","758,300,000","779,700,000","578,000,000","622,200,000","697,000,000","725,200,000","532,600,000","571,300,000","635,600,000","691,600,000","479,600,000","273,700,000","570,500,000","644,100,000","469,700,000","444,100,000","495,300,000","574,100,000","410,400,000","430,200,000","495,200,000","567,200,000","384,500,000","421,500,000","459,300,000","505,100,000","390,100,000","395,900,000","418,200,000","483,100,000","371,800,000","369,300,000","393,200,000","456,300,000","365,000,000","365,495,000","384,500,000","441,900,000","352,100,000","310,600,000","375,900,000","415,000,000","318,700,000","334,400,000","348,600,000","465,700,000","389,700,000","342,100,000","353,200,000","392,800,000","326,400,000","306,300,000","313,500,000","381,000,000","259,300,000","268,700,000","282,200,000","315,500,000","252,400,000","224,200,000","253,300,000","317,000,000","222,100,000","196,300,000","273,000,000","303,000,000","233,500,000","238,600,000","271,700,000","309,000,000","247,300,000","275,100,000","257,400,000","389,100,000","257,300,000","244,200,000","240,100,000","297,200,000"
	ExciseTaxes,"1,127,000,000","328,000,000","289,000,000","277,000,000","233,000,000","311,000,000","287,000,000","234,000,000","193,000,000","279,000,000","259,000,000","212,000,000","203,000,000","277,000,000","251,000,000","221,000,000","217,000,000","278,000,000","252,000,000","206,000,000","193,000,000","251,000,000","225,000,000","195,000,000","204,000,000","274,000,000","242,000,000","201,000,000","208,000,000","280,000,000","258,000,000","216,000,000","204,000,000","296,000,000","246,000,000","210,000,000","205,600,000","280,000,000","237,100,000","212,300,000","198,500,000","257,400,000","232,600,000","202,500,000","180,800,000","254,400,000","207,300,000","175,500,000","171,500,000","224,300,000","194,100,000","167,100,000","146,300,000","191,700,000",,"176,200,000","165,200,000","205,000,000","177,800,000","152,000,000","141,900,000","172,700,000",,"128,400,000","122,100,000","132,800,000","115,400,000","98,000,000","97,600,000","127,800,000","109,600,000","82,000,000","91,100,000","103,100,000","98,100,000","71,800,000","92,000,000","86,100,000","84,500,000","55,500,000",,"66,600,000","68,300,000","51,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"1,486,000,000","415,000,000","404,000,000","353,000,000","314,000,000","361,000,000","404,000,000","288,000,000","256,000,000","342,000,000","370,000,000","268,000,000","262,000,000","333,000,000","320,000,000","243,000,000","221,000,000","291,000,000","304,000,000","230,000,000","215,000,000","272,000,000","278,000,000","208,000,000","216,000,000","254,000,000","268,000,000","208,000,000","213,000,000","260,000,000","268,000,000","210,000,000","196,000,000","250,000,000","257,000,000","209,000,000","199,900,000","240,200,000","252,200,000","201,700,000","180,600,000","250,700,000","279,200,000","217,500,000","187,300,000","244,500,000","239,600,000","190,600,000","185,000,000","226,500,000","255,800,000","190,700,000","177,900,000","221,800,000","271,200,000","233,000,000","205,500,000","239,800,000","245,600,000","196,100,000","186,600,000","194,800,000","204,900,000","159,900,000","145,700,000","169,600,000","193,000,000","147,000,000","189,200,000","255,200,000","269,200,000","198,400,000","215,200,000","249,000,000","262,300,000","188,500,000","192,000,000","241,000,000","268,300,000","176,700,000","186,900,000","221,900,000","246,100,000","170,100,000","171,900,000","188,900,000","217,600,000","139,500,000","149,200,000","196,100,000","229,800,000","137,100,000","157,300,000","181,200,000","194,500,000","143,000,000","151,100,000","154,500,000","191,700,000","141,700,000","139,600,000","161,500,000","188,100,000","141,000,000","142,500,000","156,100,000","181,800,000","137,600,000","127,800,000","140,100,000","168,900,000","116,100,000","127,000,000","135,800,000","156,100,000","119,100,000","132,600,000","143,200,000","154,300,000","124,600,000","118,400,000","120,400,000","150,400,000","97,900,000","92,800,000","109,500,000","130,300,000","94,300,000","86,700,000","97,400,000","126,900,000","81,100,000",,,,,,,,,,,,,,,
GrossProfit,"2,263,000,000","622,000,000","590,000,000","553,000,000","498,000,000","550,000,000","581,000,000","465,000,000","453,000,000","557,000,000","619,000,000","498,000,000","482,000,000","571,000,000","590,000,000","523,000,000","512,000,000","587,000,000","610,000,000","493,000,000","480,000,000","536,000,000","552,000,000","453,000,000","513,000,000","555,000,000","586,000,000","491,000,000","526,000,000","553,000,000","609,000,000","495,000,000","493,000,000","532,000,000","576,000,000","477,000,000","459,700,000","506,700,000","524,500,000","464,100,000","421,800,000","450,900,000","501,900,000","420,300,000","422,900,000","463,500,000","458,800,000","378,800,000","377,000,000","410,900,000","443,000,000","380,100,000","358,900,000","370,600,000","466,700,000","557,000,000","401,400,000","432,600,000","470,000,000","543,000,000","362,100,000","387,300,000","385,400,000","351,400,000","326,200,000","334,400,000","357,400,000","303,000,000","326,200,000","375,300,000","400,900,000","297,600,000","315,900,000","344,900,000","364,800,000","272,300,000","287,300,000","308,500,000","338,800,000","247,400,000","273,400,000","282,000,000","329,700,000","247,900,000","272,200,000","306,400,000","356,500,000","270,900,000","281,000,000","299,100,000","337,400,000","247,400,000","264,200,000","278,100,000","310,600,000","247,100,000","244,800,000","263,700,000","291,400,000","230,100,000","229,700,000","231,700,000","268,200,000","224,000,000","222,995,000","228,400,000","260,100,000","214,500,000","182,800,000","235,800,000","246,100,000","202,600,000","207,400,000","212,800,000","309,600,000","270,600,000","209,500,000","210,000,000","238,500,000","201,800,000","187,900,000","193,100,000","230,600,000","161,400,000","175,900,000","172,700,000","185,200,000","158,100,000","137,500,000","155,900,000","190,100,000","141,000,000",,,,,,,,,,,,,,,
OperatingExpense,"1,137,000,000","275,000,000","268,000,000","264,000,000","330,000,000","269,000,000","251,000,000","205,000,000","266,000,000","253,000,000","267,000,000","250,000,000","254,000,000","251,000,000","258,000,000","259,000,000","367,000,000","283,000,000","264,000,000","249,000,000","269,000,000","263,000,000","261,000,000","240,000,000","272,000,000","277,000,000","284,000,000","264,000,000","294,000,000","281,000,000","306,000,000","274,000,000","305,000,000","277,000,000","265,000,000","260,000,000","282,800,000","269,700,000","262,200,000","242,400,000","273,400,000","247,600,000","254,800,000","234,400,000","191,300,000","240,400,000","223,800,000","206,100,000","251,500,000","237,000,000","217,400,000","188,100,000","237,500,000","193,400,000","245,000,000","240,200,000","266,100,000","251,000,000","257,400,000","235,600,000","253,800,000","218,500,000","203,300,000","210,200,000","223,300,000","168,700,000","197,200,000","215,000,000","246,000,000","280,600,000","241,900,000","214,700,000","226,700,000","218,000,000","226,000,000","220,200,000","196,700,000","201,700,000","214,300,000","191,300,000","194,000,000","193,700,000","205,700,000","186,600,000","132,600,000","215,600,000","227,700,000","203,000,000","198,800,000","212,000,000","220,900,000","185,200,000","188,400,000","199,600,000","203,000,000","187,000,000","174,000,000","187,900,000","189,700,000","171,400,000","162,500,000","161,000,000","174,800,000","168,000,000","161,700,000","162,800,000","170,100,000","157,300,000","122,500,000","167,800,000","158,800,000","150,600,000","154,000,000","150,400,000","233,400,000","222,200,000","155,300,000","148,000,000","155,400,000","145,600,000","136,300,000","138,800,000","146,400,000","117,900,000","135,800,000","113,700,000","116,800,000","102,200,000","100,400,000","106,300,000","101,400,000","91,200,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,138,000,000","279,000,000","269,000,000","258,000,000","332,000,000","278,000,000","250,000,000","210,000,000","242,000,000","257,000,000","270,000,000","256,000,000","256,000,000","252,000,000","263,000,000","266,000,000","368,000,000","287,000,000","274,000,000","250,000,000","271,000,000","264,000,000","270,000,000","245,000,000","281,000,000","274,000,000","286,000,000","264,000,000","288,000,000","275,000,000","301,000,000","269,000,000","314,000,000","277,000,000","273,000,000","259,000,000","279,000,000","272,900,000","265,700,000","240,600,000","274,800,000","246,800,000","253,500,000","229,800,000","266,100,000","239,100,000","226,400,000","208,200,000","255,100,000","223,500,000","217,200,000","193,200,000","239,700,000","200,100,000","249,900,000","241,300,000","259,700,000","250,900,000","259,300,000","237,100,000","252,700,000","223,400,000","216,500,000","212,200,000","223,700,000","201,100,000","197,600,000","182,000,000","247,200,000","243,100,000","240,800,000","213,900,000","225,500,000","220,500,000","227,400,000","205,900,000","197,800,000","207,900,000","214,300,000","191,300,000","194,000,000","193,700,000","205,700,000","186,600,000","181,100,000","199,500,000","211,200,000","187,100,000","181,600,000","197,500,000","206,000,000","169,800,000","174,400,000","186,500,000","189,000,000","173,100,000","161,300,000","175,500,000","176,400,000","158,800,000","149,900,000","148,600,000","162,000,000","156,000,000","150,200,000","150,900,000","158,600,000","146,200,000","114,100,000","155,600,000","147,000,000","139,500,000","144,600,000","141,200,000","154,400,000","146,300,000","146,100,000","139,000,000","146,900,000","137,300,000","128,800,000","130,700,000","139,100,000","111,200,000","128,300,000","107,900,000","110,500,000","96,300,000","92,200,000","98,800,000","96,800,000","86,100,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"706,000,000","162,000,000","165,000,000","168,000,000","211,000,000","157,000,000","155,000,000","148,000,000","167,000,000","153,000,000","158,000,000","164,000,000","163,000,000","149,000,000","161,000,000","168,000,000","268,000,000","173,000,000","163,000,000","161,000,000","179,000,000","162,000,000","163,000,000","163,000,000","181,000,000","167,000,000","171,000,000","169,000,000","185,000,000","163,000,000","178,000,000","170,000,000","207,000,000","161,000,000","162,000,000","156,000,000","180,100,000","162,400,000","159,100,000","148,500,000","176,100,000","148,000,000","146,800,000","139,000,000","166,800,000","142,300,000","132,900,000","131,900,000","165,300,000","131,500,000","125,100,000","117,200,000","150,800,000","113,100,000","139,900,000","144,300,000","158,900,000","143,300,000","146,700,000","143,100,000","158,900,000","129,200,000","123,800,000","131,000,000","143,400,000","116,100,000","110,200,000","110,000,000","155,100,000","146,200,000","139,400,000","133,300,000","131,500,000","133,000,000","132,400,000","128,300,000","129,600,000","119,800,000","127,900,000","112,900,000","127,400,000","116,800,000","121,900,000","114,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"706,000,000","162,000,000","165,000,000","168,000,000","211,000,000","157,000,000","155,000,000","148,000,000","167,000,000","153,000,000","158,000,000","164,000,000","163,000,000","149,000,000","161,000,000","168,000,000","268,000,000","173,000,000","163,000,000","161,000,000","179,000,000","162,000,000","163,000,000","163,000,000","181,000,000","167,000,000","171,000,000","169,000,000","185,000,000","163,000,000","178,000,000","170,000,000","207,000,000","161,000,000","162,000,000","156,000,000","180,100,000","162,400,000","159,100,000","148,500,000","176,100,000","148,000,000","146,800,000","139,000,000","166,800,000","142,300,000","132,900,000","131,900,000","165,300,000","131,500,000","125,100,000","117,200,000","150,800,000","113,100,000","139,900,000","144,300,000","158,900,000","143,300,000","146,700,000","143,100,000","158,900,000","129,200,000","123,800,000","131,000,000","143,400,000","116,100,000","110,200,000","110,000,000","155,100,000","146,200,000","139,400,000","133,300,000","131,500,000","133,000,000","132,400,000","128,300,000","129,600,000","119,800,000","127,900,000","112,900,000","127,400,000","116,800,000","121,900,000","114,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"432,000,000","117,000,000","104,000,000","90,000,000","121,000,000","121,000,000","95,000,000","62,000,000","75,000,000","104,000,000","112,000,000","92,000,000","93,000,000","103,000,000","102,000,000","98,000,000","100,000,000","114,000,000","111,000,000","89,000,000","92,000,000","102,000,000","107,000,000","82,000,000","100,000,000","107,000,000","115,000,000","95,000,000","103,000,000","112,000,000","123,000,000","99,000,000","107,000,000","116,000,000","111,000,000","103,000,000","98,900,000","110,500,000","106,600,000","92,100,000","98,700,000","98,800,000","106,700,000","90,800,000","99,300,000","96,800,000","93,500,000","76,300,000","89,800,000","92,000,000","92,100,000","76,000,000","88,900,000","87,000,000","110,000,000","97,000,000","100,800,000","107,600,000","112,600,000","94,000,000","93,800,000","94,200,000","92,700,000","81,200,000","80,300,000","85,000,000","87,400,000","72,000,000","92,100,000","96,900,000","101,400,000","80,600,000","94,000,000","87,500,000","95,000,000","77,600,000","68,200,000","88,100,000","86,400,000","78,400,000","66,600,000","76,900,000","83,800,000","71,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
