name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"10,958,000,000","2,981,000,000","4,676,000,000","2,160,000,000","1,141,000,000","1,238,000,000","2,640,000,000","630,000,000","2,288,000,000","3,339,000,000","5,040,000,000","3,850,000,000","2,837,000,000","3,212,615,000","4,849,090,000","3,537,094,000","2,928,201,000","2,803,093,000","4,434,029,000","3,024,556,000","2,419,404,000","2,348,433,000","3,690,552,000","2,555,902,000","2,148,119,000","1,999,995,000","3,102,901,000","2,280,397,000","1,840,694,000","1,840,097,000","2,836,497,000","2,123,575,000","1,641,802,000","1,541,153,000","2,269,903,000","1,680,238,000","1,302,012,000","1,190,640,000","1,706,310,000","1,326,759,000","1,037,247,000","990,771,000","1,452,804,000","1,102,716,000","809,320,000","731,314,000","1,001,757,000","767,439,000","584,394,000","541,753,000","730,660,000","603,741,000","462,058,000","406,042,000","561,609,000","513,976,000","403,180,000","334,853,000","417,287,000","355,880,000","301,389,000","260,071,000","313,467,000","307,651,000","241,914,000","203,913,000","258,797,000","266,557,000","233,392,000","194,970,000","235,882,000","259,389,000","224,131,000","180,167,000","243,441,000","239,566,000","200,487,000","197,301,000","239,964,000","304,456,000","261,885,000","235,304,000","301,989,000","364,756,000","269,704,000","228,169,000","341,334,000","352,095,000","313,798,000","169,200,000","152,200,000","111,600,000","49,400,000"
	OperatingRevenue,"10,958,000,000","2,981,000,000","4,676,000,000","2,160,000,000","1,141,000,000","1,238,000,000","2,640,000,000","630,000,000","2,288,000,000","3,339,000,000","5,040,000,000","3,850,000,000","2,837,000,000","3,212,615,000","4,849,090,000","3,537,094,000","2,928,201,000","2,803,093,000","4,434,029,000","3,024,556,000","2,419,404,000","2,348,433,000","3,690,552,000","2,555,902,000","2,148,119,000","1,999,995,000","3,102,901,000","2,280,397,000","1,840,694,000","1,840,097,000","2,836,497,000","2,123,575,000","1,641,802,000","1,541,153,000","2,269,903,000","1,680,238,000","1,302,012,000","1,190,640,000","1,706,310,000","1,326,759,000","1,037,247,000","990,771,000","1,452,804,000","1,102,716,000","809,320,000","731,314,000","1,001,757,000","767,439,000","584,394,000","541,753,000","730,660,000","603,741,000","462,058,000","406,042,000","561,609,000","513,976,000","403,180,000","334,853,000","417,287,000","355,880,000","301,389,000","260,071,000","313,467,000","307,651,000","240,819,000","203,913,000","258,797,000","266,557,000","233,392,000","194,970,000","235,882,000","259,389,000","224,131,000","183,150,000","242,479,000","239,566,000","200,487,000","197,301,000","239,964,000","304,456,000","261,885,000","235,304,000","301,989,000","364,756,000","269,704,000","228,169,000","341,334,000","352,095,000","313,798,000","169,200,000","152,200,000","111,600,000","49,400,000"
CostOfRevenue,,,,,,,,,,,,,,,,,,"33,150,000","59,476,000","72,742,000","85,169,000","72,072,000","101,489,000","126,084,000","128,669,000","120,612,000","155,619,000","187,491,000","168,458,000","165,412,000","216,519,000","240,579,000","235,331,000","207,852,000","280,838,000","296,383,000","292,347,000","250,890,000","309,809,000","322,617,000","293,959,000","266,073,000","352,656,000","353,489,000","303,512,000","252,902,000","335,569,000","322,184,000","265,278,000","228,564,000","296,654,000","298,503,000","253,728,000","200,977,000","245,531,000","260,251,000","222,077,000","174,700,000","214,956,000","198,669,000","181,672,000","160,554,000","189,920,000","201,847,000","169,683,000","138,994,000","178,795,000","201,323,000","175,685,000","145,072,000","184,778,000","205,610,000","180,757,000","148,351,000","202,793,000","199,072,000","167,500,000","166,817,000","202,223,000","256,308,000","219,892,000","196,051,000","251,557,000","304,650,000","222,490,000","186,821,000","282,818,000","293,723,000","262,480,000","55,300,000","220,800,000","99,800,000","43,300,000"
GrossProfit,,,,,,,,,,,,,,,,,,"2,769,943,000","4,374,553,000","2,951,814,000","2,334,235,000","2,276,361,000","3,589,063,000","2,429,818,000","2,019,450,000","1,879,383,000","2,947,282,000","2,092,906,000","1,672,236,000","1,674,685,000","2,619,978,000","1,882,996,000","1,406,471,000","1,333,301,000","1,989,065,000","1,383,855,000","1,009,665,000","939,750,000","1,396,501,000","1,004,142,000","743,288,000","724,698,000","1,100,148,000","749,227,000","505,808,000","478,412,000","666,188,000","445,255,000","319,116,000","313,189,000","434,006,000","305,238,000","208,330,000","205,065,000","316,078,000","253,725,000","181,103,000","160,153,000","202,331,000","157,211,000","119,717,000","99,517,000","123,547,000","105,804,000","72,231,000","64,919,000","80,002,000","65,234,000","57,707,000","49,898,000","51,104,000","53,779,000","43,374,000","31,816,000","40,648,000","40,494,000","32,987,000","30,484,000","37,741,000","48,148,000","41,993,000","39,253,000","50,432,000","60,106,000","47,214,000","41,348,000","58,516,000","58,372,000","51,318,000","113,900,000","-68,600,000","11,800,000","6,100,000"
OperatingExpense,"8,449,000,000","2,129,000,000","2,661,000,000","2,215,000,000","1,444,000,000","1,317,000,000","1,711,000,000","1,080,000,000","2,108,000,000","2,167,000,000","2,670,000,000","2,603,000,000","2,281,000,000","2,069,694,000","2,602,501,000","2,315,839,000","2,197,966,000","1,783,473,000","2,272,752,000","2,058,555,000","1,777,773,000","1,486,000,000","1,815,136,000","1,697,411,000","1,469,132,000","1,221,483,000","1,458,575,000","1,414,575,000","1,238,267,000","1,095,818,000","1,297,273,000","1,149,982,000","967,745,000","832,454,000","942,168,000","829,024,000","699,826,000","565,435,000","640,909,000","545,787,000","501,757,000","420,920,000","483,770,000","424,519,000","351,749,000","289,452,000","329,419,000","272,096,000","231,207,000","195,327,000","233,251,000","195,863,000","165,488,000","156,232,000","188,156,000","172,771,000","149,338,000","116,141,000","124,247,000","109,637,000","151,452,000","86,941,000","91,945,000","86,767,000","73,325,000","58,885,000","65,110,000","53,444,000","52,876,000","44,765,000","41,454,000","42,831,000","38,695,000","30,852,000","32,536,000","34,315,000","41,210,000","33,659,000","62,870,000","42,909,000","38,314,000","43,953,000","47,551,000","59,106,000","56,319,000","70,451,000","63,734,000","65,618,000","67,600,000","38,900,000","36,000,000","27,800,000","23,700,000"
	SellingGeneralAndAdministration,"8,028,000,000","2,031,000,000","2,559,000,000","2,107,000,000","1,331,000,000","1,203,000,000","1,596,000,000","968,000,000","1,991,000,000","2,050,000,000","2,553,000,000","2,484,000,000","2,165,000,000","1,961,091,000","2,494,860,000","2,209,173,000","2,094,876,000","1,685,911,000","2,176,842,000","1,972,683,000","1,694,343,000","1,406,193,000","1,736,391,000","1,619,699,000","1,396,261,000","1,150,719,000","1,389,521,000","1,346,901,000","1,173,265,000","1,024,260,000","1,239,674,000","1,109,695,000","929,369,000","795,333,000","906,421,000","802,997,000","680,746,000","579,781,000","614,103,000","519,684,000","475,180,000","396,826,000","461,265,000","402,629,000","332,600,000","270,853,000","311,297,000","256,443,000","216,820,000","180,179,000","218,376,000","181,443,000","151,600,000","127,832,000","177,221,000","161,707,000","138,985,000","91,923,000","115,116,000","100,640,000","142,947,000","78,462,000","83,281,000","78,407,000","65,379,000","51,170,000","57,972,000","48,397,000","47,410,000","30,237,000","38,095,000","40,266,000","36,475,000","27,591,000","30,163,000","31,528,000","25,730,000","24,086,000","28,503,000","32,644,000","27,781,000","76,335,000","37,391,000","43,802,000","45,207,000","87,760,000","47,852,000","55,346,000","59,060,000","33,300,000","29,800,000","23,200,000","20,800,000"
		GeneralAndAdministrativeExpense,"3,346,000,000","796,000,000","879,000,000","913,000,000","758,000,000","699,000,000","736,000,000","626,000,000","763,000,000","842,000,000","862,000,000","869,000,000","757,000,000","734,875,000","777,705,000","739,953,000","721,467,000","661,609,000","674,162,000","572,173,000","526,522,000","514,472,000","498,585,000","481,093,000","454,184,000","451,618,000","443,865,000","415,257,000","384,523,000","390,686,000","382,175,000","336,961,000","290,736,000","310,006,000","268,092,000","247,877,000","197,601,000","217,000,000","177,497,000","147,837,000","141,350,000","133,163,000","126,180,000","115,502,000","101,100,000","100,397,000","97,737,000","85,312,000","67,810,000","64,493,000","70,326,000","59,592,000","54,298,000","-13,657,000","84,637,000","78,919,000","69,154,000","41,553,000","52,859,000","47,889,000","99,686,000","44,685,000","42,056,000","39,053,000","34,080,000","30,161,000","30,787,000","28,103,000","26,406,000","-16,390,000","23,446,000","23,900,000","21,070,000","17,499,000","19,879,000","20,754,000","14,632,000",,,,,,,,,,,,,,,,
			SalariesAndWages,"2,314,000,000","485,000,000","591,000,000","686,000,000","552,000,000","491,000,000","517,000,000","452,000,000","484,000,000","562,000,000","566,000,000","619,000,000","501,000,000","484,128,000","536,735,000","522,250,000","498,887,000","439,405,000","483,438,000","385,708,000","351,030,000","361,417,000","347,610,000","332,654,000","308,351,000","312,757,000","305,329,000","289,156,000","258,984,000","274,337,000","259,471,000","221,852,000","194,531,000","212,034,000","186,443,000","165,997,000","134,218,000","122,912,000","135,210,000","108,030,000","100,676,000","96,845,000","94,463,000","85,766,000","75,221,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,032,000,000","311,000,000","288,000,000","227,000,000","206,000,000","208,000,000","219,000,000","174,000,000","279,000,000","280,000,000","296,000,000","250,000,000","256,000,000","250,747,000","240,970,000","217,703,000","222,580,000","222,204,000","190,724,000","186,465,000","175,492,000","153,055,000","150,975,000","148,439,000","145,833,000","138,861,000","138,536,000","126,101,000","125,539,000","116,349,000","122,704,000","115,109,000","96,205,000","97,972,000","81,649,000","81,880,000","63,383,000","94,088,000","42,287,000","39,807,000","40,674,000","36,318,000","31,717,000","29,736,000","25,879,000","-169,674,000","97,737,000","85,312,000","67,810,000","64,493,000","70,326,000","59,592,000","54,298,000","-13,657,000","84,637,000","78,919,000","69,154,000","41,553,000","52,859,000","47,889,000","99,686,000","44,685,000","42,056,000","39,053,000","34,080,000","30,161,000","30,787,000","28,103,000","26,406,000","-51,964,000","23,446,000","23,900,000","21,070,000","17,499,000","19,879,000","20,754,000","14,632,000",,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"4,682,000,000","1,235,000,000","1,680,000,000","1,194,000,000","573,000,000","504,000,000","860,000,000","342,000,000","1,228,000,000","1,208,000,000","1,691,000,000","1,615,000,000","1,408,000,000","1,226,216,000","1,717,155,000","1,469,220,000","1,373,409,000","1,024,302,000","1,502,680,000","1,400,510,000","1,167,821,000","891,721,000","1,237,806,000","1,138,606,000","942,077,000","699,101,000","945,656,000","931,644,000","788,742,000","633,574,000","857,499,000","772,734,000","638,633,000","485,327,000","638,329,000","555,120,000","483,145,000","362,781,000","436,606,000","371,847,000","333,830,000","263,663,000","335,085,000","287,127,000","231,500,000","170,456,000","213,560,000","171,131,000","149,010,000","115,686,000","148,050,000","121,851,000","97,302,000","141,489,000","92,584,000","82,788,000","69,831,000","50,370,000","62,257,000","52,751,000","43,261,000","33,777,000","41,225,000","39,354,000","31,299,000","21,009,000","27,185,000","20,294,000","21,004,000","46,627,000","14,649,000","16,366,000","15,405,000","10,092,000","10,284,000","10,774,000","11,098,000",,,,,,,,,,,,,,,,
