name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016
TotalRevenue,"20,502,000,000","5,485,000,000","5,093,000,000","5,142,000,000","4,782,000,000","5,495,000,000","5,049,000,000","4,736,000,000","5,425,000,000","6,348,000,000","5,882,000,000","5,994,000,000","5,615,000,000","6,265,000,000","5,665,000,000","5,548,000,000","5,399,000,000","5,763,000,000","5,375,000,000","0","5,373,000,000",
	OperatingRevenue,"20,502,000,000","5,485,000,000","5,093,000,000","5,142,000,000","4,782,000,000","5,495,000,000","5,049,000,000","4,736,000,000","5,425,000,000","6,348,000,000","5,882,000,000","5,994,000,000","5,615,000,000","6,265,000,000","5,665,000,000","5,548,000,000","5,399,000,000","5,763,000,000","5,375,000,000","0","5,373,000,000",
CostOfRevenue,"16,453,000,000","4,280,000,000","4,083,000,000","4,166,000,000","3,924,000,000","4,486,000,000","4,292,000,000","4,058,000,000","4,670,000,000","5,054,000,000","4,781,000,000","4,932,000,000","4,639,000,000","5,029,000,000","4,692,000,000","4,612,000,000","4,558,000,000","4,887,000,000","4,355,000,000","0","4,333,000,000",
GrossProfit,"4,049,000,000","1,205,000,000","1,010,000,000","976,000,000","858,000,000","1,009,000,000","757,000,000","678,000,000","755,000,000","1,294,000,000","1,101,000,000","1,062,000,000","976,000,000","1,236,000,000","973,000,000","936,000,000","841,000,000","876,000,000","1,020,000,000","0","1,040,000,000",
OperatingExpense,"2,470,000,000","634,000,000","607,000,000","642,000,000","587,000,000","574,000,000","565,000,000","590,000,000","675,000,000","749,000,000","679,000,000","701,000,000","704,000,000","755,000,000","608,000,000","662,000,000","674,000,000","785,000,000","792,000,000","0","728,000,000",
	SellingGeneralAndAdministration,"2,470,000,000","634,000,000","607,000,000","642,000,000","587,000,000","574,000,000","565,000,000","590,000,000","675,000,000","749,000,000","679,000,000","701,000,000","704,000,000","755,000,000","608,000,000","662,000,000","674,000,000","785,000,000","792,000,000","0","728,000,000",
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,"0","0",
OperatingIncome,"1,579,000,000","571,000,000","403,000,000","334,000,000","271,000,000","435,000,000","192,000,000","88,000,000","80,000,000","545,000,000","422,000,000","361,000,000","272,000,000","481,000,000","365,000,000","274,000,000","167,000,000","91,000,000","228,000,000","0","312,000,000",
NetNonOperatingInterestIncomeExpense,"-299,000,000","-94,000,000","-67,000,000","-65,000,000","-74,000,000","-69,000,000","-66,000,000","-69,000,000","-59,000,000","-63,000,000","-59,000,000","-56,000,000","-59,000,000","-59,000,000","-55,000,000","-63,000,000","-46,000,000","-56,000,000","-42,000,000","0","-59,000,000",
	InterestExpenseNonOperating,"299,000,000","94,000,000","67,000,000","65,000,000","74,000,000","69,000,000","66,000,000","69,000,000","59,000,000","63,000,000","59,000,000","56,000,000","59,000,000","59,000,000","55,000,000","63,000,000","46,000,000","56,000,000","42,000,000","0","59,000,000",
	TotalOtherFinanceCost,,,,,,,,,"59,000,000","63,000,000","59,000,000","56,000,000","59,000,000","59,000,000","55,000,000","63,000,000","46,000,000","56,000,000","42,000,000","30,000,000",,
OtherIncomeExpense,"-852,000,000","211,000,000","-127,000,000","-203,000,000","-733,000,000","1,154,000,000","-390,000,000","-395,000,000","-16,114,000,000","-175,000,000","-139,000,000","-221,000,000","-75,000,000","52,000,000","-162,000,000","-187,000,000","-226,000,000","-168,000,000","-366,000,000","-70,000,000","-132,000,000",
	EarningsFromEquityInterest,,,,,,,,,,"0","0","0","0","0","-85,000,000","-34,000,000","-20,000,000","2,000,000","-13,000,000","-21,000,000",,
	SpecialIncomeCharges,"-269,000,000","3,000,000","-25,000,000","-140,000,000","-107,000,000","-253,000,000","-241,000,000","-140,000,000","-16,139,000,000","-215,000,000","-125,000,000","-90,000,000","-96,000,000","-99,000,000","-83,000,000","-196,000,000","-208,000,000","-183,000,000","-350,000,000","0","-125,000,000",
		RestructuringAndMergernAcquisition,"269,000,000","-3,000,000","25,000,000","140,000,000","107,000,000","253,000,000","241,000,000","140,000,000","1,366,000,000","215,000,000","125,000,000","90,000,000","96,000,000","99,000,000","83,000,000","196,000,000","208,000,000","183,000,000","350,000,000","0","0",
		ImpairmentOfCapitalAssets,"0","0","0","0","0","0","0","0","14,773,000,000",,,,,,,,,,,"0",,
		WriteOff,,,,,,,,,,,,,,,,,,,,"0","125,000,000",
	OtherNonOperatingIncomeExpenses,"-583,000,000","208,000,000","-102,000,000","-63,000,000","-626,000,000","1,407,000,000","-149,000,000","-255,000,000","25,000,000","40,000,000","-14,000,000","-131,000,000","21,000,000","151,000,000","6,000,000","43,000,000","2,000,000","13,000,000","-3,000,000",,"-7,000,000",
PretaxIncome,"428,000,000","688,000,000","209,000,000","66,000,000","-536,000,000","1,520,000,000","-264,000,000","-376,000,000","-16,093,000,000","307,000,000","224,000,000","84,000,000","138,000,000","474,000,000","148,000,000","24,000,000","-105,000,000","-133,000,000","-180,000,000","0","121,000,000",
TaxProvision,"758,000,000","352,000,000","193,000,000","143,000,000","69,000,000","569,000,000","6,000,000","-21,000,000","5,000,000","213,000,000","107,000,000","95,000,000","67,000,000","172,000,000","110,000,000","62,000,000","-86,000,000","-51,000,000","93,000,000","0","112,000,000",
NetIncomeCommonStockholders,"-219,000,000","293,000,000","8,000,000","-68,000,000","-452,000,000","652,000,000","-170,000,000","-201,000,000","-10,210,000,000","48,000,000","57,000,000","-9,000,000","32,000,000","131,000,000","13,000,000","-19,000,000","70,000,000","31,000,000","-104,000,000","0","8,000,000",
	NetIncome,"-219,000,000","293,000,000","8,000,000","-68,000,000","-452,000,000","652,000,000","-170,000,000","-201,000,000","-10,210,000,000","48,000,000","57,000,000","-9,000,000","32,000,000","131,000,000","13,000,000","-19,000,000","70,000,000","31,000,000","-104,000,000","0","8,000,000",
		NetIncomeIncludingNoncontrollingInterests,"-330,000,000","336,000,000","16,000,000","-77,000,000","-605,000,000","951,000,000","-270,000,000","-355,000,000","-16,098,000,000","94,000,000","117,000,000","-11,000,000","71,000,000","302,000,000","38,000,000","-38,000,000","-19,000,000","-82,000,000","-273,000,000","0","9,000,000",
			NetIncomeContinuousOperations,"-330,000,000","336,000,000","16,000,000","-77,000,000","-605,000,000","951,000,000","-270,000,000","-355,000,000","-16,098,000,000","94,000,000","117,000,000","-11,000,000","71,000,000","302,000,000","38,000,000","-38,000,000","-19,000,000","-82,000,000","-273,000,000","0","9,000,000",
		MinorityInterests,"111,000,000","-43,000,000","-8,000,000","9,000,000","153,000,000","-299,000,000","100,000,000","154,000,000","5,888,000,000","-46,000,000","-60,000,000","2,000,000","-39,000,000","-171,000,000","-25,000,000","19,000,000","89,000,000","113,000,000","169,000,000","0","-1,000,000",
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,"0","0",,"0","0","0",,,
DilutedNIAvailtoComStockholders,"-219,000,000","293,000,000","8,000,000","-68,000,000","-452,000,000","652,000,000","-170,000,000","-201,000,000","-10,210,000,000","48,000,000","57,000,000","-9,000,000","32,000,000","131,000,000","13,000,000","-19,000,000","70,000,000","31,000,000","-104,000,000","0","8,000,000",
BasicEPS,,"0.33","0.01","-0.08","-0.61","0.92","-0.25","-0.31","-15.64","0.07","0.11","-0.02","0.06","0.28","0.03","-0.05","0.17","-0.07","-0.24","-0.421","0.02","0"
DilutedEPS,,"0.32","0.01","-0.08","-0.61","0.91","-0.25","-0.31","-15.64","0.07","0.11","-0.02","0.06","0.28","0.03","-0.05","0.17","-0.07","-0.24","-0.421","0.02","0"
BasicAverageShares,,"896,000,000","851,000,000","806,000,000","740,000,000","713,000,000","676,000,000","655,000,000","653,000,000","650,000,000","538,000,000","515,000,000","533,333,333","467,857,143","412,000,000","414,000,000","421,000,000","427,000,000","428,000,000","425,483,244","429,000,000","429,000,000"
