name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"15,633,000,000","3,940,000,000","3,959,000,000","3,887,000,000","3,847,000,000","3,768,000,000","3,762,000,000","3,925,000,000","4,017,000,000","4,686,000,000","3,764,000,000","3,830,000,000","3,808,000,000","3,912,000,000","3,970,000,000","4,032,000,000","4,072,000,000","3,622,000,000","3,907,000,000","3,852,000,000","3,743,000,000","3,692,000,000","3,836,000,000","3,674,000,000","3,630,000,000","3,634,000,000","3,695,000,000","3,790,000,000","3,753,000,000","3,587,000,000","3,668,000,000","3,633,000,000","3,540,000,000","3,501,000,000","3,659,000,000","3,898,000,000","3,507,000,000","3,509,000,000","3,675,000,000","3,617,000,000","3,646,000,000","2,988,000,000","3,694,000,000","3,752,000,000","3,646,000,000","3,374,000,000","3,423,000,000","3,358,000,000","3,624,000,000","2,862,000,000","-1,500,000,000","2,904,000,000","2,930,000,000","2,335,000,000","3,626,000,000","3,397,000,000","3,745,000,000","3,471,000,000","3,600,000,000","2,032,000,000","1,902,000,000","-272,000,000","1,610,000,000","1,724,000,000","1,820,000,000","1,766,000,000","1,740,000,000","1,726,000,000","1,633,000,000","1,713,000,000","1,538,000,000","1,587,000,000","1,498,000,000","1,521,000,000","1,470,000,000","1,394,000,000","1,230,000,000","1,246,000,000","1,054,000,000","1,278,000,000","1,222,000,000","1,363,000,000","1,234,000,000","1,312,000,000","1,313,000,000","1,288,000,000","1,264,000,000","1,243,000,000","1,184,000,000","1,127,000,000","1,948,000,000","1,067,000,000","1,052,000,000","1,031,000,000","987,000,000","969,000,000","948,000,000","1,089,000,000","990,000,000","970,000,000","943,000,000","931,000,000","899,000,000","1,334,000,000","929,000,000","944,000,000","917,000,000","854,000,000","810,000,000","775,000,000","769,000,000","730,000,000","733,000,000","688,000,000","711,000,000","655,000,000","641,000,000","605,000,000","604,000,000","564,000,000","585,000,000","575,800,000","567,700,000","531,300,000","559,100,000","566,600,000","551,700,000","570,800,000","565,500,000",,,,,,,,,,,,,,,,,,
	OperatingRevenue,"15,633,000,000","3,940,000,000","3,959,000,000","3,887,000,000","3,847,000,000","3,768,000,000","3,762,000,000","3,925,000,000","4,017,000,000","4,686,000,000","3,764,000,000","3,830,000,000","3,808,000,000","3,912,000,000","3,970,000,000","4,032,000,000","4,072,000,000","3,622,000,000","3,907,000,000","3,852,000,000","3,743,000,000","3,692,000,000","3,836,000,000","3,674,000,000","3,630,000,000","3,634,000,000","3,695,000,000","3,790,000,000","3,753,000,000","3,587,000,000","3,668,000,000","3,633,000,000","3,540,000,000","3,501,000,000","3,659,000,000","3,898,000,000","3,507,000,000","3,509,000,000","3,675,000,000","3,617,000,000","3,646,000,000","2,988,000,000","3,694,000,000","3,752,000,000","3,646,000,000","3,374,000,000","3,423,000,000","3,358,000,000","3,624,000,000","2,862,000,000","-1,500,000,000","2,904,000,000","2,930,000,000","2,335,000,000","3,626,000,000","3,397,000,000","3,745,000,000","3,471,000,000","3,600,000,000","2,032,000,000","1,902,000,000","-272,000,000","1,610,000,000","1,724,000,000","1,820,000,000","1,766,000,000","1,740,000,000","1,726,000,000","1,633,000,000","1,713,000,000","1,538,000,000","1,587,000,000","1,498,000,000","1,521,000,000","1,470,000,000","1,394,000,000","1,230,000,000","1,246,000,000","1,054,000,000","1,278,000,000","1,222,000,000","1,363,000,000","1,234,000,000","1,312,000,000","1,313,000,000","1,288,000,000","1,264,000,000","1,243,000,000","1,184,000,000","1,127,000,000","1,948,000,000","1,067,000,000","1,052,000,000","1,031,000,000","987,000,000","969,000,000","948,000,000","1,089,000,000","990,000,000","970,000,000","943,000,000","931,000,000","899,000,000","1,334,000,000","929,000,000","944,000,000","917,000,000","854,000,000","810,000,000","775,000,000","769,000,000","730,000,000","733,000,000","688,000,000","711,000,000","655,000,000","641,000,000","605,000,000","604,000,000","564,000,000","585,000,000","575,800,000","567,700,000","531,300,000","559,100,000","566,600,000","551,700,000","570,800,000","565,500,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"4,648,000,000","1,065,000,000","1,162,000,000","1,268,000,000","1,153,000,000","903,000,000","1,157,000,000","1,181,000,000","1,227,000,000","1,822,000,000","1,287,000,000","1,285,000,000","1,193,000,000","1,020,000,000","1,334,000,000","1,394,000,000","1,444,000,000","728,000,000","1,368,000,000","1,308,000,000","1,206,000,000","1,152,000,000","1,317,000,000","1,165,000,000","1,091,000,000","871,000,000","1,109,000,000","1,165,000,000","1,149,000,000","164,000,000","1,662,000,000","811,000,000","926,000,000","728,000,000","986,000,000","1,206,000,000","809,000,000","853,000,000","975,000,000","589,000,000","885,000,000","689,000,000","945,000,000","1,034,000,000","949,000,000","970,000,000","834,000,000","1,006,000,000","884,000,000","672,000,000","-3,965,000,000","513,000,000","508,000,000","-49,000,000","264,000,000","614,000,000","1,110,000,000","1,028,000,000","894,000,000","658,000,000","645,000,000","622,000,000","422,000,000","591,000,000","637,000,000","608,000,000","595,000,000","598,000,000","566,000,000","623,000,000","539,000,000","565,000,000","473,000,000","469,000,000","391,000,000","451,000,000","451,000,000","156,000,000","123,000,000","547,000,000","546,000,000","500,000,000","356,000,000","601,000,000","602,000,000","580,000,000","576,000,000","562,000,000","534,000,000","514,000,000","1,315,000,000","511,000,000","500,000,000","493,000,000","476,000,000","467,000,000","456,000,000","479,000,000","438,000,000","431,000,000","425,000,000","404,000,000","404,000,000","452,000,000","395,000,000","391,000,000","380,000,000","367,000,000","344,000,000","322,000,000","310,000,000","281,000,000","285,000,000","230,000,000","251,000,000","211,000,000","199,000,000","159,000,000","148,000,000","132,000,000","121,000,000","107,600,000","93,600,000","95,300,000","-119,500,000","62,800,000","96,200,000","106,800,000","166,400,000",,,,,,,,,,,,,,,,,,
TaxProvision,"877,000,000","196,000,000","219,000,000","241,000,000","221,000,000","148,000,000","213,000,000","216,000,000","265,000,000","373,000,000","246,000,000","264,000,000","237,000,000","150,000,000","220,000,000","286,000,000","282,000,000","-453,000,000","348,000,000","332,000,000","269,000,000","280,000,000","324,000,000","290,000,000","283,000,000","175,000,000","282,000,000","276,000,000","280,000,000","-93,000,000","556,000,000","217,000,000","232,000,000","172,000,000","-2,000,000","321,000,000","1,046,000,000","207,000,000","225,000,000","93,000,000","254,000,000","211,000,000","281,000,000","277,000,000","279,000,000","265,000,000","220,000,000","304,000,000","258,000,000","-41,000,000","-1,527,000,000","12,000,000","138,000,000","-135,000,000","-41,000,000","312,000,000","361,000,000","328,000,000","252,000,000","210,000,000","208,000,000","195,000,000","124,000,000","200,000,000","215,000,000","203,000,000","206,000,000","200,000,000","187,000,000","272,000,000","185,000,000","194,000,000","109,000,000","162,000,000","131,000,000","156,000,000","156,000,000","56,000,000","44,000,000","186,000,000","184,000,000","169,000,000","113,000,000","216,000,000","218,000,000","208,000,000","213,000,000","206,000,000","196,000,000","186,000,000","542,000,000","188,000,000","184,000,000","180,000,000","175,000,000","172,000,000","172,000,000","181,000,000","165,000,000","162,000,000","160,000,000","154,000,000","155,000,000","174,000,000","152,000,000","150,000,000","146,000,000","141,000,000","131,000,000","121,000,000","116,000,000","105,000,000","107,000,000","73,000,000","100,000,000","81,000,000","74,000,000","54,000,000","50,000,000","45,000,000","41,000,000","41,700,000","34,800,000","34,700,000","-56,200,000","-2,200,000","25,600,000","36,400,000","64,100,000",,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"3,550,000,000","822,000,000","881,000,000","990,000,000","857,000,000","701,000,000","875,000,000","900,000,000","941,000,000","1,385,000,000","999,000,000","965,000,000","905,000,000","827,000,000","1,068,000,000","1,048,000,000","1,127,000,000","1,118,000,000","975,000,000","913,000,000","866,000,000","809,000,000","959,000,000","812,000,000","793,000,000","628,000,000","777,000,000","786,000,000","754,000,000","205,000,000","1,050,000,000","544,000,000","648,000,000","503,000,000","949,000,000","818,000,000","-269,000,000","613,000,000","720,000,000","466,000,000","619,000,000","500,000,000","640,000,000","735,000,000","625,000,000","679,000,000","617,000,000","658,000,000","559,000,000","593,000,000","-2,458,000,000","176,000,000","322,000,000","28,000,000","303,000,000","309,000,000","746,000,000","520,000,000","640,000,000","445,000,000","434,000,000","1,789,000,000","352,000,000","448,000,000","422,000,000","405,000,000","389,000,000","398,000,000","379,000,000","351,000,000","354,000,000","371,000,000","364,000,000","307,000,000","260,000,000","295,000,000","295,000,000","100,000,000","79,000,000","361,000,000","362,000,000","331,000,000","243,000,000","385,000,000","384,000,000","372,000,000","363,000,000","356,000,000","338,000,000","328,000,000","773,000,000","323,000,000","316,000,000","313,000,000","301,000,000","295,000,000","284,000,000","296,000,000","270,000,000","266,000,000","263,000,000","248,000,000","246,000,000","275,000,000","241,000,000","238,000,000","232,000,000","223,000,000","210,000,000","198,000,000","191,000,000","173,000,000","173,000,000","151,000,000","145,000,000","123,000,000","117,000,000","97,000,000","98,000,000","87,000,000","72,000,000","65,900,000","58,800,000","60,600,000","-63,300,000","65,000,000","70,600,000","70,400,000","102,300,000",,,,,,,,,,,,,,,,,,
	NetIncome,"3,759,000,000","863,000,000","947,000,000","1,022,000,000","927,000,000","750,000,000","937,000,000","950,000,000","980,000,000","1,440,000,000","1,038,000,000","1,017,000,000","946,000,000","881,000,000","1,111,000,000","1,103,000,000","1,171,000,000","1,175,000,000","1,018,000,000","975,000,000","922,000,000","870,000,000","987,000,000","873,000,000","817,000,000","693,000,000","833,000,000","853,000,000","779,000,000","233,000,000","1,083,000,000","577,000,000","674,000,000","539,000,000","980,000,000","845,000,000","-253,000,000","635,000,000","725,000,000","466,000,000","619,000,000","505,000,000","651,000,000","735,000,000","625,000,000","679,000,000","622,000,000","658,000,000","559,000,000","593,000,000","-2,458,000,000","412,000,000","369,000,000","61,000,000","303,000,000","309,000,000","746,000,000","520,000,000","640,000,000","445,000,000","434,000,000","1,789,000,000","352,000,000","448,000,000","422,000,000","405,000,000","389,000,000","398,000,000","379,000,000","351,000,000","354,000,000","371,000,000","364,000,000","307,000,000","260,000,000","295,000,000","295,000,000","100,000,000","79,000,000","361,000,000","362,000,000","331,000,000","243,000,000","385,000,000","384,000,000","372,000,000","363,000,000","356,000,000","338,000,000","328,000,000","773,000,000","323,000,000","316,000,000","313,000,000","301,000,000","295,000,000","284,000,000","298,000,000","273,000,000","269,000,000","265,000,000","250,000,000","249,000,000","278,000,000","243,000,000","241,000,000","234,000,000","226,000,000","213,000,000","201,000,000","194,000,000","176,000,000","178,000,000","157,000,000","151,000,000","130,000,000","125,000,000","105,000,000","98,000,000","87,000,000","80,000,000","65,900,000","58,800,000","60,600,000","-63,300,000","65,000,000","70,600,000","70,400,000","102,300,000",,,,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"3,771,000,000","869,000,000","943,000,000","1,027,000,000","932,000,000","755,000,000","944,000,000","965,000,000","962,000,000","1,449,000,000","1,041,000,000","1,021,000,000","956,000,000","870,000,000","1,114,000,000","1,108,000,000","1,162,000,000","1,181,000,000","1,020,000,000","976,000,000","937,000,000","872,000,000","993,000,000","875,000,000","808,000,000","696,000,000","827,000,000","889,000,000","869,000,000","257,000,000","1,106,000,000","594,000,000","694,000,000","556,000,000","988,000,000","885,000,000","-237,000,000","646,000,000","750,000,000","496,000,000","631,000,000","478,000,000","664,000,000","757,000,000","670,000,000","694,000,000","611,000,000","692,000,000","584,000,000","594,000,000","-2,457,000,000","410,000,000","370,000,000","61,000,000","303,000,000","309,000,000","746,000,000","520,000,000","640,000,000","445,000,000","434,000,000","1,789,000,000","352,000,000","448,000,000","422,000,000","405,000,000","389,000,000","398,000,000","379,000,000","351,000,000","354,000,000","371,000,000","364,000,000","307,000,000","260,000,000","295,000,000","295,000,000","100,000,000","79,000,000","361,000,000","362,000,000","252,000,000","267,000,000","411,000,000","412,000,000","400,000,000","391,000,000","384,000,000","366,000,000","356,000,000","801,000,000","351,000,000","344,000,000","338,000,000","326,000,000","320,000,000","304,000,000","318,000,000","292,000,000","283,000,000","277,000,000","252,000,000","249,000,000","278,000,000","243,000,000","241,000,000","234,000,000","226,000,000","213,000,000","201,000,000","194,000,000","176,000,000","178,000,000","157,000,000","151,000,000","130,000,000","125,000,000","105,000,000","98,000,000","87,000,000","80,000,000","65,900,000","58,800,000","60,600,000","-63,300,000","65,000,000","70,600,000","70,400,000","102,300,000","106,600,000","-271,300,000","114,300,000","101,100,000","54,700,000","54,200,000","49,700,000","54,400,000","45,800,000","45,200,000","-34,900,000","47,300,000","38,400,000","37,900,000","37,800,000","41,100,000","33,600,000","32,700,000"
			NetIncomeContinuousOperations,"3,771,000,000","869,000,000","943,000,000","1,027,000,000","932,000,000","755,000,000","944,000,000","965,000,000","962,000,000","1,449,000,000","1,041,000,000","1,021,000,000","956,000,000","870,000,000","1,114,000,000","1,108,000,000","1,162,000,000","1,181,000,000","1,020,000,000","976,000,000","937,000,000","872,000,000","993,000,000","875,000,000","808,000,000","696,000,000","827,000,000","889,000,000","869,000,000","257,000,000","1,106,000,000","594,000,000","694,000,000","556,000,000","988,000,000","885,000,000","-237,000,000","646,000,000","750,000,000","496,000,000","631,000,000","478,000,000","664,000,000","757,000,000","670,000,000","705,000,000","614,000,000","702,000,000","626,000,000","713,000,000","-2,438,000,000","501,000,000","370,000,000","86,000,000","305,000,000","302,000,000","749,000,000","700,000,000","642,000,000","448,000,000","437,000,000","427,000,000","298,000,000","391,000,000","422,000,000","405,000,000","389,000,000","398,000,000","379,000,000","351,000,000","354,000,000","371,000,000","364,000,000","307,000,000","260,000,000","295,000,000","295,000,000","100,000,000","79,000,000","361,000,000","362,000,000","331,000,000","243,000,000","385,000,000","384,000,000","372,000,000","363,000,000","356,000,000","338,000,000","328,000,000","773,000,000","323,000,000","316,000,000","313,000,000","301,000,000","295,000,000","284,000,000","298,000,000","273,000,000","269,000,000","265,000,000","250,000,000","249,000,000","278,000,000","243,000,000","241,000,000","234,000,000","226,000,000","213,000,000","201,000,000","194,000,000","176,000,000","178,000,000","157,000,000","151,000,000","130,000,000","125,000,000","105,000,000","98,000,000","87,000,000","80,000,000","65,900,000","58,800,000","60,600,000","-63,300,000","65,000,000","70,600,000","70,400,000","102,300,000","106,600,000","-271,300,000","114,300,000","101,100,000","54,700,000","54,200,000","49,700,000","54,400,000","45,800,000","45,200,000","-34,900,000","47,300,000","38,400,000","37,900,000","37,800,000","41,100,000","33,600,000","32,700,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","0","0","0","-11,000,000","-3,000,000","-10,000,000","-42,000,000","-119,000,000","-19,000,000","-91,000,000","0","1,000,000","-2,000,000","7,000,000","-3,000,000","0","-2,000,000","-3,000,000","-3,000,000","1,362,000,000","54,000,000","57,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-26,000,000",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
