name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987
TotalRevenue,"46,385,000,000","11,985,000,000","11,624,000,000","11,703,000,000","11,073,000,000","11,068,000,000","10,540,000,000","10,129,000,000","10,781,000,000","7,945,000,000","6,007,000,000","6,273,000,000","5,920,000,000","5,973,000,000","5,691,000,000","5,704,000,000","5,193,000,000","5,449,000,000","5,254,000,000","5,144,000,000","4,929,000,000","5,243,000,000","4,922,000,000","4,871,000,000","4,391,000,000","4,287,000,000","4,069,000,000","4,163,000,000","4,041,000,000","4,258,000,000","3,921,000,000","3,889,000,000","3,811,000,000","4,441,000,000","4,065,000,000","4,048,000,000","3,831,000,000","4,191,000,000","3,736,000,000","4,443,000,000","5,251,000,000","5,454,000,000","5,345,000,000","5,434,000,000","5,011,000,000","5,111,000,000","4,798,000,000","4,768,000,000","4,807,000,000","2,922,000,000","5,487,000,000","5,384,000,000","5,015,000,000","5,249,000,000","5,254,000,000","5,203,000,000","5,181,000,000","4,894,000,000","5,050,000,000","4,928,000,000","4,476,000,000","4,213,000,000","4,154,000,000","4,871,000,000","4,676,000,000","5,019,000,000","4,767,000,000","4,889,000,000","4,532,000,000","3,342,000,000","5,427,000,000","5,430,000,000","5,181,000,000","5,794,000,000","5,337,000,000","5,052,000,000","4,711,000,000","4,794,000,000","4,537,000,000","4,053,000,000","4,082,000,000","5,282,000,000","4,743,000,000","4,709,000,000","4,689,000,000","4,784,000,000","4,563,000,000","5,275,000,000","5,260,000,000","5,408,000,000","5,040,000,000","4,920,000,000","4,854,000,000","4,885,000,000","4,523,000,000","4,430,000,000","4,446,000,000","4,441,000,000","4,151,000,000","4,064,000,000","4,045,000,000","3,955,000,000","3,745,000,000","3,696,000,000","3,669,000,000","3,608,000,000","3,413,000,000","3,445,000,000","3,301,000,000","3,248,000,000","2,932,000,000","2,970,000,000","2,834,000,000","2,993,000,000","2,862,000,000","2,802,000,000","2,755,000,000","2,390,000,000","3,103,000,000","2,880,000,000","2,783,000,000","2,937,000,000","2,757,000,000","2,730,000,000","2,735,000,000","2,736,000,000","2,622,000,000","2,484,000,000","2,458,000,000","2,360,000,000","2,320,000,000","2,244,000,000","2,265,000,000","2,144,000,000","2,196,000,000","2,101,000,000","2,117,000,000","1,889,500,000","1,889,500,000","1,889,500,000","1,889,500,000"
	OperatingRevenue,"45,771,000,000","11,830,000,000","11,437,000,000","11,703,000,000","10,940,000,000","10,929,000,000","10,381,000,000","10,129,000,000","10,781,000,000","7,945,000,000","6,007,000,000","6,273,000,000","5,920,000,000","5,973,000,000","5,691,000,000","5,704,000,000","5,193,000,000","5,449,000,000","5,254,000,000","5,144,000,000","4,929,000,000","5,243,000,000","4,922,000,000","4,871,000,000","4,391,000,000","4,287,000,000","4,069,000,000","4,163,000,000","4,041,000,000","4,258,000,000","3,921,000,000","3,889,000,000","3,811,000,000","4,441,000,000","4,065,000,000","4,048,000,000","3,831,000,000","4,191,000,000","3,736,000,000","4,443,000,000","5,251,000,000","5,454,000,000","5,345,000,000","5,434,000,000","5,011,000,000","5,111,000,000","4,798,000,000","4,768,000,000","4,807,000,000","2,922,000,000","5,487,000,000","5,384,000,000","5,015,000,000","5,249,000,000","5,254,000,000","5,203,000,000","5,181,000,000","4,894,000,000","5,050,000,000","4,928,000,000","4,476,000,000","4,213,000,000","4,154,000,000","4,871,000,000","4,676,000,000","5,019,000,000","4,767,000,000","4,889,000,000","4,532,000,000","3,342,000,000","5,427,000,000","5,430,000,000","5,181,000,000","5,794,000,000","5,337,000,000","5,052,000,000","4,711,000,000","4,794,000,000","4,537,000,000","4,053,000,000","4,082,000,000","5,282,000,000","4,743,000,000","4,709,000,000","4,689,000,000","4,784,000,000","4,563,000,000","5,275,000,000","5,260,000,000","5,408,000,000","5,040,000,000","4,920,000,000","4,854,000,000","4,885,000,000","4,523,000,000","4,430,000,000","4,446,000,000","4,441,000,000","4,151,000,000","4,064,000,000","4,045,000,000","3,955,000,000","3,745,000,000","3,696,000,000","3,669,000,000","3,608,000,000","3,413,000,000","3,445,000,000","3,301,000,000","3,248,000,000","2,932,000,000","2,970,000,000","2,834,000,000","2,993,000,000","2,862,000,000","2,802,000,000","2,755,000,000","2,390,000,000","3,103,000,000","2,880,000,000","2,783,000,000","2,937,000,000","2,757,000,000","2,730,000,000","2,735,000,000","2,736,000,000","2,622,000,000","2,484,000,000","2,458,000,000","2,360,000,000","2,320,000,000","2,244,000,000","2,265,000,000","2,144,000,000","2,196,000,000","2,101,000,000","2,117,000,000","1,889,500,000","1,889,500,000","1,889,500,000","1,889,500,000"
CostOfRevenue,"9,940,000,000","2,356,000,000","2,291,000,000","2,452,000,000","2,841,000,000","2,910,000,000","2,502,000,000","2,699,000,000","3,662,000,000","2,432,000,000","1,810,000,000","1,992,000,000","1,844,000,000","1,690,000,000","1,648,000,000","1,625,000,000","1,584,000,000","1,673,000,000","1,572,000,000","1,562,000,000","1,259,000,000","1,383,000,000","1,305,000,000","1,206,000,000","1,052,000,000","952,000,000","1,097,000,000","1,013,000,000","847,000,000","966,000,000","1,007,000,000","991,000,000","968,000,000","1,273,000,000","1,175,000,000","1,108,000,000","1,063,000,000","1,075,000,000","987,000,000","1,245,000,000","1,303,000,000","1,367,000,000","1,407,000,000","1,481,000,000","1,343,000,000","1,414,000,000","1,280,000,000","1,277,000,000","1,306,000,000","704,000,000","1,562,000,000","1,461,000,000","1,413,000,000","1,522,000,000","1,634,000,000","1,670,000,000","1,657,000,000","1,655,000,000","1,622,000,000","1,549,000,000","1,392,000,000","1,447,000,000","1,465,000,000","1,568,000,000","1,476,000,000","1,595,000,000","1,483,000,000","1,483,000,000","1,367,000,000","-105,000,000","2,100,000,000","2,095,000,000","1,899,000,000","2,203,000,000","1,908,000,000","1,796,000,000","1,685,000,000","1,766,000,000","1,654,000,000","1,396,000,000","1,391,000,000","1,614,000,000","1,331,000,000","1,347,000,000","1,283,000,000","1,102,000,000","1,013,000,000","1,200,000,000","1,192,000,000","1,282,000,000","1,244,000,000","1,197,000,000","1,138,000,000","1,139,000,000","1,035,000,000","1,060,000,000","997,000,000","997,000,000","970,000,000","962,000,000","944,000,000","927,000,000","877,000,000","839,000,000","804,000,000","732,000,000","843,000,000","823,000,000","791,000,000","790,000,000","678,000,000","662,000,000","665,000,000","730,000,000","687,000,000","639,000,000","665,000,000","498,000,000","748,000,000","677,000,000","639,000,000","708,000,000","648,000,000","660,000,000","668,000,000","696,000,000","660,000,000","636,000,000","638,000,000",,,,,,,,,,,,
GrossProfit,"36,445,000,000","9,629,000,000","9,333,000,000","9,251,000,000","8,232,000,000","8,158,000,000","8,038,000,000","7,430,000,000","7,119,000,000","5,513,000,000","4,197,000,000","4,281,000,000","4,076,000,000","4,283,000,000","4,043,000,000","4,079,000,000","3,609,000,000","3,776,000,000","3,682,000,000","3,582,000,000","3,670,000,000","3,860,000,000","3,617,000,000","3,665,000,000","3,339,000,000","3,335,000,000","2,972,000,000","3,150,000,000","3,194,000,000","3,292,000,000","2,914,000,000","2,898,000,000","2,843,000,000","3,168,000,000","2,890,000,000","2,940,000,000","2,768,000,000","3,116,000,000","2,749,000,000","3,198,000,000","3,948,000,000","4,087,000,000","3,938,000,000","3,953,000,000","3,668,000,000","3,697,000,000","3,518,000,000","3,491,000,000","3,501,000,000","2,218,000,000","3,925,000,000","3,923,000,000","3,602,000,000","3,727,000,000","3,620,000,000","3,533,000,000","3,524,000,000","3,239,000,000","3,428,000,000","3,379,000,000","3,084,000,000","2,766,000,000","2,689,000,000","3,303,000,000","3,200,000,000","3,424,000,000","3,284,000,000","3,406,000,000","3,165,000,000","3,447,000,000","3,327,000,000","3,335,000,000","3,282,000,000","3,591,000,000","3,429,000,000","3,256,000,000","3,026,000,000","3,028,000,000","2,883,000,000","2,657,000,000","2,691,000,000","3,668,000,000","3,412,000,000","3,362,000,000","3,406,000,000","3,682,000,000","3,550,000,000","4,075,000,000","4,068,000,000","4,126,000,000","3,796,000,000","3,723,000,000","3,716,000,000","3,746,000,000","3,488,000,000","3,370,000,000","3,449,000,000","3,444,000,000","3,181,000,000","3,102,000,000","3,101,000,000","3,028,000,000","2,868,000,000","2,857,000,000","2,865,000,000","2,876,000,000","2,570,000,000","2,622,000,000","2,510,000,000","2,458,000,000","2,254,000,000","2,308,000,000","2,169,000,000","2,263,000,000","2,175,000,000","2,163,000,000","2,090,000,000","1,892,000,000","2,355,000,000","2,203,000,000","2,144,000,000","2,229,000,000","2,109,000,000","2,070,000,000","2,067,000,000","2,040,000,000","1,962,000,000","1,848,000,000","1,820,000,000",,,,,,,,,,,,
OperatingExpense,"29,067,000,000","7,378,000,000","7,585,000,000","7,700,000,000","6,404,000,000","8,997,000,000","6,696,000,000","6,539,000,000","6,336,000,000","4,956,000,000","2,437,000,000","2,404,000,000","2,357,000,000","2,716,000,000","2,384,000,000","3,566,000,000","2,230,000,000","3,291,000,000","2,712,000,000","2,862,000,000","2,395,000,000","2,886,000,000","2,301,000,000","2,529,000,000","2,226,000,000","3,466,000,000","2,356,000,000","3,027,000,000","2,072,000,000","3,293,000,000","2,211,000,000","2,599,000,000","2,130,000,000","2,306,000,000","2,104,000,000","2,312,000,000","2,113,000,000","2,595,000,000","2,189,000,000","2,190,000,000","1,933,000,000","2,509,000,000","2,197,000,000","2,216,000,000","2,077,000,000","2,562,000,000","1,947,000,000","1,979,000,000","2,022,000,000","1,430,000,000","2,147,000,000","2,134,000,000","2,311,000,000","2,910,000,000","2,404,000,000","2,411,000,000","2,348,000,000","2,621,000,000","2,392,000,000","2,355,000,000","2,234,000,000","2,550,000,000","2,231,000,000","2,273,000,000","2,283,000,000","2,588,000,000","2,304,000,000","2,282,000,000","2,154,000,000","2,462,000,000","2,149,000,000","2,183,000,000","2,133,000,000","2,416,000,000","2,061,000,000","2,006,000,000","1,872,000,000","2,146,000,000","1,808,000,000","1,867,000,000","1,696,000,000","2,201,000,000","1,737,000,000","1,861,000,000","1,719,000,000","2,076,000,000","2,023,000,000","2,576,000,000","2,390,000,000","2,585,000,000","2,278,000,000","2,405,000,000","2,240,000,000","2,427,000,000","2,142,000,000","2,206,000,000","2,157,000,000","2,367,000,000","1,985,000,000","2,070,000,000","1,968,000,000","2,080,000,000","1,808,000,000","1,934,000,000","1,843,000,000","2,013,000,000","1,612,000,000","1,760,000,000","1,578,000,000","1,710,000,000","1,380,000,000","1,536,000,000","1,341,000,000","2,165,000,000","1,352,000,000","1,459,000,000","1,312,000,000","2,160,000,000","1,547,000,000","1,534,000,000","1,393,000,000","1,646,000,000","1,325,000,000","1,375,000,000","1,363,000,000","1,568,000,000","1,246,000,000","1,242,000,000","1,225,000,000",,,,,,,,,,,,
	SellingGeneralAndAdministration,"7,690,000,000","2,354,000,000","1,788,000,000","1,882,000,000","1,666,000,000","2,721,000,000","1,706,000,000","1,628,000,000","1,606,000,000","1,734,000,000","1,055,000,000","1,076,000,000","1,006,000,000","1,336,000,000","1,104,000,000","1,131,000,000","980,000,000","1,370,000,000","1,169,000,000","1,203,000,000","1,107,000,000","1,486,000,000","1,163,000,000","1,263,000,000","1,090,000,000","1,550,000,000","1,224,000,000","1,171,000,000","1,056,000,000","2,104,000,000","1,228,000,000","1,183,000,000","1,184,000,000","1,349,000,000","1,211,000,000","1,361,000,000","1,183,000,000","1,513,000,000","1,238,000,000","1,228,000,000","1,196,000,000","1,501,000,000","1,224,000,000","1,293,000,000","1,142,000,000","1,268,000,000","1,123,000,000","1,157,000,000","1,112,000,000","739,000,000","1,478,000,000","1,477,000,000","1,388,000,000","1,767,000,000","1,570,000,000","1,585,000,000","1,553,000,000","1,751,000,000","1,565,000,000","1,577,000,000","1,427,000,000","1,729,000,000","1,475,000,000","1,533,000,000","1,533,000,000","1,813,000,000","1,635,000,000","1,633,000,000","1,501,000,000","1,785,000,000","1,534,000,000","1,558,000,000","1,550,000,000","1,711,000,000","1,493,000,000","1,476,000,000","1,396,000,000","1,492,000,000","1,273,000,000","1,331,000,000","1,184,000,000","1,441,000,000","1,241,000,000","1,366,000,000","1,211,000,000","1,326,000,000","1,357,000,000","1,918,000,000","1,735,000,000","1,881,000,000","1,668,000,000","1,788,000,000","1,650,000,000","1,847,000,000","1,588,000,000","1,676,000,000","1,619,000,000","1,793,000,000","1,499,000,000","1,614,000,000","1,508,000,000","1,613,000,000","1,346,000,000","1,502,000,000","1,410,000,000","1,501,000,000","1,232,000,000","1,380,000,000","1,202,000,000","1,322,000,000","1,024,000,000","1,185,000,000","1,000,000,000","2,087,000,000","1,276,000,000","1,381,000,000","1,236,000,000","2,080,000,000","1,472,000,000","1,463,000,000","1,324,000,000","1,590,000,000","1,260,000,000","1,325,000,000","1,288,000,000","1,506,000,000","1,186,000,000","1,182,000,000","1,163,000,000",,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,"71,000,000","22,000,000","36,000,000","33,000,000","25,000,000","19,000,000","25,000,000","22,000,000","49,000,000","48,000,000","36,000,000","27,000,000","740,000,000","28,000,000","45,000,000","64,000,000","27,000,000","37,000,000","101,000,000",,"-2,919,000,000","1,071,000,000","1,004,000,000","1,002,000,000","1,216,000,000","1,019,000,000","1,040,000,000","928,000,000","997,000,000","892,000,000","894,000,000","900,000,000","688,000,000","1,117,000,000","1,077,000,000","1,064,000,000","1,318,000,000","1,208,000,000","1,165,000,000","1,223,000,000","1,274,000,000","1,214,000,000","1,209,000,000","1,158,000,000","1,311,000,000","1,189,000,000","1,181,000,000","1,238,000,000","1,369,000,000","1,286,000,000","1,268,000,000","1,183,000,000","1,361,000,000","1,209,000,000","1,212,000,000","1,234,000,000","1,452,000,000","1,118,000,000","1,058,000,000","1,032,000,000","1,103,000,000","971,000,000","941,000,000","896,000,000","1,111,000,000","939,000,000","942,000,000","834,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,"71,000,000","22,000,000","36,000,000","33,000,000","25,000,000","19,000,000","25,000,000","22,000,000","49,000,000","48,000,000","36,000,000","27,000,000","740,000,000","28,000,000","45,000,000","64,000,000","27,000,000","37,000,000","101,000,000",,"155,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,071,000,000","1,004,000,000","1,002,000,000","1,216,000,000","1,019,000,000","1,040,000,000","928,000,000","997,000,000","892,000,000","894,000,000","900,000,000","688,000,000","1,117,000,000","1,077,000,000","1,064,000,000","1,318,000,000","1,208,000,000","1,165,000,000","1,223,000,000","1,274,000,000","1,214,000,000","1,209,000,000","1,158,000,000","1,311,000,000","1,189,000,000","1,181,000,000","1,238,000,000","1,369,000,000","1,286,000,000","1,268,000,000","1,183,000,000","1,361,000,000","1,209,000,000","1,212,000,000","1,234,000,000","1,452,000,000","1,118,000,000","1,058,000,000","1,032,000,000","1,103,000,000","971,000,000","941,000,000","896,000,000","1,111,000,000","939,000,000","942,000,000","834,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"7,690,000,000","2,354,000,000","1,788,000,000",,"1,666,000,000","2,721,000,000","1,706,000,000","1,628,000,000","1,606,000,000","1,734,000,000","1,055,000,000","1,076,000,000","1,006,000,000","1,336,000,000","1,104,000,000","1,131,000,000","980,000,000","1,299,000,000","1,147,000,000","1,167,000,000","1,074,000,000","1,461,000,000","1,144,000,000","1,238,000,000","1,068,000,000","1,501,000,000","1,176,000,000","1,135,000,000","1,029,000,000","1,364,000,000","1,200,000,000","1,138,000,000","1,120,000,000","1,322,000,000","1,174,000,000","1,260,000,000","1,183,000,000","4,432,000,000","167,000,000","224,000,000","194,000,000","285,000,000","205,000,000","253,000,000","214,000,000","271,000,000","231,000,000","263,000,000","212,000,000","51,000,000","361,000,000","400,000,000","324,000,000","449,000,000","362,000,000","420,000,000","330,000,000","477,000,000","351,000,000","368,000,000","269,000,000","418,000,000","286,000,000","352,000,000","295,000,000","444,000,000","349,000,000","365,000,000","318,000,000","424,000,000","325,000,000","346,000,000","316,000,000","259,000,000","375,000,000","418,000,000","364,000,000","389,000,000","302,000,000","390,000,000","288,000,000","330,000,000","302,000,000","424,000,000","377,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
