name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"3,047,522,000","737,912,000","769,654,000","725,919,000","814,037,000","640,052,000","671,396,000","598,157,000","696,503,000","576,979,000","617,363,000","572,932,000","617,463,000","507,638,000","529,813,000","472,068,000","500,338,000","473,371,000","474,609,000","464,724,000","444,566,000","433,138,000","461,652,000","445,662,000","422,335,000","404,063,000","431,863,000","417,244,000","403,781,000","390,148,000","420,615,000","394,690,000","362,007,000","339,364,000","358,196,000","324,150,000","333,793,000","291,879,000","303,800,000","290,916,000","302,486,000","244,097,000","260,401,000","246,816,000","262,228,000","229,938,000","247,616,000","243,665,000","252,273,000","214,162,000","243,766,000","246,369,000","263,580,000","232,090,000","247,029,000","241,720,000","256,715,000","217,226,000","237,284,000","246,644,000","258,513,000","214,650,000","211,965,000","220,807,000","230,582,000","196,857,000","190,645,000","195,931,000","202,374,000","163,046,000","160,381,000","157,942,000","165,565,000","134,901,000","133,545,000","137,858,000","144,736,000","119,147,000","110,657,000","114,903,000","111,035,000","109,695,000","85,234,000","80,361,000","77,215,000","59,414,000","50,055,000","48,561,000","50,082,000","45,309,000","43,395,000","42,103,000","43,876,000","39,370,000","38,818,000","38,974,000","36,629,000","30,917,000","32,066,000","32,226,000","33,982,000","29,905,000","29,426,000","28,623,000","30,726,000","27,026,000","26,350,000","25,646,000","27,343,000","24,107,000","24,800,000","22,800,000","27,900,000","25,000,000","24,400,000","22,400,000","13,000,000","14,100,000","13,800,000","11,700,000","12,800,000","12,700,000","12,400,000","11,000,000","12,500,000","12,200,000","11,600,000","11,500,000","11,400,000","11,200,000","11,200,000","9,300,000","9,900,000","7,500,000","8,800,000","8,300,000","10,100,000","6,900,000","7,900,000","7,700,000","8,400,000","8,300,000","8,600,000","8,000,000","8,200,000","7,500,000","8,500,000"
	OperatingRevenue,"3,047,522,000","737,912,000","769,654,000","725,919,000","814,037,000","640,052,000","671,396,000","598,157,000","696,503,000","576,979,000","617,363,000","572,932,000","617,463,000","507,638,000","529,813,000","472,068,000","500,338,000","473,371,000","474,609,000","464,724,000","444,566,000","433,138,000","461,652,000","445,662,000","422,335,000","404,063,000","431,863,000","417,244,000","403,781,000","390,148,000","420,615,000","394,690,000","362,007,000","339,364,000","358,196,000","324,150,000","333,793,000","291,879,000","303,800,000","290,916,000","302,486,000","237,784,000","260,401,000","246,816,000","262,228,000","229,392,000","246,447,000","241,399,000","251,005,000","213,504,000","243,191,000","245,055,000","264,274,000","962,727,000","3,263,000","241,720,000","253,528,000","243,688,000","225,421,000","230,476,000","245,559,000","222,242,000","208,558,000","217,427,000","227,915,000","194,046,000","188,444,000","192,738,000","200,315,000","158,352,000","158,852,000","156,749,000","164,314,000","131,631,000","132,146,000","137,257,000","144,252,000","117,402,000","109,799,000","114,262,000","110,826,000","108,378,000","84,696,000","78,609,000","75,828,000","57,860,000","48,985,000","47,771,000","48,676,000","41,442,000","43,395,000","42,103,000","43,876,000","36,022,000","38,818,000","38,974,000","36,629,000","26,091,000","32,066,000","32,226,000","33,982,000","25,603,000","29,426,000","28,623,000","30,726,000","22,659,000","26,350,000","25,646,000","27,343,000","18,426,000","24,800,000","22,800,000","27,900,000","25,000,000","24,400,000","22,400,000","13,000,000","14,100,000","13,800,000","11,700,000","12,800,000","12,700,000","12,400,000","11,000,000","12,500,000","12,200,000","11,600,000","11,500,000","11,400,000","11,200,000","11,200,000","9,300,000","9,900,000","7,500,000","8,800,000","8,300,000","10,100,000","6,900,000","7,900,000","7,700,000","8,400,000","8,300,000","8,600,000","8,000,000","8,200,000","7,500,000","8,500,000"
CostOfRevenue,"1,636,911,000","416,804,000","394,997,000","395,611,000","429,498,000","377,470,000","362,767,000","346,515,000","349,624,000","334,598,000","331,120,000","309,610,000","332,837,000","278,012,000","268,045,000","251,958,000","270,899,000","258,207,000","246,062,000","244,517,000","245,866,000","232,403,000","237,653,000","231,102,000","224,059,000","213,368,000","211,267,000","211,499,000","205,305,000","208,116,000","203,126,000","196,397,000","184,110,000","179,460,000","180,528,000","163,514,000","159,498,000","608,506,000","0","0","0","0","0","0","0",,"0","0","0",,"0","0","0",,"0",,"0",,"0","0","0",,"0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,785,000","5,592,000","6,541,000","6,604,000","5,974,000","5,285,000","6,077,000","6,064,000",,,,"4,500,000","4,300,000","4,700,000","5,400,000","5,700,000","3,600,000","2,500,000","2,300,000","2,500,000","3,000,000","2,700,000","2,300,000","2,700,000","3,000,000","2,300,000","2,500,000","2,500,000","2,500,000","2,500,000","2,300,000",,,,,,,,,,,,,,,
GrossProfit,"1,410,611,000","321,108,000","374,657,000","330,308,000","384,539,000","262,582,000","308,629,000","251,642,000","346,879,000","242,381,000","286,243,000","263,322,000","284,626,000","229,626,000","261,768,000","220,110,000","229,439,000","215,164,000","228,547,000","220,207,000","198,700,000","200,735,000","223,999,000","214,560,000","198,276,000","190,695,000","220,596,000","205,745,000","198,476,000","182,032,000","217,489,000","198,293,000","177,897,000","159,904,000","177,668,000","160,636,000","174,295,000","-316,627,000","303,800,000","290,916,000","302,486,000","244,097,000","260,401,000","246,816,000","262,228,000",,"247,616,000","243,665,000","252,273,000",,"243,766,000","246,369,000","263,580,000",,"247,029,000",,"256,715,000",,"237,284,000","246,644,000","258,513,000",,"211,965,000","220,807,000","230,582,000","196,857,000","190,645,000","195,931,000","202,374,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,120,000","23,834,000","22,082,000","24,122,000","21,052,000","21,065,000","19,569,000","21,279,000",,,,"23,400,000","20,700,000","19,700,000","17,000,000","7,300,000","10,500,000","11,300,000","9,400,000","10,300,000","9,700,000","9,700,000","8,700,000","9,800,000","9,200,000","9,300,000","9,000,000","8,900,000","8,700,000","8,700,000","7,000,000",,,,,,,,,,,,,,,
OperatingExpense,"555,843,000","150,134,000","139,794,000","134,602,000","131,312,000","127,643,000","125,109,000","108,477,000","139,544,000","126,628,000","128,496,000","129,670,000","121,010,000","118,421,000","110,593,000","110,078,000","102,404,000","99,681,000","98,982,000","98,314,000","94,637,000","92,317,000","94,433,000","93,255,000","90,533,000","84,899,000","98,383,000","97,339,000","94,258,000","85,635,000","97,995,000","92,405,000","82,492,000","81,919,000","79,857,000","71,404,000","70,517,000","-380,459,000","217,287,000","215,771,000","215,609,000","183,260,000","184,144,000","181,740,000","181,951,000","176,021,000","170,975,000","172,020,000","175,581,000","169,374,000","172,653,000","175,758,000","180,739,000","174,219,000","176,068,000","171,382,000","168,697,000","160,375,000","158,454,000","158,732,000","156,777,000","149,300,000","143,171,000","146,511,000","145,624,000","135,819,000","131,318,000","131,752,000","128,319,000","112,785,000","109,880,000","104,670,000","105,494,000","92,756,000","91,061,000","92,388,000","94,728,000","86,177,000","76,099,000","78,055,000","76,088,000","80,640,000","62,523,000","59,032,000","55,617,000","44,545,000","36,228,000","37,053,000","35,990,000","161,894,000","-9,715,000","-10,401,000","-9,444,000","138,591,000","-7,074,000","-8,703,000","-7,067,000","118,158,000","-6,406,000","-7,042,000","-7,157,000","45,793,000","15,255,000","15,118,000","15,468,000","41,494,000","13,491,000","13,701,000","13,901,000","96,455,000","-5,900,000","-5,600,000","14,700,000","15,600,000","14,000,000","14,300,000","4,700,000","9,400,000","8,100,000","7,600,000","7,600,000","7,100,000","6,800,000","6,600,000","6,900,000","7,200,000","6,700,000","6,900,000","6,300,000","5,900,000","5,800,000","5,400,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,835,000","4,889,000","6,102,000","6,357,000","214,000","5,640,000","5,994,000","7,515,000","7,699,000","7,431,000","3,623,000","3,850,000","-445,567,000","153,599,000","154,490,000","153,343,000","132,245,000","129,733,000","128,561,000","129,330,000","123,879,000","123,496,000","123,152,000","124,138,000","117,222,000","121,339,000","124,320,000","129,157,000","123,661,000","123,991,000","122,314,000","123,131,000","111,504,000","111,982,000","113,970,000","112,312,000","100,975,000","101,658,000","104,614,000","103,060,000","97,427,000","94,690,000","94,888,000","91,275,000","82,221,000","79,449,000","76,270,000","76,282,000","67,157,000","66,882,000","66,092,000","68,241,000","60,224,000","53,527,000","55,604,000","55,400,000","54,274,000","44,659,000","40,844,000","39,544,000","31,176,000","25,539,000","25,710,000","24,894,000","22,987,000","22,057,000","22,242,000","22,311,000","20,178,000","20,183,000","20,712,000","18,043,000","15,562,000","16,175,000","16,492,000","16,838,000","14,556,000","15,255,000","15,118,000","15,468,000","13,531,000","13,491,000","13,701,000","13,901,000","35,247,000","12,700,000","12,600,000","13,100,000","13,900,000","12,300,000","12,500,000","3,600,000","8,100,000","6,900,000","6,500,000","6,600,000","6,200,000","5,900,000","5,700,000","6,000,000","6,200,000","5,800,000","6,000,000","5,600,000","5,100,000","5,100,000","4,900,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,835,000","4,889,000","6,102,000","6,357,000","214,000","5,640,000","5,994,000","7,515,000","7,699,000","7,431,000","3,623,000","3,850,000","-445,567,000","153,599,000","154,490,000","153,343,000","132,245,000","129,733,000","128,561,000","129,330,000","123,879,000","123,496,000","123,152,000","124,138,000","117,222,000","121,339,000","124,320,000","129,157,000","123,661,000","123,991,000","122,314,000","123,131,000","111,504,000","111,982,000","113,970,000","112,312,000","100,975,000","101,658,000","104,614,000","103,060,000","97,427,000","94,690,000","94,888,000","91,275,000","82,221,000","79,449,000","76,270,000","76,282,000","67,157,000","66,882,000","66,092,000","68,241,000","60,224,000","53,527,000","55,604,000","55,400,000","54,274,000","44,659,000","40,844,000","39,544,000","31,176,000","25,539,000","25,710,000","24,894,000","22,987,000","22,057,000","22,242,000","22,311,000","20,178,000","20,183,000","20,712,000","18,043,000","15,562,000","16,175,000","16,492,000","16,838,000",,,,,,,,,,"12,700,000","12,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,835,000","4,889,000","6,102,000","6,357,000","214,000","5,640,000","5,994,000","7,515,000","7,699,000","7,431,000","3,623,000","3,850,000","-445,567,000","153,599,000","154,490,000","153,343,000","132,245,000","129,733,000","128,561,000","129,330,000","123,879,000","123,496,000","123,152,000","124,138,000","117,222,000","121,339,000","124,320,000","129,157,000","123,661,000","123,991,000","122,314,000","123,131,000","111,504,000","111,982,000","113,970,000","112,312,000","100,975,000","101,658,000","104,614,000","103,060,000","97,427,000","94,690,000","94,888,000","91,275,000","82,221,000","79,449,000","76,270,000","76,282,000","67,157,000","66,882,000","66,092,000","68,241,000","60,224,000","53,527,000","55,604,000","55,400,000","54,274,000","44,659,000","40,844,000","39,544,000","31,176,000","25,539,000","25,710,000","24,894,000","22,987,000","22,057,000","22,242,000","22,311,000","20,178,000","20,183,000","20,712,000","18,043,000","15,562,000","16,175,000","16,492,000","16,838,000",,,,,,,,,,"12,700,000","12,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"152,902,000","38,883,000","38,723,000","38,347,000","36,949,000","35,773,000","33,706,000","32,909,000","32,412,000","32,781,000","32,087,000","31,620,000","32,227,000","30,007,000","26,896,000","26,384,000","26,091,000","26,500,000","26,924,000","27,002,000","27,718,000","26,774,000","27,000,000","26,964,000","26,928,000","27,270,000","27,373,000","26,860,000","26,808,000","28,016,000","27,439,000","25,865,000","22,516,000","22,381,000","22,324,000","20,384,000","20,328,000","20,113,000","19,914,000","19,665,000","19,254,000","17,081,000","16,787,000","16,635,000","16,644,000","16,511,000","15,985,000","15,779,000","15,806,000","15,770,000","15,791,000","15,818,000","15,718,000","15,199,000","15,672,000","14,684,000","14,362,000","13,909,000","13,544,000","13,204,000","12,542,000","12,438,000","12,011,000","11,763,000","11,595,000","11,530,000","10,990,000","10,884,000","9,902,000","8,318,000","8,015,000","7,752,000","6,971,000","6,648,000","6,325,000","6,435,000","6,264,000","5,774,000","5,294,000","5,235,000","4,984,000","6,187,000","5,559,000","5,626,000","4,751,000","3,357,000","3,302,000","2,099,000","2,120,000",,,,,,,,,,,,,,,,,,,,,,,,"1,600,000","1,700,000","1,700,000","1,800,000","1,100,000","1,300,000","1,200,000","1,100,000","1,000,000","900,000","900,000","900,000","900,000","1,000,000","900,000","900,000","700,000","800,000","700,000","500,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"152,902,000","38,883,000","38,723,000","38,347,000","36,949,000","35,773,000","33,706,000","32,909,000","32,412,000","32,781,000","32,087,000","31,620,000","32,227,000","30,007,000","26,896,000","26,384,000","26,091,000","26,500,000","26,924,000","27,002,000","27,718,000","26,774,000","27,000,000","26,964,000","26,928,000","27,270,000","27,373,000","26,860,000","26,808,000","28,016,000","27,439,000","25,865,000","22,516,000","22,381,000","22,324,000","20,384,000","20,328,000","20,113,000","19,914,000","19,665,000","19,254,000","17,081,000","16,787,000","16,635,000","16,644,000","16,511,000","15,985,000","15,779,000","15,806,000","15,770,000","15,791,000","15,818,000","15,718,000","15,199,000","15,672,000","14,684,000","14,362,000","13,909,000","13,544,000","13,204,000","12,542,000","12,438,000","12,011,000","11,763,000","11,595,000","11,530,000","10,990,000","10,884,000","9,902,000","8,318,000","8,015,000","7,752,000","6,971,000","6,648,000","6,325,000","6,435,000","6,264,000","5,774,000","5,294,000","5,235,000","4,984,000","6,187,000","5,559,000","5,626,000","4,751,000","3,357,000","3,302,000","2,099,000","2,120,000",,,,,,,,,,,,,,,,,,,,,,,,"1,600,000","1,700,000","1,700,000","1,800,000","1,100,000","1,300,000","1,200,000","1,100,000","1,000,000","900,000","900,000","900,000","900,000","1,000,000","900,000","900,000","700,000","800,000","700,000","500,000",,,,,,,,,,,,,,,
