name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
TotalRevenue,"11,888,000,000","3,127,000,000","2,932,000,000","3,077,000,000","2,752,000,000","2,709,000,000","2,659,000,000","2,003,000,000","2,543,000,000","2,904,000,000","2,707,000,000","2,631,000,000","2,493,000,000","2,561,000,000","2,393,000,000","2,490,000,000","2,379,000,000","2,408,000,000","2,222,000,000","2,257,000,000","2,160,000,000","2,191,000,000","2,105,000,000","2,126,000,000","1,964,000,000","1,978,000,000","1,888,000,000","1,843,000,000","1,768,000,000","1,887,000,000","1,846,000,000","1,873,000,000","1,774,000,000","1,838,000,000","1,735,000,000","1,809,000,000","1,761,000,000","1,821,000,000","1,735,000,000","1,828,000,000","1,866,000,000","1,848,000,000","1,874,000,000","1,975,000,000","1,925,000,000","2,002,000,000","1,916,000,000","1,928,000,000","1,960,000,000","2,079,000,000","2,025,000,000","2,074,000,000","2,010,000,000","2,002,000,000","1,978,000,000","2,024,000,000","2,046,000,000","2,153,000,000","2,048,000,000","2,071,000,000","2,086,000,000","2,065,000,000","2,026,000,000","2,110,000,000","1,620,000,000","1,540,000,000","1,511,000,000","1,617,000,000","1,615,000,000","1,600,000,000","1,482,000,000","1,460,000,000","1,082,000,000","939,000,000","876,000,000","854,000,000","807,000,000","814,000,000","722,000,000","708,000,000","675,000,000","677,000,000","670,000,000","672,000,000","654,000,000","638,000,000","652,000,000","695,000,000","679,000,000","717,000,000","691,000,000","726,000,000","708,000,000","682,500,000","575,400,000","505,700,000","470,000,000","493,200,000","474,800,000","473,700,000","399,200,000","408,700,000","373,700,000","357,200,000","322,400,000","431,200,000","232,800,000","227,300,000","215,700,000","121,600,000","112,200,000","109,900,000","105,300,000","101,100,000","95,600,000","94,400,000","88,900,000","84,400,000","81,900,000","76,300,000","72,600,000","63,800,000","59,900,000","55,900,000","50,500,000"
	OperatingRevenue,"11,888,000,000","3,127,000,000","2,932,000,000","3,077,000,000","2,752,000,000","2,709,000,000","2,659,000,000","2,003,000,000","2,543,000,000","2,904,000,000","2,707,000,000","2,631,000,000","2,493,000,000","2,561,000,000","2,393,000,000","2,490,000,000","2,379,000,000","2,408,000,000","2,222,000,000","2,257,000,000","2,160,000,000","2,191,000,000","2,105,000,000","2,126,000,000","1,964,000,000","1,978,000,000","1,888,000,000","1,843,000,000","1,768,000,000","1,887,000,000","1,846,000,000","1,873,000,000","1,774,000,000","1,838,000,000","1,735,000,000","1,809,000,000","1,761,000,000","1,821,000,000","1,735,000,000","1,828,000,000","1,866,000,000","1,848,000,000","1,874,000,000","1,975,000,000","1,925,000,000","2,002,000,000","1,916,000,000","1,928,000,000","1,960,000,000","2,079,000,000","2,025,000,000","2,074,000,000","2,010,000,000","2,002,000,000","1,978,000,000","2,024,000,000","2,046,000,000","2,153,000,000","2,048,000,000","2,071,000,000","2,086,000,000","2,065,000,000","2,026,000,000","2,110,000,000","1,620,000,000","1,540,000,000","1,511,000,000","1,617,000,000","1,615,000,000","1,600,000,000","1,482,000,000","1,460,000,000","1,082,000,000","939,000,000","876,000,000","854,000,000","807,000,000","814,000,000","722,000,000","708,000,000","675,000,000","677,000,000","670,000,000","672,000,000","654,000,000","638,000,000","652,000,000","695,000,000","679,000,000","717,000,000","691,000,000","726,000,000","708,000,000","682,500,000","575,400,000","505,700,000","470,000,000","493,200,000","474,800,000","473,700,000","399,200,000","408,700,000","373,700,000","357,200,000","322,400,000","431,200,000","232,800,000","227,300,000","215,700,000","121,600,000","112,200,000","109,900,000","105,300,000","101,100,000","95,600,000","94,400,000","88,900,000","84,400,000","81,900,000","76,300,000","72,600,000","63,800,000","59,900,000","55,900,000","50,500,000"
CostOfRevenue,"3,760,000,000","983,000,000","914,000,000","957,000,000","906,000,000","1,013,000,000","881,000,000","799,000,000","818,000,000","868,000,000","792,000,000","775,000,000","746,000,000","747,000,000","689,000,000","756,000,000","690,000,000","692,000,000","653,000,000","649,000,000","667,000,000","639,000,000","614,000,000","659,000,000","592,000,000","590,000,000","556,000,000","558,000,000","537,000,000","584,000,000","571,000,000","588,000,000","577,000,000","581,000,000","538,000,000","577,000,000","619,000,000","735,000,000","558,000,000","578,000,000","631,000,000","660,000,000","680,000,000","688,000,000","631,000,000","660,000,000","623,000,000","654,000,000","663,000,000","709,000,000","629,000,000","630,000,000","607,000,000","630,000,000","655,000,000","604,000,000","580,000,000","636,000,000","575,000,000","563,000,000","568,000,000","526,000,000","630,000,000","677,000,000","374,000,000","342,000,000","343,000,000","357,000,000","344,000,000","328,000,000","309,000,000","363,000,000","292,000,000","257,000,000","243,000,000","235,000,000","226,000,000","227,000,000","211,000,000","225,000,000","207,000,000","215,000,000","214,000,000","268,000,000","222,000,000","112,000,000","200,000,000","217,000,000","213,000,000","152,000,000","283,000,000","235,000,000","230,000,000","167,300,000","200,500,000","151,200,000","140,000,000","75,300,000","135,900,000","131,500,000","113,200,000","54,600,000","104,500,000","94,900,000","85,600,000","80,800,000","65,600,000","66,200,000","64,400,000","34,500,000","41,200,000","40,000,000","37,400,000","35,200,000","33,600,000","32,900,000","32,200,000","30,600,000","28,500,000","27,000,000","25,700,000",,,,
GrossProfit,"8,128,000,000","2,144,000,000","2,018,000,000","2,120,000,000","1,846,000,000","1,696,000,000","1,778,000,000","1,204,000,000","1,725,000,000","2,036,000,000","1,915,000,000","1,856,000,000","1,747,000,000","1,814,000,000","1,704,000,000","1,734,000,000","1,689,000,000","1,716,000,000","1,569,000,000","1,608,000,000","1,493,000,000","1,552,000,000","1,491,000,000","1,467,000,000","1,372,000,000","1,388,000,000","1,332,000,000","1,285,000,000","1,231,000,000","1,303,000,000","1,275,000,000","1,285,000,000","1,197,000,000","1,257,000,000","1,197,000,000","1,232,000,000","1,142,000,000","1,086,000,000","1,177,000,000","1,250,000,000","1,235,000,000","1,188,000,000","1,194,000,000","1,287,000,000","1,294,000,000","1,342,000,000","1,293,000,000","1,274,000,000","1,297,000,000","1,370,000,000","1,396,000,000","1,444,000,000","1,403,000,000","1,372,000,000","1,323,000,000","1,420,000,000","1,466,000,000","1,517,000,000","1,473,000,000","1,508,000,000","1,518,000,000","1,539,000,000","1,396,000,000","1,433,000,000","1,246,000,000","1,198,000,000","1,168,000,000","1,260,000,000","1,271,000,000","1,272,000,000","1,173,000,000","1,097,000,000","790,000,000","682,000,000","633,000,000","619,000,000","581,000,000","587,000,000","511,000,000","483,000,000","468,000,000","462,000,000","456,000,000","404,000,000","432,000,000","526,000,000","452,000,000","478,000,000","466,000,000","565,000,000","408,000,000","491,000,000","478,000,000","515,200,000","374,900,000","354,500,000","330,000,000","417,900,000","338,900,000","342,200,000","286,000,000","354,100,000","269,200,000","262,300,000","236,800,000","350,400,000","167,200,000","161,100,000","151,300,000","87,100,000","71,000,000","69,900,000","67,900,000","65,900,000","62,000,000","61,500,000","56,700,000","53,800,000","53,400,000","49,300,000","46,900,000",,,,
OperatingExpense,"6,304,000,000","1,665,000,000","1,560,000,000","1,599,000,000","1,480,000,000","1,507,000,000","1,496,000,000","1,237,000,000","1,479,000,000","1,601,000,000","1,496,000,000","1,409,000,000","1,309,000,000","1,403,000,000","1,307,000,000","1,308,000,000","1,262,000,000","1,290,000,000","1,193,000,000","1,201,000,000","1,172,000,000","1,224,000,000","1,140,000,000","1,136,000,000","1,062,000,000","1,156,000,000","1,081,000,000","1,036,000,000","973,000,000","1,071,000,000","1,062,000,000","1,058,000,000","966,000,000","1,046,000,000","976,000,000","985,000,000","938,000,000","865,000,000","926,000,000","1,008,000,000","1,019,000,000","1,017,000,000","983,000,000","1,013,000,000","231,000,000","830,000,000","1,032,000,000","1,047,000,000","1,060,000,000","2,576,000,000","1,336,000,000","1,129,000,000","1,369,000,000","624,000,000","1,533,000,000","1,091,000,000","1,094,000,000","1,758,000,000","1,545,000,000","1,236,000,000","1,236,000,000","1,253,000,000","1,201,000,000","1,241,000,000","749,000,000","733,000,000","1,504,000,000","731,000,000","685,000,000","767,000,000","815,000,000","585,000,000","526,000,000","482,000,000","452,000,000","434,000,000","413,000,000","390,000,000","265,000,000","356,000,000","343,000,000","76,000,000","354,000,000","362,000,000","313,000,000","388,000,000","287,000,000","286,000,000","286,000,000","371,000,000","291,000,000","276,000,000","279,000,000","1,103,400,000","247,000,000","236,900,000","223,200,000","379,300,000","214,400,000","203,400,000","178,100,000","331,700,000","164,100,000","151,000,000","133,700,000","293,400,000","88,500,000","85,900,000","77,100,000","49,300,000","39,200,000","39,200,000","38,200,000","34,200,000","35,000,000","35,300,000","33,100,000","28,300,000","29,000,000","27,300,000","25,900,000",,,,
	SellingGeneralAndAdministration,"4,359,000,000","1,153,000,000","1,066,000,000","1,121,000,000","1,019,000,000","1,027,000,000","984,000,000","798,000,000","978,000,000","1,092,000,000","1,012,000,000","968,000,000","869,000,000","953,000,000","870,000,000","886,000,000","860,000,000","886,000,000","800,000,000","815,000,000","794,000,000","831,000,000","772,000,000","779,000,000","716,000,000","778,000,000","729,000,000","700,000,000","668,000,000","752,000,000","741,000,000","743,000,000","666,000,000","724,000,000","658,000,000","661,000,000","631,000,000","515,000,000","618,000,000","696,000,000","707,000,000","653,000,000","665,000,000","694,000,000","647,000,000","721,000,000","673,000,000","691,000,000","679,000,000","2,189,000,000","952,000,000","724,000,000","984,000,000","723,000,000","995,000,000","655,000,000","661,000,000","704,000,000","719,000,000","803,000,000","787,000,000","758,000,000","719,000,000","728,000,000","525,000,000","468,000,000","444,000,000","471,000,000","431,000,000","515,000,000","504,000,000","375,000,000","348,000,000","313,000,000","295,000,000","292,000,000","271,000,000","266,000,000","249,000,000","246,000,000","241,000,000","274,000,000","232,000,000","230,000,000","225,000,000","223,000,000","216,000,000","214,000,000","214,000,000","211,000,000","220,000,000","204,000,000","207,000,000","262,400,000","186,300,000","188,300,000","178,600,000","219,000,000","171,100,000","162,400,000","144,400,000","355,100,000","133,800,000","122,300,000","107,900,000","303,200,000","71,000,000","69,500,000","61,300,000","32,900,000","32,000,000","31,600,000","30,700,000","32,000,000","33,600,000","33,900,000","31,700,000","27,100,000","27,800,000","26,100,000","24,900,000",,,,
	ResearchAndDevelopment,"1,204,000,000","320,000,000","310,000,000","298,000,000","276,000,000","286,000,000","315,000,000","242,000,000","300,000,000","308,000,000","306,000,000","280,000,000","280,000,000","288,000,000","289,000,000","275,000,000","261,000,000","263,000,000","254,000,000","244,000,000","235,000,000","256,000,000","232,000,000","222,000,000","210,000,000","244,000,000","221,000,000","220,000,000","192,000,000","208,000,000","212,000,000","206,000,000","191,000,000","217,000,000","217,000,000","223,000,000","204,000,000","238,000,000","220,000,000","213,000,000","215,000,000","230,000,000","229,000,000","223,000,000","212,000,000","225,000,000","230,000,000","232,000,000","253,000,000","241,000,000","258,000,000","263,000,000","257,000,000","257,000,000","252,000,000","253,000,000","244,000,000","256,000,000","271,000,000","275,000,000","294,000,000","267,000,000","272,000,000","283,000,000","186,000,000","174,000,000","181,000,000","166,000,000","159,000,000","158,000,000","145,000,000","132,000,000","134,000,000","128,000,000","113,000,000","108,000,000","103,000,000","95,000,000","87,000,000","85,000,000","76,000,000","-201,000,000","82,000,000","71,000,000","56,000,000","53,000,000","48,000,000","49,000,000","49,000,000","51,000,000","48,000,000","49,000,000","49,000,000","739,200,000","49,700,000","48,600,000","44,600,000","73,600,000","43,300,000","41,000,000","33,700,000",,"30,300,000","28,700,000","25,800,000",,"17,500,000","16,400,000","15,800,000","7,300,000","7,200,000","7,600,000","7,500,000",,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"741,000,000","192,000,000","184,000,000","180,000,000","185,000,000","194,000,000","197,000,000","197,000,000","201,000,000","201,000,000","178,000,000","161,000,000","160,000,000","162,000,000","148,000,000","147,000,000","141,000,000","141,000,000","139,000,000","142,000,000","143,000,000","137,000,000","136,000,000","135,000,000","136,000,000","134,000,000","131,000,000","116,000,000","113,000,000","111,000,000","109,000,000","109,000,000","109,000,000","105,000,000","101,000,000","101,000,000","103,000,000","101,000,000","99,000,000","99,000,000","97,000,000","96,000,000","97,000,000","96,000,000","132,000,000","132,000,000","129,000,000","124,000,000","128,000,000","130,000,000","126,000,000","126,000,000","128,000,000","133,000,000","131,000,000","135,000,000","143,000,000","174,000,000","155,000,000","158,000,000","155,000,000","174,000,000","153,000,000","165,000,000","38,000,000","38,000,000","47,000,000","36,000,000","31,000,000","30,000,000","34,000,000","26,000,000","22,000,000","27,000,000","21,000,000","21,000,000","20,000,000","19,000,000","19,000,000","17,000,000","17,000,000","31,000,000","30,000,000","52,000,000","23,000,000","112,000,000","23,000,000","23,000,000","23,000,000","109,000,000","23,000,000","23,000,000","23,000,000","101,800,000","11,000,000",,,,,,,,,,,,,,,,,,,"2,200,000","1,400,000","1,400,000","1,400,000","1,200,000","1,200,000","1,200,000","1,000,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"741,000,000","192,000,000","184,000,000","180,000,000","185,000,000","194,000,000","197,000,000","197,000,000","201,000,000","201,000,000","178,000,000","161,000,000","160,000,000","162,000,000","148,000,000","147,000,000","141,000,000","141,000,000","139,000,000","142,000,000","143,000,000","137,000,000","136,000,000","135,000,000","136,000,000","134,000,000","131,000,000","116,000,000","113,000,000","111,000,000","109,000,000","109,000,000","109,000,000","105,000,000","101,000,000","101,000,000","103,000,000","101,000,000","99,000,000","99,000,000","97,000,000","96,000,000","97,000,000","96,000,000","132,000,000","132,000,000","129,000,000","124,000,000","128,000,000","130,000,000","126,000,000","126,000,000","128,000,000","133,000,000","131,000,000","135,000,000","143,000,000","174,000,000","155,000,000","158,000,000","155,000,000","174,000,000","153,000,000","165,000,000","38,000,000","38,000,000","47,000,000","36,000,000","31,000,000","30,000,000","34,000,000","26,000,000","22,000,000","27,000,000","21,000,000","21,000,000","20,000,000","19,000,000","19,000,000","17,000,000","17,000,000","31,000,000","30,000,000","52,000,000","23,000,000","112,000,000","23,000,000","23,000,000","23,000,000","109,000,000","23,000,000","23,000,000","23,000,000","101,800,000","11,000,000",,,,,,,,,,,,,,,,,,,"2,200,000","1,400,000","1,400,000","1,400,000","1,200,000","1,200,000","1,200,000","1,000,000",,,,
			Amortization,"741,000,000","192,000,000","184,000,000","180,000,000","185,000,000","194,000,000","197,000,000","197,000,000","201,000,000","201,000,000","178,000,000","161,000,000","160,000,000","162,000,000","148,000,000","147,000,000","141,000,000","141,000,000","139,000,000","142,000,000","143,000,000","137,000,000","136,000,000","135,000,000","136,000,000","134,000,000","131,000,000","116,000,000","113,000,000","111,000,000","109,000,000","109,000,000","109,000,000","105,000,000","101,000,000","101,000,000","103,000,000","101,000,000","99,000,000","99,000,000","97,000,000","96,000,000","97,000,000","96,000,000","132,000,000","132,000,000","129,000,000","124,000,000","128,000,000","130,000,000","126,000,000","126,000,000","128,000,000","133,000,000","131,000,000","135,000,000","143,000,000","174,000,000","155,000,000","158,000,000","155,000,000","174,000,000","153,000,000","165,000,000","38,000,000","38,000,000","47,000,000","36,000,000","31,000,000","30,000,000","34,000,000","26,000,000","22,000,000","27,000,000","21,000,000","21,000,000","20,000,000","19,000,000","19,000,000","17,000,000","17,000,000","31,000,000","30,000,000","52,000,000","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
