name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalRevenue,"14,838,000,000","3,655,000,000","3,416,000,000","3,758,000,000","4,009,000,000","3,926,000,000","2,534,000,000","1,426,000,000","2,279,000,000","2,559,000,000","2,492,000,000","2,551,000,000","2,566,000,000","2,572,800,000","2,478,500,000","2,694,000,000","2,784,300,000","2,586,400,000","2,416,200,000","2,389,700,000","2,407,000,000","2,259,000,000","2,214,200,000","2,329,200,000","2,268,600,000","2,123,100,000","1,884,000,000","2,031,900,000","1,984,200,000","1,991,900,000","2,032,100,000","2,197,000,000","2,084,100,000","1,885,400,000","1,806,200,000","1,893,900,000","1,851,100,000","1,719,100,000","1,695,200,000","1,856,400,000","1,912,500,000","1,773,700,000","1,791,800,000","1,818,800,000","1,730,400,000","1,533,400,000","1,410,900,000","1,421,700,000","1,286,800,000","1,198,300,000","1,027,800,000","916,200,000","819,500,000","931,500,000","1,316,900,000","1,516,600,000","1,498,900,000","1,372,900,000","1,313,600,000","1,364,300,000","1,277,800,000","1,201,700,000","1,059,800,000","1,168,700,000","1,155,200,000","1,048,000,000","1,050,900,000","1,111,400,000","1,083,500,000","889,200,000","839,800,000","893,200,000","903,100,000","798,800,000","725,200,000","769,500,000","775,700,000","700,800,000","684,000,000","712,400,000","634,000,000","582,800,000","559,900,000","602,000,000","606,800,000","596,300,000","618,500,000","700,900,000","730,200,000","676,800,000","589,700,000","640,800,000","551,300,000","489,200,000","431,600,000","451,300,000","464,700,000","467,000,000","406,800,000","449,700,000","443,500,000","421,700,000","387,700,000","381,800,000","348,900,000","346,800,000","298,500,000","356,000,000","327,800,000","339,100,000","285,000,000","312,100,000","287,200,000","277,100,000","220,400,000","249,400,000","238,500,000","258,500,000","226,500,000","230,700,000","210,300,000"
	OperatingRevenue,"14,838,000,000","3,655,000,000","3,416,000,000","3,758,000,000","4,009,000,000","3,926,000,000","2,534,000,000","1,426,000,000","2,279,000,000","2,559,000,000","2,492,000,000","2,551,000,000","2,566,000,000","2,572,800,000","2,478,500,000","2,694,000,000","2,784,300,000","2,586,400,000","2,416,200,000","2,389,700,000","2,407,000,000","2,259,000,000","2,214,200,000","2,329,200,000","2,268,600,000","2,123,100,000","1,884,000,000","2,031,900,000","1,984,200,000","1,991,900,000","2,032,100,000","2,197,000,000","2,084,100,000","1,885,400,000","1,806,200,000","1,893,900,000","1,851,100,000","1,719,100,000","1,695,200,000","1,856,400,000","1,912,500,000","1,773,700,000","1,791,800,000","1,818,800,000","1,730,400,000","1,533,400,000","1,410,900,000","1,421,700,000","1,286,800,000","1,198,300,000","1,027,800,000","916,200,000","819,500,000","931,500,000","1,316,900,000","1,516,600,000","1,498,900,000","1,372,900,000","1,313,600,000","1,364,300,000","1,277,800,000","1,201,700,000","1,059,800,000","1,168,700,000","1,155,200,000","1,048,000,000","1,050,900,000","1,111,400,000","1,083,500,000","889,200,000","839,800,000","893,200,000","903,100,000","798,800,000","725,200,000","769,500,000","775,700,000","700,800,000","684,000,000","712,400,000","634,000,000","582,800,000","559,900,000","602,000,000","606,800,000","596,300,000","618,500,000","700,900,000","730,200,000","676,800,000","589,700,000","640,800,000","551,300,000","489,200,000","431,600,000","451,300,000","464,700,000","467,000,000","406,800,000","449,700,000","443,500,000","421,700,000","387,700,000","381,800,000","348,900,000","346,800,000","298,500,000","356,000,000","327,800,000","339,100,000","285,000,000","312,100,000","287,200,000","277,100,000","220,400,000","249,400,000","238,500,000","258,500,000","226,500,000","230,700,000","210,300,000"
CostOfRevenue,"11,983,000,000","3,030,000,000","2,766,000,000","2,996,000,000","3,191,000,000","3,154,000,000","2,017,000,000","1,252,000,000","1,832,000,000","2,014,000,000","1,968,000,000","2,038,000,000","2,047,000,000","2,030,000,000","1,962,900,000","2,114,800,000","2,192,500,000","2,020,500,000","1,893,500,000","1,875,500,000","1,889,700,000","1,758,000,000","1,743,100,000","1,832,500,000","1,804,300,000","1,676,200,000","1,485,800,000","1,602,900,000","1,555,200,000","1,578,600,000","1,607,600,000","1,724,200,000","1,638,300,000","1,478,800,000","1,426,600,000","1,497,300,000","1,476,400,000","1,374,900,000","1,351,500,000","1,473,200,000","1,516,700,000","1,414,000,000","1,441,000,000","1,461,700,000","1,387,600,000","1,227,300,000","1,137,600,000","1,146,300,000","1,048,300,000","985,100,000","876,000,000","800,000,000","739,900,000","857,600,000","1,114,600,000","1,237,800,000","1,215,400,000","1,115,200,000","1,084,900,000","1,116,700,000","1,061,900,000","989,500,000","876,500,000","937,600,000","928,800,000","848,500,000","842,700,000","878,900,000","869,800,000","725,500,000","694,700,000","723,400,000","730,500,000","639,700,000","595,900,000","622,800,000","624,200,000","554,900,000","556,100,000","538,000,000","481,000,000","442,700,000","429,700,000","458,400,000","471,100,000","448,500,000","473,100,000","542,000,000","550,300,000","513,800,000","458,600,000","491,700,000","424,400,000","392,100,000","337,900,000","355,300,000","365,400,000","359,100,000","323,700,000","346,900,000","345,700,000","322,400,000","308,100,000","297,500,000","277,500,000","273,900,000","241,000,000","276,900,000","253,000,000","265,100,000","221,600,000","240,500,000","221,200,000","212,800,000","171,700,000","194,100,000",,,,,
GrossProfit,"2,855,000,000","625,000,000","650,000,000","762,000,000","818,000,000","772,000,000","517,000,000","174,000,000","447,000,000","545,000,000","524,000,000","513,000,000","519,000,000","542,800,000","515,600,000","579,200,000","591,800,000","565,900,000","522,700,000","514,200,000","517,300,000","501,000,000","471,100,000","496,700,000","464,300,000","446,900,000","398,200,000","429,000,000","429,000,000","413,300,000","424,500,000","472,800,000","445,800,000","406,600,000","379,600,000","396,600,000","374,700,000","344,200,000","343,700,000","383,200,000","395,800,000","359,700,000","350,800,000","357,100,000","342,800,000","306,100,000","273,300,000","275,400,000","238,500,000","213,200,000","151,800,000","116,200,000","79,600,000","73,900,000","202,300,000","278,800,000","283,500,000","257,700,000","228,700,000","247,600,000","215,900,000","212,200,000","183,300,000","231,100,000","226,400,000","199,500,000","208,200,000","232,500,000","213,700,000","163,700,000","145,100,000","169,800,000","172,600,000","159,100,000","129,300,000","146,700,000","151,500,000","145,900,000","127,900,000","174,400,000","153,000,000","140,100,000","130,200,000","143,600,000","135,700,000","147,800,000","145,400,000","158,900,000","179,900,000","163,000,000","131,100,000","149,100,000","126,900,000","97,100,000","93,700,000","96,000,000","99,300,000","107,900,000","83,100,000","102,800,000","97,800,000","99,300,000","79,600,000","84,300,000","71,400,000","72,900,000","57,500,000","79,100,000","74,800,000","74,000,000","63,400,000","71,600,000","66,000,000","64,300,000","48,700,000","55,300,000",,,,,
OperatingExpense,"1,460,000,000","376,000,000","343,000,000","364,000,000","377,000,000","384,000,000","204,000,000","184,000,000","213,000,000","193,000,000","230,000,000","210,000,000","240,000,000","225,800,000","230,500,000","236,000,000","253,400,000","237,600,000","227,100,000","215,000,000","219,300,000","217,100,000","209,700,000","202,300,000","188,400,000","204,100,000","148,000,000","167,400,000","168,200,000","169,800,000","177,200,000","181,200,000","173,800,000","167,100,000","157,700,000","155,600,000","165,200,000","106,400,000","180,700,000","189,700,000","170,100,000","176,700,000","152,000,000","128,800,000","163,500,000","126,300,000","150,300,000","158,100,000","131,900,000","145,900,000","124,300,000","115,400,000","74,100,000","103,000,000","279,000,000","157,800,000","156,800,000","134,700,000","130,400,000","134,000,000","126,000,000","125,800,000","111,200,000","123,600,000","132,100,000","109,200,000","117,700,000","173,900,000","130,100,000","81,700,000","76,900,000","88,400,000","95,000,000","83,200,000","72,800,000","77,100,000","83,600,000","78,900,000","73,000,000","99,900,000","98,000,000","100,300,000","91,400,000","95,300,000","93,200,000","101,100,000","93,500,000","83,700,000","100,700,000","92,800,000","81,300,000","84,000,000","68,600,000","43,800,000","59,800,000","62,100,000","61,000,000","59,700,000","46,700,000","55,800,000","56,900,000","54,600,000","51,600,000","49,500,000","51,800,000","42,300,000","40,400,000","46,700,000","46,000,000","39,200,000","42,800,000","40,000,000","40,600,000","37,800,000","38,900,000","37,200,000",,,,,
	SellingGeneralAndAdministration,"1,460,000,000","376,000,000","343,000,000","364,000,000","377,000,000","350,000,000","204,000,000","184,000,000","213,000,000","205,000,000","230,000,000","212,000,000","226,000,000","225,800,000","230,500,000","236,000,000","253,400,000","239,900,000","224,800,000","215,000,000","218,800,000","217,100,000","209,700,000","202,300,000","188,400,000","204,100,000","148,000,000","167,400,000","168,200,000","169,800,000","177,200,000","181,200,000","173,800,000","167,100,000","157,700,000","155,600,000","165,200,000","173,500,000","151,000,000","153,100,000","169,000,000","146,800,000","151,400,000","157,700,000","165,100,000","148,300,000","150,200,000","137,800,000","130,300,000","144,400,000","125,900,000","115,400,000","74,100,000","92,500,000","134,800,000","159,900,000","155,700,000","135,900,000","134,100,000","135,200,000","126,700,000","127,500,000","116,800,000","124,300,000","132,600,000","110,100,000","120,000,000","130,900,000","134,200,000","79,100,000","77,400,000","87,800,000","94,700,000","83,500,000","72,700,000","77,000,000","83,600,000","79,200,000","73,200,000","72,700,000","71,000,000","63,900,000","55,500,000","59,300,000","55,600,000","65,300,000","57,500,000","57,800,000","63,500,000","56,400,000","51,000,000","53,500,000","42,400,000","22,400,000","36,600,000","38,600,000","37,500,000","36,500,000","25,500,000","34,000,000","36,000,000","32,900,000","29,800,000","29,200,000","30,800,000","23,000,000","22,100,000","26,300,000","26,400,000","22,500,000","24,600,000","22,000,000","23,000,000","22,100,000","20,800,000","20,300,000",,,,,
		GeneralAndAdministrativeExpense,,,"343,000,000","364,000,000","377,000,000",,,,,,,"212,000,000",,"225,800,000","230,500,000","236,000,000","253,400,000","239,900,000","224,800,000","215,000,000","218,800,000","217,100,000","209,700,000","202,300,000","188,400,000","204,100,000","148,000,000","167,400,000","168,200,000","169,800,000","177,200,000","181,200,000","173,800,000","167,100,000","157,700,000","155,600,000","165,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,"25,700,000","0",,,"400,000","2,700,000","0","0","0","0","0","5,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,"343,000,000","364,000,000","377,000,000",,,,,,,"212,000,000",,"225,800,000","230,500,000","236,000,000","253,400,000","239,900,000","224,800,000","215,000,000","218,800,000","217,100,000","209,700,000","202,300,000","188,400,000","178,400,000","148,000,000","167,400,000","168,200,000","169,400,000","174,500,000","181,200,000","173,800,000","167,100,000","157,700,000","155,600,000","159,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,200,000","27,000,000","36,400,000","35,900,000","36,000,000","37,600,000","35,800,000","36,000,000","25,900,000","37,200,000","36,400,000","30,300,000","30,500,000","26,200,000","21,400,000","23,200,000","23,500,000","23,500,000","23,200,000","21,200,000","21,800,000","20,900,000","21,700,000","21,800,000","20,300,000","21,000,000","19,300,000","18,300,000","20,400,000","19,600,000","16,700,000","18,200,000","18,000,000","17,600,000","15,700,000","18,100,000","16,900,000",,,,,
