name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997
TotalRevenue,"2,888,621,000","731,063,000","730,056,000","713,807,000","713,695,000","665,089,000","693,268,000","654,773,000","752,556,000","757,501,000","743,553,000","733,741,000","725,767,000","705,157,000","686,284,000","664,484,000","661,151,000","655,229,000","657,712,000","656,907,000","632,228,000","636,061,000","625,228,000","623,546,000","665,985,000","624,240,000","629,884,000","618,221,000","618,476,000","613,707,000","618,803,000","589,794,000","574,694,000","568,705,000","574,082,000","515,320,000","483,014,000","487,239,000","470,904,000","472,897,000","447,662,000","452,787,000","452,413,000","436,451,000","417,875,000","386,841,000","388,224,000","395,958,000","379,781,000","377,912,000","377,303,000","389,490,000","377,544,000","392,273,000","357,048,000","368,520,000","370,559,000","371,959,000","371,507,000","375,128,000","363,695,000","378,673,000","372,460,000","370,349,000","356,104,000","359,187,000","361,786,000","360,604,000","356,189,000","362,615,000","359,716,000","345,133,000","333,654,000","335,409,000","331,169,000","323,370,000","319,680,000","362,435,000","308,053,000","290,015,000","274,320,000","266,094,000","277,159,000","256,269,000","233,456,000","228,527,000","223,313,000","217,259,000","210,254,000","204,464,000","202,400,000","191,800,000","187,800,000","179,447,000","139,100,000","103,600,000","91,700,000","208,961,000","61,400,000","5,100,000"
	OperatingRevenue,"2,876,134,000","727,742,000","727,050,000","711,152,000","710,190,000","662,080,000","690,372,000","652,289,000","749,319,000","755,342,000","741,124,000","731,338,000","722,372,000","702,938,000","683,768,000","662,514,000","658,266,000","655,229,000","657,712,000","656,907,000","632,228,000","636,061,000","625,228,000","623,546,000","665,985,000","624,240,000","629,884,000","618,221,000","618,476,000","613,707,000","618,803,000","589,794,000","574,694,000","568,705,000","574,082,000","515,320,000","483,014,000","487,239,000","470,904,000","472,897,000","447,662,000","452,787,000","452,413,000","436,451,000","417,875,000","386,841,000","388,224,000","395,958,000","379,781,000","380,187,000","375,790,000","389,048,000","377,224,000","408,379,000","356,836,000","364,405,000","370,559,000","371,959,000","371,507,000","392,396,000","363,695,000","378,673,000","372,460,000","370,349,000","362,835,000","359,187,000","362,903,000","360,604,000","358,732,000","363,296,000","360,176,000","347,389,000","335,471,000","398,999,000","333,853,000","328,269,000","319,680,000","362,435,000","308,053,000","291,674,000","276,002,000","276,528,000","278,156,000","254,104,000","239,237,000","229,002,000","223,258,000","218,218,000","210,399,000","211,400,000","202,400,000","191,800,000","187,800,000","179,500,000","139,100,000","103,600,000","91,700,000","208,961,000","61,400,000","5,100,000"
CostOfRevenue,"1,046,636,000","265,104,000","265,233,000","253,354,000","262,945,000","260,381,000","264,321,000","244,244,000","273,024,000","279,396,000","276,775,000","269,454,000","268,775,000","263,483,000","259,333,000","248,501,000","251,287,000","242,012,000","245,788,000","238,858,000","235,378,000","231,834,000","236,678,000","225,916,000","226,806,000","224,530,000","227,921,000","222,959,000","228,926,000","218,616,000","222,764,000","209,961,000","213,185,000","203,232,000","206,930,000","187,172,000","179,664,000","178,644,000","175,825,000","168,469,000","163,605,000","162,222,000","161,017,000","151,156,000","145,710,000","132,986,000","134,235,000","129,373,000","130,253,000","131,905,000","134,438,000","130,089,000","129,333,000","132,325,000","134,033,000","125,552,000","123,630,000","123,560,000","120,415,000","120,041,000","119,589,000","124,766,000","125,493,000","123,002,000","124,091,000","123,922,000","124,898,000","120,555,000","120,887,000","124,035,000","123,104,000","115,240,000","112,710,000","114,436,000","120,233,000","107,947,000","110,273,000","137,357,000",,"86,866,000","85,089,000","83,611,000",,"76,865,000","70,343,000","67,335,000",,,"65,177,000",,,,,"100,090,000","23,700,000","13,800,000","13,000,000","80,777,000","8,100,000","800,000"
GrossProfit,"1,841,985,000","465,959,000","464,823,000","460,453,000","450,750,000","404,708,000","428,947,000","410,529,000","479,532,000","478,105,000","466,778,000","464,287,000","456,992,000","441,674,000","426,951,000","415,983,000","409,864,000","413,217,000","411,924,000","418,049,000","396,850,000","404,227,000","388,550,000","397,630,000","439,179,000","399,710,000","401,963,000","395,262,000","389,550,000","395,091,000","396,039,000","379,833,000","361,509,000","365,473,000","367,152,000","328,148,000","303,350,000","308,595,000","295,079,000","304,428,000","284,057,000","290,565,000","291,396,000","285,295,000","272,165,000","253,855,000","253,989,000","266,585,000","249,528,000","246,007,000","242,865,000","259,401,000","248,211,000","259,948,000","223,015,000","242,968,000","246,929,000","248,399,000","251,092,000","255,087,000","244,106,000","253,907,000","246,967,000","247,347,000","232,013,000","235,265,000","236,888,000","240,049,000","235,302,000","238,580,000","236,612,000","229,893,000","220,944,000","220,973,000","210,936,000","215,423,000","209,407,000","225,078,000",,"203,149,000","189,231,000","182,483,000",,"179,404,000","163,113,000","161,192,000",,,"145,077,000",,,,,"79,357,000","115,400,000","89,800,000","78,700,000","128,184,000","53,300,000","4,300,000"
OperatingExpense,"868,909,000","211,170,000","213,972,000","222,243,000","221,524,000","199,066,000","194,318,000","215,931,000","207,548,000","202,694,000","197,009,000","212,482,000","206,356,000","193,122,000","187,673,000","184,885,000","201,691,000","183,655,000","177,956,000","179,060,000","190,591,000","203,325,000","228,913,000","178,593,000","188,801,000","188,760,000","173,959,000","190,128,000","183,014,000","185,602,000","179,834,000","177,899,000","184,175,000","172,370,000","179,034,000","156,798,000","164,166,000","137,065,000","131,117,000","130,717,000","139,396,000","128,571,000","126,835,000","131,149,000","134,143,000","101,916,000","98,469,000","105,777,000","104,667,000","70,865,000","98,170,000","104,837,000","123,143,000","86,469,000","100,397,000","91,599,000","221,677,000","85,909,000","94,500,000","90,912,000","88,008,000","86,661,000","84,495,000","115,165,000","81,956,000","78,863,000","79,175,000","94,367,000","82,796,000","90,534,000","79,525,000","73,230,000","75,335,000","66,326,000","63,753,000","62,761,000","63,629,000","79,378,000","163,645,000","57,360,000","58,310,000","46,813,000","113,192,000","53,055,000","44,690,000","45,545,000","110,461,000","105,019,000","39,639,000","422,114,000","-97,800,000","-89,700,000","-85,200,000","76,622,000","8,000,000","8,800,000","4,400,000","46,378,000","3,700,000","400,000"
	SellingGeneralAndAdministration,"151,573,000","33,649,000","34,560,000","38,405,000","44,959,000","31,053,000","27,862,000","37,743,000","36,454,000","32,797,000","31,147,000","35,071,000","41,762,000","27,683,000","29,677,000","28,468,000","35,894,000","29,396,000","25,792,000","27,141,000","31,386,000","25,293,000","25,165,000","25,418,000","29,353,000","24,300,000","20,944,000","22,284,000","28,791,000","23,172,000","22,589,000","23,271,000","29,905,000","20,656,000","24,841,000","22,194,000","43,571,000","15,940,000","19,757,000","19,074,000","29,723,000","19,390,000","17,340,000","20,069,000","24,715,000","17,121,000","18,067,000","17,648,000","26,822,000","19,506,000","19,989,000","18,532,000","17,420,000","16,552,000","18,758,000","17,467,000","19,588,000","16,594,000","20,189,000","16,291,000","16,808,000","16,198,000","12,739,000","15,796,000","14,642,000","13,136,000","13,270,000","14,252,000","14,813,000","15,541,000","13,002,000","12,493,000","12,600,000","11,749,000","11,183,000","11,028,000","11,399,000","12,703,000","9,956,000","13,564,000","11,069,000","8,663,000","9,819,000","9,880,000","9,950,000","9,791,000","9,871,000","8,589,000","7,408,000","8,155,000","7,400,000","7,400,000","6,600,000","5,704,000","6,100,000","5,800,000","4,800,000","8,605,000","2,900,000","200,000"
		GeneralAndAdministrativeExpense,"151,573,000","33,649,000","34,560,000","38,405,000","44,959,000","31,053,000","27,862,000","37,743,000","36,454,000","32,797,000","31,147,000","35,071,000","41,762,000","27,683,000","29,677,000","28,468,000","35,894,000","29,396,000","25,792,000","27,141,000","31,386,000","25,293,000","25,165,000","25,418,000","29,353,000","24,300,000","20,944,000","22,284,000","28,791,000","23,172,000","22,589,000","23,271,000","29,905,000","20,656,000","24,841,000","22,194,000","43,571,000","15,940,000","19,757,000","19,066,000","27,619,000",,,,,,,,,,,,,,,,,"16,594,000",,"16,291,000","16,808,000","16,198,000","12,739,000","15,796,000","14,642,000","13,136,000","13,270,000","14,252,000","14,813,000","15,541,000","13,002,000","12,493,000","12,600,000","11,749,000","11,183,000","11,028,000","11,399,000","12,703,000","9,956,000","13,564,000","11,069,000","8,663,000","9,819,000","9,880,000","9,950,000","9,791,000","9,871,000","8,589,000","7,408,000","8,155,000","7,400,000","7,400,000","6,600,000",,,,"4,800,000",,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,594,000",,"16,291,000","16,808,000","16,198,000","12,739,000","15,796,000","14,642,000","13,136,000","13,270,000","14,252,000","14,813,000","15,541,000","13,002,000","12,493,000","12,600,000","11,749,000","11,183,000","11,028,000","11,399,000","12,703,000","9,956,000","13,564,000","11,069,000","8,663,000","9,819,000","9,880,000","9,950,000","9,791,000","9,871,000","8,589,000","7,408,000","8,200,000","7,400,000","7,400,000","6,600,000",,,,"4,800,000",,,
			InsuranceAndClaims,,"280,000",,,"2,460,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"151,573,000","33,649,000","34,560,000","38,405,000","44,959,000","31,053,000","27,862,000","37,743,000","36,454,000","32,797,000","31,147,000","35,071,000","41,762,000","27,683,000","29,677,000","28,468,000","35,894,000","29,396,000","25,792,000","27,141,000","31,386,000","25,293,000","25,165,000","25,418,000","29,353,000","24,300,000","20,944,000","22,284,000","28,791,000","23,172,000","22,589,000","23,271,000","29,905,000","20,656,000","24,841,000","22,194,000","43,571,000","15,940,000","19,757,000","19,066,000","27,619,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
