name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"171,286,000,000","45,457,000,000","43,968,000,000","42,586,000,000","39,275,000,000","41,541,000,000","39,065,000,000","36,689,000,000","39,157,000,000","39,735,000,000","37,341,000,000","37,353,000,000","35,228,000,000","37,740,000,000","35,213,000,000","35,349,000,000","33,633,000,000","35,186,000,000","32,641,000,000","32,966,000,000","31,821,000,000","33,150,000,000","32,039,000,000","31,384,000,000","30,662,000,000","31,445,000,000","28,055,000,000","27,548,000,000","25,375,000,000","25,537,000,000","24,070,000,000","22,894,000,000","21,427,000,000","22,240,000,000","24,523,000,000","25,420,000,000","24,552,000,000","25,232,000,000","25,889,000,000","26,764,500,000","26,917,500,000","27,078,000,000","26,792,000,000","26,763,500,000","26,071,400,000","25,371,800,000","24,437,500,000","24,459,600,000","24,342,800,000","24,919,700,000","24,780,700,000","25,127,000,000","24,938,700,000","25,099,500,000","24,347,200,000","22,925,600,000","22,909,600,000","23,282,700,000","21,973,400,000","22,262,900,000","21,867,100,000","21,784,600,000","21,356,700,000","21,708,300,000","20,637,500,000","19,919,000,000","19,373,400,000","19,457,100,000","19,103,000,000","18,554,600,000","17,796,000,000","16,922,100,000","16,392,300,000","16,350,400,000","15,388,700,000","15,188,600,000","14,371,300,000","14,091,000,000","13,086,100,000","13,028,200,000","13,242,000,000","13,092,100,000","11,773,400,000","12,401,000,000","12,580,100,000","9,637,900,000","8,734,600,000","8,214,300,000","7,473,100,000","7,399,500,000","6,783,700,000","6,550,100,000","6,433,400,000","5,062,500,000","4,632,700,000","6,536,100,000","3,381,500,000","3,130,500,000","2,870,000,000","2,790,600,000","2,825,500,000","2,688,800,000","2,428,200,000","2,480,800,000","2,202,800,000","2,131,600,000","2,033,000,000","2,013,600,000","1,988,000,000","1,985,900,000","1,818,700,000","1,590,500,000","1,510,700,000","657,700,000","597,400,000","550,000,000","498,900,000","511,600,000","481,700,000","474,300,000","483,100,000","453,400,000","365,700,000","345,300,000","341,200,000","315,700,000","285,300,000","242,100,000","239,700,000","220,700,000","210,200,000","203,300,000","198,200,000","182,800,000","164,400,000","155,000,000","149,900,000","134,600,000","124,400,000","115,700,000","169,000,000","173,700,000","165,000,000","145,200,000","112,000,000","113,800,000","102,800,000"
	OperatingRevenue,"171,286,000,000","45,457,000,000","43,968,000,000","42,586,000,000","39,275,000,000","41,541,000,000","39,065,000,000","36,689,000,000","39,157,000,000","39,735,000,000","37,341,000,000","37,353,000,000","35,228,000,000","37,740,000,000","35,213,000,000","35,349,000,000","33,633,000,000","35,186,000,000","32,641,000,000","32,966,000,000","31,821,000,000","33,150,000,000","32,039,000,000","31,384,000,000","30,662,000,000","31,445,000,000","28,055,000,000","27,548,000,000","25,375,000,000","25,537,000,000","24,070,000,000","22,894,000,000","21,427,000,000","22,240,000,000","24,523,000,000","25,420,000,000","24,552,000,000","25,232,000,000","25,889,000,000","26,764,500,000","26,917,500,000","27,078,000,000","26,792,000,000","26,763,500,000","26,071,400,000","25,371,800,000","24,437,500,000","24,459,600,000","24,342,800,000","24,919,700,000","24,780,700,000","25,127,000,000","24,938,700,000","25,099,500,000","24,347,200,000","22,925,600,000","22,909,600,000","23,282,700,000","21,973,400,000","22,262,900,000","21,867,100,000","21,784,600,000","21,356,700,000","21,708,300,000","20,637,500,000","19,919,000,000","19,373,400,000","19,457,100,000","19,103,000,000","18,554,600,000","17,796,000,000","16,922,100,000","16,392,300,000","16,350,400,000","15,388,700,000","15,188,600,000","14,371,300,000","14,091,000,000","13,086,100,000","13,028,200,000","13,242,000,000","13,092,100,000","11,773,400,000","12,401,000,000","12,580,100,000","9,637,900,000","8,734,600,000","8,214,300,000","7,473,100,000","7,399,500,000","6,783,700,000","6,550,100,000","6,433,400,000","5,062,500,000","4,632,700,000","6,536,100,000","3,381,500,000","3,130,500,000","2,870,000,000","2,790,600,000","2,825,500,000","2,688,800,000","2,428,200,000","2,480,800,000","2,202,800,000","2,131,600,000","2,033,000,000","2,013,600,000","1,988,000,000","1,985,900,000","1,818,700,000","1,590,500,000","1,510,700,000","657,700,000","597,400,000","550,000,000","498,900,000","511,600,000","481,700,000","474,300,000","483,100,000","453,400,000","365,700,000","345,300,000","341,200,000","315,700,000","285,300,000","242,100,000","239,700,000","220,700,000","210,200,000","203,300,000","198,200,000","182,800,000","164,400,000","155,000,000","149,900,000","134,600,000","124,400,000","115,700,000","169,000,000","173,700,000","165,000,000","145,200,000","112,000,000","113,800,000","102,800,000"
CostOfRevenue,"164,741,000,000","43,841,000,000","42,326,000,000","41,111,000,000","37,463,000,000","39,765,000,000","37,350,000,000","35,099,000,000","37,272,000,000","38,021,000,000","35,662,000,000","35,679,000,000","33,464,000,000","36,010,000,000","33,546,000,000","33,614,000,000","31,720,000,000","33,325,000,000","30,969,000,000","31,343,000,000","30,093,000,000","31,548,000,000","30,449,000,000","29,718,000,000","28,973,000,000","29,836,000,000","26,476,000,000","26,090,000,000","23,916,000,000","24,083,000,000","22,729,000,000","21,638,000,000","20,130,000,000","20,895,000,000","23,259,000,000","24,172,000,000","23,261,000,000","24,008,000,000","24,730,000,000","25,628,500,000","25,710,800,000","25,964,100,000","25,707,500,000","25,720,200,000","24,909,200,000","24,377,600,000","23,475,300,000","23,555,500,000","23,332,700,000","23,962,000,000","23,871,900,000","23,783,200,000","23,537,000,000","23,683,100,000","22,982,700,000","21,456,200,000","21,441,800,000","21,928,100,000","20,631,200,000","20,905,400,000","20,479,600,000","20,484,700,000","20,057,800,000","20,280,900,000","19,268,300,000","18,611,800,000","18,160,200,000","18,090,400,000","17,756,200,000","17,348,100,000","16,709,500,000","15,715,600,000","15,111,500,000","15,179,700,000","14,305,500,000","13,959,100,000","13,177,200,000","13,011,500,000","12,079,200,000","11,965,700,000","12,173,500,000","12,091,600,000","10,858,700,000","11,425,100,000","11,634,000,000","8,828,900,000","7,998,200,000","7,389,900,000","6,733,600,000","6,614,000,000","6,067,200,000","5,795,000,000","5,643,500,000","4,653,800,000","4,309,100,000","6,231,900,000","3,085,500,000","2,865,900,000","2,632,300,000","2,537,700,000","2,563,500,000","2,471,400,000","2,237,500,000","2,169,700,000","2,045,100,000","1,988,600,000","1,908,900,000","1,885,800,000","1,856,200,000","1,868,300,000","1,710,100,000","1,490,000,000","1,408,200,000","617,500,000","559,700,000","515,200,000","461,400,000","478,600,000","450,700,000","442,000,000","446,300,000","423,300,000","341,300,000","321,200,000","314,300,000","292,900,000","265,200,000","225,100,000","220,600,000","205,400,000",,,,,,,,,,,,,,,,,
GrossProfit,"6,545,000,000","1,616,000,000","1,642,000,000","1,475,000,000","1,812,000,000","1,776,000,000","1,715,000,000","1,590,000,000","1,885,000,000","1,714,000,000","1,679,000,000","1,674,000,000","1,764,000,000","1,730,000,000","1,667,000,000","1,735,000,000","1,913,000,000","1,861,000,000","1,672,000,000","1,623,000,000","1,728,000,000","1,602,000,000","1,590,000,000","1,666,000,000","1,689,000,000","1,609,000,000","1,579,000,000","1,458,000,000","1,459,000,000","1,454,000,000","1,341,000,000","1,256,000,000","1,297,000,000","1,345,000,000","1,264,000,000","1,248,000,000","1,291,000,000","1,224,000,000","1,159,000,000","1,136,000,000","1,206,700,000","1,113,900,000","1,084,500,000","1,043,300,000","1,162,200,000","994,200,000","962,200,000","904,100,000","1,010,100,000","957,700,000","908,800,000","1,343,800,000","1,401,700,000","1,416,400,000","1,364,500,000","1,469,400,000","1,467,800,000","1,354,600,000","1,342,200,000","1,357,500,000","1,387,500,000","1,299,900,000","1,298,900,000","1,427,400,000","1,369,200,000","1,307,200,000","1,213,200,000","1,366,700,000","1,346,800,000","1,206,500,000","1,086,500,000","1,206,500,000","1,280,800,000","1,170,700,000","1,083,200,000","1,229,500,000","1,194,100,000","1,079,500,000","1,006,900,000","1,062,500,000","1,068,500,000","1,000,500,000","914,700,000","975,900,000","946,100,000","809,000,000","736,400,000","824,400,000","739,500,000","785,500,000","716,500,000","755,100,000","789,900,000","408,700,000","323,600,000","304,200,000","296,000,000","264,600,000","237,700,000","252,900,000","262,000,000","217,400,000","190,700,000","311,100,000","157,700,000","143,000,000","124,100,000","127,800,000","131,800,000","117,600,000","108,600,000","100,500,000","102,500,000","40,200,000","37,700,000","34,800,000","37,500,000","33,000,000","31,000,000","32,300,000","36,800,000","30,100,000","24,400,000","24,100,000","26,900,000","22,800,000","20,100,000","17,000,000","19,100,000","15,300,000",,,,,,,,,,,,,,,,,
OperatingExpense,"4,889,000,000","1,230,000,000","1,193,000,000","1,235,000,000","1,231,000,000","1,263,000,000","1,255,000,000","1,266,000,000","1,295,000,000","1,296,000,000","1,239,000,000","1,318,000,000","1,251,000,000","1,221,000,000","1,311,000,000","1,435,000,000","1,307,000,000","1,315,000,000","1,245,000,000","1,145,000,000","1,088,000,000","1,025,000,000","1,042,000,000","1,102,000,000","1,022,000,000","1,036,000,000","947,000,000","938,000,000","880,000,000","875,000,000","828,000,000","858,000,000","792,000,000","822,000,000","781,000,000","828,000,000","765,000,000","724,000,000","718,000,000","744,400,000","682,700,000","639,800,000","643,300,000","671,800,000","701,600,000","628,000,000","591,900,000","617,000,000","625,700,000","579,800,000","585,600,000","854,100,000","850,200,000","858,500,000","888,500,000","942,600,000","878,400,000","793,900,000","832,200,000","837,700,000","1,387,800,000","768,700,000","819,300,000","881,800,000","773,500,000","800,900,000","823,900,000","790,600,000","726,400,000","782,600,000","725,000,000","622,300,000","609,100,000","583,400,000","560,800,000","629,100,000","585,900,000","488,600,000","539,400,000","591,800,000","575,100,000","530,800,000","514,700,000","548,900,000","596,200,000","445,400,000","426,100,000","479,600,000","394,700,000","478,900,000","453,000,000","470,100,000","511,800,000","235,400,000","180,700,000","172,200,000","158,800,000","150,900,000","148,700,000","144,800,000","148,000,000","126,300,000","120,100,000","192,100,000","90,900,000","89,600,000","85,700,000","84,100,000","81,600,000","78,900,000","77,400,000","104,000,000","65,600,000","21,500,000","21,300,000","20,100,000","18,400,000","18,800,000","18,600,000","19,100,000","20,000,000","17,700,000","15,200,000","15,200,000","15,300,000","13,600,000","12,300,000","10,900,000","10,900,000","9,300,000",,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"4,514,000,000","1,151,000,000","1,114,000,000","1,129,000,000","1,120,000,000","1,147,000,000","1,137,000,000","1,137,000,000","1,165,000,000","1,163,000,000","1,107,000,000","1,165,000,000","1,097,000,000","1,064,000,000","1,155,000,000","1,271,000,000","1,132,000,000","1,131,000,000","1,062,000,000","983,000,000","960,000,000","910,000,000","920,000,000","970,000,000","914,000,000","922,000,000","842,000,000","847,000,000","803,000,000","815,000,000","775,000,000","795,000,000","736,000,000","766,000,000","732,000,000","776,000,000","712,000,000","699,000,000","690,000,000","711,400,000","682,700,000","639,800,000","643,300,000","671,800,000","701,600,000","628,000,000","591,900,000","617,000,000","625,700,000","579,800,000","585,600,000","854,100,000","850,200,000","851,900,000","882,200,000","901,300,000","854,500,000","828,900,000","830,100,000","819,300,000","781,700,000","755,600,000","807,300,000","853,900,000","778,600,000","796,700,000","815,600,000","765,700,000","703,100,000","699,600,000","693,100,000","604,000,000","608,000,000","586,900,000","547,600,000","605,200,000","576,100,000","526,200,000","520,700,000","521,400,000","536,000,000","514,000,000","502,400,000","530,600,000","509,900,000","445,400,000","426,100,000","426,100,000","394,700,000","415,300,000","391,300,000","405,000,000","393,200,000","188,100,000","178,200,000","155,400,000","142,200,000","135,200,000","133,500,000","132,400,000","129,700,000","114,200,000","111,600,000","178,800,000","84,100,000","83,100,000","79,800,000","78,300,000","76,500,000","73,800,000","72,200,000","99,300,000","61,500,000","19,300,000","19,200,000","18,100,000","16,600,000","17,000,000","16,800,000","17,400,000","18,500,000","16,300,000","13,800,000","14,000,000","14,000,000","12,500,000","11,300,000","10,000,000","10,100,000","8,500,000",,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"375,000,000","79,000,000","79,000,000","106,000,000","111,000,000","116,000,000","118,000,000","129,000,000","130,000,000","133,000,000","132,000,000","153,000,000","154,000,000","157,000,000","156,000,000","164,000,000","175,000,000","184,000,000","183,000,000","162,000,000","128,000,000","115,000,000","122,000,000","132,000,000","108,000,000","114,000,000","105,000,000","91,000,000","77,000,000","60,000,000","53,000,000","63,000,000","56,000,000","56,000,000","49,000,000","52,000,000","53,000,000","25,000,000","28,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,500,000",,"63,600,000","61,700,000","65,100,000","118,600,000","47,300,000","2,500,000","16,800,000","16,600,000","15,700,000","15,200,000","12,400,000","18,300,000","12,100,000","8,500,000","13,300,000","6,800,000","6,500,000","5,900,000","5,800,000","5,100,000","5,100,000","5,200,000","4,700,000","4,100,000","2,200,000","2,100,000","2,000,000","1,800,000","1,800,000","1,800,000","1,700,000","1,500,000","1,400,000","1,400,000","1,200,000","1,300,000","1,100,000","1,000,000","900,000","800,000","800,000",,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"375,000,000","79,000,000","79,000,000","106,000,000","111,000,000","116,000,000","118,000,000","129,000,000","130,000,000","133,000,000","132,000,000","153,000,000","154,000,000","157,000,000","156,000,000","164,000,000","175,000,000","184,000,000","183,000,000","162,000,000","128,000,000","115,000,000","122,000,000","132,000,000","108,000,000","114,000,000","105,000,000","91,000,000","77,000,000","60,000,000","53,000,000","63,000,000","56,000,000","56,000,000","49,000,000","52,000,000","53,000,000","25,000,000","28,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,500,000",,"63,600,000","61,700,000","65,100,000","118,600,000","47,300,000","2,500,000","16,800,000","16,600,000","15,700,000","15,200,000","12,400,000","18,300,000","12,100,000","8,500,000","13,300,000","6,800,000","6,500,000","5,900,000","5,800,000","5,100,000","5,100,000","5,200,000","4,700,000","4,100,000","2,200,000","2,100,000","2,000,000","1,800,000","1,800,000","1,800,000","1,700,000","1,500,000","1,400,000","1,400,000","1,200,000","1,300,000","1,100,000","1,000,000","900,000","800,000","800,000",,,,,,,,,,,,,,,,,
			Amortization,"375,000,000","79,000,000","79,000,000","106,000,000","111,000,000","116,000,000","118,000,000","129,000,000","130,000,000","133,000,000","132,000,000","153,000,000","154,000,000","157,000,000","156,000,000","164,000,000","175,000,000","184,000,000","183,000,000","162,000,000","128,000,000","115,000,000","122,000,000","132,000,000","108,000,000","114,000,000","105,000,000","91,000,000","77,000,000","60,000,000","53,000,000","63,000,000","56,000,000","56,000,000","49,000,000","52,000,000","53,000,000","25,000,000","28,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"375,000,000","79,000,000","79,000,000","106,000,000","111,000,000","116,000,000","118,000,000","129,000,000","130,000,000","133,000,000","132,000,000","153,000,000","154,000,000","157,000,000","156,000,000","164,000,000","175,000,000","184,000,000","183,000,000","162,000,000","128,000,000","115,000,000","122,000,000","132,000,000","108,000,000","114,000,000","105,000,000","91,000,000","77,000,000","60,000,000","53,000,000","63,000,000","56,000,000","56,000,000","49,000,000","52,000,000","53,000,000","25,000,000","28,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
