name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
TotalRevenue,"2,988,244,000","773,036,000","750,895,000","728,285,000","736,028,000","759,909,000","666,607,000","638,418,000","617,957,000","599,555,000","579,603,000","580,419,000","576,742,000","569,850,000","532,468,000","518,391,000","517,313,000","501,722,000","485,398,000","479,001,000","476,911,000","468,980,000","446,220,000","453,021,000","447,862,000","441,079,000","433,763,000","415,883,000","411,366,000","423,098,000","400,496,000","378,788,000","378,550,000","376,722,000","366,647,000","362,481,000","354,266,000","345,585,000","338,533,000","326,476,000","315,830,000","308,006,000","292,457,000","283,270,000","266,102,000","249,018,000","237,934,000","227,064,000","221,938,000","220,279,000","216,122,000","209,929,000","206,302,000","227,335,000","232,488,000","329,478,000","287,189,000","457,943,000","400,924,000","390,961,000","365,185,000","431,020,000","366,148,000","358,513,000","328,214,000","378,363,000","337,381,000","320,911,000","292,537,000","343,096,000","301,581,000","287,079,000","265,724,000","318,695,000","268,476,000","276,437,000","255,876,000","276,297,000","327,236,000","344,820,000","344,714,000","378,200,000","360,008,000","347,575,000","344,657,000","390,914,000","332,461,000","298,682,000","257,493,000","268,022,000","225,897,000","264,193,000","305,234,000","345,452,000","308,607,000","291,788,000","270,223,000","283,012,000","234,866,000","210,466,000","187,548,000","212,262,000","188,741,000","177,026,000","163,430,000","163,756,000","140,090,000","128,539,000","116,033,000","121,653,000","109,598,000","101,043,000","96,778,000","97,100,000","100,500,000","91,700,000","79,300,000","120,800,000","106,500,000","105,900,000","101,400,000","221,300,000","57,900,000","53,700,000","59,400,000","69,300,000","59,600,000","49,100,000","46,100,000","56,300,000","32,000,000","29,700,000","24,800,000","20,700,000","18,100,000","15,200,000","13,100,000","7,100,000","6,100,000","5,700,000","4,900,000","4,200,000","4,200,000","4,100,000","4,100,000"
	OperatingRevenue,"2,988,244,000","773,036,000","750,895,000","728,285,000","736,028,000","759,909,000","666,607,000","638,418,000","617,957,000","599,555,000","579,603,000","580,419,000","576,742,000","569,850,000","532,468,000","518,391,000","517,313,000","501,722,000","485,398,000","479,001,000","476,911,000","468,980,000","446,220,000","453,021,000","447,862,000","441,079,000","433,763,000","415,883,000","411,366,000","423,098,000","400,496,000","378,788,000","378,550,000","376,722,000","366,647,000","362,481,000","354,266,000","345,585,000","338,533,000","326,476,000","315,830,000","308,006,000","292,457,000","283,270,000","266,102,000","249,018,000","237,934,000","227,064,000","221,938,000","220,279,000","216,122,000","209,929,000","206,302,000","227,335,000","232,488,000","329,478,000","287,189,000","457,943,000","400,924,000","390,961,000","365,185,000","431,020,000","366,148,000","358,513,000","328,214,000","378,363,000","337,381,000","320,911,000","292,537,000","343,096,000","301,581,000","287,079,000","265,724,000","318,695,000","268,476,000","276,437,000","255,876,000","276,297,000","327,236,000","344,820,000","344,714,000","378,200,000","360,008,000","347,575,000","344,657,000","390,914,000","332,461,000","298,682,000","257,493,000","268,022,000","225,897,000","264,193,000","305,234,000","345,452,000","308,607,000","291,788,000","270,223,000","283,012,000","234,866,000","210,466,000","187,548,000","212,262,000","188,741,000","177,026,000","163,430,000","163,756,000","140,090,000","128,539,000","116,033,000","121,653,000","109,598,000","101,043,000","96,778,000","97,100,000","100,500,000","91,700,000","79,300,000","120,800,000","106,500,000","105,900,000","101,400,000","221,300,000","57,900,000","53,700,000","59,400,000","69,300,000","59,600,000","49,100,000","46,100,000","56,300,000","32,000,000","29,700,000","24,800,000","20,700,000","18,100,000","15,200,000","13,100,000","7,100,000","6,100,000","5,700,000","4,900,000","4,200,000","4,200,000","4,100,000","4,100,000"
CostOfRevenue,"307,006,000","69,726,000","76,602,000","76,717,000","83,961,000","73,536,000","82,284,000","75,215,000","74,463,000","73,328,000","60,975,000","61,469,000","70,585,000","76,124,000","60,454,000","58,960,000","63,209,000","60,284,000","54,482,000","60,832,000","61,792,000","76,048,000","56,607,000","61,783,000","62,054,000","60,902,000","65,211,000","51,755,000","60,585,000","58,115,000","54,079,000","54,413,000","57,099,000","59,031,000","49,736,000","43,243,000","48,191,000","43,790,000","51,270,000","49,477,000","46,586,000","48,765,000","49,818,000","51,406,000","45,167,000","38,849,000","39,819,000","39,160,000","38,615,000","40,390,000","38,649,000","46,027,000","44,177,000","49,267,000","51,416,000","59,670,000","51,734,000","56,150,000","52,404,000","51,564,000","54,390,000","53,921,000","52,735,000","59,846,000","60,597,000","53,508,000","56,258,000","60,326,000","58,688,000","58,124,000","60,808,000","51,803,000","55,318,000","84,888,000","39,929,000","44,919,000","46,913,000","48,090,000","58,715,000","75,946,000","67,294,000","91,358,000","84,662,000","86,503,000","92,337,000","101,072,000","96,105,000","88,012,000","83,668,000","82,734,000","81,577,000","81,838,000","70,163,000","69,415,000","78,013,000","70,913,000","62,334,000","53,793,000","46,812,000","43,592,000","38,897,000","42,807,000","39,262,000","37,765,000","33,639,000","31,767,000","30,349,000","29,451,000","24,963,000","25,401,000","23,096,000","22,569,000","23,541,000","3,200,000","4,300,000","14,300,000","12,500,000","19,000,000","18,100,000","16,900,000","15,200,000","42,400,000","6,300,000","6,600,000","6,200,000","83,500,000","3,900,000","1,800,000","1,800,000","44,300,000","1,200,000",,,,,,,,,,,,,,
GrossProfit,"2,681,238,000","703,310,000","674,293,000","651,568,000","652,067,000","686,373,000","584,323,000","563,203,000","543,494,000","526,227,000","518,628,000","518,950,000","506,157,000","493,726,000","472,014,000","459,431,000","454,104,000","441,438,000","430,916,000","418,169,000","415,119,000","392,932,000","389,613,000","391,238,000","385,808,000","380,177,000","368,552,000","364,128,000","350,781,000","364,983,000","346,417,000","324,375,000","321,451,000","317,691,000","316,911,000","319,238,000","306,075,000","301,795,000","287,263,000","276,999,000","269,244,000","259,241,000","242,639,000","231,864,000","220,935,000","210,169,000","198,115,000","187,904,000","183,323,000","179,889,000","177,473,000","163,902,000","162,125,000","178,068,000","181,072,000","269,808,000","235,455,000","401,793,000","348,520,000","339,397,000","310,795,000","377,099,000","313,413,000","298,667,000","267,617,000","324,855,000","281,123,000","260,585,000","233,849,000","284,972,000","240,773,000","235,276,000","210,406,000","233,807,000","228,547,000","231,518,000","208,963,000","228,207,000","268,521,000","268,874,000","277,420,000","286,842,000","275,346,000","261,072,000","252,320,000","289,842,000","236,356,000","210,670,000","173,825,000","185,288,000","144,320,000","182,355,000","235,071,000","276,037,000","230,594,000","220,875,000","207,889,000","229,219,000","188,054,000","166,874,000","148,651,000","169,455,000","149,479,000","139,261,000","129,791,000","131,989,000","109,741,000","99,088,000","91,070,000","96,252,000","86,502,000","78,474,000","73,237,000","93,900,000","96,200,000","77,400,000","66,800,000","101,800,000","88,400,000","89,000,000","86,200,000","178,900,000","51,600,000","47,100,000","53,200,000","-14,200,000","55,700,000","47,300,000","44,300,000","12,000,000","30,800,000",,,,,,,,,,,,,,
OperatingExpense,"1,903,197,000","507,743,000","480,496,000","466,557,000","448,401,000","490,850,000","415,038,000","411,528,000","405,210,000","407,519,000","397,988,000","385,588,000","378,450,000","366,337,000","368,556,000","366,822,000","370,262,000","347,982,000","350,586,000","336,408,000","337,305,000","313,473,000","322,670,000","324,406,000","313,186,000","297,990,000","290,348,000","288,222,000","297,137,000","291,342,000","281,341,000","288,904,000","278,743,000","264,487,000","268,895,000","271,440,000","248,087,000","245,470,000","227,765,000","226,336,000","223,945,000","213,459,000","210,895,000","206,156,000","203,432,000","206,926,000","202,880,000","183,002,000","189,717,000","177,602,000","187,789,000","199,152,000","211,061,000","235,727,000","242,124,000","250,777,000","262,458,000","289,429,000","268,040,000","267,246,000","264,883,000","275,084,000","247,252,000","256,638,000","254,128,000","234,274,000","247,106,000","237,485,000","217,981,000","207,555,000","205,466,000","222,682,000","212,010,000","169,272,000","211,589,000","233,082,000","230,320,000","37,320,000","246,629,000","226,479,000","223,543,000","237,047,000","224,955,000","230,622,000","240,238,000","232,589,000","219,329,000","204,422,000","190,938,000","217,308,000","198,103,000","186,702,000","158,502,000","70,248,000","415,899,000","130,630,000","213,430,000","145,485,000","113,439,000","129,492,000","110,374,000","210,184,000","99,497,000","95,828,000","91,218,000","89,401,000","77,075,000","74,971,000","72,581,000","62,155,000","69,366,000","65,474,000","78,716,000","79,000,000","91,400,000","76,900,000","89,400,000","79,000,000","73,500,000","73,200,000","73,800,000","209,100,000","45,700,000","45,300,000","44,500,000","-28,900,000","41,500,000","33,700,000","31,600,000","-3,000,000","21,400,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"749,280,000","213,811,000","186,391,000","176,300,000","172,778,000","195,766,000","159,666,000","156,117,000","159,336,000","169,360,000","154,572,000","150,615,000","146,932,000","144,598,000","141,855,000","144,175,000","142,447,000","140,943,000","140,565,000","136,671,000","135,163,000","128,068,000","127,234,000","137,498,000","127,500,000","130,341,000","130,034,000","124,129,000","127,910,000","129,306,000","126,281,000","130,653,000","127,067,000","123,865,000","125,676,000","129,718,000","120,212,000","123,316,000","108,811,000","110,662,000","111,565,000","112,649,000","103,955,000","102,383,000","97,674,000","104,639,000","101,146,000","88,571,000","97,596,000","93,567,000","97,014,000","105,671,000","113,229,000","130,817,000","124,012,000","124,870,000","130,742,000","155,055,000","137,910,000","139,871,000","143,309,000","150,565,000","132,739,000","136,075,000","129,517,000","130,915,000","139,655,000","122,755,000","116,984,000","108,330,000","99,653,000","100,377,000","100,991,000","93,909,000","99,572,000","105,372,000","110,292,000","140,952,000","129,483,000","121,722,000","123,211,000","136,116,000","124,233,000","123,617,000","124,242,000","135,170,000","121,966,000","118,782,000","108,699,000","125,126,000","110,652,000","103,839,000","86,652,000","103,629,000","92,712,000","87,669,000","85,766,000","96,150,000","77,512,000","73,327,000","67,374,000","79,487,000","69,584,000","66,607,000","65,205,000","66,045,000","55,380,000","52,319,000","51,718,000","53,781,000","50,508,000","49,225,000","49,623,000","68,600,000","69,400,000","65,300,000","78,300,000","69,100,000","65,100,000","63,700,000","64,000,000","188,800,000","39,100,000","38,700,000","38,200,000","-33,800,000","35,100,000","29,300,000","27,200,000","-8,100,000","18,200,000",,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"189,018,000","65,743,000","42,990,000","40,333,000","39,952,000","49,264,000","35,928,000","35,641,000","33,592,000","42,093,000","33,204,000","34,407,000","30,102,000","31,985,000","33,247,000","34,875,000","33,299,000","33,289,000","36,302,000","32,774,000","31,816,000","29,977,000","30,441,000","36,388,000","28,300,000","26,789,000","28,084,000","27,467,000","27,642,000","26,939,000","25,894,000","32,042,000","28,744,000","29,481,000","27,582,000","34,441,000","29,810,000","27,712,000","26,350,000","30,244,000","27,770,000","24,143,000","24,041,000","25,377,000","19,302,000","21,421,000","25,081,000","17,058,000","22,834,000","21,337,000","28,732,000","34,240,000","38,339,000",,,,,,,,,,,,,,,,,,,,,,,,"26,677,000",,,"25,552,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"189,018,000","65,743,000","42,990,000","40,333,000","39,952,000","49,264,000","35,928,000","35,641,000","33,592,000","42,093,000","33,204,000","34,407,000","30,102,000","31,985,000","33,247,000","34,875,000","33,299,000","33,289,000","36,302,000","32,774,000","31,816,000","29,977,000","30,441,000","36,388,000","28,300,000","26,789,000","28,084,000","27,467,000","27,642,000","26,939,000","25,894,000","32,042,000","28,744,000","29,481,000","27,582,000","34,441,000","29,810,000","27,712,000","26,350,000","30,244,000","27,770,000","24,143,000","24,041,000","25,377,000","19,302,000","21,421,000","25,081,000","17,058,000","22,834,000","21,337,000","28,732,000","34,240,000","38,339,000",,,,,,,,,,,,,,,,,,,,,,,,"26,677,000",,,"25,552,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"560,262,000","148,068,000","143,401,000","135,967,000","132,826,000","146,502,000","123,738,000","120,476,000","125,744,000","127,267,000","121,368,000","116,208,000","116,830,000","112,613,000","108,608,000","109,300,000","109,148,000","107,654,000","104,263,000","103,897,000","103,347,000","98,091,000","96,793,000","101,110,000","99,200,000","103,552,000","101,950,000","96,662,000","100,268,000","102,367,000","100,387,000","98,611,000","98,323,000","94,384,000","98,094,000","95,277,000","90,402,000","95,604,000","82,461,000","80,418,000","83,795,000","88,506,000","79,914,000","77,006,000","78,372,000","83,218,000","76,065,000","71,513,000","74,762,000","72,230,000","68,282,000","71,431,000","74,890,000",,,,,,,,,,,,,,,,,,,,,,,,"83,615,000",,,"96,170,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,134,277,000","288,953,000","289,105,000","285,227,000","270,992,000","290,309,000","250,934,000","250,821,000","241,668,000","235,372,000","240,542,000","231,814,000","228,210,000","218,271,000","223,231,000","219,129,000","224,185,000","203,468,000","206,568,000","195,901,000","198,286,000","181,516,000","191,547,000","182,371,000","179,906,000","161,970,000","154,627,000","157,974,000","162,996,000","155,124,000","148,744,000","152,672,000","146,466,000","135,465,000","138,078,000","136,395,000","124,084,000","118,382,000","115,078,000","112,031,000","108,594,000","97,024,000","103,154,000","99,268,000","101,299,000","97,828,000","97,275,000","91,880,000","89,430,000","81,309,000","88,049,000","90,653,000","94,692,000","99,984,000","112,486,000","120,087,000","125,356,000","128,614,000","125,391,000","122,962,000","117,065,000","117,931,000","110,335,000","115,537,000","116,261,000","94,797,000","93,539,000","91,418,000","90,386,000","87,713,000","85,300,000","91,090,000","87,151,000","82,444,000","84,179,000","88,376,000","85,122,000","85,322,000","84,647,000","78,255,000","78,190,000","78,200,000","74,247,000","73,902,000","70,980,000","68,988,000","66,614,000","65,772,000","62,573,000","59,507,000","58,447,000","50,359,000","45,201,000","49,872,000","44,854,000","42,961,000","41,707,000","39,396,000","35,927,000","33,799,000","31,252,000","30,154,000","29,913,000","29,221,000","26,013,000","23,356,000","21,695,000","22,652,000","20,863,000","18,428,000","18,858,000","18,299,000","16,989,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
