name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalRevenue,"20,820,800,000","5,536,900,000","5,300,000,000","5,146,400,000","4,837,500,000","4,956,200,000","4,756,400,000","4,365,700,000","4,389,200,000","4,536,900,000","4,907,700,000","4,629,900,000","3,957,900,000","4,074,800,000","4,373,200,000","4,186,100,000","3,606,400,000","3,838,500,000","4,033,900,000","3,994,400,000","3,324,700,000","3,492,400,000","3,708,200,000","3,664,600,000","3,116,700,000","3,418,400,000","3,501,100,000","3,314,000,000","2,755,200,000","3,050,100,000","3,266,100,000","3,106,000,000","2,652,300,000","2,713,300,000","2,864,300,000","2,779,300,000","2,411,700,000","2,601,000,000","2,623,300,000","2,584,700,000","2,319,200,000","2,479,300,000","2,581,400,000","2,412,100,000","2,129,600,000","2,269,400,000","2,374,400,000","2,223,300,000","1,934,100,000","1,964,500,000","1,963,400,000","2,032,838,000","1,859,118,000","1,823,929,000","1,739,457,000","1,633,458,000","1,588,629,000","1,606,964,000","1,670,204,000","1,539,595,000","1,475,082,000","1,507,127,000","1,511,054,000","1,382,904,000","1,336,689,000","1,348,916,000","1,222,785,000","1,075,296,000","1,017,619,000","1,053,953,000","1,150,970,000","1,056,820,000","1,002,836,000","988,190,000","991,065,000","995,045,000","987,245,000","1,007,071,000","1,028,051,000","943,342,000","863,988,000","741,239,000","683,000,000","597,600,000","539,400,000","477,189,000","462,700,000","408,900,000","384,600,000","350,729,000","323,900,000","304,500,000","297,800,000","262,195,000","240,300,000","218,700,000","206,700,000","180,100,000","161,100,000","146,200,000","141,400,000","121,100,000","112,400,000","92,200,000","87,600,000","77,400,000","71,800,000","61,800,000","59,900,000"
	OperatingRevenue,"20,698,100,000","5,506,200,000","5,268,300,000","5,115,100,000","4,808,900,000","4,912,800,000","4,725,700,000","4,336,000,000","4,353,400,000","4,505,300,000","4,875,200,000","4,599,200,000","3,928,400,000","4,074,800,000","4,373,200,000","4,186,100,000","3,606,400,000","3,838,500,000","4,033,900,000","3,994,400,000","3,324,700,000","3,492,400,000","3,708,200,000","3,664,600,000","3,116,700,000","3,418,400,000","3,501,100,000","3,314,000,000","2,755,200,000","3,050,100,000","3,266,100,000","3,106,000,000","2,652,300,000","2,713,300,000","2,864,300,000","2,779,300,000","2,411,700,000","2,601,000,000","2,623,300,000","2,584,700,000","2,319,200,000","2,479,300,000","2,581,400,000","2,412,100,000","2,129,600,000","2,269,400,000","2,374,400,000","2,223,300,000","1,934,100,000","1,964,500,000","1,963,400,000","2,032,838,000","1,859,118,000","1,823,929,000","1,739,457,000","1,633,458,000","1,588,629,000","1,606,964,000","1,670,204,000","1,539,595,000","1,475,082,000","1,507,127,000","1,511,054,000","1,382,904,000","1,336,689,000","1,348,916,000","1,222,785,000","1,075,296,000","1,017,619,000","1,053,953,000","1,150,970,000","1,056,820,000","1,002,836,000","988,190,000","991,065,000","995,045,000","987,245,000","1,007,071,000","1,028,051,000","943,342,000","863,988,000","741,239,000","683,000,000","597,600,000","539,400,000","477,189,000","462,700,000","408,900,000","384,600,000","350,729,000","323,900,000","304,500,000","297,800,000","262,195,000","240,300,000","218,700,000","206,700,000","180,100,000","161,100,000","146,200,000","141,400,000","121,100,000","112,400,000","92,200,000","87,600,000","77,400,000","71,800,000","61,800,000","59,900,000"
CostOfRevenue,"17,252,300,000","4,561,300,000","4,385,100,000","4,263,600,000","4,042,300,000","4,075,300,000","3,930,900,000","3,618,500,000","3,632,700,000","3,759,400,000","4,091,200,000","3,856,100,000","3,285,800,000","3,381,000,000","3,659,600,000","3,490,500,000","3,002,500,000","3,224,200,000","3,391,900,000","3,353,300,000","2,772,100,000","2,914,500,000","3,093,900,000","3,054,100,000","2,592,200,000","2,860,800,000","2,933,900,000","2,779,500,000","2,298,700,000","2,558,200,000","2,758,800,000","2,609,100,000","2,227,100,000","2,265,000,000","2,405,900,000","2,327,700,000","2,009,700,000","2,175,600,000","2,190,600,000","2,157,800,000","1,934,600,000","2,066,000,000","2,160,600,000","2,010,300,000","1,778,100,000","1,912,700,000","2,006,000,000","1,863,400,000","1,628,200,000","1,661,900,000","1,662,100,000","1,704,851,000","1,557,799,000","1,539,883,000","1,471,586,000","1,369,421,000","1,334,740,000","1,358,184,000","1,415,261,000","1,302,117,000","1,248,653,000","1,283,952,000","1,283,098,000","1,168,374,000","1,132,226,000","1,155,194,000","1,046,561,000","918,838,000","870,231,000","914,569,000","993,930,000","919,572,000","872,673,000","857,871,000","857,091,000","862,422,000","857,126,000","879,796,000","896,917,000","821,121,000","754,775,000","651,100,000","595,500,000","521,100,000","470,000,000","420,214,000","402,700,000","356,200,000","334,200,000","305,324,000","280,700,000","262,700,000","257,400,000","229,413,000","208,100,000","188,300,000","179,600,000","156,600,000","140,100,000","127,100,000","122,500,000","104,300,000","97,600,000","79,600,000","76,200,000","67,000,000","62,000,000","54,300,000",
GrossProfit,"3,568,500,000","975,600,000","914,900,000","882,800,000","795,200,000","880,900,000","825,500,000","747,200,000","756,500,000","777,500,000","816,500,000","773,800,000","672,100,000","693,800,000","713,600,000","695,600,000","603,900,000","614,300,000","642,000,000","641,100,000","552,600,000","577,900,000","614,300,000","610,500,000","524,500,000","557,600,000","567,200,000","534,500,000","456,500,000","491,900,000","507,300,000","496,900,000","425,200,000","448,300,000","458,400,000","451,600,000","402,000,000","425,400,000","432,700,000","426,900,000","384,600,000","413,300,000","420,800,000","401,800,000","351,500,000","356,700,000","368,400,000","359,900,000","305,900,000","302,600,000","301,300,000","327,987,000","301,319,000","284,046,000","267,871,000","264,037,000","253,889,000","248,780,000","254,943,000","237,478,000","226,429,000","223,175,000","227,956,000","214,530,000","204,463,000","193,722,000","176,224,000","156,458,000","147,388,000","139,384,000","157,040,000","137,248,000","130,163,000","130,319,000","133,974,000","132,623,000","130,119,000","127,275,000","131,134,000","122,221,000","109,213,000","90,139,000","87,500,000","76,500,000","69,400,000","56,975,000","60,000,000","52,700,000","50,400,000","45,405,000","43,200,000","41,800,000","40,400,000","32,782,000","32,200,000","30,400,000","27,100,000","23,500,000","21,000,000","19,100,000","18,900,000","16,800,000","14,800,000","12,600,000","11,400,000","10,400,000","9,800,000","7,500,000",
OperatingExpense,"2,149,500,000","636,300,000","528,500,000","512,900,000","471,800,000","548,700,000","507,700,000","463,800,000","510,700,000","493,700,000","495,900,000","473,500,000","443,200,000","450,900,000","438,800,000","430,100,000","399,800,000","392,800,000","398,300,000","410,000,000","382,800,000","380,700,000","376,800,000","387,000,000","363,500,000","377,700,000","362,600,000","328,600,000","304,900,000","327,600,000","322,600,000","308,700,000","289,400,000","306,300,000","365,500,000","298,000,000","281,900,000","294,500,000","293,000,000","290,500,000","281,000,000","302,200,000","281,100,000","273,600,000","259,800,000","275,500,000","263,800,000","264,300,000","234,600,000","244,000,000","231,000,000","204,316,000","183,364,000","201,222,000","156,380,000","156,199,000","159,643,000","141,794,000","142,513,000","134,990,000","128,699,000","121,807,000","121,892,000","119,383,000","114,283,000","120,764,000","103,661,000","85,973,000","78,936,000","66,017,000","68,117,000","66,554,000","64,969,000","62,933,000","65,124,000","64,124,000","66,656,000","60,605,000","59,358,000","57,907,000","52,365,000","42,127,000","45,400,000","40,400,000","37,700,000","27,737,000","32,900,000","27,900,000","27,000,000","23,315,000","22,800,000","21,800,000","22,400,000","19,779,000","16,900,000","17,400,000","14,900,000","14,000,000","13,000,000","12,200,000","12,200,000","10,300,000","9,400,000","8,700,000","7,900,000","6,400,000","6,500,000","5,200,000",
	SellingGeneralAndAdministration,"2,149,500,000","636,300,000","528,500,000","512,900,000","471,800,000","548,700,000","507,700,000","463,800,000","510,700,000","493,700,000","495,900,000","473,500,000","443,200,000","450,900,000","438,800,000","430,100,000","399,800,000","392,800,000","398,300,000","410,000,000","382,800,000","380,700,000","376,800,000","387,000,000","363,500,000","377,700,000","362,600,000","328,600,000","304,900,000","327,600,000","322,600,000","308,700,000","289,400,000","306,300,000","365,500,000","298,000,000","281,900,000","294,500,000","293,000,000","290,500,000","281,000,000","302,200,000","281,100,000","273,600,000","259,800,000","275,500,000","263,800,000","264,300,000","234,600,000","244,000,000","231,000,000","204,316,000","183,364,000","176,222,000","156,380,000","156,199,000","159,643,000","113,249,000","112,670,000","105,325,000","102,238,000","98,514,000","97,887,000","94,096,000","96,066,000","103,477,000","84,657,000","68,760,000","68,311,000","65,215,000","67,186,000","64,974,000","64,236,000","62,477,000","64,476,000","62,532,000","63,843,000","48,126,000","59,358,000","57,907,000","52,365,000","47,227,000","43,500,000","38,700,000","36,200,000","31,137,000","31,700,000","26,900,000","25,800,000","24,115,000","22,600,000","21,600,000","22,000,000","17,679,000","16,300,000","16,600,000","14,400,000","13,400,000","12,400,000","11,700,000","11,700,000","9,700,000","9,000,000","8,300,000","7,600,000","6,100,000","6,000,000","5,000,000",
		GeneralAndAdministrativeExpense,"2,149,500,000","636,300,000",,"512,900,000",,"548,700,000","507,700,000",,,"443,800,000","444,900,000","420,400,000","404,000,000","402,300,000","390,700,000","381,400,000","362,700,000","347,200,000","352,000,000","363,500,000","347,400,000","336,100,000","334,900,000","344,700,000","329,300,000","338,500,000","321,400,000","290,600,000","275,500,000","290,100,000","285,400,000","273,900,000","260,900,000","270,600,000","332,400,000","266,400,000","251,500,000","261,400,000","257,000,000","259,500,000","251,600,000","266,400,000","252,800,000","244,400,000","230,400,000","242,400,000","235,800,000","239,600,000","214,400,000","221,700,000","203,400,000","172,117,000","154,185,000","147,764,000","127,416,000","126,192,000","128,748,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"2,149,500,000","636,300,000",,"512,900,000",,"548,700,000","507,700,000",,,"443,800,000","444,900,000","420,400,000","404,000,000","402,300,000","390,700,000","381,400,000","362,700,000","347,200,000","352,000,000","363,500,000","347,400,000","336,100,000","334,900,000","344,700,000","329,300,000","338,500,000","321,400,000","290,600,000","275,500,000","290,100,000","285,400,000","273,900,000","260,900,000","270,600,000","332,400,000","266,400,000","251,500,000","261,400,000","257,000,000","259,500,000","251,600,000","266,400,000","252,800,000","244,400,000","230,400,000","242,400,000","235,800,000","239,600,000","214,400,000","221,700,000","203,400,000","172,117,000","154,185,000","147,764,000","127,416,000","126,192,000","128,748,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,"49,900,000","51,000,000","53,100,000","39,200,000","48,600,000","48,100,000","48,700,000","37,100,000","45,600,000","46,300,000","46,500,000","35,400,000","44,600,000","41,900,000","42,300,000","34,200,000","39,200,000","41,200,000","38,000,000","29,400,000","37,500,000","37,200,000","34,800,000","28,500,000","35,700,000","33,100,000","31,600,000","30,400,000","33,100,000","36,000,000","31,000,000","29,400,000","35,800,000","28,300,000","29,200,000","29,400,000","33,100,000","28,000,000","24,700,000","20,200,000","22,300,000","27,600,000","32,199,000","29,179,000","28,458,000","28,964,000","30,007,000","30,895,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900,000","1,700,000","1,500,000",,"1,200,000","1,000,000","1,200,000",,"200,000","200,000","400,000",,"600,000","800,000","500,000","600,000","600,000","500,000","500,000","600,000","400,000","400,000","300,000","300,000","500,000","200,000",
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900,000","1,700,000","1,500,000",,"1,200,000","1,000,000","1,200,000",,"200,000","200,000","400,000",,"600,000","800,000","500,000","600,000","600,000","500,000","500,000","600,000","400,000","400,000","300,000","300,000","500,000","200,000",
