name,ttm,12/31/2021,12/31/2020
TotalRevenue,"19,649,000,000","5,532,000,000","4,331,000,000"
	OperatingRevenue,"19,649,000,000","5,532,000,000","4,331,000,000"
CostOfRevenue,"12,163,000,000","4,060,000,000","2,624,000,000"
GrossProfit,"7,486,000,000","1,472,000,000","1,707,000,000"
OperatingExpense,"8,033,000,000","1,531,000,000","2,060,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"3,003,000,000","268,000,000","962,000,000"
		DepreciationAndAmortizationInIncomeStatement,"3,003,000,000","268,000,000","962,000,000"
	OtherTaxes,"475,000,000","121,000,000","118,000,000"
	OtherOperatingExpenses,"4,555,000,000","1,142,000,000","980,000,000"
OperatingIncome,"-547,000,000","-59,000,000","-353,000,000"
NetNonOperatingInterestIncomeExpense,"-199,000,000","26,000,000","-80,000,000"
	InterestIncomeNonOperating,"98,000,000"
	InterestExpenseNonOperating,"297,000,000","72,000,000","80,000,000"
OtherIncomeExpense,"898,000,000","193,000,000","737,000,000"
	GainOnSaleOfSecurity,"425,000,000"
	SpecialIncomeCharges,"201,000,000","57,000,000","-1,000,000"
		GainOnSaleOfPPE,"201,000,000","57,000,000","-1,000,000"
	OtherNonOperatingIncomeExpenses,"272,000,000","-289,000,000","738,000,000"
PretaxIncome,"152,000,000","160,000,000","304,000,000"
TaxProvision,"225,000,000","117,000,000","208,000,000"
EarningsFromEquityInterestNetOfTax,"-10,000,000","-4,000,000","-2,000,000"
NetIncomeCommonStockholders,"-205,000,000","42,000,000","19,000,000"
	NetIncome,"-205,000,000","42,000,000","19,000,000"
		NetIncomeIncludingNoncontrollingInterests,"-83,000,000","39,000,000","94,000,000"
			NetIncomeContinuousOperations,"-83,000,000","39,000,000","94,000,000"
		MinorityInterests,"-122,000,000","3,000,000","-75,000,000"
DilutedNIAvailtoComStockholders,"-205,000,000","42,000,000","19,000,000"
TotalOperatingIncomeAsReported,"-346,000,000","-2,000,000","-354,000,000"
TotalExpenses,"20,196,000,000","5,591,000,000","4,684,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-205,000,000","42,000,000","19,000,000"
NormalizedIncome,"-661,980,000","-309,860,000","19,730,000"
InterestIncome,"98,000,000"
InterestExpense,"297,000,000","72,000,000","80,000,000"
NetInterestIncome,"-199,000,000","26,000,000","-80,000,000"
EBIT,"449,000,000","232,000,000","384,000,000"
EBITDA,"4,989,000,000"
ReconciledCostOfRevenue,"10,626,000,000","3,739,000,000","2,216,000,000"
ReconciledDepreciation,"4,540,000,000","589,000,000","1,370,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-205,000,000","42,000,000","19,000,000"
TotalUnusualItemsExcludingGoodwill,"626,000,000","482,000,000","-1,000,000"
TotalUnusualItems,"626,000,000","482,000,000","-1,000,000"
NormalizedEBITDA,"4,363,000,000","339,000,000","1,755,000,000"
TaxRateForCalcs,"0.27","0.27","0.27"
TaxEffectOfUnusualItems,"169,020,000","130,140,000","-270,000"
