name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
TotalRevenue,"5,764,824,000","1,452,315,000","1,467,976,000","1,456,755,000","1,387,778,000","1,395,025,000","1,368,673,000","1,330,349,000","1,411,741,000","1,442,232,000","1,429,428,000","1,431,061,000","1,389,877,000","1,365,664,000","1,340,073,000","1,367,727,000","1,292,861,000","1,313,785,000","1,276,007,000","1,291,994,000","1,260,486,000","1,257,819,000","1,184,557,000","1,215,962,000","1,138,135,000","1,175,294,000","1,127,887,000","1,125,997,000","996,089,000","926,031,000","840,149,000","851,762,000","784,761,000","795,328,000","727,830,000","707,561,000","680,029,000","710,384,000","676,482,000","637,358,000","641,212,000","615,626,000","571,640,000","524,223,000","491,664,000","500,201,000","462,683,000","456,001,000","431,337,000","466,321,000","409,415,000","403,806,000","392,322,000","465,735,000","422,728,000","402,800,000","384,765,000","394,501,000","372,936,000","386,588,000","365,852,000","380,789,000","345,452,000","330,572,000","321,224,000","325,814,000","294,622,000","277,815,000","262,534,000","248,172,000","231,067,000","228,390,000","218,727,000","227,409,000","206,292,000","207,695,000","198,191,000","205,668,000","190,331,000","180,573,000","175,280,000","151,786,000","139,837,000","129,986,000","120,996,000","93,073,000","104,325,000","93,502,000","80,601,000","68,200,000","80,900,000","82,800,000","86,700,000","86,600,000","82,800,000","79,200,000","73,700,000","69,900,000","60,800,000","63,300,000","51,100,000","46,400,000","43,400,000","46,700,000","52,600,000","53,000,000","41,700,000","49,000,000","43,200,000","44,700,000","40,900,000","39,800,000","30,500,000","30,900,000","32,300,000","29,800,000","24,100,000","24,000,000","27,800,000","26,300,000","20,200,000","23,700,000","18,300,000","18,100,000","14,900,000","14,200,000","12,900,000","15,200,000","9,100,000","18,500,000","12,300,000","12,600,000","13,300,000","8,900,000","10,000,000","10,000,000","11,400,000","12,200,000","8,300,000","7,100,000","5,400,000","4,400,000","4,300,000","4,300,000","4,300,000"
	OperatingRevenue,"5,764,824,000","1,452,315,000","1,467,976,000","1,456,755,000","1,387,778,000","1,395,025,000","1,368,673,000","1,330,349,000","1,411,741,000","1,442,232,000","1,429,428,000","1,431,061,000","1,389,877,000","1,365,664,000","1,340,073,000","1,367,727,000","1,292,861,000","1,313,785,000","1,276,007,000","1,291,994,000","1,260,486,000","1,257,819,000","1,184,557,000","1,215,962,000","1,138,135,000","1,175,294,000","1,127,887,000","1,125,997,000","996,089,000","926,031,000","840,149,000","851,762,000","784,761,000","795,328,000","727,830,000","707,561,000","680,029,000","710,384,000","676,482,000","637,358,000","641,212,000","615,626,000","571,640,000","524,223,000","491,664,000","500,201,000","462,683,000","456,001,000","431,337,000","466,321,000","409,415,000","403,806,000","392,322,000","465,735,000","422,728,000","402,800,000","384,765,000","394,501,000","372,936,000","386,588,000","365,852,000","380,789,000","345,452,000","330,572,000","321,224,000","325,814,000","294,622,000","277,815,000","262,534,000","248,172,000","231,067,000","228,390,000","218,727,000","227,409,000","206,292,000","207,695,000","198,191,000","205,668,000","190,331,000","180,573,000","175,280,000","151,786,000","139,837,000","129,986,000","120,996,000","93,073,000","104,325,000","93,502,000","80,601,000","68,200,000","80,900,000","82,800,000","86,700,000","86,600,000","82,800,000","79,200,000","73,700,000","69,900,000","60,800,000","63,300,000","51,100,000","46,400,000","43,400,000","46,700,000","52,600,000","53,000,000","41,700,000","49,000,000","43,200,000","44,700,000","40,900,000","39,800,000","30,500,000","30,900,000","32,300,000","29,800,000","24,100,000","24,000,000","27,800,000","26,300,000","20,200,000","23,700,000","18,300,000","18,100,000","14,900,000","14,200,000","12,900,000","15,200,000","9,100,000","18,500,000","12,300,000","12,600,000","13,300,000","8,900,000","10,000,000","10,000,000","11,400,000","12,200,000","8,300,000","7,100,000","5,400,000","4,400,000","4,300,000","4,300,000","4,300,000"
CostOfRevenue,"1,001,017,000","257,925,000","251,111,000","261,325,000","230,656,000","234,673,000","231,889,000","211,963,000","254,416,000","277,386,000","271,778,000","268,673,000","253,204,000","236,955,000","230,332,000","238,783,000","231,278,000","229,131,000","202,904,000","223,063,000","198,993,000","214,997,000","182,970,000","205,556,000","175,593,000","199,216,000","190,583,000","192,322,000","168,660,000","172,844,000","140,065,000","162,369,000","129,099,000","142,116,000","119,577,000","125,800,000","127,229,000","153,111,000","149,578,000","147,500,000","158,008,000","132,046,000","120,464,000","98,482,000","90,680,000","94,913,000","79,148,000","78,211,000","68,084,000","79,299,000","69,479,000","66,889,000","65,531,000","87,585,000","72,317,000","71,786,000","64,374,000","68,877,000","57,809,000","80,962,000","72,463,000","88,956,000","69,803,000","64,192,000","68,018,000","74,372,000","65,305,000","59,601,000","55,408,000","54,098,000","45,013,000","50,564,000","46,673,000","47,507,000","45,435,000","53,096,000","48,252,000","131,375,000","119,337,000","115,831,000","114,862,000","95,914,000","87,527,000","83,049,000","75,893,000","65,123,000","57,135,000","52,270,000","46,891,000","60,800,000","45,900,000","48,100,000","50,100,000","52,000,000","43,900,000","43,200,000","42,100,000","38,300,000","31,800,000","37,700,000","29,700,000","62,800,000","25,000,000","27,200,000","29,300,000","24,900,000","21,000,000","24,000,000","20,200,000","28,700,000","17,600,000","17,300,000","12,800,000","19,500,000","19,700,000","18,800,000","15,000,000","17,200,000","18,100,000","17,900,000","13,600,000","-3,000,000","13,500,000","13,700,000","6,700,000","14,800,000","5,100,000","6,700,000","4,000,000",,,,,,,,,,,,,,,,
GrossProfit,"4,763,807,000","1,194,390,000","1,216,865,000","1,195,430,000","1,157,122,000","1,160,352,000","1,136,784,000","1,118,386,000","1,157,325,000","1,164,846,000","1,157,650,000","1,162,388,000","1,136,673,000","1,128,709,000","1,109,741,000","1,128,944,000","1,061,583,000","1,084,654,000","1,073,103,000","1,068,931,000","1,061,493,000","1,042,822,000","1,001,587,000","1,010,406,000","962,542,000","976,078,000","937,304,000","933,675,000","827,429,000","753,187,000","700,084,000","689,393,000","655,662,000","653,212,000","608,253,000","581,761,000","552,800,000","557,273,000","526,904,000","489,858,000","483,204,000","483,580,000","451,176,000","425,741,000","400,984,000","405,288,000","383,535,000","377,790,000","363,253,000","387,022,000","339,936,000","336,917,000","326,791,000","378,150,000","350,411,000","331,014,000","320,391,000","325,624,000","315,127,000","305,626,000","293,389,000","291,833,000","275,649,000","266,380,000","253,206,000","251,442,000","229,317,000","218,214,000","207,126,000","194,074,000","186,054,000","177,826,000","172,054,000","179,902,000","160,857,000","154,599,000","149,939,000","74,293,000","70,994,000","64,742,000","60,418,000","55,872,000","52,310,000","46,937,000","45,103,000","27,950,000","47,190,000","41,232,000","33,710,000","7,400,000","35,000,000","34,700,000","36,600,000","34,600,000","38,900,000","36,000,000","31,600,000","31,600,000","29,000,000","25,600,000","21,400,000","-16,400,000","18,400,000","19,500,000","23,300,000","28,100,000","20,700,000","25,000,000","23,000,000","16,000,000","23,300,000","22,500,000","17,700,000","11,400,000","12,600,000","11,000,000","9,100,000","6,800,000","9,700,000","8,400,000","6,600,000","26,700,000","4,800,000","4,400,000","8,200,000","-600,000","7,800,000","8,500,000","5,100,000",,,,,,,,,,,,,,,,
OperatingExpense,"4,055,531,000","978,655,000","991,942,000","1,145,870,000","939,064,000","986,533,000","941,833,000","971,488,000","978,949,000","982,015,000","1,068,873,000","1,031,271,000","938,729,000","964,582,000","902,585,000","920,657,000","866,368,000","865,603,000","825,197,000","819,543,000","817,367,000","830,794,000","759,362,000","769,094,000","747,094,000","748,944,000","721,950,000","761,939,000","660,517,000","547,893,000","511,930,000","497,760,000","477,659,000","569,463,000","439,015,000","415,305,000","396,231,000","396,829,000","379,208,000","353,775,000","355,765,000","345,846,000","330,784,000","317,768,000","307,285,000","301,955,000","289,543,000","291,438,000","287,597,000","293,862,000","269,226,000","270,761,000","264,811,000","276,703,000","282,660,000","277,793,000","263,925,000","271,119,000","258,525,000","256,604,000","249,436,000","241,450,000","231,772,000","226,467,000","221,212,000","205,064,000","192,120,000","184,006,000","178,091,000","157,385,000","159,698,000","151,920,000","149,541,000","151,125,000","139,132,000","138,252,000","138,691,000","46,957,000","47,066,000","43,869,000","41,735,000","36,143,000","35,522,000","33,348,000","33,678,000","49,218,000","39,319,000","33,665,000","35,281,000","33,700,000","32,900,000","33,300,000","31,800,000","29,800,000","28,600,000","27,100,000","25,600,000","23,400,000","22,200,000","20,700,000","18,900,000","-18,100,000","18,000,000","17,300,000","17,000,000","15,500,000","15,200,000","14,100,000","14,700,000","4,400,000","14,700,000","13,900,000","13,000,000","7,300,000","5,700,000","5,500,000","4,900,000","4,000,000","4,800,000","4,700,000","4,100,000","25,600,000","2,800,000","2,500,000","7,400,000","-600,000","6,500,000","6,500,000","5,700,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,156,872,000","762,542,000","772,405,000","887,384,000","734,541,000","776,063,000","742,218,000","779,419,000","776,501,000","770,805,000","860,064,000","828,683,000","736,383,000","761,619,000","708,735,000","730,569,000","682,242,000","680,677,000","648,799,000","654,020,000","648,592,000","662,385,000","599,742,000","610,292,000","591,961,000","583,465,000","564,586,000","598,980,000","533,246,000","440,985,000","414,904,000","400,434,000","386,114,000","477,020,000","356,017,000","333,023,000","315,168,000","318,205,000","301,114,000","280,268,000","284,620,000","272,523,000","258,240,000","247,978,000","236,141,000","231,128,000","222,286,000","223,450,000","220,818,000","219,389,000","202,474,000","205,671,000","200,075,000","207,329,000","214,568,000","211,903,000","194,761,000","194,848,000","192,916,000","193,731,000","183,613,000","176,544,000","169,612,000","165,579,000","162,195,000","145,608,000","138,152,000","135,304,000","128,762,000","113,956,000","116,861,000","109,151,000","106,987,000","110,059,000","99,877,000","99,795,000","101,233,000","12,449,000","13,216,000","12,300,000","12,042,000","9,860,000","9,990,000","8,982,000","9,673,000","16,972,000","10,512,000","6,651,000","6,935,000","7,000,000","7,200,000","6,800,000","6,700,000","6,900,000","6,500,000","6,500,000","6,000,000","6,900,000","5,500,000","5,500,000","5,200,000","4,800,000","4,200,000","4,900,000","4,900,000","5,100,000","4,400,000","3,700,000","4,000,000","17,800,000","6,400,000","6,200,000","5,500,000","5,300,000","4,200,000","4,000,000","3,500,000","2,500,000","3,500,000","3,300,000","3,000,000","24,700,000","1,900,000","1,600,000","6,600,000","-1,400,000","5,800,000","5,800,000","5,100,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"520,667,000","130,600,000","121,395,000","156,307,000","112,365,000","100,586,000","116,816,000","134,332,000","139,852,000","122,293,000","152,321,000","149,788,000","96,196,000","98,922,000","102,789,000","95,464,000","92,294,000","92,064,000","84,178,000","90,633,000","88,392,000","125,222,000","87,071,000","90,027,000","90,134,000","94,363,000","98,705,000","135,545,000","113,064,000","65,969,000","68,487,000","57,200,000","55,213,000","157,182,000","51,352,000","51,831,000","47,812,000","43,655,000","41,973,000","38,393,000","39,546,000","34,299,000","38,063,000","37,765,000","34,793,000","30,919,000","32,966,000","33,420,000","33,225,000","35,151,000","31,059,000","34,038,000","26,722,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"520,667,000","130,600,000","121,395,000","156,307,000","112,365,000","100,586,000","116,816,000","134,332,000","139,852,000","122,293,000","152,321,000","149,788,000","96,196,000","98,922,000","102,789,000","95,464,000","92,294,000","92,064,000","84,178,000","90,633,000","88,392,000","125,222,000","87,071,000","90,027,000","90,134,000","94,363,000","98,705,000","135,545,000","113,064,000","65,969,000","68,487,000","57,200,000","55,213,000","157,182,000","51,352,000","51,831,000","47,812,000","43,655,000","41,973,000","38,393,000","39,546,000","34,299,000","38,063,000","37,765,000","34,793,000","30,919,000","32,966,000","33,420,000","33,225,000","35,151,000","31,059,000","34,038,000","26,722,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"2,636,205,000","631,942,000","651,010,000","731,077,000","622,176,000","675,477,000","625,402,000","645,087,000","636,649,000","648,512,000","707,743,000","678,895,000","640,187,000","662,697,000","605,946,000","635,105,000","589,948,000","588,613,000","564,621,000","563,387,000","560,200,000","537,163,000","512,671,000","520,265,000","501,827,000","489,102,000","465,881,000","463,435,000","420,182,000","375,016,000","346,417,000","343,234,000","330,901,000","319,838,000","304,665,000","281,192,000","267,356,000","274,550,000","259,141,000","241,875,000","245,074,000","238,224,000","220,177,000","210,213,000","201,348,000","200,209,000","189,320,000","190,030,000","187,593,000","184,238,000","171,415,000","171,633,000","173,353,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"835,995,000","199,405,000","202,663,000","241,600,000","192,327,000","197,906,000","186,826,000","178,955,000","185,320,000","188,202,000","187,526,000","181,047,000","180,361,000","181,471,000","172,297,000","168,278,000","161,617,000","162,476,000","153,834,000","142,835,000","145,901,000","145,967,000","136,755,000","135,164,000","133,532,000","141,263,000","132,814,000","138,451,000","127,271,000","106,908,000","97,026,000","97,326,000","91,545,000","92,443,000","82,998,000","82,282,000","81,063,000","78,624,000","78,094,000","73,507,000","71,145,000","73,323,000","72,544,000","69,790,000","71,144,000","70,827,000","67,257,000","67,988,000","66,779,000","74,473,000","66,752,000","65,090,000","64,736,000","69,374,000","68,092,000","65,890,000","69,164,000","76,271,000","65,609,000","62,873,000","65,823,000","64,906,000","62,160,000","60,888,000","59,017,000","59,456,000","53,968,000","48,702,000","49,329,000","43,429,000","42,837,000","42,769,000","42,554,000","41,066,000","39,255,000","38,457,000","37,458,000","34,508,000","33,850,000","31,569,000","29,693,000","26,284,000","25,532,000","24,366,000","24,005,000","21,775,000","19,064,000","18,055,000","19,531,000","18,400,000","18,200,000","18,500,000","17,500,000","16,000,000","15,600,000","14,500,000","13,700,000","11,800,000","12,000,000","10,600,000","9,600,000",,"9,200,000","8,700,000","8,500,000","7,700,000","7,400,000","7,400,000","7,600,000",,"5,900,000","5,400,000","5,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
