name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
TotalRevenue,"8,537,000,000","2,275,000,000","2,266,000,000","2,198,000,000","1,798,000,000","1,591,000,000","1,411,000,000","1,193,000,000","1,460,000,000","1,432,000,000","1,586,000,000","1,592,000,000","1,687,000,000","1,689,000,000","1,771,000,000","1,844,000,000","1,851,000,000","1,593,000,000","1,566,000,000","1,510,000,000","1,471,000,000","1,311,000,000","1,323,000,000","1,351,000,000","1,404,000,000","1,334,000,000","1,413,000,000","1,477,000,000","1,450,000,000","1,559,000,000","1,769,000,000","1,769,000,000","1,705,000,000","1,616,000,000","1,636,000,000","1,653,000,000","1,605,000,000","1,501,000,000","1,609,000,000","1,675,000,000","1,633,000,000","1,614,000,000","1,807,000,000","1,753,000,000","1,589,000,000","1,507,000,000","1,506,000,000","1,517,000,000","1,388,000,000","1,388,000,000","1,304,000,000","1,244,000,000","1,146,000,000","1,286,000,000","1,823,000,000","1,868,000,000","1,846,000,000","1,760,000,000","1,573,000,000","1,556,000,000","1,631,000,000","1,656,000,000","1,685,000,000","1,674,000,000","1,652,000,000","1,508,000,000","1,536,000,000","1,517,000,000","1,509,000,000","1,332,000,000","1,247,000,000","1,229,000,000","1,243,000,000"
	OperatingRevenue,"8,537,000,000","2,275,000,000","2,266,000,000","2,198,000,000","1,798,000,000","1,591,000,000","1,411,000,000","1,193,000,000","1,460,000,000","1,432,000,000","1,586,000,000","1,592,000,000","1,687,000,000","1,689,000,000","1,771,000,000","1,844,000,000","1,851,000,000","1,593,000,000","1,566,000,000","1,510,000,000","1,471,000,000","1,311,000,000","1,323,000,000","1,351,000,000","1,404,000,000","1,334,000,000","1,413,000,000","1,477,000,000","1,450,000,000","1,559,000,000","1,769,000,000","1,769,000,000","1,705,000,000","1,616,000,000","1,636,000,000","1,653,000,000","1,605,000,000","1,501,000,000","1,609,000,000","1,675,000,000","1,633,000,000","1,614,000,000","1,807,000,000","1,753,000,000","1,589,000,000","1,507,000,000","1,506,000,000","1,517,000,000","1,388,000,000","1,388,000,000","1,304,000,000","1,244,000,000","1,146,000,000","1,286,000,000","1,823,000,000","1,868,000,000","1,846,000,000","1,760,000,000","1,573,000,000","1,556,000,000","1,631,000,000","1,656,000,000","1,685,000,000","1,674,000,000","1,652,000,000","1,508,000,000","1,536,000,000","1,517,000,000","1,509,000,000","1,332,000,000","1,247,000,000","1,229,000,000","1,243,000,000"
CostOfRevenue,"5,855,000,000","1,554,000,000","1,551,000,000","1,437,000,000","1,313,000,000","1,215,000,000","1,084,000,000","951,000,000","1,112,000,000","1,116,000,000","1,172,000,000","1,169,000,000","1,234,000,000","1,269,000,000","1,255,000,000","1,323,000,000","1,336,000,000","1,182,000,000","1,181,000,000","1,143,000,000","1,119,000,000","989,000,000","968,000,000","1,013,000,000","1,014,000,000","1,075,000,000","1,110,000,000","1,102,000,000","1,069,000,000","1,165,000,000","1,333,000,000","1,361,000,000","1,327,000,000","1,249,000,000","1,290,000,000","1,334,000,000","1,272,000,000","1,234,000,000","1,285,000,000","1,344,000,000","1,363,000,000","1,342,000,000","1,406,000,000","1,343,000,000","1,238,000,000","1,194,000,000","1,160,000,000","1,214,000,000","1,170,000,000","1,099,000,000","1,038,000,000","996,000,000","946,000,000","1,177,000,000","1,490,000,000","1,472,000,000","1,428,000,000","1,348,000,000","1,236,000,000","1,219,000,000","1,240,000,000","1,298,000,000","1,318,000,000","1,326,000,000","1,285,000,000","1,220,000,000","1,253,000,000","1,175,000,000","1,125,000,000","1,029,000,000","1,032,000,000","1,058,000,000","1,002,000,000"
GrossProfit,"2,682,000,000","721,000,000","715,000,000","761,000,000","485,000,000","376,000,000","327,000,000","242,000,000","348,000,000","316,000,000","414,000,000","423,000,000","453,000,000","420,000,000","516,000,000","521,000,000","515,000,000","411,000,000","385,000,000","367,000,000","352,000,000","322,000,000","355,000,000","338,000,000","390,000,000","259,000,000","303,000,000","375,000,000","381,000,000","394,000,000","436,000,000","408,000,000","378,000,000","367,000,000","346,000,000","319,000,000","333,000,000","267,000,000","324,000,000","331,000,000","270,000,000","272,000,000","401,000,000","410,000,000","351,000,000","313,000,000","346,000,000","303,000,000","218,000,000","289,000,000","266,000,000","248,000,000","200,000,000","109,000,000","333,000,000","396,000,000","418,000,000","412,000,000","337,000,000","337,000,000","391,000,000","358,000,000","367,000,000","348,000,000","367,000,000","288,000,000","283,000,000","342,000,000","384,000,000","303,000,000","215,000,000","171,000,000","241,000,000"
OperatingExpense,"744,000,000","201,000,000","192,000,000","188,000,000","163,000,000","162,000,000","131,000,000","138,000,000","147,000,000","148,000,000","143,000,000","141,000,000","142,000,000","158,000,000","152,000,000","161,000,000","171,000,000","190,000,000","136,000,000","118,000,000","104,000,000","206,000,000","104,000,000","92,000,000","101,000,000","232,000,000","115,000,000","168,000,000","121,000,000","439,000,000","145,000,000","148,000,000","132,000,000","13,000,000","127,000,000","145,000,000","143,000,000","166,000,000","155,000,000","166,000,000","173,000,000","173,000,000","205,000,000","201,000,000","167,000,000","207,000,000","157,000,000","156,000,000","157,000,000","261,000,000","148,000,000","153,000,000","151,000,000","296,000,000","170,000,000","189,000,000","168,000,000","114,000,000","184,000,000","164,000,000","152,000,000","173,000,000","167,000,000","171,000,000","169,000,000","123,000,000","167,000,000","159,000,000","180,000,000","242,000,000","160,000,000","146,000,000","189,000,000"
	SellingGeneralAndAdministration,"633,000,000","170,000,000","165,000,000","161,000,000","137,000,000","137,000,000","106,000,000","114,000,000","125,000,000","125,000,000","120,000,000","118,000,000","120,000,000","134,000,000","129,000,000","136,000,000","147,000,000","165,000,000","112,000,000","96,000,000","83,000,000","184,000,000","81,000,000","71,000,000","80,000,000","209,000,000","93,000,000","106,000,000","98,000,000","417,000,000","118,000,000","119,000,000","104,000,000","-5,000,000","97,000,000","113,000,000","106,000,000","128,000,000","121,000,000","124,000,000","134,000,000","128,000,000","140,000,000","140,000,000","128,000,000","136,000,000","123,000,000","123,000,000","123,000,000","131,000,000","110,000,000","114,000,000","114,000,000","124,000,000","142,000,000","138,000,000","136,000,000","145,000,000","133,000,000","122,000,000","116,000,000","86,000,000","147,000,000","153,000,000","152,000,000","121,000,000","144,000,000","136,000,000","161,000,000","220,000,000","139,000,000","125,000,000","137,000,000"
	ResearchAndDevelopment,"86,000,000","23,000,000","21,000,000","22,000,000","20,000,000","20,000,000","19,000,000","18,000,000","17,000,000","17,000,000","17,000,000","17,000,000","16,000,000","18,000,000","18,000,000","18,000,000","18,000,000","19,000,000","19,000,000","17,000,000","17,000,000","20,000,000","20,000,000","19,000,000","19,000,000","21,000,000","19,000,000","59,000,000","20,000,000","18,000,000","22,000,000","24,000,000","22,000,000","12,000,000","24,000,000","23,000,000","26,000,000","26,000,000","24,000,000","26,000,000","26,000,000","24,000,000","24,000,000","25,000,000","23,000,000","14,000,000","19,000,000","18,000,000","19,000,000","19,000,000","18,000,000","18,000,000","20,000,000","21,000,000","18,000,000","18,000,000","23,000,000","19,000,000","18,000,000","19,000,000","17,000,000","18,000,000","16,000,000","18,000,000","18,000,000","23,000,000","22,000,000","23,000,000","23,000,000","22,000,000","23,000,000","22,000,000","23,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"25,000,000","8,000,000","6,000,000","5,000,000","6,000,000","5,000,000","6,000,000","6,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","7,000,000","6,000,000","6,000,000","5,000,000","5,000,000","4,000,000","2,000,000","3,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","3,000,000","4,000,000","5,000,000","5,000,000","6,000,000","6,000,000","6,000,000","9,000,000","11,000,000","13,000,000","12,000,000","13,000,000","13,000,000","12,000,000","17,000,000","17,000,000","16,000,000","16,000,000","15,000,000","15,000,000","15,000,000","19,000,000","20,000,000","21,000,000","17,000,000","18,000,000","19,000,000","20,000,000","19,000,000","52,000,000","18,000,000","17,000,000","18,000,000",,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"25,000,000","8,000,000","6,000,000","5,000,000","6,000,000","5,000,000","6,000,000","6,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","7,000,000","6,000,000","6,000,000","5,000,000","5,000,000","4,000,000","2,000,000","3,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","3,000,000","4,000,000","5,000,000","5,000,000","6,000,000","6,000,000","6,000,000","9,000,000","11,000,000","13,000,000","12,000,000","13,000,000","13,000,000","12,000,000","17,000,000","17,000,000","16,000,000","16,000,000","15,000,000","15,000,000","15,000,000","19,000,000","20,000,000","21,000,000","17,000,000","18,000,000","19,000,000","20,000,000","19,000,000","52,000,000","18,000,000","17,000,000","18,000,000",,,,,,,,,,,,
			Amortization,"25,000,000","8,000,000","6,000,000","5,000,000","6,000,000","5,000,000","6,000,000","6,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","7,000,000","6,000,000","6,000,000","5,000,000","5,000,000","4,000,000","2,000,000","3,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","3,000,000","4,000,000","5,000,000","5,000,000","6,000,000","6,000,000","6,000,000","9,000,000","11,000,000","13,000,000","12,000,000","13,000,000","13,000,000","12,000,000","17,000,000","17,000,000","16,000,000","16,000,000","15,000,000","15,000,000","15,000,000","19,000,000","20,000,000","21,000,000","17,000,000","18,000,000","19,000,000","20,000,000","19,000,000","52,000,000","18,000,000","17,000,000","18,000,000",,,,,,,,,,,,
