name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
TotalRevenue,"6,647,000,000","1,721,000,000","1,659,000,000","1,609,000,000","1,659,000,000","1,707,000,000","1,791,000,000","1,750,000,000","1,657,000,000","1,637,000,000","1,638,000,000","1,628,000,000","1,582,000,000","1,588,000,000","1,564,000,000","1,509,000,000","1,462,000,000","1,484,000,000","1,443,000,000","1,396,000,000","1,384,000,000","1,368,000,000","1,375,000,000","1,278,000,000","1,234,000,000","1,229,000,000","1,209,000,000","1,200,000,000","1,183,000,000","891,000,000","1,161,000,000","1,185,000,000","1,166,000,000","1,158,000,000","1,153,000,000","1,186,000,000","1,193,000,000"
	OperatingRevenue,"6,647,000,000","1,721,000,000","1,659,000,000","1,609,000,000","1,659,000,000","1,707,000,000","1,791,000,000","1,750,000,000","1,657,000,000","1,637,000,000","1,638,000,000","1,628,000,000","1,582,000,000","1,588,000,000","1,564,000,000","1,509,000,000","1,462,000,000","1,484,000,000","1,443,000,000","1,396,000,000","1,384,000,000","1,368,000,000","1,375,000,000","1,278,000,000","1,234,000,000","1,229,000,000","1,209,000,000","1,200,000,000","1,183,000,000","891,000,000","1,161,000,000","1,185,000,000","1,166,000,000","1,158,000,000","1,153,000,000","1,186,000,000","1,193,000,000"
PretaxIncome,"2,977,000,000","684,000,000","681,000,000","831,000,000","781,000,000","571,000,000","375,000,000","307,000,000","45,000,000","541,000,000","564,000,000","580,000,000","566,000,000","557,000,000","576,000,000","549,000,000","501,000,000","503,000,000","513,000,000","462,000,000","434,000,000","414,000,000","427,000,000","361,000,000","332,000,000","331,000,000","335,000,000","282,000,000","315,000,000","283,000,000","274,000,000","476,000,000","235,000,000","208,000,000","220,000,000","-4,178,000,000","282,000,000"
TaxProvision,"658,000,000","154,000,000","151,000,000","183,000,000","170,000,000","115,000,000","61,000,000","54,000,000","11,000,000","91,000,000","115,000,000","127,000,000","127,000,000","92,000,000","133,000,000","124,000,000","113,000,000","-163,000,000","165,000,000","144,000,000","114,000,000","132,000,000","130,000,000","118,000,000","109,000,000","110,000,000","115,000,000","92,000,000","106,000,000","86,000,000","85,000,000","163,000,000","69,000,000","56,000,000","76,000,000","-273,000,000","99,000,000"
NetIncomeCommonStockholders,"2,206,000,000","498,000,000","504,000,000","616,000,000","588,000,000","424,000,000","289,000,000","225,000,000","12,000,000","427,000,000","432,000,000","435,000,000","424,000,000","450,000,000","436,000,000","425,000,000","381,000,000","666,000,000","341,000,000","318,000,000","313,000,000","282,000,000","290,000,000","243,000,000","216,000,000","221,000,000","213,000,000","190,000,000","209,000,000","197,000,000","189,000,000","313,000,000","166,000,000","152,000,000","144,000,000","-3,905,000,000","183,000,000"
	NetIncome,"2,319,000,000","530,000,000","530,000,000","648,000,000","611,000,000","456,000,000","314,000,000","253,000,000","34,000,000","450,000,000","449,000,000","453,000,000","439,000,000","465,000,000","443,000,000","425,000,000","388,000,000","666,000,000","348,000,000","318,000,000","320,000,000","282,000,000","297,000,000","243,000,000","223,000,000","221,000,000","220,000,000","190,000,000","209,000,000","197,000,000","189,000,000","313,000,000","166,000,000","152,000,000","144,000,000","-3,905,000,000","183,000,000"
		NetIncomeIncludingNoncontrollingInterests,"2,319,000,000","530,000,000","530,000,000","648,000,000","611,000,000","456,000,000","314,000,000","253,000,000","34,000,000","450,000,000","449,000,000","453,000,000","439,000,000","465,000,000","443,000,000","425,000,000","388,000,000","666,000,000","348,000,000","318,000,000","320,000,000","282,000,000","297,000,000","243,000,000","223,000,000","221,000,000","220,000,000","190,000,000","209,000,000","197,000,000","189,000,000","313,000,000","166,000,000","152,000,000","144,000,000","-3,905,000,000","183,000,000"
			NetIncomeContinuousOperations,"2,319,000,000","530,000,000","530,000,000","648,000,000","611,000,000","456,000,000","314,000,000","253,000,000","34,000,000","450,000,000","449,000,000","453,000,000","439,000,000","465,000,000","443,000,000","425,000,000","388,000,000","666,000,000","348,000,000","318,000,000","320,000,000","282,000,000","297,000,000","243,000,000","223,000,000","221,000,000","220,000,000","190,000,000","209,000,000","197,000,000","189,000,000","313,000,000","166,000,000","152,000,000","144,000,000","-3,905,000,000","183,000,000"
	PreferredStockDividends,,,,,,"32,000,000","25,000,000","28,000,000","22,000,000","23,000,000","17,000,000","18,000,000","15,000,000","15,000,000","7,000,000",,"7,000,000","0","7,000,000",,"7,000,000","0","7,000,000",,"7,000,000","0","7,000,000",,"-6,000,000",,,,,,,,
	OtherunderPreferredStockDividend,"113,000,000","32,000,000","26,000,000","32,000,000","23,000,000","32,000,000","25,000,000","28,000,000","22,000,000","23,000,000","17,000,000","18,000,000","15,000,000","15,000,000","7,000,000",,"7,000,000","0","7,000,000",,"7,000,000","0","7,000,000",,"7,000,000","0","7,000,000",,"-6,000,000",,,,,,,,
DilutedNIAvailtoComStockholders,"2,206,000,000","498,000,000","504,000,000","616,000,000","588,000,000","424,000,000","289,000,000","225,000,000","12,000,000","427,000,000","432,000,000","435,000,000","424,000,000","450,000,000","436,000,000","425,000,000","381,000,000","666,000,000","341,000,000","318,000,000","313,000,000","282,000,000","290,000,000","243,000,000","216,000,000","221,000,000","213,000,000","190,000,000","209,000,000","197,000,000","189,000,000","313,000,000","166,000,000","152,000,000","144,000,000","-3,905,000,000","183,000,000"
BasicEPS,,"1.17","1.18","1.45","1.38","0.99","0.68","0.53","0.03","0.98","0.97","0.95","0.92","0.96","0.92","0.88","0.78","1.35","0.68","0.63","0.61","0.55","0.56","0.46","0.41","0.42","0.4","0.35","0.38","0.36","0.34","0.559","0.296",,"0.257",,"0.327"
DilutedEPS,,"1.17","1.18","1.44","1.37","0.99","0.68","0.53","0.03","0.98","0.97","0.95","0.92","0.96","0.91","0.88","0.78","1.35","0.68","0.63","0.61","0.55","0.56","0.46","0.41","0.42","0.4","0.35","0.38","0.36","0.34","0.559","0.296",,"0.257",,"0.327"
BasicAverageShares,,"424,697,880","426,086,717","425,948,706","425,953,716","427,074,822","426,846,096","426,613,053","427,718,421","434,684,606","445,703,987","458,154,335","460,713,172","467,338,825","475,957,526","484,744,354","487,500,618","492,149,763","500,861,076","506,371,846","509,451,450","512,015,920","519,458,976","528,968,330","528,070,648","527,648,630","530,985,255","537,729,248","546,291,363","546,810,009","559,998,324","559,998,324","559,998,324",,"559,998,324",,"559,998,324"
