name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"5,190,100,000","1,368,700,000","1,311,400,000","1,271,100,000","1,238,900,000","1,295,300,000","1,241,000,000","1,194,300,000","1,165,200,000","1,144,200,000","1,089,400,000","1,079,400,000","1,044,700,000","1,074,400,000","1,037,600,000","1,027,900,000","1,006,000,000","1,033,100,000","967,900,000","898,000,000","877,200,000","896,000,000","870,700,000","877,400,000","849,000,000","873,600,000","861,800,000","847,100,000","812,300,000","865,500,000","841,800,000","808,300,000","782,000,000","822,600,000","804,800,000","787,600,000","779,300,000","809,700,000","725,200,000","696,400,000","690,600,000","731,100,000","701,000,000","674,900,000","642,300,000","656,879,000","656,901,000","640,887,000","634,553,000","670,779,000","646,157,000","623,119,000","580,867,000","644,900,000","630,672,000","593,959,000","552,867,000","579,695,000","580,438,000","546,472,000","514,335,000","526,108,000","518,578,000","458,584,000","442,391,000","431,274,000","442,743,000","441,815,000","420,674,000","404,976,000","420,310,000","340,785,000","295,991,000","286,747,000","265,566,000","256,263,000","248,298,000","268,098,000","263,786,000","258,463,000","256,802,000","296,615,000","270,627,000","257,095,000","256,527,000","204,383,000","199,847,000","199,863,000","191,632,000","183,000,000","185,900,000","186,400,000","174,700,000","182,000,000","176,800,000","173,500,000","152,000,000","157,100,000","146,300,000","141,900,000","129,600,000","134,500,000","137,100,000","134,600,000","121,500,000","118,300,000","120,500,000","129,000,000","118,000,000","116,300,000","132,600,000","130,700,000","111,500,000","109,700,000","133,800,000","135,700,000","128,500,000","139,400,000","133,000,000","128,400,000","115,500,000","135,000,000","123,200,000","117,900,000","109,400,000","118,700,000","107,700,000","104,100,000","98,000,000","100,900,000","100,000,000","95,700,000","91,000,000","90,800,000","88,600,000","84,400,000","83,000,000","87,900,000","85,900,000","75,100,000","69,900,000","75,600,000","72,700,000","62,800,000","64,300,000","63,200,000","61,500,000"
	OperatingRevenue,"5,190,100,000","1,368,700,000","1,311,400,000","1,271,100,000","1,238,900,000","1,295,300,000","1,241,000,000","1,194,300,000","1,165,200,000","1,144,200,000","1,089,400,000","1,079,400,000","1,044,700,000","1,074,400,000","1,037,600,000","1,027,900,000","1,006,000,000","1,033,100,000","967,900,000","898,000,000","877,200,000","896,000,000","870,700,000","877,400,000","849,000,000","873,600,000","861,800,000","847,100,000","812,300,000","865,500,000","841,800,000","808,300,000","782,000,000","822,600,000","804,800,000","787,600,000","779,300,000","809,700,000","725,200,000","696,400,000","690,600,000","731,100,000","701,000,000","674,900,000","642,300,000","656,879,000","656,901,000","640,887,000","634,553,000","670,779,000","646,157,000","623,119,000","580,867,000","644,900,000","630,672,000","593,959,000","552,867,000","579,695,000","580,438,000","546,472,000","514,335,000","526,108,000","518,578,000","458,584,000","442,391,000","431,274,000","442,743,000","441,815,000","420,674,000","404,976,000","420,310,000","340,785,000","295,991,000","286,747,000","265,566,000","256,263,000","248,298,000","268,098,000","263,786,000","258,463,000","256,802,000","296,615,000","270,627,000","257,095,000","256,527,000","204,383,000","199,847,000","199,863,000","191,632,000","183,000,000","185,900,000","186,400,000","174,700,000","182,000,000","176,800,000","173,500,000","152,000,000","157,100,000","146,300,000","141,900,000","129,600,000","134,500,000","137,100,000","134,600,000","121,500,000","118,300,000","120,500,000","129,000,000","118,000,000","116,300,000","132,600,000","130,700,000","111,500,000","109,700,000","133,800,000","135,700,000","128,500,000","139,400,000","133,000,000","128,400,000","115,500,000","135,000,000","123,200,000","117,900,000","109,400,000","118,700,000","107,700,000","104,100,000","98,000,000","100,900,000","100,000,000","95,700,000","91,000,000","90,800,000","88,600,000","84,400,000","83,000,000","87,900,000","85,900,000","75,100,000","69,900,000","75,600,000","72,700,000","62,800,000","64,300,000","63,200,000","61,500,000"
CostOfRevenue,"2,926,600,000","787,500,000","732,200,000","718,900,000","688,000,000","737,900,000","675,800,000","634,700,000","633,200,000","620,200,000","581,700,000","597,900,000","573,900,000","600,100,000","577,500,000","573,000,000","554,500,000","551,700,000","529,400,000","487,600,000","477,900,000","488,000,000","475,100,000","469,400,000","470,000,000","476,200,000","476,000,000","474,000,000","456,800,000","475,900,000","474,300,000","451,900,000","442,600,000","450,900,000","439,600,000","436,600,000","429,200,000","451,300,000","397,700,000","393,400,000","388,100,000","414,600,000","391,100,000","374,900,000","354,200,000","364,433,000","367,962,000","350,002,000","349,058,000","385,583,000","361,272,000","341,568,000","331,509,000","390,862,000","379,578,000","351,479,000","328,761,000","357,773,000","351,031,000","329,779,000","314,459,000","321,716,000","315,618,000","273,791,000","273,399,000","290,942,000","275,213,000","272,914,000","260,437,000","248,415,000","259,721,000","221,109,000","199,429,000","202,705,000","185,024,000","176,690,000","174,464,000","187,265,000","182,586,000","182,525,000","183,552,000","191,162,000","166,524,000","160,096,000","162,429,000","116,452,000","104,728,000","104,129,000","101,558,000","98,300,000","96,200,000","97,500,000","93,100,000","86,600,000","97,000,000","94,700,000","83,700,000","87,900,000","79,700,000","77,600,000","71,300,000","77,800,000","74,800,000","73,400,000","66,400,000","71,300,000","67,800,000","72,100,000","65,500,000","75,900,000","69,500,000","69,800,000","61,100,000","60,000,000","65,700,000","69,100,000","64,100,000","71,300,000","68,900,000","67,600,000","59,200,000","74,400,000","67,900,000","66,600,000","63,700,000","68,600,000","62,100,000","61,900,000","60,700,000","62,800,000","63,500,000",,,,,,,,,,,,,,,,
GrossProfit,"2,263,500,000","581,200,000","579,200,000","552,200,000","550,900,000","557,400,000","565,200,000","559,600,000","532,000,000","524,000,000","507,700,000","481,500,000","470,800,000","474,300,000","460,100,000","454,900,000","451,500,000","481,400,000","438,500,000","410,400,000","399,300,000","408,000,000","395,600,000","408,000,000","379,000,000","397,400,000","385,800,000","373,100,000","355,500,000","389,600,000","367,500,000","356,400,000","339,400,000","371,700,000","365,200,000","351,000,000","350,100,000","358,400,000","327,500,000","303,000,000","302,500,000","316,500,000","309,900,000","300,000,000","288,100,000","292,446,000","288,939,000","290,885,000","285,495,000","285,196,000","284,885,000","281,551,000","249,358,000","254,038,000","251,094,000","242,480,000","224,106,000","221,922,000","229,407,000","216,693,000","199,876,000","204,392,000","202,960,000","184,793,000","168,992,000","140,332,000","167,530,000","168,901,000","160,237,000","156,561,000","160,589,000","119,676,000","96,562,000","84,042,000","80,542,000","79,573,000","73,834,000","80,833,000","81,200,000","75,938,000","73,250,000","105,453,000","104,103,000","96,999,000","94,098,000","87,931,000","95,119,000","95,734,000","90,074,000","84,700,000","89,700,000","88,900,000","81,600,000","95,400,000","79,800,000","78,800,000","68,300,000","69,200,000","66,600,000","64,300,000","58,300,000","56,700,000","62,300,000","61,200,000","55,100,000","47,000,000","52,700,000","56,900,000","52,500,000","40,400,000","63,100,000","60,900,000","50,400,000","49,700,000","68,100,000","66,600,000","64,400,000","68,100,000","64,100,000","60,800,000","56,300,000","60,600,000","55,300,000","51,300,000","45,700,000","50,100,000","45,600,000","42,200,000","37,300,000","38,100,000","36,500,000",,,,,,,,,,,,,,,,
OperatingExpense,"1,184,400,000","404,800,000","277,800,000","253,500,000","248,300,000","366,800,000","291,400,000","308,900,000","217,400,000","328,800,000","290,900,000","294,100,000","230,000,000","280,900,000","255,900,000","281,100,000","231,200,000","266,700,000","239,800,000","287,200,000","203,200,000","234,600,000","199,600,000","232,700,000","199,500,000","228,200,000","195,200,000","230,800,000","183,400,000","225,800,000","190,300,000","218,200,000","177,400,000","227,100,000","197,400,000","210,500,000","180,800,000","223,800,000","182,100,000","180,600,000","159,800,000","199,100,000","183,600,000","182,200,000","157,000,000","212,392,000","175,984,000","170,895,000","153,541,000","193,867,000","166,984,000","182,549,000","144,698,000","173,899,000","165,546,000","160,597,000","131,344,000","164,376,000","140,792,000","140,143,000","117,733,000","160,155,000","134,071,000","118,137,000","96,672,000","108,427,000","113,641,000","109,071,000","93,085,000","118,097,000","107,188,000","78,248,000","58,102,000","54,895,000","51,668,000","54,524,000","45,053,000","55,988,000","53,051,000","51,645,000","46,023,000","81,224,000","78,268,000","74,494,000","73,146,000","72,081,000","74,902,000","76,393,000","71,410,000","72,700,000","72,200,000","73,900,000","70,100,000","81,900,000","67,800,000","71,000,000","59,800,000","62,700,000","57,400,000","55,700,000","52,100,000","49,700,000","55,300,000","52,700,000","50,400,000","50,500,000","47,300,000","50,200,000","52,700,000","46,500,000","65,700,000","52,500,000","48,600,000","47,600,000","53,500,000","56,900,000","55,100,000","56,000,000","49,500,000","49,600,000","49,500,000","51,100,000","43,000,000","42,800,000","35,700,000","43,400,000","35,200,000","34,700,000","28,000,000","30,900,000","24,700,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,184,400,000","404,800,000","277,800,000","253,500,000","248,300,000","366,800,000","291,400,000","308,900,000","217,400,000","328,800,000","290,900,000","294,100,000","230,000,000","280,900,000","255,900,000","281,100,000","231,200,000","266,700,000","239,800,000","287,200,000","203,200,000","234,600,000","199,600,000","232,700,000","199,500,000","228,200,000","195,200,000","230,800,000","183,400,000","225,800,000","190,300,000","218,200,000","177,400,000","227,100,000","197,400,000","210,500,000","180,800,000","223,800,000","182,100,000","180,600,000","159,800,000","199,100,000","183,600,000","182,200,000","157,000,000","212,392,000","175,984,000","170,895,000","153,541,000","213,867,000","166,984,000","182,549,000","144,698,000","173,899,000","165,546,000","160,597,000","131,344,000","164,196,000","140,792,000","140,143,000","117,733,000","160,155,000","134,071,000","118,137,000","96,672,000","108,427,000","113,641,000","109,071,000","93,085,000","118,097,000","107,188,000","78,248,000","58,102,000","54,895,000","51,668,000","54,524,000","45,053,000","55,988,000","53,051,000","51,645,000","46,023,000","81,884,000","78,268,000","74,494,000","73,146,000","65,091,000","69,927,000","70,501,000","65,813,000","67,700,000","67,400,000","68,900,000","65,600,000","77,900,000","63,600,000","66,800,000","55,700,000","58,900,000","53,900,000","52,200,000","48,700,000","46,400,000","51,900,000","49,200,000","47,000,000","47,300,000","43,800,000","47,000,000","49,500,000","43,700,000","62,700,000","49,400,000","45,500,000","46,800,000","47,000,000","53,600,000","51,900,000","53,500,000","46,500,000","46,600,000","46,500,000","48,400,000","40,200,000","39,900,000","33,000,000","40,700,000","32,600,000","32,000,000","25,500,000","28,300,000","22,200,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"606,700,000","203,700,000","116,900,000","136,500,000","149,600,000","165,200,000","120,500,000","186,600,000","121,000,000","166,200,000","165,700,000","165,000,000","131,900,000","154,500,000","135,400,000","144,700,000","131,300,000","146,100,000","127,900,000","156,300,000","112,400,000","118,300,000","101,400,000","112,500,000","107,000,000","108,100,000","102,400,000","115,000,000","94,600,000","106,700,000","93,700,000","104,800,000","89,600,000","109,600,000","97,700,000","106,800,000","101,900,000","115,100,000","89,900,000","92,200,000","91,800,000","93,500,000","91,800,000","94,700,000","87,800,000","116,354,000","85,769,000","88,109,000","84,602,000","120,581,000","66,759,000","88,845,000","78,325,000",,,,"77,859,000",,,,,,,,,,,,,,,,,,,,,"31,530,000","30,299,000","29,492,000","29,191,000","30,625,000","26,018,000","28,176,000","27,013,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"606,700,000","203,700,000","116,900,000","136,500,000","149,600,000","165,200,000","120,500,000","186,600,000","121,000,000","166,200,000","165,700,000","165,000,000","131,900,000","154,500,000","135,400,000","144,700,000","131,300,000","146,100,000","127,900,000","156,300,000","112,400,000","118,300,000","101,400,000","112,500,000","107,000,000","108,100,000","102,400,000","115,000,000","94,600,000","106,700,000","93,700,000","104,800,000","89,600,000","109,600,000","97,700,000","106,800,000","101,900,000","115,100,000","89,900,000","92,200,000","91,800,000","93,500,000","91,800,000","94,700,000","87,800,000","116,354,000","85,769,000","88,109,000","84,602,000","120,581,000","66,759,000","88,845,000","78,325,000",,,,"77,859,000",,,,,,,,,,,,,,,,,,,,,"31,530,000","30,299,000","29,492,000","29,191,000","30,625,000","26,018,000","28,176,000","27,013,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"577,700,000","201,100,000","160,900,000","117,000,000","98,700,000","201,600,000","170,900,000","122,300,000","96,400,000","162,600,000","125,200,000","129,100,000","98,100,000","126,400,000","120,500,000","136,400,000","99,900,000","120,600,000","111,900,000","130,900,000","90,800,000","116,300,000","98,200,000","120,200,000","92,500,000","120,100,000","92,800,000","115,800,000","88,800,000","119,100,000","96,600,000","113,400,000","87,800,000","117,500,000","99,700,000","103,700,000","78,900,000","108,700,000","92,200,000","88,400,000","68,000,000","105,600,000","91,800,000","87,500,000","69,200,000","96,038,000","90,215,000","82,786,000","68,939,000","93,286,000","100,225,000","93,704,000","66,373,000",,,,"53,485,000",,,,,,,,,,,,,,,,,,,,,"24,458,000","22,752,000","22,153,000","16,832,000","51,259,000","52,250,000","46,318,000","46,133,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,990,000","4,975,000","5,892,000","5,597,000","5,000,000","4,800,000","5,000,000","4,500,000","4,000,000","4,200,000","4,200,000","4,100,000","3,800,000","3,500,000","3,500,000","3,400,000","3,300,000","3,400,000","3,500,000","3,400,000","3,200,000","3,500,000","3,200,000","3,200,000","2,800,000","3,000,000","3,100,000","3,100,000","800,000","6,500,000","3,300,000","3,200,000","2,500,000","3,000,000","3,000,000","3,000,000","2,700,000","2,800,000","2,900,000","2,700,000","2,700,000","2,600,000","2,700,000","2,500,000","2,600,000","2,500,000",,,,,,,,,,,,,,,,
