name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"51,682,000,000","13,212,000,000","13,146,000,000","12,802,000,000","12,522,000,000","12,624,000,000","12,039,000,000","11,696,000,000","11,738,000,000","11,761,000,000","11,450,000,000","11,347,000,000","11,206,000,000","11,231,000,000","10,892,000,000","10,854,000,000","10,657,000,000","10,602,000,000","10,458,000,000","10,357,000,000","10,164,000,000","10,275,000,000","10,037,000,000","6,161,000,000","2,530,000,000","2,512,000,000","2,450,000,000","2,430,000,000","2,362,000,000","2,360,000,000","2,287,000,000","2,259,000,000","2,202,000,000","2,148,000,000","2,118,000,000","1,972,000,000","1,917,000,000","1,913,000,000","1,880,000,000","1,884,000,000","1,827,000,000","1,834,000,000","1,809,000,000","1,791,000,000","1,770,000,000","1,784,000,000","1,769,000,000","1,771,000,000","1,735,000,000","1,693,000,000","1,690,000,000","1,662,000,000","1,656,000,000","1,636,000,000","1,623,000,000","1,564,000,000","1,553,000,000","1,525,000,000","1,499,000,000","1,425,000,000","1,413,000,000","1,388,000,000","1,383,000,000","1,374,000,000","1,342,000,000","1,318,000,000","1,323,000,000","1,271,000,000","1,276,000,000","1,248,000,000","1,239,000,000","1,214,000,000","1,217,000,000","1,207,000,000","1,217,000,000","1,178,000,000","1,150,742,000","1,178,511,000","1,158,413,000","1,078,334,000","1,107,016,000","1,043,844,000","928,475,000","873,797,000","893,877,000","838,961,000","794,780,000","721,604,000","583,062,000","376,189,000","308,037,000","160,956,000"
	OperatingRevenue,"50,837,000,000","13,003,000,000","12,918,000,000","12,601,000,000","12,315,000,000","12,402,000,000","11,825,000,000","11,500,000,000","11,527,000,000","12,393,000,000","11,235,000,000","11,151,000,000","11,206,000,000","11,904,000,000","10,664,000,000","10,854,000,000","10,657,000,000","10,602,000,000","10,458,000,000","10,357,000,000","10,164,000,000","10,275,000,000","10,037,000,000","6,161,000,000","2,530,000,000","2,512,000,000","2,450,000,000","2,430,000,000","2,362,000,000","2,360,000,000","2,287,000,000","2,259,000,000","2,202,000,000","2,148,000,000","2,118,000,000","1,972,000,000","1,917,000,000","1,913,000,000","1,880,000,000","1,884,000,000","1,827,000,000","1,834,000,000","1,809,000,000","1,791,000,000","1,770,000,000","1,784,000,000","1,769,000,000","1,771,000,000","1,735,000,000","1,693,000,000","1,690,000,000","1,662,000,000","1,656,000,000","1,636,000,000","1,623,000,000","1,564,000,000","1,553,000,000","1,525,000,000","1,499,000,000","1,425,000,000","1,413,000,000","1,388,000,000","1,383,000,000","1,374,000,000","1,342,000,000","1,318,000,000","1,323,000,000","1,271,000,000","1,276,000,000","1,248,000,000","1,239,000,000","1,214,000,000","1,217,000,000","1,207,000,000","1,217,000,000","1,178,000,000","1,150,742,000","1,178,511,000","1,158,413,000","1,078,334,000","1,107,016,000","1,043,844,000","928,475,000","873,797,000","893,877,000","838,961,000","794,780,000","721,604,000","583,062,000","376,189,000","308,037,000","160,956,000"
CostOfRevenue,"28,411,000,000","7,140,000,000","7,170,000,000","7,141,000,000","6,960,000,000","6,960,000,000","6,695,000,000","6,578,000,000","6,666,000,000","6,561,000,000","6,642,000,000","6,476,000,000","6,501,000,000","6,407,000,000","6,222,000,000","6,104,000,000","6,085,000,000","6,076,000,000","6,074,000,000","5,974,000,000","5,997,000,000","5,933,000,000","5,891,000,000","3,627,000,000","1,509,000,000","1,414,000,000","1,482,000,000","1,466,000,000","1,445,000,000","1,404,000,000","1,382,000,000","1,344,000,000","1,314,000,000","916,000,000","1,397,000,000","1,179,000,000","1,150,000,000","1,935,000,000","858,000,000","831,000,000","814,000,000","794,000,000","792,000,000","784,000,000","768,000,000","747,000,000","788,000,000","766,000,000","751,000,000","736,000,000","715,000,000","713,000,000","703,000,000","710,000,000","698,000,000","681,000,000","663,000,000","679,000,000","647,000,000","631,000,000","608,000,000","615,000,000","611,000,000","626,000,000","579,000,000","586,000,000","569,000,000","559,000,000","528,000,000","525,000,000","515,000,000","512,000,000","495,000,000","484,000,000","488,000,000","485,000,000","491,503,000","453,448,000","345,787,000","329,462,000","590,180,000","561,288,000","486,428,000","472,147,000",,,,,,,,
GrossProfit,"23,271,000,000","6,072,000,000","5,976,000,000","5,661,000,000","5,562,000,000","5,664,000,000","5,344,000,000","5,118,000,000","5,072,000,000","5,200,000,000","4,808,000,000","4,871,000,000","4,705,000,000","4,824,000,000","4,670,000,000","4,750,000,000","4,572,000,000","4,526,000,000","4,384,000,000","4,383,000,000","4,167,000,000","4,342,000,000","4,146,000,000","2,534,000,000","1,021,000,000","1,098,000,000","968,000,000","964,000,000","917,000,000","956,000,000","905,000,000","915,000,000","888,000,000","1,232,000,000","721,000,000","793,000,000","767,000,000","-22,000,000","1,022,000,000","1,053,000,000","1,013,000,000","1,040,000,000","1,017,000,000","1,007,000,000","1,002,000,000","1,037,000,000","981,000,000","1,005,000,000","984,000,000","957,000,000","975,000,000","949,000,000","953,000,000","926,000,000","925,000,000","883,000,000","890,000,000","846,000,000","852,000,000","794,000,000","805,000,000","773,000,000","772,000,000","748,000,000","763,000,000","732,000,000","754,000,000","712,000,000","748,000,000","723,000,000","724,000,000","702,000,000","722,000,000","723,000,000","729,000,000","693,000,000","659,239,000","725,063,000","812,626,000","748,872,000","516,836,000","482,556,000","442,047,000","401,650,000",,,,,,,,
OperatingExpense,"12,416,000,000","3,071,000,000","3,058,000,000","3,095,000,000","3,192,000,000","3,167,000,000","3,158,000,000","3,147,000,000","3,263,000,000","3,209,000,000","3,208,000,000","3,268,000,000","3,285,000,000","3,266,000,000","3,272,000,000","3,361,000,000","3,461,000,000","3,350,000,000","3,330,000,000","3,196,000,000","3,132,000,000","2,694,000,000","3,015,000,000","1,293,000,000","701,000,000","755,000,000","676,000,000","663,000,000","650,000,000","659,000,000","671,000,000","663,000,000","638,000,000","979,000,000","493,000,000","552,000,000","533,000,000","-243,000,000","811,000,000","784,000,000","783,000,000","782,000,000","779,000,000","736,000,000","733,000,000","733,000,000","741,000,000","751,000,000","733,000,000","694,000,000","674,000,000","615,000,000","633,000,000","718,000,000","695,000,000","678,000,000","805,000,000","739,000,000","652,000,000","638,000,000","642,000,000","707,000,000","626,000,000","741,000,000","644,000,000","669,000,000","644,000,000","661,000,000","640,000,000","3,067,000,000","709,000,000","527,000,000","512,000,000","606,000,000","617,000,000","607,000,000","4,895,512,000","742,590,000","804,418,000","787,280,000","850,126,000","733,369,000","739,795,000","715,654,000","409,627,000","1,062,243,000","1,020,820,000","933,369,000","626,515,000","407,249,000","339,667,000","189,820,000"
	SellingGeneralAndAdministration,"3,071,000,000","791,000,000","788,000,000","741,000,000","751,000,000","758,000,000","788,000,000","719,000,000","766,000,000","748,000,000","793,000,000","768,000,000","735,000,000","732,000,000","790,000,000","769,000,000","751,000,000","608,000,000","629,000,000","601,000,000","582,000,000","199,000,000","578,000,000","-143,000,000","162,000,000","210,000,000","138,000,000","135,000,000","136,000,000","125,000,000","136,000,000","135,000,000","133,000,000","138,000,000",,"116,000,000","108,000,000","-707,000,000","384,000,000","373,000,000","372,000,000","364,000,000","374,000,000","343,000,000","345,000,000","362,000,000","356,000,000","364,000,000","352,000,000","357,000,000","343,000,000","344,000,000","342,000,000","371,000,000","342,000,000","357,000,000","328,000,000","341,000,000","318,000,000","307,000,000","305,000,000","309,000,000","279,000,000","284,000,000","275,000,000","272,000,000","260,000,000","237,000,000","233,000,000","260,000,000","256,000,000","239,000,000","237,000,000","236,000,000","232,000,000","235,000,000","313,309,000","228,930,000","312,250,000","300,311,000","14,714,000","-42,069,000","18,843,000","19,759,000","-285,562,000","434,137,000","417,133,000","387,269,000","322,591,000","215,810,000","179,793,000","99,742,000"
		GeneralAndAdministrativeExpense,,"98,000,000",,,,"88,000,000","83,000,000",,,"77,000,000",,,"85,000,000","72,000,000",,,"72,000,000","63,000,000",,"65,000,000",,"-366,000,000","-13,000,000","-520,000,000",,"20,000,000",,,,"14,000,000","14,000,000",,"12,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"302,315,000","206,552,000","290,815,000","281,118,000",,,,,,"434,137,000","417,133,000","387,269,000","322,591,000","215,810,000","179,793,000","99,742,000"
			SalariesAndWages,,"98,000,000",,,,"88,000,000","83,000,000",,,"77,000,000",,,"85,000,000","72,000,000",,,"72,000,000","63,000,000",,"65,000,000",,"-366,000,000","-13,000,000","-520,000,000",,"20,000,000",,,,"14,000,000","14,000,000",,"12,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,116,000","10,589,000","15,500,000","20,691,000","21,094,000","21,543,000","16,651,000"
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"302,315,000","206,552,000","290,815,000","281,118,000",,,,,,"426,021,000","406,544,000","371,769,000","301,900,000","194,716,000","158,250,000","83,091,000"
		SellingAndMarketingExpense,"3,071,000,000","791,000,000","788,000,000","741,000,000","751,000,000","758,000,000","788,000,000","719,000,000","766,000,000","748,000,000","793,000,000","768,000,000","735,000,000","732,000,000","790,000,000","769,000,000","751,000,000","608,000,000","629,000,000","601,000,000","582,000,000","565,000,000","591,000,000","377,000,000","162,000,000","210,000,000","138,000,000","135,000,000","136,000,000","125,000,000","136,000,000","135,000,000","133,000,000","127,000,000",,"116,000,000","108,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,994,000","22,378,000","21,435,000","19,193,000",,,,,,,,,,,,
