name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"9,630,000,000","3,323,000,000","1,785,000,000","2,295,000,000","2,227,000,000","2,694,000,000","2,227,000,000","2,714,000,000","-99,000,000","2,152,000,000","1,700,000,000","1,913,000,000","2,159,000,000","710,000,000","1,915,000,000","1,558,000,000","1,224,000,000","1,411,000,000","1,412,000,000","1,386,000,000","1,523,000,000","1,312,000,000","1,402,000,000","1,371,000,000","1,364,000,000","1,263,000,000","1,278,000,000","1,316,000,000","1,285,000,000","1,262,000,000","1,280,000,000","1,214,000,000","1,189,000,000","1,172,000,000","1,152,000,000","1,104,000,000","1,103,000,000","1,070,000,000","1,035,000,000","1,020,000,000","986,000,000","955,000,000","944,000,000","975,000,000","929,000,000","936,000,000","1,071,000,000","878,000,000","887,000,000","1,133,000,000","1,007,000,000","874,000,000","890,000,000","1,018,000,000","1,186,000,000","917,000,000","704,000,000","976,000,000","982,000,000","1,270,000,000","1,031,000,000","994,000,000","967,000,000","981,000,000","1,607,000,000","966,000,000","944,000,000","940,000,000","916,000,000","942,000,000","879,000,000","923,000,000","870,000,000","839,000,000","836,000,000","798,000,000","707,000,000","722,000,000","731,000,000","703,000,000","687,000,000","653,858,000","643,870,000","645,389,000","617,882,000","581,127,000","599,790,000","578,807,000","571,270,000","511,923,000","538,300,000","541,300,000","536,700,000","508,389,000","514,800,000","518,600,000","512,600,000","482,384,000","492,000,000","484,200,000","483,700,000","459,249,000","455,700,000","442,000,000","451,800,000","419,251,000","416,700,000","405,000,000","414,700,000","372,306,000","381,700,000","378,800,000","379,700,000","359,900,000","357,500,000","371,200,000","353,700,000","329,100,000","330,400,000","317,300,000","327,500,000","289,500,000","296,500,000","295,600,000","279,500,000","266,500,000","264,100,000","258,100,000","260,200,000","245,400,000","248,000,000","238,100,000","240,500,000","231,700,000","228,000,000","228,800,000","227,500,000","227,300,000","220,000,000","225,500,000","210,400,000","205,000,000","203,000,000","189,100,000","178,700,000","165,200,000","158,600,000"
	OperatingRevenue,"9,630,000,000","3,323,000,000","1,785,000,000","2,295,000,000","2,227,000,000","2,694,000,000","2,227,000,000","2,714,000,000","-99,000,000","2,152,000,000","1,700,000,000","1,913,000,000","2,159,000,000","710,000,000","1,915,000,000","1,558,000,000","1,224,000,000","1,411,000,000","1,412,000,000","1,386,000,000","1,523,000,000","1,312,000,000","1,402,000,000","1,371,000,000","1,364,000,000","1,263,000,000","1,278,000,000","1,316,000,000","1,285,000,000","1,262,000,000","1,280,000,000","1,214,000,000","1,189,000,000","1,172,000,000","1,152,000,000","1,104,000,000","1,103,000,000","1,070,000,000","1,035,000,000","1,020,000,000","986,000,000","955,000,000","944,000,000","975,000,000","929,000,000","936,000,000","1,071,000,000","878,000,000","887,000,000","1,133,000,000","1,007,000,000","874,000,000","890,000,000","1,018,000,000","1,186,000,000","917,000,000","704,000,000","976,000,000","982,000,000","1,270,000,000","1,031,000,000","994,000,000","967,000,000","981,000,000","1,607,000,000","966,000,000","944,000,000","940,000,000","916,000,000","942,000,000","879,000,000","923,000,000","870,000,000","839,000,000","836,000,000","798,000,000","707,000,000","722,000,000","731,000,000","703,000,000","687,000,000","653,858,000","643,870,000","645,389,000","617,882,000","581,127,000","599,790,000","578,807,000","571,270,000","511,923,000","538,300,000","541,300,000","536,700,000","508,389,000","514,800,000","518,600,000","512,600,000","482,384,000","492,000,000","484,200,000","483,700,000","459,249,000","455,700,000","442,000,000","451,800,000","419,251,000","416,700,000","405,000,000","414,700,000","372,306,000","381,700,000","378,800,000","379,700,000","359,900,000","357,500,000","371,200,000","353,700,000","329,100,000","330,400,000","317,300,000","327,500,000","289,500,000","296,500,000","295,600,000","279,500,000","266,500,000","264,100,000","258,100,000","260,200,000","245,400,000","248,000,000","238,100,000","240,500,000","231,700,000","228,000,000","228,800,000","227,500,000","227,300,000","220,000,000","225,500,000","210,400,000","205,000,000","203,000,000","189,100,000","178,700,000","165,200,000","158,600,000"
NetNonOperatingInterestIncomeExpense,"-53,000,000","-14,000,000","-13,000,000","-13,000,000","-13,000,000","-14,000,000","-13,000,000","-14,000,000","-13,000,000","-13,000,000","-14,000,000","-13,000,000","-13,000,000","-13,000,000","-14,000,000","-13,000,000","-13,000,000","-14,000,000","-13,000,000","-13,000,000","-13,000,000","-14,000,000","-13,000,000","-13,000,000","-13,000,000","-13,000,000","-14,000,000","-13,000,000","-13,000,000","-13,000,000","-13,000,000","-13,000,000","-14,000,000","-14,000,000","-13,000,000","-14,000,000","-13,000,000","-13,000,000","-14,000,000","-13,000,000","-14,000,000","-14,000,000","-13,000,000","-14,000,000","-13,000,000","-14,000,000","-13,000,000","-13,000,000","-14,000,000","-13,000,000","-14,000,000","-14,000,000","-14,000,000","-14,000,000","-14,000,000","-13,000,000","-12,000,000","-13,000,000","-13,000,000","-13,000,000","-13,000,000","-14,000,000","-13,000,000","-13,000,000","-13,000,000","-12,000,000","-13,000,000","-13,000,000","-13,000,000","-11,000,000","-11,000,000","-9,000,000","-8,000,000","-9,000,000","-8,000,000","-8,000,000","-8,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000","-8,838,000","-10,028,000","-9,929,000","-10,206,000","-7,593,000","-8,093,000","-9,979,000","-9,162,000","-9,643,000","-8,000,000","-7,600,000","-7,800,000","-8,412,000","-8,100,000","-6,100,000","-5,300,000","-5,521,000","-5,500,000","-4,700,000","-5,000,000","-6,202,000","-4,800,000","-4,600,000","-4,600,000","-4,431,000","-4,800,000","-4,300,000","-3,700,000","-2,861,000","-2,800,000","-2,300,000","-1,900,000","-1,900,000","-1,800,000",,"-1,600,000","-1,600,000","-1,900,000","-1,700,000","-1,400,000","-1,600,000","-1,800,000","-1,600,000","-1,600,000","-1,600,000","-1,400,000","-1,800,000","-1,500,000","-1,900,000","-1,500,000","-1,600,000",,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"53,000,000","14,000,000","13,000,000","13,000,000","13,000,000","14,000,000","13,000,000","14,000,000","13,000,000","13,000,000","14,000,000","13,000,000","13,000,000","13,000,000","14,000,000","13,000,000","13,000,000","14,000,000","13,000,000","13,000,000","13,000,000","14,000,000","13,000,000","13,000,000","13,000,000","13,000,000","14,000,000","13,000,000","13,000,000","13,000,000","13,000,000","13,000,000","14,000,000","14,000,000","13,000,000","14,000,000","13,000,000","13,000,000","14,000,000","13,000,000","14,000,000","14,000,000","13,000,000","14,000,000","13,000,000","14,000,000","13,000,000","13,000,000","14,000,000","13,000,000","14,000,000","14,000,000","14,000,000","14,000,000","14,000,000","13,000,000","12,000,000","13,000,000","13,000,000","13,000,000","13,000,000","14,000,000","13,000,000","13,000,000","13,000,000","12,000,000","13,000,000","13,000,000","13,000,000","11,000,000","11,000,000","9,000,000","8,000,000","9,000,000","8,000,000","8,000,000","8,000,000","9,000,000","9,000,000","9,000,000","9,000,000","8,838,000","10,028,000","9,929,000","10,206,000","7,593,000","8,093,000","9,979,000","9,162,000","9,643,000","8,000,000","7,600,000","7,800,000","8,412,000","8,100,000","6,100,000","5,300,000","5,521,000","5,500,000","4,700,000","5,000,000","6,202,000","4,800,000","4,600,000","4,600,000","4,431,000","4,800,000","4,300,000","3,700,000","2,861,000","2,800,000","2,300,000","1,900,000","1,900,000","1,800,000",,"1,600,000","1,600,000","1,900,000","1,700,000","1,400,000","1,600,000","1,800,000","1,600,000","1,600,000","1,600,000","1,400,000","1,800,000","1,500,000","1,900,000","1,500,000","1,600,000",,,,,,,,,,,,,,,
OtherIncomeExpense,"10,000,000","2,000,000","3,000,000","3,000,000","2,000,000","2,000,000","3,000,000","3,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","1,000,000","2,000,000","1,000,000","1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","0","2,000,000","2,000,000","1,000,000","2,000,000","1,000,000","2,000,000","2,000,000","1,000,000","3,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","2,000,000","2,000,000","3,000,000","2,000,000","3,000,000","0","4,000,000","3,000,000","3,000,000","3,000,000","4,000,000","3,000,000","3,000,000","2,000,000","3,000,000","4,000,000","4,000,000","4,000,000","3,000,000","5,000,000","6,000,000","4,000,000","4,000,000","5,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","2,000,000","4,000,000","3,000,000","3,000,000","1,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","2,000,000","7,000,000","3,867,000","3,031,000","845,000","5,256,000","4,249,000","2,255,000","2,479,000","2,374,000","-327,836,000","101,400,000","113,600,000","122,900,000","-342,048,000","112,200,000","120,200,000","118,100,000","-322,121,000","110,600,000","108,800,000","110,700,000","-281,101,000","97,500,000","89,600,000","104,600,000","-251,971,000","86,800,000","81,100,000","94,800,000","-223,933,000","75,300,000","74,500,000","85,400,000","66,100,000","68,600,000","86,000,000","80,800,000","61,300,000","60,100,000","69,300,000","74,700,000","44,700,000","55,900,000","61,200,000","51,600,000","41,800,000","43,300,000","45,900,000","46,900,000","37,000,000","40,100,000","40,200,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-17,000,000","-16,000,000","-16,000,000","-15,000,000","-21,000,000","-18,000,000","-18,000,000","-19,000,000","-20,000,000","-19,000,000","-19,000,000","-14,000,000","-24,000,000",,,,,"-20,000,000","-16,000,000","-20,000,000","-19,000,000","-19,000,000","-19,000,000","-12,000,000","-18,000,000","-29,000,000","-19,000,000","-17,000,000","-15,000,000","-27,660,000","-14,813,000","-11,898,000","-17,627,000","-52,630,000","-14,851,000","-14,092,000","-13,221,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,000,000","16,000,000","16,000,000","15,000,000","21,000,000","18,000,000","18,000,000","19,000,000","20,000,000","19,000,000","19,000,000","14,000,000","24,000,000",,,,,"20,000,000","16,000,000","20,000,000","19,000,000","19,000,000","19,000,000","12,000,000","18,000,000","29,000,000","19,000,000","17,000,000","15,000,000","27,660,000","14,813,000","11,898,000","17,627,000","13,530,000","14,851,000","14,092,000","13,221,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"3,670,000,000","1,846,000,000","184,000,000","872,000,000","768,000,000","1,316,000,000","614,000,000","1,145,000,000","-1,576,000,000","781,000,000","294,000,000","530,000,000","867,000,000","-581,000,000","618,000,000","264,000,000","-50,000,000","197,000,000","129,000,000","128,000,000","276,000,000","128,000,000","253,000,000","166,000,000","265,000,000","216,000,000","243,000,000","248,000,000","174,000,000","236,000,000","259,000,000","107,000,000","119,000,000","167,000,000","182,000,000","148,000,000","217,000,000","273,000,000","152,000,000","29,000,000","112,000,000","186,000,000","11,000,000","-97,000,000","76,000,000","174,000,000","221,000,000","21,000,000","85,000,000","355,000,000","244,000,000","-50,000,000","34,000,000","220,000,000","356,000,000","64,000,000","-100,000,000","253,000,000","160,000,000","508,000,000","271,000,000","172,000,000","148,000,000","175,000,000","834,000,000","261,000,000","151,000,000","215,000,000","195,000,000","271,000,000","113,000,000","214,000,000","201,000,000","170,000,000","137,000,000","107,000,000","65,000,000","64,000,000","90,000,000","31,000,000","93,000,000","38,643,000","34,301,000","51,164,000","96,892,000","-82,773,000","-8,731,000","96,640,000","103,528,000","321,573,000","0","0","0","307,107,000","0","0","0","394,559,000","0","0","0","282,421,000","0","0","0","295,188,000","0","0","0","249,328,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
TaxProvision,"724,000,000","376,000,000","31,000,000","169,000,000","148,000,000","267,000,000","130,000,000","236,000,000","-350,000,000","155,000,000","46,000,000","102,000,000","172,000,000","-129,000,000","65,000,000","47,000,000","-19,000,000","-445,000,000","27,000,000","28,000,000","75,000,000","28,000,000","73,000,000","43,000,000","77,000,000","60,000,000","69,000,000","72,000,000","46,000,000","69,000,000","76,000,000","23,000,000","28,000,000","45,000,000","51,000,000","38,000,000","63,000,000","81,000,000","41,000,000","-3,000,000","26,000,000","52,000,000","-8,000,000","-48,000,000","14,000,000","48,000,000","65,000,000","-6,000,000","17,000,000","110,000,000","73,000,000","-31,000,000","-1,000,000","59,000,000","109,000,000","1,000,000","-58,000,000","67,000,000","36,000,000","157,000,000","77,000,000","42,000,000","33,000,000","43,000,000","282,000,000","78,000,000","34,000,000","57,000,000","51,000,000","79,000,000","23,000,000","59,000,000","55,000,000","41,000,000","33,000,000","23,000,000","8,000,000","8,000,000","18,000,000","-4,000,000","18,000,000","2,964,000","-1,440,000","2,197,000","24,279,000","-41,504,000","-14,308,000","21,946,000","24,165,000","7,151,000","12,000,000","30,100,000","17,600,000","8,240,000","11,100,000","14,100,000","32,200,000","21,484,000","25,000,000","24,500,000","24,200,000","17,361,000","11,700,000","12,600,000","17,000,000","-121,238,000","18,400,000","14,500,000","20,600,000","-85,698,000","9,300,000","16,900,000","11,400,000","10,900,000","19,200,000","18,200,000","16,400,000","5,500,000","5,600,000","13,300,000","13,400,000","2,700,000","6,600,000","11,700,000","9,900,000","4,900,000","2,000,000","6,900,000","7,000,000","3,300,000","500,000","5,400,000",,,,,,,,,,,,,,,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,000,000","116,300,000","82,100,000",,"64,000,000","72,900,000","116,400,000",,"102,000,000","100,300,000","98,200,000",,"58,600,000","67,000,000","76,400,000",,"77,000,000","69,600,000","83,800,000",,"56,900,000","76,000,000","59,900,000","58,000,000","55,000,000","80,300,000","73,600,000","41,000,000","39,900,000","63,500,000","64,700,000","32,600,000","36,600,000","55,700,000","52,300,000","36,200,000","29,700,000","41,600,000","42,300,000","30,700,000","19,100,000","34,800,000",,,,,,,,,,,,,,,
