name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"174,272,000,000","45,768,000,000","44,332,000,000","43,190,000,000","40,981,000,000","41,865,000,000","40,979,000,000","39,297,000,000","38,436,000,000","38,338,000,000","38,607,000,000","38,842,000,000","37,956,000,000","14,255,000,000","11,457,000,000","11,477,000,000","11,380,000,000","10,531,000,000","10,382,000,000","10,318,000,000","10,385,000,000","9,944,000,000","9,880,000,000","9,960,000,000","9,884,000,000","9,528,000,000","9,389,000,000","9,492,000,000","9,467,000,000","8,928,000,000","8,757,000,000","8,733,000,000","8,496,000,000","8,151,000,000","8,066,000,000","7,980,000,000","8,183,000,000","7,516,000,000","7,358,000,000","7,457,000,000","6,788,000,000","5,463,000,000","5,613,000,000","5,509,000,000","5,413,000,000","5,429,000,000","5,266,000,000","5,353,000,000","5,205,000,000","4,636,000,000","4,517,000,000","4,488,000,000","4,773,000,000","4,817,000,000","4,852,000,000","4,863,000,000","4,569,000,000","4,455,000,000","4,413,000,000","4,381,000,000","4,374,000,000","4,205,000,000","4,137,000,000","4,098,000,000","4,107,000,000","4,210,000,000","4,022,000,000","4,107,000,000","4,345,000,000","4,342,000,000","4,479,000,000","4,633,000,000","4,722,000,000","4,501,000,000","4,773,000,000","4,634,000,000","4,900,000,000","4,332,000,000","5,218,000,000","4,971,000,000","4,827,000,000","4,942,000,000","4,778,000,000","4,663,000,000","4,732,000,000","5,106,000,000","5,026,000,000","4,971,000,000","4,891,000,000","7,689,000,000","3,781,000,000","3,724,000,000","4,263,000,000","9,328,000,000","4,093,000,000","4,115,000,000","3,901,000,000","9,243,000,000","3,925,000,000","3,482,000,000","3,388,000,000","8,617,000,000","3,444,000,000","3,499,000,000","3,390,000,000","8,615,000,000","3,408,000,000","3,514,000,000","3,418,000,000","8,085,000,000","3,497,000,000","3,444,000,000","3,366,000,000","3,660,000,000","3,298,000,000","3,493,000,000","3,261,000,000","3,657,000,000","3,363,000,000","3,453,000,000","3,451,000,000","3,679,000,000","3,412,000,000","3,596,000,000","3,608,000,000","3,759,000,000","3,645,000,000","3,726,000,000","2,856,000,000","3,024,400,000","2,937,400,000",,,,,,,,,,,,,,,,
	OperatingRevenue,"174,272,000,000","45,768,000,000","44,332,000,000","43,190,000,000","40,981,000,000","41,865,000,000","40,979,000,000","39,297,000,000","38,436,000,000","38,338,000,000","38,607,000,000","38,842,000,000","37,956,000,000","14,255,000,000","11,457,000,000","11,477,000,000","11,380,000,000","10,531,000,000","10,382,000,000","10,318,000,000","10,385,000,000","9,944,000,000","9,880,000,000","9,960,000,000","9,884,000,000","9,528,000,000","9,389,000,000","9,492,000,000","9,467,000,000","8,928,000,000","8,757,000,000","8,733,000,000","8,496,000,000","8,151,000,000","8,066,000,000","7,980,000,000","8,183,000,000","7,516,000,000","7,358,000,000","7,457,000,000","6,788,000,000","5,463,000,000","5,613,000,000","5,509,000,000","5,413,000,000","5,429,000,000","5,266,000,000","5,353,000,000","5,205,000,000","4,636,000,000","4,517,000,000","4,488,000,000","4,773,000,000","4,817,000,000","4,852,000,000","4,863,000,000","4,569,000,000","4,455,000,000","4,413,000,000","4,381,000,000","4,374,000,000","4,205,000,000","4,137,000,000","4,098,000,000","4,107,000,000","4,210,000,000","4,022,000,000","4,107,000,000","4,345,000,000","4,342,000,000","4,479,000,000","4,633,000,000","4,722,000,000","4,501,000,000","4,773,000,000","4,634,000,000","4,900,000,000","4,332,000,000","5,218,000,000","4,971,000,000","4,827,000,000","4,942,000,000","4,778,000,000","4,663,000,000","4,732,000,000","5,106,000,000","5,026,000,000","4,971,000,000","4,891,000,000","7,689,000,000","3,781,000,000","3,724,000,000","4,263,000,000","9,328,000,000","4,093,000,000","4,115,000,000","3,901,000,000","9,243,000,000","3,925,000,000","3,482,000,000","3,388,000,000","8,617,000,000","3,444,000,000","3,499,000,000","3,390,000,000","8,615,000,000","3,408,000,000","3,514,000,000","3,418,000,000","8,085,000,000","3,497,000,000","3,444,000,000","3,366,000,000","3,660,000,000","3,298,000,000","3,493,000,000","3,261,000,000","3,657,000,000","3,363,000,000","3,453,000,000","3,451,000,000","3,679,000,000","3,412,000,000","3,596,000,000","3,608,000,000","3,759,000,000","3,645,000,000","3,726,000,000","2,856,000,000","3,024,400,000","2,937,400,000",,,,,,,,,,,,,,,,
OperatingIncome,,,,,,,,,,,,,,,,,,,"824,000,000",,,,,,,,,,,,,,,"536,000,000",,,,,,,,,,,,,,,,,"487,000,000",,,,"232,000,000",,,,,"328,000,000",,"349,000,000",,,,"308,000,000",,"437,000,000",,,,,"327,000,000","417,000,000","281,000,000",,,,,"325,000,000",,,,,,"401,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetNonOperatingInterestIncomeExpense,"-1,208,000,000","-293,000,000","-303,000,000","-298,000,000","-314,000,000","-337,000,000","-336,000,000","-374,000,000","-391,000,000","-391,000,000","-411,000,000","-428,000,000","-452,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"-68,000,000","-67,000,000","-66,000,000","-61,000,000","-49,000,000","-92,000,000",,,"-47,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,208,000,000","293,000,000","303,000,000","298,000,000","314,000,000","337,000,000","336,000,000","374,000,000","391,000,000","391,000,000","411,000,000","428,000,000","452,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"68,000,000","67,000,000","66,000,000","61,000,000","49,000,000","92,000,000",,,"47,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"121,413,000,000","32,328,000,000","31,013,000,000","30,047,000,000","28,025,000,000","28,305,000,000","27,802,000,000","26,564,000,000","25,098,000,000","25,645,000,000","25,987,000,000","26,288,000,000","25,179,000,000","3,257,000,000","747,000,000","758,000,000","717,000,000","779,000,000","733,000,000","757,000,000","710,000,000","759,000,000","762,000,000","748,000,000","697,000,000","690,000,000","643,000,000","625,000,000","578,000,000","413,000,000","649,000,000","616,000,000","561,000,000","555,000,000","536,000,000","493,000,000","443,000,000","479,000,000","427,000,000","492,000,000","346,000,000","349,000,000","555,000,000","422,000,000","375,000,000","397,000,000","337,000,000","544,000,000","402,000,000","385,000,000","255,000,000","233,000,000","529,000,000","-114,000,000","740,000,000","661,000,000","718,000,000","656,000,000","669,000,000","624,000,000","666,000,000","634,000,000","704,000,000","729,000,000","839,000,000","666,000,000","641,000,000","699,000,000","983,000,000","852,000,000","864,000,000","1,126,000,000","1,098,000,000","675,000,000","932,000,000","775,000,000","985,000,000","764,000,000","1,184,000,000","836,000,000","827,000,000","917,000,000","989,000,000","909,000,000","933,000,000","933,000,000","916,000,000","915,000,000","902,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-141,000,000","0","0","-10,000,000","-131,000,000","4,203,000,000","0","-14,000,000","-185,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"141,000,000","0",,"10,000,000","131,000,000","-4,203,000,000",,"14,000,000","185,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"6,782,000,000","1,312,000,000","2,059,000,000","1,898,000,000","1,513,000,000","5,378,000,000","1,804,000,000","2,289,000,000","1,397,000,000","1,261,000,000","1,763,000,000","1,758,000,000","1,788,000,000","228,000,000","1,033,000,000","1,102,000,000","1,218,000,000","758,000,000","824,000,000","1,134,000,000","890,000,000","605,000,000","742,000,000","813,000,000","819,000,000","659,000,000","878,000,000","936,000,000","854,000,000","732,000,000","818,000,000","901,000,000","853,000,000","536,000,000","799,000,000","767,000,000","74,000,000","619,000,000","718,000,000","588,000,000","552,000,000","455,000,000","297,000,000","616,000,000","600,000,000","545,000,000","464,000,000","439,000,000","422,000,000","508,000,000","487,000,000","630,000,000","273,000,000","-340,000,000","232,000,000","413,000,000","73,000,000","388,000,000","502,000,000","328,000,000","413,000,000","349,000,000","446,000,000","408,000,000","528,000,000","308,000,000","383,000,000","437,000,000","665,000,000","758,000,000","514,000,000","776,000,000","327,000,000","417,000,000","281,000,000","-77,000,000","282,000,000","59,000,000","-1,284,000,000","325,000,000","331,000,000","281,000,000","411,000,000","385,000,000","420,000,000","401,000,000","430,000,000","246,000,000","420,000,000","1,219,000,000","0","0","0","2,010,000,000","0","0","0","1,650,000,000","0","0","0","1,601,000,000","0","0","0","251,000,000","0","0","0","805,000,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0",,,,,,,,,,,,,,,,
TaxProvision,"1,367,000,000","179,000,000","424,000,000","422,000,000","342,000,000","1,236,000,000","406,000,000","529,000,000","208,000,000","277,000,000","409,000,000","348,000,000","416,000,000","81,000,000","259,000,000","294,000,000","301,000,000","491,000,000","262,000,000","324,000,000","297,000,000","231,000,000","290,000,000","310,000,000","305,000,000","241,000,000","334,000,000","352,000,000","323,000,000","270,000,000","287,000,000","329,000,000","324,000,000","176,000,000","246,000,000","261,000,000","15,000,000","212,000,000","252,000,000","208,000,000","181,000,000","165,000,000","97,000,000","208,000,000","170,000,000","83,000,000","156,000,000","144,000,000","138,000,000","177,000,000","157,000,000","195,000,000","65,000,000","-130,000,000","62,000,000","140,000,000","18,000,000","125,000,000","139,000,000","111,000,000","136,000,000","117,000,000","144,000,000","135,000,000","176,000,000","98,000,000","124,000,000","66,000,000","229,000,000","233,000,000","194,000,000","261,000,000","110,000,000","127,000,000","86,000,000","-24,000,000","94,000,000","11,000,000","-407,000,000","111,000,000","113,000,000","90,000,000","141,000,000","133,000,000","144,000,000","124,000,000","152,000,000","85,000,000","149,000,000","153,000,000","69,000,000","166,000,000","151,000,000","141,000,000","141,000,000","163,000,000","273,000,000","135,000,000","148,000,000","132,000,000","149,000,000","158,000,000","153,000,000","114,000,000","120,000,000","146,000,000","-317,000,000","99,000,000","112,000,000","71,000,000","55,000,000","69,000,000","56,000,000","70,000,000","-167,000,000","34,000,000","-6,000,000","-39,000,000","-196,000,000","36,000,000","41,000,000","35,000,000","23,000,000","73,000,000",,"5,000,000","-33,000,000","54,000,000","8,000,000","64,800,000","1,000,000",,,,,,,,,,,,,,,,
