name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"116,385,000,000","30,336,000,000","30,298,000,000","28,546,000,000","27,205,000,000","27,708,000,000","25,532,000,000","23,715,000,000","26,609,000,000","28,398,000,000","26,827,000,000","26,858,000,000","26,859,000,000","27,846,000,000","22,135,000,000","21,735,000,000","22,791,000,000","21,915,000,000","20,983,000,000","21,165,000,000","20,463,000,000","21,025,000,000","21,319,000,000","19,269,000,000","18,790,000,000","19,245,000,000","18,669,000,000","18,743,000,000","17,853,000,000","17,732,000,000","16,791,000,000","16,844,000,000","17,408,000,000","16,926,000,000","16,151,000,000","16,270,000,000","15,310,000,000","15,937,000,000","16,544,000,000","15,211,000,000","14,878,000,000","15,042,000,000","14,339,000,000","14,333,000,000","12,128,000,000","9,721,000,000","9,489,000,000","9,525,000,000","9,202,000,000","9,181,000,000","8,802,000,000","8,938,000,000","8,835,000,000","8,765,000,000","8,549,000,000","8,553,000,000","8,389,000,000","8,014,000,000","7,781,000,000","7,712,000,000","7,388,000,000","7,031,000,000","6,432,000,000","6,228,000,000","5,901,000,000","5,716,000,000","5,578,000,000","5,598,000,000","5,363,000,000","5,235,000,000","5,098,000,000","5,066,000,000","4,908,000,000","4,742,000,000","4,546,000,000","5,685,000,000","5,518,000,000","4,373,900,000","2,704,700,000","2,708,900,000","2,672,500,000","2,824,100,000","2,355,500,000","2,298,500,000","2,196,100,000","2,407,600,000","1,960,000,000","1,912,100,000","1,859,200,000","1,831,600,000","1,525,100,000","1,478,600,000","1,374,000,000","1,108,900,000","1,354,900,000","1,321,700,000","1,359,800,000","1,393,100,000","1,204,200,000","1,184,500,000","1,130,800,000","1,167,500,000","974,600,000","945,600,000","950,700,000","1,005,500,000","870,200,000","823,600,000","663,600,000","360,200,000","345,800,000","340,600,000","328,700,000","337,600,000","345,900,000","345,900,000","345,900,000","261,200,000","221,200,000","221,300,000","196,500,000","183,900,000","178,900,000","183,500,000","174,700,000","172,200,000","165,800,000","163,700,000","155,300,000","157,500,000","141,100,000","135,000,000","128,700,000","122,400,000","116,100,000","113,200,000","98,200,000","84,200,000","80,000,000","74,200,000","70,900,000","34,000,000","33,400,000","32,500,000","30,900,000","30,600,000","30,000,000"
	OperatingRevenue,"116,385,000,000","30,336,000,000","30,298,000,000","28,546,000,000","27,205,000,000","27,708,000,000","25,532,000,000","23,715,000,000","26,609,000,000","28,398,000,000","26,827,000,000","26,858,000,000","26,859,000,000","27,846,000,000","22,135,000,000","21,735,000,000","22,791,000,000","21,915,000,000","20,983,000,000","21,165,000,000","20,463,000,000","21,025,000,000","21,319,000,000","19,269,000,000","18,790,000,000","19,245,000,000","18,669,000,000","18,743,000,000","17,853,000,000","17,732,000,000","16,791,000,000","16,844,000,000","17,408,000,000","16,926,000,000","16,151,000,000","16,270,000,000","15,310,000,000","15,937,000,000","16,544,000,000","15,211,000,000","14,878,000,000","15,042,000,000","14,339,000,000","14,333,000,000","12,128,000,000","9,721,000,000","9,489,000,000","9,525,000,000","9,202,000,000","9,181,000,000","8,802,000,000","8,938,000,000","8,835,000,000","8,765,000,000","8,549,000,000","8,553,000,000","8,389,000,000","8,014,000,000","7,781,000,000","7,712,000,000","7,388,000,000","7,031,000,000","6,432,000,000","6,228,000,000","5,901,000,000","5,716,000,000","5,578,000,000","5,598,000,000","5,363,000,000","5,235,000,000","5,098,000,000","5,066,000,000","4,908,000,000","4,742,000,000","4,546,000,000","5,685,000,000","5,518,000,000","4,373,900,000","2,704,700,000","2,708,900,000","2,672,500,000","2,824,100,000","2,355,500,000","2,298,500,000","2,196,100,000","2,407,600,000","1,960,000,000","1,912,100,000","1,859,200,000","1,831,600,000","1,525,100,000","1,478,600,000","1,374,000,000","1,108,900,000","1,354,900,000","1,321,700,000","1,359,800,000","1,393,100,000","1,204,200,000","1,184,500,000","1,130,800,000","1,167,500,000","974,600,000","945,600,000","950,700,000","1,005,500,000","870,200,000","823,600,000","663,600,000","360,200,000","345,800,000","340,600,000","328,700,000","337,600,000","345,900,000","345,900,000","345,900,000","261,200,000","221,200,000","221,300,000","196,500,000","183,900,000","178,900,000","183,500,000","174,700,000","172,200,000","165,800,000","163,700,000","155,300,000","157,500,000","141,100,000","135,000,000","128,700,000","122,400,000","116,100,000","113,200,000","98,200,000","84,200,000","80,000,000","74,200,000","70,900,000","34,000,000","33,400,000","32,500,000","30,900,000","30,600,000","30,000,000"
CostOfRevenue,"38,450,000,000","9,880,000,000","10,395,000,000","9,256,000,000","8,919,000,000","9,438,000,000","8,565,000,000","6,817,000,000","8,301,000,000","9,300,000,000","8,316,000,000","8,255,000,000","8,569,000,000","9,252,000,000","6,711,000,000","6,300,000,000","7,429,000,000","6,892,000,000","6,077,000,000","6,341,000,000","6,074,000,000","6,537,000,000","7,003,000,000","5,492,000,000","5,431,000,000","5,836,000,000","5,582,000,000","5,669,000,000","5,463,000,000","5,358,000,000","4,772,000,000","4,874,000,000","5,908,000,000","5,252,000,000","4,787,000,000","4,968,000,000","4,663,000,000","1,695,000,000","6,801,000,000","5,614,000,000","5,819,000,000","5,698,000,000","5,397,000,000","5,340,000,000","4,323,000,000","3,899,000,000","3,792,000,000","3,827,000,000","3,732,000,000","3,796,000,000","3,490,000,000","3,545,000,000","3,565,000,000","4,179,000,000","3,095,000,000","3,091,000,000","3,107,000,000","2,903,000,000","2,759,000,000","2,754,000,000","2,759,000,000","2,451,000,000","2,300,000,000","2,310,000,000","2,196,000,000","2,061,000,000","2,007,000,000","1,944,000,000","1,957,000,000","1,962,000,000","1,837,000,000","1,794,000,000","1,869,000,000","1,774,000,000","1,703,000,000","2,575,000,000","2,603,000,000","2,209,500,000","1,365,100,000","1,352,200,000","1,377,200,000","1,742,600,000","1,252,900,000","1,227,400,000","1,196,900,000","1,358,600,000","1,045,700,000","1,017,200,000","996,300,000",,,,,,,,,,,,,,,,,,"443,600,000",,,,"103,200,000","100,600,000","100,900,000",,,,,"76,200,000","66,800,000","67,000,000","65,500,000","58,500,000","63,400,000","66,100,000","64,100,000","65,800,000","61,400,000","58,500,000","58,200,000","61,200,000","50,900,000","44,800,000","51,000,000",,,,,,,,,,,,,,
GrossProfit,"77,935,000,000","20,456,000,000","19,903,000,000","19,290,000,000","18,286,000,000","18,270,000,000","16,967,000,000","16,898,000,000","18,308,000,000","19,098,000,000","18,511,000,000","18,603,000,000","18,290,000,000","18,594,000,000","15,424,000,000","15,435,000,000","15,362,000,000","15,023,000,000","14,906,000,000","14,824,000,000","14,389,000,000","14,488,000,000","14,316,000,000","13,777,000,000","13,359,000,000","13,409,000,000","13,087,000,000","13,074,000,000","12,390,000,000","12,374,000,000","12,019,000,000","11,970,000,000","11,500,000,000","11,674,000,000","11,364,000,000","11,302,000,000","10,647,000,000","14,242,000,000","9,743,000,000","9,597,000,000","9,059,000,000","9,344,000,000","8,942,000,000","8,993,000,000","7,805,000,000","5,822,000,000","5,697,000,000","5,698,000,000","5,470,000,000","5,385,000,000","5,312,000,000","5,393,000,000","5,270,000,000","4,586,000,000","5,454,000,000","5,462,000,000","5,282,000,000","5,111,000,000","5,022,000,000","4,958,000,000","4,629,000,000","4,580,000,000","4,132,000,000","3,918,000,000","3,705,000,000","3,655,000,000","3,571,000,000","3,654,000,000","3,406,000,000","3,273,000,000","3,261,000,000","3,272,000,000","3,039,000,000","2,968,000,000","2,843,000,000","3,110,000,000","2,915,000,000","2,164,400,000","1,339,600,000","1,356,700,000","1,295,300,000","1,081,500,000","1,102,600,000","1,071,100,000","999,200,000","1,049,000,000","914,300,000","894,900,000","862,900,000",,,,,,,,,,,,,,,,,,"426,600,000",,,,"242,600,000","240,000,000","227,800,000",,,,,"185,000,000","154,400,000","154,300,000","131,000,000","125,400,000","115,500,000","117,400,000","110,600,000","106,400,000","104,400,000","105,200,000","97,100,000","96,300,000","90,200,000","90,200,000","77,700,000",,,,,,,,,,,,,,
OperatingExpense,"57,118,000,000","15,635,000,000","14,454,000,000","13,783,000,000","13,247,000,000","14,352,000,000","12,891,000,000","12,251,000,000","13,456,000,000","13,851,000,000","13,171,000,000","13,247,000,000","13,108,000,000","14,080,000,000","10,588,000,000","10,421,000,000","10,717,000,000","10,916,000,000","10,114,000,000","10,266,000,000","9,859,000,000","10,224,000,000","9,876,000,000","9,711,000,000","9,270,000,000","9,407,000,000","9,086,000,000","8,969,000,000","8,500,000,000","8,587,000,000","8,274,000,000","8,166,000,000","7,932,000,000","8,027,000,000","7,950,000,000","7,867,000,000","7,580,000,000","10,948,000,000","6,695,000,000","6,518,000,000","6,301,000,000","6,426,000,000","6,301,000,000","6,055,000,000","5,581,000,000","3,809,000,000","3,743,000,000","3,620,000,000","3,535,000,000","3,568,000,000","3,601,000,000","3,518,000,000","3,459,000,000","2,829,000,000","3,784,000,000","3,712,000,000","3,727,000,000","3,653,000,000","3,631,000,000","3,490,000,000","3,368,000,000","3,362,000,000","2,908,000,000","2,689,000,000","2,655,000,000","2,762,000,000","2,688,000,000","2,606,000,000","2,540,000,000","2,562,000,000","2,575,000,000","2,420,000,000","2,380,000,000","2,226,000,000","2,350,000,000","2,499,000,000","2,442,000,000","1,835,400,000","909,100,000","878,300,000","874,200,000","1,415,700,000","1,280,800,000","1,204,400,000","1,099,700,000","1,163,200,000","970,700,000","926,500,000","821,700,000",,,,,,,,,,,,,,,,,,"310,200,000",,,,"179,200,000","174,700,000","163,500,000",,,,,"152,400,000","110,600,000","107,800,000","88,900,000","87,700,000","79,400,000","77,600,000","79,400,000","78,300,000","75,200,000","75,600,000","73,900,000","70,300,000","68,100,000","67,400,000","59,000,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"7,695,000,000","2,233,000,000","1,995,000,000","1,851,000,000","1,616,000,000","1,950,000,000","1,512,000,000","1,341,000,000","1,938,000,000","1,943,000,000","1,901,000,000","1,885,000,000","1,888,000,000","2,112,000,000","1,667,000,000","1,653,000,000","1,604,000,000","1,569,000,000","1,553,000,000","1,665,000,000","1,530,000,000","1,599,000,000","1,487,000,000","1,561,000,000","1,467,000,000","1,551,000,000","1,509,000,000","1,528,000,000","1,355,000,000","1,330,000,000","1,296,000,000","1,242,000,000","1,210,000,000","1,232,000,000","1,283,000,000","1,307,000,000","1,147,000,000","1,094,000,000","1,223,000,000","4,593,000,000","4,371,000,000","4,428,000,000","4,368,000,000","4,192,000,000","3,739,000,000","2,106,000,000","2,119,000,000","1,961,000,000","1,905,000,000","1,976,000,000","1,986,000,000","1,858,000,000","1,826,000,000","1,216,000,000","2,217,000,000","2,111,000,000","2,108,000,000","2,029,000,000","2,093,000,000","1,946,000,000","1,866,000,000","1,986,000,000","1,695,000,000","1,486,000,000","1,504,000,000","1,500,000,000","1,472,000,000","1,445,000,000","1,376,000,000","1,287,000,000","1,401,000,000","1,320,000,000","1,306,000,000","1,248,000,000","1,211,000,000","1,279,000,000","1,277,000,000","974,000,000","513,800,000","490,100,000","487,100,000","426,800,000","396,800,000","370,700,000","358,300,000","374,100,000","308,600,000","292,100,000","276,000,000",,,,,,,,,,,,,,,,,,"162,600,000",,,,"96,400,000","91,500,000","86,300,000",,,,,"70,900,000","55,900,000","55,700,000","45,200,000","46,500,000","38,800,000","37,400,000","37,000,000","36,600,000","36,200,000","35,900,000","33,200,000","32,400,000","34,500,000","36,100,000","27,800,000",,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"35,619,000,000","9,821,000,000","8,981,000,000","8,549,000,000","8,269,000,000","9,150,000,000","8,059,000,000","7,646,000,000","8,254,000,000","8,731,000,000","8,090,000,000","8,086,000,000","7,900,000,000","8,771,000,000","6,444,000,000","6,365,000,000","6,514,000,000","6,703,000,000","6,423,000,000","6,060,000,000","5,827,000,000","6,129,000,000","5,994,000,000","5,761,000,000","5,525,000,000","5,586,000,000","5,394,000,000","5,280,000,000","5,079,000,000","5,167,000,000","5,019,000,000","4,924,000,000","4,752,000,000","4,797,000,000","4,751,000,000","4,570,000,000","4,466,000,000","4,650,000,000",,"3,306,000,000","3,168,000,000","3,382,000,000","3,266,000,000","3,085,000,000","2,755,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"35,619,000,000","9,821,000,000","8,981,000,000","8,549,000,000","8,269,000,000","9,150,000,000","8,059,000,000","7,646,000,000","8,254,000,000","8,731,000,000","8,090,000,000","8,086,000,000","7,900,000,000","8,771,000,000","6,444,000,000","6,365,000,000","6,514,000,000","6,703,000,000","6,423,000,000","6,060,000,000","5,827,000,000","6,129,000,000","5,994,000,000","5,761,000,000","5,525,000,000","5,586,000,000","5,394,000,000","5,280,000,000","5,079,000,000","5,167,000,000","5,019,000,000","4,924,000,000","4,752,000,000","4,797,000,000","4,751,000,000","4,570,000,000","4,466,000,000","4,650,000,000",,"3,306,000,000","3,168,000,000","3,382,000,000","3,266,000,000","3,085,000,000","2,755,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"7,695,000,000","2,233,000,000","1,995,000,000","1,851,000,000","1,616,000,000","1,950,000,000","1,512,000,000","1,341,000,000","1,938,000,000","1,943,000,000","1,901,000,000","1,885,000,000","1,888,000,000","2,112,000,000","1,667,000,000","1,653,000,000","1,604,000,000","1,569,000,000","1,553,000,000","1,665,000,000","1,530,000,000","1,599,000,000","1,487,000,000","1,561,000,000","1,467,000,000","1,551,000,000","1,509,000,000","1,528,000,000","1,355,000,000","1,330,000,000","1,296,000,000","1,242,000,000","1,210,000,000","1,232,000,000","1,283,000,000","1,307,000,000","1,147,000,000","1,094,000,000","1,223,000,000","1,287,000,000","1,203,000,000","1,046,000,000","1,102,000,000","1,107,000,000","984,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"13,804,000,000","3,582,000,000","3,478,000,000","3,383,000,000","3,362,000,000","3,252,000,000","3,320,000,000","3,264,000,000","3,264,000,000","3,177,000,000","3,180,000,000","3,276,000,000","3,320,000,000","3,197,000,000","2,618,000,000","2,603,000,000","2,599,000,000","2,644,000,000","2,580,000,000","2,541,000,000","2,502,000,000","2,496,000,000","2,395,000,000","2,389,000,000","2,278,000,000","2,270,000,000","2,183,000,000","2,161,000,000","2,066,000,000","2,090,000,000","1,959,000,000","2,000,000,000","1,970,000,000","1,998,000,000","1,916,000,000","1,990,000,000","1,967,000,000","1,983,000,000","1,960,000,000","1,925,000,000","1,930,000,000","1,998,000,000","1,933,000,000","1,863,000,000","1,842,000,000","1,703,000,000","1,624,000,000","1,659,000,000","1,630,000,000","1,592,000,000","1,615,000,000","1,660,000,000","1,633,000,000","1,613,000,000","1,567,000,000","1,601,000,000","1,619,000,000","1,624,000,000","1,538,000,000","1,544,000,000","1,502,000,000","1,376,000,000","1,213,000,000","1,203,000,000","1,151,000,000","1,262,000,000","1,216,000,000","1,161,000,000","1,164,000,000","1,275,000,000","1,174,000,000","1,100,000,000","1,074,000,000","978,000,000","1,139,000,000","1,220,000,000","1,165,000,000","861,400,000","395,300,000","388,200,000","387,100,000","988,900,000","884,000,000","833,700,000","741,400,000","789,100,000","662,100,000","634,400,000","545,700,000",,,,,,,,,,,,,,,,,,"147,600,000",,,,"82,800,000","83,200,000","77,200,000",,,,,"81,500,000","54,700,000","52,100,000","43,700,000","41,200,000","40,600,000","40,200,000","42,400,000","41,700,000","39,000,000","39,700,000","40,700,000","37,900,000","33,600,000","31,300,000","31,200,000",,,,,,,,,,,,,,
