name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
TotalRevenue,"7,547,061,000","1,960,633,000","1,952,315,000","1,892,538,000","1,741,575,000","1,607,710,000","1,601,414,000","1,364,738,000","1,410,772,000","1,440,224,000","1,403,697,000","1,434,231,000","1,308,217,000","1,225,061,000","1,225,007,000","1,266,520,000","1,148,397,000","1,110,100,000","1,128,074,000","1,169,409,000","1,068,829,000","1,034,560,000","1,036,982,000","998,383,000","834,459,000","997,507,000","1,216,890,000","1,197,783,000","1,089,043,000","1,069,811,000","1,084,222,000","1,050,073,000","904,163,000","844,147,000","826,907,000","816,786,000","726,751,000","699,161,000","700,528,000","690,932,000","640,603,000","596,749,000","591,854,000","571,561,000","509,384,000","482,521,000","476,874,000","466,841,000","409,686,000","387,544,000","387,581,000","388,836,000","354,456,000","345,344,000","340,543,000","340,754,000","305,327,000","288,910,000","286,431,000","274,346,000","236,095,000","219,719,000","211,260,000","204,936,000","187,015,000","173,313,000","151,461,000"
	OperatingRevenue,"7,547,061,000","1,960,633,000","1,952,315,000","1,892,538,000","1,741,575,000","1,607,710,000","1,601,414,000","1,364,738,000","1,410,772,000","1,440,224,000","1,403,697,000","1,434,231,000","1,308,217,000","1,225,061,000","1,225,007,000","1,266,520,000","1,148,397,000","1,110,100,000","1,128,074,000","1,169,409,000","1,068,829,000","1,034,560,000","1,036,982,000","998,383,000","834,459,000","997,507,000","1,216,890,000","1,197,783,000","1,089,043,000","1,069,811,000","1,084,222,000","1,050,073,000","904,163,000","844,147,000","826,907,000","816,786,000","726,751,000","699,161,000","700,528,000","690,932,000","640,603,000","596,749,000","591,854,000","571,561,000","509,384,000","482,521,000","476,874,000","466,841,000","409,686,000","387,544,000","387,581,000","388,836,000","354,456,000","345,344,000","340,543,000","340,754,000","305,327,000","288,910,000","286,431,000","274,346,000","236,095,000","219,719,000","211,260,000","204,936,000","187,015,000","173,313,000","151,461,000"
CostOfRevenue,"5,840,052,000","1,564,615,000","1,492,962,000","1,429,656,000","1,352,819,000","1,294,483,000","1,289,189,000","1,197,976,000","1,161,905,000","1,163,779,000","1,111,809,000","1,134,569,000","1,033,722,000","1,016,752,000","996,257,000","1,016,881,000","924,103,000","945,030,000","946,940,000","949,009,000","879,217,000","894,914,000","890,290,000","843,338,000","777,628,000","801,977,000","872,397,000","862,659,000","789,903,000","784,963,000","772,218,000","763,349,000","669,983,000","627,914,000","605,400,000","591,174,000","535,334,000","527,372,000","508,726,000","489,523,000","465,263,000","441,060,000","434,123,000","424,242,000","380,896,000","357,379,000","344,995,000","341,452,000","302,691,000","292,532,000","288,687,000","287,608,000","313,267,000","272,447,000","267,808,000","264,276,000","240,510,000","225,021,000","220,455,000","210,566,000","187,171,000","175,060,000","165,849,000","160,493,000","149,279,000","141,155,000","68,757,000"
GrossProfit,"1,707,009,000","396,018,000","459,353,000","462,882,000","388,756,000","313,227,000","312,225,000","166,762,000","248,867,000","276,445,000","291,888,000","299,662,000","274,495,000","208,309,000","228,750,000","249,639,000","224,294,000","165,070,000","181,134,000","220,400,000","189,612,000","139,646,000","146,692,000","155,045,000","56,831,000","195,530,000","344,493,000","335,124,000","299,140,000","284,848,000","312,004,000","286,724,000","234,180,000","216,233,000","221,507,000","225,612,000","191,417,000","171,789,000","191,802,000","201,409,000","175,340,000","155,689,000","157,731,000","147,319,000","128,488,000","125,142,000","131,879,000","125,389,000","106,995,000","95,012,000","98,894,000","101,228,000","41,189,000","72,897,000","72,735,000","76,478,000","64,817,000","63,889,000","65,976,000","63,780,000","48,924,000","44,659,000","45,411,000","44,443,000","37,736,000","32,158,000","82,704,000"
OperatingExpense,"882,775,000","233,023,000","215,015,000","213,091,000","221,646,000","188,477,000","197,138,000","166,315,000","168,410,000","172,551,000","170,340,000","175,155,000","157,392,000","158,693,000","164,305,000","136,360,000","126,627,000","101,709,000","143,520,000","114,059,000","112,789,000","107,259,000","120,329,000","110,963,000","101,219,000","86,467,000","107,578,000","106,320,000","97,139,000","94,767,000","102,962,000","105,280,000","96,971,000","85,522,000","81,948,000","77,795,000","70,033,000","68,698,000","72,740,000","66,144,000","71,866,000","60,331,000","58,443,000","62,079,000","53,667,000","51,150,000","54,295,000","50,430,000","45,699,000","44,627,000","44,085,000","43,906,000","42,196,000","59,353,000","38,793,000","38,164,000","38,024,000","26,393,000","34,580,000","33,098,000","30,275,000","29,163,000","27,558,000","28,573,000","25,003,000","24,423,000","74,951,000"
	SellingGeneralAndAdministration,"606,854,000","159,777,000","145,930,000","146,044,000","155,103,000","124,024,000","133,150,000","102,647,000","106,470,000","112,416,000","115,070,000","121,395,000","102,671,000","103,720,000","109,524,000","85,153,000","77,063,000","57,690,000","99,182,000","70,075,000","69,441,000","65,069,000","78,405,000","70,756,000","62,010,000","46,875,000","70,066,000","70,212,000","63,061,000","60,929,000","71,172,000","74,879,000","66,917,000","55,844,000","52,726,000","50,952,000","44,211,000","34,648,000","51,378,000","45,601,000","51,782,000","41,133,000","39,702,000","43,574,000","33,512,000","31,331,000","35,465,000","31,865,000","27,696,000","27,483,000","27,090,000","27,365,000","25,612,000","35,890,000","22,645,000","24,087,000","24,391,000","13,911,000","21,629,000","20,679,000","18,819,000","11,983,000","17,776,000","19,148,000","16,377,000","15,476,000","67,551,000"
		GeneralAndAdministrativeExpense,"606,854,000","159,777,000","145,930,000","146,044,000","155,103,000","124,024,000","133,150,000","102,647,000","106,470,000","112,416,000","115,070,000","121,395,000","102,671,000","103,720,000","109,524,000","85,153,000","77,063,000","57,690,000","99,182,000","70,075,000","69,441,000","65,069,000","78,405,000","70,756,000","62,010,000","46,875,000","70,066,000","70,212,000","63,061,000","60,929,000","71,172,000","74,879,000","66,917,000","55,844,000","52,726,000","50,952,000","44,211,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"606,854,000","159,777,000","145,930,000","146,044,000","155,103,000","124,024,000","133,150,000","102,647,000","106,470,000","112,416,000","115,070,000","121,395,000","102,671,000","103,720,000","109,524,000","85,153,000","77,063,000","57,690,000","99,182,000","70,075,000","69,441,000","65,069,000","78,405,000","70,756,000","62,010,000","46,875,000","70,066,000","70,212,000","63,061,000","60,929,000","71,172,000","74,879,000","66,917,000","55,844,000","52,726,000","50,952,000","44,211,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"254,657,000","66,262,000","63,191,000","62,082,000","63,122,000","59,956,000","60,180,000","60,024,000","58,374,000","55,149,000","52,206,000","51,642,000","53,781,000","53,217,000","52,654,000","49,193,000","46,915,000","41,442,000","41,546,000","41,081,000","39,279,000","38,072,000","37,434,000","36,074,000","34,788,000","34,140,000","33,145,000","32,440,000","30,643,000","29,750,000","27,961,000","27,009,000","25,754,000","24,903,000","24,618,000","23,597,000","22,936,000","22,141,000","21,362,000","20,543,000","20,084,000","19,198,000","18,741,000","18,505,000","18,494,000","17,815,000","17,319,000","17,053,000","16,734,000","15,940,000","15,451,000","15,197,000","14,720,000","14,124,000","13,769,000","12,707,000","12,170,000","11,688,000","11,167,000","10,576,000","10,164,000","9,265,000","8,676,000","8,309,000","8,003,000","7,634,000","6,797,000"
		DepreciationAndAmortizationInIncomeStatement,"254,657,000","66,262,000","63,191,000","62,082,000","63,122,000","59,956,000","60,180,000","60,024,000","58,374,000","55,149,000","52,206,000","51,642,000","53,781,000","53,217,000","52,654,000","49,193,000","46,915,000","41,442,000","41,546,000","41,081,000","39,279,000","38,072,000","37,434,000","36,074,000","34,788,000","34,140,000","33,145,000","32,440,000","30,643,000","29,750,000","27,961,000","27,009,000","25,754,000","24,903,000","24,618,000","23,597,000","22,936,000","22,141,000","21,362,000","20,543,000","20,084,000","19,198,000","18,741,000","18,505,000","18,494,000","17,815,000","17,319,000","17,053,000","16,734,000","15,940,000","15,451,000","15,197,000","14,720,000","14,124,000","13,769,000","12,707,000","12,170,000","11,688,000","11,167,000","10,576,000","10,164,000","9,265,000","8,676,000","8,309,000","8,003,000","7,634,000","6,797,000"
