name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"7,329,000,000","2,033,000,000","1,725,000,000","1,558,000,000","2,083,000,000","1,798,000,000","1,575,000,000","1,443,000,000","1,864,000,000","1,795,000,000","1,546,000,000","1,445,000,000","2,059,000,000","1,829,000,000","1,599,000,000","1,492,000,000","1,953,000,000","1,778,000,000","1,527,000,000","1,449,000,000","1,829,000,000","1,640,000,000","1,587,000,000","1,371,000,000","1,801,000,000","1,509,000,000","1,486,000,000","1,350,000,000","2,111,000,000","1,758,000,000","1,430,000,000","1,468,000,000","2,523,000,000","1,736,000,000","1,445,000,000","1,406,000,000","1,979,000,000","1,670,000,000","1,507,000,000","1,333,000,000","1,743,000,000","1,620,000,000","1,464,000,000","1,364,000,000","2,055,000,000","1,682,000,000","1,443,000,000","1,340,000,000","1,967,000,000","1,597,000,000","1,274,000,000","1,228,000,000","2,106,000,000","1,844,000,000","1,428,000,000","1,365,000,000","2,184,000,000","1,674,000,000","1,282,000,000","1,319,000,000","2,237,000,000","1,920,000,000","1,462,000,000","1,396,000,000","2,032,000,000","1,867,000,000","1,335,000,000","1,241,000,000","1,845,000,000","1,562,000,000","1,063,000,000","1,093,000,000","1,754,000,000","1,454,000,000","1,016,000,000","1,154,000,000","1,992,000,000","4,402,000,000","1,333,000,000","2,368,000,000","2,525,000,000","-1,875,000,000","2,996,000,000","4,421,000,000","4,126,000,000","3,177,000,000","2,395,000,000","1,599,000,000","1,827,000,000","1,724,000,000","1,488,000,000","1,353,000,000","1,538,000,000","1,349,000,000","1,286,000,000","1,132,000,000","1,374,000,000","1,393,000,000","1,045,000,000","1,036,000,000","1,313,000,000","1,183,000,000","929,000,000","936,000,000","1,275,000,000","1,069,000,000","869,000,000","837,000,000","1,119,000,000","914,000,000","767,000,000","796,000,000","1,142,000,000","936,000,000","758,000,000","742,000,000","1,009,000,000","843,000,000","599,000,000","664,000,000","967,000,000","716,000,000","614,000,000","635,000,000","977,000,000","850,300,000","614,900,000","641,700,000","857,100,000","860,600,000","569,100,000","608,900,000","922,600,000","860,500,000","589,500,000","575,600,000","917,100,000","801,900,000","574,200,000","552,400,000","872,000,000","872,300,000","596,100,000","612,200,000","1,027,900,000","931,700,000","632,500,000"
	OperatingRevenue,"7,329,000,000","2,033,000,000","1,725,000,000","1,558,000,000","2,083,000,000","1,798,000,000","1,575,000,000","1,443,000,000","1,864,000,000","1,795,000,000","1,546,000,000","1,445,000,000","2,059,000,000","1,829,000,000","1,599,000,000","1,492,000,000","1,953,000,000","1,778,000,000","1,527,000,000","1,449,000,000","1,829,000,000","1,640,000,000","1,587,000,000","1,371,000,000","1,801,000,000","1,509,000,000","1,486,000,000","1,350,000,000","2,111,000,000","1,758,000,000","1,430,000,000","1,468,000,000","2,523,000,000","1,736,000,000","1,445,000,000","1,406,000,000","1,979,000,000","1,670,000,000","1,507,000,000","1,333,000,000","1,743,000,000","1,620,000,000","1,464,000,000","1,364,000,000","2,055,000,000","1,682,000,000","1,443,000,000","1,340,000,000","1,967,000,000","1,597,000,000","1,274,000,000","1,228,000,000","2,106,000,000","1,844,000,000","1,428,000,000","1,365,000,000","2,184,000,000","1,674,000,000","1,282,000,000","1,319,000,000","2,237,000,000","1,920,000,000","1,462,000,000","1,396,000,000","2,032,000,000","1,867,000,000","1,335,000,000","1,241,000,000","1,845,000,000","1,562,000,000","1,063,000,000","1,093,000,000","1,754,000,000","1,454,000,000","1,016,000,000","1,154,000,000","1,992,000,000","4,402,000,000","1,333,000,000","2,368,000,000","2,525,000,000","-1,875,000,000","2,996,000,000","4,421,000,000","4,126,000,000","3,177,000,000","2,395,000,000","1,599,000,000","1,827,000,000","1,724,000,000","1,488,000,000","1,353,000,000","1,538,000,000","1,349,000,000","1,286,000,000","1,132,000,000","1,374,000,000","1,393,000,000","1,045,000,000","1,036,000,000","1,313,000,000","1,183,000,000","929,000,000","936,000,000","1,275,000,000","1,069,000,000","869,000,000","837,000,000","1,119,000,000","914,000,000","767,000,000","796,000,000","1,142,000,000","936,000,000","758,000,000","742,000,000","1,009,000,000","843,000,000","599,000,000","664,000,000","967,000,000","716,000,000","614,000,000","635,000,000","977,000,000","850,300,000","614,900,000","641,700,000","857,100,000","860,600,000","569,100,000","608,900,000","922,600,000","860,500,000","589,500,000","575,600,000","917,100,000","801,900,000","574,200,000","552,400,000","872,000,000","872,300,000","596,100,000","612,200,000","1,027,900,000","931,700,000","632,500,000"
CostOfRevenue,"4,680,000,000","1,448,000,000","1,134,000,000","975,000,000","1,135,000,000","1,070,000,000","903,000,000","872,000,000","1,066,000,000","1,135,000,000","910,000,000","940,000,000","1,296,000,000","1,254,000,000","1,032,000,000","965,000,000","1,224,000,000","1,095,000,000","942,000,000","945,000,000","1,098,000,000","1,064,000,000","956,000,000","850,000,000","1,140,000,000","1,016,000,000","937,000,000","917,000,000","1,411,000,000","1,239,000,000","984,000,000","1,026,000,000","1,841,000,000","1,246,000,000","930,000,000","987,000,000","1,399,000,000","2,113,000,000","679,000,000","613,000,000","1,019,000,000","881,000,000","694,000,000","696,000,000","1,241,000,000","968,000,000","671,000,000","664,000,000","1,215,000,000","994,000,000","581,000,000","608,000,000","1,387,000,000","2,716,000,000","579,000,000","432,000,000","485,000,000","2,697,000,000","520,000,000","472,000,000","430,000,000","2,573,000,000","563,000,000","481,000,000","531,000,000","57,000,000","446,000,000","330,000,000","63,000,000","-857,000,000","457,000,000","264,000,000","249,000,000","-1,040,000,000","515,000,000","314,000,000","475,000,000","2,536,000,000","402,000,000","897,000,000","710,000,000","-6,016,000,000","2,219,000,000","1,891,000,000","1,779,000,000","-1,230,000,000","1,859,000,000","1,109,000,000","392,000,000","1,167,000,000","963,000,000","874,000,000","1,038,000,000","936,000,000","854,000,000","747,000,000","948,000,000","978,000,000","663,000,000","672,000,000","867,000,000","812,000,000","577,000,000","598,000,000","838,000,000","731,000,000","531,000,000","534,000,000","697,000,000","611,000,000","470,000,000","519,000,000","615,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"2,649,000,000","585,000,000","591,000,000","583,000,000","948,000,000","728,000,000","672,000,000","571,000,000","798,000,000","660,000,000","636,000,000","505,000,000","763,000,000","575,000,000","567,000,000","527,000,000","729,000,000","683,000,000","585,000,000","504,000,000","731,000,000","576,000,000","631,000,000","521,000,000","661,000,000","493,000,000","549,000,000","433,000,000","700,000,000","519,000,000","446,000,000","442,000,000","682,000,000","490,000,000","515,000,000","419,000,000","580,000,000","-443,000,000","828,000,000","720,000,000","724,000,000","739,000,000","770,000,000","668,000,000","814,000,000","714,000,000","772,000,000","676,000,000","752,000,000","603,000,000","693,000,000","620,000,000","719,000,000","-872,000,000","849,000,000","933,000,000","1,699,000,000","-1,023,000,000","762,000,000","847,000,000","1,807,000,000","-653,000,000","899,000,000","915,000,000","1,501,000,000","1,810,000,000","889,000,000","911,000,000","1,782,000,000","2,419,000,000","606,000,000","829,000,000","1,505,000,000","2,494,000,000","501,000,000","840,000,000","1,517,000,000","1,866,000,000","931,000,000","1,471,000,000","1,815,000,000","4,141,000,000","777,000,000","2,530,000,000","2,347,000,000","4,407,000,000","536,000,000","490,000,000","1,435,000,000","557,000,000","525,000,000","479,000,000","500,000,000","413,000,000","432,000,000","385,000,000","426,000,000","415,000,000","382,000,000","364,000,000","446,000,000","371,000,000","352,000,000","338,000,000","437,000,000","338,000,000","338,000,000","303,000,000","422,000,000","303,000,000","297,000,000","277,000,000","527,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,503,000,000","381,000,000","331,000,000","331,000,000","463,000,000","376,000,000","303,000,000","298,000,000","430,000,000","349,000,000","285,000,000","287,000,000","404,000,000","325,000,000","273,000,000","272,000,000","366,000,000","304,000,000","255,000,000","263,000,000","343,000,000","286,000,000","245,000,000","236,000,000","325,000,000","248,000,000","232,000,000","229,000,000","303,000,000","246,000,000","210,000,000","207,000,000","274,000,000","225,000,000","199,000,000","187,000,000","251,000,000","-654,000,000","485,000,000","460,000,000","536,000,000","565,000,000","454,000,000","461,000,000","508,000,000","556,000,000","453,000,000","414,000,000","513,000,000","492,000,000","454,000,000","478,000,000","513,000,000","-1,049,000,000","642,000,000","785,000,000","1,438,000,000","-792,000,000","568,000,000","843,000,000","1,854,000,000","-506,000,000","919,000,000","828,000,000","1,547,000,000","1,855,000,000","1,733,000,000","837,000,000","1,362,000,000","2,201,000,000","466,000,000","722,000,000","1,383,000,000","2,493,000,000","392,000,000","657,000,000","1,278,000,000","2,498,000,000","720,000,000","1,238,000,000","1,523,000,000","4,022,000,000","1,178,000,000","2,275,000,000","2,016,000,000","4,425,000,000","289,000,000","285,000,000","1,142,000,000","393,000,000","254,000,000","247,000,000","255,000,000","245,000,000","210,000,000","197,000,000","276,000,000","234,000,000","197,000,000","197,000,000","233,000,000","230,000,000","186,000,000","182,000,000","223,000,000","214,000,000","189,000,000","179,000,000","216,000,000","207,000,000","171,000,000","169,000,000","352,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,114,000,000","282,000,000","250,000,000","244,000,000","340,000,000","281,000,000","228,000,000","223,000,000","316,000,000","263,000,000","215,000,000","216,000,000","298,000,000","244,000,000","206,000,000","204,000,000","279,000,000","229,000,000","193,000,000","197,000,000","262,000,000","214,000,000","183,000,000","176,000,000","238,000,000","186,000,000","173,000,000","169,000,000","222,000,000","182,000,000","153,000,000","151,000,000","199,000,000","165,000,000","145,000,000","137,000,000","181,000,000","158,000,000","138,000,000","130,000,000","172,000,000","142,000,000","120,000,000","122,000,000","162,000,000","140,000,000","133,000,000","131,000,000","172,000,000","148,000,000","128,000,000","121,000,000","173,000,000","153,000,000","135,000,000","128,000,000","173,000,000","138,000,000","121,000,000","121,000,000","161,000,000","158,000,000","129,000,000","127,000,000","162,000,000","126,000,000","121,000,000","122,000,000","156,000,000","65,000,000","114,000,000","108,000,000","144,000,000","128,000,000","86,000,000","88,000,000","126,000,000","74,000,000","103,000,000","95,000,000","140,000,000","142,000,000","125,000,000","116,000,000","153,000,000","167,000,000","152,000,000","142,000,000","176,000,000","165,000,000","151,000,000","155,000,000","159,000,000","159,000,000","112,000,000","110,000,000","154,000,000","137,000,000","124,000,000","121,000,000","139,000,000","127,000,000","110,000,000","186,000,000","133,000,000","125,000,000","111,000,000","109,000,000","132,000,000","180,000,000","85,000,000","79,000,000","108,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"1,114,000,000","282,000,000","250,000,000","244,000,000","340,000,000","281,000,000","228,000,000","223,000,000","316,000,000","263,000,000","215,000,000","216,000,000","298,000,000","244,000,000","206,000,000","204,000,000","279,000,000","229,000,000","193,000,000","197,000,000","262,000,000","214,000,000","183,000,000","176,000,000","238,000,000","186,000,000","173,000,000","169,000,000","222,000,000","182,000,000","153,000,000","151,000,000","199,000,000","165,000,000","145,000,000","137,000,000","181,000,000","158,000,000","138,000,000","130,000,000","172,000,000","142,000,000","120,000,000","122,000,000","162,000,000","140,000,000","133,000,000","131,000,000","172,000,000","148,000,000","128,000,000","121,000,000","173,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,"975,000,000"
			Amortization,"139,000,000"
				AmortizationOfIntangiblesIncomeStatement,"139,000,000"
