name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalRevenue,"125,982,000,000","32,568,000,000","32,406,000,000","31,025,000,000","29,983,000,000","28,288,000,000","29,090,000,000","27,712,000,000","26,025,000,000","18,863,000,000","18,976,000,000","18,356,000,000","18,444,000,000","16,559,000,000","16,182,000,000","14,181,000,000","13,194,000,000","12,806,000,000","11,898,000,000","11,954,000,000","11,724,000,000","11,911,000,000","10,846,000,000","10,897,000,000","6,953,000,000","6,302,000,000","5,821,000,000","5,506,000,000","5,131,000,000","4,724,551,000","4,351,861,000","4,023,700,000","3,459,888,000","2,687,840,000","2,803,652,000","2,725,945,000","2,645,892,000","2,396,597,000","2,448,121,000","2,110,746,000","1,712,148,000","1,507,176,000","1,302,035,000","1,315,014,000","1,216,357,000","1,180,969,000","1,121,861,000","1,076,772,000","1,068,721,000","1,092,726,000","1,038,234,000","1,039,469,000","932,435,000","790,672,000","897,137,000","860,067,000","816,639,000","770,770,000","749,949,000","727,738,000","670,835,000","697,400,000","631,249,000","495,293,000","455,078,000","423,218,000","400,642,000","349,628,000","332,376,000","288,064,000","253,743,000","233,608,000","225,525,000","207,657,000","198,407,000","186,232,000","177,434,000","141,726,000","116,398,000","107,610,000","95,753,000"
	OperatingRevenue,"117,983,000,000","30,493,000,000","30,514,000,000","28,862,000,000","28,114,000,000","26,445,000,000","27,459,000,000","25,724,000,000","24,172,000,000","18,012,000,000","18,215,000,000","17,299,000,000","16,838,000,000","15,649,000,000","15,355,000,000","12,875,000,000","12,556,000,000","11,593,000,000","11,421,000,000","11,441,000,000","11,165,000,000","10,677,000,000","10,215,000,000","10,276,000,000","6,411,000,000","5,857,000,000","5,463,000,000","5,184,000,000","4,761,000,000","4,414,763,000","4,159,089,000","3,741,087,000","3,352,061,000","2,615,332,000","2,734,148,000","2,634,317,000","2,542,243,000","1,967,932,000","2,448,121,000","2,110,746,000","1,712,148,000","1,347,601,000","1,302,035,000","1,315,014,000","1,216,357,000","1,016,479,000","1,121,861,000","1,076,772,000","1,115,220,000","1,092,726,000","1,038,234,000","1,039,469,000","932,435,000","790,672,000","897,137,000","860,067,000","816,639,000","770,770,000","749,949,000","727,738,000","670,835,000","685,344,000","635,874,000","499,184,000","458,618,000","415,757,000","403,460,000","352,151,000","334,496,000","283,535,000","255,426,000","234,944,000","227,035,000","209,341,000","199,652,000","187,489,000","178,408,000","142,642,000","109,000","108,586,000","96,668,000"
	ExciseTaxes,"-7,999,000,000","-2,075,000,000","-1,892,000,000","-2,163,000,000","-1,869,000,000","-1,843,000,000","-1,631,000,000","-1,988,000,000","-1,853,000,000","-851,000,000","-761,000,000","-1,057,000,000","-1,606,000,000","-910,000,000","-827,000,000","-1,306,000,000","-638,000,000","-1,213,000,000","-477,000,000","-513,000,000","-559,000,000","-1,234,000,000","-631,000,000","-621,000,000","-542,000,000","-445,000,000","-358,000,000","-322,000,000","-370,000,000","-309,788,000","-192,772,000","-282,613,000","-107,827,000","-72,508,000","-69,504,000","-91,628,000","-103,649,000","-95,181,000",,,,,,,,,,,"46,499,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"111,783,000,000","28,934,000,000","28,750,000,000","27,732,000,000","26,367,000,000","24,984,000,000","25,182,000,000","22,863,000,000","22,870,000,000","16,789,000,000","16,847,000,000","16,075,000,000","16,085,000,000","14,376,000,000","13,964,000,000","12,227,000,000","11,128,000,000","11,326,000,000","10,490,000,000","10,412,000,000","10,353,000,000","10,145,000,000","9,392,000,000","9,398,000,000","6,128,000,000","5,511,000,000","5,120,000,000","4,839,000,000","4,544,000,000","4,136,261,000","3,878,066,000","3,578,658,000","3,063,015,000","2,362,851,000","2,467,813,000","2,428,671,000","2,395,440,000","2,525,119,000","2,058,743,000","1,912,221,000","1,466,013,000","1,320,743,000","1,048,815,000","1,056,052,000","977,250,000","823,599,000","949,518,000","901,593,000","903,603,000","879,840,000","818,905,000","878,813,000","779,244,000","555,969,000","741,642,000","697,026,000","657,795,000","637,622,000","605,750,000","591,532,000","551,036,000","1,835,268,000","15,373,000","14,317,000","15,588,000","1,229,187,000","2,002,000","728,000","843,000","802,392,000","2,111,000","2,022,000","2,016,000","2,054,000","2,681,000","2,613,000","975,000",,,,
GrossProfit,"14,199,000,000","3,634,000,000","3,656,000,000","3,293,000,000","3,616,000,000","3,304,000,000","3,908,000,000","4,849,000,000","3,155,000,000","2,074,000,000","2,129,000,000","2,281,000,000","2,359,000,000","2,183,000,000","2,218,000,000","1,954,000,000","2,066,000,000","1,480,000,000","1,408,000,000","1,542,000,000","1,371,000,000","1,766,000,000","1,454,000,000","1,499,000,000","825,000,000","791,000,000","701,000,000","667,000,000","587,000,000","588,290,000","473,795,000","445,042,000","396,873,000","324,989,000","335,839,000","297,274,000","250,452,000","-128,522,000","389,378,000","198,525,000","246,135,000","186,433,000","253,220,000","258,962,000","239,107,000","357,370,000","172,343,000","175,179,000","165,118,000","212,886,000","219,329,000","160,656,000","153,191,000","234,703,000","155,495,000","163,041,000","158,844,000","133,148,000","144,199,000","136,206,000","119,799,000","-1,137,868,000","615,876,000","480,976,000","439,490,000","-805,969,000","398,640,000","348,900,000","331,533,000","-514,328,000","251,632,000","231,586,000","223,509,000","205,603,000","195,726,000","183,619,000","176,459,000",,,,
OperatingExpense,"10,936,000,000","3,031,000,000","2,882,000,000","2,461,000,000","2,562,000,000","3,289,000,000","3,047,000,000","2,831,000,000","2,895,000,000","1,797,000,000","1,682,000,000","1,638,000,000","1,674,000,000","1,795,000,000","2,177,000,000","1,465,000,000","1,526,000,000","1,299,000,000","1,068,000,000","1,104,000,000","1,131,000,000","1,245,000,000","1,112,000,000","1,122,000,000","805,000,000","571,000,000","518,000,000","494,000,000","458,000,000","394,928,000","365,863,000","352,370,000","326,839,000","236,933,000","253,608,000","230,248,000","210,348,000","-141,590,000","417,019,000","217,238,000","211,937,000","139,056,000","204,673,000","203,659,000","200,010,000","311,869,000","132,095,000","133,470,000","135,507,000","175,108,000","181,319,000","129,221,000","122,279,000","200,590,000","122,627,000","135,391,000","121,914,000","136,130,000","121,139,000","119,342,000","102,648,000","-1,069,523,000","595,341,000","474,670,000","426,894,000","-826,382,000","383,500,000","326,580,000","310,215,000","-531,772,000","235,161,000","215,649,000","208,825,000","191,799,000","183,086,000","173,283,000","166,312,000","132,128,000","108,370,000","99,892,000","89,491,000"
	SellingGeneralAndAdministration,"10,166,000,000","2,842,000,000","2,684,000,000","2,273,000,000","2,367,000,000","3,097,000,000","2,883,000,000","2,634,000,000","2,729,000,000","1,733,000,000","1,617,000,000","1,574,000,000","1,609,000,000","1,733,000,000","2,112,000,000","1,420,000,000","1,487,000,000","1,260,000,000","1,030,000,000","1,065,000,000","1,091,000,000","1,193,000,000","1,069,000,000","1,079,000,000","796,000,000","571,000,000","518,000,000","494,000,000","458,000,000","394,928,000","365,863,000","352,370,000","326,839,000","236,933,000","253,608,000","230,248,000","210,348,000","192,282,000","181,073,000","168,062,000","163,187,000","90,330,000","167,668,000","166,425,000","162,581,000","146,751,000","132,095,000","133,470,000","135,507,000","133,005,000","130,024,000","129,221,000","122,279,000","109,624,000","122,627,000","113,199,000","99,283,000","49,086,000","121,139,000","122,596,000","106,866,000","112,630,000","93,991,000","74,441,000","65,222,000","54,639,000","52,450,000","44,365,000","42,459,000","38,948,000","32,187,000","28,351,000","28,377,000","25,590,000","22,414,000","20,879,000","19,405,000","15,357,000","12,726,000","11,783,000","10,547,000"
		GeneralAndAdministrativeExpense,"10,166,000,000","2,842,000,000","2,684,000,000","2,273,000,000","2,367,000,000","3,097,000,000","2,883,000,000","2,634,000,000","2,729,000,000","1,733,000,000","1,617,000,000","1,574,000,000","1,609,000,000","1,733,000,000","2,112,000,000","1,420,000,000","1,487,000,000","1,260,000,000","1,030,000,000","1,065,000,000","1,091,000,000","1,193,000,000","1,069,000,000","1,079,000,000","796,000,000","571,000,000","518,000,000","494,000,000","458,000,000","394,928,000","365,863,000","352,370,000","326,839,000","236,933,000","253,608,000","230,248,000","210,348,000","192,282,000",,,,,,,,,,,,,,,,,,,,,,,,,"93,991,000",,"65,222,000",,"52,450,000","44,365,000","42,459,000",,"32,187,000","28,351,000","28,377,000","25,590,000","22,414,000",,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,991,000",,"65,222,000",,"52,450,000","44,365,000","42,459,000",,"32,187,000","28,351,000","28,377,000","25,590,000","22,414,000",,,,,,
			InsuranceAndClaims,"0","0","0","0","0","376,000,000","376,000,000","379,000,000","345,000,000","0","0","0","0","177,000,000","178,000,000","183,000,000","171,000,000","0","0","0","0","128,000,000","129,000,000","130,000,000","74,000,000","54,000,000","54,000,000","52,000,000","55,000,000","31,360,000","31,985,000","31,328,000","31,327,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
