name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"3,029,200,000","787,200,000","759,100,000","763,400,000","719,500,000","680,500,000","681,600,000","578,200,000","524,900,000","646,200,000","691,600,000","679,400,000","654,300,000","628,100,000","651,500,000","660,000,000","631,300,000","590,000,000","561,500,000","556,000,000","522,400,000","499,100,000","518,654,000","514,726,000","483,793,000","449,641,000","455,536,000","461,678,000","434,676,000","445,171,000","467,997,000","432,482,000","412,317,000","404,980,000","411,852,000","411,993,000","384,041,000","379,839,000","396,301,000","378,186,000","344,589,000","326,060,000","360,909,000","351,396,000","325,301,000","293,229,000","313,352,000","295,635,000","289,271,000","260,258,000","283,455,000","285,230,000","260,594,000","251,142,000","268,809,000","285,884,000","263,451,000","245,033,000","253,824,000","251,862,000","225,535,000","219,420,000","216,026,000","225,798,000","211,397,000","205,739,000","220,811,000","222,142,000","215,774,000","147,890,000","130,811,000","129,079,000","120,552,000","109,734,000","112,966,000","108,442,000","96,368,000","94,014,000","94,721,000","90,563,000","71,910,000","58,112,000","69,685,000","59,961,000","56,027,000","48,899,000","55,236,000","50,908,000","50,769,000","40,400,000","45,200,000","43,400,000","41,700,000","35,000,000","-1,600,000","54,200,000","51,800,000","42,800,000","40,500,000","38,900,000","33,700,000","28,400,000","31,200,000","28,900,000","26,800,000","22,200,000","24,800,000","25,200,000","23,800,000","23,200,000","24,300,000","23,900,000","24,500,000","22,900,000","22,200,000","24,500,000","23,700,000","22,400,000","21,900,000","19,300,000","11,300,000","10,700,000","10,200,000","9,000,000","9,000,000","7,300,000","13,300,000","11,500,000","13,200,000","10,300,000","13,400,000","10,700,000","14,400,000","14,300,000","160,100,000","138,300,000","153,300,000","159,600,000","243,500,000","171,100,000","119,200,000","93,700,000","139,900,000","131,100,000","103,900,000","85,400,000","99,400,000"
	OperatingRevenue,"3,029,200,000","787,200,000","759,100,000","763,400,000","719,500,000","680,500,000","681,600,000","578,200,000","524,900,000","646,200,000","691,600,000","679,400,000","654,300,000","628,100,000","651,500,000","660,000,000","631,300,000","590,000,000","561,500,000","556,000,000","522,400,000","499,100,000","518,654,000","514,726,000","483,793,000","449,641,000","455,536,000","461,678,000","434,676,000","445,171,000","467,997,000","432,482,000","412,317,000","404,980,000","411,852,000","411,993,000","384,041,000","379,839,000","396,301,000","378,186,000","344,589,000","326,060,000","360,909,000","351,396,000","325,301,000","293,229,000","313,352,000","295,635,000","289,271,000","260,258,000","283,455,000","285,230,000","260,594,000","251,142,000","268,809,000","285,884,000","263,451,000","245,033,000","253,824,000","251,862,000","225,535,000","219,420,000","216,026,000","225,798,000","211,397,000","205,739,000","220,811,000","222,142,000","215,774,000","147,890,000","130,811,000","129,079,000","120,552,000","109,734,000","112,966,000","108,442,000","96,368,000","94,014,000","94,721,000","90,563,000","71,910,000","58,112,000","69,685,000","59,961,000","56,027,000","48,899,000","55,236,000","50,908,000","50,769,000","40,400,000","45,200,000","43,400,000","41,700,000","35,000,000","-1,600,000","54,200,000","51,800,000","42,800,000","40,500,000","38,900,000","33,700,000","28,400,000","31,200,000","28,900,000","26,800,000","22,200,000","24,800,000","25,200,000","23,800,000","23,200,000","24,300,000","23,900,000","24,500,000","22,900,000","22,200,000","24,500,000","23,700,000","22,400,000","21,900,000","19,300,000","11,300,000","10,700,000","10,200,000","9,000,000","9,000,000","7,300,000","13,300,000","11,500,000","13,200,000","10,300,000","13,400,000","10,700,000","14,400,000","14,300,000","160,100,000","138,300,000","153,300,000","159,600,000","243,500,000","171,100,000","119,200,000","93,700,000","139,900,000","131,100,000","103,900,000","85,400,000","99,400,000"
CostOfRevenue,"1,005,700,000","268,800,000","257,200,000","247,300,000","232,400,000","229,800,000","257,600,000","217,400,000","201,400,000","219,700,000","236,600,000","228,700,000","221,700,000","209,600,000","221,400,000","233,200,000","226,800,000","219,100,000","208,100,000","199,800,000","178,500,000","186,700,000","222,678,000","198,085,000","185,295,000","187,677,000","202,228,000","188,791,000","166,960,000","168,820,000","188,445,000","151,892,000","143,818,000","142,051,000","147,994,000","143,719,000","129,862,000","139,341,000","143,537,000","138,089,000","123,893,000","115,607,000","137,276,000","148,594,000","123,539,000","116,623,000","125,871,000","119,649,000","125,778,000","110,495,000","124,547,000","138,835,000","111,537,000","109,007,000","106,765,000","130,787,000","113,443,000","102,151,000","136,584,000","105,938,000","99,079,000","89,508,000","88,334,000","88,037,000","80,034,000","76,578,000","83,727,000","85,523,000","84,967,000","55,568,000","46,456,000","45,945,000","42,167,000","39,778,000","38,183,000","39,810,000","33,948,000","34,647,000","32,596,000","34,844,000","27,746,000","20,625,000","22,365,000","22,336,000","19,713,000","16,790,000","17,386,000","14,136,000","18,285,000","14,800,000","10,700,000","15,100,000","15,200,000","14,400,000","-26,700,000","27,500,000","26,100,000","24,800,000","17,300,000","20,400,000","17,500,000","15,700,000","14,100,000","15,500,000","14,600,000","13,300,000","13,600,000","14,700,000","14,400,000","14,300,000","16,900,000","14,800,000","15,200,000","14,400,000","12,600,000","15,400,000","15,700,000","14,800,000","20,100,000","4,500,000","4,800,000","4,700,000","4,900,000","4,100,000","4,000,000","3,000,000",,,,,,,,,,,,,,,,,,,,,
GrossProfit,"2,023,500,000","518,400,000","501,900,000","516,100,000","487,100,000","450,700,000","424,000,000","360,800,000","323,500,000","426,500,000","455,000,000","450,700,000","432,600,000","418,500,000","430,100,000","426,800,000","404,500,000","370,900,000","353,400,000","356,200,000","343,900,000","312,400,000","295,976,000","316,641,000","298,498,000","261,964,000","253,308,000","272,887,000","267,716,000","276,351,000","279,552,000","280,590,000","268,499,000","262,929,000","263,858,000","268,274,000","254,179,000","240,498,000","252,764,000","240,097,000","220,696,000","210,453,000","223,633,000","202,802,000","201,762,000","176,606,000","187,481,000","175,986,000","163,493,000","149,763,000","158,908,000","146,395,000","149,057,000","142,135,000","162,044,000","155,097,000","150,008,000","142,882,000","117,240,000","145,924,000","126,456,000","129,912,000","127,692,000","137,761,000","131,363,000","129,161,000","137,084,000","136,619,000","130,807,000","92,322,000","84,355,000","83,134,000","78,385,000","69,956,000","74,783,000","68,632,000","62,420,000","59,367,000","62,125,000","55,719,000","44,164,000","37,487,000","47,320,000","37,625,000","36,314,000","32,109,000","37,850,000","36,772,000","32,484,000","25,600,000","34,500,000","28,300,000","26,500,000","20,600,000","25,100,000","26,700,000","25,700,000","18,000,000","23,200,000","18,500,000","16,200,000","12,700,000","17,100,000","13,400,000","12,200,000","8,900,000","11,200,000","10,500,000","9,400,000","8,900,000","7,400,000","9,100,000","9,300,000","8,500,000","9,600,000","9,100,000","8,000,000","7,600,000","1,800,000","14,800,000","6,500,000","6,000,000","5,300,000","4,900,000","5,000,000","4,300,000",,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,520,300,000","387,600,000","373,400,000","415,500,000","343,900,000","317,300,000","323,900,000","288,800,000","294,900,000","315,400,000","308,000,000","308,500,000","304,700,000","307,600,000","307,400,000","311,200,000","305,400,000","280,700,000","244,900,000","243,400,000","226,800,000","221,700,000","221,795,000","213,969,000","208,667,000","204,568,000","211,055,000","222,576,000","196,718,000","203,243,000","240,177,000","184,025,000","179,575,000","181,307,000","180,753,000","174,666,000","172,706,000","157,593,000","168,784,000","162,847,000","155,256,000","148,725,000","157,012,000","156,915,000","141,506,000","121,813,000","124,977,000","124,576,000","124,412,000","112,421,000","116,494,000","112,008,000","107,850,000","106,401,000","114,542,000","123,880,000","121,016,000","122,108,000","118,442,000","120,194,000","113,083,000","112,285,000","106,735,000","99,833,000","-113,983,000","94,107,000","114,351,000","88,380,000","85,898,000","63,907,000","51,944,000","51,466,000","50,562,000","45,107,000","45,838,000","43,306,000","41,268,000","39,548,000","39,928,000","38,738,000","29,481,000","24,380,000","29,858,000","23,624,000","22,684,000","22,444,000","23,647,000","23,723,000","21,107,000","17,400,000","22,100,000","17,400,000","16,900,000","14,700,000","22,100,000","15,600,000","15,900,000","12,200,000","15,100,000","11,200,000","9,900,000","8,600,000","11,600,000","7,900,000","8,100,000","7,200,000","8,600,000","7,500,000","7,900,000","7,900,000","11,600,000","8,100,000","9,800,000","10,200,000","11,100,000","21,400,000","13,000,000","12,400,000","2,900,000","27,500,000","9,700,000","10,000,000","12,700,000","12,900,000","13,300,000","11,000,000",,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,269,100,000","319,100,000","311,600,000","352,500,000","285,800,000","261,200,000","264,200,000","232,800,000","237,200,000","258,300,000","249,600,000","249,800,000","246,800,000","250,000,000","248,600,000","251,000,000","247,900,000","225,900,000","208,500,000","208,700,000","193,300,000","188,600,000","189,132,000","182,403,000","177,659,000","173,604,000","179,642,000","191,783,000","167,583,000","173,535,000","208,020,000","161,203,000","155,804,000","158,088,000","157,248,000","152,141,000","150,693,000","136,569,000","147,363,000","143,830,000","136,962,000","131,748,000","139,685,000","133,617,000","126,382,000","113,453,000","109,874,000","111,265,000","111,340,000","100,578,000","102,858,000","100,038,000","93,705,000","94,992,000","101,256,000","110,639,000","107,529,000","109,880,000","104,974,000","104,521,000","100,934,000","97,523,000","94,757,000","90,039,000","88,600,000","84,446,000","78,352,000","80,095,000","79,317,000","60,189,000","49,408,000","49,012,000","48,877,000","43,237,000","43,867,000","41,518,000","39,590,000","37,877,000","38,291,000","37,055,000","28,171,000","23,215,000","27,720,000","21,112,000","20,600,000","20,338,000","20,623,000","18,717,000","19,320,000","16,800,000","15,900,000","16,000,000","15,500,000","14,200,000","16,000,000","14,100,000","14,500,000","11,700,000","11,100,000","10,200,000","9,100,000","8,000,000","8,100,000","7,300,000","7,600,000","6,700,000","5,500,000","6,700,000","6,900,000","6,600,000","11,200,000","7,000,000","8,400,000","8,800,000","6,300,000","21,400,000","12,800,000","12,200,000","2,000,000","27,300,000","9,600,000","9,700,000","12,400,000","12,600,000","13,000,000","10,800,000",,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"992,500,000",,"311,600,000","352,500,000","285,800,000",,"264,200,000","232,800,000",,"258,300,000","250,000,000","249,800,000","246,800,000","250,000,000","248,600,000","251,000,000","247,900,000","225,900,000","208,500,000","208,700,000","193,300,000","188,600,000","189,132,000","182,403,000","177,659,000","173,604,000","179,642,000","191,783,000","167,583,000","173,535,000","208,020,000","161,203,000","155,804,000","158,088,000","157,248,000","152,141,000","150,693,000","136,569,000","147,363,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-14,084,000","-5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"992,500,000",,"311,600,000","352,500,000","285,800,000",,"264,200,000","232,800,000",,"258,300,000","250,000,000","249,800,000","246,800,000","250,000,000","248,600,000","251,000,000","247,900,000","225,900,000","208,500,000","208,700,000","193,300,000","188,600,000","189,132,000","182,403,000","177,659,000","173,604,000","179,642,000","191,783,000","167,583,000","173,535,000","208,020,000","161,203,000","155,804,000","158,088,000","157,248,000","152,141,000","150,693,000","150,653,000","152,363,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"97,500,000","26,200,000","25,700,000","24,800,000","21,000,000","21,400,000","25,500,000","21,800,000","23,800,000","22,200,000","23,300,000","21,500,000","21,000,000","21,000,000","22,600,000","22,500,000","20,800,000","18,800,000","18,600,000","17,500,000","16,800,000","16,300,000","17,941,000","16,013,000","16,696,000","14,761,000","18,360,000","18,298,000","16,819,000","16,113,000","18,182,000","16,070,000","16,295,000","15,712,000","15,819,000","14,865,000","14,490,000","13,653,000","14,119,000","13,156,000","13,031,000","11,425,000","11,738,000","11,725,000","10,390,000","9,727,000","10,486,000","8,588,000","8,573,000","7,626,000","8,266,000","7,737,000","10,065,000","7,232,000","9,190,000","9,030,000","9,116,000","8,131,000","9,277,000","11,513,000","7,957,000","11,111,000","8,437,000","6,264,000","13,914,000","5,932,000","27,569,000","7,124,000","5,356,000","2,830,000","1,921,000","1,825,000","1,222,000","1,525,000","1,579,000","1,400,000","1,279,000","1,315,000","1,422,000","1,118,000","918,000","857,000","822,000","1,055,000","897,000","884,000","684,000","703,000","676,000","600,000","700,000","400,000","400,000","500,000","400,000","500,000","500,000","500,000","500,000","500,000","400,000","300,000","300,000","300,000","300,000","300,000","400,000","600,000","800,000","1,100,000",,"900,000","1,200,000","1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
