name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"45,828,000,000","15,120,000,000","11,326,000,000","9,556,000,000","9,826,000,000","5,491,000,000","4,386,000,000","2,749,000,000","6,158,000,000","7,708,000,000","7,756,000,000","7,953,000,000","9,150,000,000","9,666,000,000","9,449,000,000","8,504,000,000","8,798,000,000","8,119,000,000","6,688,000,000","6,781,000,000","7,518,000,000","6,809,000,000","6,415,000,000","5,348,000,000","5,121,000,000","6,293,000,000","7,262,000,000","8,293,000,000","7,716,000,000","11,208,000,000","12,080,000,000","13,821,000,000","15,415,000,000","13,254,000,000","13,643,000,000","13,350,000,000","14,166,000,000","12,666,000,000","14,680,000,000","14,637,000,000","57,134,000,000","61,787,000,000","62,331,000,000","65,801,000,000","57,230,000,000","51,726,000,000","47,208,000,000","45,686,000,000","45,762,000,000","43,625,000,000","41,305,000,000","36,630,000,000","31,280,000,000","44,904,000,000","71,373,000,000","73,353,000,000","54,883,000,000","54,298,000,000","47,933,000,000","49,397,000,000","41,320,000,000","21,590,000,000","49,585,000,000","48,476,000,000","47,927,000,000","67,965,000,000","44,453,000,000","42,614,000,000","38,918,000,000","52,145,000,000","30,662,000,000","31,886,000,000","30,217,000,000","22,339,000,000","22,913,000,000","25,595,000,000","27,077,000,000","24,825,000,000","13,781,000,000","11,614,000,000","8,350,000,000","8,775,000,000","5,545,000,000","4,965,000,000","4,904,000,000","5,800,000,000","5,225,000,000","5,434,000,000","4,768,000,000","4,313,000,000","3,769,000,000","3,231,000,000","2,539,000,000","2,678,000,000","2,913,000,000","3,000,000,000","3,254,000,000","3,772,000,000","3,895,000,000","3,763,000,000","3,994,000,000","4,333,000,000","3,897,000,000","3,975,000,000","3,602,000,000","3,346,000,000","3,415,000,000","3,636,000,000","3,124,000,000","3,068,000,000","3,347,000,000","3,028,000,000","2,924,000,000","2,990,000,000","3,192,000,000","3,280,000,000","3,083,000,000","3,157,000,000","3,134,000,000","3,090,000,000","2,759,000,000","3,372,000,000","3,109,000,000","3,254,000,000","3,524,000,000","4,437,000,000","3,426,000,000","2,980,000,000","3,132,000,000","3,146,000,000","3,030,000,000","3,299,000,000","3,102,000,000","2,860,000,000","2,850,000,000","2,881,000,000","2,900,000,000","2,736,000,000","2,764,000,000","2,609,000,000","2,491,000,000","2,146,000,000","2,190,000,000","2,339,000,000","3,113,000,000","3,739,000,000","3,987,500,000"
	OperatingRevenue,"45,828,000,000","15,120,000,000","11,326,000,000","9,556,000,000","9,826,000,000","5,491,000,000","4,386,000,000","2,749,000,000","6,158,000,000","7,708,000,000","7,756,000,000","7,953,000,000","9,150,000,000","9,666,000,000","9,449,000,000","8,504,000,000","8,798,000,000","8,119,000,000","6,688,000,000","6,781,000,000","7,518,000,000","6,809,000,000","6,415,000,000","5,348,000,000","5,121,000,000","6,293,000,000","7,262,000,000","8,293,000,000","7,716,000,000","11,208,000,000","12,080,000,000","13,821,000,000","15,415,000,000","13,254,000,000","13,643,000,000","13,350,000,000","14,166,000,000","14,307,000,000","14,562,000,000","14,054,000,000","56,192,000,000","62,001,000,000","62,811,000,000","65,723,000,000","56,530,000,000","51,726,000,000","47,208,000,000","45,686,000,000","44,894,000,000","40,644,000,000","41,305,000,000","35,448,000,000","30,741,000,000","44,504,000,000","70,044,000,000","71,411,000,000","54,883,000,000","52,685,000,000","46,062,000,000","43,301,000,000","41,320,000,000","25,447,000,000","48,076,000,000","47,149,000,000","42,916,000,000","47,006,000,000","44,453,000,000","37,470,000,000","33,476,000,000","35,140,000,000","30,258,000,000","27,343,000,000","25,978,000,000","22,207,000,000","22,525,000,000","21,960,000,000","23,794,000,000","18,355,000,000","13,622,000,000","10,367,000,000","8,324,000,000","8,799,000,000","5,534,000,000","4,849,000,000","4,868,000,000","5,660,000,000","5,109,000,000","5,331,000,000","4,735,000,000","4,239,000,000","3,739,000,000","3,172,000,000","2,421,000,000","2,598,000,000","2,890,000,000","2,964,000,000","3,093,000,000","3,713,000,000","3,844,000,000","3,709,000,000","3,944,000,000","4,347,000,000","3,852,000,000","3,937,000,000","3,595,000,000","3,321,000,000","3,369,000,000","3,591,000,000","3,087,000,000","3,017,000,000","3,315,000,000","2,995,000,000","2,884,000,000","2,990,000,000","3,192,000,000","3,280,000,000","3,083,000,000","3,157,000,000","3,134,000,000","3,090,000,000","2,759,000,000","3,372,000,000","3,109,000,000","3,254,000,000","3,524,000,000","4,437,000,000","3,426,000,000","2,980,000,000","3,132,000,000","3,146,000,000","3,030,000,000","3,299,000,000","3,102,000,000","2,860,000,000","2,850,000,000","2,881,000,000","2,900,000,000","2,736,000,000","2,764,000,000","2,609,000,000","2,491,000,000","2,146,000,000","2,190,000,000","2,339,000,000","3,113,000,000","3,739,000,000","3,987,500,000"
CostOfRevenue,"31,060,000,000","9,824,000,000","7,240,000,000","6,244,000,000","7,752,000,000","5,150,000,000","4,213,000,000","3,335,000,000","5,245,000,000","5,573,000,000","5,607,000,000","5,582,000,000","6,492,000,000","6,960,000,000","6,391,000,000","5,815,000,000","6,297,000,000","6,392,000,000","5,758,000,000","5,874,000,000","6,469,000,000","6,351,000,000","6,770,000,000","5,776,000,000","5,826,000,000","6,654,000,000","7,374,000,000","7,357,000,000","7,170,000,000","9,988,000,000","8,840,000,000","9,595,000,000","10,914,000,000","9,390,000,000","9,572,000,000","9,025,000,000","9,328,000,000","15,059,000,000","8,147,000,000","7,641,000,000","44,585,000,000","48,529,000,000","50,365,000,000","52,739,000,000","45,004,000,000","43,213,000,000","38,880,000,000","36,987,000,000","34,048,000,000","32,744,000,000","30,542,000,000","27,182,000,000","22,304,000,000","32,114,000,000","52,934,000,000","54,613,000,000","40,511,000,000","37,307,000,000","33,700,000,000","33,636,000,000","29,469,000,000","28,700,000,000","33,388,000,000","32,276,000,000","35,782,000,000","39,032,000,000","36,630,000,000","30,791,000,000","27,695,000,000","29,736,000,000","24,911,000,000","22,369,000,000","21,547,000,000","18,522,000,000","18,551,000,000","18,417,000,000","19,451,000,000","15,545,000,000","11,759,000,000","8,546,000,000","7,115,000,000","7,336,000,000","4,060,000,000","2,985,000,000","3,146,000,000","3,637,000,000","3,479,000,000","3,826,000,000","3,653,000,000","3,249,000,000","2,826,000,000","2,456,000,000","1,904,000,000","2,284,000,000","2,278,000,000","2,183,000,000","2,303,000,000","2,841,000,000","2,877,000,000","2,841,000,000","3,009,000,000","3,372,000,000","2,989,000,000","3,075,000,000","2,792,000,000","2,647,000,000","2,659,000,000","2,847,000,000","2,370,000,000","2,388,000,000","2,662,000,000","2,413,000,000","2,247,000,000","2,435,000,000","2,594,000,000","2,549,000,000","2,398,000,000","2,448,000,000","2,530,000,000","2,368,000,000","2,166,000,000","2,692,000,000","2,478,000,000","2,602,000,000","2,561,000,000","3,413,000,000","2,571,000,000","2,207,000,000","2,399,000,000","2,537,000,000","2,302,000,000",,,,,,,,,,,,,,,,
GrossProfit,"14,768,000,000","5,296,000,000","4,086,000,000","3,312,000,000","2,074,000,000","341,000,000","173,000,000","-586,000,000","913,000,000","2,135,000,000","2,149,000,000","2,371,000,000","2,658,000,000","2,706,000,000","3,058,000,000","2,689,000,000","2,501,000,000","1,727,000,000","930,000,000","907,000,000","1,049,000,000","458,000,000","-355,000,000","-428,000,000","-705,000,000","-361,000,000","-112,000,000","936,000,000","546,000,000","1,220,000,000","3,240,000,000","4,226,000,000","4,501,000,000","3,864,000,000","4,071,000,000","4,325,000,000","4,838,000,000","-2,393,000,000","6,533,000,000","6,996,000,000","12,549,000,000","13,258,000,000","11,966,000,000","13,062,000,000","12,226,000,000","8,513,000,000","8,328,000,000","8,699,000,000","11,714,000,000","10,881,000,000","10,763,000,000","9,448,000,000","8,976,000,000","12,790,000,000","18,439,000,000","18,740,000,000","14,372,000,000","16,991,000,000","14,233,000,000","15,761,000,000","11,851,000,000","-7,110,000,000","16,197,000,000","16,200,000,000","12,145,000,000","28,933,000,000","7,823,000,000","11,823,000,000","11,223,000,000","22,409,000,000","5,751,000,000","9,517,000,000","8,670,000,000","3,817,000,000","4,362,000,000","7,178,000,000","7,626,000,000","9,280,000,000","2,022,000,000","3,068,000,000","1,235,000,000","1,439,000,000","1,485,000,000","1,980,000,000","1,758,000,000","2,163,000,000","1,746,000,000","1,608,000,000","1,115,000,000","1,064,000,000","943,000,000","775,000,000","635,000,000","394,000,000","635,000,000","817,000,000","951,000,000","931,000,000","1,018,000,000","922,000,000","985,000,000","961,000,000","908,000,000","900,000,000","810,000,000","699,000,000","756,000,000","789,000,000","754,000,000","680,000,000","685,000,000","615,000,000","677,000,000","555,000,000","598,000,000","731,000,000","685,000,000","709,000,000","604,000,000","722,000,000","593,000,000","680,000,000","631,000,000","652,000,000","963,000,000","1,024,000,000","855,000,000","773,000,000","733,000,000","609,000,000","728,000,000",,,,,,,,,,,,,,,,
OperatingExpense,"2,697,000,000","781,000,000","596,000,000","555,000,000","765,000,000","1,412,000,000","400,000,000","394,000,000","435,000,000","585,000,000","684,000,000","445,000,000","538,000,000","447,000,000","534,000,000","460,000,000","429,000,000","557,000,000","382,000,000","430,000,000","939,000,000","711,000,000","821,000,000","974,000,000","871,000,000","2,629,000,000","1,560,000,000","992,000,000","865,000,000","1,237,000,000","1,155,000,000","1,347,000,000","1,129,000,000","1,254,000,000","1,226,000,000","1,156,000,000","1,334,000,000","-3,853,000,000","3,026,000,000","3,037,000,000","7,723,000,000","7,412,000,000","7,181,000,000","7,683,000,000","7,109,000,000","5,219,000,000","4,972,000,000","4,898,000,000","7,218,000,000","7,298,000,000","7,328,000,000","6,639,000,000","6,525,000,000","8,229,000,000","8,493,000,000","8,603,000,000","8,199,000,000","9,155,000,000","7,204,000,000","3,248,000,000","6,925,000,000","-8,894,000,000","7,640,000,000","6,996,000,000","2,143,000,000","1,915,000,000","2,021,000,000","1,850,000,000","1,913,000,000","1,641,000,000","1,925,000,000","1,681,000,000","1,674,000,000","1,890,000,000","1,768,000,000","1,708,000,000","1,660,000,000","1,590,000,000","1,533,000,000","1,015,000,000","1,054,000,000","964,000,000","674,000,000","656,000,000","636,000,000","626,000,000","589,000,000","587,000,000","481,000,000","456,000,000","432,000,000","454,000,000","456,000,000","821,000,000","457,000,000","451,000,000","440,000,000","467,000,000","486,000,000","386,000,000","418,000,000","487,000,000","406,000,000","388,000,000","433,000,000","391,000,000","394,000,000","457,000,000","395,000,000","380,000,000","401,000,000","377,000,000","385,000,000","465,000,000","398,000,000","428,000,000","430,000,000","400,000,000","423,000,000","396,000,000","520,000,000","798,000,000","417,000,000","394,000,000","409,000,000","389,000,000","403,000,000","376,000,000","410,000,000","647,000,000","384,000,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"719,000,000","163,000,000","128,000,000","117,000,000","311,000,000","181,000,000","96,000,000","156,000,000","-3,000,000","187,000,000","87,000,000","129,000,000","153,000,000","65,000,000","119,000,000","118,000,000","99,000,000","138,000,000","132,000,000","134,000,000","157,000,000","167,000,000","203,000,000","167,000,000","186,000,000","283,000,000","293,000,000","218,000,000","159,000,000","132,000,000","203,000,000","218,000,000","182,000,000","247,000,000","249,000,000","193,000,000","165,000,000","214,000,000","330,000,000","235,000,000","685,000,000","599,000,000","466,000,000","514,000,000","499,000,000","630,000,000","493,000,000","438,000,000","444,000,000","452,000,000","427,000,000","476,000,000","475,000,000","1,898,000,000","513,000,000","629,000,000","835,000,000","1,613,000,000","569,000,000","604,000,000","527,000,000","650,000,000","650,000,000","610,000,000","566,000,000","391,000,000","658,000,000","539,000,000","539,000,000","286,000,000","730,000,000","513,000,000","464,000,000","776,000,000","683,000,000","624,000,000","509,000,000","601,000,000","758,000,000","423,000,000","472,000,000","377,000,000","236,000,000","173,000,000","160,000,000","139,000,000","134,000,000","178,000,000","185,000,000","166,000,000","150,000,000","174,000,000","175,000,000","223,000,000","135,000,000","139,000,000","144,000,000","164,000,000","171,000,000","135,000,000","161,000,000","116,000,000","132,000,000","135,000,000","126,000,000","137,000,000","142,000,000","107,000,000","114,000,000","113,000,000","139,000,000","116,000,000","110,000,000","161,000,000","119,000,000","152,000,000","165,000,000","121,000,000","134,000,000","116,000,000","238,000,000","140,000,000","139,000,000","135,000,000","148,000,000","154,000,000","133,000,000","115,000,000","138,000,000","147,000,000","130,000,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,699,000,000","1,626,000,000","1,838,000,000","1,919,000,000","1,870,000,000","2,075,000,000","2,070,000,000",,"2,246,000,000","2,318,000,000","2,318,000,000","2,391,000,000","2,327,000,000","2,347,000,000","2,230,000,000","2,264,000,000","2,361,000,000","2,178,000,000","2,209,000,000","2,206,000,000","2,052,000,000","2,016,000,000","2,024,000,000","2,002,000,000","2,137,000,000","1,965,000,000","1,180,000,000","1,178,000,000","1,049,000,000","985,000,000","1,041,000,000","1,030,000,000","938,000,000","912,000,000","918,000,000","911,000,000","858,000,000","847,000,000","877,000,000","815,000,000","587,000,000","419,000,000","415,000,000","446,000,000","304,000,000","333,000,000","322,000,000","331,000,000","316,000,000","298,000,000","234,000,000","231,000,000","229,000,000","222,000,000","220,000,000","549,000,000","270,000,000","252,000,000","231,000,000","241,000,000","250,000,000","189,000,000","183,000,000","308,000,000","205,000,000","187,000,000","241,000,000","189,000,000","190,000,000","281,000,000","211,000,000","198,000,000","191,000,000","201,000,000","204,000,000","240,000,000","207,000,000","200,000,000","194,000,000","206,000,000","209,000,000","201,000,000","204,000,000","590,000,000","214,000,000","194,000,000","192,000,000","172,000,000","217,000,000","209,000,000","210,000,000","464,000,000","209,000,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,264,000,000","2,361,000,000","2,178,000,000","2,209,000,000","2,206,000,000","2,052,000,000","2,016,000,000","2,024,000,000","2,002,000,000","2,137,000,000","1,965,000,000","1,180,000,000","1,178,000,000","1,049,000,000","985,000,000","1,041,000,000","1,030,000,000","938,000,000","912,000,000","918,000,000","911,000,000","858,000,000","847,000,000","877,000,000","815,000,000","587,000,000","419,000,000","415,000,000","446,000,000","304,000,000","333,000,000","322,000,000","331,000,000","316,000,000","298,000,000","234,000,000","231,000,000","229,000,000","222,000,000","220,000,000","549,000,000","270,000,000","252,000,000","231,000,000","241,000,000","250,000,000","189,000,000","183,000,000","308,000,000","205,000,000","187,000,000","241,000,000","189,000,000","190,000,000","281,000,000","211,000,000","198,000,000","191,000,000","201,000,000","204,000,000","240,000,000","207,000,000","200,000,000","194,000,000","206,000,000","209,000,000","201,000,000","204,000,000","590,000,000","214,000,000","194,000,000","192,000,000","172,000,000","217,000,000","209,000,000","210,000,000","464,000,000","209,000,000",,,,,,,,,,,,,,,,
	OtherTaxes,"1,634,000,000","480,000,000","403,000,000","381,000,000","370,000,000","184,000,000","179,000,000","141,000,000","250,000,000","247,000,000","237,000,000","194,000,000","275,000,000","280,000,000","312,000,000","273,000,000","183,000,000","205,000,000","175,000,000","198,000,000","231,000,000","201,000,000","161,000,000","197,000,000","180,000,000","246,000,000","206,000,000","225,000,000","224,000,000","332,000,000","493,000,000","612,000,000","651,000,000","686,000,000","664,000,000","642,000,000","892,000,000","863,000,000","676,000,000","906,000,000","4,521,000,000","4,534,000,000","4,579,000,000","4,830,000,000","4,364,000,000","4,282,000,000","4,227,000,000","4,247,000,000","4,037,000,000","4,145,000,000","4,205,000,000","3,715,000,000","3,464,000,000","4,067,000,000","5,619,000,000","5,796,000,000","5,155,000,000","5,336,000,000","4,583,000,000","628,000,000","4,374,000,000","-11,546,000,000","4,853,000,000","4,421,000,000","397,000,000","346,000,000","314,000,000","326,000,000","333,000,000","325,000,000","257,000,000","256,000,000","292,000,000","203,000,000","227,000,000","237,000,000","274,000,000","174,000,000","188,000,000","173,000,000","167,000,000","141,000,000","134,000,000","150,000,000","154,000,000","156,000,000","139,000,000","111,000,000","62,000,000","59,000,000","53,000,000","58,000,000","61,000,000","49,000,000","52,000,000","60,000,000","65,000,000","62,000,000","65,000,000","62,000,000","74,000,000","63,000,000","69,000,000","66,000,000","66,000,000","65,000,000","62,000,000","69,000,000","70,000,000","69,000,000","71,000,000","60,000,000","71,000,000","64,000,000","72,000,000","76,000,000","71,000,000","73,000,000","80,000,000","79,000,000","78,000,000","68,000,000","64,000,000","65,000,000","69,000,000","63,000,000","53,000,000","52,000,000","62,000,000","36,000,000","45,000,000",,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"344,000,000","138,000,000","65,000,000","57,000,000","84,000,000","1,047,000,000","125,000,000","97,000,000","188,000,000","151,000,000","360,000,000","122,000,000","110,000,000","102,000,000","103,000,000","69,000,000","147,000,000","214,000,000","75,000,000","98,000,000","551,000,000","343,000,000","457,000,000","610,000,000","505,000,000","2,100,000,000","1,061,000,000","549,000,000","482,000,000","773,000,000","459,000,000","517,000,000","296,000,000","321,000,000","313,000,000","321,000,000","277,000,000","18,000,000","321,000,000","270,000,000","679,000,000","360,000,000","266,000,000","264,000,000","176,000,000","307,000,000","252,000,000","213,000,000","419,000,000","310,000,000","369,000,000","101,000,000","356,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
