name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993
TotalRevenue,"3,160,132,000","867,460,000","810,132,000","748,630,000","733,910,000","617,031,000","592,940,000","525,659,000","550,360,000","575,140,000","554,424,000","542,575,000","553,116,000","484,898,000","461,368,000","449,223,000","478,198,000","459,106,000","419,168,000","378,596,000","373,862,000","349,532,000","345,991,000","332,659,000","347,246,000","299,706,000","288,838,000","282,293,000","297,142,000","276,258,000","290,386,000","287,450,000","309,722,000","286,434,000","279,883,000","263,697,000","277,638,000","266,185,000","238,866,000","226,556,000","244,105,000","227,904,000","225,626,000","215,442,000","236,755,000","207,380,000","212,667,000","190,468,000","220,349,000","176,601,000","185,461,000","184,332,000","197,326,000","169,855,000","191,569,000","206,282,000","221,150,000","173,459,000","183,957,000","153,982,000","145,652,000","128,925,000","132,121,000","137,220,000","149,512,000","125,099,000","119,025,000","112,561,000","130,426,000","110,014,500","104,109,900","100,076,300","116,618,400","92,635,000","91,466,600","87,216,100","93,928,700","82,783,400","83,494,900","82,632,700","90,158,100","71,382,300","72,282,500","68,631,100","71,480,600","56,638,200","57,139,400","51,327,300","53,801,200","44,400,000","40,500,000","39,500,000","40,000,000","32,100,000","30,200,000","30,000,000","30,600,000","26,200,000","27,500,000","29,600,000","33,800,000","30,400,000","32,500,000","31,400,000","34,300,000","26,100,000","26,400,000","21,400,000","16,000,000","11,000,000","9,700,000","7,600,000","6,600,000","4,300,000","4,300,000"
	OperatingRevenue,"3,160,132,000","867,460,000","810,132,000","748,630,000","733,910,000","617,031,000","592,940,000","525,659,000","550,360,000","575,140,000","554,424,000","542,575,000","553,116,000","484,898,000","461,368,000","449,223,000","478,198,000","459,106,000","419,168,000","378,596,000","373,862,000","349,532,000","345,991,000","332,659,000","347,246,000","299,706,000","288,838,000","282,293,000","297,142,000","276,258,000","290,386,000","287,450,000","309,722,000","286,434,000","279,883,000","263,697,000","277,638,000","266,185,000","238,866,000","226,556,000","244,105,000","227,904,000","225,626,000","215,442,000","236,755,000","207,380,000","212,667,000","190,468,000","220,349,000","176,601,000","185,461,000","184,332,000","197,326,000","169,855,000","191,569,000","206,282,000","221,150,000","173,459,000","183,957,000","153,982,000","145,652,000","128,925,000","132,121,000","137,220,000","149,512,000","125,099,000","119,025,000","112,561,000","130,426,000","110,014,500","104,109,900","100,076,300","116,618,400","92,635,000","91,466,600","87,216,100","93,928,700","82,783,400","83,494,900","82,632,700","90,158,100","71,382,300","72,282,500","68,631,100","71,480,600","56,638,200","57,139,400","51,327,300","53,801,200","44,400,000","40,500,000","39,500,000","40,000,000","32,100,000","30,200,000","30,000,000","30,600,000","26,200,000","27,500,000","29,600,000","33,800,000","30,400,000","32,500,000","31,400,000","34,300,000","26,100,000","26,400,000","21,400,000","16,000,000","11,000,000","9,700,000","7,600,000","6,600,000","4,300,000","4,300,000"
CostOfRevenue,"1,632,936,000","464,118,000","425,102,000","391,147,000","352,569,000","309,533,000","296,171,000","275,228,000","307,747,000","315,251,000","299,555,000","299,956,000","301,537,000","276,672,000","265,450,000","260,798,000","259,130,000","267,497,000","255,904,000","211,131,000","201,357,000","202,767,000","200,698,000","191,195,000","189,599,000","175,092,000","167,977,000","163,509,000","169,725,000","161,391,000","168,078,000","170,511,000","177,470,000","174,888,000","172,047,000","160,625,000","162,041,000","169,368,000","133,430,000","127,130,000","128,836,000","128,208,000","130,401,000","125,856,000","127,848,000","121,475,000","123,813,000","104,244,000","119,851,000","97,914,000","102,876,000","104,402,000","111,859,000","102,563,000","111,999,000","119,189,000","132,984,000","104,851,000","102,217,000","82,465,000","72,665,000","68,536,000","70,231,000","74,244,000","80,048,000","74,524,000","70,969,000","82,410,000","61,947,000","54,536,200","52,724,300","49,097,300","58,053,000","50,142,000","51,661,900","51,331,300","55,012,300","48,197,600","47,568,500","47,574,500","53,013,700","43,132,600","43,231,500","39,363,300","43,209,600","34,123,200","35,356,200","30,937,200","33,761,500","27,400,000","24,600,000","24,200,000","24,600,000","19,100,000","18,600,000","18,600,000","18,700,000","16,200,000","18,000,000","20,200,000","24,000,000","20,900,000","24,400,000","22,600,000","25,500,000","17,100,000","18,300,000","14,100,000","10,700,000","6,800,000","6,200,000","7,200,000","3,500,000",,
GrossProfit,"1,527,196,000","403,342,000","385,030,000","357,483,000","381,341,000","307,498,000","296,769,000","250,431,000","242,613,000","259,889,000","254,869,000","242,619,000","251,579,000","208,226,000","195,918,000","188,425,000","219,068,000","191,609,000","163,264,000","167,465,000","172,505,000","146,765,000","145,293,000","141,464,000","157,647,000","124,614,000","120,861,000","118,784,000","127,417,000","114,867,000","122,308,000","116,939,000","132,252,000","111,546,000","107,836,000","103,072,000","115,597,000","96,817,000","105,436,000","99,426,000","115,269,000","99,696,000","95,225,000","89,586,000","108,907,000","85,905,000","88,854,000","86,224,000","100,498,000","78,687,000","82,585,000","79,930,000","85,467,000","67,292,000","79,570,000","87,093,000","88,166,000","68,608,000","81,740,000","71,517,000","72,987,000","60,389,000","61,890,000","62,976,000","69,464,000","50,575,000","48,056,000","30,151,000","68,479,000","55,478,300","51,385,600","50,979,000","58,565,400","42,493,000","39,804,700","35,884,800","38,916,400","34,585,800","35,926,400","35,058,200","37,144,400","28,249,700","29,051,000","29,267,800","28,271,000","22,515,000","21,783,200","20,390,100","20,039,700","17,000,000","15,900,000","15,300,000","15,400,000","13,000,000","11,600,000","11,400,000","11,900,000","10,000,000","9,500,000","9,400,000","9,800,000","9,500,000","8,100,000","8,800,000","8,800,000","9,000,000","8,100,000","7,300,000","5,300,000","4,200,000","3,500,000","400,000","3,100,000",,
OperatingExpense,"220,136,000","56,014,000","54,909,000","55,983,000","53,230,000","49,277,000","48,175,000","44,716,000","47,512,000","49,997,000","49,478,000","49,817,000","44,085,000","43,487,000","44,478,000","52,457,000","44,449,000","40,662,000","39,322,000","37,293,000","35,717,000","37,885,000","40,469,000","35,273,000","35,699,000","32,529,000","34,615,000","32,019,000","32,650,000","34,399,000","39,907,000","41,081,000","40,515,000","40,062,000","42,877,000","40,020,000","32,784,000","34,047,000","31,079,000","29,932,000","27,325,000","27,386,000","29,849,000","26,131,000","26,863,000","25,710,000","29,260,000","29,004,000","28,372,000","25,455,000","26,093,000","24,541,000","20,587,000","21,723,000","20,085,000","21,721,000","19,482,000","21,373,000","25,113,000","17,657,000","15,758,000","15,225,000","14,997,000","15,779,000","16,113,000","13,560,000","13,830,000","-7,264,000","20,726,000","18,854,700","16,317,900","16,917,000","18,166,900","16,673,000","15,517,600","14,873,700","14,307,700","12,839,000","12,228,900","10,752,800","11,133,300","9,090,600","8,587,200","8,998,900","9,190,900","7,694,000","7,836,200","7,396,700","6,932,300","6,700,000","6,100,000","5,500,000","5,700,000","5,500,000","5,300,000","4,600,000","5,200,000","4,600,000","4,600,000","4,700,000","4,500,000","4,500,000","4,400,000","4,700,000","4,300,000","4,000,000","3,800,000","3,800,000","2,200,000","1,700,000","1,500,000","-1,500,000","2,000,000",,
	SellingGeneralAndAdministration,"220,136,000","56,014,000","54,909,000","55,983,000","53,230,000","49,277,000","48,175,000","44,716,000","47,512,000","49,997,000","49,478,000","49,817,000","44,085,000","43,487,000","44,478,000","52,457,000","44,449,000","40,662,000","39,322,000","37,293,000","35,717,000","37,885,000","40,469,000","35,273,000","35,699,000","32,529,000","34,615,000","32,019,000","32,650,000","34,399,000","39,907,000","41,081,000","40,515,000","40,062,000","42,877,000","40,020,000","32,784,000","34,047,000","31,079,000","29,932,000","27,325,000","27,386,000","29,849,000","26,131,000","26,863,000","25,710,000","29,260,000","29,004,000","28,372,000","25,455,000","26,093,000","24,541,000","20,587,000","21,723,000","20,085,000","21,721,000","19,482,000","21,373,000","25,113,000","17,657,000","15,758,000","15,225,000","14,997,000","15,779,000","16,113,000","13,560,000","13,830,000","16,990,000","11,672,000","11,259,900","8,712,600","9,241,500","10,515,200","8,591,000","8,118,000","7,720,500","7,909,400","6,475,800","6,598,100","5,846,000","6,892,300","5,403,900","5,113,400","5,082,200","5,587,600","4,234,100","4,466,100","4,323,800","4,017,300","4,000,000","3,300,000","2,900,000","3,200,000","3,100,000","3,000,000","2,600,000","3,300,000","2,700,000","2,700,000","2,700,000","2,600,000","2,700,000","2,600,000","3,100,000","2,800,000","2,600,000","2,400,000","2,400,000","1,500,000","1,000,000","900,000","800,000","700,000",,
		GeneralAndAdministrativeExpense,"220,136,000","56,014,000","54,909,000","55,983,000","53,230,000","49,277,000","48,175,000","44,716,000","47,512,000","49,997,000","49,478,000","49,817,000","44,085,000","43,487,000","44,478,000","52,457,000","44,449,000","40,662,000","39,322,000","37,293,000","35,717,000","37,885,000","40,469,000","35,273,000","35,699,000","32,529,000","34,615,000","32,019,000","32,650,000","34,399,000","39,907,000","41,081,000","40,515,000","40,062,000","42,877,000","40,020,000","32,784,000","34,047,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,"8,247,000","8,471,000","13,234,000","7,966,000","7,051,000","7,382,000","4,309,000","4,113,000","4,704,000","4,441,000","4,275,000","4,299,000","4,691,000","4,989,000","5,024,000","4,883,000","4,990,000","4,454,000","4,446,000",,"4,712,000","4,284,000","4,436,000",,"4,710,000","4,728,000","4,369,000",,"3,955,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"220,136,000","56,014,000","54,909,000","55,983,000","53,230,000","49,277,000","48,175,000","44,716,000","47,512,000","49,997,000","49,478,000","49,817,000","44,085,000","43,487,000","44,478,000","52,457,000","44,449,000","40,662,000","39,322,000","37,293,000","35,717,000","37,885,000","40,469,000","35,273,000","35,699,000","32,529,000","34,615,000","32,019,000","32,650,000","34,399,000","39,907,000","41,081,000","40,515,000","40,062,000","42,877,000","40,020,000","32,784,000","34,047,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,"5,013,000","5,323,000","3,097,000","6,090,000","6,212,000","5,655,000","5,764,000","6,382,000","6,051,000","6,194,000","5,770,000","5,714,000","5,560,000","4,684,000","4,639,000","5,385,000","5,978,000","5,366,000","3,029,000",,"5,498,000","5,261,000","4,276,000",,"3,443,000","3,176,000","3,010,000",,"2,857,000","2,870,000","4,825,000","4,659,000","3,615,000","4,409,000","4,238,000","4,034,000","3,949,000","3,741,000","3,528,000","3,723,000","3,970,000","3,893,000","2,394,000",,,,,,,,,,,,,,,,,,,,,,,,,"9,054,000","7,594,800","7,605,300","7,675,500","7,651,700","8,082,000","7,399,600","7,152,700","6,398,300","6,363,200","5,630,800","4,906,800","4,241,000","3,686,700","3,473,800","3,916,700","3,603,300","3,459,900","3,370,100","3,072,900","2,915,000","2,700,000","2,800,000","2,600,000","2,500,000","2,400,000","2,300,000","2,000,000","1,900,000","1,900,000","1,900,000","2,000,000","1,900,000","1,800,000","1,800,000","1,600,000","1,500,000","1,400,000","1,400,000","1,400,000","700,000","700,000","600,000","-2,300,000","1,300,000",,
