name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003
TotalRevenue,"26,492,000,000","7,326,000,000","6,863,000,000","6,340,000,000","5,963,000,000","5,817,000,000","5,419,000,000","5,151,000,000","4,865,000,000","4,851,000,000","4,513,000,000","3,997,000,000","3,737,000,000","3,603,000,000","3,392,000,000","3,281,000,000","3,006,000,000","2,851,003,000","2,679,841,000","2,561,589,000","2,387,579,000","2,293,988,000","2,144,775,000","2,036,618,000","1,916,603,000","1,809,398,000","1,711,967,000","1,634,684,000","1,511,167,000","1,444,608,000","1,383,655,000","1,318,551,000","1,226,772,000","1,145,242,000","1,076,034,000","957,094,000","892,633,000","834,681,000","788,398,000","731,649,000","695,467,000","631,913,000","584,260,000","546,002,000","504,364,000","456,867,000","429,087,000","394,372,000","376,813,000","354,049,000","330,549,000","316,061,000","304,924,000","289,583,000","276,487,000","263,077,000","247,622,000","216,906,000","192,803,000","176,579,000","162,412,000","144,222,000","130,053,000","118,137,000","104,686,000","91,064,000","82,673,000","71,943,000","64,177,000","54,594,000","46,361,000","40,581,000","34,839,000","24,005,000","24,006,000","24,006,000","18,913,000"
	OperatingRevenue,"26,492,000,000","7,326,000,000","6,863,000,000","6,340,000,000","5,963,000,000","5,817,000,000","5,419,000,000","5,151,000,000","4,865,000,000","4,851,000,000","4,513,000,000","3,997,000,000","3,737,000,000","3,603,000,000","3,392,000,000","3,281,000,000","3,006,000,000","2,851,003,000","2,679,841,000","2,561,589,000","2,387,579,000","2,293,988,000","2,144,775,000","2,036,618,000","1,916,603,000","1,809,398,000","1,711,967,000","1,634,684,000","1,511,167,000","1,444,608,000","1,383,655,000","1,318,551,000","1,226,772,000","1,145,242,000","1,076,034,000","957,094,000","892,633,000","834,681,000","788,398,000","731,649,000","695,467,000","631,913,000","584,260,000","546,002,000","504,364,000","456,867,000","429,087,000","394,372,000","376,813,000","354,049,000","330,549,000","316,061,000","304,924,000","289,583,000","276,487,000","263,077,000","247,622,000","216,906,000","192,803,000","176,579,000","162,412,000","144,222,000","130,053,000","118,137,000","104,686,000","91,064,000","82,673,000","71,943,000","64,177,000","54,594,000","46,361,000","40,581,000","34,839,000","24,005,000","24,006,000","24,006,000","18,913,000"
CostOfRevenue,"7,026,000,000","2,014,000,000","1,844,000,000","1,613,000,000","1,555,000,000","1,479,000,000","1,394,000,000","1,311,000,000","1,254,000,000","1,220,000,000","1,134,000,000","967,000,000","914,000,000","946,000,000","889,000,000","849,000,000","767,000,000","737,792,000","714,508,000","670,667,000","650,555,000","625,957,000","585,522,000","525,579,000","496,981,000","443,679,000","423,683,000","405,384,000","381,802,000","355,923,000","333,211,000","307,831,000","292,305,000","273,530,000","268,187,000","217,717,000","208,994,000","183,362,000","186,248,000","162,418,000","151,551,000","136,345,000","128,565,000","120,910,000","103,066,000","92,311,000","82,131,000","77,790,000","71,581,000","68,059,000","65,570,000","62,496,000","61,800,000","58,734,000","56,348,000","54,091,000","51,298,000","46,731,000","44,281,000","41,412,000","39,167,000","33,839,000","31,360,000","29,131,000","24,560,000","21,340,000","19,584,000","16,237,000","11,965,000","10,004,000","8,905,000","8,182,000","6,363,000",,,,"3,355,000"
GrossProfit,"19,466,000,000","5,312,000,000","5,019,000,000","4,727,000,000","4,408,000,000","4,338,000,000","4,025,000,000","3,840,000,000","3,611,000,000","3,631,000,000","3,379,000,000","3,030,000,000","2,823,000,000","2,657,000,000","2,503,000,000","2,432,000,000","2,239,000,000","2,113,211,000","1,965,333,000","1,890,922,000","1,737,024,000","1,668,031,000","1,559,253,000","1,511,039,000","1,419,622,000","1,365,719,000","1,288,284,000","1,229,300,000","1,129,365,000","1,088,685,000","1,050,444,000","1,010,720,000","934,467,000","871,712,000","807,847,000","739,377,000","683,639,000","651,319,000","602,150,000","569,231,000","543,916,000","495,568,000","455,695,000","425,092,000","401,298,000","364,556,000","346,956,000","316,582,000","305,232,000","285,990,000","264,979,000","253,565,000","243,124,000","230,849,000","220,139,000","208,986,000","196,324,000","170,175,000","148,522,000","135,167,000","123,245,000","110,383,000","98,693,000","89,006,000","80,126,000","69,724,000","63,089,000","55,706,000","52,212,000","44,590,000","37,456,000","32,399,000","28,476,000",,,,"15,558,000"
OperatingExpense,"18,918,000,000","5,488,000,000","4,981,000,000","4,395,000,000","4,054,000,000","4,145,000,000","3,801,000,000","3,662,000,000","3,751,000,000","3,667,000,000","3,314,000,000","2,806,000,000","2,613,000,000","2,520,000,000","2,411,000,000","2,317,000,000","2,048,000,000","2,035,342,000","1,849,345,000","1,840,129,000","1,745,906,000","1,691,376,000","1,556,217,000","1,478,488,000","1,367,636,000","1,345,159,000","1,244,850,000","1,209,476,000","1,098,260,000","1,123,501,000","1,072,486,000","1,044,154,000","989,808,000","975,458,000","905,778,000","779,234,000","728,179,000","672,126,000","656,338,000","582,697,000","566,165,000","501,945,000","465,852,000","440,840,000","404,101,000","364,947,000","311,800,000","286,900,000","272,182,000","260,471,000","234,838,000","224,076,000","213,001,000","214,759,000","204,006,000","192,888,000","180,903,000","159,445,000","142,404,000","131,820,000","123,131,000","112,459,000","98,816,000","90,285,000","80,246,000","64,472,000","56,702,000","51,513,000","47,942,000","41,369,000","35,683,000","31,234,000","28,115,000",,,,"1,240,000"
	SellingGeneralAndAdministration,"14,453,000,000","4,197,000,000","3,778,000,000","3,375,000,000","3,103,000,000","3,206,000,000","2,899,000,000","2,764,000,000","2,892,000,000","2,836,000,000","2,540,000,000","2,199,000,000","2,059,000,000","2,002,000,000","1,930,000,000","1,854,000,000","1,624,000,000","1,638,795,000","1,455,347,000","1,453,682,000","1,369,825,000","1,347,184,000","1,244,758,000","1,186,982,000","1,106,666,000","1,094,299,000","1,005,638,000","975,376,000","876,132,000","917,511,000","877,026,000","841,045,000","801,450,000","802,368,000","735,088,000","631,155,000","596,240,000","550,939,000","542,264,000","483,255,000","471,389,000","421,332,000","389,803,000","367,447,000","338,809,000","307,417,000","264,495,000","243,970,000","232,060,000","224,024,000","202,075,000","192,973,000","181,417,000","185,299,000","177,736,000","168,855,000","161,136,000","141,742,000","125,512,000","116,724,000","109,010,000","99,128,000","87,366,000","79,277,000","71,421,000","57,801,000","50,100,000","46,043,000","43,925,000","38,210,000","33,221,000","29,160,000","25,988,000",,,,
		GeneralAndAdministrativeExpense,"2,598,000,000","733,000,000","667,000,000","639,000,000","559,000,000","574,000,000","522,000,000","489,000,000","502,000,000","490,000,000","477,000,000","375,000,000","362,000,000","359,000,000","342,000,000","350,000,000","295,000,000","274,490,000","270,614,000","282,933,000","260,321,000","257,941,000","246,765,000","252,051,000","210,806,000","203,924,000","186,818,000","181,685,000","139,194,000","181,371,000","167,383,000","169,087,000","162,095,000","162,576,000","153,859,000","150,534,000","129,750,000","115,369,000","113,757,000","103,095,000","101,600,000","93,765,000","85,232,000","84,446,000","84,338,000","74,200,000","63,951,000","61,569,000","56,193,000","55,472,000","49,909,000","46,759,000","43,150,000",,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,"78,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-36,617,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"2,598,000,000","733,000,000","667,000,000","639,000,000","559,000,000","574,000,000","522,000,000","411,000,000","502,000,000","490,000,000","477,000,000","375,000,000","362,000,000","359,000,000","342,000,000","350,000,000","295,000,000","274,490,000","270,614,000","282,933,000","260,321,000","257,941,000","246,765,000","252,051,000","210,806,000","203,924,000","186,818,000","181,685,000","175,811,000","181,371,000","167,383,000","169,087,000","162,095,000","162,576,000","153,859,000","150,534,000","129,750,000","115,369,000","113,757,000","103,095,000","101,600,000","93,765,000","85,232,000","84,446,000","84,338,000","74,200,000","63,951,000","61,569,000","56,193,000","55,472,000","49,909,000","46,759,000","43,150,000",,,,,,,,,,,,,,,,,,,,,,,,
