name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987
TotalRevenue,"51,549,000,000","12,720,000,000","12,900,000,000","13,126,000,000","12,803,000,000","11,960,000,000","11,929,000,000","12,154,000,000","11,983,000,000","12,005,000,000","13,159,000,000","13,428,000,000","12,958,000,000","12,446,000,000","13,072,000,000","12,844,000,000","12,463,000,000","11,887,000,000","12,136,000,000","12,133,000,000","11,940,000,000","11,580,000,000","12,352,000,000","12,638,000,000","12,000,000,000","11,927,000,000","12,682,000,000","12,843,000,000","12,137,000,000","11,936,000,000","12,245,000,000","12,357,000,000","11,545,000,000","11,155,000,000","12,085,000,000","12,417,000,000","12,216,000,000","12,098,000,000","11,876,000,000","11,690,000,000","11,588,000,000","11,527,000,000","11,256,000,000","11,195,000,000","10,866,000,000","10,407,000,000","10,750,000,000","10,836,000,000","10,368,000,000","9,815,000,000","9,021,000,000","8,535,000,000","8,162,000,000","9,089,000,000","10,331,000,000","10,364,000,000","9,791,000,000","9,831,000,000","9,554,000,000","9,433,000,000","8,866,000,000","8,439,000,000","8,184,000,000","7,984,000,000","7,322,000,000","6,628,000,000","6,550,000,000","6,581,000,000","6,187,000,000","6,062,000,000","5,971,000,000","5,926,000,000","5,620,000,000","5,398,000,000","5,101,000,000","4,702,000,000","4,618,000,000","4,713,000,000","4,845,000,000","4,829,000,000","4,822,000,000","4,816,000,000","4,448,000,000","4,298,000,000","4,728,000,000","6,748,000,000","6,519,000,000","5,745,000,000","4,919,000,000","4,350,000,000","3,877,000,000","3,592,000,000","3,147,000,000","2,827,000,000","2,588,000,000","2,389,989,000","2,183,756,000","2,016,315,000","1,868,717,000","1,765,097,000","1,647,871,000","1,592,377,000","1,434,826,000","1,574,187,000","985,147,000","826,482,000","710,191,000","621,184,000","509,910,000","454,897,000","392,900,000","361,200,000","331,200,000","302,200,000","248,500,000","205,200,000","172,400,000","145,100,000","126,400,000","110,700,000","91,400,000","74,000,000","63,600,000","56,800,000","49,700,000","43,900,000","32,800,000","21,800,000","17,900,000","16,100,000","14,100,000","10,300,000","7,700,000","5,600,000","4,100,000","1,400,000","1,400,000","1,400,000","1,300,000"
	OperatingRevenue,"51,549,000,000","12,720,000,000","12,900,000,000","13,126,000,000","12,803,000,000","11,960,000,000","11,929,000,000","12,154,000,000","11,983,000,000","12,005,000,000","13,159,000,000","13,428,000,000","12,958,000,000","12,446,000,000","13,072,000,000","12,844,000,000","12,463,000,000","11,887,000,000","12,136,000,000","12,133,000,000","11,940,000,000","11,580,000,000","12,352,000,000","12,638,000,000","12,000,000,000","11,927,000,000","12,682,000,000","12,843,000,000","12,137,000,000","11,936,000,000","12,245,000,000","12,357,000,000","11,545,000,000","11,155,000,000","12,085,000,000","12,417,000,000","12,216,000,000","12,098,000,000","11,876,000,000","11,690,000,000","11,588,000,000","11,527,000,000","11,256,000,000","11,195,000,000","10,866,000,000","10,407,000,000","10,750,000,000","10,836,000,000","10,368,000,000","9,815,000,000","9,021,000,000","8,535,000,000","8,162,000,000","9,089,000,000","10,331,000,000","10,364,000,000","9,791,000,000","9,831,000,000","9,554,000,000","9,433,000,000","8,866,000,000","8,439,000,000","8,184,000,000","7,984,000,000","7,322,000,000","6,628,000,000","6,550,000,000","6,581,000,000","6,187,000,000","6,062,000,000","5,971,000,000","5,926,000,000","5,620,000,000","5,398,000,000","5,101,000,000","4,702,000,000","4,618,000,000","4,713,000,000","4,845,000,000","4,829,000,000","4,822,000,000","4,816,000,000","4,448,000,000","4,298,000,000","4,728,000,000","6,748,000,000","6,519,000,000","5,745,000,000","4,919,000,000","4,350,000,000","3,877,000,000","3,592,000,000","3,147,000,000","2,827,000,000","2,588,000,000","2,389,989,000","2,183,756,000","2,016,315,000","1,868,717,000","1,765,097,000","1,647,871,000","1,592,377,000","1,434,826,000","1,574,187,000","985,147,000","826,482,000","710,191,000","621,184,000","509,910,000","454,897,000","392,900,000","361,200,000","331,200,000","302,200,000","248,500,000","205,200,000","172,400,000","145,100,000","126,400,000","110,700,000","91,400,000","74,000,000","63,600,000","56,800,000","49,700,000","43,900,000","32,800,000","21,800,000","17,900,000","16,100,000","14,100,000","10,300,000","7,700,000","5,600,000","4,100,000","1,400,000","1,400,000","1,400,000","1,300,000"
CostOfRevenue,"18,918,000,000","4,671,000,000","4,847,000,000","4,782,000,000","4,618,000,000","4,176,000,000","4,348,000,000","4,470,000,000","4,212,000,000","4,241,000,000","4,695,000,000","4,854,000,000","4,785,000,000","4,673,000,000","4,926,000,000","4,922,000,000","4,704,000,000","4,389,000,000","4,709,000,000","4,587,000,000","4,422,000,000","4,304,000,000","4,468,000,000","4,663,000,000","4,279,000,000","4,495,000,000","4,850,000,000","5,110,000,000","4,612,000,000","4,846,000,000","4,912,000,000","4,952,000,000","4,539,000,000","5,204,000,000","4,678,000,000","5,070,000,000","4,705,000,000","4,755,000,000","4,637,000,000","4,605,000,000","4,419,000,000","4,462,000,000","4,366,000,000","4,334,000,000","4,207,000,000","4,146,000,000","3,995,000,000","4,043,000,000","3,738,000,000","3,483,000,000","3,133,000,000","3,074,000,000","2,933,000,000","3,366,000,000","3,650,000,000","3,698,000,000","3,486,000,000","3,491,000,000","3,381,000,000","3,365,000,000","3,219,000,000","3,051,000,000","2,951,000,000","2,839,000,000","2,596,000,000","2,162,000,000","2,140,000,000","2,113,000,000","2,052,000,000","2,009,000,000","1,956,000,000","1,871,000,000","1,753,000,000","1,700,000,000","1,595,000,000","1,413,000,000","1,349,000,000","1,396,000,000","1,487,000,000","1,546,000,000","1,754,000,000","1,846,000,000","1,756,000,000","1,862,000,000","4,400,000,000","2,581,000,000","2,378,000,000","2,075,000,000","1,748,000,000","1,536,000,000","1,364,000,000","1,259,000,000","1,102,000,000","985,000,000","894,000,000","818,935,000","749,727,000","696,774,000","652,181,000","616,040,000","571,339,000","552,519,000","501,480,000","559,080,000","338,782,000","277,597,000","234,403,000","202,457,000","165,522,000","148,204,000","116,600,000","107,900,000","102,900,000","93,900,000","77,300,000","64,400,000","52,100,000","43,100,000","37,500,000","33,600,000","27,100,000","22,800,000","21,000,000","18,300,000","16,600,000","14,100,000","10,500,000","6,600,000","5,900,000","5,400,000","5,100,000",,,,,,,,
GrossProfit,"32,631,000,000","8,049,000,000","8,053,000,000","8,344,000,000","8,185,000,000","7,784,000,000","7,581,000,000","7,684,000,000","7,771,000,000","7,764,000,000","8,464,000,000","8,574,000,000","8,173,000,000","7,773,000,000","8,146,000,000","7,922,000,000","7,759,000,000","7,498,000,000","7,427,000,000","7,546,000,000","7,518,000,000","7,276,000,000","7,884,000,000","7,975,000,000","7,721,000,000","7,432,000,000","7,832,000,000","7,733,000,000","7,525,000,000","7,090,000,000","7,333,000,000","7,405,000,000","7,006,000,000","5,951,000,000","7,407,000,000","7,347,000,000","7,511,000,000","7,343,000,000","7,239,000,000","7,085,000,000","7,169,000,000","7,065,000,000","6,890,000,000","6,861,000,000","6,659,000,000","6,261,000,000","6,755,000,000","6,793,000,000","6,630,000,000","6,332,000,000","5,888,000,000","5,461,000,000","5,229,000,000","5,723,000,000","6,681,000,000","6,666,000,000","6,305,000,000","6,340,000,000","6,173,000,000","6,068,000,000","5,647,000,000","5,388,000,000","5,233,000,000","5,145,000,000","4,726,000,000","4,466,000,000","4,410,000,000","4,468,000,000","4,135,000,000","4,053,000,000","4,015,000,000","4,055,000,000","3,867,000,000","3,698,000,000","3,506,000,000","3,289,000,000","3,269,000,000","3,317,000,000","3,358,000,000","3,283,000,000","3,068,000,000","2,970,000,000","2,692,000,000","2,436,000,000","328,000,000","4,167,000,000","4,141,000,000","3,670,000,000","3,171,000,000","2,814,000,000","2,513,000,000","2,333,000,000","2,045,000,000","1,842,000,000","1,694,000,000","1,571,054,000","1,434,029,000","1,319,541,000","1,216,536,000","1,149,057,000","1,076,532,000","1,039,858,000","933,346,000","1,015,107,000","646,365,000","548,885,000","475,788,000","418,727,000","344,388,000","306,693,000","276,300,000","253,300,000","228,300,000","208,300,000","171,200,000","140,800,000","120,300,000","102,000,000","88,900,000","77,100,000","64,300,000","51,200,000","42,600,000","38,500,000","33,100,000","29,800,000","22,300,000","15,200,000","12,000,000","10,700,000","9,000,000",,,,,,,,
OperatingExpense,"18,608,000,000","4,559,000,000","4,610,000,000","4,761,000,000","4,678,000,000","4,327,000,000","4,409,000,000","4,310,000,000","4,229,000,000","4,342,000,000","4,701,000,000","4,844,000,000","4,642,000,000","4,376,000,000","4,263,000,000","4,550,000,000","4,543,000,000","4,327,000,000","4,519,000,000","4,370,000,000","4,279,000,000","4,250,000,000","4,596,000,000","4,659,000,000","4,720,000,000","4,042,000,000","4,611,000,000","4,779,000,000","4,576,000,000","4,399,000,000","4,673,000,000","4,642,000,000","4,438,000,000","4,211,000,000","4,715,000,000","4,533,000,000","4,536,000,000","4,541,000,000","4,529,000,000","4,635,000,000","4,399,000,000","4,328,000,000","4,478,000,000","4,637,000,000","4,445,000,000","4,577,000,000","4,404,000,000","4,468,000,000","4,285,000,000","3,962,000,000","3,764,000,000","4,001,000,000","3,622,000,000","3,950,000,000","4,199,000,000","4,137,000,000","4,164,000,000","3,936,000,000","3,805,000,000","3,765,000,000","3,450,000,000","3,258,000,000","3,242,000,000","3,155,000,000","3,073,000,000","2,735,000,000","2,788,000,000","2,471,000,000","2,317,000,000","2,240,000,000","2,227,000,000","2,254,000,000","2,313,000,000","2,151,000,000","2,116,000,000","2,085,000,000","2,023,000,000","2,053,000,000","2,190,000,000","2,336,000,000","2,194,000,000","2,217,000,000","2,347,000,000","2,573,000,000","2,959,000,000","3,135,000,000","3,239,000,000","2,900,000,000","2,427,000,000","1,755,000,000","1,828,000,000","1,428,000,000","1,170,000,000","1,366,000,000","966,000,000","874,408,000","1,161,293,000","659,848,000","741,257,000","862,604,000","537,402,000","551,307,000","620,186,000","524,764,000","293,980,000","248,983,000","217,612,000","196,651,000","153,512,000","228,377,000","124,600,000","114,600,000","96,700,000","88,400,000","73,300,000","58,700,000","49,000,000","42,300,000","38,500,000","35,400,000","28,400,000","22,700,000","19,200,000","18,600,000","15,300,000","13,600,000","10,000,000","8,200,000","6,600,000","5,800,000","4,900,000",,,,,,,,
	SellingGeneralAndAdministration,"11,511,000,000","2,810,000,000","2,812,000,000","2,969,000,000","2,920,000,000","2,761,000,000","2,761,000,000","2,712,000,000","2,649,000,000","2,734,000,000","2,999,000,000","3,053,000,000","2,944,000,000","2,780,000,000","2,621,000,000","2,891,000,000","2,886,000,000","2,718,000,000","2,891,000,000","2,813,000,000","2,713,000,000","2,678,000,000","2,973,000,000","2,976,000,000","3,013,000,000","2,462,000,000","2,982,000,000","3,085,000,000","2,959,000,000","2,798,000,000","3,019,000,000","2,981,000,000","2,802,000,000","2,728,000,000","2,926,000,000","2,950,000,000","2,905,000,000","2,971,000,000","2,976,000,000","3,128,000,000","2,945,000,000","2,892,000,000","3,004,000,000","3,052,000,000","2,912,000,000","2,896,000,000","2,860,000,000","2,946,000,000","2,757,000,000","2,577,000,000","2,435,000,000","2,497,000,000","2,258,000,000","2,535,000,000","2,678,000,000","2,682,000,000","2,608,000,000","2,604,000,000","2,493,000,000","2,404,000,000","2,208,000,000","2,066,000,000","2,050,000,000","1,911,000,000","1,845,000,000","1,713,000,000","1,731,000,000","1,526,000,000","1,434,000,000","1,370,000,000","1,350,000,000","1,394,000,000","1,384,000,000","1,320,000,000","1,299,000,000","1,214,000,000","1,203,000,000","1,149,000,000","1,252,000,000","1,189,000,000","1,227,000,000","1,219,000,000","1,247,000,000","1,340,000,000","1,546,000,000","1,630,000,000","1,557,000,000","1,420,000,000","1,169,000,000","1,067,000,000","904,000,000","855,000,000","752,000,000","660,000,000","598,000,000","532,188,000","479,570,000","421,076,000","389,831,000","369,904,000","353,688,000","340,452,000","300,886,000","350,877,000","204,703,000","175,721,000","154,747,000","143,990,000","109,520,000","94,499,000","83,200,000","78,200,000","67,200,000","59,700,000","66,800,000","55,400,000","45,000,000","39,000,000","35,500,000","33,500,000","26,200,000","21,000,000","18,300,000","17,200,000","14,600,000","13,000,000","9,700,000","7,600,000","6,400,000","5,700,000","4,800,000",,,,,,,,
		GeneralAndAdministrativeExpense,"2,219,000,000","544,000,000","551,000,000","521,000,000","603,000,000","484,000,000","544,000,000","494,000,000","457,000,000","455,000,000","519,000,000","566,000,000","541,000,000","509,000,000","211,000,000","543,000,000","561,000,000","483,000,000","557,000,000","495,000,000","487,000,000","456,000,000","555,000,000","533,000,000","566,000,000","176,000,000","539,000,000","536,000,000","510,000,000","490,000,000","504,000,000","508,000,000","460,000,000","451,000,000","515,000,000","590,000,000","530,000,000","584,000,000","560,000,000","711,000,000","562,000,000","497,000,000","552,000,000","532,000,000","466,000,000","452,000,000","458,000,000","595,000,000","497,000,000","467,000,000","440,000,000","488,000,000","302,000,000","380,000,000","395,000,000","518,000,000","479,000,000","520,000,000","490,000,000","431,000,000","378,000,000","340,000,000","364,000,000","311,000,000","298,000,000","282,000,000","278,000,000","257,000,000","244,000,000","228,000,000","230,000,000","214,000,000","231,000,000","210,000,000","212,000,000","190,000,000","184,000,000","174,000,000","154,000,000","155,000,000","164,000,000","148,000,000","151,000,000","191,000,000","195,000,000","196,000,000","195,000,000","234,000,000","146,000,000","143,000,000","101,000,000","139,000,000","105,000,000","90,000,000","84,000,000","76,835,000","67,329,000","57,668,000","56,414,000","56,425,000","54,349,000","52,111,000","41,776,000","70,322,000","34,886,000","28,826,000","25,736,000","24,912,000","20,652,000","16,045,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"2,219,000,000","544,000,000","551,000,000","521,000,000","603,000,000","484,000,000","544,000,000","494,000,000","457,000,000","455,000,000","519,000,000","566,000,000","541,000,000","509,000,000","211,000,000","543,000,000","561,000,000","483,000,000","557,000,000","495,000,000","487,000,000","456,000,000","555,000,000","533,000,000","566,000,000","176,000,000","539,000,000","536,000,000","510,000,000","490,000,000","504,000,000","508,000,000","460,000,000","451,000,000","515,000,000","590,000,000","530,000,000","584,000,000","560,000,000","711,000,000","562,000,000","497,000,000","552,000,000","532,000,000","466,000,000","452,000,000","458,000,000","595,000,000","497,000,000","467,000,000","440,000,000","488,000,000","302,000,000","380,000,000","395,000,000","518,000,000","479,000,000","520,000,000","490,000,000","431,000,000","378,000,000","340,000,000","364,000,000","311,000,000","298,000,000","282,000,000","278,000,000","257,000,000","244,000,000","228,000,000","230,000,000","214,000,000","231,000,000","210,000,000","212,000,000","190,000,000","184,000,000","174,000,000","154,000,000","155,000,000","164,000,000","148,000,000","151,000,000","191,000,000","195,000,000","196,000,000","195,000,000","234,000,000","146,000,000","143,000,000","101,000,000","139,000,000","105,000,000","90,000,000","84,000,000","76,835,000","67,329,000","57,668,000","56,414,000","56,425,000","54,349,000","52,111,000","41,776,000","70,322,000","34,886,000","28,826,000","25,736,000","24,912,000","20,652,000","16,045,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"9,292,000,000","2,266,000,000","2,261,000,000","2,448,000,000","2,317,000,000","2,277,000,000","2,217,000,000","2,218,000,000","2,192,000,000","2,279,000,000","2,480,000,000","2,487,000,000","2,403,000,000","2,271,000,000","2,410,000,000","2,348,000,000","2,325,000,000","2,235,000,000","2,334,000,000","2,318,000,000","2,226,000,000","2,222,000,000","2,418,000,000","2,443,000,000","2,447,000,000","2,286,000,000","2,443,000,000","2,549,000,000","2,449,000,000","2,308,000,000","2,515,000,000","2,473,000,000","2,342,000,000","2,277,000,000","2,411,000,000","2,360,000,000","2,375,000,000","2,387,000,000","2,416,000,000","2,417,000,000","2,383,000,000","2,395,000,000","2,452,000,000","2,520,000,000","2,446,000,000","2,444,000,000","2,402,000,000","2,351,000,000","2,260,000,000","2,110,000,000","1,995,000,000","2,009,000,000","1,956,000,000","2,155,000,000","2,283,000,000","2,164,000,000","2,129,000,000","2,084,000,000","2,003,000,000","1,973,000,000","1,830,000,000","1,726,000,000","1,686,000,000","1,600,000,000","1,547,000,000","1,431,000,000","1,453,000,000","1,269,000,000","1,190,000,000","1,142,000,000","1,120,000,000","1,180,000,000","1,153,000,000","1,110,000,000","1,087,000,000","1,024,000,000","1,019,000,000","975,000,000","1,098,000,000","1,034,000,000","1,063,000,000","1,071,000,000","1,096,000,000","1,149,000,000","1,351,000,000","1,434,000,000","1,362,000,000","1,186,000,000","1,023,000,000","924,000,000","803,000,000","716,000,000","647,000,000","570,000,000","514,000,000","455,353,000","412,241,000","363,408,000","333,417,000","313,479,000","299,339,000","288,341,000","259,110,000","280,555,000","169,817,000","146,895,000","129,011,000","119,078,000","88,868,000","78,454,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"6,794,000,000","1,670,000,000","1,714,000,000","1,713,000,000","1,697,000,000","1,527,000,000","1,612,000,000","1,565,000,000","1,546,000,000","1,570,000,000","1,666,000,000","1,753,000,000","1,659,000,000","1,557,000,000","1,608,000,000","1,626,000,000","1,590,000,000","1,549,000,000","1,567,000,000","1,499,000,000","1,507,000,000","1,508,000,000","1,545,000,000","1,601,000,000","1,626,000,000","1,509,000,000","1,560,000,000","1,548,000,000","1,547,000,000","1,529,000,000","1,583,000,000","1,593,000,000","1,565,000,000","1,412,000,000","1,724,000,000","1,517,000,000","1,542,000,000","1,452,000,000","1,431,000,000","1,416,000,000","1,358,000,000","1,339,000,000","1,375,000,000","1,484,000,000","1,430,000,000","1,478,000,000","1,431,000,000","1,391,000,000","1,411,000,000","1,247,000,000","1,224,000,000","1,340,000,000","1,243,000,000","1,279,000,000","1,409,000,000","1,306,000,000","1,439,000,000","1,216,000,000","1,195,000,000","1,252,000,000","1,145,000,000","1,096,000,000","1,087,000,000","1,065,000,000","1,129,000,000","966,000,000","998,000,000","889,000,000","829,000,000","813,000,000","817,000,000","800,000,000","869,000,000","771,000,000","755,000,000","761,000,000","728,000,000","826,000,000","824,000,000","859,000,000","838,000,000","862,000,000","954,000,000","935,000,000","1,137,000,000","1,249,000,000","1,451,000,000","1,311,000,000","1,207,000,000","641,000,000","900,000,000","573,000,000","418,000,000","706,000,000","368,000,000","342,220,000","681,723,000","238,772,000","351,426,000","492,700,000","183,714,000","210,855,000","319,300,000","173,887,000","89,277,000","73,262,000","62,865,000","52,661,000","43,992,000","133,878,000","30,000,000","25,900,000","23,300,000","21,100,000",,,,,,,,,,,,,,,,,,,,,,,,,
