name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"12,522,000,000","3,427,000,000","3,292,000,000","2,990,000,000","2,813,000,000","2,825,000,000","2,648,000,000","2,255,000,000","2,855,000,000","2,885,000,000","2,978,000,000","3,061,000,000","3,013,000,000","3,143,000,000","3,129,000,000","3,102,000,000","2,876,000,000","2,863,000,000","2,743,000,000","2,933,000,000","2,869,000,000","3,037,000,000","2,710,000,000","2,704,000,000","2,618,000,000","2,781,000,000","2,939,000,000","3,064,000,000","3,027,000,000","3,192,000,000","3,221,000,000","3,244,000,000","3,012,000,000","3,000,000,000","2,999,000,000","3,069,000,000","2,958,000,000","2,884,000,000","2,894,000,000","3,012,000,000","2,966,000,000","2,951,000,000","2,963,000,000","3,019,000,000","2,810,000,000","2,816,000,000","2,666,000,000","2,663,000,000","2,491,000,000","2,320,000,000","2,289,000,000","2,185,000,000","2,247,000,000","2,674,000,000","2,961,000,000","2,907,000,000","2,713,000,000","2,577,000,000","2,501,000,000","2,530,000,000","2,422,000,000","2,396,000,000","2,418,000,000","2,421,000,000","2,331,000,000","2,219,000,000","2,125,000,000","2,166,000,000","2,108,000,000","2,044,000,000","1,980,000,000","2,033,000,000","1,963,000,000","1,953,000,000","1,882,000,000","1,942,000,000","2,016,000,000","2,060,000,000","2,055,000,000","2,073,000,000","1,964,000,000","2,009,000,000","2,019,000,000","2,057,000,000","2,025,000,000","2,047,000,000","2,039,000,000","2,190,000,000","2,147,000,000","2,748,000,000","2,906,000,000","2,616,000,000","2,541,000,000","2,511,000,000","2,432,000,000","2,642,000,000","2,580,000,000","2,727,000,000","2,649,000,000","2,678,000,000","2,567,000,000","2,703,000,000","2,647,000,000","2,672,000,000","2,536,000,000","2,771,000,000","2,665,000,000","2,600,000,000","2,468,000,000","2,540,000,000","2,470,000,000","2,371,000,000","2,227,000,000","2,315,000,000","2,238,000,000","2,264,000,000","2,123,000,000","2,245,000,000","2,214,000,000","2,189,000,000","2,086,000,000","2,276,000,000","2,205,000,000","2,125,000,000","2,030,000,000","2,187,000,000","2,063,000,000","2,047,000,000","1,908,000,000","2,034,000,000","1,893,000,000","1,974,000,000","1,844,000,000","2,048,000,000","1,894,000,000","1,907,000,000","1,743,000,000","2,131,000,000","2,009,000,000","2,010,000,000","1,893,000,000","1,580,000,000","1,461,000,000","1,607,000,000","1,697,000,000","1,782,000,000","1,718,000,000"
	OperatingRevenue,"11,778,000,000","3,221,000,000","3,050,000,000","2,990,000,000","2,813,000,000","2,825,000,000","2,648,000,000","2,255,000,000","2,855,000,000","2,885,000,000","2,978,000,000","3,061,000,000","3,013,000,000","3,143,000,000","3,129,000,000","3,102,000,000","2,876,000,000","2,863,000,000","2,743,000,000","2,933,000,000","2,869,000,000","3,037,000,000","2,710,000,000","2,704,000,000","2,618,000,000","2,781,000,000","2,939,000,000","3,064,000,000","3,027,000,000","3,192,000,000","3,221,000,000","3,244,000,000","3,012,000,000","3,000,000,000","2,999,000,000","3,069,000,000","2,958,000,000","2,884,000,000","2,894,000,000","3,012,000,000","2,966,000,000","2,951,000,000","2,963,000,000","3,019,000,000","2,810,000,000","2,816,000,000","2,666,000,000","2,663,000,000","2,491,000,000","2,320,000,000","2,289,000,000","2,185,000,000","2,247,000,000","2,674,000,000","2,961,000,000","2,907,000,000","2,713,000,000","2,577,000,000","2,501,000,000","2,530,000,000","2,422,000,000","2,396,000,000","2,418,000,000","2,421,000,000","2,331,000,000","2,219,000,000","2,125,000,000","2,166,000,000","2,108,000,000","2,044,000,000","1,980,000,000","2,033,000,000","1,963,000,000","1,953,000,000","1,882,000,000","1,942,000,000","2,016,000,000","2,060,000,000","2,055,000,000","2,073,000,000","1,964,000,000","2,009,000,000","2,019,000,000","2,057,000,000","2,025,000,000","2,047,000,000","2,039,000,000","2,190,000,000","2,147,000,000","2,748,000,000","2,906,000,000","2,616,000,000","2,541,000,000","2,511,000,000","2,432,000,000","2,642,000,000","2,580,000,000","2,727,000,000","2,649,000,000","2,678,000,000","2,567,000,000","2,703,000,000","2,647,000,000","2,672,000,000","2,536,000,000","2,771,000,000","2,665,000,000","2,600,000,000","2,468,000,000","2,540,000,000","2,470,000,000","2,371,000,000","2,227,000,000","2,315,000,000","2,238,000,000","2,264,000,000","2,123,000,000","2,245,000,000","2,214,000,000","2,189,000,000","2,086,000,000","2,276,000,000","2,205,000,000","2,125,000,000","2,030,000,000","2,187,000,000","2,063,000,000","2,047,000,000","1,908,000,000","2,034,000,000","1,893,000,000","1,974,000,000","1,844,000,000","2,048,000,000","1,894,000,000","1,907,000,000","1,743,000,000","2,131,000,000","2,009,000,000","2,010,000,000","1,893,000,000","1,580,000,000","1,461,000,000","1,607,000,000","1,697,000,000","1,782,000,000","1,718,000,000"
CostOfRevenue,"7,382,000,000","2,085,000,000","1,916,000,000","1,666,000,000","1,712,000,000","1,610,000,000","1,507,000,000","1,427,000,000","1,677,000,000","1,755,000,000","1,718,000,000","1,777,000,000","1,813,000,000","1,911,000,000","1,860,000,000","1,849,000,000","1,857,000,000","1,932,000,000","1,866,000,000","1,853,000,000","1,984,000,000","2,033,000,000","1,869,000,000","1,864,000,000","1,914,000,000","1,990,000,000","2,006,000,000","2,047,000,000","2,184,000,000","2,291,000,000","2,245,000,000","2,247,000,000","2,273,000,000","2,219,000,000","2,145,000,000","2,106,000,000","2,083,000,000","5,136,000,000","1,018,000,000","1,062,000,000","1,083,000,000","1,095,000,000","1,069,000,000","1,083,000,000","1,029,000,000","189,000,000","878,000,000","766,000,000","699,000,000","674,000,000","626,000,000","524,000,000","613,000,000","839,000,000","1,035,000,000","513,000,000","1,122,000,000",,,"1,128,000,000",,"1,222,000,000","1,131,000,000","993,000,000","1,102,000,000","1,046,000,000","971,000,000","969,000,000","997,000,000","1,438,000,000","911,000,000","1,103,000,000","1,014,000,000","-133,000,000","1,388,000,000","950,000,000","1,089,000,000","980,000,000","1,057,000,000","1,033,000,000","1,019,000,000","994,000,000","1,027,000,000","1,055,000,000","1,107,000,000","1,149,000,000","1,138,000,000","1,279,000,000","1,248,000,000","-693,000,000","1,716,000,000","1,563,000,000","1,578,000,000","1,594,000,000","1,530,000,000","1,614,000,000","1,551,000,000","1,599,000,000","1,567,000,000","1,561,000,000","1,576,000,000","1,625,000,000","1,600,000,000","1,600,000,000","1,567,000,000","1,681,000,000","1,598,000,000","1,578,000,000","1,522,000,000","1,348,000,000","1,482,000,000","1,444,000,000","1,395,000,000","1,852,000,000","1,700,000,000","1,843,000,000","1,917,000,000","1,826,000,000","1,816,000,000","2,501,000,000","1,798,000,000","2,636,000,000","1,838,000,000","1,803,000,000","1,759,000,000","1,818,000,000","1,714,000,000","1,709,000,000","1,676,000,000","1,659,000,000","1,601,000,000","1,627,000,000",,,,,,,,,,,,,,,
GrossProfit,"5,140,000,000","1,342,000,000","1,376,000,000","1,324,000,000","1,101,000,000","1,215,000,000","1,141,000,000","828,000,000","1,178,000,000","1,130,000,000","1,260,000,000","1,284,000,000","1,200,000,000","1,232,000,000","1,269,000,000","1,253,000,000","1,019,000,000","931,000,000","877,000,000","1,080,000,000","885,000,000","1,004,000,000","841,000,000","840,000,000","704,000,000","791,000,000","933,000,000","1,017,000,000","843,000,000","901,000,000","976,000,000","997,000,000","739,000,000","781,000,000","854,000,000","963,000,000","875,000,000","-2,252,000,000","1,876,000,000","1,950,000,000","1,883,000,000","1,856,000,000","1,894,000,000","1,936,000,000","1,781,000,000","2,627,000,000","1,788,000,000","1,897,000,000","1,792,000,000","1,646,000,000","1,663,000,000","1,661,000,000","1,634,000,000","1,835,000,000","1,926,000,000","2,394,000,000","1,591,000,000",,,"1,402,000,000",,"1,174,000,000","1,287,000,000","1,428,000,000","1,229,000,000","1,173,000,000","1,154,000,000","1,197,000,000","1,111,000,000","606,000,000","1,069,000,000","930,000,000","949,000,000","2,086,000,000","494,000,000","992,000,000","927,000,000","1,080,000,000","998,000,000","1,040,000,000","945,000,000","1,015,000,000","992,000,000","1,002,000,000","918,000,000","898,000,000","901,000,000","911,000,000","899,000,000","3,441,000,000","1,190,000,000","1,053,000,000","963,000,000","917,000,000","902,000,000","1,028,000,000","1,029,000,000","1,128,000,000","1,082,000,000","1,117,000,000","991,000,000","1,078,000,000","1,047,000,000","1,072,000,000","969,000,000","1,090,000,000","1,067,000,000","1,022,000,000","946,000,000","1,192,000,000","988,000,000","927,000,000","832,000,000","463,000,000","538,000,000","421,000,000","206,000,000","419,000,000","398,000,000","-312,000,000","288,000,000","-360,000,000","367,000,000","322,000,000","271,000,000","369,000,000","349,000,000","338,000,000","232,000,000","375,000,000","292,000,000","347,000,000",,,,,,,,,,,,,,,
OperatingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,022,000,000","1,007,000,000","1,027,000,000","1,015,000,000","1,016,000,000","1,010,000,000","1,008,000,000","1,033,000,000","963,000,000","951,000,000","958,000,000","887,000,000","881,000,000","883,000,000","886,000,000","951,000,000","981,000,000","1,677,000,000","967,000,000","-1,964,000,000","1,946,000,000","2,093,000,000","1,934,000,000","2,334,000,000","2,067,000,000","1,801,000,000","2,033,000,000","1,989,000,000","1,905,000,000","1,689,000,000","1,906,000,000","2,359,000,000","1,776,000,000","1,951,000,000","1,878,000,000","1,098,000,000","2,444,000,000","1,787,000,000","1,985,000,000","1,880,000,000","1,940,000,000","1,906,000,000","1,904,000,000","1,877,000,000","1,892,000,000","1,951,000,000","1,991,000,000","1,994,000,000","1,984,000,000","2,184,000,000","2,167,000,000","3,047,000,000","2,326,000,000","2,195,000,000","2,179,000,000","3,794,000,000","2,101,000,000","2,179,000,000","2,170,000,000","3,816,000,000","2,136,000,000","2,111,000,000","2,086,000,000","3,825,000,000","2,127,000,000","2,122,000,000","2,115,000,000","3,867,000,000","2,168,000,000","2,129,000,000","2,079,000,000","3,579,000,000","2,012,000,000","1,968,000,000","1,940,000,000","143,000,000","286,000,000","143,000,000","143,000,000","127,000,000","136,000,000","133,000,000","131,000,000","133,000,000","126,000,000","116,000,000","126,000,000","126,000,000","113,000,000","117,000,000","117,000,000","100,000,000","116,000,000","117,000,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"754,000,000","744,000,000","770,000,000","779,000,000","765,000,000","764,000,000","765,000,000","776,000,000","731,000,000","721,000,000","729,000,000","660,000,000","653,000,000","654,000,000","662,000,000","723,000,000","754,000,000",,"745,000,000",,,"910,000,000",,"1,173,000,000","860,000,000","618,000,000","918,000,000","878,000,000","860,000,000","853,000,000","856,000,000","1,283,000,000","751,000,000","910,000,000","834,000,000","-2,234,000,000","1,362,000,000","807,000,000","885,000,000","870,000,000","881,000,000","872,000,000","885,000,000","881,000,000","866,000,000","902,000,000","891,000,000","867,000,000","878,000,000","962,000,000","978,000,000","-1,997,000,000","1,222,000,000","1,132,000,000","1,134,000,000","1,079,000,000","1,058,000,000","1,075,000,000","1,121,000,000","1,090,000,000","1,091,000,000","1,077,000,000","1,079,000,000","1,067,000,000","1,070,000,000","1,084,000,000","1,115,000,000","1,132,000,000","1,111,000,000","1,089,000,000","1,100,000,000","1,089,000,000","1,078,000,000","1,060,000,000","1,063,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"754,000,000","744,000,000","770,000,000","779,000,000","765,000,000","764,000,000","765,000,000","776,000,000","731,000,000","721,000,000","729,000,000","660,000,000","653,000,000","654,000,000","662,000,000","723,000,000","754,000,000",,"745,000,000",,,"910,000,000",,"1,173,000,000","860,000,000","618,000,000","918,000,000","878,000,000","860,000,000","853,000,000","856,000,000","1,283,000,000","751,000,000","910,000,000","834,000,000","-2,234,000,000","1,362,000,000","807,000,000","885,000,000","870,000,000","881,000,000","872,000,000","885,000,000","881,000,000","866,000,000","902,000,000","891,000,000","867,000,000","878,000,000","962,000,000","978,000,000","-1,997,000,000","1,222,000,000","1,132,000,000","1,134,000,000","1,079,000,000","1,058,000,000","1,075,000,000","1,121,000,000","1,090,000,000","1,091,000,000","1,077,000,000","1,079,000,000","1,067,000,000","1,070,000,000","1,084,000,000","1,115,000,000","1,132,000,000","1,111,000,000","1,089,000,000","1,100,000,000","1,089,000,000","1,078,000,000","1,060,000,000","1,063,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"754,000,000","744,000,000","770,000,000","779,000,000","765,000,000","764,000,000","765,000,000","776,000,000","731,000,000","721,000,000","729,000,000","660,000,000","653,000,000","654,000,000","662,000,000","723,000,000","754,000,000",,"745,000,000",,,"-743,000,000",,"-755,000,000","-737,000,000","-718,000,000","-720,000,000","-734,000,000","-727,000,000","-707,000,000","-704,000,000","-706,000,000","-688,000,000","-686,000,000","-699,000,000","-658,000,000","-666,000,000","-677,000,000","-739,000,000","-732,000,000","-720,000,000","-718,000,000","-733,000,000","-732,000,000","-711,000,000","-743,000,000","-736,000,000","-702,000,000","-709,000,000","-767,000,000","-778,000,000","-881,000,000","-910,000,000","-853,000,000","-827,000,000","-784,000,000","-784,000,000","-795,000,000","-850,000,000","-813,000,000","-816,000,000","-802,000,000","-795,000,000","-782,000,000","-788,000,000","-797,000,000","-821,000,000","-823,000,000","-823,000,000","-805,000,000","-813,000,000","-816,000,000","-786,000,000","-769,000,000","-783,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,000,000",,"92,000,000","95,000,000","95,000,000","97,000,000","95,000,000","90,000,000","89,000,000","100,000,000","88,000,000","92,000,000","98,000,000","113,000,000","96,000,000","106,000,000",,,,,"-167,000,000",,"-136,000,000","-153,000,000","-152,000,000","-198,000,000","-144,000,000","-133,000,000","-146,000,000","-152,000,000","-577,000,000","-63,000,000","-224,000,000","-135,000,000","339,000,000","-232,000,000","-130,000,000","-146,000,000","-138,000,000","-161,000,000","-154,000,000","-152,000,000","-149,000,000","-155,000,000","-159,000,000","-155,000,000","-165,000,000","-169,000,000","-195,000,000","-200,000,000",,"-312,000,000","-279,000,000","-307,000,000","-295,000,000","-274,000,000","-280,000,000","-271,000,000","-277,000,000","-275,000,000","-275,000,000","-284,000,000","-285,000,000","-282,000,000","-287,000,000","-294,000,000","-309,000,000","-288,000,000","-284,000,000","-287,000,000","-273,000,000","-292,000,000","-291,000,000","-280,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000,000","126,000,000",,,,,,,,,,,"-232,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
