name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
TotalRevenue,"15,655,000,000","3,479,000,000","2,371,000,000","5,627,000,000","4,178,000,000","3,207,000,000","1,863,000,000","5,191,000,000","3,956,000,000","2,983,000,000","1,911,000,000","5,556,000,000","6,288,000,000","2,815,000,000","1,947,000,000","5,731,000,000","6,699,000,000"
	OperatingRevenue,"15,655,000,000","3,479,000,000","2,371,000,000","5,627,000,000","4,178,000,000","3,207,000,000","1,863,000,000","5,191,000,000","3,956,000,000","2,983,000,000","1,911,000,000","5,556,000,000","6,286,000,000","2,815,000,000","1,947,000,000","5,731,000,000","6,695,000,000"
CostOfRevenue,"9,220,000,000","2,232,000,000","1,558,000,000","3,010,000,000","2,420,000,000","2,112,000,000","1,297,000,000","2,829,000,000","2,269,000,000","1,968,000,000","1,349,000,000","3,047,000,000","4,235,000,000","597,000,000","1,485,000,000","3,687,000,000","4,847,000,000"
GrossProfit,"6,435,000,000","1,247,000,000","813,000,000","2,617,000,000","1,758,000,000","1,095,000,000","566,000,000","2,362,000,000","1,687,000,000","1,015,000,000","562,000,000","2,509,000,000","2,053,000,000","2,218,000,000","462,000,000","2,044,000,000","1,852,000,000"
OperatingExpense,"5,118,000,000","1,301,000,000","1,149,000,000","1,471,000,000","1,197,000,000","1,210,000,000","1,043,000,000","1,414,000,000","1,200,000,000","1,198,000,000","1,035,000,000","1,319,000,000","1,488,000,000","835,000,000","1,046,000,000","1,426,000,000","1,609,000,000"
	SellingGeneralAndAdministration,"3,209,000,000","806,000,000","672,000,000","998,000,000","733,000,000","724,000,000","597,000,000","965,000,000","757,000,000","747,000,000","646,000,000","937,000,000","970,000,000","555,000,000","633,000,000","965,000,000","959,000,000"
		GeneralAndAdministrativeExpense,,,"672,000,000","998,000,000",,"724,000,000","597,000,000","965,000,000","757,000,000","747,000,000","646,000,000","937,000,000","970,000,000","555,000,000","633,000,000","965,000,000","959,000,000"
			SalariesAndWages,,,,,,,,,,,"47,000,000","46,000,000",,,"67,000,000","70,000,000",
			OtherGandA,,,"672,000,000","998,000,000",,"724,000,000","597,000,000","965,000,000","757,000,000","747,000,000","646,000,000","937,000,000","970,000,000","555,000,000","633,000,000","965,000,000","959,000,000"
	ResearchAndDevelopment,"1,187,000,000","316,000,000","297,000,000","293,000,000","281,000,000","305,000,000","284,000,000","273,000,000","280,000,000","290,000,000","289,000,000","269,000,000","355,000,000","422,000,000","325,000,000","354,000,000","382,000,000"
