name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalRevenue,"3,217,170,000","850,848,000","778,445,000","812,111,000","775,766,000","809,656,000","767,170,000","798,929,000","860,945,000","809,823,000","732,901,000","748,697,000","719,143,000","801,870,000","732,476,000","742,365,000","697,192,000","777,857,000","690,925,000","693,227,000","662,677,000","908,356,000","841,251,000","842,980,000","825,678,000","904,763,000","813,270,000","796,759,000","760,802,000","851,483,000","758,994,000","781,560,000","750,819,000","802,420,000","712,731,000","730,384,000","672,899,000","739,996,000","641,422,000","615,210,000","589,495,000","619,366,000","565,348,000","530,790,000","490,888,000","529,724,000","472,233,000","458,433,000","414,272,000","451,160,000","401,042,000","392,828,000","369,058,000","415,697,000","398,893,000","391,730,000","377,034,000","399,559,000","349,931,000","334,364,000","308,088,000","321,002,000","277,851,000","275,468,000","259,998,000","268,656,000","226,947,000","211,229,000","201,890,000","213,967,000","187,578,000","178,302,000","161,310,000","157,744,000","144,341,000","143,049,000","143,491,000","148,784,000","118,898,000","117,456,000","142,310,000","158,048,000","153,495,000","147,274,000","132,812,000","123,354,000","113,491,000","106,086,000","127,515,000","118,100,000","105,800,000","94,400,000","85,000,000","75,500,000","67,600,000","56,200,000","49,300,000","42,900,000","34,900,000","24,500,000","21,600,000","15,500,000","11,700,000","9,500,000","7,800,000"
	OperatingRevenue,"3,217,170,000","850,848,000","778,445,000","812,111,000","775,766,000","809,656,000","767,170,000","798,929,000","860,945,000","809,823,000","732,901,000","748,697,000","719,143,000","801,870,000","732,476,000","742,365,000","697,192,000","777,857,000","690,925,000","693,227,000","662,677,000","908,356,000","841,251,000","842,980,000","825,678,000","904,763,000","813,270,000","796,759,000","760,802,000","851,483,000","758,994,000","781,560,000","750,819,000","802,420,000","712,731,000","730,384,000","672,899,000","739,996,000","641,422,000","615,210,000","589,495,000","619,366,000","565,348,000","530,790,000","490,888,000","529,724,000","472,233,000","458,433,000","414,272,000","451,160,000","401,042,000","392,828,000","369,058,000","415,697,000","398,893,000","391,730,000","377,034,000","399,559,000","349,931,000","334,364,000","308,088,000","321,002,000","277,851,000","275,468,000","259,998,000","268,656,000","226,947,000","211,229,000","201,890,000","213,967,000","187,578,000","178,302,000","161,310,000","157,744,000","144,341,000","143,049,000","143,491,000","148,784,000","118,898,000","117,456,000","142,310,000","118,218,000","153,495,000","147,274,000","132,812,000","123,354,000","113,491,000","106,086,000","127,515,000","118,100,000","105,800,000","94,400,000","85,000,000","75,500,000","67,600,000","56,200,000","49,300,000","42,900,000","34,900,000","24,500,000","21,600,000","15,500,000","11,700,000","9,500,000","7,800,000"
CostOfRevenue,"625,077,000","173,483,000","146,819,000","161,306,000","143,469,000","133,443,000","127,286,000","122,240,000","115,577,000","119,177,000","126,918,000","110,479,000","107,473,000","112,851,000","103,917,000","108,749,000","108,286,000","121,939,000","105,937,000","109,312,000","102,458,000","138,152,000","137,975,000","144,322,000","139,092,000","202,753,000","146,254,000","132,751,000","132,606,000","174,652,000","135,985,000","175,256,000","134,326,000","136,708,000","123,933,000","127,240,000","114,914,000","117,368,000","106,068,000","94,358,000","86,343,000","79,160,000","76,735,000","68,896,000","57,406,000","63,368,000","57,798,000","53,555,000","48,699,000","52,615,000","45,418,000","44,061,000","45,216,000","46,556,000","42,288,000","45,857,000","29,838,000","40,323,000","36,006,000","31,864,000","29,414,000","28,376,000","24,178,000","24,122,000","22,022,000","16,204,000","11,439,000","7,672,000","5,883,000","5,739,000","5,396,000","4,925,000","4,236,000","4,919,000","5,350,000","5,036,000","4,731,000","5,145,000","4,375,000","4,758,000","4,752,000","7,741,000","7,573,000","7,223,000","7,312,000","609,000","3,414,000","4,014,000","1,165,000","500,000","900,000","1,200,000","2,900,000","4,600,000","-100,000","3,400,000","3,800,000","3,700,000","3,000,000","2,000,000","1,900,000","1,400,000","1,200,000","1,100,000","900,000"
GrossProfit,"2,592,093,000","677,365,000","631,626,000","650,805,000","632,297,000","676,213,000","639,884,000","676,689,000","745,368,000","690,646,000","605,983,000","638,218,000","611,670,000","689,019,000","628,559,000","633,616,000","588,906,000","655,918,000","584,988,000","583,915,000","560,219,000","770,204,000","703,276,000","698,658,000","686,586,000","702,010,000","667,016,000","664,008,000","628,196,000","676,831,000","623,009,000","606,304,000","616,493,000","665,712,000","588,798,000","603,144,000","557,985,000","622,628,000","535,354,000","520,852,000","503,152,000","540,206,000","488,613,000","461,894,000","433,482,000","466,356,000","414,435,000","404,878,000","365,573,000","398,545,000","355,624,000","348,767,000","323,842,000","369,141,000","356,605,000","345,873,000","347,196,000","359,236,000","313,925,000","302,500,000","278,674,000","292,626,000","253,673,000","251,346,000","237,976,000","252,452,000","215,508,000","203,557,000","196,007,000","208,228,000","182,182,000","173,377,000","157,074,000","152,825,000","138,991,000","138,013,000","138,760,000","143,639,000","114,523,000","112,698,000","137,558,000","150,307,000","145,922,000","140,051,000","125,500,000","122,745,000","110,077,000","102,072,000","126,350,000","117,600,000","104,900,000","93,200,000","82,100,000","70,900,000","67,700,000","52,800,000","45,500,000","39,200,000","31,900,000","22,500,000","19,700,000","14,100,000","10,500,000","8,400,000","6,900,000"
OperatingExpense,"2,252,150,000","598,897,000","547,161,000","566,128,000","539,964,000","540,928,000","511,579,000","523,490,000","541,368,000","499,060,000","486,273,000","516,825,000","485,994,000","482,961,000","464,266,000","481,032,000","417,156,000","409,984,000","439,723,000","459,834,000","429,291,000","519,500,000","519,808,000","527,632,000","514,880,000","551,444,000","589,452,000","527,325,000","542,513,000","556,284,000","561,288,000","547,374,000","534,956,000","504,858,000","501,431,000","527,256,000","501,377,000","477,207,000","452,939,000","438,660,000","422,402,000","404,392,000","383,934,000","366,304,000","352,575,000","352,961,000","332,871,000","330,725,000","312,998,000","317,051,000","299,463,000","307,005,000","298,109,000","304,880,000","308,906,000","316,983,000","306,312,000","301,178,000","253,941,000","247,766,000","239,243,000","241,084,000","204,776,000","200,170,000","185,247,000","180,181,000","159,238,000","150,801,000","149,047,000","148,949,000","135,859,000","136,285,000","121,677,000","110,578,000","100,275,000","102,515,000","100,832,000","98,365,000","97,155,000","102,422,000","106,616,000","116,128,000","113,538,000","106,279,000","89,904,000","92,863,000","84,166,000","86,170,000","76,739,000","67,500,000","59,500,000","52,100,000","45,000,000","-21,600,000","45,600,000","62,300,000","46,900,000","22,700,000","14,700,000","11,800,000","9,500,000","7,300,000","5,700,000","4,600,000","4,400,000"
	SellingGeneralAndAdministration,"1,604,287,000","433,797,000","381,702,000","400,514,000","388,274,000","407,709,000","380,250,000","382,319,000","406,208,000","366,676,000","354,916,000","379,591,000","352,202,000","361,921,000","348,646,000","364,070,000","314,940,000","307,080,000","328,877,000","349,446,000","322,976,000","398,736,000","385,534,000","395,585,000","383,527,000","400,080,000","373,386,000","376,130,000","388,431,000","401,294,000","413,455,000","396,554,000","388,884,000","368,014,000","363,996,000","384,439,000","360,467,000","345,949,000","328,388,000","323,438,000","308,313,000","311,114,000","290,571,000","279,055,000","266,348,000","267,946,000","242,138,000","247,406,000","231,139,000","244,429,000","225,487,000","226,682,000","222,078,000","228,917,000","230,938,000","237,311,000","229,082,000","234,069,000","200,669,000","196,348,000","188,552,000","192,675,000","160,984,000","157,798,000","147,555,000","146,417,000","128,551,000","122,185,000","121,805,000","127,808,000","108,754,000","108,641,000","98,879,000","90,365,000","81,751,000","83,572,000","82,733,000","79,788,000","77,363,000","82,752,000","84,436,000","84,249,000","81,744,000","75,901,000","67,427,000","65,283,000","58,304,000","61,638,000","53,844,000","47,800,000","42,400,000","37,500,000","31,200,000","28,000,000","25,600,000","22,800,000","18,700,000","15,900,000","12,600,000","9,900,000","7,700,000","6,100,000","4,800,000","3,500,000","3,400,000"
		GeneralAndAdministrativeExpense,"409,630,000","129,584,000","91,462,000","93,594,000","94,990,000","99,611,000","81,591,000","90,808,000","80,099,000","81,678,000","80,042,000","81,162,000","77,547,000","88,192,000","86,084,000","77,340,000","63,727,000","65,532,000","79,378,000","81,146,000","76,211,000","95,967,000","93,686,000","97,136,000","90,779,000","100,968,000","79,799,000","79,872,000","82,026,000","77,316,000","95,203,000","75,015,000","72,388,000","66,528,000","63,580,000","67,343,000","62,785,000","58,852,000","65,252,000","61,299,000","59,856,000","77,883,000","77,586,000","79,696,000","72,105,000","70,047,000","67,404,000","60,805,000","60,619,000",,"57,254,000","59,552,000","58,489,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"409,630,000","129,584,000","91,462,000","93,594,000","94,990,000","99,611,000","81,591,000","90,808,000","80,099,000","81,678,000","80,042,000","81,162,000","77,547,000","88,192,000","86,084,000","77,340,000","63,727,000","65,532,000","79,378,000","81,146,000","76,211,000","95,967,000","93,686,000","97,136,000","90,779,000","100,968,000","79,799,000","79,872,000","82,026,000","77,316,000","95,203,000","75,015,000","72,388,000","66,528,000","63,580,000","67,343,000","62,785,000","58,852,000","65,252,000","61,299,000","59,856,000","77,883,000","77,586,000","79,696,000","72,105,000","70,047,000","67,404,000","60,805,000","60,619,000",,"57,254,000","59,552,000","58,489,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"1,194,657,000","304,213,000","290,240,000","306,920,000","293,284,000","308,098,000","298,659,000","291,511,000","326,109,000","284,998,000","274,874,000","298,429,000","274,655,000","273,729,000","262,562,000","286,730,000","251,213,000","241,548,000","249,499,000","268,300,000","246,765,000","302,769,000","291,848,000","298,449,000","292,748,000","299,112,000","293,587,000","296,258,000","306,405,000","323,978,000","318,252,000","321,539,000","316,496,000","301,486,000","300,416,000","317,096,000","297,682,000","287,097,000","263,136,000","262,139,000","248,457,000","233,231,000","212,985,000","199,359,000","194,243,000","197,899,000","174,734,000","186,601,000","170,520,000",,"168,233,000","167,130,000","163,589,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"581,600,000","145,452,000","145,811,000","146,179,000","144,158,000","132,517,000","130,628,000","140,477,000","134,458,000","128,165,000","126,420,000","134,029,000","130,263,000","116,934,000","111,557,000","112,943,000","98,550,000","99,323,000","107,113,000","106,696,000","102,669,000","113,658,000","126,887,000","124,761,000","123,959,000","140,003,000","139,128,000","140,203,000","144,641,000","141,947,000","137,877,000","140,375,000","133,618,000","126,498,000","127,049,000","132,299,000","130,492,000","122,208,000","114,713,000","110,028,000","103,622,000","88,764,000","88,933,000","83,312,000","82,718,000","82,003,000","87,399,000","79,543,000","77,702,000","66,918,000","68,865,000","75,160,000","71,037,000","70,114,000","72,500,000","73,965,000","71,530,000","61,460,000","49,332,000","47,767,000","46,544,000","44,017,000","39,432,000","38,222,000","33,660,000","29,680,000","27,540,000","26,402,000","25,065,000","23,314,000","21,832,000","22,173,000","19,038,000","17,418,000","15,656,000","16,244,000","15,125,000","15,869,000","17,146,000","17,059,000","18,849,000","16,476,000","16,899,000","18,150,000","16,173,000","13,677,000","12,532,000","12,300,000","12,112,000","10,800,000","9,500,000","8,900,000","8,400,000","-58,500,000","16,000,000","38,200,000","27,200,000","6,100,000","1,700,000","1,600,000","1,500,000","1,000,000","900,000","1,000,000","900,000"
