name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalRevenue,"155,606,000,000","45,861,000,000","42,552,000,000","36,117,000,000","31,076,000,000","24,843,000,000","23,997,000,000","15,926,000,000","29,705,000,000","34,574,000,000","34,779,000,000","36,323,000,000","34,189,000,000","40,338,000,000","42,105,000,000","40,491,000,000","35,968,000,000","36,381,000,000","33,892,000,000","32,877,000,000","31,524,000,000","30,142,000,000","29,159,000,000","27,844,000,000","23,070,000,000","28,014,000,000","32,767,000,000","36,829,000,000","32,315,000,000","42,111,000,000","51,822,000,000","55,583,000,000","50,978,000,000","53,950,000,000","56,603,000,000","55,307,000,000","54,296,000,000","54,307,000,000","56,770,000,000","60,517,000,000","58,996,000,000","58,418,000,000","62,205,000,000","67,066,000,000","58,654,000,000","52,517,000,000","48,476,000,000","51,354,000,000","46,944,000,000","47,778,000,000","45,553,000,000","39,470,000,000","35,519,000,000","45,203,000,000","78,867,000,000","82,989,000,000","65,946,000,000","61,410,000,000","55,173,000,000","56,094,000,000","48,227,000,000","47,746,000,000","54,212,000,000","53,536,000,000","54,624,000,000","60,340,000,000","52,188,000,000","45,194,000,000","41,607,000,000","48,552,000,000","38,675,000,000","38,301,000,000","33,566,000,000","30,465,000,000","30,970,000,000","29,361,000,000","30,652,000,000","27,058,000,000","25,681,000,000","25,333,000,000","21,155,000,000","69,032,000,000","11,909,000,000","13,006,000,000","12,298,000,000","80,655,000,000","13,586,000,000","13,191,000,000","11,698,000,000","60,106,000,000","10,177,000,000","8,741,000,000","6,689,000,000","7,257,000,000","7,678,000,000","7,969,000,000","7,653,000,000","10,255,000,000","10,328,000,000","10,274,000,000","11,093,000,000","11,511,000,000","11,049,000,000","10,997,000,000","10,336,000,000","9,157,000,000","9,314,000,000","9,567,000,000","9,044,000,000","8,817,000,000","9,509,000,000","8,824,000,000","8,264,000,000","8,473,000,000","9,233,000,000","9,854,000,000","9,082,000,000"
	OperatingRevenue,"155,606,000,000","45,861,000,000","42,552,000,000","36,117,000,000","31,076,000,000","24,843,000,000","23,997,000,000","15,926,000,000","29,705,000,000","34,574,000,000","34,779,000,000","36,323,000,000","34,189,000,000","40,338,000,000","42,105,000,000","40,491,000,000","35,968,000,000","36,381,000,000","33,892,000,000","32,877,000,000","31,524,000,000","30,142,000,000","29,159,000,000","27,844,000,000","23,070,000,000","28,014,000,000","32,767,000,000","36,829,000,000","32,315,000,000","42,111,000,000","51,822,000,000","55,583,000,000","50,978,000,000","53,950,000,000","56,603,000,000","55,307,000,000","54,296,000,000","56,254,000,000","55,660,000,000","59,780,000,000","58,896,000,000","58,027,000,000","61,261,000,000","66,671,000,000","58,412,000,000","51,852,000,000","48,554,000,000","51,354,000,000","46,741,000,000","47,588,000,000","45,180,000,000","39,470,000,000","34,987,000,000","43,145,000,000","76,192,000,000","80,962,000,000","64,659,000,000","57,352,000,000","50,995,000,000","51,735,000,000","43,888,000,000","36,687,000,000","52,977,000,000","52,153,000,000","53,524,000,000","50,403,000,000","51,109,000,000","45,085,000,000","38,325,000,000","39,512,000,000","37,558,000,000","34,703,000,000","31,131,000,000","28,307,000,000","28,349,000,000","27,320,000,000","28,961,000,000","25,158,000,000","23,899,000,000","23,472,000,000","19,156,000,000","61,618,000,000","11,563,000,000","12,717,000,000","11,965,000,000","73,227,000,000","12,962,000,000","12,949,000,000","11,356,000,000","53,138,000,000","9,965,000,000","8,473,000,000","6,399,000,000","7,778,000,000","7,561,000,000","7,754,000,000","7,464,000,000","11,079,000,000","10,130,000,000","10,274,000,000","11,093,000,000","12,376,000,000","10,846,000,000","10,514,000,000","10,157,000,000","9,694,000,000","9,171,000,000","9,397,000,000","8,820,000,000","9,211,000,000","9,396,000,000","8,702,000,000","8,105,000,000","9,229,000,000","9,097,000,000","9,413,000,000","8,903,000,000"
CostOfRevenue,"107,297,000,000","32,154,000,000","28,138,000,000","25,151,000,000","21,854,000,000","17,873,000,000","17,465,000,000","14,861,000,000","19,797,000,000","36,122,000,000","24,243,000,000","25,169,000,000","23,797,000,000","29,172,000,000","30,061,000,000","29,242,000,000","25,522,000,000","25,893,000,000","23,885,000,000","23,636,000,000","21,700,000,000","21,179,000,000","19,972,000,000","21,999,000,000","15,628,000,000","19,970,000,000","21,715,000,000","27,499,000,000","21,604,000,000","29,136,000,000","34,689,000,000","37,686,000,000","34,953,000,000","36,326,000,000","38,480,000,000","37,685,000,000","36,391,000,000","47,372,000,000","33,982,000,000","36,772,000,000","36,053,000,000","66,097,000,000","37,600,000,000","40,759,000,000","40,264,000,000","35,452,000,000","33,275,000,000","35,195,000,000","31,733,000,000","33,505,000,000","31,372,000,000","27,887,000,000","24,746,000,000","29,329,000,000","55,185,000,000","61,611,000,000","47,236,000,000","43,303,000,000","38,680,000,000","37,535,000,000","32,046,000,000","32,297,000,000","36,010,000,000","36,847,000,000","38,717,000,000","38,339,000,000","39,468,000,000","33,982,000,000","29,113,000,000","29,447,000,000","28,376,000,000","24,937,000,000","22,234,000,000","20,615,000,000","20,458,000,000","19,266,000,000","20,368,000,000","18,355,000,000","17,155,000,000","16,528,000,000","13,650,000,000","46,536,000,000","7,382,000,000","8,069,000,000","7,251,000,000","54,408,000,000","8,410,000,000","8,685,000,000","7,583,000,000","38,597,000,000","6,649,000,000","5,826,000,000","4,029,000,000","-677,000,000","4,733,000,000","5,038,000,000","4,942,000,000","334,000,000","6,491,000,000","6,232,000,000","7,166,000,000","1,492,000,000","7,351,000,000","7,130,000,000","6,853,000,000","-137,000,000","6,183,000,000","6,033,000,000","5,954,000,000","-876,000,000","6,704,000,000","5,876,000,000","5,286,000,000","-1,407,000,000","6,042,000,000","7,353,000,000","6,019,000,000"
GrossProfit,"48,309,000,000","13,707,000,000","14,414,000,000","10,966,000,000","9,222,000,000","6,970,000,000","6,532,000,000","1,065,000,000","9,908,000,000","-1,548,000,000","10,536,000,000","11,154,000,000","10,392,000,000","11,166,000,000","12,044,000,000","11,249,000,000","10,446,000,000","10,488,000,000","10,007,000,000","9,241,000,000","9,824,000,000","8,963,000,000","9,187,000,000","5,845,000,000","7,442,000,000","8,044,000,000","11,052,000,000","9,330,000,000","10,711,000,000","12,975,000,000","17,133,000,000","17,897,000,000","16,025,000,000","17,624,000,000","18,123,000,000","17,622,000,000","17,905,000,000","6,935,000,000","22,788,000,000","23,745,000,000","22,943,000,000","-7,679,000,000","24,605,000,000","26,307,000,000","18,390,000,000","17,065,000,000","15,201,000,000","16,159,000,000","15,211,000,000","14,273,000,000","14,181,000,000","11,583,000,000","10,773,000,000","15,874,000,000","23,682,000,000","21,378,000,000","18,710,000,000","18,107,000,000","16,493,000,000","18,559,000,000","16,181,000,000","15,449,000,000","18,202,000,000","16,689,000,000","15,907,000,000","22,001,000,000","12,720,000,000","11,212,000,000","12,494,000,000","19,105,000,000","10,299,000,000","13,364,000,000","11,332,000,000","9,850,000,000","10,512,000,000","10,095,000,000","10,284,000,000","8,703,000,000","8,526,000,000","8,805,000,000","7,505,000,000","22,496,000,000","4,527,000,000","4,937,000,000","5,047,000,000","26,247,000,000","5,176,000,000","4,506,000,000","4,115,000,000","21,509,000,000","3,528,000,000","2,915,000,000","2,660,000,000","7,934,000,000","2,945,000,000","2,931,000,000","2,711,000,000","9,921,000,000","3,837,000,000","4,042,000,000","3,927,000,000","10,019,000,000","3,698,000,000","3,867,000,000","3,483,000,000","9,294,000,000","3,131,000,000","3,534,000,000","3,090,000,000","9,693,000,000","2,805,000,000","2,948,000,000","2,978,000,000","9,880,000,000","3,191,000,000","2,501,000,000","3,063,000,000"
OperatingExpense,"32,129,000,000","8,749,000,000","8,243,000,000","7,674,000,000","7,463,000,000","7,670,000,000","6,644,000,000","8,959,000,000","7,299,000,000","8,357,000,000","7,506,000,000","7,451,000,000","7,120,000,000","7,876,000,000","7,887,000,000","7,770,000,000","6,926,000,000","10,069,000,000","9,627,000,000","8,843,000,000","8,541,000,000","9,748,000,000","8,995,000,000","9,274,000,000","9,636,000,000","11,487,000,000","9,816,000,000","11,495,000,000","10,049,000,000","11,568,000,000","11,127,000,000","11,225,000,000","10,384,000,000","11,634,000,000","11,188,000,000","11,095,000,000","10,144,000,000","1,204,000,000","14,130,000,000","8,061,000,000","12,583,000,000","-7,992,000,000","13,492,000,000","9,722,000,000","8,955,000,000","9,805,000,000","9,561,000,000","9,026,000,000","8,776,000,000","9,350,000,000","9,051,000,000","8,966,000,000","8,203,000,000","8,628,000,000","9,341,000,000","9,613,000,000","9,005,000,000","6,939,000,000","6,929,000,000","6,806,000,000","6,105,000,000","-827,000,000","8,754,000,000","8,167,000,000","8,105,000,000","5,955,000,000","5,885,000,000","5,621,000,000","5,343,000,000","5,670,000,000","5,358,000,000","5,200,000,000","5,122,000,000","5,315,000,000","5,210,000,000","5,220,000,000","4,890,000,000","4,996,000,000","5,133,000,000","4,780,000,000","4,160,000,000","12,415,000,000","2,503,000,000","2,423,000,000","2,312,000,000","11,385,000,000","2,405,000,000","2,246,000,000","2,137,000,000","10,997,000,000","2,305,000,000","2,225,000,000","2,041,000,000","8,416,000,000","2,075,000,000","1,973,000,000","1,818,000,000","8,438,000,000","2,519,000,000","2,570,000,000","2,386,000,000","8,949,000,000","2,354,000,000","2,362,000,000","2,298,000,000","9,905,000,000","2,379,000,000","2,325,000,000","2,250,000,000","2,722,000,000","2,022,000,000","2,343,000,000","2,245,000,000","2,725,000,000","2,193,000,000","2,218,000,000","2,092,000,000"
	SellingGeneralAndAdministration,"4,014,000,000","1,271,000,000","657,000,000","1,096,000,000","990,000,000","1,129,000,000","832,000,000","1,569,000,000","683,000,000","1,129,000,000","954,000,000","1,076,000,000","984,000,000","1,080,000,000","1,018,000,000","1,017,000,000","723,000,000","1,349,000,000","1,238,000,000","991,000,000","870,000,000","1,544,000,000","1,109,000,000","1,033,000,000","998,000,000","1,303,000,000","1,026,000,000","1,170,000,000","944,000,000","1,368,000,000","1,122,000,000","1,077,000,000","927,000,000","1,176,000,000","1,197,000,000","1,139,000,000","998,000,000","-15,115,000,000","7,046,000,000","6,670,000,000","6,123,000,000","-14,371,000,000","6,493,000,000","6,460,000,000","1,100,000,000","1,408,000,000","1,181,000,000","1,136,000,000","1,042,000,000","1,330,000,000","1,177,000,000","1,043,000,000","977,000,000","1,492,000,000","1,278,000,000","1,639,000,000","1,347,000,000","1,833,000,000","1,446,000,000","1,516,000,000","1,131,000,000","1,203,000,000","1,428,000,000","1,207,000,000","1,523,000,000","1,340,000,000","1,337,000,000","1,152,000,000","999,000,000","1,319,000,000","1,231,000,000","986,000,000","1,021,000,000","1,173,000,000","1,197,000,000","1,061,000,000","1,009,000,000","1,107,000,000","1,032,000,000","1,153,000,000","863,000,000","2,544,000,000","537,000,000","462,000,000","441,000,000","2,464,000,000","399,000,000","386,000,000","377,000,000","2,019,000,000","357,000,000","449,000,000","397,000,000","1,343,000,000","367,000,000","276,000,000","253,000,000","496,000,000","301,000,000","391,000,000","345,000,000","334,000,000","303,000,000","386,000,000","354,000,000","397,000,000","344,000,000","342,000,000","301,000,000","339,000,000","-9,000,000","325,000,000","308,000,000","410,000,000","359,000,000","395,000,000","366,000,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,370,000,000","3,284,000,000","3,205,000,000","3,313,000,000","3,215,000,000","3,257,000,000","3,126,000,000","3,439,000,000","3,401,000,000","3,141,000,000","3,082,000,000","3,156,000,000","2,988,000,000","3,099,000,000","2,867,000,000","2,589,000,000","2,449,000,000","2,275,000,000","2,215,000,000","2,094,000,000","2,495,000,000","2,156,000,000","1,963,000,000","1,988,000,000","1,923,000,000","1,807,000,000","1,788,000,000","1,725,000,000","1,534,000,000","1,320,000,000","1,334,000,000","1,285,000,000","1,219,000,000","1,251,000,000","1,192,000,000","1,322,000,000","1,409,000,000","1,411,000,000","1,242,000,000","1,271,000,000","1,514,000,000","1,241,000,000","1,205,000,000","4,974,000,000","713,000,000","690,000,000","682,000,000","3,170,000,000","801,000,000","699,000,000","651,000,000","2,968,000,000","767,000,000","633,000,000","566,000,000","646,000,000","563,000,000","557,000,000","554,000,000","657,000,000","548,000,000","549,000,000","546,000,000","603,000,000","558,000,000","524,000,000","531,000,000","1,679,000,000","560,000,000","566,000,000","576,000,000","598,000,000","626,000,000","615,000,000","592,000,000","652,000,000","615,000,000","596,000,000","589,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,589,000,000","2,449,000,000","2,275,000,000","2,215,000,000","2,094,000,000","2,495,000,000","2,156,000,000","1,963,000,000","1,988,000,000","1,923,000,000","1,807,000,000","1,788,000,000","1,725,000,000","1,534,000,000","1,320,000,000","1,334,000,000","1,285,000,000","1,219,000,000","1,251,000,000","1,192,000,000","1,322,000,000","1,409,000,000","1,411,000,000","1,242,000,000","1,271,000,000","1,514,000,000","1,241,000,000","1,205,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"6,840,000,000","1,779,000,000","2,075,000,000","1,566,000,000","1,420,000,000","1,276,000,000","1,091,000,000","965,000,000","1,167,000,000","969,000,000","1,059,000,000","1,047,000,000","1,061,000,000","901,000,000","1,259,000,000","1,363,000,000","1,344,000,000","3,182,000,000","3,213,000,000","3,065,000,000","2,871,000,000","2,869,000,000","2,962,000,000","2,973,000,000","2,864,000,000","2,856,000,000","2,883,000,000","3,173,000,000","3,118,000,000","3,118,000,000","3,236,000,000","3,167,000,000","3,019,000,000","3,211,000,000","3,366,000,000","3,349,000,000","3,137,000,000","3,251,000,000","3,239,000,000","3,034,000,000","2,852,000,000","2,680,000,000","3,544,000,000","4,843,000,000","4,561,000,000","4,623,000,000","4,559,000,000","4,537,000,000","4,472,000,000","4,583,000,000","4,644,000,000","4,386,000,000","3,978,000,000","4,547,000,000","5,614,000,000","5,699,000,000","5,443,000,000","3,012,000,000","2,988,000,000","3,134,000,000","3,011,000,000","-4,018,000,000","5,403,000,000","5,153,000,000","4,794,000,000","2,890,000,000","3,014,000,000","3,149,000,000","3,010,000,000","3,066,000,000","2,908,000,000","2,963,000,000","2,909,000,000","2,820,000,000","2,604,000,000","2,748,000,000","2,639,000,000","2,618,000,000","2,587,000,000","2,386,000,000","2,092,000,000","4,897,000,000","1,253,000,000","1,271,000,000","1,189,000,000","5,751,000,000","1,205,000,000","1,161,000,000","1,109,000,000","6,010,000,000","1,181,000,000","1,143,000,000","1,078,000,000",,"1,145,000,000","1,140,000,000","1,011,000,000",,"1,670,000,000","1,630,000,000","1,495,000,000",,"1,493,000,000","1,452,000,000","1,413,000,000",,"1,475,000,000","1,417,000,000","1,373,000,000","1,406,000,000","1,405,000,000","1,403,000,000","1,345,000,000","1,303,000,000","1,219,000,000","1,227,000,000","1,137,000,000"
	OtherOperatingExpenses,"21,275,000,000","5,699,000,000","5,511,000,000","5,012,000,000","5,053,000,000","5,265,000,000","4,721,000,000","6,425,000,000","5,449,000,000","6,259,000,000","5,493,000,000","5,328,000,000","5,075,000,000","5,895,000,000","5,610,000,000","5,390,000,000","4,859,000,000","5,538,000,000","5,176,000,000","4,787,000,000","4,800,000,000","5,335,000,000","4,924,000,000","5,268,000,000","5,774,000,000","7,328,000,000","5,907,000,000","7,152,000,000","5,987,000,000","7,082,000,000","6,769,000,000","6,981,000,000","6,438,000,000","7,247,000,000","6,625,000,000","6,607,000,000","6,009,000,000","22,927,000,000","475,000,000","-4,927,000,000","403,000,000","386,000,000","240,000,000","-4,838,000,000","168,000,000","335,000,000","420,000,000","212,000,000","180,000,000","281,000,000","242,000,000","438,000,000","381,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
