name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
TotalRevenue,"9,570,000,000","2,591,000,000","2,685,000,000","2,502,000,000","1,699,000,000","1,497,000,000","1,377,000,000","126,470,000","473,069,000","592,124,000","663,181,000","637,121,000","635,823,000","671,760,000","487,253,000","456,802,000","440,192,000","472,526,000","444,874,000","355,180,000","200,925,000","206,450,000","241,565,000","231,315,000","213,566,000","186,160,000","183,540,000","182,633,000","167,451,000","164,095,000","78,949,000","61,749,000","57,030,000","55,548,000","63,631,000"
	OperatingRevenue,"8,518,000,000","2,291,000,000","2,368,000,000","2,248,000,000","1,521,000,000","1,319,000,000","1,244,000,000","116,962,000","444,371,000","557,098,000","630,753,000","610,909,000","610,751,000","645,013,000","471,102,000","441,939,000","426,467,000","501,471,000","467,984,000","377,687,000","210,951,000","216,134,000","254,161,000","243,996,000","223,666,000","195,227,000","193,371,000","191,783,000","178,083,000","174,253,000","87,430,000","70,486,000","64,903,000","63,013,000","72,284,000"
CostOfRevenue,"4,647,000,000","1,473,000,000","1,284,000,000","1,045,000,000","796,000,000","777,000,000","667,000,000","58,629,000","243,860,000","279,595,000","302,368,000","298,596,000","305,590,000","335,899,000","248,735,000","236,720,000","234,238,000","258,403,000","233,778,000","193,795,000","120,963,000","127,377,000","143,078,000","138,685,000","130,517,000","116,347,000","112,903,000","112,041,000","105,492,000","106,496,000","48,011,000","36,403,000","34,589,000","34,991,000","37,276,000"
GrossProfit,"4,923,000,000","1,118,000,000","1,401,000,000","1,457,000,000","903,000,000","720,000,000","710,000,000","67,841,000","229,209,000","312,529,000","360,813,000","338,525,000","330,233,000","335,861,000","238,518,000","220,082,000","205,954,000","214,123,000","211,096,000","161,385,000","79,962,000","79,073,000","98,487,000","92,630,000","83,049,000","69,813,000","70,637,000","70,592,000","61,959,000","57,599,000","30,938,000","25,346,000","22,441,000","20,557,000","26,355,000"
OperatingExpense,"3,217,000,000","863,000,000","848,000,000","795,000,000","697,000,000","723,000,000","643,000,000","131,956,000","183,543,000","218,185,000","221,665,000","227,095,000","226,700,000","237,797,000","143,698,000","139,719,000","138,606,000","158,258,000","130,059,000","107,888,000","64,009,000","62,027,000","65,653,000","62,083,000","64,337,000","55,117,000","48,707,000","48,389,000","49,274,000","50,259,000","24,932,000","19,651,000","19,137,000","19,537,000","20,007,000"
	SellingGeneralAndAdministration,"2,091,000,000","579,000,000","572,000,000","494,000,000","432,000,000","462,000,000","420,000,000","83,017,000","133,110,000","163,542,000","169,073,000","170,562,000","168,943,000","179,572,000","107,938,000","107,809,000","107,072,000","122,002,000","100,937,000","82,979,000","48,405,000","46,175,000","49,843,000","46,500,000","48,133,000","40,650,000","34,753,000","34,358,000","34,805,000","35,173,000","19,649,000","15,565,000","14,949,000","15,506,000","15,710,000"
		GeneralAndAdministrativeExpense,"2,091,000,000","579,000,000","572,000,000","494,000,000","432,000,000","462,000,000","420,000,000","77,912,000","108,157,000","131,842,000","135,781,000","138,482,000","136,642,000","139,666,000","84,816,000","85,977,000","85,771,000","94,322,000","76,303,000","62,821,000","38,349,000","36,239,000","38,520,000","36,734,000","38,559,000","31,744,000","26,937,000","26,954,000","27,704,000","27,339,000","14,387,000","10,818,000","10,812,000","10,839,000","11,060,000"
			OtherGandA,"2,091,000,000","579,000,000","572,000,000","494,000,000","432,000,000","462,000,000","420,000,000","77,912,000","108,157,000","131,842,000","135,781,000","138,482,000","136,642,000","139,666,000","84,816,000","85,977,000","85,771,000","94,322,000","76,303,000","62,821,000","38,349,000","36,239,000","38,520,000","36,734,000","38,559,000","31,744,000","26,937,000","26,954,000","27,704,000","27,339,000","14,387,000","10,818,000","10,812,000","10,839,000","11,060,000"
		SellingAndMarketingExpense,,,,,,,,"5,105,000","24,953,000","31,700,000","33,292,000","32,080,000","32,301,000","39,906,000","23,122,000","21,832,000","21,301,000","27,680,000","24,634,000","20,158,000","10,056,000","9,936,000","11,323,000","9,766,000","9,574,000","8,906,000","7,816,000","7,404,000","7,101,000","7,834,000","5,262,000","4,747,000","4,137,000","4,667,000","4,650,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,126,000,000","284,000,000","276,000,000","301,000,000","265,000,000","261,000,000","223,000,000","48,939,000","50,433,000","54,643,000","52,592,000","56,533,000","57,757,000","58,225,000","35,760,000","31,910,000","31,534,000","36,256,000","29,122,000","24,909,000","15,604,000","15,852,000","15,810,000","15,583,000","16,204,000","14,467,000","13,954,000","14,031,000","14,469,000","15,086,000","5,283,000","4,086,000","4,188,000","4,031,000","4,297,000"
		DepreciationAndAmortizationInIncomeStatement,"1,126,000,000","284,000,000","276,000,000","301,000,000","265,000,000","261,000,000","223,000,000","48,939,000","50,433,000","54,643,000","52,592,000","56,533,000","57,757,000","58,225,000","35,760,000","31,910,000","31,534,000","36,256,000","29,122,000","24,909,000","15,604,000","15,852,000","15,810,000","15,583,000","16,204,000","14,467,000","13,954,000","14,031,000","14,469,000","15,086,000","5,283,000","4,086,000","4,188,000","4,031,000","4,297,000"
