name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
TotalRevenue,"71,887,000,000","17,235,000,000","17,844,000,000","17,470,000,000","19,678,000,000","16,846,000,000","17,693,000,000","20,005,000,000","21,224,000,000","18,578,000,000","18,775,000,000","18,947,000,000","18,769,000,000","17,300,000,000","18,700,000,000","18,788,000,000","19,248,000,000","17,568,000,000","18,474,000,000","18,353,000,000","18,425,000,000","17,319,000,000","18,096,000,000","17,815,000,000","17,790,000,000","18,725,000,000","18,956,000,000","19,759,000,000","20,032,000,000","18,850,000,000","19,604,000,000","19,342,000,000","20,124,000,000","18,912,000,000","17,880,000,000","20,479,000,000","20,491,000,000","19,436,000,000","13,951,000,000","18,642,000,000","19,406,000,000","18,474,000,000","20,831,000,000","20,622,000,000","19,726,000,000","18,172,000,000","20,958,000,000","22,071,000,000","25,421,000,000","5,405,000,000","20,390,000,000","29,969,000,000","24,789,000,000","5,595,000,000","16,680,000,000","18,652,000,000","13,219,000,000","7,216,000,000","22,393,000,000","26,630,000,000","25,459,000,000","23,828,000,000","21,422,000,000","22,182,000,000","22,183,000,000","20,779,000,000","21,498,000,000","20,169,000,000","21,533,000,000","21,886,000,000","20,514,000,000","22,302,000,000","21,488,000,000","20,154,000,000","19,398,000,000","19,354,000,000","18,536,000,000","17,873,000,000","17,644,000,000","21,273,000,000","20,995,000,000","21,004,000,000","19,387,000,000","19,385,000,000","20,281,000,000","25,963,000,000","16,337,000,000","15,904,000,000","16,984,000,000","14,766,000,000","14,021,000,000","14,380,000,000","14,070,000,000","30,055,000,000","4,927,000,000","6,763,000,000","7,191,000,000","9,873,000,000","5,741,000,000","5,277,000,000","5,275,000,000","5,163,000,000","5,042,000,000","5,260,000,000","4,018,000,000","3,647,000,000","3,801,000,000","3,654,000,000","3,875,000,000","4,226,000,000","4,356,000,000","4,307,000,000","4,546,000,000","1,988,700,000","1,837,600,000","1,126,200,000","1,150,500,000","1,223,100,000","1,078,200,000","1,100,400,000","1,237,000,000","1,669,800,000","1,372,800,000","1,415,700,000","1,336,600,000","1,451,700,000","1,243,600,000","1,304,500,000","1,182,100,000",,,,,,,,,,,,,,,,
	OperatingRevenue,"71,887,000,000","17,235,000,000","17,844,000,000","17,470,000,000","19,678,000,000","16,846,000,000","17,693,000,000","20,005,000,000","21,224,000,000","18,578,000,000","18,775,000,000","18,947,000,000","18,769,000,000","17,300,000,000","18,700,000,000","18,788,000,000","19,248,000,000","17,568,000,000","18,474,000,000","18,353,000,000","18,425,000,000","17,319,000,000","18,096,000,000","17,815,000,000","17,790,000,000","18,725,000,000","18,956,000,000","19,759,000,000","20,032,000,000","18,850,000,000","19,604,000,000","19,342,000,000","20,124,000,000","18,912,000,000","17,880,000,000","20,479,000,000","20,491,000,000","19,436,000,000","13,951,000,000","18,642,000,000","19,406,000,000","18,474,000,000","20,831,000,000","20,622,000,000","19,726,000,000","18,172,000,000","20,958,000,000","22,071,000,000","25,421,000,000","5,405,000,000","20,390,000,000","29,969,000,000","24,789,000,000","5,595,000,000","16,680,000,000","18,652,000,000","13,219,000,000","7,216,000,000","22,393,000,000","26,630,000,000","25,459,000,000","23,828,000,000","21,422,000,000","22,182,000,000","22,183,000,000","20,779,000,000","21,498,000,000","20,169,000,000","21,533,000,000","21,886,000,000","20,514,000,000","22,302,000,000","21,488,000,000","20,154,000,000","19,398,000,000","19,354,000,000","18,536,000,000","17,873,000,000","17,644,000,000","21,273,000,000","20,995,000,000","21,004,000,000","19,387,000,000","19,385,000,000","20,281,000,000","25,963,000,000","16,337,000,000","15,904,000,000","16,984,000,000","14,766,000,000","14,021,000,000","14,380,000,000","14,070,000,000","30,055,000,000","4,927,000,000","6,763,000,000","7,191,000,000","9,873,000,000","5,741,000,000","5,277,000,000","5,275,000,000","5,163,000,000","5,042,000,000","5,260,000,000","4,018,000,000","3,647,000,000","3,801,000,000","3,654,000,000","3,875,000,000","4,226,000,000","4,356,000,000","4,307,000,000","4,546,000,000","1,988,700,000","1,837,600,000","1,126,200,000","1,150,500,000","1,223,100,000","1,078,200,000","1,100,400,000","1,237,000,000","1,669,800,000","1,372,800,000","1,415,700,000","1,336,600,000","1,451,700,000","1,243,600,000","1,304,500,000","1,182,100,000",,,,,,,,,,,,,,,,
PretaxIncome,"27,469,000,000","3,950,000,000","5,862,000,000","7,348,000,000","10,309,000,000","4,998,000,000","4,076,000,000","1,448,000,000","3,110,000,000","5,702,000,000","6,022,000,000","6,165,000,000","6,012,000,000","5,306,000,000","6,104,000,000","5,945,000,000","6,090,000,000","5,099,000,000","6,003,000,000","5,678,000,000","5,981,000,000","5,100,000,000","5,620,000,000","5,770,000,000","4,987,000,000","4,808,000,000","6,187,000,000","6,894,000,000","6,937,000,000","1,373,000,000","4,899,000,000","2,091,000,000","6,001,000,000","3,415,000,000","4,266,000,000","6,315,000,000","5,553,000,000","1,130,000,000","-964,000,000","3,702,000,000","4,068,000,000","1,089,000,000","5,020,000,000","4,299,000,000","4,216,000,000","1,060,000,000","3,299,000,000","3,540,000,000","5,285,000,000","-15,093,000,000","-529,000,000","5,294,000,000","2,395,000,000","-32,430,000,000","-6,717,000,000","-4,554,000,000","-9,002,000,000","-16,858,000,000","2,750,000,000","8,935,000,000","6,874,000,000","7,659,000,000","7,323,000,000","7,565,000,000","7,092,000,000","7,223,000,000","7,152,000,000","6,910,000,000","7,684,000,000","7,478,000,000","7,613,000,000","1,193,000,000","7,671,000,000","6,872,000,000","6,899,000,000","6,255,000,000","6,022,000,000","3,633,000,000","5,604,000,000","6,205,000,000","7,088,000,000","5,773,000,000","4,855,000,000","5,612,000,000","5,570,000,000","5,980,000,000","4,839,000,000","4,621,000,000","5,601,000,000","4,121,000,000","3,814,000,000","3,850,000,000","3,912,000,000","5,315,000,000","253,000,000","1,771,000,000","1,702,000,000","1,426,000,000","1,305,800,000","1,049,000,000","1,019,000,000","1,010,000,000","884,000,000","657,000,000","800,000,000","762,000,000","707,000,000","582,000,000","523,000,000","619,000,000","502,000,000","490,000,000","538,000,000","442,700,000","440,300,000","292,500,000","325,500,000","353,200,000","251,400,000","231,500,000","351,900,000","212,800,000","195,700,000","189,400,000","167,600,000","159,300,000","145,700,000","153,400,000","130,200,000",,,,,,,,,,,,,,,,
TaxProvision,"5,451,000,000","771,000,000","1,193,000,000","1,155,000,000","2,332,000,000","1,003,000,000","815,000,000","131,000,000","576,000,000","703,000,000","1,079,000,000","1,373,000,000","1,275,000,000","1,001,000,000","1,471,000,000","1,444,000,000","1,441,000,000","23,864,000,000","1,866,000,000","1,795,000,000","1,863,000,000","1,509,000,000","1,733,000,000","1,723,000,000","1,479,000,000","1,403,000,000","1,881,000,000","2,036,000,000","2,120,000,000","991,000,000","1,985,000,000","1,838,000,000","2,050,000,000","1,090,000,000","1,080,000,000","2,127,000,000","1,588,000,000","-206,000,000","-1,488,000,000","715,000,000","1,006,000,000","91,000,000","1,278,000,000","967,000,000","1,185,000,000","-313,000,000","698,000,000","812,000,000","1,036,000,000","-7,353,000,000","-1,122,000,000","907,000,000","785,000,000","-10,975,000,000","-3,294,000,000","-2,337,000,000","-3,891,000,000","-7,310,000,000","538,000,000","2,709,000,000","1,862,000,000","2,241,000,000","2,020,000,000","2,303,000,000","1,537,000,000","2,251,000,000","2,164,000,000","2,179,000,000","2,516,000,000","2,157,000,000","2,305,000,000","49,000,000","2,398,000,000","2,112,000,000","2,208,000,000","1,956,000,000","1,919,000,000","1,204,000,000","1,898,000,000","2,121,000,000","2,198,000,000","1,898,000,000","1,678,000,000","1,960,000,000","1,990,000,000","2,144,000,000","1,751,000,000","1,616,000,000","2,011,000,000","1,499,000,000","1,379,000,000","1,402,000,000","1,423,000,000","1,941,000,000","54,000,000","630,000,000","609,000,000","450,000,000","483,000,000","386,000,000","377,000,000","367,000,000","323,000,000","81,000,000","280,000,000","272,000,000","251,000,000","205,000,000","183,000,000","285,000,000","170,000,000","170,000,000","198,000,000","143,800,000","181,600,000","106,100,000","118,500,000","133,300,000","86,400,000","81,000,000","130,900,000","80,700,000","72,200,000","72,100,000","61,700,000","60,500,000","51,700,000","56,500,000","47,000,000",,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"20,758,000,000","2,924,000,000","4,352,000,000","5,899,000,000","7,584,000,000","3,689,000,000","2,928,000,000","1,052,000,000","2,210,000,000","4,649,000,000","4,632,000,000","4,453,000,000","4,389,000,000","3,951,000,000","4,301,000,000","4,123,000,000","4,297,000,000","-19,094,000,000","3,808,000,000","3,504,000,000","3,734,000,000","3,203,000,000","3,562,000,000","3,623,000,000","3,251,000,000","3,028,000,000","4,061,000,000","4,580,000,000","4,580,000,000","188,000,000","2,667,000,000","80,000,000","3,757,000,000","2,339,000,000","3,056,000,000","4,090,000,000","3,732,000,000","1,021,000,000","464,000,000","2,937,000,000","2,927,000,000","761,000,000","3,767,000,000","3,332,000,000","2,995,000,000","1,210,000,000","2,168,000,000","2,697,000,000","4,428,000,000","-7,768,000,000","-3,242,000,000","2,730,000,000","-966,000,000","-18,162,000,000","-2,815,000,000","-2,856,000,000","-5,194,000,000","-9,833,000,000","2,206,000,000","6,212,000,000","4,996,000,000","5,113,000,000","5,489,000,000","5,249,000,000","5,622,000,000","6,915,000,000","7,126,000,000","5,056,000,000","5,424,000,000","5,304,000,000","5,291,000,000","1,127,000,000","5,256,000,000","4,743,000,000","4,674,000,000","4,282,000,000","4,083,000,000","2,409,000,000","3,899,000,000","4,063,000,000","4,822,000,000","3,849,000,000","3,149,000,000","3,508,000,000","3,510,000,000","3,808,000,000","3,059,000,000","2,976,000,000","3,560,000,000","2,589,000,000","2,397,000,000","2,410,000,000","2,322,000,000","3,251,000,000","168,000,000","1,110,000,000","1,062,000,000","892,000,000","804,800,000","644,000,000","621,000,000","624,000,000","564,000,000","555,000,000","493,000,000","585,000,000","460,000,000","385,000,000","318,000,000","312,000,000","311,000,000","298,000,000","319,000,000","273,200,000","252,300,000","180,300,000","184,200,000","185,700,000","163,800,000","150,500,000","221,000,000","132,100,000","123,500,000","117,300,000","105,900,000","98,800,000","94,000,000","96,900,000","83,200,000",,,,,,,,,,,,,,,,
	NetIncome,"21,952,000,000","3,173,000,000","4,644,000,000","6,193,000,000","7,942,000,000","3,979,000,000","3,230,000,000","1,316,000,000","2,522,000,000","4,979,000,000","4,913,000,000","4,799,000,000","4,710,000,000","4,313,000,000","4,622,000,000","4,490,000,000","4,620,000,000","-18,893,000,000","4,133,000,000","3,872,000,000","4,090,000,000","3,573,000,000","3,840,000,000","3,998,000,000","3,501,000,000","3,335,000,000","4,291,000,000","4,846,000,000","4,770,000,000","350,000,000","2,839,000,000","181,000,000","3,943,000,000","2,456,000,000","3,227,000,000","4,182,000,000","3,808,000,000","1,196,000,000","468,000,000","2,946,000,000","2,931,000,000","956,000,000","3,771,000,000","3,341,000,000","2,999,000,000","1,309,000,000","2,168,000,000","2,697,000,000","4,428,000,000","-7,579,000,000","101,000,000","4,279,000,000","1,593,000,000","-17,263,000,000","-2,815,000,000","-2,495,000,000","-5,111,000,000","-9,833,000,000","2,212,000,000","6,226,000,000","5,012,000,000","5,129,000,000","5,505,000,000","5,265,000,000","5,639,000,000","6,932,000,000","7,143,000,000","5,073,000,000","5,441,000,000","5,321,000,000","5,308,000,000","1,144,000,000","5,273,000,000","4,760,000,000","4,691,000,000","4,299,000,000","4,103,000,000","2,429,000,000","3,920,000,000","4,084,000,000","4,843,000,000","3,875,000,000","3,177,000,000","3,536,000,000","3,538,000,000","3,836,000,000","3,088,000,000","3,005,000,000","3,590,000,000","2,622,000,000","2,435,000,000","2,448,000,000","2,362,000,000","3,374,000,000","199,000,000","1,141,000,000","1,093,000,000","976,000,000","822,800,000","663,000,000","642,000,000","643,000,000","592,000,000","576,000,000","520,000,000","607,000,000","481,000,000","406,000,000","340,000,000","334,000,000","332,000,000","320,000,000","340,000,000","280,600,000","258,700,000","186,400,000","190,300,000","191,800,000","165,000,000","150,500,000","221,000,000","132,100,000","123,500,000","117,300,000","105,900,000","98,800,000","94,000,000","96,900,000","83,200,000",,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"22,025,000,000","3,179,000,000","4,668,000,000","6,203,000,000","7,975,000,000","4,001,000,000","3,254,000,000","1,316,000,000","2,516,000,000","4,995,000,000","4,928,000,000","4,809,000,000","4,735,000,000","4,297,000,000","4,625,000,000","4,516,000,000","4,642,000,000","-18,874,000,000","4,132,000,000","3,904,000,000","4,100,000,000","3,588,000,000","3,857,000,000","4,024,000,000","3,506,000,000","3,360,000,000","4,296,000,000","4,864,000,000","4,812,000,000","381,000,000","2,898,000,000","231,000,000","3,988,000,000","2,506,000,000","3,278,000,000","4,218,000,000","3,898,000,000","1,224,000,000","493,000,000","2,986,000,000","3,057,000,000","998,000,000","3,743,000,000","3,403,000,000","3,071,000,000","1,471,000,000","2,227,000,000","2,725,000,000","4,460,000,000","-7,508,000,000","175,000,000","4,245,000,000","1,577,000,000","-17,572,000,000","-2,910,000,000","-2,419,000,000","-5,132,000,000","-9,738,000,000","2,232,000,000","6,349,000,000","5,059,000,000","5,281,000,000","5,551,000,000","5,296,000,000","5,699,000,000","6,970,000,000","7,236,000,000","5,328,000,000","5,605,000,000","5,372,000,000","5,377,000,000","1,182,000,000","5,342,000,000","4,801,000,000","4,856,000,000","4,340,000,000","4,141,000,000","2,461,000,000","3,944,000,000","4,179,000,000","4,860,000,000","3,912,000,000","3,203,000,000","3,551,000,000","3,547,000,000","3,847,000,000","3,101,000,000","3,028,000,000","3,645,000,000","2,692,000,000","2,491,000,000","2,513,000,000","2,422,000,000","3,439,000,000","252,000,000","1,193,000,000","1,151,000,000","1,035,000,000","877,800,000","712,000,000","691,000,000","690,000,000","636,000,000","532,000,000","520,000,000","607,000,000","481,000,000","406,000,000","340,000,000","334,000,000","332,000,000","320,000,000","340,000,000","283,700,000","265,400,000","190,400,000","198,500,000","191,800,000","165,000,000","150,500,000","221,000,000","146,700,000","127,500,000","121,700,000","108,400,000","106,000,000","97,200,000","99,200,000","84,200,000","138,200,000","78,300,000","63,400,000","51,400,000","67,500,000","33,100,000","31,900,000","29,300,000","4,500,000","29,100,000","-30,000,000","20,100,000","3,100,000","9,200,000","13,000,000","20,600,000"
			NetIncomeContinuousOperations,"22,018,000,000","3,179,000,000","4,669,000,000","6,193,000,000","7,977,000,000","3,995,000,000","3,261,000,000","1,317,000,000","2,534,000,000","4,999,000,000","4,943,000,000","4,792,000,000","4,737,000,000","4,305,000,000","4,633,000,000","4,501,000,000","4,649,000,000","-18,765,000,000","4,137,000,000","3,883,000,000","4,118,000,000","3,591,000,000","3,887,000,000","4,047,000,000","3,508,000,000","3,405,000,000","4,306,000,000","4,858,000,000","4,817,000,000","382,000,000","2,914,000,000","253,000,000","3,951,000,000","2,325,000,000","3,186,000,000","4,188,000,000","3,965,000,000","1,336,000,000","524,000,000","2,987,000,000","3,062,000,000","998,000,000","3,742,000,000","3,332,000,000","3,031,000,000","1,373,000,000","2,601,000,000","2,728,000,000","4,249,000,000","-7,740,000,000","593,000,000","4,387,000,000","1,610,000,000","-21,455,000,000","-3,423,000,000","-2,217,000,000","-5,111,000,000","-9,548,000,000","2,212,000,000","6,226,000,000","5,012,000,000","5,418,000,000","5,303,000,000","5,262,000,000","5,555,000,000","4,972,000,000","4,988,000,000","4,731,000,000","5,168,000,000","5,321,000,000","5,308,000,000","1,144,000,000","5,273,000,000","4,760,000,000","4,691,000,000","4,299,000,000","4,103,000,000","2,429,000,000","3,706,000,000","4,084,000,000","4,890,000,000","3,875,000,000","3,177,000,000","3,652,000,000","3,580,000,000","3,836,000,000","3,088,000,000","3,005,000,000","3,590,000,000","2,622,000,000","2,435,000,000","2,448,000,000","2,489,000,000","3,374,000,000","199,000,000","1,141,000,000","1,093,000,000","976,000,000","822,800,000","663,000,000","642,000,000","643,000,000","561,000,000","576,000,000","520,000,000","490,000,000","456,000,000","377,000,000","340,000,000","334,000,000","332,000,000","320,000,000","340,000,000","298,900,000","258,700,000","186,400,000","207,000,000","219,900,000","165,000,000","150,500,000","221,000,000","132,100,000","123,500,000","117,300,000","105,900,000","98,800,000","94,000,000","96,900,000","83,200,000","95,900,000","78,300,000","63,400,000","51,400,000","67,500,000","33,100,000","31,900,000","29,300,000","29,500,000","29,100,000","23,600,000","19,300,000","-500,000","12,100,000","14,500,000","11,600,000"
			NetIncomeDiscontinuousOperations,"7,000,000","0","-1,000,000","10,000,000","-2,000,000","6,000,000","-7,000,000","-1,000,000","-18,000,000","-4,000,000","-15,000,000","17,000,000","-2,000,000","-8,000,000","-8,000,000","15,000,000","-7,000,000","-109,000,000","-5,000,000","21,000,000","-18,000,000","-3,000,000","-30,000,000","-23,000,000","-2,000,000","-45,000,000","-10,000,000","6,000,000","-5,000,000","-1,000,000","-16,000,000","-22,000,000","37,000,000","181,000,000","92,000,000","30,000,000","-67,000,000","-112,000,000","-31,000,000","-1,000,000","-5,000,000","0","1,000,000","71,000,000","40,000,000","98,000,000","-374,000,000","-3,000,000","211,000,000","232,000,000","-418,000,000","-142,000,000","-33,000,000","3,843,000,000","608,000,000","-278,000,000",,,,,,"0","202,000,000","3,000,000","84,000,000","2,009,000,000","2,155,000,000","342,000,000","273,000,000",,,,,,,,,"0","214,000,000",,,,,,,,,,,,,,,,,,,,,,,"0","31,000,000",,,"117,000,000","25,000,000","29,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-25,000,000","0","-53,600,000","800,000","3,600,000","-2,900,000","-1,500,000","9,000,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"-47,000,000","0",,"-116,000,000","-42,000,000",,,,,"0",,,"-127,000,000",,,,,,,,,,,,,,,,,,,,,"-18,300,000",,,"-16,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
