name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"29,899,000,000","9,470,000,000","9,154,000,000","7,126,000,000","4,150,000,000","3,973,000,000","3,062,000,000","1,468,000,000","8,592,000,000","11,439,000,000","12,560,000,000","12,536,000,000","10,472,000,000","10,742,000,000","11,953,000,000","11,775,000,000","9,968,000,000","10,245,000,000","11,060,000,000","10,791,000,000","9,148,000,000","9,458,000,000","10,483,000,000","10,447,000,000","9,251,000,000","9,502,000,000","11,107,000,000","10,707,000,000","9,388,000,000","9,647,000,000","11,178,000,000","10,621,000,000","8,916,000,000","9,076,000,000","10,490,000,000","9,707,000,000","8,500,000,000","8,602,000,000","9,923,000,000","9,732,000,000","8,413,000,000","8,399,000,000","9,816,000,000","9,153,000,000","7,747,000,000","7,789,000,000","8,950,000,000","8,168,000,000","6,848,000,000","6,805,000,000","7,574,000,000","7,000,000,000","6,684,000,000","6,713,000,000","5,719,000,000","5,499,000,000","4,766,000,000","4,783,000,000","5,227,000,000","5,003,000,000","4,144,000,000","4,138,000,000","4,659,000,000","4,655,000,000","3,719,000,000","4,143,000,000","4,216,000,000","4,185,000,000","3,647,000,000","3,641,000,000","3,871,000,000","3,961,000,000","3,292,000,000","3,398,000,000","3,443,000,000","3,307,000,000","3,155,000,000","3,308,000,000","3,420,000,000","3,474,000,000","3,103,000,000","2,863,000,000","3,398,000,000","3,776,000,000","3,842,000,000","4,345,000,000","4,338,000,000","3,960,000,000","3,713,000,000","3,877,000,000","3,957,000,000","3,504,000,000","3,448,000,000","3,802,000,000","3,764,000,000","3,389,000,000","3,433,000,000","3,552,000,000","3,541,000,000","3,420,000,000","3,197,000,000","3,432,000,000","3,360,000,000","2,964,000,000","2,944,000,000","3,188,000,000","3,216,000,000","2,902,000,000","2,919,000,000","3,157,000,000","3,179,400,000","2,943,000,000","3,016,900,000","3,219,800,000","3,131,500,000","2,926,600,000","2,874,500,000","3,064,000,000","2,826,000,000","2,814,600,000","2,623,200,000","2,573,000,000","2,524,100,000","2,299,300,000","2,129,700,000","2,217,500,000","2,239,900,000","2,120,400,000","2,048,600,000","2,173,400,000","2,311,700,000","2,038,100,000","1,858,100,000","1,881,600,000","1,968,400,000","1,679,400,000","1,664,200,000","1,603,400,000","1,566,200,000","1,452,900,000","1,197,600,000","1,102,100,000","1,019,600,000","1,109,800,000","1,119,900,000","1,123,200,000"
	OperatingRevenue,"23,551,000,000","7,545,000,000","7,453,000,000","5,590,000,000","2,963,000,000","2,903,000,000","2,080,000,000","786,000,000","7,721,000,000","10,431,000,000","11,599,000,000","11,554,000,000","9,446,000,000","9,862,000,000","11,022,000,000","10,769,000,000","8,967,000,000","8,700,000,000","9,586,000,000","9,414,000,000","7,848,000,000","8,148,000,000","9,238,000,000","9,135,000,000","7,924,000,000","8,318,000,000","9,791,000,000","9,346,000,000","8,140,000,000","8,478,000,000","10,020,000,000","9,496,000,000","7,894,000,000","8,112,000,000","9,483,000,000","8,726,000,000","7,571,000,000","4,729,000,000","9,923,000,000","9,732,000,000","8,413,000,000","8,399,000,000","9,816,000,000","9,153,000,000","7,747,000,000","7,789,000,000","8,950,000,000","8,168,000,000","6,848,000,000","6,805,000,000","7,574,000,000","7,000,000,000","6,684,000,000","6,713,000,000","5,719,000,000","5,499,000,000","4,766,000,000","4,783,000,000","5,227,000,000","5,003,000,000","4,144,000,000","4,138,000,000","4,659,000,000","4,655,000,000","3,719,000,000","4,143,000,000","4,216,000,000","4,185,000,000","3,647,000,000","3,641,000,000","3,871,000,000","3,961,000,000","3,292,000,000","3,398,000,000","3,443,000,000","3,307,000,000","3,155,000,000","3,308,000,000","3,420,000,000","3,474,000,000","3,103,000,000","2,863,000,000","3,398,000,000","3,776,000,000","3,842,000,000","4,345,000,000","4,338,000,000","3,960,000,000","3,713,000,000","3,877,000,000","3,957,000,000","3,504,000,000","3,448,000,000","3,802,000,000","3,764,000,000","3,389,000,000","3,433,000,000","3,552,000,000","3,541,000,000","3,420,000,000","3,197,000,000","3,432,000,000","3,360,000,000","2,964,000,000","2,944,000,000","3,188,000,000","3,216,000,000","2,902,000,000","2,919,000,000","3,157,000,000","3,179,400,000","2,943,000,000","3,016,900,000","3,219,800,000","3,131,500,000","2,926,600,000","2,874,500,000","3,064,000,000","2,826,000,000","2,814,600,000","2,623,200,000","2,573,000,000","2,524,100,000","2,299,300,000","2,129,700,000","2,217,500,000","2,239,900,000","2,120,400,000","2,048,600,000","2,173,400,000","2,311,700,000","2,038,100,000","1,858,100,000","1,881,600,000","1,968,400,000","1,679,400,000","1,664,200,000","1,603,400,000","1,566,200,000","1,452,900,000","1,197,600,000","1,102,100,000","1,019,600,000","1,109,800,000","1,119,900,000","1,123,200,000"
CostOfRevenue,"30,078,000,000","8,403,000,000","8,073,000,000","7,254,000,000","6,346,000,000","5,458,000,000","5,086,000,000","4,868,000,000","8,133,000,000","8,711,000,000","8,957,000,000","8,939,000,000","8,376,000,000","8,430,000,000","8,926,000,000","8,747,000,000","8,108,000,000","7,690,000,000","7,832,000,000","7,434,000,000","7,073,000,000","7,345,000,000","7,195,000,000","6,778,000,000","6,558,000,000","6,610,000,000","7,303,000,000","6,828,000,000","6,966,000,000","9,240,000,000","8,398,000,000","7,824,000,000","7,396,000,000","7,345,000,000","7,686,000,000","7,868,000,000","7,443,000,000","13,934,000,000","5,189,000,000","6,268,000,000","5,098,000,000","4,647,000,000","5,781,000,000","5,548,000,000","4,931,000,000","2,922,000,000","4,675,000,000","3,917,000,000","3,079,000,000","3,003,000,000","3,449,000,000","3,272,000,000","3,381,000,000","3,619,000,000","3,264,000,000","3,014,000,000","1,447,000,000",,"3,279,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,078,000,000",,"934,000,000","981,000,000","1,023,000,000",,"961,000,000","1,022,000,000","1,011,000,000",,"1,004,000,000","998,000,000","993,000,000","-2,402,000,000","897,000,000","879,000,000","874,000,000",,"824,000,000","882,000,000","896,000,000","-3,008,500,000","1,056,600,000","1,110,200,000","1,205,900,000","1,264,600,000","1,108,600,000","1,213,500,000","1,274,800,000","1,221,000,000","1,155,700,000","1,141,800,000","947,300,000","944,800,000","946,800,000","1,057,100,000","865,500,000","1,348,400,000","1,350,800,000","1,275,800,000","1,250,200,000",,,,,,,,,,,,,,,,
GrossProfit,"-179,000,000","1,067,000,000","1,081,000,000","-128,000,000","-2,196,000,000","-1,485,000,000","-2,024,000,000","-3,400,000,000","459,000,000","2,728,000,000","3,603,000,000","3,597,000,000","2,096,000,000","2,312,000,000","3,027,000,000","3,028,000,000","1,860,000,000","2,555,000,000","3,228,000,000","3,357,000,000","2,075,000,000","2,113,000,000","3,288,000,000","3,669,000,000","2,693,000,000","2,892,000,000","3,804,000,000","3,879,000,000","2,422,000,000","407,000,000","2,780,000,000","2,797,000,000","1,520,000,000","1,731,000,000","2,804,000,000","1,839,000,000","1,057,000,000","-5,332,000,000","4,734,000,000","3,464,000,000","3,315,000,000","3,752,000,000","4,035,000,000","3,605,000,000","2,816,000,000","4,867,000,000","4,275,000,000","4,251,000,000","3,769,000,000","3,802,000,000","4,125,000,000","3,728,000,000","3,303,000,000","3,094,000,000","2,455,000,000","2,485,000,000","3,319,000,000",,"1,948,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,799,000,000",,"2,570,000,000","2,467,000,000","2,779,000,000",,"2,428,000,000","2,411,000,000","2,541,000,000",,"2,416,000,000","2,199,000,000","2,439,000,000","5,762,000,000","2,067,000,000","2,065,000,000","2,314,000,000",,"2,078,000,000","2,037,000,000","2,261,000,000","6,187,900,000","1,886,400,000","1,906,700,000","2,013,900,000","1,866,900,000","1,818,000,000","1,661,000,000","1,789,200,000","1,605,000,000","1,658,900,000","1,481,400,000","1,625,700,000","1,579,300,000","1,352,500,000","1,072,600,000","1,352,000,000","891,500,000","769,600,000","772,800,000","923,200,000",,,,,,,,,,,,,,,,
OperatingExpense,"-2,046,000,000","820,000,000","-1,157,000,000","-952,000,000","-754,000,000","-1,048,000,000","-983,000,000","-1,039,000,000","869,000,000","1,329,000,000","1,532,000,000","1,469,000,000","1,076,000,000","1,209,000,000","1,385,000,000","1,348,000,000","1,020,000,000","1,361,000,000","1,389,000,000","1,329,000,000","1,022,000,000","1,093,000,000","1,319,000,000","1,246,000,000","1,153,000,000","1,175,000,000","1,591,000,000","1,380,000,000","1,014,000,000","1,168,000,000","1,375,000,000","1,188,000,000","851,000,000","870,000,000","1,135,000,000","891,000,000","733,000,000","-5,805,000,000","3,277,000,000","3,137,000,000","2,945,000,000","2,938,000,000","3,172,000,000","2,980,000,000","2,901,000,000","2,819,000,000","3,066,000,000","3,317,000,000","2,797,000,000","2,857,000,000","2,866,000,000","2,801,000,000","2,813,000,000","2,422,000,000","1,780,000,000","1,768,000,000","2,978,000,000","4,685,000,000","5,012,000,000","4,513,000,000","3,989,000,000","4,132,000,000","4,491,000,000","4,286,000,000","4,204,000,000","4,818,000,000","4,456,000,000","4,314,000,000","4,604,000,000","4,022,000,000","4,294,000,000","4,202,000,000","3,680,000,000","3,764,000,000","3,524,000,000","3,111,000,000","3,690,000,000","3,670,000,000","3,805,000,000","3,601,000,000","3,538,000,000","3,985,000,000","3,649,000,000","3,890,000,000","3,957,000,000","3,835,000,000","3,762,000,000","3,605,000,000","3,705,000,000","54,000,000","13,121,000,000","-70,000,000","-73,000,000","-135,000,000","12,704,000,000","-78,000,000","-79,000,000","-103,000,000","12,378,000,000","-129,000,000","-107,000,000","-134,000,000","11,412,000,000","-148,000,000","-177,000,000","-172,000,000","12,149,000,000","-188,000,000","-210,000,000","-217,000,000","9,650,200,000","768,700,000","781,000,000","1,892,400,000","1,823,900,000","1,996,600,000","1,855,900,000","1,951,700,000","1,870,500,000","1,858,200,000","1,718,200,000","1,599,000,000","1,528,700,000","1,467,600,000","1,384,500,000","1,425,600,000","781,200,000","721,500,000","702,200,000","732,600,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,061,000,000","421,000,000","308,000,000","222,000,000","110,000,000","84,000,000","94,000,000","45,000,000","358,000,000","875,000,000","1,056,000,000","1,056,000,000","647,000,000","791,000,000","930,000,000","911,000,000","610,000,000","705,000,000","796,000,000","796,000,000","555,000,000","612,000,000","792,000,000","761,000,000","660,000,000","782,000,000","1,026,000,000","832,000,000","522,000,000","673,000,000","860,000,000","780,000,000","472,000,000","510,000,000","696,000,000","526,000,000","377,000,000","-4,998,000,000","2,464,000,000","2,353,000,000","2,143,000,000","2,193,000,000","2,364,000,000","2,187,000,000","2,096,000,000","3,659,000,000","2,258,000,000","2,535,000,000","2,036,000,000","1,522,000,000","2,278,000,000","2,220,000,000","2,223,000,000","1,831,000,000","1,345,000,000","1,340,000,000","1,316,000,000","1,491,000,000","1,789,000,000","425,000,000","474,000,000","477,000,000","470,000,000","448,000,000","553,000,000","484,000,000","491,000,000","1,795,000,000","1,898,000,000","-4,186,000,000","2,270,000,000","2,256,000,000","2,240,000,000","2,159,000,000","2,166,000,000","605,000,000","2,254,000,000","2,163,000,000","2,237,000,000","2,244,000,000","2,219,000,000","-4,050,000,000","2,282,000,000","2,325,000,000","781,000,000","2,306,000,000","2,194,000,000","2,211,000,000","2,098,000,000","-143,000,000","8,484,000,000","-130,000,000","-131,000,000","-128,000,000","8,234,000,000","-122,000,000","-118,000,000","-140,000,000","7,277,000,000","-126,000,000","-142,000,000","-121,000,000","6,997,000,000","-120,000,000","-154,000,000","-177,000,000","2,917,000,000","-174,000,000","-177,000,000","-197,000,000","2,519,200,000","1,111,600,000","1,118,400,000","1,741,600,000","1,731,500,000","1,764,100,000","1,680,800,000","1,776,400,000","1,706,000,000","1,709,300,000","1,580,500,000","1,473,500,000","1,404,700,000","1,351,700,000","1,271,800,000","1,312,300,000","661,800,000","607,000,000","588,700,000","620,800,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"108,000,000","108,000,000",,,,,,,,"387,000,000","517,000,000","518,000,000","220,000,000","323,000,000","395,000,000","400,000,000","183,000,000","262,000,000","314,000,000","338,000,000","151,000,000","193,000,000","326,000,000","324,000,000","272,000,000","380,000,000","563,000,000","411,000,000","136,000,000","262,000,000","384,000,000","340,000,000","99,000,000","119,000,000","249,000,000","118,000,000","20,000,000","-5,375,000,000","2,024,000,000","1,960,000,000","1,763,000,000","1,800,000,000","1,884,000,000","1,747,000,000","1,727,000,000","3,295,000,000","1,854,000,000","2,158,000,000","1,672,000,000","1,186,000,000","1,894,000,000","1,891,000,000","1,867,000,000","1,533,000,000","1,086,000,000","1,092,000,000","1,091,000,000",,"2,037,000,000",,,,,,,,,,,"-4,292,000,000","2,145,000,000","2,111,000,000","2,114,000,000","2,047,000,000","2,038,000,000","481,000,000","2,139,000,000","2,050,000,000","2,096,000,000","2,104,000,000","2,074,000,000","-4,169,000,000","2,129,000,000","2,161,000,000","601,000,000","2,116,000,000","2,124,000,000","2,013,000,000","1,917,000,000","-345,000,000","8,379,000,000","-321,000,000","-339,000,000","-380,000,000","8,282,000,000","-351,000,000","-353,000,000","-406,000,000","7,365,000,000","-376,000,000","-379,000,000","-399,000,000","7,168,000,000","-361,000,000","-400,000,000","-455,000,000","3,204,000,000","-459,000,000","-475,000,000","-519,000,000",,"800,900,000","803,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"108,000,000","108,000,000",,"0","0","0","0","0","0","387,000,000","517,000,000","518,000,000","220,000,000","323,000,000","395,000,000","400,000,000","183,000,000","262,000,000","314,000,000","338,000,000","151,000,000","193,000,000","326,000,000","324,000,000","272,000,000","380,000,000","563,000,000","411,000,000","136,000,000","262,000,000","384,000,000","340,000,000","99,000,000","119,000,000","249,000,000","118,000,000","20,000,000","-5,375,000,000","2,024,000,000","1,960,000,000","1,763,000,000","1,800,000,000","1,884,000,000","1,747,000,000","1,727,000,000","1,746,000,000","1,854,000,000","1,792,000,000","1,672,000,000","1,186,000,000","1,894,000,000","1,891,000,000","1,867,000,000","1,533,000,000","1,086,000,000","1,092,000,000","1,091,000,000",,"-1,109,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"425,000,000","415,000,000","380,000,000","380,000,000","414,000,000","394,000,000","391,000,000",,"423,000,000","425,000,000","425,000,000","435,000,000","463,000,000","434,000,000","437,000,000","391,000,000","260,000,000","252,000,000","243,000,000",,"-238,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"338,000,000",,"322,000,000","310,000,000","324,000,000",,"294,000,000","288,000,000","304,000,000",,"298,000,000","291,000,000","300,000,000",,"279,000,000","304,000,000","322,000,000",,"346,000,000","342,000,000","347,000,000",,"343,800,000","341,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-425,000,000","-415,000,000","-380,000,000","-380,000,000","-414,000,000","-394,000,000","-391,000,000","2,822,000,000","-423,000,000","-59,000,000","-425,000,000","-435,000,000","-463,000,000","-434,000,000","-437,000,000","-391,000,000","-260,000,000","-252,000,000","-243,000,000",,"3,384,000,000",,,,,,,,,,,"-4,292,000,000","2,145,000,000","2,111,000,000","2,114,000,000","2,047,000,000","2,038,000,000","481,000,000","2,139,000,000","2,050,000,000","2,096,000,000","2,104,000,000","2,074,000,000","-4,169,000,000","2,129,000,000","2,161,000,000","601,000,000","2,116,000,000","2,124,000,000","2,013,000,000","1,917,000,000","-683,000,000","9,336,000,000","-643,000,000","-649,000,000","-704,000,000","9,168,000,000","-645,000,000","-641,000,000","-710,000,000","8,254,000,000","-674,000,000","-670,000,000","-699,000,000","8,073,000,000","-640,000,000","-704,000,000","-777,000,000","4,239,000,000","-805,000,000","-817,000,000","-866,000,000",,"457,100,000","461,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
