name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalRevenue,"10,788,000,000","2,744,000,000","2,774,000,000","2,550,000,000","2,720,000,000","3,002,000,000","2,786,000,000","1,827,000,000","1,822,000,000","1,926,000,000","1,956,000,000","1,953,000,000","1,891,000,000","1,839,000,000","1,889,000,000","1,919,000,000","1,884,000,000","1,936,000,000","1,931,000,000","1,943,000,000","1,899,000,000","1,861,000,000","1,885,000,000","1,906,000,000","1,863,000,000","1,849,000,000","1,880,000,000","1,925,000,000","1,839,000,000","1,883,000,000","1,904,000,000","1,902,000,000","1,746,000,000","1,756,473,000","1,787,140,000","1,815,740,000","1,786,647,000","1,687,857,000","1,851,439,000","1,906,810,000","1,936,456,000","1,879,307,000","1,906,405,000","1,903,201,000","1,821,577,000","1,824,040,000","1,864,655,000","1,874,727,000","1,805,503,000","1,848,273,000","1,897,146,000","1,901,818,000","1,808,006,000","1,800,306,000","1,826,603,000","1,837,901,000","1,784,637,000","1,770,473,000","1,767,070,000","1,641,156,000","1,526,208,000","1,549,270,000","1,583,202,000","1,584,335,000","1,555,408,000","1,434,876,000","1,371,821,000","1,377,529,000","1,319,485,000","1,283,288,000","1,289,897,000","1,297,674,000","1,255,742,000","1,204,005,000","1,221,221,000","1,219,935,000","1,092,797,000","1,033,765,000","1,058,714,000","1,068,810,000","946,762,000","910,440,000","903,189,000","931,589,000","882,553,000","836,334,000","850,236,000","877,113,000","857,479,000","814,500,000","614,800,000","394,000,000","381,800,000","363,300,000","360,700,000","366,700,000","367,900,000","365,400,000","373,600,000","401,500,000","388,100,000"
	OperatingRevenue,"10,788,000,000","2,744,000,000","2,774,000,000","2,550,000,000","2,720,000,000","3,002,000,000","2,786,000,000","1,827,000,000","1,822,000,000","1,926,000,000","1,956,000,000","1,953,000,000","1,891,000,000","1,839,000,000","1,889,000,000","1,919,000,000","1,884,000,000","1,936,000,000","1,931,000,000","1,943,000,000","1,899,000,000","1,861,000,000","1,885,000,000","1,906,000,000","1,863,000,000","1,849,000,000","1,880,000,000","1,925,000,000","1,839,000,000","1,883,000,000","1,904,000,000","1,902,000,000","1,746,000,000","1,756,473,000","1,787,140,000","1,815,740,000","1,786,647,000","1,687,857,000","1,851,439,000","1,906,810,000","1,936,456,000","1,879,307,000","1,906,405,000","1,903,201,000","1,821,577,000","1,824,040,000","1,864,655,000","1,874,727,000","1,805,503,000","1,848,273,000","1,897,146,000","1,901,818,000","1,808,006,000","1,800,306,000","1,826,603,000","1,837,901,000","1,784,637,000","1,770,473,000","1,767,070,000","1,641,156,000","1,526,208,000","1,549,270,000","1,583,202,000","1,584,335,000","1,555,408,000","1,434,876,000","1,371,821,000","1,377,529,000","1,319,485,000","1,283,288,000","1,289,897,000","1,297,674,000","1,255,742,000","1,204,005,000","1,221,221,000","1,219,935,000","1,092,797,000","1,033,765,000","1,058,714,000","1,068,810,000","946,762,000","910,440,000","903,189,000","931,589,000","882,553,000","836,334,000","850,236,000","877,113,000","857,479,000","814,500,000","614,800,000","394,000,000","381,800,000","363,300,000","360,700,000","366,700,000","367,900,000","365,400,000","373,600,000","401,500,000","388,100,000"
CostOfRevenue,"6,579,000,000","1,718,000,000","1,670,000,000","1,565,000,000","1,626,000,000","1,733,000,000","1,580,000,000","1,221,000,000","1,270,000,000","1,264,000,000","1,264,000,000","1,265,000,000","1,244,000,000","1,235,000,000","1,222,000,000","1,243,000,000","1,226,000,000","1,194,000,000","1,190,000,000","1,170,000,000","1,165,000,000","1,160,000,000","1,157,000,000","1,155,000,000","1,144,000,000","1,150,000,000","1,162,000,000","1,182,000,000","1,163,000,000","1,184,000,000","1,178,000,000","1,174,000,000","1,101,000,000","1,051,987,000","1,088,503,000","1,093,666,000","1,091,834,000","1,047,929,000","1,089,718,000","1,110,514,000","1,116,538,000","1,077,367,000","1,116,574,000","1,104,394,000","1,096,998,000","1,080,438,000","1,091,465,000","1,078,971,000","1,066,373,000","1,070,239,000","1,097,535,000","1,100,212,000","1,053,489,000","1,040,925,000","1,073,123,000","1,083,481,000","1,058,627,000","1,042,723,000","1,026,598,000","968,742,000","931,785,000","919,414,000","933,735,000","936,432,000","922,984,000","871,555,000","807,020,000","798,678,000","780,082,000","757,430,000","748,424,000","758,195,000","737,281,000","706,222,000","711,180,000","703,124,000","648,097,000","619,317,000","625,075,000","630,258,000","557,738,000","537,574,000","535,564,000","549,391,000","494,800,000","496,382,000","474,230,000","489,202,000","507,792,000","536,000,000","353,100,000","214,300,000","215,600,000","202,600,000","199,200,000","206,000,000","206,100,000","207,100,000","216,300,000","226,400,000","225,700,000"
GrossProfit,"4,209,000,000","1,026,000,000","1,104,000,000","985,000,000","1,094,000,000","1,269,000,000","1,206,000,000","606,000,000","552,000,000","662,000,000","692,000,000","688,000,000","647,000,000","604,000,000","667,000,000","676,000,000","658,000,000","742,000,000","741,000,000","773,000,000","734,000,000","701,000,000","728,000,000","751,000,000","719,000,000","699,000,000","718,000,000","743,000,000","676,000,000","699,000,000","726,000,000","728,000,000","645,000,000","704,486,000","698,637,000","722,074,000","694,813,000","639,928,000","761,721,000","796,296,000","819,918,000","801,940,000","789,831,000","798,807,000","724,579,000","743,602,000","773,190,000","795,756,000","739,130,000","778,034,000","799,611,000","801,606,000","754,517,000","759,381,000","753,480,000","754,420,000","726,010,000","727,750,000","740,472,000","672,414,000","594,423,000","629,856,000","649,467,000","647,903,000","632,424,000","563,321,000","564,801,000","578,851,000","539,403,000","525,858,000","541,473,000","539,479,000","518,461,000","497,783,000","510,041,000","516,811,000","444,700,000","414,448,000","433,639,000","438,552,000","389,024,000","372,866,000","367,625,000","382,198,000","387,753,000","339,952,000","376,006,000","387,911,000","349,687,000","278,500,000","261,700,000","179,700,000","166,200,000","160,700,000","161,500,000","160,700,000","161,800,000","158,300,000","157,300,000","175,100,000","162,400,000"
OperatingExpense,"1,828,000,000","490,000,000","452,000,000","452,000,000","434,000,000","474,000,000","488,000,000","323,000,000","377,000,000","299,000,000","379,000,000","381,000,000","399,000,000","380,000,000","363,000,000","371,000,000","386,000,000","473,000,000","443,000,000","454,000,000","455,000,000","425,000,000","406,000,000","447,000,000","462,000,000","460,000,000","421,000,000","442,000,000","448,000,000","442,000,000","470,000,000","466,000,000","437,000,000","434,540,000","483,298,000","433,353,000","467,819,000","382,197,000","452,988,000","461,548,000","520,333,000","476,759,000","467,778,000","481,953,000","693,619,000","449,390,000","436,323,000","429,862,000","440,568,000","447,641,000","451,331,000","442,231,000","433,454,000","442,324,000","436,545,000","446,297,000","445,749,000","415,685,000","434,480,000","400,005,000","393,553,000","350,754,000","356,606,000","385,278,000","387,883,000","329,472,000","321,605,000","317,651,000","309,490,000","295,019,000","309,773,000","309,460,000","309,582,000","301,798,000","292,518,000","298,130,000","281,222,000","269,160,000","274,610,000","278,886,000","260,558,000","269,782,000","262,490,000","268,613,000","298,167,000","263,467,000","293,217,000","296,035,000","283,020,000","225,600,000","216,800,000","148,200,000","143,500,000","139,300,000","140,000,000","133,300,000","137,700,000","149,200,000","138,700,000","147,100,000","143,600,000"
	SellingGeneralAndAdministration,"1,727,000,000","464,000,000","427,000,000","429,000,000","407,000,000","447,000,000","396,000,000","360,000,000","347,000,000","349,000,000","362,000,000","362,000,000","384,000,000","356,000,000","354,000,000","351,000,000","363,000,000","453,000,000","423,000,000","437,000,000","437,000,000","400,000,000","409,000,000","430,000,000","442,000,000","429,000,000","402,000,000","429,000,000","419,000,000","427,000,000","446,000,000","440,000,000","415,000,000","414,630,000","422,963,000","418,548,000","447,869,000","371,144,000","432,627,000","440,788,000","500,641,000","457,073,000","446,595,000","462,789,000","447,858,000","430,966,000","426,562,000","419,412,000","430,733,000","432,992,000","441,569,000","448,756,000","424,301,000","435,640,000","428,179,000","438,037,000","436,485,000","408,626,000","424,334,000","395,105,000","389,093,000","372,726,000","354,631,000","383,021,000","358,190,000","320,327,000","313,426,000","316,765,000","308,348,000","304,551,000","308,248,000","307,402,000","307,545,000","298,026,000","292,413,000","296,062,000","279,199,000","267,030,000","272,587,000","276,821,000","258,403,000","258,356,000","251,048,000","256,474,000","252,802,000","247,543,000","251,219,000","252,846,000","249,835,000","192,000,000","192,700,000","131,600,000","127,000,000","122,200,000","122,800,000","116,100,000","120,400,000","130,600,000","119,700,000","127,900,000","124,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"103,000,000","26,000,000","25,000,000","25,000,000","27,000,000","26,000,000","27,000,000","25,000,000","25,000,000","24,000,000","23,000,000","25,000,000","24,000,000","24,000,000","22,000,000","22,000,000","22,000,000","20,000,000","19,000,000","18,000,000","17,000,000","18,000,000","18,000,000","17,000,000","19,000,000","20,000,000","20,000,000","20,000,000","21,000,000","23,000,000","24,000,000","25,000,000","22,000,000","19,802,000","20,158,000","19,756,000","19,284,000","14,387,000","19,961,000","20,169,000","20,231,000","19,189,000","19,402,000","18,592,000","9,849,000","10,677,000","9,915,000","9,270,000","9,359,000","9,526,000","9,154,000","9,377,000","9,005,000","9,323,000","8,790,000","9,916,000","9,264,000","9,162,000","8,932,000","5,350,000","4,460,000","3,203,000","3,045,000","2,257,000","2,338,000","1,954,000","912,000","933,000","931,000","917,000","1,664,000","2,058,000","2,064,000","2,055,000","2,055,000","2,068,000","2,023,000","2,130,000","2,023,000","2,065,000","2,155,000","11,426,000","11,442,000","12,139,000","45,365,000","15,924,000","41,998,000","43,189,000","33,185,000","33,600,000","24,100,000","16,600,000","16,500,000","17,100,000","17,200,000","17,200,000","17,300,000","18,600,000","19,000,000","19,200,000","19,600,000"
		DepreciationAndAmortizationInIncomeStatement,"103,000,000","26,000,000","25,000,000","25,000,000","27,000,000","26,000,000","27,000,000","25,000,000","25,000,000","24,000,000","23,000,000","25,000,000","24,000,000","24,000,000","22,000,000","22,000,000","22,000,000","20,000,000","19,000,000","18,000,000","17,000,000","18,000,000","18,000,000","17,000,000","19,000,000","20,000,000","20,000,000","20,000,000","21,000,000","23,000,000","24,000,000","25,000,000","22,000,000","19,802,000","20,158,000","19,756,000","19,284,000","14,387,000","19,961,000","20,169,000","20,231,000","19,189,000","19,402,000","18,592,000","9,849,000","10,677,000","9,915,000","9,270,000","9,359,000","9,526,000","9,154,000","9,377,000","9,005,000","9,323,000","8,790,000","9,916,000","9,264,000","9,162,000","8,932,000","5,350,000","4,460,000","3,203,000","3,045,000","2,257,000","2,338,000","1,954,000","912,000","933,000","931,000","917,000","1,664,000","2,058,000","2,064,000","2,055,000","2,055,000","2,068,000","2,023,000","2,130,000","2,023,000","2,065,000","2,155,000","11,426,000","11,442,000","12,139,000","45,365,000","15,924,000","41,998,000","43,189,000","33,185,000","33,600,000","24,100,000","16,600,000","16,500,000","17,100,000","17,200,000","17,200,000","17,300,000","18,600,000","19,000,000","19,200,000","19,600,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,265,000",,,,,,,,,,,,,,,,
			Amortization,"103,000,000","26,000,000","25,000,000","25,000,000","27,000,000","26,000,000","27,000,000","25,000,000","25,000,000","24,000,000","23,000,000","25,000,000","24,000,000","24,000,000","22,000,000","22,000,000","22,000,000","20,000,000","19,000,000","18,000,000","17,000,000","18,000,000","18,000,000","17,000,000","19,000,000","20,000,000","20,000,000","20,000,000","21,000,000","23,000,000","24,000,000","25,000,000","22,000,000","19,802,000","20,158,000","19,756,000","19,284,000","14,387,000","19,961,000","20,169,000","20,231,000","19,189,000","19,402,000","18,592,000","9,849,000","10,677,000","9,915,000","9,270,000","9,359,000","9,526,000","9,154,000","9,377,000","9,005,000","9,323,000","8,790,000","9,916,000","9,264,000","9,162,000","8,932,000","5,350,000","4,460,000","3,203,000","3,045,000","2,257,000","2,338,000","1,954,000","912,000","933,000","931,000","917,000","1,664,000","2,058,000","2,064,000","2,055,000","2,055,000","2,068,000","2,023,000","2,130,000","2,023,000","2,065,000","2,155,000","11,426,000","11,442,000","12,139,000","11,100,000",,,,,,,,,,,,,,,,
