name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"34,220,449,000","8,651,448,000","8,517,839,000","8,650,198,000","8,400,964,000","8,414,524,000","8,199,625,000","8,684,241,000","8,448,449,000","7,157,642,000","6,991,393,000","6,981,753,000","6,623,185,000","6,649,809,000","6,417,462,000","6,443,309,000","6,114,463,000","6,129,431,000","5,903,606,000","5,828,305,000","5,609,625,000","6,009,246,000","5,320,029,000","5,391,891,000","5,265,432,000","5,286,938,000","5,067,048,000","5,095,904,000","4,918,672,000","4,939,059,000","4,724,409,000","4,724,039,000","4,522,081,000","4,493,945,000","4,381,838,000","4,394,651,000","4,233,733,000","4,207,621,000","3,964,647,000","3,948,655,000","3,901,205,000","4,185,073,000","3,595,224,000","3,575,194,000","3,451,697,000","3,486,104,000","3,223,427,000","3,214,155,000","3,111,314,000","3,185,785,000","2,928,751,000","2,901,907,000","2,779,937,000","2,845,848,000","2,598,938,000","2,609,384,000","2,403,498,000","2,559,573,000","2,312,842,000","2,347,564,000","2,275,267,000","2,553,986,000","2,213,396,000","2,251,053,000","2,151,387,000","2,480,504,000","2,057,888,000","2,066,016,000","1,977,829,000","2,197,538,000","1,879,187,000","1,836,243,000","1,747,959,000","1,966,488,000","1,685,346,000","1,651,094,000","1,569,064,000","1,759,563,000","1,497,702,000","1,453,727,000","1,389,412,000","1,586,012,000","1,309,125,000","1,225,254,000","1,202,504,000","1,441,714,000","1,094,360,000","1,017,418,000","997,079,000","1,177,764,000","950,400,000","915,200,000","844,600,000","992,989,000","781,400,000","741,400,000","705,300,000","861,125,000","649,400,000","596,800,000","520,000,000","675,198,000","509,000,000","494,400,000","455,900,000","575,388,000","437,200,000","408,200,000","343,400,000","484,809,000","359,400,000","317,300,000","287,100,000","383,100,000","272,600,000","255,600,000","221,800,000","291,700,000","223,500,000","216,900,000","188,600,000","243,000,000","189,700,000","173,300,000","148,300,000","201,900,000","164,600,000","153,000,000","133,800,000","192,000,000","145,600,000","147,600,000","129,900,000","190,100,000","153,100,000","145,600,000","124,200,000","189,500,000","136,900,000","146,000,000","116,000,000","186,200,000","134,000,000","135,900,000","108,700,000","182,000,000","138,700,000"
	OperatingRevenue,"34,220,449,000","8,651,448,000","8,517,839,000","8,650,198,000","8,400,964,000","8,414,524,000","8,199,625,000","8,684,241,000","8,448,449,000","7,157,642,000","6,991,393,000","6,981,753,000","6,623,185,000","6,649,809,000","6,417,462,000","6,443,309,000","6,114,463,000","6,129,431,000","5,903,606,000","5,828,305,000","5,609,625,000","6,009,246,000","5,320,029,000","5,391,891,000","5,265,432,000","5,286,938,000","5,067,048,000","5,095,904,000","4,918,672,000","4,939,059,000","4,724,409,000","4,724,039,000","4,522,081,000","4,493,945,000","4,381,838,000","4,394,651,000","4,233,733,000","4,207,621,000","3,964,647,000","3,948,655,000","3,901,205,000","4,185,073,000","3,595,224,000","3,575,194,000","3,451,697,000","3,486,104,000","3,223,427,000","3,214,155,000","3,111,314,000","3,185,785,000","2,928,751,000","2,901,907,000","2,779,937,000","2,845,848,000","2,598,938,000","2,609,384,000","2,403,498,000","2,559,573,000","2,312,842,000","2,347,564,000","2,275,267,000","2,553,986,000","2,213,396,000","2,251,053,000","2,151,387,000","2,480,504,000","2,057,888,000","2,066,016,000","1,977,829,000","2,197,538,000","1,879,187,000","1,836,243,000","1,747,959,000","1,966,488,000","1,685,346,000","1,651,094,000","1,569,064,000","1,759,563,000","1,497,702,000","1,453,727,000","1,389,412,000","1,586,012,000","1,309,125,000","1,225,254,000","1,202,504,000","1,441,714,000","1,094,360,000","1,017,418,000","997,079,000","1,177,764,000","950,400,000","915,200,000","844,600,000","992,989,000","781,400,000","741,400,000","705,300,000","861,125,000","649,400,000","596,800,000","520,000,000","675,198,000","509,000,000","494,400,000","455,900,000","575,388,000","437,200,000","408,200,000","343,400,000","484,809,000","359,400,000","317,300,000","287,100,000","383,100,000","272,600,000","255,600,000","221,800,000","291,700,000","223,500,000","216,900,000","188,600,000","243,000,000","189,700,000","173,300,000","148,300,000","201,900,000","164,600,000","153,000,000","133,800,000","192,000,000","145,600,000","147,600,000","129,900,000","190,100,000","153,100,000","145,600,000","124,200,000","189,500,000","136,900,000","146,000,000","116,000,000","186,200,000","134,000,000","135,900,000","108,700,000","182,000,000","138,700,000"
CostOfRevenue,"23,407,443,000","5,951,208,000","5,898,400,000","5,912,539,000","5,645,296,000","5,677,829,000","5,631,385,000","5,866,006,000","5,852,757,000","4,884,879,000","4,926,307,000","4,832,817,000","4,620,909,000","4,578,120,000","4,522,403,000","4,468,436,000","4,252,214,000","4,164,033,000","4,137,150,000","4,037,783,000","3,910,642,000","4,108,499,000","3,732,519,000","3,710,124,000","3,652,818,000","3,604,669,000","3,530,086,000","3,507,749,000","3,419,967,000","3,373,620,000","3,300,661,000","3,268,465,000","3,164,335,000","3,059,134,000","3,053,345,000","3,017,361,000","2,938,585,000","2,839,822,000","2,738,524,000","2,685,432,000","2,672,949,000","2,838,704,000","2,479,422,000","2,426,852,000","2,364,300,000","2,355,951,000","2,212,759,000","2,178,176,000","2,111,558,000","2,160,396,000","2,025,669,000","1,995,865,000","1,924,579,000","2,008,150,000","1,826,651,000","1,851,349,000","1,710,421,000","1,819,202,000","1,666,042,000","1,724,326,000","1,642,207,000","1,908,036,000","1,686,949,000","1,639,519,000","1,567,113,000","1,749,575,000","1,478,872,000","1,474,486,000","1,414,480,000","1,537,561,000","1,325,202,000","1,299,263,000","1,235,709,000","1,389,992,000","1,168,449,000","1,178,264,000","1,117,158,000","1,231,599,000","1,069,119,000","1,066,300,000","1,009,120,000","1,110,489,000","927,944,000","893,971,000","881,079,000","1,066,857,000","772,996,000","735,445,000","724,370,000","880,073,000","656,100,000","650,100,000","603,800,000","746,412,000","543,200,000","523,000,000","502,600,000","632,590,000","455,600,000","427,500,000","369,600,000","499,103,000","352,200,000","353,100,000","325,200,000","428,269,000","302,400,000","288,300,000","241,700,000","341,730,000","251,700,000","225,700,000","203,400,000","277,100,000","187,300,000","179,900,000","156,800,000","200,300,000","157,000,000","153,900,000","134,200,000","171,800,000","133,200,000","122,200,000","105,000,000","141,400,000","115,200,000","107,800,000","94,800,000","129,800,000","101,800,000","103,800,000",,,,,,,,,,,,,,,
GrossProfit,"10,813,006,000","2,700,240,000","2,619,439,000","2,737,659,000","2,755,668,000","2,736,695,000","2,568,240,000","2,818,235,000","2,595,692,000","2,272,763,000","2,065,086,000","2,148,936,000","2,002,276,000","2,071,689,000","1,895,059,000","1,974,873,000","1,862,249,000","1,965,398,000","1,766,456,000","1,790,522,000","1,698,983,000","1,900,747,000","1,587,510,000","1,681,767,000","1,612,614,000","1,682,269,000","1,536,962,000","1,588,155,000","1,498,705,000","1,565,439,000","1,423,748,000","1,455,574,000","1,357,746,000","1,434,811,000","1,328,493,000","1,377,290,000","1,295,148,000","1,367,799,000","1,226,123,000","1,263,223,000","1,228,256,000","1,346,369,000","1,115,802,000","1,148,342,000","1,087,397,000","1,130,153,000","1,010,668,000","1,035,979,000","999,756,000","1,025,389,000","903,082,000","906,042,000","855,358,000","837,698,000","772,287,000","758,035,000","693,077,000","740,371,000","646,800,000","623,238,000","633,060,000","645,950,000","526,447,000","611,534,000","584,274,000","730,929,000","579,016,000","591,530,000","563,349,000","659,977,000","553,985,000","536,980,000","512,250,000","576,496,000","516,897,000","472,830,000","451,906,000","527,964,000","428,583,000","387,427,000","380,292,000","475,523,000","381,181,000","331,283,000","321,425,000","374,857,000","321,364,000","281,973,000","272,709,000","297,691,000","294,300,000","265,100,000","240,800,000","246,577,000","238,200,000","218,400,000","202,700,000","228,535,000","193,800,000","169,300,000","150,400,000","176,095,000","156,800,000","141,300,000","130,700,000","147,119,000","134,800,000","119,900,000","101,700,000","143,079,000","107,700,000","91,600,000","83,700,000","106,000,000","85,300,000","75,700,000","65,000,000","91,400,000","66,500,000","63,000,000","54,400,000","71,200,000","56,500,000","51,100,000","43,300,000","60,500,000","49,400,000","45,200,000","39,000,000","62,200,000","43,800,000","43,800,000",,,,,,,,,,,,,,,
OperatingExpense,"7,592,331,000","1,903,571,000","1,953,851,000","1,888,091,000","1,846,818,000","1,864,471,000","1,795,110,000","1,775,608,000","1,728,908,000","1,551,888,000","1,573,669,000","1,571,161,000","1,490,039,000","1,433,186,000","1,452,916,000","1,429,397,000","1,372,065,000","1,341,952,000","1,349,025,000","1,297,376,000","1,225,188,000","1,220,129,000","1,194,519,000","1,172,670,000","1,131,871,000","1,069,840,000","1,113,103,000","1,112,343,000","1,070,511,000","998,723,000","1,029,605,000","1,027,048,000","978,038,000","896,689,000","938,252,000","964,468,000","900,148,000","845,450,000","864,734,000","876,009,000","843,932,000","838,129,000","804,885,000","798,313,000","765,779,000","721,902,000","736,334,000","735,222,000","709,033,000","746,456,000","686,843,000","672,825,000","630,489,000","617,370,000","634,055,000","614,980,000","582,504,000","553,905,000","581,097,000","675,378,000","577,692,000","562,875,000","523,108,000","530,957,000","502,989,000","498,665,000","477,404,000","470,460,000","456,428,000","439,633,000","440,029,000","428,854,000","397,700,000","391,373,000","385,551,000","370,987,000","348,955,000","350,419,000","335,152,000","313,667,000","297,304,000","312,639,000","295,103,000","276,069,000","251,990,000","280,512,000","236,524,000","215,985,000","201,878,000","155,489,000","212,300,000","197,900,000","182,900,000","128,013,000","171,900,000","163,300,000","153,300,000","123,492,000","138,200,000","125,900,000","118,900,000","92,719,000","112,300,000","104,900,000","105,200,000","83,812,000","99,800,000","89,400,000","81,700,000","89,592,000","78,800,000","68,500,000","68,000,000","70,000,000","67,600,000","59,400,000","54,900,000","63,200,000","52,100,000","51,600,000","47,500,000","51,000,000","48,400,000","44,300,000","40,700,000","45,700,000","43,300,000","39,500,000","37,300,000","49,100,000","37,800,000","37,800,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"7,592,331,000","1,903,571,000","1,953,851,000","1,888,091,000","1,846,818,000","1,864,471,000","1,795,110,000","1,775,608,000","1,728,908,000","1,551,888,000","1,573,669,000","1,571,161,000","1,490,039,000","1,433,186,000","1,452,916,000","1,429,397,000","1,372,065,000","1,341,952,000","1,349,025,000","1,297,376,000","1,225,188,000","1,220,129,000","1,194,519,000","1,172,670,000","1,131,871,000","1,069,840,000","1,113,103,000","1,112,343,000","1,070,511,000","998,723,000","1,029,605,000","1,027,048,000","978,038,000","896,689,000","938,252,000","964,468,000","900,148,000","845,450,000","864,734,000","876,009,000","843,932,000","838,129,000","804,885,000","798,313,000","765,779,000","721,902,000","736,334,000","735,222,000","709,033,000","746,456,000","686,843,000","672,825,000","630,489,000","617,370,000","634,055,000","614,980,000","582,504,000","553,905,000","581,097,000","675,378,000","577,692,000","562,875,000","523,108,000","530,957,000","502,989,000","498,665,000","477,404,000","470,460,000","456,428,000","439,633,000","440,029,000","428,854,000","397,700,000","391,373,000","385,551,000","370,987,000","348,955,000","350,419,000","335,152,000","313,667,000","297,304,000","312,639,000","295,103,000","276,069,000","251,990,000","280,512,000","236,524,000","215,985,000","201,878,000","202,289,000","195,800,000","182,400,000","168,100,000","166,813,000","158,400,000","150,400,000","140,900,000","151,292,000","128,200,000","116,700,000","110,300,000","115,719,000","104,200,000","97,300,000","97,900,000","101,712,000","93,300,000","83,400,000","76,300,000","93,992,000","76,600,000","64,600,000","64,300,000","74,800,000","62,000,000","56,700,000","52,400,000","61,000,000","49,900,000","49,700,000","45,600,000","49,100,000","46,700,000","42,700,000","39,200,000","44,000,000","41,600,000","37,900,000","35,800,000","47,200,000","36,400,000","36,400,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,500,000","15,500,000","14,800,000",,"13,500,000","12,900,000","12,400,000",,"10,000,000","9,200,000","8,600,000",,"8,100,000","7,600,000","7,300,000",,"6,500,000","6,000,000","5,400,000",,"2,200,000","3,900,000","3,700,000","-4,800,000","5,600,000","2,700,000","2,500,000","2,200,000","2,200,000","1,900,000","1,900,000","1,900,000","1,700,000","1,600,000","1,500,000","1,700,000","1,700,000","1,600,000","1,500,000","1,900,000","1,400,000","1,400,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,500,000","15,500,000","14,800,000",,"13,500,000","12,900,000","12,400,000",,"10,000,000","9,200,000","8,600,000",,"8,100,000","7,600,000","7,300,000",,"6,500,000","6,000,000","5,400,000",,"2,200,000","3,900,000","3,700,000","-4,800,000","5,600,000","2,700,000","2,500,000","2,200,000","2,200,000","1,900,000","1,900,000","1,900,000","1,700,000","1,600,000","1,500,000","1,700,000","1,700,000","1,600,000","1,500,000","1,900,000","1,400,000","1,400,000",,,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,500,000","15,500,000","14,800,000",,"13,500,000","12,900,000","12,400,000",,"10,000,000","9,200,000","8,600,000",,"8,100,000","7,600,000","7,300,000",,"6,500,000","6,000,000","5,400,000",,"2,200,000","3,900,000","3,700,000","-4,800,000","5,600,000","2,700,000","2,500,000","2,200,000","2,200,000","1,900,000","1,900,000","1,900,000","1,700,000","1,600,000","1,500,000","1,700,000","1,700,000","1,600,000","1,500,000","1,900,000","1,400,000","1,400,000",,,,,,,,,,,,,,,
OperatingIncome,"3,220,675,000","796,669,000","665,588,000","849,568,000","908,850,000","872,224,000","773,130,000","1,042,627,000","866,784,000","720,875,000","491,417,000","577,775,000","512,237,000","638,503,000","442,143,000","545,476,000","490,184,000","623,446,000","417,431,000","493,146,000","473,795,000","680,618,000","392,991,000","509,097,000","480,743,000","612,429,000","423,859,000","475,812,000","428,194,000","566,716,000","394,143,000","428,526,000","379,708,000","538,122,000","390,241,000","412,822,000","395,000,000","522,349,000","361,389,000","387,214,000","384,324,000","508,240,000","310,917,000","350,029,000","321,618,000","408,251,000","274,334,000","300,757,000","290,723,000","278,933,000","216,239,000","233,217,000","224,869,000","220,328,000","138,232,000","143,055,000","110,573,000","186,466,000","65,703,000","-52,140,000","55,368,000","83,075,000","3,339,000","80,577,000","81,285,000","232,264,000","101,612,000","121,070,000","106,921,000","220,344,000","113,956,000","108,126,000","114,550,000","185,123,000","131,346,000","101,843,000","102,951,000","177,545,000","93,431,000","73,760,000","82,988,000","162,884,000","86,078,000","55,214,000","69,435,000","94,345,000","84,840,000","65,988,000","70,831,000","142,202,000","82,000,000","67,200,000","57,900,000","118,564,000","66,300,000","55,100,000","49,400,000","105,043,000","55,600,000","43,400,000","31,500,000","83,376,000","44,500,000","36,400,000","25,500,000","63,307,000","35,000,000","30,500,000","20,000,000","53,487,000","28,900,000","23,100,000","15,700,000","36,000,000","17,700,000","16,300,000","10,100,000","28,200,000","14,400,000","11,400,000","6,900,000","20,200,000","8,100,000","6,800,000","2,600,000","14,800,000","6,100,000","5,700,000","1,700,000","13,100,000","6,000,000","6,000,000","129,900,000","-400,400,000","153,100,000","145,600,000","124,200,000","-380,600,000","136,900,000","146,000,000","116,000,000","-364,100,000","134,000,000","135,900,000","108,700,000","-360,300,000","138,700,000"
