name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"29,453,000,000","8,148,000,000","7,229,000,000","7,218,000,000","6,858,000,000","6,760,300,000","5,883,200,000","5,297,400,000","4,343,100,000","2,837,300,000","5,037,300,000","5,156,600,000","4,879,900,000","5,363,500,000","4,853,100,000","4,981,000,000","4,695,400,000","5,085,700,000","4,528,200,000","4,510,100,000","4,205,700,000","4,584,300,000","4,132,100,000","5,785,000,000","5,387,200,000","5,884,800,000","5,023,400,000","5,127,100,000","4,873,300,000","5,417,200,000","4,870,300,000","4,963,600,000","4,662,700,000","5,266,700,000","4,669,100,000","4,737,500,000","4,444,700,000","4,975,178,000","4,415,543,000","4,553,459,000","4,316,220,000","4,515,075,000","4,518,089,000","3,711,674,000","3,345,702,000","3,609,268,000","3,190,193,000","3,310,921,000","3,092,220,000","3,132,892,000","2,750,693,000","2,673,609,000","2,627,744,000","3,176,506,000","3,208,181,000","3,283,895,000","3,028,874,000","3,141,177,000","2,731,151,000","2,671,212,000","2,556,040,000","2,660,256,000","2,442,723,000","2,349,764,000","2,143,661,000","2,263,754,000","1,966,375,000","1,928,627,000","1,825,948,000","1,979,580,000","1,745,285,000","1,621,245,000","1,543,191,000","1,488,778,000","1,309,451,000","1,299,432,000","1,196,215,000","1,274,978,000","1,151,721,000","1,146,326,000","1,004,207,000","918,932,000","901,588,000","956,641,000","1,005,283,000","1,032,369,000","986,786,000","890,775,000","867,847,000","848,200,000","781,900,000","741,800,000","754,600,000","802,500,000","724,800,000","622,300,000","534,400,000","565,200,000","516,600,000","502,800,000","466,400,000","496,700,000","470,800,000","434,900,000","409,600,000","314,300,000","404,500,000","391,500,000","376,500,000","355,100,000","326,400,000","318,100,000","289,200,000","278,800,000","281,000,000","258,900,000","248,400,000","254,600,000","246,100,000","236,600,000","211,700,000","217,900,000","208,100,000","201,900,000","203,700,000","226,500,000","229,900,000","203,000,000","180,600,000","171,300,000","184,200,000","198,600,000","195,000,000","177,700,000","170,800,000","185,800,000","180,300,000","170,500,000","151,500,000","154,500,000","138,500,000","159,600,000","141,400,000","80,000,000","65,000,000","75,000,000","75,400,000"
	OperatingRevenue,"29,453,000,000","8,148,000,000","7,229,000,000","7,218,000,000","6,858,000,000","6,760,300,000","5,883,200,000","5,297,400,000","4,343,100,000","2,837,300,000","5,037,300,000","5,156,600,000","4,879,900,000","5,363,500,000","4,853,100,000","4,981,000,000","4,695,400,000","5,085,700,000","4,528,200,000","4,510,100,000","4,205,700,000","4,584,300,000","4,132,100,000","5,785,000,000","5,387,200,000","5,884,800,000","5,023,400,000","5,127,100,000","4,873,300,000","5,417,200,000","4,870,300,000","4,963,600,000","4,662,700,000","5,266,700,000","4,669,100,000","4,737,500,000","4,444,700,000","4,975,178,000","4,415,543,000","4,553,459,000","4,316,220,000","4,515,075,000","4,518,089,000","3,711,674,000","3,345,702,000","3,609,268,000","3,190,193,000","3,310,921,000","3,092,220,000","3,132,892,000","2,750,693,000","2,673,609,000","2,627,744,000","3,176,506,000","3,208,181,000","3,283,895,000","3,028,874,000","3,141,177,000","2,731,151,000","2,671,212,000","2,556,040,000","2,660,256,000","2,442,723,000","2,349,764,000","2,143,661,000","2,263,754,000","1,966,375,000","1,928,627,000","1,825,948,000","1,979,580,000","1,745,285,000","1,621,245,000","1,543,191,000","1,488,778,000","1,309,451,000","1,299,432,000","1,196,215,000","1,274,978,000","1,151,721,000","1,146,326,000","1,004,207,000","918,932,000","901,588,000","956,641,000","1,005,283,000","1,032,369,000","986,786,000","890,775,000","867,847,000","848,200,000","781,900,000","741,800,000","754,600,000","802,500,000","724,800,000","622,300,000","534,400,000","565,200,000","516,600,000","502,800,000","466,400,000","496,700,000","470,800,000","434,900,000","409,600,000","314,300,000","404,500,000","391,500,000","376,500,000","355,100,000","326,400,000","318,100,000","289,200,000","278,800,000","281,000,000","258,900,000","248,400,000","254,600,000","246,100,000","236,600,000","211,700,000","217,900,000","208,100,000","201,900,000","203,700,000","226,500,000","229,900,000","203,000,000","180,600,000","171,300,000","184,200,000","198,600,000","195,000,000","177,700,000","170,800,000","185,800,000","180,300,000","170,500,000","151,500,000","154,500,000","138,500,000","159,600,000","141,400,000","80,000,000","65,000,000","75,000,000","75,400,000"
CostOfRevenue,"11,501,000,000","3,205,000,000","2,870,000,000","2,821,000,000","2,605,000,000","2,806,200,000","2,657,700,000","2,444,800,000","1,900,300,000","1,257,400,000","2,228,900,000","2,279,200,000","2,161,900,000","2,407,600,000","2,162,600,000","2,163,900,000","2,051,800,000","2,246,600,000","1,991,400,000","2,027,800,000","1,871,400,000","2,084,300,000","1,846,100,000","2,635,600,000","2,524,600,000","2,871,500,000","2,386,400,000","2,366,900,000","2,273,300,000","2,613,500,000","2,304,600,000","2,343,400,000","2,209,800,000","2,555,000,000","2,244,400,000","2,242,000,000","2,119,000,000","2,429,880,000","2,137,541,000","2,198,003,000","2,080,676,000","2,249,656,000","2,313,427,000","1,768,479,000","1,582,314,000","1,768,797,000","1,541,337,000","1,671,511,000","1,594,167,000","1,694,507,000","1,429,736,000","1,411,340,000","1,369,135,000","1,724,897,000","1,697,611,000","1,723,596,000","1,611,158,000","1,690,647,000","1,481,940,000","1,456,178,000","1,403,638,000","1,467,450,000","1,340,946,000","1,317,653,000","1,226,972,000","1,291,397,000","1,118,504,000","1,079,024,000","1,050,764,000","1,143,878,000","1,005,292,000","935,536,000","911,930,000","884,499,000","766,948,000","774,546,000","728,816,000","769,435,000","691,648,000","701,908,000","628,184,000","580,699,000","547,630,000","581,300,000","628,398,000","562,853,000","573,298,000","517,169,000","512,690,000","462,900,000","445,300,000","436,800,000","458,000,000","447,900,000","411,800,000","393,500,000","350,700,000","344,500,000","330,900,000","325,200,000","305,800,000","304,100,000","309,000,000","285,500,000","272,700,000","179,200,000","276,900,000","264,600,000","260,400,000","244,900,000","221,600,000","220,000,000","202,900,000","171,600,000","206,800,000","179,100,000","184,500,000","180,200,000","172,000,000","168,000,000","150,100,000","166,300,000","151,400,000","142,300,000","141,900,000","161,500,000","155,500,000","136,200,000","120,000,000",,,,,,,,,,,,,,,,,,
GrossProfit,"17,952,000,000","4,943,000,000","4,359,000,000","4,397,000,000","4,253,000,000","3,954,100,000","3,225,500,000","2,852,600,000","2,442,800,000","1,579,900,000","2,808,400,000","2,877,400,000","2,718,000,000","2,955,900,000","2,690,500,000","2,817,100,000","2,643,600,000","2,839,100,000","2,536,800,000","2,482,300,000","2,334,300,000","2,500,000,000","2,286,000,000","3,149,400,000","2,862,600,000","3,013,300,000","2,637,000,000","2,760,200,000","2,600,000,000","2,803,700,000","2,565,700,000","2,620,200,000","2,452,900,000","2,711,700,000","2,424,700,000","2,495,500,000","2,325,700,000","2,545,298,000","2,278,002,000","2,355,456,000","2,235,544,000","2,265,419,000","2,204,662,000","1,943,195,000","1,763,388,000","1,840,471,000","1,648,856,000","1,639,410,000","1,498,053,000","1,438,385,000","1,320,957,000","1,262,269,000","1,258,609,000","1,451,609,000","1,510,570,000","1,560,299,000","1,417,716,000","1,450,530,000","1,249,211,000","1,215,034,000","1,152,402,000","1,192,806,000","1,101,777,000","1,032,111,000","916,689,000","972,357,000","847,871,000","849,603,000","775,184,000","835,702,000","739,993,000","685,709,000","631,261,000","604,279,000","542,503,000","524,886,000","467,399,000","505,543,000","460,073,000","444,418,000","376,023,000","338,233,000","353,958,000","375,341,000","376,885,000","469,516,000","413,488,000","373,606,000","355,157,000","385,300,000","336,600,000","305,000,000","296,600,000","354,600,000","313,000,000","228,800,000","183,700,000","220,700,000","185,700,000","177,600,000","160,600,000","192,600,000","161,800,000","149,400,000","136,900,000","135,100,000","127,600,000","126,900,000","116,100,000","110,200,000","104,800,000","98,100,000","86,300,000","107,200,000","74,200,000","79,800,000","63,900,000","74,400,000","74,100,000","68,600,000","61,600,000","51,600,000","56,700,000","59,600,000","61,800,000","65,000,000","74,400,000","66,800,000","60,600,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"10,487,000,000","2,789,000,000","3,050,000,000","2,392,000,000","2,256,000,000","2,352,800,000","2,137,900,000","2,008,000,000","1,745,300,000","752,900,000","1,973,600,000","1,993,600,000","1,994,200,000","1,993,300,000","1,859,800,000","1,949,600,000","1,900,600,000","1,893,000,000","1,769,300,000","1,798,600,000","1,710,400,000","1,771,400,000","1,586,900,000","2,114,900,000","1,980,500,000","2,034,500,000","1,836,200,000","1,829,100,000","1,825,800,000","1,916,400,000","1,699,900,000","1,730,900,000","1,664,000,000","1,823,700,000","1,612,300,000","1,651,900,000","1,594,800,000","1,752,049,000","1,522,193,000","1,562,212,000","1,515,021,000","1,587,808,000","1,548,518,000","1,317,092,000","1,172,800,000","1,226,181,000","1,086,756,000","1,105,560,000","1,064,687,000","1,044,671,000","856,360,000","918,323,000","918,390,000","1,027,958,000","988,430,000","1,049,835,000","1,004,494,000","985,760,000","786,277,000","767,228,000","777,768,000","745,490,000","709,453,000","650,829,000","619,618,000","620,229,000","528,189,000","528,582,000","503,347,000","519,698,000","448,072,000","413,467,000","406,295,000","342,253,000","326,738,000","323,675,000","300,406,000","304,920,000","272,643,000","274,843,000","238,802,000","209,167,000","206,318,000","218,728,000","238,467,000","318,505,000","266,644,000","236,941,000","237,528,000","263,000,000","217,300,000","196,800,000","200,600,000","252,900,000","214,000,000","146,700,000","118,700,000","146,500,000","114,400,000","111,700,000","105,200,000","130,100,000","101,600,000","93,100,000","89,700,000","92,700,000","77,700,000","78,300,000","76,600,000","74,400,000","61,600,000","60,700,000","56,800,000","93,800,000","44,100,000","54,900,000","41,600,000","61,700,000","54,300,000","51,800,000","50,000,000","50,500,000","45,100,000","48,400,000","50,800,000","60,500,000","48,700,000","43,200,000","38,800,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"8,198,000,000","2,294,000,000","2,062,000,000","1,966,000,000","1,876,000,000","1,957,000,000","1,795,300,000","1,685,400,000","1,458,300,000","578,400,000","1,654,700,000","1,671,800,000","1,683,400,000","1,673,700,000","1,558,600,000","1,637,900,000","1,601,900,000","1,594,100,000","1,490,100,000","1,515,300,000","1,443,000,000","1,503,400,000","1,345,800,000","1,778,300,000","1,660,700,000","1,707,400,000","1,528,300,000","1,484,200,000","1,486,700,000","1,580,300,000","1,371,600,000","1,394,500,000","1,350,600,000","1,491,500,000","1,303,200,000","1,339,700,000","1,298,400,000","1,406,481,000","1,251,212,000","1,278,610,000","1,244,897,000","1,267,334,000","1,274,907,000","1,095,749,000","969,702,000","1,004,173,000","884,165,000","907,910,000","877,455,000","890,455,000","782,438,000","759,823,000","757,495,000","860,491,000","806,424,000","859,969,000","818,390,000","769,178,000","655,116,000","781,563,000","777,768,000","745,490,000","710,215,000","666,446,000","619,618,000","606,299,000","523,612,000","537,158,000","508,682,000","521,739,000","452,126,000","414,827,000","406,981,000","363,885,000","326,831,000","323,675,000","301,181,000","306,159,000","272,889,000","273,576,000","236,053,000","254,990,000","190,481,000","203,347,000","223,862,000","278,010,000","227,265,000","202,136,000","202,486,000","233,100,000","182,500,000","165,700,000","170,000,000","223,500,000","177,200,000","123,200,000","99,700,000","127,200,000","95,900,000","92,300,000","86,300,000","112,800,000","83,300,000","76,900,000","72,900,000","83,100,000","62,800,000","61,600,000","59,300,000","60,900,000","51,200,000","50,200,000","46,200,000","52,900,000","44,100,000","43,900,000","41,600,000","53,400,000","43,900,000","42,500,000","40,900,000","41,800,000","37,500,000","39,900,000","42,400,000","53,300,000","41,200,000","37,600,000","33,500,000",,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,742,000,000","495,000,000","441,000,000","426,000,000","380,000,000","395,800,000","342,600,000","322,600,000","287,000,000","174,500,000","318,900,000","321,800,000","310,800,000","319,600,000","301,200,000","311,700,000","298,700,000","298,900,000","279,200,000","283,300,000","267,400,000","268,000,000","241,100,000","336,600,000","319,800,000","327,100,000","307,900,000","344,900,000","339,100,000","336,100,000","328,300,000","336,400,000","313,400,000","332,200,000","309,100,000","312,200,000","296,400,000","294,657,000","289,517,000","283,602,000","270,124,000","275,548,000","289,602,000","235,803,000","217,573,000","222,008,000","202,591,000","197,650,000","187,232,000","154,216,000","159,040,000","158,500,000","160,895,000","167,467,000","182,006,000","189,866,000","186,104,000","216,582,000","131,161,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,428,000","1,267,000","2,749,000",,"15,837,000","15,381,000","14,605,000","40,495,000","39,379,000","34,805,000","35,042,000","29,900,000","34,800,000","31,100,000","30,600,000","29,400,000","36,800,000","23,500,000","19,000,000","19,300,000","18,500,000","19,400,000","18,900,000","17,300,000","18,300,000","16,200,000","16,800,000","9,600,000","14,900,000","16,700,000","17,300,000","13,500,000","10,400,000","10,500,000","10,600,000",,,"11,000,000",,"8,300,000","10,400,000","9,300,000","9,100,000","8,700,000","7,600,000","8,500,000","8,400,000","7,200,000","7,500,000","5,600,000","5,300,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,428,000","1,267,000","2,749,000",,"15,837,000","15,381,000","14,605,000","40,495,000","39,379,000","34,805,000","35,042,000","29,900,000","34,800,000","31,100,000","30,600,000","29,400,000","36,800,000","23,500,000","19,000,000","19,300,000","18,500,000","19,400,000","18,900,000","17,300,000","18,300,000","16,200,000","16,800,000","9,600,000","14,900,000","16,700,000","17,300,000","13,500,000","10,400,000","10,500,000","10,600,000",,,"11,000,000",,"8,300,000","10,400,000","9,300,000","9,100,000","8,700,000","7,600,000","8,500,000","8,400,000","7,200,000","7,500,000","5,600,000","5,300,000",,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,428,000","1,267,000","2,749,000",,"15,837,000","15,381,000","14,605,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
